Orthogroup	Osmia_bicornis	Bombus_terrestris
OG0000021	XP_029039365.1, XP_029039366.1, XP_029039367.1, XP_029039368.1, XP_029039369.1, XP_029039363.1	XP_012171598.1, XP_012171599.1, XP_003400635.1
OG0000022	XP_029035866.1	XP_003394856.1
OG0000022	XP_029054087.1, XP_029053362.1, XP_029053958.1, XP_029055198.1, XP_029053955.1, XP_029054818.1, XP_029053454.1, XP_029053455.1	XP_003392968.1
OG0000023	XP_029051698.1, XP_029053456.1, XP_029054574.1, XP_029054086.1, XP_029053954.1, XP_029055089.1, XP_029053953.1, XP_029051696.1, XP_029051697.1, XP_029053457.1	XP_012175550.1
OG0000023	XP_029051991.1	XP_003396974.1, XP_012165320.1
OG0000024	XP_029051585.1, XP_029051584.1, XP_029051583.1	XP_003402753.1
OG0000024	XP_029052345.1	XP_012165904.1, XP_012165907.1, XP_012165906.1
OG0000024	XP_029045871.1	XP_003401519.1
OG0000024	XP_029045870.1	XP_003401520.1
OG0000025	XP_029052233.1	XP_012175225.1, XP_012175228.1, XP_003401566.2, XP_012168908.1, XP_012176696.1, XP_020718358.1
OG0000026	XP_029035302.1	XP_020719195.1
OG0000026	XP_029032070.1, XP_029039545.1	XP_003402888.1
OG0000026	XP_029055886.1, XP_029031842.1, XP_029032017.1, XP_029055971.1, XP_029055800.1, XP_029031929.1	XP_003402887.1, XP_012174757.1
OG0000027	XP_029053373.1	XP_003392964.1, XP_003392970.1
OG0000027	XP_029051993.1, XP_029051689.1, XP_029035641.1, XP_029053960.1, XP_029053959.1, XP_029053445.1, XP_029035639.1	XP_012166136.1
OG0000028	XP_029053767.1, XP_029054640.1, XP_029053970.1	XP_012174214.1, XP_012167645.1, XP_020723728.1
OG0000028	XP_029054361.1	XP_012175449.1, XP_012175527.2
OG0000029	XP_029041154.1	XP_003399185.1, XP_012169459.1
OG0000029	XP_029049864.1, XP_029049863.1	XP_003399852.3
OG0000029	XP_029041266.1	XP_020721315.1
OG0000030	XP_029038012.1	XP_020720274.1
OG0000030	XP_029049282.1	XP_012170594.1, XP_003399944.1
OG0000032	XP_029053845.1, XP_029053357.1	XP_003396103.1
OG0000032	XP_029050538.1	XP_003398435.1, XP_012174894.1, XP_003403021.1, XP_003398436.1, XP_003398432.1, XP_003398434.1
OG0000034	XP_029052867.1, XP_029052866.1, XP_029052851.1, XP_029052877.1	XP_012175294.2, XP_020721191.1, XP_020721239.1, XP_012169504.1, XP_020721189.1, XP_020721190.1, XP_012169044.2
OG0000035	XP_029032235.1	XP_003394979.1
OG0000036	XP_029047761.1	XP_003401763.1
OG0000036	XP_029047762.1	XP_003401254.1
OG0000036	XP_029047765.1	XP_003401252.1
OG0000036	XP_029047764.1	XP_012172397.1
OG0000036	XP_029043016.1, XP_029043017.1	XP_012175443.1
OG0000037	XP_029047042.1	XP_003403001.3
OG0000038	XP_029041947.1, XP_029050411.1	XP_003396169.1
OG0000038	XP_029032964.1	XP_003394986.1, XP_020718384.1
OG0000038	XP_029039496.1	XP_003401138.1
OG0000038	XP_029036717.1, XP_029036716.1	XP_012172201.2
OG0000038	XP_029034840.1	XP_012172637.1
OG0000038	XP_029045842.1, XP_029045843.1, XP_029045841.1	XP_003401157.1
OG0000039	XP_029055063.1	XP_012174864.1
OG0000039	XP_029055279.1, XP_029054655.1	XP_012173748.1
OG0000040	XP_029055961.1, XP_029055960.1, XP_029055959.1	XP_003393535.1
OG0000041	XP_029032654.1, XP_029032653.1	XP_003396989.1, XP_003396990.1
OG0000041	XP_029038902.1	XP_003394488.1
OG0000041	XP_029038901.1, XP_029038899.1	XP_003394490.1
OG0000041	XP_029053007.1	XP_003399722.1
OG0000042	XP_029048713.1	NP_001272327.1, XP_012163186.1
OG0000043	XP_029038126.1	XP_003392868.1
OG0000043	XP_029042859.1	XP_003402013.1
OG0000043	XP_029042860.1	XP_012173547.1
OG0000044	XP_029033388.1	XP_020723893.1, XP_012175325.1
OG0000044	XP_029033272.1, XP_029033270.1, XP_029033271.1	XP_020723251.1
OG0000045	XP_029050902.1, XP_029050927.1, XP_029050914.1	XP_003395914.2
OG0000045	XP_029043746.1	XP_003403314.1, XP_020719958.1, XP_003402225.2
OG0000046	XP_029046126.1	XP_012176148.2
OG0000046	XP_029054140.1	XP_003397462.1
OG0000046	XP_029049438.1, XP_029049436.1, XP_029049437.1	XP_003396775.3
OG0000048	XP_029038651.1	XP_020720387.1
OG0000050	XP_029035421.1	XP_003398997.1
OG0000050	XP_029047238.1	XP_003396910.2
OG0000052	XP_029053695.1	XP_003397480.1
OG0000053	XP_029054993.1	XP_012169490.1
OG0000054	XP_029050144.1	XP_012175318.1
OG0000054	XP_029050156.1	XP_003402283.1, XP_003403304.1
OG0000054	XP_029050150.1	XP_003403303.1
OG0000055	XP_029033370.1, XP_029033371.1	XP_003401668.1, XP_020722884.1
OG0000055	XP_029035680.1	XP_012170773.1
OG0000055	XP_029033281.1, XP_029033290.1, XP_029033297.1	XP_020718283.1
OG0000055	XP_029033206.1	XP_012170213.1
OG0000056	XP_029043848.1, XP_029043447.1	XP_020723650.1
OG0000056	XP_029041052.1	XP_003399457.3
OG0000056	XP_029050404.1	XP_020723637.1
OG0000056	XP_029048153.1	XP_020718834.1
OG0000056	XP_029044167.1	XP_020720993.1
OG0000057	XP_029035838.1	XP_003395180.1
OG0000057	XP_029041778.1	XP_003400373.1
OG0000057	XP_029035983.1	XP_003395196.1
OG0000057	XP_029035967.1	XP_003395170.1
OG0000057	XP_029035984.1	XP_003395225.1
OG0000058	XP_029038287.1	XP_020722072.1
OG0000058	XP_029038274.1	XP_020720439.1
OG0000058	XP_029038900.1, XP_029038888.1, XP_029038873.1, XP_029038863.1	XP_020720438.1, XP_012167402.1
OG0000060	XP_029040322.1, XP_029040321.1, XP_029040320.1, XP_029040318.1, XP_029040317.1	XP_020721716.1
OG0000061	XP_029042514.1	XP_003392898.1
OG0000061	XP_029037437.1	XP_020723139.1, XP_020723140.1, XP_020723141.1, XP_020723142.1
OG0000061	XP_029047750.1, XP_029047749.1, XP_029047748.1, XP_029047747.1, XP_029047746.1, XP_029047743.1, XP_029047752.1, XP_029047751.1, XP_029047745.1, XP_029047753.1	XP_003401246.1, XP_003401245.1, XP_012172395.1, XP_020722644.1
OG0000062	XP_029054767.1	XP_012169969.1
OG0000062	XP_029054389.1	XP_012170000.1
OG0000062	XP_029054447.1	XP_020722101.1
OG0000064	XP_029049217.1, XP_029049232.1, XP_029049008.1	XP_020721662.1, XP_020723854.1, XP_003399526.1, XP_012169978.1, XP_020721562.1, XP_003402807.2
OG0000064	XP_029049978.1	XP_020721563.1
OG0000065	XP_029047719.1	XP_003398334.1
OG0000065	XP_029047711.1	XP_012168044.1, XP_003403408.2
OG0000067	XP_029053164.1	XP_003397328.1
OG0000067	XP_029042775.1	XP_012169196.1
OG0000067	XP_029032763.1	XP_020722094.1
OG0000067	XP_029039161.1	XP_020722130.1
OG0000069	XP_029035424.1, XP_029035422.1	XP_012169151.1, XP_020721324.1
OG0000069	XP_029035425.1, XP_029035429.1	XP_012169153.1
OG0000070	XP_029038560.1, XP_029038569.1	XP_012167615.2
OG0000070	XP_029038581.1	XP_012167616.1, XP_012167493.1, XP_012167618.1, XP_012167489.1, XP_012167619.1
OG0000073	XP_029054983.1, XP_029052801.1, XP_029050690.1	XP_020722566.1, XP_020719067.1, XP_020719074.1, XP_003393329.1
OG0000073	XP_029051176.1, XP_029051151.1	XP_012166351.1, XP_003393341.1, XP_003393340.1, XP_003393343.1, XP_012166402.1
OG0000074	XP_029038270.1	XP_012175299.1
OG0000074	XP_029053481.1	XP_003396140.1
OG0000076	XP_029055294.1, XP_029055240.1, XP_029054468.1, XP_029053734.1, XP_029054673.1, XP_029054785.1, XP_029054773.1, XP_029054062.1	XP_012172861.2, XP_012175534.1, XP_012171986.1, XP_012174538.1, XP_012176290.1
OG0000077	XP_029041461.1	NP_001267840.1
OG0000077	XP_029051620.1	XP_012166572.2
OG0000078	XP_029038384.1	XP_020723842.1
OG0000078	XP_029038253.1	XP_020720719.1, XP_012168483.1, XP_020720644.1
OG0000079	XP_029035221.1	XP_020718415.1
OG0000080	XP_029048618.1, XP_029048619.1	XP_003399522.1
OG0000080	XP_029048621.1, XP_029048620.1	XP_012169830.1
OG0000080	XP_029048655.1	XP_012169831.1
OG0000081	XP_029040920.1	XP_003401176.1
OG0000081	XP_029040924.1, XP_029040923.1, XP_029040922.1, XP_029040928.1, XP_029040927.1, XP_029040929.1, XP_029040930.1, XP_029040871.1	XP_020722589.1, XP_003403422.1, XP_003403234.2, XP_020722487.1, XP_003401115.1, XP_003401178.1, XP_020722598.1, XP_020722486.1, XP_003401116.2, XP_020722597.1, XP_003403027.1
OG0000082	XP_029037393.1	XP_012171772.1
OG0000082	XP_029037394.1	XP_012171770.1
OG0000082	XP_029037432.1, XP_029037434.1, XP_029037430.1, XP_029037431.1, XP_029037428.1, XP_029037429.1, XP_029037433.1	XP_012171768.1, XP_003400713.1, XP_020722282.1
OG0000082	XP_029037395.1	XP_003400712.1
OG0000084	XP_029034284.1	XP_003393656.1
OG0000084	XP_029034285.1	XP_003393657.1
OG0000084	XP_029034302.1	XP_012172250.1
OG0000084	XP_029039752.1	XP_003400023.1
OG0000085	XP_029036566.1, XP_029036567.1	XP_012164376.1, XP_003395843.1, XP_012164375.1, XP_012164374.1
OG0000085	XP_029036300.1, XP_029036301.1	XP_012176300.1, XP_012176301.1, XP_020724351.1, XP_003394432.1, XP_003394433.1
OG0000086	XP_029036714.1	XP_012172254.1
OG0000087	XP_029056468.1	XP_020722624.1
OG0000087	XP_029056467.1	XP_012172367.1
OG0000087	XP_029056466.1	XP_012172361.1, XP_012172362.1, XP_012172358.1, XP_012172360.1, XP_012172363.1
OG0000088	XP_029051133.1	XP_003398593.1
OG0000089	XP_029053161.1, XP_029053163.1, XP_029053162.1	XP_003397324.1, XP_003397322.1, XP_003397323.1, XP_012166700.1, XP_012166697.1
OG0000089	XP_029051588.1	XP_003396210.1
OG0000090	XP_029055085.1, XP_029055220.1	XP_012171815.1
OG0000091	XP_029041126.1, XP_029041124.1	XP_020721177.1, XP_003402576.2, XP_020721343.1, XP_012169463.2
OG0000092	XP_029048799.1	XP_020718694.1
OG0000092	XP_029041975.1, XP_029041991.1	XP_020718989.1, XP_003395974.1
OG0000092	XP_029043422.1, XP_029044965.1, XP_029044957.1	XP_020718993.1, XP_020718992.1, XP_003395973.1
OG0000092	XP_029036169.1	XP_003400287.1, XP_012171069.1
OG0000094	XP_029033929.1	XP_012164578.1
OG0000094	XP_029034646.1, XP_029034647.1	XP_012170607.1
OG0000094	XP_029050994.1	XP_003399925.2
OG0000095	XP_029035463.1	XP_003398964.1
OG0000096	XP_029039146.1	XP_003400671.1, XP_003400637.1
OG0000096	XP_029053037.1	XP_003395393.1, XP_012166067.2
OG0000097	XP_029033159.1, XP_029033157.1, XP_029033158.1	XP_012170206.1, XP_003399689.1
OG0000097	XP_029042191.1, XP_029042190.1	XP_012173498.1, XP_020723033.1
OG0000098	XP_029040058.1, XP_029040062.1, XP_029040061.1, XP_029040060.1, XP_029040057.1	XP_012168084.1, XP_012168083.1, XP_012168086.1, XP_012168085.1, XP_003398369.1
OG0000099	XP_029034823.1	XP_020722786.1
OG0000099	XP_029034765.1	XP_012172596.1
OG0000099	XP_029045960.1	XP_020722424.1
OG0000100	XP_029038954.1, XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1	XP_003399794.1, XP_020721436.1, XP_020721435.1, XP_012170386.1, XP_012170387.1, XP_012170385.1, XP_012170380.1, XP_012170379.1
OG0000101	XP_029038150.1	XP_003397360.1
OG0000101	XP_029038151.1	XP_020719744.1
OG0000102	XP_029052948.1	XP_020722917.1
OG0000103	XP_029044547.1	XP_012168396.1, XP_012168395.1, XP_020720588.1
OG0000103	XP_029044558.1, XP_029044556.1	XP_012168399.1
OG0000103	XP_029034468.1, XP_029034469.1, XP_029034466.1, XP_029034467.1	XP_012168403.1
OG0000106	XP_029044943.1	XP_003393433.2
OG0000107	XP_029051339.1	XP_012169401.1, XP_020720964.1
OG0000108	XP_029040200.1, XP_029040201.1	XP_012174803.1
OG0000109	XP_029050471.1, XP_029050469.1, XP_029050473.1, XP_029050472.1	XP_003398706.1, XP_003398707.1
OG0000110	XP_029038421.1, XP_029038418.1, XP_029038419.1	XP_003400537.1, XP_012171442.1, XP_012171440.1, XP_012171439.1
OG0000110	XP_029043468.1	XP_003400818.1
OG0000111	XP_029036880.1	XP_012165042.1
OG0000111	XP_029047148.1	XP_012173034.1
OG0000112	XP_029046532.1, XP_029046533.1	XP_012168598.1, XP_020720998.1, XP_012168597.1, XP_012168596.1, XP_012168595.1
OG0000112	XP_029048168.1	XP_012163934.1
OG0000113	XP_029048517.1	XP_020718272.1, XP_003394925.1
OG0000114	XP_029044505.1, XP_029050777.1, XP_029050778.1	XP_020718755.1
OG0000114	XP_029036590.1	XP_020718756.1
OG0000115	XP_029035566.1	XP_003395075.1
OG0000115	XP_029048286.1	XP_012163601.1
OG0000116	XP_029036993.1, XP_029036999.1	XP_012167612.1, XP_020720167.1, XP_020720163.1, XP_020720164.1, XP_020720166.1, XP_012167610.1, XP_012167613.1, XP_020720165.1, XP_003397905.1, XP_003397904.1, XP_012167611.1, XP_003397903.1
OG0000116	XP_029037819.1, XP_029037828.1	XP_020720215.1, XP_003397775.1
OG0000117	XP_029050106.1	XP_012176486.1
OG0000117	XP_029053280.1, XP_029053279.1, XP_029053278.1, XP_029053281.1	XP_003398039.1
OG0000119	XP_029036980.1	XP_020720337.1, XP_020720348.1, XP_020720338.1, XP_020720336.1
OG0000120	XP_029051756.1	XP_012176279.1
OG0000120	XP_029038490.1, XP_029038486.1, XP_029038485.1, XP_029038483.1, XP_029038484.1, XP_029038488.1, XP_029038489.1	XP_003400542.1, XP_012171451.1, XP_012171452.1, XP_012171449.1, XP_012171450.1, XP_012171447.1, XP_012171454.1, XP_012171455.1
OG0000122	XP_029051575.1	XP_012165001.1
OG0000122	XP_029054705.1	XP_012174370.1
OG0000123	XP_029043158.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043150.1, XP_029043149.1, XP_029043151.1, XP_029043152.1, XP_029043147.1, XP_029043148.1	XP_003397633.1, XP_012167209.1, XP_012167212.1, XP_012167211.1, XP_012167208.1, XP_012167210.1
OG0000124	XP_029037788.1, XP_029036850.1, XP_029037019.1, XP_029036756.1, XP_029037535.1, XP_029037363.1, XP_029037873.1, XP_029037101.1, XP_029037448.1, XP_029037702.1, XP_029036672.1, XP_029037621.1, XP_029036938.1	XP_012164839.1
OG0000125	XP_029038301.1, XP_029032057.1, XP_029036162.1, XP_029037018.1, XP_029032043.1, XP_029035307.1, XP_029032032.1, XP_029032023.1	XP_003402889.2
OG0000126	XP_029049817.1, XP_029049833.1, XP_029049843.1, XP_029049826.1, XP_029049807.1, XP_029049849.1	XP_012173626.1, XP_003402194.1, XP_020723219.1, XP_020723220.1, XP_020723218.1, XP_012173627.1
OG0000127	XP_029049523.1, XP_029049524.1	XP_003393059.1, XP_020718439.1, XP_020718434.1
OG0000128	XP_029054570.1	XP_012174242.1
OG0000129	XP_029038381.1, XP_029038382.1, XP_029038380.1, XP_029038379.1, XP_029038378.1, XP_029038377.1, XP_029038376.1, XP_029038375.1	XP_003398638.1, XP_012168489.1, XP_012168490.1, XP_012168488.1, XP_012168487.1, XP_012168486.1, XP_012168485.1, XP_012168484.1
OG0000130	XP_029040004.1	XP_020719394.1, XP_003396651.1
OG0000130	XP_029040144.1, XP_029040135.1, XP_029040130.1	XP_020719405.1, XP_003396650.1, XP_012165703.1
OG0000130	XP_029040646.1	XP_003396649.1, XP_012165702.1
OG0000131	XP_029035464.1	XP_003398970.1
OG0000131	XP_029032564.1, XP_029032565.1, XP_029032563.1	XP_003396371.1, XP_003396370.1
OG0000132	XP_029042885.1, XP_029042884.1	XP_003402425.1
OG0000132	XP_029046706.1, XP_029046715.1	XP_003402485.1
OG0000133	XP_029032942.1, XP_029032943.1, XP_029032944.1	XP_012176311.1, XP_020724157.1, XP_020724156.1, XP_020724158.1
OG0000133	XP_029035782.1	XP_012168435.1
OG0000134	XP_029037364.1	XP_003399458.1
OG0000134	XP_029054636.1, XP_029055298.1	XP_003396199.1
OG0000135	XP_029032688.1	XP_003393370.1
OG0000135	XP_029052001.1	XP_003393110.1
OG0000135	XP_029033778.1	XP_003394582.1
OG0000136	XP_029051548.1	XP_012165909.1, XP_020719676.1
OG0000136	XP_029051623.1	XP_012165896.1, XP_020723712.1, XP_003396782.1, XP_003402992.1
OG0000137	XP_029048064.1	XP_012164639.1, XP_012164637.1, XP_012164636.1, XP_012164638.1
OG0000137	XP_029046790.1, XP_029046789.1, XP_029046791.1, XP_029046788.1	XP_012175108.1
OG0000137	XP_029051312.1	XP_012170724.1
OG0000138	XP_029043735.1, XP_029043737.1, XP_029043736.1, XP_029043739.1, XP_029043738.1, XP_029043741.1, XP_029043740.1	XP_003397345.2, XP_012166619.1
OG0000138	XP_029043742.1	XP_003397339.1
OG0000139	XP_029050502.1	XP_003399195.1
OG0000141	XP_029038466.1, XP_029038465.1	XP_003400951.1
OG0000141	XP_029044664.1	XP_012174890.1, XP_003396959.1
OG0000142	XP_029044489.1, XP_029044511.1	XP_012175459.1, XP_020721950.1, XP_020721953.1, XP_012170791.1
OG0000142	XP_029053705.1, XP_029044543.1, XP_029054183.1, XP_029044512.1	XP_012170790.1, XP_020721952.1
OG0000143	XP_029041592.1, XP_029041591.1, XP_029041594.1	XP_003393823.1
OG0000143	XP_029041621.1, XP_029041620.1, XP_029041624.1, XP_029041623.1, XP_029041622.1	XP_020722543.1, XP_012175058.1, XP_020722547.1, XP_020722544.1, XP_020722545.1
OG0000144	XP_029035145.1	XP_003401781.1
OG0000145	XP_029047376.1, XP_029047377.1	XP_003393298.1
OG0000145	XP_029043895.1, XP_029045165.1	XP_012164960.1
OG0000146	XP_029045164.1, XP_029045163.1	XP_003402123.1
OG0000146	XP_029038795.1, XP_029038794.1	XP_003397806.1
OG0000147	XP_029048716.1, XP_029048715.1, XP_029048711.1, XP_029048710.1, XP_029048714.1, XP_029048709.1, XP_029048708.1, XP_029048717.1	XP_012164120.1, XP_012164121.1, XP_012164119.1
OG0000149	XP_029047226.1	XP_003394540.1
OG0000149	XP_029047230.1, XP_029047231.1, XP_029047232.1	XP_012175460.1, XP_020724080.1
OG0000150	XP_029041950.1	XP_012170499.1, XP_012170501.1, XP_012170500.1, XP_003399855.1, XP_020721682.1, XP_012170498.1
OG0000151	XP_029031892.1, XP_029031893.1, XP_029031895.1, XP_029031894.1, XP_029031896.1	XP_003402871.1, XP_012174602.1, XP_012174601.1, XP_012174604.1, XP_012174600.1, XP_012174599.1
OG0000152	XP_029047059.1	XP_012173071.1, XP_012173070.1, XP_012173069.1, XP_012173068.1, XP_012173075.1, XP_012173067.1
OG0000153	XP_029039104.1, XP_029039105.1, XP_029039106.1, XP_029039101.1, XP_029039103.1	XP_003400832.1, XP_012171882.1, XP_012171883.1
OG0000154	XP_029038796.1	XP_012167367.1, XP_012167365.1
OG0000155	XP_029054519.1, XP_029054243.1, XP_029054664.1, XP_029054222.1, XP_029054908.1, XP_029054822.1, XP_029055114.1, XP_029055113.1, XP_029054581.1, XP_029054469.1, XP_029055110.1, XP_029054996.1, XP_029053298.1, XP_029054989.1, XP_029054103.1, XP_029055151.1, XP_029055184.1, XP_029054486.1, XP_029054826.1, XP_029055087.1	XP_020723952.1
OG0000156	XP_029035328.1	XP_003396400.1
OG0000157	XP_029051283.1	XP_020721948.1
OG0000157	XP_029051281.1	XP_003400109.2
OG0000160	XP_029042735.1	XP_012168631.1
OG0000162	XP_029035080.1	XP_012168555.1
OG0000162	XP_029037503.1	XP_003397561.2
OG0000164	XP_029053418.1, XP_029053381.1	XP_020718981.1
OG0000164	XP_029053299.1	XP_020718982.1
OG0000164	XP_029053407.1	XP_020718980.1
OG0000165	XP_029038180.1, XP_029038179.1	XP_003397183.1, XP_012166526.1
OG0000165	XP_029047501.1	XP_012169083.1
OG0000166	XP_029043654.1, XP_029043635.1, XP_029043629.1	XP_012175400.2, XP_012175364.1, XP_012175388.1
OG0000168	XP_029052804.1	XP_020724242.1
OG0000168	XP_029036231.1	XP_012175596.1
OG0000168	XP_029043972.1	XP_020719024.1
OG0000170	XP_029033623.1	XP_012168004.1
OG0000170	XP_029033620.1, XP_029033633.1	XP_003398306.1
OG0000170	XP_029033625.1	XP_012168006.1
OG0000171	XP_029047309.1	XP_003396553.1
OG0000171	XP_029047311.1	XP_012174011.1
OG0000172	XP_029040332.1, XP_029040337.1, XP_029040338.1, XP_029040333.1, XP_029040334.1, XP_029040335.1, XP_029040336.1	XP_020721690.1, XP_012170544.1, XP_012170538.1, XP_012170539.1, XP_012170540.1, XP_012170541.1, XP_012170542.1, XP_012170543.1
OG0000173	XP_029045882.1, XP_029045886.1, XP_029045884.1, XP_029045883.1, XP_029045881.1, XP_029045880.1	XP_012172817.1, XP_012172816.1, XP_012172814.1, XP_012172815.1
OG0000174	XP_029038443.1, XP_029038444.1, XP_029038447.1, XP_029038446.1, XP_029038448.1	XP_003400605.1, XP_003400606.1, XP_012171555.1, XP_012171554.1, XP_012171558.1, XP_012171557.1
OG0000175	XP_029032769.1, XP_029032767.1, XP_029032768.1	XP_020721993.1, XP_003400937.1, XP_012171930.1, XP_012171929.1
OG0000176	XP_029041606.1	XP_003393819.1
OG0000177	XP_029035382.1, XP_029035383.1	XP_003398931.1
OG0000177	XP_029035403.1	XP_012169036.1
OG0000177	XP_029035380.1	XP_012169039.1
OG0000178	XP_029039971.1, XP_029039967.1	XP_003398577.1, XP_020720493.1
OG0000179	XP_029046643.1	XP_012173790.1, XP_003402257.2
OG0000179	XP_029038918.1	XP_012173824.1, XP_003402266.1
OG0000179	XP_029037996.1	XP_012168601.1
OG0000180	XP_029046844.1, XP_029046842.1, XP_029046843.1	XP_012175161.1, XP_012175160.1, XP_012175162.1, XP_003403152.1, XP_003403151.1, XP_020723773.1
