Orthogroup	Megachile_rotundata	Dufourea_novaeangliae
OG0000080	XP_012140163.1, XP_012140166.1, XP_012140140.1, XP_012140138.1, XP_012140145.1, XP_012140144.1, XP_012140143.1, XP_012140158.1, XP_012140149.1, XP_012140141.1, XP_012140161.1, XP_012140159.1, XP_012140160.1, XP_012140139.1, XP_012140165.1, XP_012140156.1, XP_012140147.1, XP_012140162.1, XP_012140137.1, XP_012140146.1, XP_012140148.1, XP_012140151.1, XP_012140150.1, XP_012140153.1, XP_012140155.1, XP_012140154.1, XP_012140164.1, XP_012140157.1, XP_012140142.1	XP_015436437.1
OG0000081	XP_012135630.1	XP_015437277.1
OG0000082	XP_012141781.1, XP_012141780.1, XP_012141779.1, XP_012141774.1, XP_012141775.1, XP_012141777.1, XP_012141778.1, XP_003703743.1, XP_012141782.1	XP_015435281.1, XP_015435282.1
OG0000083	XP_003705021.1, XP_012144619.1, XP_012144618.1, XP_012144620.1, XP_012144622.1	XP_015435790.1
OG0000085	XP_012150709.1, XP_012150707.1, XP_012150713.1, XP_012150712.1, XP_012150711.1, XP_012150710.1, XP_012150708.1	XP_015436209.1
OG0000086	XP_003708587.1, XP_012153255.1, XP_012153256.1, XP_012153257.1	XP_015439325.1
OG0000087	XP_012148433.1, XP_012148442.1, XP_012148424.1, XP_003699981.1, XP_012148439.1, XP_012148450.1, XP_012148458.1	XP_015438869.1
OG0000089	XP_012138647.1, XP_012138646.1, XP_012138648.1, XP_012138644.1	XP_015436630.1, XP_015435537.1
OG0000090	XP_012138159.1, XP_012138151.1, XP_012138103.1, XP_012138138.1, XP_012138142.1, XP_012138107.1, XP_012138131.1, XP_012138125.1, XP_012138118.1	XP_015430865.1
OG0000091	XP_003705245.1	XP_015440081.1
OG0000093	XP_012150943.1, XP_003707675.1, XP_012150944.1	XP_015428411.1
OG0000094	XP_003701456.1	XP_015431880.1
OG0000095	XP_003702089.1, XP_012138104.1	XP_015438184.1
OG0000096	XP_012142191.1	XP_015434227.1
OG0000097	XP_003707142.1, XP_012149524.1	XP_015431198.1, XP_015431199.1
OG0000098	XP_003706809.1, XP_012148932.1, XP_012148931.1, XP_012148926.1, XP_012148934.1, XP_012148935.1, XP_012148937.1, XP_012148938.1, XP_012148928.1, XP_012148927.1, XP_012148933.1, XP_012148929.1	XP_015438475.1
OG0000099	XP_003703781.1, XP_012141871.1, XP_012141870.1, XP_012141872.1, XP_012141873.1	XP_015430255.1, XP_015430247.1
OG0000100	XP_012153562.1	XP_015437850.1, XP_015438094.1
OG0000101	XP_003704125.1	XP_015432218.1
OG0000102	XP_012141540.1	XP_015429601.1
OG0000103	XP_012135254.1, XP_012135257.1, XP_012135256.1, XP_012135255.1, XP_012135258.1	XP_015435506.1, XP_015435505.1
OG0000104	XP_012143625.1	XP_015439591.1
OG0000104	XP_012135505.1	XP_015439594.1
OG0000105	XP_012136124.1	XP_015432223.1
OG0000107	XP_012136548.1, XP_012153588.1, XP_012145580.1	XP_015431640.1
OG0000107	XP_012139276.1	XP_015440415.1, XP_015437898.1, XP_015436740.1, XP_015437082.1, XP_015437619.1, XP_015431669.1, XP_015435721.1, XP_015430244.1, XP_015433563.1, XP_015436701.1
OG0000108	XP_012143361.1, XP_012143353.1, XP_012143348.1, XP_012143367.1, XP_012143333.1, XP_003699743.1, XP_012143339.1	XP_015438463.1
OG0000109	XP_003705113.1, XP_012144753.1, XP_012144754.1	XP_015430535.1
OG0000110	XP_012152676.1, XP_003708291.1	XP_015436481.1
OG0000110	XP_003708289.1, XP_012152675.1	XP_015436479.1
OG0000112	XP_003700843.1	XP_015431184.1
OG0000113	XP_003707502.1	XP_015440166.1
OG0000114	XP_003705927.2	XP_015434902.1
OG0000115	XP_012145495.1, XP_012145493.1, XP_012145496.1, XP_012145497.1, XP_012145494.1	XP_015428477.1
OG0000116	XP_012152486.1, XP_003708319.1	XP_015434163.1, XP_015434164.1
OG0000117	XP_012142605.1	XP_015440289.1, XP_015440287.1, XP_015440288.1
OG0000118	XP_003707712.2	XP_015435404.1
OG0000119	XP_003704535.1, XP_012143272.1, XP_012143275.1, XP_012143274.1, XP_012143273.1, XP_012143269.1, XP_012143334.1, XP_003704521.1, XP_003704545.1, XP_003704542.1, XP_003704539.1, XP_003704544.2, XP_012143526.1, XP_003704543.1	XP_015431091.1
OG0000120	XP_012149882.1, XP_012149881.1, XP_003707222.2	XP_015438092.1
OG0000121	XP_003703934.2	XP_015431772.1
OG0000122	XP_003706376.1	XP_015430087.1, XP_015430094.1, XP_015430103.1
OG0000124	XP_003701800.2	XP_015436589.1, XP_015436588.1
OG0000125	XP_012136077.1, XP_003701343.1, XP_012136078.1, XP_003701310.1, XP_003701345.1, XP_012136079.1	XP_015436982.1, XP_015436981.1, XP_015436985.1, XP_015436987.1, XP_015436980.1
OG0000126	XP_012137602.1, XP_012137603.1, XP_012137605.1, XP_012137606.1, XP_012137601.1, XP_003701985.1	XP_015428736.1, XP_015428737.1, XP_015428735.1
OG0000128	XP_003707308.1, XP_012150148.1, XP_012150149.1, XP_012150150.1	XP_015440194.1
OG0000129	XP_012137132.1, XP_012137131.1, XP_012137130.1, XP_012137133.1	XP_015436626.1
OG0000130	XP_012143873.1, XP_012143874.1, XP_012143872.1, XP_003704704.1	XP_015429959.1, XP_015429961.1
OG0000131	XP_012147756.1	XP_015437714.1
OG0000132	XP_003707345.2	XP_015433331.1, XP_015433332.1, XP_015433333.1
OG0000133	XP_012147785.1	XP_015434666.1
OG0000134	XP_003705457.1, XP_003705455.2, XP_003705458.1, XP_003705446.1	XP_015431085.1
OG0000135	XP_012154330.1, XP_003700520.1	XP_015430291.1
OG0000136	XP_012145925.1	XP_015435242.1
OG0000136	XP_012147779.1	XP_015437848.1
OG0000136	XP_003706746.2	XP_015436675.1
OG0000137	XP_012152964.1	XP_015436661.1, XP_015433556.1
OG0000139	XP_012139972.1, XP_012139971.1, XP_003703059.1	XP_015440328.1
OG0000140	XP_012154290.1, XP_012154284.1, XP_012154283.1, XP_012154287.1, XP_012154285.1, XP_012154289.1, XP_003700441.1, XP_012154288.1	XP_015428456.1
OG0000141	XP_012136934.1, XP_012136932.1, XP_003701648.1, XP_012136933.1, XP_012136935.1	XP_015434298.1
OG0000142	XP_003704078.1	XP_015440004.1, XP_015440053.1
OG0000143	XP_003702087.1, XP_012138073.1, XP_012138075.1, XP_012138074.1	XP_015436700.1, XP_015436679.1, XP_015436686.1, XP_015436693.1
OG0000144	XP_012151683.1, XP_012151684.1, XP_012151682.1	XP_015433077.1
OG0000145	XP_012145329.1	XP_015439173.1
OG0000146	XP_003708387.1, XP_012152922.1	XP_015436896.1
OG0000147	XP_012141572.1	XP_015429248.1
OG0000148	XP_003700170.2, XP_012149742.1, XP_012149750.1	XP_015436232.1
OG0000149	XP_003702628.1, XP_012139175.1	XP_015433364.1
OG0000150	XP_012138047.1, XP_012138046.1, XP_003702066.1, XP_012138044.1, XP_012138043.1, XP_012138048.1	XP_015437621.1
OG0000151	XP_003699394.1	XP_015430154.1
OG0000152	XP_003700885.1, XP_012135227.1, XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1, XP_003700882.2, XP_003700841.2	XP_015429021.1
OG0000152	XP_012139968.1	XP_015428989.1
OG0000153	XP_012151021.1, XP_012152030.1	XP_015429653.1, XP_015434215.1
OG0000153	XP_012146604.1	XP_015439280.1
OG0000153	XP_012147493.1	XP_015431878.1, XP_015434213.1, XP_015436654.1
OG0000154	XP_012148716.1	XP_015436990.1, XP_015437810.1, XP_015438039.1
OG0000155	XP_012153031.1, XP_012153030.1, XP_003708480.1	XP_015430002.1
OG0000156	XP_012138202.1, XP_012138201.1, XP_012138199.1, XP_003702328.1, XP_012138200.1	XP_015429114.1
OG0000158	XP_012141367.1, XP_003699623.1	XP_015439412.1
OG0000159	XP_012148494.1, XP_003706704.1, XP_012148489.1, XP_012148490.1, XP_012148491.1, XP_012148493.1	XP_015438519.1
OG0000160	XP_012137702.1	XP_015436511.1
OG0000161	XP_003700698.1, XP_012134590.1, XP_012134591.1	XP_015438642.1
OG0000162	XP_012153110.1, XP_012153115.1, XP_012153112.1, XP_012153111.1, XP_012153114.1, XP_012153113.1, XP_003708460.1	XP_015429975.1
OG0000163	XP_012149369.1, XP_012149368.1	XP_015438423.1
OG0000164	XP_003701347.1, XP_012136090.1, XP_012136091.1, XP_012136092.1	XP_015437557.1, XP_015437559.1, XP_015437558.1
OG0000165	XP_012149513.1, XP_012149516.1, XP_012149517.1, XP_012149515.1, XP_012149514.1, XP_003707105.1	XP_015431086.1
OG0000166	XP_012137989.1, XP_012137994.1, XP_012137995.1, XP_012137993.1, XP_012137992.1, XP_012137991.1, XP_012137990.1, XP_012137988.1, XP_012137986.1, XP_012137996.1	XP_015429867.1
OG0000168	XP_012145088.1	XP_015439652.1
OG0000169	XP_012150893.1, XP_003700128.1	XP_015436217.1
OG0000170	XP_012143706.1, XP_012143704.1, XP_012143705.1, XP_012143702.1, XP_012143703.1, XP_012143700.1, XP_012143701.1, XP_003704643.1	XP_015434496.1
OG0000171	XP_003702453.2	XP_015436562.1
OG0000172	XP_003706217.1	XP_015430802.1
OG0000172	XP_012147418.1, XP_003702759.1	XP_015434046.1
OG0000173	XP_012151659.1, XP_012151663.1, XP_012151656.1, XP_012151664.1	XP_015432862.1
OG0000174	XP_012139949.1, XP_003703046.1	XP_015431688.1
OG0000175	XP_003699277.1, XP_012134863.1, XP_012134848.1, XP_012134881.1, XP_012134890.1, XP_012134857.1, XP_012134872.1, XP_012134840.1	XP_015437287.1
OG0000176	XP_012146686.1	XP_015433628.1
OG0000178	XP_003703954.1	XP_015431678.1, XP_015431789.1
OG0000178	XP_003703956.1	XP_015431680.1, XP_015431679.1
OG0000179	XP_003704233.1	XP_015432369.1
OG0000180	XP_003701026.1	XP_015432607.1, XP_015432609.1, XP_015432608.1
OG0000181	XP_012142584.1, XP_012142583.1, XP_012142582.1, XP_012142581.1, XP_012142588.1, XP_012142587.1, XP_012142586.1, XP_003704153.1	XP_015439359.1
OG0000182	XP_012144121.1, XP_012144125.1, XP_003704822.1, XP_012144124.1	XP_015436440.1, XP_015436439.1, XP_015436438.1, XP_015436441.1
OG0000183	XP_012147120.1, XP_012147119.1, XP_012147118.1	XP_015430027.1, XP_015430036.1
OG0000184	XP_003706966.1, XP_012148848.1, XP_012148849.1, XP_012148852.1, XP_012148850.1	XP_015431426.1, XP_015431427.1, XP_015431425.1
OG0000185	XP_003706495.1, XP_012148048.1, XP_012148045.1, XP_012148046.1, XP_012148047.1	XP_015438013.1
OG0000186	XP_012144798.1, XP_012144791.1	XP_015433541.1
OG0000187	XP_012142303.1	XP_015434347.1
OG0000188	XP_003700862.1, XP_012135174.1, XP_012135172.1, XP_012135173.1	XP_015429150.1
OG0000189	XP_012136525.1, XP_012136526.1, XP_003701555.1	XP_015432676.1
OG0000190	XP_012138374.1, XP_012138376.1, XP_012138375.1	XP_015431829.1
OG0000191	XP_003704574.1, XP_012143543.1	XP_015434653.1, XP_015434652.1
OG0000192	XP_012142257.1, XP_003703969.1, XP_012142260.1, XP_012142258.1, XP_012142256.1	XP_015434228.1
OG0000193	XP_012138083.1, XP_003702085.1, XP_012138082.1, XP_012138081.1	XP_015437702.1, XP_015437695.1
OG0000194	XP_012147782.1, XP_012147792.1, XP_012147787.1, XP_012147768.1, XP_003699938.1	XP_015437727.1
OG0000195	XP_012145127.1, XP_012145128.1, XP_003705274.1	XP_015433329.1, XP_015433328.1, XP_015433330.1
OG0000197	XP_003708046.2	XP_015430868.1
OG0000197	XP_012148086.1, XP_012145741.1	XP_015429676.1
OG0000198	XP_003700219.1, XP_003700218.1, XP_012153678.1, XP_012153677.1, XP_012153617.1, XP_012153681.1, XP_003700221.1, XP_003700222.2, XP_012153682.1, XP_012153679.1	XP_015439765.1, XP_015439830.1, XP_015439764.1, XP_015439837.1
OG0000200	XP_012141849.1, XP_012141850.1, XP_012141851.1, XP_012141845.1, XP_012141846.1, XP_012141847.1, XP_003703775.1	XP_015436844.1
OG0000201	XP_003704834.1, XP_012144296.1, XP_012144297.1	XP_015436162.1
OG0000202	XP_012154471.1, XP_003700565.1	XP_015437325.1
OG0000203	XP_012139529.1, XP_012139530.1, XP_003702918.1	XP_015430231.1
OG0000204	XP_003704014.1, XP_012142164.1, XP_012142163.1	XP_015431509.1, XP_015431511.1, XP_015431510.1
OG0000205	XP_012145132.1	XP_015433280.1
OG0000206	XP_003708165.1	XP_015431498.1, XP_015431497.1
OG0000207	XP_012141167.1, XP_012141169.1, XP_012141168.1, XP_012141174.1, XP_012141175.1, XP_012141172.1, XP_012141173.1, XP_012141171.1	XP_015429188.1
OG0000209	XP_012152058.1, XP_012152073.1, XP_012152066.1	XP_015436281.1
OG0000210	XP_012146838.1	XP_015432472.1
OG0000211	XP_003702511.1	XP_015430485.1
OG0000212	XP_003699274.1, XP_012154527.1, XP_012154521.1, XP_012154514.1	XP_015438832.1, XP_015438831.1, XP_015438830.1
OG0000213	XP_012144635.1	XP_015432870.1, XP_015432869.1, XP_015432866.1, XP_015432868.1, XP_015432867.1
OG0000214	XP_003703764.1, XP_012141808.1, XP_012141807.1	XP_015430841.1, XP_015430849.1
OG0000215	XP_003701024.1	XP_015434230.1
OG0000216	XP_003703313.1, XP_012140807.1, XP_012140808.1	XP_015437199.1
OG0000217	XP_003705707.1	XP_015431233.1
OG0000218	XP_003705904.2	XP_015432437.1, XP_015432430.1
OG0000219	XP_012153644.1	XP_015439988.1
OG0000220	XP_012148215.1	XP_015433093.1, XP_015434209.1
OG0000221	XP_003702794.2	XP_015439085.1
OG0000222	XP_003706708.1	XP_015438542.1
OG0000222	XP_012148976.1, XP_003706823.1	XP_015428940.1
OG0000223	XP_003702599.1	XP_015434738.1
OG0000224	XP_012138808.1, XP_012138804.1, XP_012138805.1, XP_012138806.1, XP_003702483.1, XP_012138807.1	XP_015430929.1
OG0000225	XP_012153214.1	XP_015435168.1
OG0000226	XP_012143972.1	XP_015434860.1
OG0000227	XP_012145417.1	XP_015436973.1, XP_015436974.1, XP_015436975.1
OG0000227	XP_003705347.1, XP_012153570.1	XP_015436971.1
OG0000228	XP_012151530.1, XP_012151529.1	XP_015435414.1, XP_015435413.1
OG0000229	XP_012136196.1	XP_015436804.1
OG0000230	XP_012148214.1, XP_003706551.2	XP_015433097.1, XP_015433098.1, XP_015433099.1
OG0000231	XP_012148182.1, XP_012148181.1, XP_012148184.1, XP_012148183.1, XP_012148185.1, XP_003706573.2	XP_015434546.1
OG0000232	XP_003704217.1	XP_015432406.1
OG0000233	XP_012149526.1	XP_015431093.1
OG0000234	XP_012135811.1, XP_012135995.1	XP_015437503.1
OG0000235	XP_003706133.1, XP_012147343.1, XP_012147342.1	XP_015435834.1
OG0000236	XP_003702046.1, XP_012137968.1, XP_012137967.1, XP_012137966.1	XP_015429983.1
OG0000237	XP_003701993.1, XP_012137687.1, XP_012137688.1, XP_012137686.1	XP_015436500.1
OG0000238	XP_012150544.1, XP_012150543.1, XP_003707536.1, XP_012150541.1, XP_012150542.1	XP_015439918.1
OG0000239	XP_012152085.1, XP_012148651.1, XP_003708136.1, XP_012153573.1, XP_012148653.1, XP_012137203.1	XP_015436567.1
OG0000240	XP_012143297.1, XP_012143296.1, XP_012143295.1, XP_003704508.2, XP_012143299.1, XP_012143298.1	XP_015431041.1
OG0000241	XP_012145888.1, XP_012145889.1, XP_012145890.1	XP_015428795.1
OG0000242	XP_012150909.1	XP_015436608.1
OG0000244	XP_003707714.1	XP_015434318.1
OG0000245	XP_012152881.1, XP_012152882.1, XP_012152883.1	XP_015438086.1, XP_015438085.1, XP_015438084.1
OG0000246	XP_012135512.1	XP_015430155.1
OG0000247	XP_012138007.1, XP_012138008.1	XP_015430038.1, XP_015430037.1
OG0000248	XP_003704444.2	XP_015428745.1, XP_015428747.1, XP_015428748.1
OG0000249	XP_012147526.1, XP_012147527.1, XP_012147542.1	XP_015428718.1, XP_015428722.1, XP_015428720.1
OG0000250	XP_012141839.1, XP_012141838.1, XP_012141836.1, XP_012141835.1	XP_015436838.1
OG0000251	XP_012146926.1	XP_015433212.1, XP_015433213.1, XP_015433214.1
OG0000252	XP_003708670.2, XP_012153580.1, XP_012153579.1	XP_015439601.1, XP_015439599.1
OG0000253	XP_003705522.1	XP_015428727.1
OG0000253	XP_003705520.2	XP_015428670.1
OG0000254	XP_003708223.1	XP_015435781.1
OG0000255	XP_012139723.1, XP_012139724.1	XP_015439251.1
OG0000257	XP_003699811.1, XP_012145248.1	XP_015434092.1, XP_015434094.1, XP_015434091.1, XP_015434090.1, XP_015434093.1
OG0000258	XP_012143637.1, XP_012143636.1, XP_012143634.1, XP_012143635.1	XP_015434468.1
OG0000259	XP_003701764.1	XP_015436712.1, XP_015436714.1, XP_015436713.1
OG0000260	XP_012140925.1	XP_015435795.1
OG0000260	XP_012141791.1, XP_012141417.1	XP_015429633.1
OG0000261	XP_003705105.1	XP_015430515.1
OG0000262	XP_012141446.1, XP_012141447.1, XP_012141448.1	XP_015429586.1
OG0000263	XP_012146772.1	XP_015435613.1, XP_015435612.1
OG0000264	XP_003706804.1	XP_015438442.1, XP_015438443.1, XP_015438441.1
OG0000265	XP_003699242.1, XP_012149360.1, XP_012149168.1, XP_012149224.1	XP_015440522.1
OG0000267	XP_012136599.1, XP_003701573.1	XP_015435023.1
OG0000268	XP_012138405.1, XP_012138406.1, XP_012138408.1, XP_012138407.1, XP_003702317.1	XP_015432942.1, XP_015432950.1
OG0000269	XP_003706673.1, XP_012148462.1	XP_015430099.1
OG0000270	XP_003705242.1	XP_015433275.1
OG0000271	XP_012153053.1, XP_012153055.1, XP_012153056.1, XP_012153054.1, XP_012153051.1, XP_012153050.1, XP_012153052.1	XP_015437477.1
OG0000272	XP_012143587.1	XP_015431399.1
OG0000273	XP_012138854.1, XP_012138855.1, XP_003702507.1	XP_015430495.1
OG0000274	XP_003704533.1, XP_012143457.1	XP_015428714.1
OG0000275	XP_012136137.1, XP_012136136.1, XP_012136139.1, XP_012136140.1, XP_012136138.1, XP_012136144.1, XP_012136143.1, XP_012136142.1, XP_012136141.1	XP_015432084.1
OG0000275	XP_003708680.1	XP_015432171.1, XP_015432170.1
OG0000276	XP_012152694.1	XP_015433084.1
OG0000277	XP_003702996.1, XP_012139887.1	XP_015432611.1
OG0000278	XP_012142375.1	XP_015432640.1
OG0000279	XP_012152181.1, XP_012152180.1, XP_003708140.1	XP_015429328.1
OG0000280	XP_012147611.1, XP_012147609.1, XP_012147608.1, XP_012147610.1	XP_015438081.1
OG0000281	XP_003706282.1, XP_012147617.1	XP_015431667.1
OG0000282	XP_012141911.1, XP_012141910.1, XP_012141912.1, XP_012141913.1, XP_012141914.1, XP_012141909.1, XP_012141907.1, XP_012141908.1, XP_003703865.1	XP_015430519.1
OG0000283	XP_012142526.1, XP_003704114.1, XP_012142524.1, XP_012142527.1, XP_012142525.1	XP_015432130.1
OG0000284	XP_003708557.1, XP_012153468.1, XP_012153467.1	XP_015432508.1
