Orthogroup	Megachile_rotundata	Ceratina_calcarata
OG0000059	XP_003707917.1	XP_017888173.1
OG0000060	XP_012154009.1	XP_017883584.1, XP_017883585.1, XP_017883586.1, XP_026671031.1
OG0000061	XP_012151871.1, XP_012152955.1	XP_017888656.1
OG0000061	XP_012151327.1, XP_012137125.1	XP_026668995.1
OG0000061	XP_012148418.1	XP_017889192.1
OG0000063	XP_003708656.1	XP_017889422.1
OG0000063	XP_003700660.1	XP_017888379.2
OG0000064	XP_012153286.1	XP_017886375.1
OG0000064	XP_003703285.1	XP_017875625.1, XP_017877449.1
OG0000065	XP_012135659.1	XP_026673014.1, XP_017887445.1, XP_017887444.1, XP_017887447.1
OG0000067	XP_003706502.1	XP_026667524.1, XP_026667523.1, XP_017876340.1, XP_026667525.1
OG0000068	XP_003700844.1, XP_003700845.1, XP_003700846.1	XP_017878913.1, XP_026670968.1, XP_017878912.1, XP_017878910.1, XP_017878909.1
OG0000069	XP_012139835.1	XP_026671618.1, XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1
OG0000070	XP_003702365.2	XP_026666470.1, XP_026666469.1, XP_026666468.1, XP_026666467.1, XP_026666466.1, XP_017892919.1
OG0000071	XP_012140336.1, XP_003699580.1, XP_012140342.1, XP_012140354.1, XP_012140349.1	XP_017887828.1, XP_026673221.1, XP_026673223.1, XP_017887829.1, XP_026673222.1
OG0000072	XP_003707713.1, XP_012151048.1	XP_017877526.1, XP_017877521.1
OG0000073	XP_012149658.1, XP_012149660.1, XP_003707166.1, XP_012149661.1, XP_012149659.1, XP_012149656.1, XP_012149657.1	XP_017884134.1, XP_026671383.1, XP_017884143.1, XP_017884145.1, XP_026671385.1, XP_026671384.1, XP_017884138.1, XP_017884135.1, XP_017884141.1, XP_017884140.1
OG0000074	XP_003705489.1, XP_003705491.1	XP_026672903.1
OG0000075	XP_012151963.1, XP_012142755.1, XP_012152146.1	XP_017875054.1, XP_017875124.1
OG0000076	XP_003700102.1	XP_026670219.1, XP_017881657.1
OG0000077	XP_003702219.1, XP_003702293.1	XP_017889240.1, XP_017879879.1, XP_026673871.1, XP_017879865.1, XP_017889238.1, XP_017884325.1, XP_017893576.1, XP_017889237.1, XP_017880985.2, XP_017884322.1, XP_017884320.1, XP_017884321.1, XP_017891413.1, XP_017890095.1, XP_017885068.1, XP_017877687.1, XP_017877675.1
OG0000078	XP_012140362.1, XP_012135466.1, XP_012138672.1	XP_017887324.1, XP_017880981.1
OG0000079	XP_003705989.1, XP_012147006.1, XP_012147007.1, XP_012147009.1	XP_017886387.1, XP_017886390.1, XP_017886392.1
OG0000080	XP_012140163.1, XP_012140166.1, XP_012140140.1, XP_012140138.1, XP_012140145.1, XP_012140144.1, XP_012140143.1, XP_012140158.1, XP_012140149.1, XP_012140141.1, XP_012140161.1, XP_012140159.1, XP_012140160.1, XP_012140139.1, XP_012140165.1, XP_012140156.1, XP_012140147.1, XP_012140162.1, XP_012140137.1, XP_012140146.1, XP_012140148.1, XP_012140151.1, XP_012140150.1, XP_012140153.1, XP_012140155.1, XP_012140154.1, XP_012140164.1, XP_012140157.1, XP_012140142.1	XP_026672341.1
OG0000081	XP_012135630.1	XP_017892895.1
OG0000082	XP_012141781.1, XP_012141780.1, XP_012141779.1, XP_012141774.1, XP_012141775.1, XP_012141777.1, XP_012141778.1, XP_003703743.1, XP_012141782.1	XP_017888224.1, XP_017888223.1
OG0000083	XP_003705021.1, XP_012144619.1, XP_012144618.1, XP_012144620.1, XP_012144622.1	XP_026669617.1, XP_026669618.1, XP_017880690.1, XP_017880691.1, XP_026669616.1
OG0000084	XP_012147794.1	XP_026673534.1, XP_017890567.1, XP_017892844.1, XP_017875216.1, XP_017881849.1, XP_017877435.1, XP_017889234.1
OG0000085	XP_012150709.1, XP_012150707.1, XP_012150713.1, XP_012150712.1, XP_012150711.1, XP_012150710.1, XP_012150708.1	XP_026675280.1
OG0000086	XP_003708587.1, XP_012153255.1, XP_012153256.1, XP_012153257.1	XP_017886426.1, XP_026672553.1, XP_017886424.1, XP_026672552.1, XP_017886423.1, XP_026672551.1, XP_017886421.1, XP_017886427.1
OG0000087	XP_012148433.1, XP_012148442.1, XP_012148424.1, XP_003699981.1, XP_012148439.1, XP_012148450.1, XP_012148458.1	XP_017878634.1
OG0000088	XP_012138260.1, XP_012138247.1, XP_012138255.1, XP_012138249.1	XP_017884326.1, XP_026671462.1, XP_026671456.1, XP_026671458.1, XP_026671477.1
OG0000089	XP_012138647.1, XP_012138646.1, XP_012138648.1, XP_012138644.1	XP_026666464.1
OG0000090	XP_012138159.1, XP_012138151.1, XP_012138103.1, XP_012138138.1, XP_012138142.1, XP_012138107.1, XP_012138131.1, XP_012138125.1, XP_012138118.1	XP_026672044.1, XP_026672042.1, XP_026672041.1, XP_026672043.1
OG0000091	XP_003705245.1	XP_017877858.1, XP_017877859.1, XP_026668295.1, XP_017877857.1
OG0000093	XP_012150943.1, XP_003707675.1, XP_012150944.1	XP_017876372.1
OG0000094	XP_003701456.1	XP_017879294.1
OG0000095	XP_003702089.1, XP_012138104.1	XP_026673145.1
OG0000096	XP_012142191.1	XP_017886082.1
OG0000097	XP_003707142.1, XP_012149524.1	XP_017892085.1, XP_017892086.1, XP_017892083.1, XP_017892084.1, XP_026675169.1
OG0000098	XP_003706809.1, XP_012148932.1, XP_012148931.1, XP_012148926.1, XP_012148934.1, XP_012148935.1, XP_012148937.1, XP_012148938.1, XP_012148928.1, XP_012148927.1, XP_012148933.1, XP_012148929.1	XP_017882238.1
OG0000099	XP_003703781.1, XP_012141871.1, XP_012141870.1, XP_012141872.1, XP_012141873.1	XP_017889155.1, XP_026673796.1
OG0000100	XP_012153562.1	XP_017880858.1, XP_017879159.1
OG0000101	XP_003704125.1	XP_017886991.1
OG0000102	XP_012141540.1	XP_026667505.1, XP_026667481.1, XP_017889865.1, XP_017889782.1
OG0000103	XP_012135254.1, XP_012135257.1, XP_012135256.1, XP_012135255.1, XP_012135258.1	XP_017877636.1, XP_017877637.1
OG0000104	XP_012143625.1	XP_017883820.1
OG0000104	XP_003701076.1	XP_017883824.1
OG0000104	XP_012135503.1	XP_026671257.1, XP_026671258.1, XP_017883828.1
OG0000105	XP_012136124.1	XP_026667948.1
OG0000106	XP_012138586.1, XP_003702422.1, XP_003701631.1	XP_017875115.1
OG0000106	XP_012145431.1, XP_012145432.1, XP_012145429.1	XP_026673061.1
OG0000106	XP_012146360.1, XP_012152390.1	XP_017889204.1
OG0000107	XP_012136548.1, XP_012153588.1	XP_017891841.1
OG0000108	XP_012143361.1, XP_012143353.1, XP_012143348.1, XP_012143367.1, XP_012143333.1, XP_003699743.1, XP_012143339.1	XP_026670402.1, XP_026670401.1, XP_026670400.1, XP_026670404.1, XP_026670403.1
OG0000109	XP_003705113.1, XP_012144753.1, XP_012144754.1	XP_026671007.1, XP_026671006.1, XP_026671005.1
OG0000110	XP_012152676.1, XP_003708291.1	XP_017892171.1
OG0000110	XP_003708289.1, XP_012152675.1	XP_017892165.1
OG0000112	XP_003700843.1	XP_026672267.1
OG0000112	XP_003700936.1, XP_003700935.1	XP_017880491.1, XP_026669563.1, XP_026669568.1
OG0000113	XP_003707502.1	XP_017892665.1, XP_026675553.1, XP_026675554.1, XP_026675552.1, XP_026675550.1, XP_026675551.1
OG0000114	XP_003705927.2	XP_017886343.1, XP_017886344.1, XP_017886345.1, XP_026672489.1, XP_026672487.1, XP_026672490.1, XP_017886342.1
OG0000115	XP_012145495.1, XP_012145493.1, XP_012145496.1, XP_012145497.1, XP_012145494.1	XP_017886767.1, XP_017886766.1
OG0000116	XP_012152486.1, XP_003708319.1	XP_017884703.1, XP_017884704.1, XP_017884702.1, XP_026671694.1, XP_017884701.1
OG0000117	XP_012142605.1	XP_017882899.1, XP_017882898.1, XP_017882897.1, XP_026670787.1
OG0000118	XP_003707712.2	XP_026668129.1, XP_017877527.1, XP_017877528.1, XP_026668130.1
OG0000119	XP_003704535.1, XP_012143272.1, XP_012143275.1, XP_012143274.1, XP_012143273.1, XP_012143269.1, XP_012143334.1, XP_003704521.1, XP_003704545.1, XP_003704542.1, XP_003704539.1, XP_003704544.2, XP_012143526.1, XP_003704543.1	XP_017878262.1
OG0000121	XP_003703934.2	XP_026673616.1, XP_026673617.1, XP_017888701.1, XP_017888699.1, XP_026673621.1, XP_026673620.1, XP_026673619.1, XP_026673618.1
OG0000122	XP_003706376.1	XP_017882975.1
OG0000124	XP_003701800.2	XP_017882800.1
OG0000125	XP_012136077.1, XP_003701343.1, XP_012136078.1, XP_003701310.1, XP_003701345.1, XP_012136079.1	NP_001352268.1, XP_026670615.1, XP_017883314.2, XP_017882560.1
OG0000126	XP_012137602.1, XP_012137603.1, XP_012137605.1, XP_012137606.1, XP_012137601.1, XP_003701985.1	XP_017880325.2
OG0000128	XP_003707308.1, XP_012150148.1, XP_012150149.1, XP_012150150.1	XP_017891768.1
OG0000129	XP_012137132.1, XP_012137131.1, XP_012137130.1, XP_012137133.1	XP_026669826.1
OG0000130	XP_012143873.1, XP_012143874.1, XP_012143872.1, XP_003704704.1	XP_017881384.1, XP_017881383.1, XP_017881382.1, XP_017881381.1
OG0000131	XP_012147756.1	XP_017878542.1
OG0000132	XP_003707345.2	XP_017883758.1, XP_026671172.1, XP_026671174.1, XP_026671173.1, XP_017883759.1
OG0000133	XP_012147785.1	XP_017886546.1, XP_026666824.1, XP_017892307.1, XP_017893308.1, XP_026672447.1, XP_026673906.1, XP_026674185.1, XP_017892139.2
OG0000134	XP_003705457.1, XP_003705455.2, XP_003705458.1, XP_003705446.1	XP_017875026.1
OG0000135	XP_012154330.1, XP_003700520.1	XP_026671116.1, XP_017883719.1, XP_026671117.1
OG0000136	XP_012145925.1	XP_026672920.1
OG0000138	XP_012144947.1, XP_012144976.1, XP_012144975.1, XP_012145003.1, XP_012145005.1, XP_012145004.1, XP_012151858.1	XP_026671369.1, XP_017879512.1, XP_026671918.1, XP_026667100.1, XP_026674362.1, XP_026669807.1
OG0000139	XP_012139972.1, XP_012139971.1, XP_003703059.1	XP_026666767.1, XP_017893376.1
OG0000140	XP_012154290.1, XP_012154284.1, XP_012154283.1, XP_012154287.1, XP_012154285.1, XP_012154289.1, XP_003700441.1, XP_012154288.1	XP_026674589.1, XP_017890677.1
OG0000141	XP_012136934.1, XP_012136932.1, XP_003701648.1, XP_012136933.1, XP_012136935.1	XP_017880688.1, XP_017880687.1, XP_017880686.1
OG0000142	XP_003704078.1	XP_017889788.1, XP_026666719.1, XP_026666720.1
OG0000143	XP_003702087.1, XP_012138073.1, XP_012138075.1, XP_012138074.1	XP_017887622.1, XP_026673152.1
OG0000144	XP_012151683.1, XP_012151684.1, XP_012151682.1	XP_017890258.1
OG0000145	XP_012145329.1	XP_017885680.1
OG0000146	XP_003708387.1	XP_026670142.1, XP_026670143.1, XP_017881716.1
OG0000147	XP_012141572.1	XP_026672117.1, XP_017885549.1
OG0000148	XP_003700170.2, XP_012149742.1, XP_012149750.1	XP_026670174.1, XP_026670184.1, XP_026670178.1, XP_017881549.1
OG0000149	XP_003702628.1, XP_012139175.1	XP_017877822.1, XP_017877823.1, XP_026668289.1, XP_017877820.1, XP_017877821.1
OG0000150	XP_012138047.1, XP_012138046.1, XP_003702066.1, XP_012138044.1, XP_012138043.1, XP_012138048.1	XP_017885915.1
OG0000151	XP_003699394.1	XP_026674879.1, XP_026674878.1, XP_017891285.1
OG0000152	XP_003700885.1, XP_012135227.1, XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1, XP_003700882.2, XP_003700841.2	XP_017888048.1, XP_017877450.1, XP_017888163.1, XP_017889733.1
OG0000153	XP_012146604.1	XP_017884046.1
OG0000153	XP_012147493.1	XP_017892608.1, XP_026666981.1, XP_026673328.1
OG0000155	XP_012153031.1, XP_012153030.1, XP_003708480.1	XP_017875092.1, XP_017875091.1, XP_026666936.1, XP_026666937.1
OG0000156	XP_012138202.1, XP_012138201.1, XP_012138199.1, XP_003702328.1, XP_012138200.1	XP_026675129.1, XP_017891686.1, XP_017891695.1
OG0000157	XP_012146210.1	XP_017892253.1
OG0000158	XP_012141367.1, XP_003699623.1	XP_017891545.1
OG0000159	XP_012148494.1, XP_003706704.1, XP_012148489.1, XP_012148490.1, XP_012148491.1, XP_012148493.1	XP_017876697.1
OG0000160	XP_003701781.1, XP_012137702.1	XP_026669836.1, XP_026669837.1
OG0000161	XP_003700698.1, XP_012134590.1, XP_012134591.1	XP_017886702.1
OG0000162	XP_012153110.1, XP_012153115.1, XP_012153112.1, XP_012153111.1, XP_012153114.1, XP_012153113.1, XP_003708460.1	XP_017887986.1, XP_017887985.1, XP_026673272.1, XP_017887983.1
OG0000163	XP_012149369.1, XP_012149368.1	XP_026670456.1, XP_017882110.1, XP_017882109.1
OG0000164	XP_003701347.1, XP_012136090.1, XP_012136091.1, XP_012136092.1	XP_017875333.1, XP_026667075.1, XP_026667076.1, XP_026667074.1, XP_017875332.1, XP_017875336.1, XP_017875334.1, XP_026667073.1
OG0000165	XP_012149513.1, XP_012149516.1, XP_012149517.1, XP_012149515.1, XP_012149514.1, XP_003707105.1	XP_017885731.1
OG0000166	XP_012137989.1, XP_012137994.1, XP_012137995.1, XP_012137993.1, XP_012137992.1, XP_012137991.1, XP_012137990.1, XP_012137988.1, XP_012137986.1, XP_012137996.1	XP_017885198.1, XP_017885199.1
OG0000167	XP_003703821.1	XP_026670076.1, XP_026670075.1, XP_017881592.1
OG0000168	XP_012145089.1, XP_012145087.1, XP_012145085.1	XP_026670843.1, XP_026670846.1, XP_017883071.2
OG0000169	XP_012150893.1, XP_003700128.1	XP_017876202.1
OG0000170	XP_012143706.1, XP_012143704.1, XP_012143705.1, XP_012143702.1, XP_012143703.1, XP_012143700.1, XP_012143701.1, XP_003704643.1	XP_017885221.1
OG0000171	XP_003702453.2	XP_017881127.1, XP_017881130.1, XP_017881133.1, XP_026669825.1, XP_026669824.1, XP_026669823.1
OG0000172	XP_003706217.1	XP_017893620.1
OG0000172	XP_012147418.1	XP_017893593.1
OG0000173	XP_012151659.1, XP_012151663.1, XP_012151656.1, XP_012151664.1	XP_026669498.1, XP_026669481.1, XP_026669413.1
OG0000174	XP_012139949.1, XP_003703046.1	XP_026673608.1, XP_017888695.1, XP_017888696.1, XP_017888680.1, XP_017888716.1
OG0000175	XP_003699277.1, XP_012134863.1, XP_012134848.1, XP_012134881.1, XP_012134890.1, XP_012134857.1, XP_012134872.1, XP_012134840.1	XP_017890461.1
OG0000176	XP_012146686.1	XP_017880967.1
OG0000177	XP_003703976.1	XP_017882448.1
OG0000178	XP_003703954.1	XP_017881697.1
OG0000178	XP_003703956.1	XP_017875129.1, XP_026672588.1, XP_017887778.1, XP_017887780.1, XP_017885409.1
OG0000179	XP_003704233.1	XP_017877534.1, XP_026668146.1
OG0000180	XP_003701026.1	XP_026674969.1, XP_026674968.1, XP_017891628.1
OG0000181	XP_012142584.1, XP_012142583.1, XP_012142582.1, XP_012142581.1, XP_012142588.1, XP_012142587.1, XP_012142586.1, XP_003704153.1	XP_026672518.1
OG0000182	XP_012144121.1, XP_012144125.1, XP_003704822.1, XP_012144124.1	XP_017880418.1, XP_017880419.1
OG0000183	XP_012147120.1, XP_012147119.1, XP_012147118.1	XP_017882623.1
OG0000184	XP_003706966.1, XP_012148848.1, XP_012148849.1, XP_012148852.1, XP_012148850.1	XP_017876664.1, XP_017876665.1, XP_017876663.1
OG0000185	XP_003706495.1, XP_012148048.1, XP_012148045.1, XP_012148046.1, XP_012148047.1	XP_017879769.1
OG0000186	XP_012144798.1, XP_012144791.1	XP_017888821.1, XP_017888817.1, XP_026673721.1
OG0000187	XP_012142303.1	XP_026670559.1, XP_026670560.1, XP_026670558.1, XP_017882423.1
OG0000188	XP_003700862.1, XP_012135174.1, XP_012135172.1, XP_012135173.1	XP_017884176.1
OG0000189	XP_012136525.1, XP_012136526.1, XP_003701555.1	XP_017878226.1, XP_017878228.1, XP_017878227.1
OG0000190	XP_012138374.1, XP_012138376.1, XP_012138375.1	XP_017884018.1, XP_017884019.1, XP_017884017.1
OG0000191	XP_003704574.1, XP_012143543.1	XP_017880232.1
OG0000192	XP_012142257.1, XP_003703969.1, XP_012142260.1, XP_012142258.1, XP_012142256.1	XP_017880933.1, XP_017880930.1, XP_017880932.1, XP_017880934.1, XP_017880931.1
OG0000193	XP_012138083.1, XP_003702085.1, XP_012138082.1, XP_012138081.1	XP_017887620.1
OG0000194	XP_012147782.1, XP_012147792.1, XP_012147787.1, XP_012147768.1, XP_003699938.1	XP_017878656.1, XP_026668642.1, XP_017878658.1
OG0000195	XP_012145127.1, XP_012145128.1, XP_003705274.1	XP_017883056.1, XP_017883055.1, XP_017883054.1
OG0000196	XP_012151022.1	XP_017884071.1
OG0000196	XP_012136803.1	XP_017876343.2
OG0000196	XP_012153221.1, XP_012152710.1	XP_017892042.1, XP_017881561.1
OG0000197	XP_003708046.2	XP_026674136.1
OG0000197	XP_012148086.1, XP_012145741.1	XP_026675479.1
OG0000198	XP_003700219.1, XP_003700218.1, XP_012153678.1, XP_012153677.1, XP_012153617.1, XP_012153681.1, XP_003700221.1, XP_003700222.2, XP_012153682.1, XP_012153679.1	XP_017879823.1, XP_026669191.1
OG0000200	XP_012141849.1, XP_012141850.1, XP_012141851.1, XP_012141845.1, XP_012141846.1, XP_012141847.1, XP_003703775.1	XP_026667451.1, XP_017876164.1
OG0000201	XP_003704834.1, XP_012144296.1, XP_012144297.1	XP_017881852.1, XP_026669889.1, XP_026669892.1
OG0000202	XP_012154471.1, XP_003700565.1	XP_017878411.1, XP_017878410.1
OG0000203	XP_012139529.1, XP_012139530.1, XP_003702918.1	XP_017884937.1
OG0000204	XP_003704014.1, XP_012142164.1, XP_012142163.1	XP_017887339.1
OG0000205	XP_012145132.1	XP_026670898.1
OG0000206	XP_003708165.1	XP_017886453.1
OG0000207	XP_012141167.1, XP_012141169.1, XP_012141168.1, XP_012141174.1, XP_012141175.1, XP_012141172.1, XP_012141173.1, XP_012141171.1	XP_017885543.1, XP_017885544.1
OG0000208	XP_012138825.1, XP_003702497.1	XP_017877130.1, XP_026667913.1
