HOG	OG	Gene Tree Parent Clade	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
N15.HOG0000146	OG0000005	n126												XP_012147629.1				XP_029055018.1					
N15.HOG0000147	OG0000005	n138												XP_012136356.1					XP_034192460.1				
N15.HOG0000148	OG0000005	n144																	XP_034194826.1				
N15.HOG0000149	OG0000005	n146												XP_012148507.1				XP_029055181.1					
N15.HOG0000150	OG0000005	n152												XP_012144558.1									
N15.HOG0000151	OG0000005	n153												XP_012151876.1									
N15.HOG0000152	OG0000005	n194												XP_012134947.1				XP_029038971.1	XP_034186984.1				
N15.HOG0000153	OG0000005	n203												XP_012139414.1, XP_012143327.1									
N15.HOG0000154	OG0000005	n205																	XP_034192193.1, XP_034194539.1				
N15.HOG0000155	OG0000005	n207																	XP_034194200.1, XP_034195320.1				
N15.HOG0000156	OG0000005	n215												XP_012139081.1									
N15.HOG0000157	OG0000005	n220																XP_029054264.1	XP_034195050.1, XP_034194985.1				
N15.HOG0000158	OG0000005	n236												XP_012146357.1, XP_012151027.1, XP_012150520.1				XP_029054697.1, XP_029053461.1, XP_029054741.1, XP_029052591.1, XP_029053451.1	XP_034195200.1, XP_034194884.1, XP_034195199.1, XP_034194801.1, XP_034177368.1, XP_034183909.1				
N15.HOG0000159	OG0000005	n251												XP_012152029.1				XP_029054831.1, XP_029055253.1, XP_029053867.1, XP_029055265.1, XP_029052800.1, XP_029054775.1	XP_034192544.1, XP_034194984.1				
N15.HOG0000160	OG0000005	n260												XP_012150440.1, XP_012146064.1, XP_012150438.1, XP_012150439.1, XP_012150437.1, XP_012145934.1				XP_029054745.1, XP_029055162.1, XP_029055178.1, XP_029054077.1, XP_029054700.1	XP_034195194.1, XP_034195189.1				
N15.HOG0000161	OG0000005	n272																XP_029054036.1, XP_029054427.1, XP_029054618.1, XP_029055048.1					
N15.HOG0000162	OG0000005	n276												XP_012150985.1				XP_029055241.1, XP_029055047.1	XP_034194633.1				
N15.HOG0000163	OG0000005	n279												XP_012152158.1, XP_012142570.1, XP_012148727.1, XP_012151833.1, XP_012151897.1				XP_029036971.1, XP_029055156.1, XP_029053759.1, XP_029054660.1, XP_029054922.1, XP_029055229.1	XP_034189857.1, XP_034194584.1, XP_034194881.1				
N15.HOG0000164	OG0000005	n293												XP_012151889.1, XP_012152114.1									
N15.HOG0000165	OG0000006	n9																XP_029036176.1	XP_034178505.1, XP_034178504.1				
N15.HOG0000166	OG0000006	n12												XP_003704378.1				XP_029036174.1, XP_029036173.1	XP_034178575.1, XP_034178513.1, XP_034178578.1, XP_034178576.1				
N15.HOG0000167	OG0000006	n18												XP_012143130.1				XP_029036170.1	XP_034178500.1, XP_034178499.1				
N15.HOG0000168	OG0000006	n21																	XP_034178511.1, XP_034178577.1				
N15.HOG0000169	OG0000006	n30												XP_012143123.1				XP_029036167.1	XP_034178579.1				
N15.HOG0000170	OG0000006	n45												XP_012143124.1, XP_012142982.1				XP_029036178.1					
N15.HOG0000171	OG0000006	n47												XP_012143125.1, XP_012143126.1, XP_003704370.1				XP_029036177.1					
N15.HOG0000172	OG0000006	n50												XP_012143127.1, XP_012143128.1									
N15.HOG0000173	OG0000006	n80												XP_012143129.1									
N15.HOG0000174	OG0000006	n86																	XP_034178574.1				
N15.HOG0000175	OG0000006	n153												XP_012142988.1					XP_034178514.1				
N15.HOG0000176	OG0000006	n241												XP_003707057.2, XP_012149242.1				XP_029033655.1	XP_034189642.1				
N15.HOG0000177	OG0000006	n275												XP_012142989.1									
N15.HOG0000178	OG0000007	n21																XP_029054123.1, XP_029055261.1, XP_029055254.1	XP_034192555.1, XP_034194792.1, XP_034195128.1				
N15.HOG0000179	OG0000007	n40																XP_029054451.1, XP_029054587.1					
N15.HOG0000180	OG0000007	n100																XP_029055077.1, XP_029053862.1, XP_029053484.1	XP_034184035.1				
N15.HOG0000181	OG0000007	n107																XP_029053574.1	XP_034192270.1				
N15.HOG0000182	OG0000007	n117																XP_029053982.1	XP_034192484.1				
N15.HOG0000183	OG0000007	n127																	XP_034194023.1				
N15.HOG0000184	OG0000007	n128																XP_029054695.1, XP_029055216.1					
N15.HOG0000185	OG0000007	n133																XP_029054809.1	XP_034178195.1, XP_034194607.1				
N15.HOG0000186	OG0000007	n144																XP_029055155.1, XP_029054680.1	XP_034194576.1				
N15.HOG0000187	OG0000007	n148																XP_029054781.1	XP_034174772.1				
N15.HOG0000188	OG0000007	n151																	XP_034171871.1, XP_034195291.1				
N15.HOG0000189	OG0000007	n205																	XP_034194211.1				
N15.HOG0000190	OG0000008	n1												XP_003705710.1				XP_029037761.1	XP_034185974.1				
N15.HOG0000191	OG0000008	n29												XP_003705708.1				XP_029037752.1, XP_029037753.1	XP_034185973.1				
N15.HOG0000192	OG0000008	n65												XP_012141335.1				XP_029041248.1	XP_034181671.1				
N15.HOG0000193	OG0000008	n87												XP_003705713.2					XP_034185970.1				
N15.HOG0000194	OG0000008	n126												XP_003705711.1				XP_029037757.1	XP_034185983.1				
N15.HOG0000195	OG0000008	n153												XP_003705712.1				XP_029037755.1	XP_034185979.1, XP_034185978.1				
N15.HOG0000196	OG0000008	n184												XP_003705707.1				XP_029037762.1	XP_034185982.1, XP_034185981.1, XP_034185980.1				
N15.HOG0000197	OG0000009	n89												XP_012145773.1				XP_029039353.1	XP_034180231.1				
N15.HOG0000198	OG0000009	n100												XP_012145771.1				XP_029039355.1	XP_034180230.1				
N15.HOG0000199	OG0000009	n103												XP_012145774.1				XP_029039354.1	XP_034180232.1				
N15.HOG0000200	OG0000009	n120												XP_003703411.1				XP_029050383.1	XP_034195958.1				
N15.HOG0000201	OG0000009	n154																XP_029039416.1	XP_034180228.1, XP_034180226.1				
N15.HOG0000202	OG0000009	n189												XP_003705489.1, XP_003705491.1				XP_029039350.1, XP_029039348.1, XP_029039349.1	XP_034180498.1, XP_034180227.1				
N15.HOG0000203	OG0000010	n1																XP_029054229.1, XP_029053726.1, XP_029053824.1					
N15.HOG0000204	OG0000010	n56																XP_029054044.1, XP_029054342.1, XP_029053689.1, XP_029053833.1, XP_029054571.1, XP_029055204.1, XP_029055000.1, XP_029054706.1, XP_029054282.1, XP_029054238.1	XP_034183416.1, XP_034194926.1, XP_034195327.1, XP_034192190.1, XP_034190727.1, XP_034183422.1, XP_034182488.1				
N15.HOG0000205	OG0000010	n73												XP_012152972.1									
N15.HOG0000206	OG0000010	n88												XP_012150535.1									
N15.HOG0000207	OG0000010	n108												XP_012143531.1, XP_012153225.1									
N15.HOG0000208	OG0000010	n133												XP_012148716.1, XP_012153217.1				XP_029054090.1					
N15.HOG0000209	OG0000010	n139												XP_012147794.1, XP_012152741.1									
N15.HOG0000210	OG0000010	n164																XP_029054267.1	XP_034195328.1				
N15.HOG0000211	OG0000010	n166												XP_012146537.1									
N15.HOG0000212	OG0000010	n178												XP_012145702.1				XP_029053688.1, XP_029055081.1	XP_034195161.1, XP_034182489.1				
N15.HOG0000213	OG0000011	n5																	XP_034179513.1				
N15.HOG0000214	OG0000011	n30												XP_003704160.1, XP_003704145.1				XP_029054371.1	XP_034179498.1				
N15.HOG0000215	OG0000011	n38												XP_003704159.1				XP_029054367.1					
N15.HOG0000216	OG0000011	n48												XP_012152696.1, XP_012152697.1				XP_029039510.1, XP_029039509.1, XP_029039508.1	XP_034179504.1, XP_034179577.1, XP_034179501.1, XP_034179503.1, XP_034179500.1, XP_034179514.1, XP_034178976.1				
N15.HOG0000217	OG0000011	n88																XP_029039506.1	XP_034178986.1				
N15.HOG0000218	OG0000011	n91												XP_012152699.1, XP_012142611.1, XP_003708369.2, XP_012152698.1, XP_012142612.1				XP_029039474.1, XP_029039507.1	XP_034179499.1, XP_034179569.1, XP_034178978.1				
N15.HOG0000219	OG0000011	n118												XP_012142616.1				XP_029053128.1, XP_029053127.1, XP_029052576.1, XP_029054131.1, XP_029054129.1, XP_029052577.1, XP_029053130.1, XP_029053132.1, XP_029053134.1, XP_029052579.1, XP_029053590.1, XP_029053754.1, XP_029053755.1	XP_034179326.1, XP_034179109.1, XP_034179107.1, XP_034179104.1, XP_034179567.1, XP_034179496.1, XP_034178945.1, XP_034179106.1, XP_034179327.1, XP_034178946.1, XP_034192240.1, XP_034179568.1				
N15.HOG0000220	OG0000011	n144												XP_012142615.1				XP_029053123.1, XP_029054135.1, XP_029053126.1	XP_034179105.1				
N15.HOG0000221	OG0000011	n148												XP_012142614.1				XP_029053131.1, XP_029054368.1	XP_034179001.1, XP_034179112.1				
N15.HOG0000222	OG0000011	n152																XP_029054370.1, XP_029052586.1, XP_029054369.1	XP_034179515.1, XP_034179497.1				
N15.HOG0000223	OG0000011	n179																	XP_034178947.1				
N15.HOG0000224	OG0000011	n186												XP_003704157.1, XP_003704158.1					XP_034179578.1				
N15.HOG0000225	OG0000012	n2												XP_012141586.1				XP_029044618.1	XP_034181531.1				
N15.HOG0000226	OG0000012	n45												XP_003705464.1				XP_029040151.1					
N15.HOG0000227	OG0000012	n63												XP_003705466.1				XP_029040169.1	XP_034195538.1				
N15.HOG0000228	OG0000012	n147												XP_003705999.2				XP_029036967.1	XP_034193627.1				
N15.HOG0000229	OG0000012	n162												XP_012146828.1				XP_029036856.1	XP_034193628.1				
N15.HOG0000230	OG0000012	n187												XP_012146827.1					XP_034193625.1				
N15.HOG0000231	OG0000013	n34																XP_029054967.1	XP_034195020.1				
N15.HOG0000232	OG0000013	n55																	XP_034174016.1				
N15.HOG0000233	OG0000013	n103																	XP_034171451.1				
N15.HOG0000234	OG0000013	n120																	XP_034173427.1				
N15.HOG0000235	OG0000013	n125																	XP_034171174.1				
N15.HOG0000236	OG0000013	n128																XP_029053372.1					
N15.HOG0000237	OG0000013	n188												XP_003708096.1									
N15.HOG0000238	OG0000013	n193																XP_029037649.1					
N15.HOG0000239	OG0000014	n13												XP_003703733.1				XP_029035522.1, XP_029053444.1, XP_029055146.1, XP_029053956.1, XP_029054088.1, XP_029051685.1	XP_034173943.1, XP_034175387.1, XP_034171057.1, XP_034183943.1, XP_034173506.1				
N15.HOG0000240	OG0000014	n34												XP_012153581.1, XP_012141730.1				XP_029051694.1	XP_034173507.1				
N15.HOG0000241	OG0000014	n41												XP_003707917.1				XP_029051987.1	XP_034173418.1				
N15.HOG0000242	OG0000014	n171																XP_029054658.1					
N15.HOG0000243	OG0000015	n50												XP_012145739.1, XP_012152739.1, XP_012152726.1					XP_034195318.1, XP_034194991.1				
N15.HOG0000244	OG0000015	n57												XP_012152737.1, XP_012152738.1, XP_012151351.1, XP_012152725.1					XP_034194842.1, XP_034195186.1				
N15.HOG0000245	OG0000015	n95																XP_029053802.1					
N15.HOG0000246	OG0000015	n105																XP_029055226.1					
N15.HOG0000247	OG0000015	n112																XP_029054043.1, XP_029054625.1					
N15.HOG0000248	OG0000015	n134																XP_029054764.1, XP_029055153.1					
N15.HOG0000249	OG0000015	n156																XP_029055256.1	XP_034195038.1, XP_034194992.1, XP_034195335.1				
N15.HOG0000250	OG0000015	n170																	XP_034194993.1, XP_034195336.1				
N15.HOG0000251	OG0000015	n173																	XP_034195047.1				
N15.HOG0000252	OG0000015	n179																	XP_034195037.1				
N15.HOG0000253	OG0000016	n13																XP_029054344.1, XP_029054391.1, XP_029053686.1	XP_034192195.1				
N15.HOG0000254	OG0000016	n23																XP_029054495.1					
N15.HOG0000255	OG0000016	n25												XP_012147724.1, XP_012151016.1				XP_029055268.1	XP_034177371.1				
N15.HOG0000256	OG0000016	n29																XP_029053711.1					
N15.HOG0000257	OG0000016	n51												XP_012141582.1				XP_029055014.1, XP_029051957.1, XP_029054619.1	XP_034174822.1				
N15.HOG0000258	OG0000016	n58																XP_029053691.1, XP_029054936.1	XP_034182100.1				
N15.HOG0000259	OG0000016	n61																XP_029054642.1					
N15.HOG0000260	OG0000016	n133												XP_012153435.1									
N15.HOG0000261	OG0000016	n135												XP_012148641.1									
N15.HOG0000262	OG0000016	n139												XP_012148353.1					XP_034172342.1				
N15.HOG0000263	OG0000016	n140												XP_012150531.1, XP_012150588.1, XP_012152709.1					XP_034177369.1				
N15.HOG0000264	OG0000016	n143												XP_012142648.1									
N15.HOG0000265	OG0000016	n151												XP_012146322.1									
N15.HOG0000266	OG0000016	n154												XP_012152965.1, XP_012147489.1, XP_012135752.1, XP_012146605.1, XP_012145822.1									
N15.HOG0000267	OG0000017	n3												XP_012136742.1				XP_029036237.1	XP_034170905.1				
N15.HOG0000268	OG0000017	n81												XP_012145418.1				XP_029039562.1					
N15.HOG0000269	OG0000017	n157												XP_012145417.1				XP_029039555.1	XP_034178979.1				
N15.HOG0000270	OG0000017	n172												XP_003705347.1, XP_012153570.1				XP_029039565.1, XP_029039563.1, XP_029039564.1	XP_034178985.1, XP_034178984.1				
N15.HOG0000271	OG0000018	n15																XP_029051327.1	XP_034175482.1				
N15.HOG0000272	OG0000018	n61																XP_029048068.1, XP_029048069.1, XP_029048067.1					
N15.HOG0000273	OG0000018	n103												XP_003699290.1				XP_029049739.1, XP_029049738.1, XP_029049740.1	XP_034193265.1, XP_034193266.1, XP_034193267.1, XP_034193268.1				
N15.HOG0000274	OG0000018	n144												XP_012135493.1				XP_029049735.1	XP_034193261.1				
