Orthogroup	Acyrthosiphon_pisum	Megachile_rotundata
OG0000004	XP_008184892.1, XP_008189998.1, XP_016658202.2, XP_029348322.1, XP_029348356.1, XP_008186742.1, XP_008178409.1, XP_008189971.1, XP_029348597.1, XP_016661423.2, XP_008180700.1	XP_012153684.1, XP_012145948.1, XP_012153556.1, XP_012152733.1, XP_003708235.1
OG0000004	XP_008188519.1, XP_008178932.1, XP_008181865.1, XP_008189921.1, XP_029347881.1, XP_008184523.1, XP_016659515.1	XP_012142569.1, XP_012151017.1, XP_012152967.1
OG0000004	XP_008182727.1	XP_012151870.1, XP_012146535.1
OG0000004	XP_016656673.1, XP_008178407.1, XP_029340984.1	XP_012151143.1
OG0000004	XP_029348167.1	XP_012138587.1, XP_012143764.1, XP_012153187.1
OG0000004	XP_008181189.1, XP_008178696.1, XP_008184865.1, XP_029348501.1, XP_008189957.1, XP_008187534.1, XP_029347760.1	XP_012147779.1, XP_012145925.1, XP_003706746.2, XP_003706754.1, XP_012153575.1, XP_012145432.1, XP_012145431.1, XP_012145448.1, XP_012138586.1, XP_003702422.1, XP_003701631.1, XP_012152390.1, XP_012146360.1
OG0000005	XP_016662685.1	XP_012141791.1
OG0000005	XP_001944491.1	XP_012154410.1, XP_012154409.1, XP_012139976.1, XP_012134537.1
OG0000005	XP_008183396.1	XP_012146667.1
OG0000006	XP_016661819.1	XP_003704378.1, XP_012143130.1, XP_012143123.1, XP_012143124.1, XP_012142982.1, XP_012143125.1, XP_012143126.1, XP_003704370.1, XP_012143127.1, XP_012143128.1, XP_012143129.1, XP_012142988.1, XP_003707057.2, XP_012149242.1, XP_012142989.1
OG0000008	XP_016663037.1	XP_003705710.1
OG0000008	XP_029347046.1	XP_003705708.1
OG0000008	XP_001942555.1, XP_008181935.1	XP_012141335.1
OG0000008	XP_001951039.1, XP_016661460.1, XP_008179022.1, XP_001946107.1	XP_003705713.2
OG0000008	XP_001945226.1	XP_003705711.1
OG0000008	XP_001948787.1, XP_008186873.1	XP_003705712.1
OG0000008	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3	XP_003705707.1
OG0000010	XP_016657651.1	XP_012152972.1, XP_012150535.1, XP_012143531.1, XP_012153225.1, XP_012148716.1, XP_012153217.1, XP_012147794.1, XP_012152741.1, XP_012146537.1, XP_012145702.1
OG0000013	XP_001952101.2, XP_008190047.2, XP_008190048.2, XP_003246588.2	XP_003707914.1
OG0000013	XP_008188188.1, XP_008186887.1	XP_003708097.1
OG0000015	XP_029343966.1, XP_029343965.1, XP_029348486.1, XP_008181210.1, XP_029347859.1, XP_016664423.1, XP_029348122.1, XP_029341074.1, XP_029345565.1, XP_008178712.1, XP_016663080.1, XP_029345242.1, XP_008185956.2, XP_016664373.2, XP_008178216.1, XP_008190259.1, XP_029342176.1, XP_008184420.1, XP_008182443.1, XP_008181582.1, XP_008184153.1, XP_008181530.1, XP_016662279.1, XP_016660325.1, XP_008184146.1, XP_016657818.1, XP_029347974.1, XP_008190127.1, XP_008179598.1, XP_008180455.1, XP_008180286.1, XP_008184081.1, XP_029348190.1	XP_012145739.1, XP_012152739.1, XP_012152726.1
OG0000015	XP_008189353.1, XP_008184080.1, XP_008180285.1, XP_008190003.1, XP_008188971.1, XP_016657819.1, XP_008183148.1, XP_016660685.1, XP_008189219.1, XP_008189675.1, XP_029347731.1, XP_016663609.1, XP_029344008.1, XP_008187493.2, XP_008189577.1, XP_008178242.1, XP_008189575.1, XP_008180161.1	XP_012152737.1, XP_012152738.1, XP_012151351.1, XP_012152725.1
OG0000016	XP_008179439.1, XP_008188179.1, XP_008189245.1	XP_012147724.1, XP_012151016.1, XP_012141582.1
OG0000017	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1	XP_012145417.1, XP_003705347.1, XP_012153570.1
OG0000018	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2	XP_003699290.1, XP_012135493.1, XP_012146800.1, XP_012146802.1, XP_012146801.1, XP_012146803.1
OG0000019	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1	XP_012138718.1, XP_012138710.1, XP_012138725.1
OG0000019	XP_001952539.2	XP_012135889.1
OG0000020	XP_003244194.1	XP_012144180.1
OG0000020	XP_029343120.1	XP_012136049.1
OG0000020	XP_008182108.1	XP_012144181.1
OG0000020	XP_029344335.1, XP_016664934.1	XP_003701701.2
OG0000020	NP_001280338.1	XP_012141764.1
OG0000020	XP_029347131.1	XP_012136672.1
OG0000020	XP_029343394.1	XP_012137465.1
OG0000021	XP_001945018.2	XP_012152676.1, XP_003708291.1
OG0000021	XP_001944401.2	XP_012145971.1, XP_012145969.1
OG0000021	XP_016663029.1, XP_003240228.1, XP_029342725.1	XP_012138701.1
OG0000021	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1	XP_012135825.1, XP_012152675.1, XP_003708289.1
OG0000022	XP_003244391.2, XP_029347151.1, XP_029347343.1	XP_012137783.1
OG0000022	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2	XP_012151724.1, XP_003706155.1, XP_012141737.1
OG0000023	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1	XP_003702158.1, XP_003703728.2, XP_003707916.2
OG0000024	XP_001949358.2	XP_003705303.1, XP_003705288.1, XP_003705639.2
OG0000024	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1	XP_003699641.1, XP_012142103.1, XP_003700292.1, XP_003699642.1
OG0000026	XP_029342349.1, XP_029342350.1	XP_003699994.1
OG0000026	XP_029343074.1	XP_012144087.1
OG0000026	XP_029345451.1	XP_012137100.1
OG0000026	XP_029342802.1	XP_012148280.1, XP_003706585.1
OG0000026	XP_029342414.1	XP_012140605.1, XP_012140604.1, XP_012140603.1, XP_012140597.1, XP_012140598.1, XP_012140599.1, XP_012140600.1, XP_012140601.1, XP_012140602.1, XP_003703247.1
OG0000027	XP_001950227.1	XP_003703730.1
OG0000027	NP_001156692.1	XP_012151723.1
OG0000027	XP_001949096.2, XP_008189396.1	XP_003703732.1
OG0000028	XP_008189663.1, XP_008189981.1, XP_008183271.1, XP_029342081.1, XP_008180486.1	XP_012146123.1
OG0000028	XP_008186969.1, XP_008178160.1, XP_008184707.1, XP_008188330.1, XP_008183752.1, XP_029341390.1, XP_008185507.1, XP_008186170.1	XP_012147725.1
OG0000028	XP_008179516.1, XP_008182365.1	XP_012151895.1
OG0000029	XP_016663309.2, XP_001952418.1	XP_003704047.1, XP_012142317.1
OG0000029	NP_001165726.1, XP_001947860.1	XP_003704721.1
OG0000030	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2	XP_012136054.1
OG0000031	XP_008183945.1, XP_008182759.1	XP_012135348.1, XP_012135354.1, XP_012135355.1, XP_012143884.1
OG0000031	XP_029340992.1, XP_029340991.1, XP_008181493.1	XP_012147592.1
OG0000032	XP_003246235.1, XP_001947862.2, XP_001948097.2, XP_003246236.1	XP_003700812.2
OG0000035	XP_001951632.1, XP_016663720.1, XP_029345626.1, XP_003246783.1, XP_003246784.1, XP_001948117.1	XP_003699462.1
OG0000037	XP_008187877.2, NP_001155504.1, XP_003241041.1, XP_003243107.1, NP_001165431.1, NP_001155507.1, XP_029343963.1, XP_003247374.1, XP_008190010.1, NP_001165734.1	XP_012141146.1
OG0000038	XP_001948685.1	XP_012136030.1, XP_003703285.1
OG0000038	XP_003245830.1	XP_012153286.1
OG0000039	XP_016661651.1	XP_012153215.1, XP_012150922.1, XP_012142568.1
OG0000041	NP_001119672.1, XP_008186344.1	XP_012137793.1, XP_012137792.1, XP_003702208.1
OG0000041	NP_001136108.1, XP_001948457.2	XP_003706099.1, XP_012147265.1, XP_012147267.1, XP_012147266.1, XP_003706098.1, XP_003706097.1, XP_012147262.1, XP_012147261.1, XP_012147260.1, XP_012147263.1
OG0000041	XP_001948128.1	XP_003700544.1
OG0000042	NP_001191885.1, XP_008184085.1, NP_001191886.1, XP_001944248.1, NP_001119674.1, XP_008179499.1, XP_001943917.1	XP_012142134.1, XP_003703962.2
OG0000043	NP_001128404.1, XP_029342103.1, NP_001119651.1	XP_003705047.1
OG0000044	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2	XP_012148083.1, XP_012148084.1
OG0000045	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2	XP_003702695.1, XP_003703631.1
OG0000045	XP_029347511.1, XP_003248124.2, XP_016656776.1, XP_008179193.1, XP_029346942.1, XP_003246887.1, XP_029346941.1, XP_016656775.1, XP_016659005.1, XP_001949423.2, XP_001949604.2, XP_008186205.1	XP_003707415.2
OG0000046	XP_008184380.1, NP_001156420.1	XP_012146503.1
OG0000046	XP_001951207.1, XP_003244048.1	XP_003705538.1, XP_012153320.1
OG0000048	XP_003246561.1, XP_029345889.1, XP_016662409.1, XP_029345122.1, XP_029345890.1, XP_029345124.1, XP_008186079.1, XP_029345127.1, XP_029345125.1	XP_012150784.1
OG0000048	XP_016662412.1	XP_012150787.1, XP_012150786.1, XP_012150791.1, XP_012150782.1, XP_012150780.1, XP_012150778.1, XP_012150870.1, XP_012150871.1
OG0000050	XP_008186168.1, XP_029344195.1	XP_003700585.1, XP_003704799.2
OG0000051	XP_008184704.1	XP_012145580.1
OG0000051	XP_008181670.1	XP_012146258.1, XP_012153222.1, XP_012152153.1
OG0000051	XP_008188777.1, XP_008185649.1, XP_008185363.1, XP_029340905.1, XP_008188596.1, XP_008189582.1, XP_003248957.2, XP_008178935.1, XP_008189706.1, XP_008187344.1, XP_008188632.1, XP_029348048.1, XP_029342253.1, XP_008183897.1, XP_008179856.1, XP_003248349.1, XP_029345872.1, XP_008185178.1, XP_003247960.1, XP_008180662.1, XP_001946755.1, XP_003242095.3, XP_008183154.1, XP_008178444.1, XP_029347265.1, XP_008180095.2, XP_029348059.1, XP_003245080.2, XP_008189682.1, XP_008180887.1, XP_008188509.2, XP_008178740.1, XP_008182688.2, XP_029340978.1, XP_029348298.1, XP_016656127.1, XP_008181076.1, XP_008178235.1, XP_008178224.1, XP_008185519.1, XP_008183876.1, XP_029342056.1, XP_008180987.1, XP_008186758.1, XP_008179276.1	XP_012139276.1
OG0000052	XP_001949739.1, XP_001947560.2, XP_029343576.1, XP_001952551.3	XP_012144734.1
OG0000053	XP_008178527.1, XP_016658230.1	XP_012143221.1
OG0000053	XP_016664280.1, XP_008185348.1, XP_008178180.1, XP_008182358.1, XP_029340918.1, XP_029347910.1, XP_029341493.1, XP_016656685.1, XP_016655893.1, XP_008189430.1, XP_029342375.1, XP_029347954.1, XP_008178600.1	XP_012153561.1, XP_012145425.1, XP_012145426.1, XP_012149739.1, XP_012149740.1
OG0000053	XP_008178744.1, XP_008181635.1, XP_008188016.1, XP_008178393.1, XP_008178411.1	XP_012148640.1
OG0000053	XP_008178754.1, XP_008188582.3	XP_003708046.2, XP_012145741.1, XP_012148086.1
OG0000054	NP_001162107.1, XP_003243273.1, NP_001233051.1	XP_003707234.1, XP_012149797.1, XP_003707236.1
OG0000055	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1	XP_003702736.1
OG0000055	XP_029348415.1	XP_012141945.1
OG0000055	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1	XP_012136069.1
OG0000056	XP_029341785.1, XP_016658856.2	XP_012140855.1, XP_012148645.1
OG0000056	XP_029347390.1, XP_029340985.1	XP_012147749.1
OG0000056	XP_029341336.1	XP_012140860.1, XP_012147777.1, XP_012137428.1, XP_012137427.1
OG0000056	XP_029345472.1, XP_029341337.1	XP_012154207.1, XP_012154186.1
OG0000057	NP_001177327.1	XP_003706217.1
OG0000057	XP_008190203.1	XP_003706216.1
OG0000059	XP_008178159.1, XP_029346651.1	XP_012152118.1
OG0000059	XP_008189741.1, XP_016656308.1, XP_029341102.1, XP_016663283.1	XP_012148650.1
OG0000059	XP_029348403.1, XP_029341029.1	XP_012143826.1
OG0000060	XP_029341750.1	XP_012134573.1, XP_012134574.1, XP_012134572.1
OG0000060	XP_016660546.1	XP_003704987.1, XP_012144429.1, XP_012144430.1, XP_012144432.1, XP_012144433.1, XP_012144434.1, XP_012144435.1
OG0000061	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1	XP_003703873.1
OG0000061	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2	XP_012143526.1, XP_003704544.2, XP_003704543.1, XP_003704539.1, XP_003704545.1, XP_003704542.1, XP_012143334.1, XP_003704521.1, XP_012143269.1, XP_012143273.1, XP_012143272.1, XP_003704535.1, XP_012143274.1, XP_012143275.1, XP_012153335.1
OG0000062	XP_001951309.3	XP_012135095.1, XP_003701703.1, XP_003701707.1, XP_003701665.1, XP_003701666.1, XP_003701705.1, XP_012136839.1, XP_003701702.1
OG0000063	XP_016664961.2, XP_029340921.1, XP_016660863.1, XP_016658201.1, XP_016657235.1, XP_016657234.1	XP_012146122.1, XP_012150530.1, XP_012147290.1, XP_012143814.1, XP_012152389.1, XP_012137504.1, XP_012153232.1, XP_012146118.1, XP_012147780.1
OG0000063	XP_029344845.1, XP_008182880.3, XP_029340943.1, XP_016657780.1, XP_008181901.1, XP_008190133.2, XP_029345920.1, XP_029344123.1, XP_008187560.1, XP_029348250.1	XP_012151854.1
OG0000063	XP_016658134.1	XP_012148630.1
OG0000063	XP_016656082.2	XP_012153574.1
OG0000065	XP_001943808.2	XP_012143903.1, XP_012143889.1, XP_012143895.1
OG0000066	XP_008180330.1, XP_008184253.1, XP_008178157.1, XP_008182364.1, XP_008182864.1, XP_029341012.1, XP_008179068.1, XP_016656442.1, XP_016656220.2, XP_008179054.1, XP_008189844.1, XP_029341034.1, XP_029348339.1, XP_029341294.1, XP_008180143.1, XP_016660748.1, XP_008181152.1	XP_012147361.1, XP_012147785.1, XP_012151330.1, XP_012151855.1
OG0000067	XP_001948642.2	XP_012148170.1
OG0000067	XP_016658458.1	XP_012152266.1
OG0000067	XP_029347451.1, XP_001948493.1	XP_003701916.1
OG0000067	XP_008185788.1	XP_003707128.1
OG0000069	XP_029344273.1	XP_012134491.1, XP_012154574.1, XP_012154573.1, XP_003700629.1, XP_012154572.1, XP_012154575.1, XP_012154571.1, XP_012154576.1
OG0000071	XP_029347355.1, XP_029347353.1, XP_008180862.1, XP_008189544.1, XP_008187138.1, XP_008180487.1, XP_008188284.1, XP_008189827.1, XP_008189976.1, XP_016655856.1, XP_008178182.1, XP_003241663.1, XP_003240827.1, XP_029340941.1, XP_008182764.1, XP_029340970.1, XP_029340979.1, XP_029348230.1, XP_016659867.1, XP_029347918.1, XP_008189487.1, XP_029348217.1, XP_029347179.1, XP_003241471.1, XP_008181650.1, XP_016659302.1, XP_008182426.1, XP_008188257.1, XP_008181576.1, XP_029342188.1	XP_012148642.1, XP_003706755.2, XP_012148644.1, XP_012148643.1, XP_012149906.1
OG0000072	XP_016661629.1, XP_008185485.1, XP_008185666.1, XP_008181048.1, XP_008189623.1	XP_012140869.1
OG0000072	XP_029346399.1	XP_012144546.1, XP_012148435.1, XP_012135998.1, XP_012145923.1
OG0000072	XP_003246904.1, XP_008187176.1, XP_008181699.1, XP_008186497.1, XP_008189644.1, XP_008185349.1, XP_029344847.1	XP_012151359.1
OG0000074	XP_016661872.1	XP_012149755.1, XP_012149751.1, XP_012149748.1, XP_012150538.1
OG0000074	XP_029344853.1, XP_029345069.1, XP_016655841.1, XP_016655840.1, XP_029345083.1, XP_029345084.1, XP_029342157.1, XP_029345068.1, XP_008189736.3, XP_003248965.2, XP_003248702.1, XP_029342723.1, XP_029345751.1, XP_003244613.1, XP_008185438.1, XP_003240403.1, XP_029344854.1, XP_016661523.1, XP_029345888.1, XP_029348279.1, XP_029345085.1, XP_008185021.1, XP_029341723.1, XP_029341728.1, XP_029341729.1, XP_029344850.1, XP_001946490.2, XP_016661868.1, XP_029342388.1, XP_003246142.3, XP_016661519.1, XP_008181131.2, XP_029346353.1, XP_029346354.1, XP_029341136.1, XP_016661865.2, XP_029345078.1, XP_016663995.1, XP_008181949.2, XP_016658567.1, XP_016658569.1, XP_029345073.1, XP_029345045.1, XP_029345061.1, XP_029345058.1, XP_029342395.1, XP_029342396.1, XP_029342397.1, XP_008188177.1, XP_016664028.1, XP_016664027.1, XP_001942568.2, XP_016659718.1, XP_029343824.1	XP_003705844.2
OG0000075	XP_016662368.1	XP_012138856.1, XP_012135022.1, XP_012144543.1
OG0000075	XP_029347877.1	XP_012135797.1, XP_012140868.1, XP_012145358.1, XP_012151929.1, XP_012152451.1, XP_012148625.1, XP_012153690.1
OG0000075	XP_029341252.1	XP_012136794.1
OG0000076	XP_029348282.1, XP_016664554.1, XP_016664857.1, XP_008189029.1	XP_012149738.1, XP_012152152.1
OG0000077	XP_001945190.2	XP_012150605.1, XP_012150604.1
OG0000077	XP_008187030.1	XP_003703606.1
OG0000079	XP_001952588.1	XP_003703883.1, XP_012142004.1, XP_012142005.1, XP_012141949.1
OG0000080	XP_001952817.1, XP_003241505.1	XP_012154343.1, XP_012154339.1, XP_012154340.1, XP_012154342.1, XP_012154341.1
OG0000080	XP_003240094.1	XP_003700524.1
OG0000081	XP_016660637.1, XP_003245950.2	XP_012143890.1, XP_012143986.1, XP_012143985.1, XP_012143891.1, XP_012143988.1, XP_012143893.1, XP_003704733.2
OG0000084	NP_001155431.1	XP_003701847.1, XP_003701826.2
OG0000084	NP_001155786.1	XP_003701043.1
OG0000085	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1	XP_003702681.1, XP_012135334.1, XP_012135335.1, XP_012135336.1, XP_012135337.1, XP_003701022.1, XP_012135341.1, XP_012135339.1, XP_012135338.1, XP_012135340.1
OG0000086	NP_001155379.1, XP_016661052.1, XP_016662788.2, XP_001951510.1, NP_001155766.1, XP_008182375.2, XP_016663261.1	XP_003699659.2
OG0000086	XP_001950197.2	XP_012143956.1, XP_012143955.1
OG0000087	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2	XP_003708584.1, XP_012153278.1
OG0000088	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1	XP_003701082.1
OG0000091	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2	XP_012147561.1, XP_012147560.1, XP_012147559.1, XP_012147526.1, XP_012147527.1, XP_012147542.1
OG0000092	XP_001947820.1	XP_012144682.1, XP_003702709.1, XP_003702708.1, XP_012142981.1, XP_003704244.1
OG0000093	XP_016662984.1, XP_008187890.1	XP_012151025.1, XP_012151021.1, XP_012152030.1, XP_012146604.1
OG0000094	XP_001948596.2	XP_012151693.1, XP_012154361.1
OG0000097	XP_001948740.2, XP_008182369.1, XP_029347936.1	XP_012153341.1, XP_003705350.1
OG0000098	NP_001153821.1, XP_008189785.1	XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1, XP_012149137.1
OG0000099	XP_001945365.2	XP_003705981.1, XP_012146974.1
OG0000099	XP_001945213.1	XP_012140644.1, XP_012140638.1, XP_012140627.1, XP_012140632.1
OG0000099	XP_001951744.1	XP_012136224.1
OG0000100	XP_001944985.1	XP_012144538.1, XP_012144537.1, XP_012144535.1, XP_012144536.1, XP_003704922.1
OG0000101	XP_001950980.2, XP_001945570.2	XP_012141182.1, XP_012141571.1
OG0000101	XP_001952301.1	XP_012141186.1, XP_003703468.1
OG0000102	XP_001946994.2	XP_012135996.1, XP_012135840.1, XP_012135835.1
OG0000103	XP_003248994.1, XP_003243120.1	XP_003699704.1, XP_012143723.1
OG0000108	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2	XP_012145715.1, XP_012145712.1, XP_012145714.1, XP_012145710.1, XP_012145711.1
OG0000109	XP_001947883.2	XP_003700281.2
OG0000112	XP_001944328.2	XP_012147792.1, XP_012147787.1, XP_003699938.1, XP_012147768.1, XP_012147782.1, XP_003700355.1, XP_012154003.1
OG0000113	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1	XP_003701045.1, XP_003699454.1
OG0000115	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1	XP_003703956.1, XP_012139900.1, XP_003703954.1
OG0000117	XP_001947242.1	XP_012142234.1
OG0000117	XP_001945228.1	XP_003699580.1, XP_012140342.1, XP_012140336.1, XP_012140349.1, XP_012140354.1
OG0000119	XP_001950896.2, XP_001946809.2	XP_012150732.1, XP_012150733.1, XP_012150724.1, XP_012150728.1, XP_012150729.1, XP_012150745.1, XP_012150740.1
OG0000120	XP_008183102.1, XP_008183682.2, XP_001946812.2, XP_016660349.1	XP_003701951.1, XP_012137585.1, XP_012137586.1, XP_012137583.1, XP_012137584.1
OG0000122	XP_029345164.1	XP_003705279.2
OG0000122	XP_029345159.1, XP_001942872.1	XP_003699551.1
OG0000123	XP_001944241.1	XP_003702607.2
OG0000124	XP_001946145.1, XP_029344203.1, XP_016657907.1, XP_003240297.1	XP_003703399.2
OG0000125	XP_029343174.1, XP_029343175.1	XP_003703348.2
OG0000126	XP_029344350.1	XP_012154275.1, XP_012154268.1, XP_012154270.1, XP_012154269.1, XP_012154272.1, XP_012154271.1, XP_012154274.1, XP_012154273.1
OG0000127	XP_008184238.2, XP_008185467.1, XP_008185468.2, XP_001944157.3, XP_001947156.2	XP_003707941.2
OG0000127	XP_016661891.1	XP_012151449.1
OG0000128	XP_029341219.1, XP_008185930.1, XP_029348270.1, XP_008182354.1, XP_029346138.1, XP_029341006.1, XP_029340934.1, XP_008180083.1, XP_008186851.1	XP_012148429.1
OG0000128	XP_029343301.1, XP_008189791.1	XP_012145950.1
OG0000129	XP_029342557.1, XP_003243980.1, XP_008182280.1	XP_012149828.1, XP_012149829.1, XP_012149830.1, XP_012149831.1, XP_012149825.1, XP_012149827.1, XP_012149826.1
OG0000130	XP_008188212.1	XP_012141592.1, XP_012141591.1, XP_003703718.1
OG0000130	XP_029347188.1	XP_003702400.1
OG0000131	NP_001119635.1	XP_012138681.1, XP_003699377.1
OG0000131	XP_001944342.1, NP_001280296.1	XP_012138075.1, XP_012138074.1, XP_003702087.1, XP_012138073.1
OG0000132	XP_001944867.2, XP_008188761.1	XP_003706203.1, XP_012147468.1, XP_012152838.1, XP_003708422.1
OG0000133	XP_001947717.2, XP_029346829.1	XP_003707714.1, XP_012147926.1, XP_012147924.1
OG0000134	XP_016659080.1, XP_016655735.1, XP_029341669.1, XP_003244662.1, XP_016658650.1, XP_008186020.1	XP_012148670.1
OG0000134	XP_008188674.1, XP_029347700.1, XP_029347701.1	XP_003705740.1
OG0000134	XP_008179309.1, XP_016661614.1, XP_008184229.1, XP_003240649.1, XP_003244810.1	XP_012143753.1
OG0000135	XP_008183617.1, XP_016660307.1, XP_008183620.1, XP_008183619.1, XP_016660306.1, XP_029348611.1	XP_003701934.1, XP_012137460.1, XP_003708004.1, XP_003708115.1
