Orthogroup	Acyrthosiphon_pisum	Aedes_aegypti
OG0000007	XP_016665006.1, XP_029347711.1, XP_003244198.1, XP_008181053.1, XP_029341068.1, XP_016660482.1, XP_029348538.1, XP_029340998.1, XP_008179485.1, XP_008179463.1, XP_008180335.1, XP_029340906.1, XP_008184270.1, XP_029346063.1, XP_029340971.1, XP_029343684.1, XP_008180263.1, XP_008180483.1, XP_008181021.1, XP_008185984.1, XP_029348192.1, XP_029341475.1, XP_016658575.2, XP_016656359.1, XP_016661946.1, NP_001156537.1, XP_029348434.1, XP_008184869.1, XP_008188538.2, XP_029347402.1, XP_029341174.1, XP_008178220.1, XP_001951832.2, XP_003244309.1, XP_016656399.1, XP_016658578.1, XP_016658583.1, XP_008183630.3, XP_029348031.1, XP_029342533.1, XP_008183714.1, XP_016662186.1, XP_008178249.1, XP_016662197.1, XP_016657859.1	XP_021709737.1, XP_021708700.1, XP_021712884.1, XP_021707298.1, XP_021708190.1, XP_021699796.1, XP_021700128.1, XP_021701239.1, XP_021708882.1
OG0000008	XP_016663037.1	XP_001648300.1
OG0000008	XP_029347046.1	XP_001648297.2
OG0000008	XP_001945793.2, XP_003246165.2, XP_016661908.1, XP_016661905.1, XP_016661907.1, XP_016661906.1, XP_016664920.2, XP_003242859.1	XP_001648306.2
OG0000008	XP_001942555.1, XP_008181935.1	XP_001661923.2
OG0000008	XP_001951039.1, XP_016661460.1, XP_008179022.1, XP_001946107.1	XP_021710654.1
OG0000008	XP_001945226.1	XP_021710651.1, XP_021710652.1, XP_021710650.1, XP_021710649.1, XP_021710648.1
OG0000008	XP_001948787.1, XP_008186873.1	XP_001648302.1
OG0000008	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3	XP_021710647.1
OG0000013	XP_008190047.2, XP_008190048.2, XP_003246588.2	XP_021711158.1, XP_021711157.1
OG0000013	XP_003248421.1	XP_021706667.1
OG0000013	XP_008188188.1	XP_001657554.1, XP_001655332.2
OG0000013	XP_003249043.1	XP_021708291.1
OG0000014	XP_008188957.2, XP_029347345.1, XP_003246585.1, XP_003248955.1, XP_003249023.1, XP_003246589.1, XP_003245105.1, XP_029344422.1, XP_029348663.1, XP_008179018.1, XP_001944346.2, XP_008190049.1, XP_001944288.1	XP_021712835.1, XP_021712191.1, XP_021712166.1, XP_021706478.1, XP_021705014.1, XP_021712175.1, XP_021705015.1, XP_021711142.1, XP_021705288.1, XP_021712199.1, XP_021705824.1, XP_021712187.1, XP_021705024.1, XP_021712165.1, XP_021705025.1, XP_021711147.1, XP_021706543.1, XP_021711141.1, XP_021711145.1, XP_021706544.1, XP_021706545.1, XP_021712186.1, XP_021706546.1, XP_021712839.1, XP_021706549.1, XP_021711149.1, XP_021706554.1, XP_021711146.1, XP_021707481.1, XP_021712685.1, XP_021706569.1, XP_021712097.1, XP_021712027.1, XP_021708651.1, XP_021706552.1, XP_021711152.1, XP_021711139.1, XP_021706550.1, XP_021708655.1, XP_021711144.1, XP_021708656.1, XP_021712095.1, XP_021706560.1, XP_021711143.1, XP_021706563.1, XP_021712692.1, XP_021708754.1, XP_021711151.1, XP_021706553.1, XP_021712155.1, XP_021708646.1, XP_021711150.1, XP_021708807.1
OG0000016	XP_008179439.1, XP_008188179.1, XP_008189245.1, XP_003240638.2, XP_003246464.1, XP_016664689.1, XP_016664680.1, XP_008189553.1, XP_008188936.1, XP_008178850.1, XP_008186806.1, XP_008186808.1, XP_008186807.1, XP_008188747.1, XP_008182334.1, XP_008180312.1, XP_008185771.1, XP_016663778.1, XP_008184227.1	XP_021712581.1, XP_021694278.1, XP_021695205.1
OG0000017	NP_001280269.1	XP_001658001.2, XP_001654675.1, XP_001658000.3
OG0000017	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1	XP_001658009.2, XP_021693938.1, XP_001658007.2
OG0000018	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1, XP_021693724.1, XP_021693725.1, XP_001662529.1, XP_021693721.1, XP_021693723.1, XP_021693720.1, XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2, XP_021706781.1
OG0000019	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1	XP_021694331.1, XP_021694068.1
OG0000019	XP_001952539.2	XP_021694330.1, XP_001662499.1, XP_021694069.1, XP_001649991.2, XP_001662496.1, XP_001663502.2, XP_001663504.2
OG0000019	XP_001947401.1	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2
OG0000020	XP_029343120.1, XP_029345653.1	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1
OG0000020	XP_008182108.1	XP_021703504.1
OG0000020	XP_029344335.1, XP_016664934.1	XP_021700919.1, XP_001650147.2
OG0000020	XP_029347131.1	XP_021705068.1, XP_021706790.1
OG0000020	XP_001947843.1	XP_021703783.1
OG0000020	XP_029343394.1	XP_021699908.1
OG0000021	XP_001945018.2	XP_001654997.1, XP_021710336.1, XP_021710335.1
OG0000021	XP_016663029.1, XP_003240228.1, XP_029342725.1	XP_021699404.1
OG0000021	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1	XP_021713110.1, XP_001662165.1
OG0000022	XP_003244391.2, XP_029347151.1	XP_001657157.1
OG0000022	XP_029347343.1	XP_001657152.1, XP_001657149.1
OG0000022	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2	XP_021705289.1, XP_021705290.1, XP_021705016.1, XP_001657264.1, XP_001657267.1, XP_021705823.1, XP_021705017.1, XP_021705021.1, XP_021706527.1, XP_021706530.1, XP_021706531.1, XP_021706558.1, XP_021706529.1, XP_021706526.1, XP_021706571.1, XP_021706528.1, XP_021705296.1, XP_001657271.1, XP_001657278.1, XP_021706534.1, XP_021706548.1, XP_001652489.1, XP_001656988.1, XP_021706565.1, XP_021706568.1
OG0000023	XP_003245102.1	XP_021701441.1, XP_001657148.1
OG0000023	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1	XP_021712202.1, XP_021706557.1, XP_001657270.2, XP_021705294.1, XP_021705295.1, XP_021705020.1, XP_021705019.1, XP_021705018.1, XP_021705026.1, XP_021705293.1, XP_021706644.1, XP_021706645.1, XP_021706808.1, XP_021706809.1, XP_021706669.1, XP_021706668.1, XP_021706564.1, XP_001656991.1, XP_001656987.1, XP_021706561.1, XP_021706555.1, XP_021706479.1, XP_021706481.1, XP_021705027.1, XP_001657281.1, XP_021705827.1, XP_001657266.1, XP_021705292.1
OG0000024	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1	XP_001653943.1, XP_021708435.1, XP_011492953.2, XP_011492954.2, XP_001659308.2, XP_011492952.2, XP_001661001.2, XP_001661002.2, XP_011493633.2, XP_021711830.1, XP_001660615.1, XP_001656527.2
OG0000026	XP_029343074.1	XP_021706420.1
OG0000026	XP_029345451.1	XP_021708568.1, XP_021708571.1
OG0000026	XP_029342802.1	XP_021702583.1, XP_021702581.1, XP_021702582.1, XP_021702584.1
OG0000027	NP_001156692.1	XP_021706536.1
OG0000027	XP_001949096.2, XP_008189396.1	XP_001656994.2
OG0000027	XP_008190046.1	XP_001657269.1, XP_021705635.1, XP_021705023.1, XP_021705301.1, XP_021705299.1, XP_021705297.1, XP_021706523.1
OG0000027	XP_029347154.1	XP_001657275.1
OG0000029	XP_016663309.2, XP_001952418.1	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1, XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1
OG0000029	NP_001165726.1	XP_021704637.1
OG0000029	XP_001947860.1	XP_021704641.1, XP_021712735.1
OG0000030	XP_029346313.1, XP_003242308.1, XP_001948211.2, XP_001944515.2, XP_001946150.2, XP_029345605.1, XP_029346252.1	XP_021696991.1, XP_001660265.2, XP_021696300.1, XP_001658217.2
OG0000032	XP_003246235.1, XP_001947862.2, XP_001948097.2, XP_003246236.1	XP_021702783.1
OG0000032	XP_003243898.1	XP_021705631.1, XP_021705632.1, XP_021705633.1, XP_021705630.1
OG0000033	XP_008178807.1, XP_003241930.1, XP_008180283.1, XP_016659883.2, XP_008190219.1, XP_003247929.1, XP_008182930.1, XP_029348015.1, XP_008188782.1, XP_003248584.1, XP_003241803.1, XP_016658747.1	XP_021707816.1
OG0000033	XP_008179101.1, XP_016655826.1	XP_021705680.1, XP_021704128.1
OG0000033	XP_008182854.1, XP_029348025.1, XP_008178823.1, XP_008185411.1, XP_008186193.1, XP_016656274.2, XP_008182823.1, XP_008189784.1, XP_008180205.1, XP_029340974.1, XP_008182739.1, XP_008181029.1, XP_029341451.1, XP_016661483.1, XP_003241729.1, XP_008178756.1, XP_016659109.1, XP_029345523.1, XP_029340907.1, XP_029348688.1, XP_016664841.1, XP_008180201.1, XP_016661474.1, XP_008182425.1, XP_008181197.1, XP_016659542.1, XP_008188170.1, XP_029345598.1, XP_003242294.2, XP_029348353.1, XP_008190000.1, XP_003245462.1	XP_021702767.1
OG0000035	XP_001951632.1, XP_016663720.1, XP_029345626.1	XP_001650274.2, XP_001662128.2
OG0000035	XP_001945842.2, XP_029345799.1, XP_029343210.1, XP_008186378.1, XP_029343209.1, XP_001943715.1, XP_001949845.2, XP_001949897.2, XP_029343092.1, XP_001952770.1	XP_021702436.1, XP_001660379.1, XP_021702428.1, XP_021696237.1, XP_021696236.1
OG0000037	XP_003241041.1	XP_021698956.1, XP_021698957.1
OG0000037	NP_001155507.1, XP_029343963.1	XP_021698955.1
OG0000038	XP_001948685.1	XP_001652144.1, XP_001663407.1
OG0000038	XP_001945695.1	XP_021698339.1, XP_021698338.1, XP_021704212.1
OG0000038	XP_003243865.1	XP_021694449.1
OG0000041	XP_008186344.1	XP_001655176.1, XP_001655175.1
OG0000041	NP_001136108.1, XP_001948457.2	XP_001654313.1, XP_001649530.1, XP_001659963.1
OG0000041	XP_001948128.1	XP_001649531.1
OG0000042	XP_016662708.1, XP_008186444.1	XP_021693433.1
OG0000042	NP_001191869.1, XP_029345377.1	XP_021711166.1
OG0000043	NP_001119652.1	XP_001651341.1, XP_021710636.1, XP_001651340.1, XP_001651343.1, XP_001651344.1, XP_001651345.1
OG0000043	NP_001128404.1, XP_029342103.1, NP_001119651.1	XP_001660749.1
OG0000043	NP_001156287.1	XP_001660785.1, XP_001660754.1, XP_001660774.1, XP_001660775.1, XP_021703266.1, XP_001660780.1, XP_001660777.1, XP_001660776.1, XP_001660779.1, XP_001660778.1, XP_001660781.1, XP_001660770.1, XP_001660773.1, XP_001660768.2, XP_021703264.1, XP_001660771.1, XP_001660767.1, XP_001660764.1, XP_001660769.1, XP_021703265.1, XP_001660763.1, XP_001660766.1, XP_001660765.1, XP_001660759.1, XP_001660760.1, XP_001660784.1, XP_001660762.1, XP_001660761.1
OG0000044	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1, XP_001662885.2, XP_021693817.1, XP_001651477.2, XP_001651479.2, XP_021712899.1, XP_021712941.1, XP_021712940.1
OG0000044	XP_008182457.2, XP_029342681.1, XP_001944764.2	XP_001661567.1, XP_001662326.1
OG0000045	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2
OG0000046	XP_008184380.1, NP_001156420.1	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1
OG0000046	XP_001949837.1	XP_021709388.1, XP_021709332.1
OG0000046	XP_008190051.1, XP_001951915.1, XP_003248918.1, XP_001945786.2	XP_021693655.1, XP_021693654.1, XP_021693653.1, XP_021693651.1, XP_021693652.1, XP_021693649.1
OG0000046	XP_001951207.1, XP_003244048.1	XP_021707697.1
OG0000047	XP_008188471.1, XP_008182780.1, XP_008182496.1, XP_008180759.1, XP_016661993.1, XP_029348003.1, XP_029342264.1, XP_029341344.1, XP_008178222.1, XP_008178291.1, XP_029341022.1, XP_008178525.1, XP_008189339.1, XP_008185268.1, XP_008178820.1, XP_016660548.2, XP_003245376.1, XP_003241214.1, XP_008188668.1, XP_008181747.1, XP_008178517.2, XP_003244703.1, XP_008189952.1, XP_008185493.1, XP_029347997.1, XP_016663902.1, XP_016656212.1, NP_001233059.1, NP_001191896.1, XP_029348349.1, XP_008180703.1, XP_008183156.1, XP_001944531.1, XP_008190228.1, XP_029348058.1, XP_001951909.1, XP_008181765.1, XP_008189984.1, XP_029345735.1, XP_008187181.1, XP_016659199.2, XP_008182981.1, XP_008184725.1, XP_008189733.1, XP_008178797.1	XP_021713287.1, XP_021713290.1, XP_021698064.1, XP_021698875.1, XP_021705066.1, XP_021697550.1
OG0000048	XP_003246561.1, XP_029345889.1, XP_016662409.1, XP_029345122.1, XP_029345890.1, XP_029345124.1, XP_008186079.1, XP_029345127.1, XP_029345125.1	XP_001663296.2
OG0000050	XP_008186168.1, XP_029344195.1	XP_001654509.1, XP_011493543.2, XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1
OG0000051	XP_008181076.1, XP_008178235.1, XP_008178224.1, XP_008185519.1, XP_008183876.1, XP_029342056.1, XP_008180987.1, XP_008186758.1, XP_008179276.1	XP_021694238.1
OG0000052	XP_001949739.1, XP_001947560.2, XP_029343576.1, XP_001952551.3	XP_001653763.1
OG0000052	XP_008179402.1	XP_021697771.1, XP_021697773.1
OG0000052	XP_003243917.1, XP_001950194.2	XP_021711564.1
OG0000053	XP_003245517.1	XP_021695319.1, XP_021692971.1, XP_021711432.1
OG0000054	NP_001162107.1, XP_003243273.1, NP_001233051.1	XP_001655288.2, XP_021702234.1, XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2
OG0000055	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1
OG0000056	XP_029341785.1, XP_016658856.2	XP_021702305.1
OG0000056	XP_029347390.1, XP_029340985.1	XP_021704129.1
OG0000056	XP_029345472.1, XP_029341337.1	XP_021704390.1
OG0000057	NP_001177327.1	XP_001656025.1
OG0000057	XP_008190203.1	XP_001656026.2
OG0000057	XP_001943593.2	XP_001650331.1, XP_001650332.1
OG0000059	XP_008178159.1, XP_029346651.1	XP_021708124.1, XP_021711752.1, XP_021706436.1, XP_021695266.1, XP_021695996.1, XP_021694735.1
OG0000059	XP_008189741.1, XP_016656308.1, XP_029341102.1, XP_016663283.1	XP_021709602.1, XP_001650831.2, XP_021708195.1, XP_021698490.1, XP_021698237.1, XP_021706387.1, XP_021712566.1, XP_021693892.1, XP_021713038.1, XP_021693592.1, XP_021693590.1, XP_021713046.1, XP_021701689.1, XP_021700461.1, XP_021695451.1, XP_021696584.1, XP_021707043.1, XP_021704477.1, XP_021704487.1, XP_021704488.1, XP_021696917.1, XP_021696912.1, XP_021704541.1, XP_021705873.1
OG0000059	XP_016664883.1	XP_021694291.1
OG0000059	XP_029348073.1, XP_008183710.1, XP_008189178.1, XP_016656694.1, XP_016656071.1, XP_003241793.2, XP_003245816.1	XP_021712004.1, XP_021711614.1, XP_021699997.1
OG0000059	XP_029347857.1, XP_029342932.1, XP_003241645.2	XP_021708414.1, XP_021703427.1
OG0000059	XP_016658809.1	XP_021694822.1
OG0000060	XP_029341750.1	XP_001663993.2
OG0000060	XP_016660546.1	XP_021710092.1, XP_021710091.1, XP_001652667.1
OG0000061	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1	XP_021693614.1, XP_021693615.1, XP_021693616.1
OG0000061	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2	XP_001664194.1, XP_001664195.2, XP_001661118.2
OG0000062	XP_001951309.3	XP_001661011.1, XP_001663492.1, XP_001663494.1, XP_001661010.2, XP_001663490.2, XP_001663495.1, XP_021698193.1, XP_001663497.1, XP_001663499.2
OG0000063	XP_016664961.2, XP_029340921.1, XP_016660863.1, XP_016658201.1, XP_016657235.1, XP_016657234.1	XP_021706514.1, XP_021712878.1
OG0000065	XP_001943808.2	XP_011493201.1
OG0000065	XP_001950981.1	XP_011493637.2, XP_011493079.2, XP_011493699.2, XP_021699125.1
OG0000066	XP_008186719.1, XP_008186645.1, XP_008178451.1, XP_008184821.1, XP_008189985.1, XP_008181030.1, XP_008181032.1, XP_008178816.1, XP_008181153.1	XP_021704301.1
OG0000067	XP_001948642.2	XP_001653435.1
OG0000067	XP_016658458.1	XP_001654897.1
OG0000067	XP_029347451.1, XP_001948493.1	XP_001653950.2, XP_001654592.2
OG0000067	XP_008185788.1	XP_001661370.1, XP_021698916.1
OG0000068	XP_016657551.1, XP_029341046.1, XP_029348450.1, XP_008178491.1, XP_029341860.1, XP_008178156.1, XP_029345390.1, XP_008187441.1, XP_016659110.1, XP_008179271.1, XP_008182278.1, XP_029347775.1, XP_008182019.1, XP_029347896.1, XP_029348337.1	XP_021712444.1, XP_021694306.1
OG0000071	XP_016655856.1, XP_008178182.1	XP_021703680.1, XP_021702229.1, XP_021694311.1, XP_021706464.1, XP_021703997.1, XP_021695236.1, XP_021701192.1, XP_021709271.1, XP_021695636.1, XP_021710570.1, XP_021708727.1, XP_021702221.1, XP_021706502.1, XP_021694267.1
OG0000071	XP_003241663.1, XP_003240827.1, XP_029340941.1, XP_008182764.1, XP_029340970.1	XP_021695334.1
OG0000071	XP_029340979.1, XP_029348230.1	XP_021696059.1
OG0000074	XP_029344853.1, XP_029345069.1, XP_016655841.1, XP_016655840.1, XP_029345083.1, XP_029345084.1, XP_029342157.1, XP_029345068.1, XP_008189736.3, XP_003248965.2, XP_003248702.1, XP_029342723.1, XP_029345751.1, XP_003244613.1, XP_008185438.1, XP_003240403.1, XP_029344854.1, XP_016661523.1, XP_029345888.1, XP_029348279.1, XP_029345085.1, XP_008185021.1, XP_029341723.1, XP_029341728.1, XP_029341729.1, XP_029344850.1, XP_001946490.2, XP_016661868.1, XP_029342388.1, XP_003246142.3, XP_016661519.1, XP_008181131.2, XP_029346353.1, XP_029346354.1, XP_029341136.1, XP_016661865.2, XP_029345078.1, XP_016663995.1, XP_008181949.2, XP_016658567.1, XP_016658569.1, XP_029345073.1, XP_029345045.1, XP_029345061.1, XP_029345058.1, XP_029342395.1, XP_029342396.1, XP_029342397.1, XP_008188177.1, XP_016664028.1, XP_016664027.1, XP_001942568.2, XP_016659718.1, XP_029343824.1	XP_021707386.1
OG0000077	XP_001945190.2	XP_001658180.2
OG0000077	XP_008187030.1	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2
OG0000079	XP_001949542.2	XP_001662329.1
OG0000080	XP_001952817.1, XP_003241505.1	XP_021693685.1
OG0000084	NP_001156310.1	XP_001656586.1
OG0000084	NP_001155786.1	XP_001656600.1
OG0000085	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1
OG0000086	NP_001155379.1, XP_016661052.1, XP_016662788.2, XP_001951510.1, NP_001155766.1, XP_008182375.2, XP_016663261.1	XP_021701219.1
OG0000086	XP_001950197.2	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2
OG0000087	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2	XP_001648461.1, XP_001648458.1, XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1
OG0000088	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1	XP_021702205.1
OG0000091	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2	XP_021699738.1
OG0000092	XP_001947820.1	XP_021707375.1, XP_021709998.1, XP_001655951.1
OG0000094	XP_001948596.2	XP_021702456.1, XP_001660396.2, XP_001651974.1, XP_001652484.1, XP_001656201.1, XP_021704594.1
OG0000097	XP_001948740.2, XP_008182369.1, XP_029347936.1	XP_011493435.1, XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1
OG0000098	NP_001153821.1, XP_008189785.1	XP_001660410.1
OG0000099	XP_001945365.2	XP_021708064.1, XP_021708068.1, XP_021708072.1
OG0000099	XP_001945213.1	XP_001650952.2
OG0000099	XP_001951744.1	XP_021710287.1
OG0000100	XP_001944985.1	XP_001662579.2
OG0000101	XP_001950980.2, XP_001945570.2	XP_001652481.1
OG0000101	XP_001952301.1	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1
OG0000102	XP_001946994.2	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2, XP_021700055.1
OG0000103	XP_003244332.1	XP_021707710.1, XP_021707709.1
OG0000108	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2	XP_001650404.2, XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1
OG0000109	XP_001947883.2	XP_021709303.1
OG0000112	XP_001944328.2	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1, XP_021703753.1
OG0000113	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1
OG0000115	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1	XP_021711348.1
OG0000117	XP_001947242.1	XP_001658273.1
OG0000117	XP_001945228.1	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1
