Orthogroup	Acyrthosiphon_pisum	Tribolium_castaneum
OG0000015	XP_029348190.1	XP_015839984.1, XP_015834077.1
OG0000015	XP_008189353.1, XP_008184080.1, XP_008180285.1, XP_008190003.1, XP_008188971.1, XP_016657819.1, XP_008183148.1, XP_016660685.1, XP_008189219.1, XP_008189675.1, XP_029347731.1, XP_016663609.1, XP_029344008.1, XP_008187493.2, XP_008189577.1, XP_008178242.1, XP_008189575.1, XP_008180161.1, XP_008182791.1, XP_008186267.1, XP_008185380.1, XP_008178533.1, XP_008189950.2, XP_008185312.1, XP_008181052.1, XP_029345898.1, XP_029341202.1, XP_029345757.1, XP_008184280.1, XP_029341058.1, XP_029345703.1, XP_008178310.1, XP_008183319.1, XP_003248672.2, XP_008180107.2, XP_008178766.1, XP_029342141.1, XP_029340950.1, XP_008189455.1, XP_008185584.1, XP_008178848.1, XP_008190260.2, XP_008188308.1, XP_029341343.1, XP_008186657.1, XP_008181178.1, XP_029341124.1, XP_008189727.1, XP_008180300.1, XP_029342163.1, XP_008187231.1, XP_008188095.2, XP_008178705.1, XP_008182253.1, XP_029345918.1, XP_016661099.1, XP_008183780.1, XP_029345756.1, XP_008182252.1, XP_008189910.1, XP_008186546.1, XP_029348245.1, XP_016657695.1, XP_008189363.1, XP_008178800.1, XP_008189557.1, XP_029347976.1, XP_003240824.1, XP_003241265.1, XP_008183218.2, XP_008184419.1	XP_008199215.1, XP_015840019.1
OG0000016	XP_008179439.1, XP_008188179.1, XP_008189245.1	XP_015840352.1, XP_015840124.1
OG0000017	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1	XP_015834775.1, XP_974273.1
OG0000018	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2	XP_008200429.1, XP_008193119.1, XP_968748.1, XP_015835557.1, XP_973693.2, XP_015838295.1, XP_015838053.1, XP_969711.1, XP_008194698.1, XP_973658.2, XP_008193214.1, XP_008193215.1, XP_015835529.1, XP_008193213.1, XP_008193216.1, XP_972534.1, XP_008194092.1, XP_969781.1, XP_969849.1, XP_008194093.1, XP_008193834.1
OG0000019	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1	XP_975378.1
OG0000019	XP_001952539.2	XP_973103.2, XP_973187.1, XP_008192578.1, XP_001813143.1, XP_973063.1
OG0000019	XP_001947401.1	XP_973324.1
OG0000020	XP_029343120.1	XP_008201408.1
OG0000020	XP_029345653.1	XP_008201409.2
OG0000020	XP_029347131.1	XP_969457.2
OG0000021	XP_001945018.2	XP_015838406.1, XP_015838407.1, XP_008197201.1
OG0000021	XP_001944401.2	XP_015838169.1
OG0000021	XP_016663029.1, XP_003240228.1, XP_029342725.1	XP_008197404.1
OG0000021	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1	XP_008197199.1, XP_008196932.1, XP_008197203.1, XP_969207.1
OG0000022	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1
OG0000023	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1	XP_008201479.1, XP_008201473.1, XP_008199957.2
OG0000024	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1	XP_970056.2, XP_968973.1, XP_015836276.1, XP_970629.1, XP_968453.1, XP_969481.3, XP_966714.3, XP_015836397.1, XP_970153.3, XP_970128.4, XP_969915.1, XP_008195025.1, XP_970890.1, XP_015836275.1, XP_008194723.1, XP_015836190.1, XP_015836389.1
OG0000026	XP_029342349.1, XP_029342350.1	XP_015833705.1
OG0000026	XP_029343074.1	XP_008193329.1
OG0000026	XP_029345451.1	XP_969357.3
OG0000026	XP_029342802.1	XP_966472.1
OG0000026	XP_029342414.1	XP_015840897.1
OG0000027	XP_001949096.2, XP_008189396.1	XP_008199927.1
OG0000027	XP_008190046.1	XP_008199050.2
OG0000028	XP_008186969.1, XP_008178160.1, XP_008184707.1, XP_008188330.1, XP_008183752.1	XP_015836641.1
OG0000029	XP_016663309.2, XP_001952418.1	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1
OG0000029	NP_001165726.1, XP_001947860.1	XP_015840495.1, XP_008201389.1, XP_008201390.1
OG0000030	XP_001945465.2	XP_008194676.1
OG0000030	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2, XP_029346313.1, XP_003242308.1, XP_001948211.2, XP_001944515.2, XP_001946150.2, XP_029345605.1, XP_029346252.1	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2
OG0000031	XP_008183945.1, XP_008182759.1	XP_008192426.1, XP_015840131.1, XP_015837232.1, XP_008192457.2
OG0000031	XP_029340992.1, XP_029340991.1, XP_008181493.1	XP_015835126.1, XP_008192256.1
OG0000032	XP_003246235.1, XP_001947862.2, XP_001948097.2, XP_003246236.1	XP_001807564.1
OG0000032	XP_029347116.1, XP_001949029.2, XP_016662740.1	XP_008200043.1, XP_008199233.1
OG0000032	XP_003243898.1	XP_008197173.2
OG0000032	XP_016657725.1	XP_008194958.1
OG0000033	XP_008182854.1, XP_029348025.1, XP_008178823.1, XP_008185411.1, XP_008186193.1, XP_016656274.2, XP_008182823.1, XP_008189784.1, XP_008180205.1, XP_029340974.1, XP_008182739.1	XP_015837581.1
OG0000033	XP_029340907.1, XP_029348688.1, XP_016664841.1, XP_008180201.1, XP_016661474.1, XP_008182425.1, XP_008181197.1, XP_016659542.1, XP_008188170.1	XP_015839927.1, XP_015839926.1
OG0000035	XP_001951632.1, XP_016663720.1, XP_029345626.1	XP_008191815.1, XP_008191817.1, XP_971626.2
OG0000035	XP_003246783.1, XP_003246784.1, XP_001948117.1	XP_008191746.2, XP_008191790.1
OG0000037	XP_008187877.2, NP_001155504.1	XP_008192993.1
OG0000037	XP_003241041.1	XP_015835222.1
OG0000037	NP_001155507.1, XP_029343963.1	XP_970216.2
OG0000038	XP_001948685.1	XP_966492.1
OG0000038	XP_001945695.1	XP_974091.1
OG0000038	XP_003243865.1	XP_966407.1
OG0000039	XP_008180148.1, XP_008181917.1, XP_029348202.1, XP_008180129.1, XP_016664939.1, XP_008183853.1, XP_008183589.1, XP_016656248.1, XP_008181108.1	XP_008191547.1
OG0000041	XP_008186344.1	NP_001165844.1
OG0000041	NP_001136108.1	XP_008199969.1, XP_966415.1, XP_008199982.1
OG0000041	XP_001948457.2	XP_966495.1
OG0000041	XP_001948128.1	XP_967305.1
OG0000042	XP_016662708.1, XP_008186444.1	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1
OG0000042	NP_001191885.1, XP_008184085.1, NP_001191886.1, XP_001944248.1, NP_001119674.1, XP_008179499.1, XP_001943917.1	XP_008198874.1, NP_001182164.1, XP_008199928.1, NP_001180578.1
OG0000043	NP_001119652.1	NP_001039287.1, XP_015836776.1, NP_001039277.1
OG0000043	NP_001128404.1, XP_029342103.1, NP_001119651.1	XP_008193777.1, NP_001039289.1
OG0000043	NP_001156287.1	NP_001039276.1
OG0000044	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2	NP_001164285.1
OG0000044	XP_008182457.2, XP_029342681.1, XP_001944764.2	XP_008200834.1
OG0000045	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2	XP_015834974.1, XP_015834972.1
OG0000046	XP_008184380.1, NP_001156420.1	XP_008200986.2, XP_015838368.1
OG0000046	XP_001949837.1	XP_973521.1
OG0000046	XP_008190051.1, XP_001951915.1, XP_003248918.1, XP_001945786.2	NP_001164199.1, NP_001164200.1, XP_974442.1, NP_001164098.1
OG0000046	XP_001951207.1, XP_003244048.1	XP_966611.1
OG0000047	XP_008178525.1, XP_008189339.1, XP_008185268.1, XP_008178820.1, XP_016660548.2, XP_003245376.1, XP_003241214.1, XP_008188668.1, XP_008181747.1, XP_008178517.2, XP_003244703.1, XP_008189952.1, XP_008185493.1, XP_029347997.1, XP_016663902.1, XP_016656212.1, NP_001233059.1, NP_001191896.1, XP_029348349.1, XP_008180703.1, XP_008183156.1, XP_001944531.1, XP_008190228.1, XP_029348058.1, XP_001951909.1, XP_008181765.1, XP_008189984.1, XP_029345735.1, XP_008187181.1, XP_016659199.2, XP_008182981.1, XP_008184725.1	XP_015839283.1, XP_008200958.2
OG0000048	XP_003246561.1, XP_029345889.1, XP_016662409.1, XP_029345122.1, XP_029345890.1, XP_029345124.1, XP_008186079.1, XP_029345127.1, XP_029345125.1	XP_008193917.1
OG0000049	XP_029344683.1, XP_029348273.1	XP_015840032.1, XP_015840259.1, XP_015839930.1, XP_015840220.1, XP_015840324.1, XP_015837476.1, XP_008194621.1
OG0000049	XP_029348220.1, XP_008179823.1, XP_008178595.1, XP_029348309.1, XP_008181856.2, XP_029340935.1, XP_029343051.1, XP_008188430.1, XP_029348118.1, XP_029348189.1, XP_003243221.1, XP_003241955.1, XP_008183571.1, XP_003240833.3, XP_029341607.1	XP_969027.1, XP_015839705.1, XP_015837946.1, XP_015840443.1
OG0000050	XP_008186168.1, XP_029344195.1	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1
OG0000051	XP_008188002.1	XP_015840160.1, XP_015838855.1, XP_015838856.1
OG0000051	XP_008179856.1	XP_008191156.1
OG0000051	XP_029347265.1, XP_008180095.2, XP_029348059.1, XP_003245080.2, XP_008189682.1, XP_008180887.1, XP_008188509.2, XP_008178740.1, XP_008182688.2, XP_029340978.1	XP_008196088.2
OG0000051	XP_008181076.1, XP_008178235.1, XP_008178224.1, XP_008185519.1, XP_008183876.1, XP_029342056.1, XP_008180987.1, XP_008186758.1, XP_008179276.1	XP_015837846.1, XP_015833811.1, XP_015837945.1
OG0000052	XP_008180304.1, XP_008180303.1	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1
OG0000052	XP_001949739.1, XP_001947560.2, XP_029343576.1, XP_001952551.3	XP_008197196.2, XP_008197191.1
OG0000054	NP_001162107.1, XP_003243273.1, NP_001233051.1	XP_008193950.1, XP_970596.1, XP_970518.1, XP_015836116.1, XP_970381.1, XP_970445.1, XP_008193936.1
OG0000055	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1	XP_971821.3
OG0000055	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1	XP_008194095.1
OG0000056	XP_029341785.1, XP_016658856.2	XP_015835680.1
OG0000056	XP_029347390.1, XP_029340985.1	XP_008197222.1
OG0000056	XP_029341336.1	XP_015834565.1, XP_015839288.1
OG0000056	XP_029345472.1, XP_029341337.1	XP_970084.2
OG0000057	NP_001177327.1	XP_967267.1
OG0000057	XP_008190203.1	XP_967348.1
OG0000060	XP_029341750.1	XP_008194927.2
OG0000060	XP_016660546.1	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1
OG0000061	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1	XP_969936.2
OG0000061	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2	XP_008197154.2
OG0000062	XP_001951309.3	XP_968760.1, XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1
OG0000063	XP_016664961.2, XP_029340921.1, XP_016660863.1, XP_016658201.1, XP_016657235.1, XP_016657234.1	XP_015837412.1
OG0000063	XP_016658134.1	XP_015840144.1
OG0000065	XP_001943808.2	XP_015834020.1
OG0000065	XP_001950981.1	XP_969514.1, XP_008198984.1, XP_008198951.1, XP_966889.1, XP_015837535.1, XP_015834023.1, XP_015834022.1
OG0000066	XP_008178755.1, XP_029348396.1, XP_029347905.1, XP_008187418.1, XP_029347848.1, XP_008178341.1, XP_008189191.1, XP_029347833.1, XP_029347832.1	XP_015839951.1
OG0000066	XP_008180329.2, XP_008180328.1	XP_015839271.1, XP_015839922.1
OG0000066	XP_008186719.1, XP_008186645.1, XP_008178451.1, XP_008184821.1, XP_008189985.1, XP_008181030.1, XP_008181032.1, XP_008178816.1, XP_008181153.1	XP_015837699.1
OG0000066	XP_016656220.2	XP_015840033.1
OG0000067	XP_001948642.2	XP_008200210.1
OG0000067	XP_016658458.1	NP_001164095.1, XP_008200192.1
OG0000067	XP_008185788.1	XP_008198995.1
OG0000068	XP_029347552.1, XP_008189569.1, XP_008189919.1, XP_008180901.1, XP_008178178.1, XP_029341144.1, XP_029347880.1, XP_008187871.1, XP_016659884.1, XP_016657197.1, XP_029345884.1, XP_008189496.1, XP_008189440.2, XP_008180374.2, XP_008178347.1, XP_008188040.1	XP_015836644.1
OG0000068	XP_029348292.1, XP_003240991.1, XP_008178262.2, XP_001950353.1, XP_029340937.1, XP_008179536.1, XP_008189589.1, XP_008189701.1, XP_008182319.1, XP_029347920.1	XP_015840125.1, XP_015837077.1, XP_015840120.1
OG0000069	XP_029344273.1	XP_008191789.1
OG0000071	XP_016655856.1, XP_008178182.1	XP_015835156.1
OG0000072	XP_029346399.1	XP_015840428.1
OG0000072	XP_003246904.1, XP_008187176.1	XP_015840056.1
OG0000072	XP_029344847.1	XP_008198792.1, XP_015839243.1
OG0000074	XP_029344853.1, XP_029345069.1, XP_016655841.1, XP_016655840.1, XP_029345083.1, XP_029345084.1, XP_029342157.1, XP_029345068.1, XP_008189736.3, XP_003248965.2, XP_003248702.1, XP_029342723.1, XP_029345751.1, XP_003244613.1, XP_008185438.1, XP_003240403.1, XP_029344854.1, XP_016661523.1, XP_029345888.1, XP_029348279.1, XP_029345085.1, XP_008185021.1, XP_029341723.1, XP_029341728.1, XP_029341729.1, XP_029344850.1, XP_001946490.2, XP_016661868.1, XP_029342388.1, XP_003246142.3, XP_016661519.1, XP_008181131.2, XP_029346353.1, XP_029346354.1, XP_029341136.1, XP_016661865.2, XP_029345078.1, XP_016663995.1, XP_008181949.2, XP_016658567.1, XP_016658569.1, XP_029345073.1, XP_029345045.1, XP_029345061.1, XP_029345058.1, XP_029342395.1, XP_029342396.1, XP_029342397.1, XP_008188177.1, XP_016664028.1, XP_016664027.1, XP_001942568.2, XP_016659718.1, XP_029343824.1	XP_015837890.1, XP_970945.2
OG0000075	XP_016662368.1	XP_008191221.1, XP_015833570.1, XP_015833569.1, XP_015840430.1
OG0000076	XP_029348282.1, XP_016664554.1, XP_016664857.1, XP_008189029.1	XP_015840141.1
OG0000077	XP_001945190.2	XP_008200285.1
OG0000077	XP_008187030.1	XP_008194480.2, XP_971466.1, XP_015836196.1
OG0000079	XP_001952588.1	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1
OG0000080	XP_001952817.1, XP_003241505.1	XP_971544.1
OG0000080	XP_003240094.1	XP_015838833.1, XP_968784.1, XP_008199652.2
OG0000081	XP_016660637.1, XP_003245950.2	XP_015833047.1
OG0000084	NP_001155431.1	XP_008194205.2
OG0000084	NP_001156310.1	XP_008194340.1
OG0000084	NP_001155786.1	XP_973788.1, XP_008194337.1, XP_969263.1, XP_015836178.1, XP_974019.1
OG0000085	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1	XP_008190480.1, XP_008190479.1, XP_008190478.1, XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1
OG0000086	NP_001155379.1, XP_016661052.1, XP_016662788.2, XP_001951510.1, NP_001155766.1, XP_008182375.2, XP_016663261.1	XP_973839.1, XP_008201361.1, XP_008200636.2, XP_971578.1, XP_008193572.1, XP_008197635.1, XP_008193352.1, XP_015839617.1
OG0000086	XP_001950197.2	XP_008200062.1, XP_015834290.1
OG0000087	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2, XP_969383.1, XP_001808639.1, XP_008200953.1, XP_974493.2
OG0000088	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1	XP_015837887.1
OG0000091	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2
OG0000092	XP_001947820.1	XP_008198926.1, XP_967128.1
OG0000093	XP_016662984.1, XP_008187890.1	XP_008198969.1
OG0000094	XP_001948596.2	XP_008194293.1, XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2
OG0000097	XP_001948740.2, XP_008182369.1, XP_029347936.1	NP_001107835.1, XP_966355.1, XP_008200463.1
OG0000098	NP_001153821.1, XP_008189785.1	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1
OG0000099	XP_001945365.2	XP_973444.1
OG0000099	XP_001945213.1	XP_967359.1
OG0000099	XP_001951744.1	XP_008198312.1
OG0000100	XP_001944985.1	XP_015833282.1, XP_008190946.1, XP_008190945.1
OG0000101	XP_001950980.2, XP_001945570.2	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1
OG0000101	XP_001952301.1	XP_968658.1
OG0000102	XP_001946994.2	XP_015836203.1, XP_972020.3, XP_971968.1, XP_008201580.1
OG0000103	XP_003244332.1	NP_001107839.1
OG0000105	XP_008181126.1, XP_029342287.1, XP_016664909.1, XP_008181480.1, XP_008181641.1, XP_008187105.1, XP_008183455.1, XP_008178153.1, XP_008181855.2, XP_008180151.1, XP_008180159.1, XP_008189948.1, XP_029348472.1, XP_008180160.1, XP_008180372.1, XP_008187636.1	XP_015840325.1
OG0000107	XP_029345198.1, XP_029341479.1, XP_008189907.1, XP_008189468.1, XP_003247570.2, XP_001945116.1, XP_008180898.1, XP_008182430.1, XP_029341661.1, XP_029348199.1, XP_029348361.1, XP_008190170.1, XP_008189564.1, XP_016656414.1, XP_008189275.1, XP_008189904.1, XP_029342294.1, XP_008181050.1, XP_029343290.1, XP_029347724.1, XP_016660457.2, XP_029341084.1, XP_008183256.1, XP_029348215.1, XP_008178928.1, XP_029348381.1, XP_029344671.1, XP_008178550.1, XP_016655741.2, XP_029341189.1, XP_008188059.1, XP_029347996.1, XP_016659939.1, XP_016660168.1, XP_029341289.1, XP_029348549.1, XP_029344265.1	XP_974139.1, XP_008198278.1
OG0000108	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1
OG0000109	XP_001947883.2	XP_008200716.1, XP_968250.2
OG0000112	XP_001944328.2	XP_008191265.1, XP_008198195.1, XP_015837714.1
OG0000113	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1	XP_967872.2, XP_008198495.1, XP_008198500.1
OG0000115	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1
OG0000117	XP_001947242.1	XP_008198411.1
OG0000117	XP_001945228.1	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1
