Orthogroup	Acyrthosiphon_pisum	Osmia_bicornis
OG0000013	XP_008190047.2, XP_008190048.2, XP_003246588.2	XP_029054967.1
OG0000013	XP_008188188.1, XP_008186887.1	XP_029037650.1
OG0000013	XP_003249043.1	XP_029037649.1
OG0000014	XP_008188957.2	XP_029054658.1
OG0000015	XP_008178712.1, XP_016663080.1, XP_029345242.1, XP_008185956.2, XP_016664373.2, XP_008178216.1, XP_008190259.1, XP_029342176.1, XP_008184420.1, XP_008182443.1, XP_008181582.1	XP_029054814.1
OG0000015	XP_008182791.1, XP_008186267.1, XP_008185380.1, XP_008178533.1, XP_008189950.2, XP_008185312.1, XP_008181052.1, XP_029345898.1, XP_029341202.1, XP_029345757.1	XP_029053802.1
OG0000015	XP_008184280.1	XP_029055226.1
OG0000015	XP_008188308.1, XP_029341343.1, XP_008186657.1, XP_008181178.1, XP_029341124.1, XP_008189727.1	XP_029054764.1, XP_029055153.1
OG0000015	XP_008188095.2	XP_029055256.1
OG0000015	XP_029345918.1, XP_016661099.1, XP_008183780.1, XP_029345756.1, XP_008182252.1, XP_008189910.1, XP_008186546.1, XP_029348245.1, XP_016657695.1, XP_008189363.1, XP_008178800.1, XP_008189557.1, XP_029347976.1	XP_029054815.1
OG0000016	XP_008179439.1, XP_008188179.1, XP_008189245.1	XP_029054344.1, XP_029054391.1, XP_029053686.1, XP_029054495.1, XP_029055268.1, XP_029053711.1, XP_029055014.1, XP_029051957.1, XP_029054619.1, XP_029053691.1, XP_029054936.1, XP_029054856.1, XP_029054642.1
OG0000017	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1	XP_029039555.1, XP_029039565.1, XP_029039563.1, XP_029039564.1
OG0000018	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2	XP_029051327.1, XP_029048068.1, XP_029048069.1, XP_029048067.1, XP_029049739.1, XP_029049738.1, XP_029049740.1, XP_029049735.1, XP_029036695.1
OG0000019	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1	XP_029052871.1, XP_029052872.1
OG0000019	XP_001952539.2	XP_029052293.1
OG0000020	XP_003244194.1	XP_029050516.1
OG0000020	XP_029345653.1	XP_029043034.1
OG0000020	XP_029344335.1, XP_016664934.1	XP_029055041.1
OG0000020	NP_001280338.1	XP_029042549.1
OG0000020	XP_029347131.1	XP_029051090.1, XP_029034229.1
OG0000020	XP_029343394.1	XP_029032757.1
OG0000021	XP_001945018.2	XP_029039360.1, XP_029039361.1, XP_029039362.1
OG0000021	XP_001944401.2	XP_029032147.1
OG0000021	XP_016663029.1, XP_003240228.1, XP_029342725.1	XP_029046571.1
OG0000021	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1	XP_029049609.1, XP_029041225.1, XP_029039365.1, XP_029039366.1, XP_029039367.1, XP_029039368.1, XP_029039369.1, XP_029039363.1
OG0000022	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2	XP_029051688.1, XP_029051703.1, XP_029035866.1, XP_029054087.1, XP_029053362.1, XP_029053958.1, XP_029055198.1, XP_029053955.1, XP_029054818.1, XP_029053454.1, XP_029053455.1
OG0000023	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1	XP_029053360.1, XP_029054575.1, XP_029051698.1, XP_029053456.1, XP_029054574.1, XP_029054086.1, XP_029053954.1, XP_029055089.1, XP_029053953.1, XP_029051696.1, XP_029051697.1, XP_029053457.1, XP_029051991.1
OG0000024	XP_001949358.2	XP_029051585.1, XP_029051584.1, XP_029051583.1, XP_029051581.1, XP_029052345.1
OG0000024	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1	XP_029045871.1, XP_029045870.1
OG0000026	XP_029342349.1, XP_029342350.1	XP_029039364.1
OG0000026	XP_029342802.1	XP_029035302.1
OG0000026	XP_029342414.1	XP_029032070.1, XP_029039545.1, XP_029055886.1, XP_029031842.1, XP_029032017.1, XP_029055971.1, XP_029055800.1, XP_029031929.1
OG0000027	NP_001156692.1	XP_029053373.1
OG0000027	XP_001949096.2, XP_008189396.1	XP_029035641.1, XP_029053960.1
OG0000027	XP_008190046.1	XP_029053959.1, XP_029053445.1, XP_029035639.1
OG0000028	XP_008189663.1, XP_008189981.1, XP_008183271.1, XP_029342081.1, XP_008180486.1	XP_029053767.1, XP_029054640.1, XP_029053970.1
OG0000028	XP_029341381.1	XP_029054960.1, XP_029054456.1, XP_029053834.1
OG0000028	XP_008185551.1, XP_029347940.1, XP_029347869.1, XP_008185413.1, XP_008180393.1, XP_008180395.1, XP_008184226.1, XP_008185676.1, XP_008182613.1, XP_008178496.1	XP_029053753.1
OG0000028	XP_008179516.1, XP_008182365.1	XP_029054284.1, XP_029053972.1
OG0000029	XP_016663309.2, XP_001952418.1	XP_029041154.1, XP_029041149.1
OG0000029	NP_001165726.1, XP_001947860.1	XP_029041266.1
OG0000030	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2	XP_029049282.1
OG0000031	XP_008183945.1, XP_008182759.1	XP_029054975.1, XP_029054109.1, XP_029055290.1, XP_029055318.1, XP_029054758.1, XP_029054093.1, XP_029039306.1, XP_029039307.1, XP_029039305.1, XP_029039303.1, XP_029039304.1, XP_029053776.1, XP_029053777.1, XP_029053775.1, XP_029053774.1, XP_029053773.1, XP_029053772.1, XP_029053771.1, XP_029054853.1, XP_029055093.1, XP_029054751.1, XP_029055141.1
OG0000031	XP_029340992.1, XP_029340991.1, XP_008181493.1	XP_029035531.1
OG0000031	XP_029345261.1, XP_008181228.1, XP_008180311.1, XP_008180310.1, XP_008184183.1, XP_008179676.1, XP_029347837.1	XP_029054646.1, XP_029055138.1
OG0000031	XP_008185496.1, XP_008188161.1, XP_008189772.2, XP_008190121.1, XP_029342251.1	XP_029053793.1, XP_029054769.1, XP_029053898.1, XP_029033246.1, XP_029040500.1, XP_029055091.1, XP_029054466.1, XP_029055036.1, XP_029054675.1, XP_029055267.1, XP_029055215.1, XP_029054622.1
OG0000032	XP_029347116.1, XP_001949029.2, XP_016662740.1	XP_029053845.1, XP_029053357.1
OG0000033	XP_008187161.1, XP_029345803.1, XP_008189831.1, XP_016657071.1, XP_008189987.1, XP_008179529.1	XP_029052819.1
OG0000033	XP_008182397.1, XP_008188682.1, XP_008181233.1, XP_008184752.2, XP_008178492.1, XP_008178503.1, XP_029348526.1, XP_029348382.1, XP_029340965.1, XP_008178587.1, XP_008189600.1, XP_008182361.1, XP_029341075.1, XP_008181981.1	XP_029054900.1
OG0000033	XP_016655826.1	XP_029055236.1
OG0000033	XP_003245462.1	XP_029044380.1
OG0000035	XP_001951632.1, XP_016663720.1, XP_029345626.1, XP_003246783.1, XP_003246784.1, XP_001948117.1	XP_029032235.1
OG0000037	XP_008187877.2, NP_001155504.1, XP_003241041.1, XP_003243107.1, NP_001165431.1, NP_001155507.1, XP_029343963.1, XP_003247374.1, XP_008190010.1, NP_001165734.1	XP_029047042.1
OG0000038	XP_001948685.1	XP_029041947.1, XP_029050411.1
OG0000038	XP_003245830.1	XP_029045842.1, XP_029045843.1, XP_029045841.1
OG0000039	XP_008184868.1, XP_016660286.1, XP_029342256.1, XP_008189670.1, XP_008188703.1, XP_029342277.1, XP_008184255.1	XP_029055063.1
OG0000039	XP_008180148.1, XP_008181917.1, XP_029348202.1, XP_008180129.1, XP_016664939.1, XP_008183853.1, XP_008183589.1, XP_016656248.1, XP_008181108.1	XP_029055279.1, XP_029054655.1
OG0000041	NP_001119672.1, XP_008186344.1	XP_029032654.1, XP_029032653.1
OG0000041	NP_001136108.1, XP_001948457.2	XP_029038902.1, XP_029038901.1, XP_029038899.1
OG0000041	XP_001948128.1	XP_029053007.1
OG0000042	XP_016662708.1, XP_008186444.1	XP_029048713.1
OG0000043	NP_001128404.1, XP_029342103.1, NP_001119651.1	XP_029038126.1
OG0000044	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2	XP_029033389.1, XP_029033390.1, XP_029033388.1
OG0000045	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2	XP_029050902.1, XP_029050927.1, XP_029050914.1, XP_029043746.1
OG0000046	XP_008184380.1, NP_001156420.1	XP_029046126.1
OG0000046	XP_001951207.1, XP_003244048.1	XP_029054140.1, XP_029049335.1
OG0000047	XP_008188471.1, XP_008182780.1, XP_008182496.1, XP_008180759.1, XP_016661993.1, XP_029348003.1, XP_029342264.1, XP_029341344.1, XP_008178222.1, XP_008178291.1, XP_029341022.1, XP_008178525.1, XP_008189339.1, XP_008185268.1, XP_008178820.1, XP_016660548.2, XP_003245376.1, XP_003241214.1, XP_008188668.1, XP_008181747.1, XP_008178517.2, XP_003244703.1, XP_008189952.1, XP_008185493.1, XP_029347997.1, XP_016663902.1, XP_016656212.1, NP_001233059.1, NP_001191896.1, XP_029348349.1, XP_008180703.1, XP_008183156.1, XP_001944531.1, XP_008190228.1, XP_029348058.1, XP_001951909.1, XP_008181765.1, XP_008189984.1, XP_029345735.1, XP_008187181.1, XP_016659199.2, XP_008182981.1, XP_008184725.1, XP_008189733.1, XP_008178797.1	XP_029054419.1, XP_029055026.1, XP_029054608.1, XP_029054038.1, XP_029055277.1, XP_029054997.1, XP_029054202.1, XP_029055147.1, XP_029054348.1, XP_029039380.1, XP_029053798.1
OG0000048	XP_003246561.1, XP_029345889.1, XP_016662409.1, XP_029345122.1, XP_029345890.1, XP_029345124.1, XP_008186079.1, XP_029345127.1, XP_029345125.1	XP_029038641.1
OG0000048	XP_016662412.1	XP_029038651.1, XP_029038664.1
OG0000049	XP_029344683.1, XP_029348273.1	XP_029055197.1
OG0000049	XP_029348220.1, XP_008179823.1, XP_008178595.1, XP_029348309.1, XP_008181856.2, XP_029340935.1, XP_029343051.1, XP_008188430.1, XP_029348118.1, XP_029348189.1, XP_003243221.1, XP_003241955.1, XP_008183571.1, XP_003240833.3, XP_029341607.1	XP_029055055.1
OG0000049	XP_029344703.1	XP_029053764.1
OG0000050	XP_008186168.1, XP_029344195.1	XP_029035421.1, XP_029047238.1
OG0000051	XP_008182941.1, XP_008179042.1, XP_008178225.1	XP_029054924.1
OG0000051	XP_008185745.1, XP_008183699.1, XP_008185087.1, XP_008179270.1	XP_029055302.1
OG0000051	XP_008184704.1	XP_029055083.1, XP_029054931.1
OG0000051	XP_008181670.1	XP_029054696.1
OG0000051	XP_008187344.1, XP_008188632.1	XP_029055007.1
OG0000051	XP_008181076.1, XP_008178235.1, XP_008178224.1, XP_008185519.1, XP_008183876.1, XP_029342056.1, XP_008180987.1, XP_008186758.1, XP_008179276.1	XP_029054712.1, XP_029055094.1
OG0000052	XP_008180304.1, XP_008180303.1	XP_029053695.1
OG0000052	XP_003243917.1, XP_001950194.2	XP_029042748.1
OG0000053	XP_008178527.1, XP_016658230.1	XP_029035920.1, XP_029035921.1
OG0000053	XP_008178744.1, XP_008181635.1, XP_008188016.1, XP_008178393.1, XP_008178411.1	XP_029055282.1, XP_029054610.1
OG0000053	XP_008178754.1, XP_008188582.3	XP_029054836.1, XP_029054892.1, XP_029054993.1
OG0000054	NP_001162107.1, XP_003243273.1, NP_001233051.1	XP_029050144.1, XP_029050156.1, XP_029050150.1
OG0000055	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1	XP_029033370.1, XP_029033371.1
OG0000055	XP_029348415.1	XP_029033281.1, XP_029033290.1, XP_029033297.1
OG0000055	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1	XP_029033206.1
OG0000056	XP_029341785.1, XP_016658856.2	XP_029043848.1, XP_029043447.1
OG0000056	XP_029347390.1, XP_029340985.1	XP_029041052.1
OG0000056	XP_029341336.1	XP_029050404.1, XP_029048153.1
OG0000056	XP_029345472.1, XP_029341337.1	XP_029044167.1
OG0000057	NP_001177327.1	XP_029035838.1
OG0000057	XP_008190203.1	XP_029035967.1
OG0000059	XP_008178159.1, XP_029346651.1	XP_029055288.1
OG0000059	XP_008189741.1, XP_016656308.1, XP_029341102.1, XP_016663283.1	XP_029055211.1, XP_029055299.1
OG0000059	XP_029348403.1, XP_029341029.1	XP_029055212.1
OG0000060	XP_029341750.1	XP_029056239.1, XP_029056240.1
OG0000060	XP_016660546.1	XP_029040322.1, XP_029040321.1, XP_029040320.1, XP_029040318.1, XP_029040317.1
OG0000061	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1	XP_029042514.1
OG0000061	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2	XP_029037437.1, XP_029047750.1, XP_029047749.1, XP_029047748.1, XP_029047747.1, XP_029047746.1, XP_029047743.1, XP_029047752.1, XP_029047751.1, XP_029047745.1, XP_029047753.1
OG0000062	XP_001951309.3	XP_029054767.1, XP_029054389.1, XP_029054437.1, XP_029054392.1, XP_029054447.1, XP_029054763.1
OG0000063	XP_016664961.2, XP_029340921.1, XP_016660863.1, XP_016658201.1, XP_016657235.1, XP_016657234.1	XP_029053925.1, XP_029055304.1, XP_029046072.1, XP_029037443.1, XP_029054529.1, XP_029055142.1
OG0000063	XP_016658134.1	XP_029054652.1, XP_029053184.1, XP_029054846.1
OG0000063	XP_016656082.2	XP_029054876.1
OG0000065	XP_001943808.2	XP_029047719.1
OG0000065	XP_001950981.1	XP_029047711.1
OG0000066	XP_008178755.1, XP_029348396.1, XP_029347905.1, XP_008187418.1, XP_029347848.1, XP_008178341.1, XP_008189191.1, XP_029347833.1, XP_029347832.1, XP_008180329.2, XP_008180328.1, XP_008186719.1, XP_008186645.1, XP_008178451.1, XP_008184821.1, XP_008189985.1, XP_008181030.1, XP_008181032.1, XP_008178816.1, XP_008181153.1	XP_029053476.1
OG0000067	XP_001948642.2	XP_029053164.1
OG0000067	XP_016658458.1	XP_029042775.1
OG0000067	XP_029347451.1, XP_001948493.1	XP_029032763.1, XP_029032764.1
OG0000067	XP_008185788.1	XP_029039161.1
OG0000069	XP_029344273.1	XP_029035424.1, XP_029035422.1, XP_029035425.1, XP_029035429.1
OG0000071	XP_029340979.1, XP_029348230.1	XP_029055115.1, XP_029054219.1, XP_029055020.1
OG0000072	XP_016661629.1, XP_008185485.1, XP_008185666.1, XP_008181048.1, XP_008189623.1	XP_029055286.1
OG0000072	XP_029346399.1	XP_029053885.1, XP_029055169.1, XP_029053735.1, XP_029055057.1, XP_029054943.1, XP_029054530.1, XP_029055166.1, XP_029053861.1, XP_029053369.1
OG0000072	XP_003246904.1, XP_008187176.1, XP_008181699.1, XP_008186497.1, XP_008189644.1, XP_008185349.1, XP_029344847.1	XP_029055058.1, XP_029055170.1, XP_029055172.1, XP_029053883.1
OG0000074	XP_016661872.1	XP_029038270.1
OG0000074	XP_029344853.1, XP_029345069.1, XP_016655841.1, XP_016655840.1, XP_029345083.1, XP_029345084.1, XP_029342157.1, XP_029345068.1, XP_008189736.3, XP_003248965.2, XP_003248702.1, XP_029342723.1, XP_029345751.1, XP_003244613.1, XP_008185438.1, XP_003240403.1, XP_029344854.1, XP_016661523.1, XP_029345888.1, XP_029348279.1, XP_029345085.1, XP_008185021.1, XP_029341723.1, XP_029341728.1, XP_029341729.1, XP_029344850.1, XP_001946490.2, XP_016661868.1, XP_029342388.1, XP_003246142.3, XP_016661519.1, XP_008181131.2, XP_029346353.1, XP_029346354.1, XP_029341136.1, XP_016661865.2, XP_029345078.1, XP_016663995.1, XP_008181949.2, XP_016658567.1, XP_016658569.1, XP_029345073.1, XP_029345045.1, XP_029345061.1, XP_029345058.1, XP_029342395.1, XP_029342396.1, XP_029342397.1, XP_008188177.1, XP_016664028.1, XP_016664027.1, XP_001942568.2, XP_016659718.1, XP_029343824.1	XP_029053481.1
OG0000075	XP_016662368.1	XP_029044179.1, XP_029044180.1
OG0000076	XP_029348282.1, XP_016664554.1, XP_016664857.1, XP_008189029.1	XP_029054930.1
OG0000077	XP_001945190.2	XP_029041461.1
OG0000077	XP_008187030.1	XP_029051620.1
OG0000079	XP_001952588.1	XP_029035221.1
OG0000080	XP_001952817.1, XP_003241505.1	XP_029048618.1, XP_029048619.1
OG0000080	XP_003240094.1	XP_029048655.1
OG0000081	XP_016660637.1, XP_003245950.2	XP_029040920.1, XP_029040924.1, XP_029040923.1, XP_029040922.1, XP_029040928.1, XP_029040927.1, XP_029040929.1, XP_029040930.1, XP_029040871.1
OG0000084	NP_001155431.1	XP_029034284.1, XP_029034285.1, XP_029034302.1
OG0000084	NP_001155786.1	XP_029039752.1
OG0000085	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1	XP_029036566.1, XP_029036567.1, XP_029036300.1, XP_029036301.1
OG0000086	XP_001950197.2	XP_029036714.1
OG0000087	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2	XP_029056468.1, XP_029056467.1, XP_029056466.1
OG0000088	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1	XP_029051133.1
OG0000091	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2	XP_029041126.1, XP_029041124.1
OG0000092	XP_001947820.1	XP_029048799.1, XP_029041975.1, XP_029041991.1, XP_029043422.1, XP_029044965.1, XP_029044957.1, XP_029036169.1
OG0000094	XP_001948596.2	XP_029033929.1, XP_029034646.1, XP_029034647.1, XP_029050994.1
OG0000097	XP_001948740.2, XP_008182369.1, XP_029347936.1	XP_029033159.1, XP_029033157.1, XP_029033158.1, XP_029042191.1, XP_029042190.1
OG0000098	NP_001153821.1, XP_008189785.1	XP_029040058.1, XP_029040062.1, XP_029040061.1, XP_029040060.1, XP_029040057.1
OG0000099	XP_001945365.2	XP_029034823.1
OG0000099	XP_001945213.1	XP_029034765.1
OG0000099	XP_001951744.1	XP_029045960.1
OG0000100	XP_001944985.1	XP_029038954.1, XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1
OG0000101	XP_001950980.2, XP_001945570.2	XP_029038150.1
OG0000101	XP_001952301.1	XP_029038151.1
OG0000102	XP_001946994.2	XP_029052948.1
OG0000103	XP_003248994.1, XP_003243120.1	XP_029044558.1, XP_029044556.1, XP_029034468.1, XP_029034469.1, XP_029034466.1, XP_029034467.1
OG0000105	XP_008181126.1, XP_029342287.1, XP_016664909.1, XP_008181480.1, XP_008181641.1, XP_008187105.1, XP_008183455.1, XP_008178153.1, XP_008181855.2, XP_008180151.1, XP_008180159.1, XP_008189948.1, XP_029348472.1, XP_008180160.1, XP_008180372.1, XP_008187636.1	XP_029054926.1, XP_029054901.1, XP_029054717.1, XP_029054708.1
OG0000107	XP_029348199.1, XP_029348361.1, XP_008190170.1, XP_008189564.1, XP_016656414.1	XP_029055031.1
OG0000107	XP_008189275.1, XP_008189904.1, XP_029342294.1, XP_008181050.1, XP_029343290.1	XP_029054179.1
OG0000107	XP_029347724.1, XP_016660457.2, XP_029341084.1, XP_008183256.1, XP_029348215.1, XP_008178928.1, XP_029348381.1, XP_029344671.1, XP_008178550.1, XP_016655741.2	XP_029053769.1
OG0000108	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2	XP_029040200.1, XP_029040201.1
OG0000109	XP_001947883.2	XP_029050471.1, XP_029050469.1, XP_029050473.1, XP_029050472.1
OG0000112	XP_001944328.2	XP_029046532.1, XP_029046533.1, XP_029048168.1
OG0000113	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1	XP_029037699.1, XP_029048517.1
