Orthogroup	Acyrthosiphon_pisum	Apis_mellifera
OG0000037	XP_008187877.2, NP_001155504.1, XP_003241041.1, XP_003243107.1, NP_001165431.1, NP_001155507.1, XP_029343963.1, XP_003247374.1, XP_008190010.1, NP_001165734.1	NP_001257751.1
OG0000038	XP_001948685.1	XP_623220.1, XP_006567025.1
OG0000038	XP_003245830.1	XP_396338.2
OG0000041	NP_001119672.1, XP_008186344.1	NP_001172074.1, NP_001172075.1
OG0000041	NP_001136108.1, XP_001948457.2	XP_026296530.1, XP_003251464.1, XP_016767697.1
OG0000041	XP_001948128.1	XP_625015.1
OG0000042	XP_016662708.1, XP_008186444.1	XP_026296155.1, XP_026296156.1, XP_026296157.1, XP_026296158.1, XP_006571892.1, XP_623925.2, XP_026296164.1, XP_026296165.1
OG0000042	NP_001191885.1, XP_008184085.1, NP_001191886.1, XP_001944248.1, NP_001119674.1, XP_008179499.1, XP_001943917.1	XP_026295892.1, XP_026295893.1
OG0000043	NP_001128404.1, XP_029342103.1, NP_001119651.1	XP_016768084.1, NP_001071287.1
OG0000044	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2	XP_006565547.1, XP_006565544.2
OG0000045	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2	NP_001035326.1, NP_001035349.1, NP_001011608.1
OG0000045	XP_029347511.1, XP_003248124.2, XP_016656776.1, XP_008179193.1, XP_029346942.1, XP_003246887.1, XP_029346941.1, XP_016656775.1, XP_016659005.1, XP_001949423.2, XP_001949604.2, XP_008186205.1	XP_006564814.1, XP_026296732.1, XP_006564813.1
OG0000046	XP_008184380.1, NP_001156420.1	NP_001153524.1
OG0000046	XP_001951207.1, XP_003244048.1	NP_001153522.1, NP_001153544.1
OG0000048	XP_003246561.1, XP_029345889.1, XP_016662409.1, XP_029345122.1, XP_029345890.1, XP_029345124.1, XP_008186079.1, XP_029345127.1, XP_029345125.1	XP_016769367.1
OG0000048	XP_016662412.1	XP_026298613.1, XP_006567535.1
OG0000050	XP_008186168.1, XP_029344195.1	XP_026299635.1, XP_392696.5, XP_026297792.1, XP_026297793.1, XP_016768459.2, XP_026297794.1, XP_026300733.1, XP_026300653.1, NP_001128419.1, XP_006564307.1, NP_001136081.1
OG0000052	XP_008180304.1, XP_008180303.1	XP_624251.3
OG0000052	XP_003243917.1, XP_001950194.2	XP_006570493.1
OG0000054	NP_001162107.1, XP_003243273.1, NP_001233051.1	NP_001257759.1, NP_001257754.1, NP_001257753.1
OG0000055	XP_029348415.1	XP_006562397.1
OG0000055	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1	XP_393860.4
OG0000056	XP_029341785.1, XP_016658856.2	XP_026297251.1
OG0000056	XP_029347390.1, XP_029340985.1	XP_026301167.1
OG0000056	XP_029341336.1	XP_026297087.1, XP_026296769.1
OG0000056	XP_029345472.1, XP_029341337.1	XP_026299492.1
OG0000057	NP_001177327.1	XP_392313.1
OG0000057	XP_008190203.1	XP_394469.1
OG0000060	XP_029341750.1	XP_006565271.2, XP_006565270.3, XP_026300076.1, XP_026300077.1, XP_016770937.2, XP_016770938.2
OG0000060	XP_016660546.1	NP_001180219.1, XP_006565210.1
OG0000061	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1	XP_397017.3
OG0000061	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2	XP_624322.1, XP_016773033.1
OG0000062	XP_001951309.3	XP_006568238.2, XP_001119884.1, XP_001120194.1, XP_001120006.2, XP_001120137.1
OG0000065	XP_001950981.1	XP_026299150.1
OG0000066	XP_008178755.1, XP_029348396.1, XP_029347905.1, XP_008187418.1, XP_029347848.1, XP_008178341.1, XP_008189191.1, XP_029347833.1, XP_029347832.1, XP_008180329.2, XP_008180328.1, XP_008186719.1, XP_008186645.1, XP_008178451.1, XP_008184821.1, XP_008189985.1, XP_008181030.1, XP_008181032.1, XP_008178816.1, XP_008181153.1	XP_006569791.3
OG0000067	XP_001948642.2	XP_006561513.1
OG0000067	XP_016658458.1	XP_026299464.1
OG0000067	XP_029347451.1, XP_001948493.1	XP_006560064.1
OG0000067	XP_008185788.1	XP_395774.2
OG0000069	XP_029344273.1	XP_006564460.2, XP_392727.4, XP_016770440.2, XP_016770442.2
OG0000074	XP_016661872.1	XP_001120594.2
OG0000077	XP_001945190.2	XP_006567467.1
OG0000077	XP_008187030.1	XP_395426.5
OG0000079	XP_001952588.1	XP_026295829.1, XP_026295828.1
OG0000079	XP_001949542.2	XP_006562777.1
OG0000080	XP_001952817.1, XP_003241505.1	XP_397228.2
OG0000080	XP_003240094.1	XP_006559470.1
OG0000081	XP_016660637.1, XP_003245950.2	XP_006563549.2, NP_001229913.1, XP_016772002.2, XP_394081.6, XP_026301357.1, XP_016772004.2, XP_026301413.1
OG0000084	NP_001155431.1	NP_001257744.1, NP_001257757.1, NP_001257743.1
OG0000084	NP_001155786.1	XP_026300413.1
OG0000085	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1	XP_394579.2
OG0000086	NP_001155379.1, XP_016661052.1, XP_016662788.2, XP_001951510.1, NP_001155766.1, XP_008182375.2, XP_016663261.1	XP_016772143.2, XP_001120043.2
OG0000086	XP_001950197.2	XP_016772088.2
OG0000087	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2	XP_624353.1, XP_016772139.1
OG0000088	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1	XP_006566240.1, XP_006566239.1, XP_026299220.1
OG0000091	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2	XP_026299597.1, XP_026299596.1
OG0000092	XP_001947820.1	XP_006558182.1, XP_396653.1, XP_396654.1, XP_016768016.1, XP_006560146.1
OG0000094	XP_001948596.2	XP_394160.3, XP_016770351.2, XP_026299983.1, XP_006572211.1
OG0000097	XP_001948740.2, XP_008182369.1, XP_029347936.1	XP_006566906.1, NP_001011628.1, NP_001014993.1
OG0000098	NP_001153821.1, XP_008189785.1	XP_006561279.1
OG0000099	XP_001945365.2	XP_026301459.1
OG0000099	XP_001945213.1	XP_026301457.1, XP_026301458.1
OG0000099	XP_001951744.1	XP_006563474.1
OG0000100	XP_001944985.1	XP_026300139.1, XP_026300138.1, XP_026300137.1, XP_026300136.1
OG0000101	XP_001950980.2, XP_001945570.2	XP_016769181.1
OG0000101	XP_001952301.1	XP_016769182.2
OG0000102	XP_001946994.2	XP_026298009.1, XP_016768868.1, XP_006559629.1
OG0000103	XP_003248994.1, XP_003243120.1	XP_026298877.1, XP_006558409.1, XP_016770073.1, XP_006558410.1
OG0000108	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2	XP_026296997.1, XP_026296995.1, XP_026296996.1
OG0000109	XP_001947883.2	XP_006568159.1, XP_396912.1, XP_026300511.1, XP_006568157.1
OG0000112	XP_001944328.2	XP_016770669.1, XP_395840.2
OG0000113	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1	XP_001120149.1, XP_001121347.2
OG0000115	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1	NP_001153742.1, XP_026295756.1, NP_001136128.1, XP_006560566.1
OG0000117	XP_001947242.1	XP_006566844.1
OG0000117	XP_001945228.1	XP_016769650.1, XP_006561716.1, XP_006561714.1, XP_006561715.1, XP_006561713.1
OG0000119	XP_001950896.2, XP_001946809.2	XP_006567540.1, XP_006567591.1, XP_016769352.1, XP_016769353.1
OG0000120	XP_008183102.1, XP_008183682.2, XP_001946812.2, XP_016660349.1	XP_026295458.1, XP_026300994.1, XP_026300993.1, XP_026300992.1, XP_396662.2, XP_006559344.1
OG0000122	XP_029345164.1	XP_396281.5
OG0000123	XP_001944241.1	XP_026296924.1, XP_026296929.1, XP_026296930.1, XP_026296925.1, XP_026296926.1, XP_026296927.1, XP_026296928.1
OG0000124	XP_001946145.1, XP_029344203.1, XP_016657907.1, XP_003240297.1	XP_026297158.1, XP_026297157.1, XP_026297160.1, XP_026297159.1
OG0000125	XP_029343174.1, XP_029343175.1	XP_016768147.1, XP_393208.1
OG0000126	XP_029344350.1	XP_016772382.1, NP_001011571.1
OG0000127	XP_008184238.2, XP_008185467.1, XP_008185468.2, XP_001944157.3, XP_001947156.2	XP_006570777.1, XP_016771428.1, XP_016771429.1, XP_001122616.1
OG0000127	XP_016661891.1	XP_396819.2
OG0000129	XP_029342557.1, XP_003243980.1, XP_008182280.1	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571984.1, XP_006571986.1
OG0000130	XP_008188212.1	XP_006568433.1, XP_006568428.1, XP_394686.4
OG0000130	XP_029347188.1	XP_026297554.1, XP_394687.3, XP_006565573.1
OG0000131	NP_001119635.1	XP_006564418.1
OG0000131	XP_001944342.1, NP_001280296.1	XP_392990.2, XP_003251503.1
OG0000132	XP_001944867.2, XP_008188761.1	XP_006569358.1, XP_006569359.1, XP_016767260.1, XP_006567280.1, XP_006567283.1, XP_006567281.1
OG0000133	XP_001947717.2, XP_029346829.1	XP_026295597.1, XP_026295595.1, XP_026295600.1, XP_026295601.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295596.1, XP_006571481.2, XP_016766376.2
OG0000134	XP_008188674.1, XP_029347700.1, XP_029347701.1	XP_006566587.1, XP_026299656.1, XP_623559.1, XP_026299657.1
OG0000135	XP_008183617.1, XP_016660307.1, XP_008183620.1, XP_008183619.1, XP_016660306.1, XP_029348611.1	XP_392723.3, XP_006570858.1, XP_026300893.1
OG0000137	XP_029345533.1, XP_029345535.1, XP_029345534.1, XP_001949204.1, XP_008183005.1, XP_008183006.1, XP_001951358.1, XP_001943488.1	XP_016768164.1, XP_016768165.1, XP_393390.3, XP_016768163.1, XP_026298341.1
OG0000138	XP_029344015.1, XP_029344014.1, XP_029344016.1, XP_001948700.2	XP_006561534.1, XP_006561540.1
OG0000139	XP_001949990.1	XP_026302052.1
OG0000140	XP_001950680.1, XP_029341066.1, XP_003245538.1, XP_003244834.1	XP_006565855.1, XP_006565854.1, XP_006565856.1
OG0000141	XP_029343859.1	XP_396377.3, XP_016771703.1, XP_393772.4
OG0000143	XP_008183821.1, XP_001945042.2	XP_394342.1, XP_001120755.1, XP_006568273.1, XP_006568272.1, XP_006568271.1, XP_016766288.1
OG0000146	NP_001119627.1	XP_006569990.1, XP_001120801.1
OG0000147	NP_001119678.1	XP_026301958.1
OG0000149	NP_001233210.1, XP_008189229.1	XP_624573.2
OG0000149	XP_001945852.2	XP_006560541.1
OG0000150	XP_003241608.1, XP_001943456.1, XP_008178725.1, XP_008178726.1	XP_006565287.1, XP_006565286.1, XP_006565285.1, XP_006565289.1, XP_006565288.1, XP_393853.1
OG0000151	NP_001232992.1	XP_026295481.1, XP_026295482.1, XP_026295477.1, XP_026295478.1, XP_026295479.1, XP_026295480.1, XP_026295483.1
OG0000152	XP_001950609.1	XP_016768964.1, XP_006564637.1, XP_006564641.1, XP_006564638.1, XP_006564639.1, XP_006564640.1
OG0000153	XP_001952790.2	XP_006557622.1
OG0000154	XP_029348690.1, XP_029346266.1, XP_016657976.1, XP_029348689.1	XP_003249939.3
OG0000156	XP_016659611.1	XP_006570154.1, XP_016768502.1, XP_016768504.1, XP_016768503.1
OG0000160	XP_001951963.1	XP_006570492.2
OG0000161	XP_001950765.1	NP_001011563.1, NP_001119716.1
OG0000162	XP_029346510.1	NP_001091691.1, XP_006562616.1
OG0000162	XP_008186164.1, XP_029342674.1	XP_016767550.1, NP_001073029.1
OG0000162	XP_016657938.1, XP_008180629.1	NP_001091690.1, XP_026298411.1
OG0000164	XP_016661577.1	XP_016768018.2, XP_006558190.2
OG0000165	XP_029343832.1	XP_006559859.1, XP_006559861.1, XP_006559860.1, XP_396828.2
OG0000165	XP_029343481.1	XP_006566324.1
OG0000166	XP_029347644.1, XP_029347638.1, XP_029347646.1	XP_016766244.2, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_006569176.3, XP_006569170.3
OG0000168	XP_001942542.1, XP_008186133.1	NP_001014991.1, XP_026295680.1
OG0000169	XP_016663900.2, XP_001944382.3	XP_026296993.1, XP_026296992.1, XP_026297082.1, XP_016768414.1
OG0000170	XP_029343183.1	XP_006566077.2, XP_026299163.1, XP_006566079.2
OG0000171	XP_029345553.1	XP_623922.2
OG0000173	NP_001233019.1	XP_006560020.1, XP_006560019.1
OG0000174	XP_008185372.1, XP_008189584.3, XP_008183684.1, XP_001944323.1, XP_008186867.1, XP_029343098.1, XP_029343097.1	XP_394018.2
OG0000175	XP_029344556.1, XP_001951192.1	XP_026300817.1, XP_026300815.1, XP_006560073.1, XP_006560074.1, XP_623977.2, XP_026300816.1
OG0000177	XP_016657898.1, XP_008180564.2	XP_001121910.1
OG0000177	XP_001952775.1	XP_016770327.1, XP_006566372.1, XP_016770328.1
OG0000179	XP_003240433.1	XP_026301506.1
OG0000179	NP_001155435.1, NP_001280333.1	XP_393381.2
OG0000180	NP_001232980.1	XP_006559502.1, XP_006559501.1, XP_393573.1, XP_016769007.1, XP_016769006.1
OG0000181	XP_029343194.1, XP_001948653.1	XP_393751.2, XP_006570397.2, XP_016770282.2
OG0000182	XP_003241873.1	XP_006561855.2
OG0000183	XP_016663191.1, XP_016662030.1	XP_026298476.1, XP_026298477.1, XP_395404.2
OG0000184	XP_029341516.1	XP_016773569.1, XP_026300573.1
OG0000185	XP_029344304.1	XP_003250560.1, XP_006565025.1
OG0000188	XP_029344969.1, XP_029345698.1	XP_394855.4
OG0000188	XP_001944994.1	XP_395697.2
OG0000190	XP_008187339.1	XP_006563703.1, XP_006563702.1, XP_006563701.1, XP_006563700.1
OG0000191	XP_029346818.1, XP_016659446.1, XP_029346152.1, XP_029344343.1, XP_029342439.1	XP_026301152.1
OG0000192	XP_029345853.1	XP_006557723.1, XP_396406.5, XP_006557720.1
OG0000196	XP_001943581.2	XP_003250051.2
OG0000196	XP_003248273.1, XP_008188605.1, XP_029347409.1, XP_029347413.1	XP_003251169.1, XP_016771426.1
OG0000197	XP_001949247.2, XP_001943809.2	XP_006565013.1, XP_016773443.1, XP_026300501.1, XP_006565014.2
OG0000198	XP_003240145.1, XP_016656873.1	XP_006566997.1, XP_624772.2
OG0000200	XP_001949978.1	XP_026296548.1
OG0000200	XP_008182512.1	XP_006566649.2, XP_006566650.1
OG0000201	NP_001313588.1	XP_006562412.3
OG0000202	XP_003246184.1, XP_016661945.1	XP_006558615.1
OG0000202	XP_001944687.1	XP_016768758.1, XP_016768759.1
OG0000203	XP_016662444.1, XP_001947661.2, XP_001949662.1, XP_029342520.1, XP_001947565.2	XP_623676.2, XP_006558107.2, XP_395356.4
OG0000204	XP_003243588.1, XP_001948363.2	XP_001121814.2
OG0000205	XP_016660231.1, XP_029344431.1, XP_029344430.1, XP_003244837.1	XP_016766914.1
OG0000207	NP_001155712.1	NP_001014430.1, XP_006566311.1
OG0000207	NP_001192033.1, XP_001942674.1	NP_001011652.1, NP_001305411.1
OG0000208	XP_001950788.1	XP_006562317.1, XP_625189.3
OG0000209	XP_008183529.1	XP_016769475.1, XP_016769473.1, XP_016769472.1, XP_016769471.1, XP_016769470.1, XP_016769476.1, XP_016769474.1
OG0000212	NP_001232971.1, XP_008179391.1	XP_001121043.2, XP_026298300.1
OG0000213	XP_001945623.2, NP_001280334.1	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1
OG0000214	XP_001945750.1	XP_623084.1
OG0000214	XP_008186309.1, XP_008186310.1, XP_008186312.3	XP_392104.4
OG0000215	XP_001949004.1, XP_016656471.1, XP_003241622.1	XP_016772012.1, XP_394061.2
OG0000216	XP_029341236.1, XP_029347825.1, XP_001952110.2	XP_016767691.1
OG0000217	XP_001952229.3, XP_008178352.2	XP_394861.4
OG0000218	XP_008186264.1	XP_623312.2
OG0000223	XP_001944473.2, XP_029342159.1	NP_001157186.1, XP_016769330.2, XP_001121634.3
OG0000224	XP_003247330.1, XP_001945322.1, XP_016656052.1, XP_029346604.1, XP_001950045.2	XP_006560620.1
OG0000225	XP_008183136.1, XP_001946333.2, XP_016659881.1	XP_006567210.2
OG0000226	XP_008185421.1	XP_026300579.1
OG0000227	XP_003245308.1, XP_008184764.2	XP_006562291.2, XP_006562294.2, XP_006562293.2, XP_016770836.2
OG0000229	XP_029341397.1, XP_016661667.1, XP_016661666.1, XP_016661665.1, XP_016661664.1, XP_016661668.1, XP_008187110.1, NP_001233057.1	XP_001121505.2
OG0000230	XP_016661982.1, XP_016661983.1, XP_016661984.1, XP_001943037.1	XP_001122612.2, XP_026300638.1, XP_026300637.1
OG0000231	XP_001946956.2, XP_001948201.2	XP_006562424.1
OG0000232	XP_001947878.1, XP_029346471.1	XP_393976.2, XP_006563043.1, XP_006563042.1
OG0000233	XP_001947951.2, XP_029343172.1	XP_001120116.2, XP_016768768.2, XP_397073.5, XP_026300288.1
OG0000234	XP_001948143.1	XP_393127.4
OG0000235	XP_001952457.1, XP_016662192.1	XP_026294767.1, XP_026294798.1, XP_026294810.1
OG0000236	XP_016661843.1, XP_008185403.1	NP_001011639.2, NP_001071293.1
OG0000237	XP_008186243.2, XP_029346011.1	XP_006563032.1, XP_006559356.1, XP_006559358.1
OG0000241	NP_001155771.1	XP_006571827.3, XP_016770807.2, XP_016770806.2, XP_016770796.1, XP_016770795.1, XP_026299638.1
OG0000243	XP_003243924.1, XP_003243911.1, XP_008182174.1, XP_001945201.1, XP_016659189.1, XP_016659190.1, XP_016659178.1, XP_016659180.1, XP_016659183.1, XP_016659184.1, XP_029344253.1, XP_029344252.1, XP_003243915.1, XP_016659186.1, XP_003243923.1, XP_003243922.1, XP_029344251.1, XP_029344249.1, XP_029344248.1, XP_001945635.2, XP_003248350.1, XP_016659168.2, XP_029344254.1	XP_026297086.1
OG0000244	XP_001946605.1, XP_029345366.1, XP_016662168.1, XP_016662169.1, XP_016662010.1, XP_029346982.1	XP_026300900.1
OG0000245	XP_001951137.1, XP_016663800.1, XP_016663799.1, XP_001949307.1	NP_001011627.1
OG0000246	XP_001950555.2	XP_394115.2
OG0000246	XP_001950143.1	XP_006563197.1
OG0000247	XP_029344228.1, XP_029345461.1, XP_008184353.2	XP_026296516.1, XP_026296517.1, XP_006562263.2
OG0000248	XP_029347273.1, XP_016663076.2, XP_029347065.1, XP_029346989.1	XP_026299493.1
OG0000249	XP_016665112.1	XP_026298733.1
OG0000251	XP_029341406.1, XP_029348692.1, XP_016663273.1, NP_001153590.1, NP_001153589.1	XP_003250675.2, XP_003250969.2
OG0000252	XP_016662203.1, XP_008179464.1, NP_001233107.1, XP_008179467.1, NP_001156268.1, XP_001950355.2	XP_026298583.1, XP_026298580.1, XP_026298584.1
OG0000253	NP_001280380.1	XP_393612.2
OG0000254	XP_029344545.1, XP_016656660.1	XP_392477.4
OG0000254	XP_001944239.2, XP_003240062.1, XP_008180377.1	XP_623652.2
OG0000255	XP_003246526.1, XP_001947928.2, XP_003242730.1	XP_394814.1
OG0000256	XP_001951894.2, XP_029341156.1	XP_006571385.1
OG0000257	XP_003246666.1	XP_026300984.1
OG0000257	XP_003248173.1	XP_026300982.1
OG0000260	XP_001950434.1	XP_016770898.2
OG0000261	NP_001155383.1	XP_393396.2
OG0000263	NP_001155556.1, XP_008180933.1	XP_006570503.1, XP_393761.1
OG0000264	NP_001156153.1	XP_026298264.1, XP_026298263.1
OG0000264	NP_001156243.1	NP_001171498.1
OG0000266	XP_003240676.1, XP_001948034.1	NP_001171495.1
OG0000266	XP_008186329.1, NP_001280475.1	XP_003249289.2
OG0000268	XP_008182102.1, XP_029347932.1, XP_008189738.2, XP_029347683.1, XP_001942733.2, XP_029347931.1	XP_006562783.1, XP_016767403.1, XP_026295852.1, XP_026295853.1, XP_016767402.1, XP_016767400.1, XP_016767401.1, XP_016767399.1
OG0000269	XP_001943745.1	XP_001120910.2
OG0000270	XP_029345241.1, XP_001948521.2	XP_003249152.1
OG0000270	XP_029346495.1, XP_001944827.2	XP_006558130.1
OG0000271	XP_008186229.1	XP_026295760.1, NP_001091688.1, NP_001157480.1
OG0000272	XP_016665096.1, XP_016665095.1	NP_001073564.1, XP_026302163.1
OG0000272	XP_029346328.1, XP_016662315.1	XP_026300655.1, NP_001011621.1
OG0000273	XP_016664122.1	XP_016767148.1, XP_006560612.2
OG0000274	XP_029346856.1	XP_396815.3
OG0000275	XP_008179793.1, NP_001156725.1	XP_026298534.1, XP_026298730.1, XP_026298718.1, XP_003251850.1
OG0000276	XP_001946172.1	XP_624151.1
OG0000277	XP_001946581.1	XP_001122835.3, XP_006565811.2
OG0000278	XP_008186457.1, XP_029342789.1, XP_001947217.2	XP_026296923.1
OG0000279	XP_003249025.3, XP_001949725.2, XP_029343956.1	NP_001164579.1
