Orthogroup	Acyrthosiphon_pisum	Solenopsis_invicta
OG0000003	XP_008189500.1, XP_029342151.1, XP_008189441.1, XP_008182642.1, XP_016659987.1, XP_008182863.1	XP_011163878.2, XP_011162376.2, XP_011171732.2
OG0000003	XP_029343160.1, XP_008188102.2, XP_029347937.1, XP_008179862.1	XP_039304988.1, XP_039307927.1, XP_039315442.1
OG0000003	XP_008183716.1, XP_029345821.1, XP_008178234.1, XP_008181766.1	XP_025996234.2
OG0000003	XP_016661947.1	XP_039310361.1, XP_039306742.1, XP_039303957.1, XP_039308185.1, XP_039315381.1, XP_039315265.1, XP_039315287.1, XP_039313009.1, XP_039312427.1, XP_039306748.1
OG0000004	XP_008184892.1, XP_008189998.1, XP_016658202.2, XP_029348322.1, XP_029348356.1, XP_008186742.1, XP_008178409.1, XP_008189971.1, XP_029348597.1, XP_016661423.2, XP_008180700.1	XP_039308373.1
OG0000004	XP_016656673.1, XP_008178407.1, XP_029340984.1	XP_039315091.1
OG0000004	XP_008181189.1, XP_008178696.1, XP_008184865.1, XP_029348501.1, XP_008189957.1, XP_008187534.1, XP_029347760.1	XP_039303478.1, XP_039305759.1, XP_025989297.2
OG0000005	XP_016662685.1	XP_025990901.2
OG0000006	XP_016661819.1	XP_025989821.2, XP_039308764.1, XP_011163434.2, XP_039307826.1, XP_025989709.2, XP_039302413.1, XP_039302410.1, XP_025989687.2, XP_011164849.2, XP_011164848.3, XP_025994613.2, XP_039309023.1, XP_039308762.1, XP_025994617.2, XP_039309001.1, XP_011163479.2, XP_039309032.1, XP_039308749.1, XP_039309026.1, XP_039309013.1, XP_039309018.1, XP_039309027.1, XP_039309014.1, XP_039309007.1, XP_039309030.1, XP_039309029.1, XP_025994615.2, XP_039308995.1, XP_039309031.1, XP_039309020.1, XP_039308763.1, XP_039311113.1, XP_011171479.2, XP_039306260.1
OG0000007	XP_008180990.1, XP_016656682.1, XP_029348000.1, XP_008178602.1, XP_008189457.1, XP_008178603.1, XP_008183255.1, XP_008182423.1, XP_008178158.1, XP_008179800.1, XP_008182703.1, XP_029341371.1, XP_008185795.1, XP_029340983.1, XP_016657553.1, XP_029345916.1, XP_008179824.1, XP_008179707.1, XP_008181182.1, XP_001946487.2, XP_029341506.1, XP_008181718.1, XP_008186308.1, XP_008180535.1, XP_008185414.1	XP_039304377.1, XP_039310340.1, XP_039308911.1
OG0000007	XP_016665006.1, XP_029347711.1, XP_003244198.1, XP_008181053.1, XP_029341068.1, XP_016660482.1, XP_029348538.1, XP_029340998.1, XP_008179485.1, XP_008179463.1, XP_008180335.1, XP_029340906.1, XP_008184270.1, XP_029346063.1, XP_029340971.1, XP_029343684.1, XP_008180263.1, XP_008180483.1, XP_008181021.1, XP_008185984.1	XP_025990628.2, XP_039303538.1, XP_039310339.1, XP_025996264.2, XP_039304171.1
OG0000007	XP_029348192.1, XP_029341475.1, XP_016658575.2, XP_016656359.1, XP_016661946.1, NP_001156537.1, XP_029348434.1, XP_008184869.1, XP_008188538.2, XP_029347402.1, XP_029341174.1, XP_008178220.1, XP_001951832.2, XP_003244309.1	XP_039311885.1, XP_039311884.1, XP_039311883.1, XP_039310355.1, XP_039301901.1, XP_039314630.1, XP_039311747.1, XP_039311845.1, XP_039305718.1, XP_039308549.1, XP_011174600.3, XP_039306469.1, XP_039313182.1, XP_039304561.1, XP_039304533.1, XP_039311963.1, XP_039309385.1, XP_025989586.2, XP_039305688.1
OG0000007	XP_016656399.1, XP_016658578.1, XP_016658583.1, XP_008183630.3, XP_029348031.1	XP_025997174.2
OG0000008	XP_016663037.1	XP_011158384.1, XP_039305295.1, XP_039307163.1
OG0000008	XP_001942555.1, XP_008181935.1	XP_039314393.1, XP_039314392.1, XP_025990966.2
OG0000008	XP_001951039.1, XP_016661460.1, XP_008179022.1, XP_001946107.1	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1
OG0000008	XP_001945226.1	XP_039305326.1, XP_039305325.1, XP_039305297.1
OG0000008	XP_001948787.1, XP_008186873.1	XP_011158386.1, XP_039305296.1
OG0000008	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3	XP_039305528.1
OG0000010	XP_016657651.1	XP_011173267.1, XP_011169844.2, XP_011165897.1, XP_025997575.1, XP_011165199.1, XP_039315379.1, XP_039315378.1, XP_039315520.1, XP_011171567.1, XP_039313512.1, XP_039309910.1, XP_011173321.1, XP_011156630.1, XP_039313808.1, XP_039309913.1, XP_039312408.1, XP_039302116.1, XP_011157126.2, XP_011170473.1, XP_011166544.1, XP_039312409.1, XP_011163118.1, XP_011159070.2, XP_011173832.1, XP_011169352.1, XP_039303454.1, XP_039303415.1, XP_011169957.2, XP_011169498.1, XP_039309670.1, XP_025985789.1, XP_025996848.1, XP_011171529.1, XP_011165198.1, XP_039315521.1, XP_011173322.1, XP_039309946.1, XP_039303924.1
OG0000013	XP_008190047.2, XP_008190048.2, XP_003246588.2	XP_011165753.2
OG0000013	XP_008188188.1	XP_011158467.1, XP_011158466.1, XP_039315701.1
OG0000015	XP_008189353.1, XP_008184080.1, XP_008180285.1, XP_008190003.1, XP_008188971.1, XP_016657819.1, XP_008183148.1, XP_016660685.1, XP_008189219.1, XP_008189675.1, XP_029347731.1, XP_016663609.1, XP_029344008.1, XP_008187493.2, XP_008189577.1, XP_008178242.1, XP_008189575.1, XP_008180161.1	XP_039311973.1, XP_025997032.2, XP_039303427.1
OG0000016	XP_008179439.1, XP_008188179.1, XP_008189245.1	XP_025994129.1, XP_039306761.1, XP_039313966.1, XP_039309074.1, XP_039304382.1, XP_039314252.1, XP_039306750.1, XP_039304356.1, XP_039301762.1, XP_039309915.1, XP_039303543.1, XP_039303418.1, XP_039303421.1, XP_039309887.1, XP_039304375.1, XP_039308808.1, XP_025991342.1, XP_039308631.1
OG0000016	XP_003240638.2, XP_003246464.1, XP_016664689.1, XP_016664680.1, XP_008189553.1, XP_008188936.1, XP_008178850.1, XP_008186806.1, XP_008186808.1, XP_008186807.1, XP_008188747.1, XP_008182334.1, XP_008180312.1, XP_008185771.1, XP_016663778.1, XP_008184227.1	XP_039313514.1, XP_025997160.1, XP_039303210.1, XP_025996227.1, XP_039315353.1
OG0000017	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1	XP_039311373.1, XP_025996377.1
OG0000018	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2	XP_025993846.1, XP_039312756.1, XP_011164408.2, XP_039302267.1, XP_025988897.1, XP_025988898.1, XP_011164281.1, XP_025988901.1, XP_011168181.2, XP_011168177.2, XP_039312480.1, XP_039312479.1
OG0000019	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1	XP_025990211.2
OG0000019	XP_001952539.2	XP_025995191.1, XP_039305114.1, XP_039305111.1, XP_039305113.1, XP_039305526.1, XP_025995621.1, XP_011155911.3, XP_039305205.1, XP_039305125.1, XP_011176163.1, XP_011158633.2
OG0000019	XP_001947401.1	XP_025993384.1, XP_025996194.1, XP_039304954.1, XP_011171050.2, XP_011171052.2, XP_039306693.1, XP_011163180.2, XP_039309449.1, XP_025993961.1, XP_025987780.2, XP_025987781.2, XP_025987782.2, XP_039314384.1, XP_039314385.1
OG0000020	XP_003244194.1	XP_025986429.1
OG0000020	XP_029343120.1	XP_011159576.2
OG0000020	XP_008182108.1	XP_025986409.1
OG0000020	XP_029344335.1, XP_016664934.1	XP_025987337.1
OG0000020	XP_029347131.1	XP_025991589.1
OG0000020	XP_029343394.1	XP_011157847.1
OG0000021	XP_001945018.2	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1
OG0000021	XP_001944401.2	XP_011162935.1
OG0000021	XP_016663029.1, XP_003240228.1, XP_029342725.1	XP_011159438.1
OG0000021	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1	XP_025991392.1
OG0000022	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2	XP_011165726.1, XP_011163652.1, XP_011166335.1, XP_011163198.1
OG0000023	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1	XP_011163199.1, XP_011166349.1, XP_011156269.1
OG0000024	XP_001949358.2	XP_025992331.1, XP_011168449.1, XP_011168448.1
OG0000024	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1	XP_025991932.1, XP_025991934.1
OG0000026	XP_029342349.1, XP_029342350.1	XP_039304799.1
OG0000026	XP_029343074.1	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1
OG0000027	NP_001156692.1	XP_011156268.1
OG0000028	XP_008189663.1, XP_008189981.1, XP_008183271.1, XP_029342081.1, XP_008180486.1	XP_039307886.1, XP_025993453.2, XP_025997479.2, XP_011171716.1
OG0000028	XP_008186969.1	XP_011170007.1
OG0000028	XP_008178160.1, XP_008184707.1, XP_008188330.1	XP_011176359.1, XP_039302918.1
OG0000028	XP_029341381.1	XP_011171790.2, XP_011166516.2, XP_025992254.2, XP_025990428.2
OG0000029	XP_016663309.2, XP_001952418.1	XP_011175216.3, XP_011175277.3
OG0000029	NP_001165726.1, XP_001947860.1	XP_025994361.1
OG0000030	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2	XP_011165417.3, XP_039308147.1, XP_039313768.1
OG0000031	XP_008185496.1, XP_008188161.1, XP_008189772.2, XP_008190121.1, XP_029342251.1	XP_025994108.1
OG0000032	XP_029347116.1, XP_001949029.2, XP_016662740.1	XP_039305331.1, XP_011173570.2
OG0000032	XP_003243898.1	XP_025991246.2
OG0000033	XP_008187161.1, XP_029345803.1	XP_025986730.2, XP_039303561.1
OG0000033	XP_008189831.1, XP_016657071.1, XP_008189987.1, XP_008179529.1	XP_039303408.1
OG0000033	XP_008178807.1, XP_003241930.1, XP_008180283.1, XP_016659883.2, XP_008190219.1	XP_011156674.1
OG0000033	XP_003247929.1, XP_008182930.1, XP_029348015.1, XP_008188782.1, XP_003248584.1, XP_003241803.1, XP_016658747.1	XP_039308575.1, XP_025996780.1, XP_039303526.1
OG0000033	XP_008182397.1, XP_008188682.1, XP_008181233.1, XP_008184752.2, XP_008178492.1, XP_008178503.1, XP_029348526.1, XP_029348382.1, XP_029340965.1, XP_008178587.1, XP_008189600.1, XP_008182361.1, XP_029341075.1, XP_008181981.1	XP_039306059.1, XP_039310198.1, XP_039302132.1
OG0000033	XP_008179101.1, XP_016655826.1	XP_025996388.2
OG0000033	XP_029345598.1	XP_039311284.1, XP_039302324.1, XP_039305808.1, XP_039315262.1
OG0000033	XP_003245462.1	XP_039315453.1
OG0000035	XP_001951632.1, XP_016663720.1, XP_029345626.1, XP_003246783.1, XP_003246784.1, XP_001948117.1	XP_039312187.1
OG0000037	XP_008187877.2, NP_001155504.1, XP_003241041.1, XP_003243107.1, NP_001165431.1, NP_001155507.1, XP_029343963.1, XP_003247374.1, XP_008190010.1, NP_001165734.1	XP_011161783.1
OG0000038	XP_001948685.1	XP_011166173.1, XP_011172049.1
OG0000039	XP_016661651.1	XP_011156429.1, XP_039311353.1, XP_039306735.1, XP_039312872.1, XP_025996405.1, XP_039303491.1, XP_039306765.1, XP_025995650.1, XP_039315519.1, XP_025996976.1, XP_011161413.1, XP_039307954.1, XP_011164139.3, XP_039315258.1, XP_039309669.1, XP_011171625.1, XP_039306397.1, XP_039304359.1, XP_011170179.1, XP_039301770.1, XP_039311331.1, XP_039303495.1, XP_039303407.1, XP_039303449.1, XP_039312874.1, XP_039315492.1, XP_039312525.1, XP_039311327.1, XP_039305149.1, XP_025994381.1, XP_011162982.1, XP_039315449.1, XP_039309120.1, XP_039310752.1, XP_039304385.1, XP_011169959.1, XP_039301724.1, XP_039303416.1
OG0000039	XP_029341489.1	XP_025985703.1
OG0000041	XP_008186344.1	XP_011173741.1
OG0000041	NP_001136108.1, XP_001948457.2	XP_039304943.1, XP_039304942.1, XP_011173639.1, XP_011173634.1, XP_011173641.1
OG0000041	XP_001948128.1	XP_011167847.1
OG0000042	XP_016662708.1, XP_008186444.1	XP_025993436.2, XP_025988401.1, XP_025988400.1
OG0000042	NP_001191885.1, XP_008184085.1, NP_001191886.1, XP_001944248.1, NP_001119674.1, XP_008179499.1, XP_001943917.1	XP_025993549.1, XP_011172554.1
OG0000043	NP_001128404.1, XP_029342103.1, NP_001119651.1	XP_011166108.1
OG0000044	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2	XP_039306340.1, XP_025986513.2, XP_025986454.1
OG0000045	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2	XP_011157503.2, XP_011156768.2, XP_025992324.2
OG0000045	XP_029347511.1, XP_003248124.2, XP_016656776.1, XP_008179193.1, XP_029346942.1, XP_003246887.1, XP_029346941.1, XP_016656775.1, XP_016659005.1, XP_001949423.2, XP_001949604.2, XP_008186205.1	XP_039312826.1
OG0000046	XP_008184380.1, NP_001156420.1	XP_011168512.1
OG0000046	XP_001951207.1, XP_003244048.1	XP_011168531.1, XP_039310878.1, XP_039310880.1, XP_039310879.1
OG0000047	XP_008188471.1, XP_008182780.1, XP_008182496.1, XP_008180759.1, XP_016661993.1, XP_029348003.1, XP_029342264.1, XP_029341344.1, XP_008178222.1, XP_008178291.1, XP_029341022.1, XP_008178525.1, XP_008189339.1, XP_008185268.1, XP_008178820.1, XP_016660548.2, XP_003245376.1, XP_003241214.1, XP_008188668.1, XP_008181747.1, XP_008178517.2, XP_003244703.1, XP_008189952.1, XP_008185493.1, XP_029347997.1, XP_016663902.1, XP_016656212.1, NP_001233059.1, NP_001191896.1, XP_029348349.1, XP_008180703.1, XP_008183156.1, XP_001944531.1, XP_008190228.1, XP_029348058.1, XP_001951909.1, XP_008181765.1, XP_008189984.1, XP_029345735.1, XP_008187181.1, XP_016659199.2, XP_008182981.1, XP_008184725.1, XP_008189733.1, XP_008178797.1	XP_039311272.1, XP_039307231.1, XP_039307232.1, XP_025997124.1, XP_039305177.1, XP_039308536.1, XP_039308537.1, XP_039302440.1
OG0000048	XP_016662412.1	XP_011160449.2, XP_039303831.1
OG0000049	XP_029348220.1, XP_008179823.1, XP_008178595.1, XP_029348309.1, XP_008181856.2, XP_029340935.1, XP_029343051.1, XP_008188430.1, XP_029348118.1, XP_029348189.1, XP_003243221.1, XP_003241955.1, XP_008183571.1, XP_003240833.3, XP_029341607.1	XP_011166542.2, XP_039303155.1, XP_039302674.1, XP_039303372.1, XP_039304370.1, XP_025997858.2, XP_039315445.1, XP_025997875.2, XP_039315238.1, XP_025992395.2, XP_039310999.1, XP_039308535.1, XP_039308574.1, XP_039312526.1, XP_039312758.1, XP_039307673.1, XP_039302736.1, XP_039302387.1, XP_039307694.1, XP_039306461.1, XP_039301800.1, XP_025992494.2
OG0000050	XP_008186168.1, XP_029344195.1	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1
OG0000051	XP_016659868.1	XP_039309660.1
OG0000051	XP_008188002.1, XP_008182941.1, XP_008179042.1, XP_008178225.1	XP_011172686.3
OG0000051	XP_008181670.1	XP_039312743.1, XP_011170442.1
OG0000052	XP_008180304.1, XP_008180303.1	XP_039313337.1
OG0000052	XP_001949739.1, XP_001947560.2, XP_029343576.1, XP_001952551.3	XP_011160846.1
OG0000052	XP_003243917.1, XP_001950194.2	XP_025995966.1
OG0000053	XP_003245517.1	XP_039309233.1
OG0000053	XP_016664280.1, XP_008185348.1, XP_008178180.1, XP_008182358.1, XP_029340918.1, XP_029347910.1, XP_029341493.1, XP_016656685.1, XP_016655893.1, XP_008189430.1, XP_029342375.1, XP_029347954.1, XP_008178600.1	XP_011171617.3, XP_039301894.1, XP_039302875.1, XP_039303382.1, XP_039312442.1, XP_039303380.1, XP_011174627.3
OG0000053	XP_008178744.1, XP_008181635.1, XP_008188016.1, XP_008178393.1, XP_008178411.1	XP_025991729.2, XP_039314261.1, XP_039315547.1
OG0000053	XP_008178754.1, XP_008188582.3	XP_011174362.2, XP_039303365.1, XP_011162891.2
OG0000054	NP_001162107.1, XP_003243273.1, NP_001233051.1	XP_011164393.2, XP_011164215.1, XP_011164214.2
OG0000055	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1	XP_039311167.1
OG0000055	XP_029348415.1	XP_011169776.2
OG0000055	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1	XP_011162045.1
OG0000056	XP_029341785.1, XP_016658856.2	XP_039301684.1, XP_025992809.2
OG0000056	XP_029347390.1, XP_029340985.1	XP_011167471.3
OG0000056	XP_029341336.1	XP_039313454.1, XP_039306715.1
OG0000057	NP_001177327.1	XP_011165693.1
OG0000057	XP_008190203.1	XP_011165692.1
OG0000059	XP_008178159.1, XP_029346651.1	XP_025993817.1, XP_039302107.1, XP_039302911.1, XP_025995022.2
OG0000059	XP_016664883.1	XP_039304379.1, XP_011171889.2
OG0000060	XP_029341750.1	XP_011166599.1, XP_039312995.1, XP_039313020.1
OG0000060	XP_016660546.1	XP_011166588.1, XP_039313855.1, XP_039313856.1
OG0000061	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1	XP_039302873.1, XP_039310102.1
OG0000061	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2	XP_039311104.1
OG0000062	XP_001951309.3	XP_025989351.2
OG0000063	XP_016664961.2, XP_029340921.1, XP_016660863.1, XP_016658201.1, XP_016657235.1, XP_016657234.1	XP_025994603.1, XP_039315362.1, XP_025997464.2, XP_039310407.1, XP_039310558.1, XP_039310562.1, XP_039314694.1, XP_039304383.1, XP_011171114.2, XP_039303555.1, XP_025989898.1, XP_011171877.1, XP_039306356.1, XP_039309572.1, XP_039315364.1, XP_039304184.1
OG0000065	XP_001943808.2	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1
OG0000065	XP_001950981.1	XP_039308740.1, XP_011176028.1, XP_011176027.2, XP_039307834.1, XP_039307956.1, XP_011165754.1, XP_039313781.1, XP_039313721.1, XP_039307833.1, XP_039313722.1, XP_011164020.1, XP_039307832.1, XP_039307645.1, XP_039308148.1, XP_025994478.1
OG0000066	XP_008178755.1, XP_029348396.1, XP_029347905.1, XP_008187418.1, XP_029347848.1, XP_008178341.1, XP_008189191.1, XP_029347833.1, XP_029347832.1, XP_008180329.2, XP_008180328.1, XP_008186719.1, XP_008186645.1, XP_008178451.1, XP_008184821.1, XP_008189985.1, XP_008181030.1, XP_008181032.1, XP_008178816.1, XP_008181153.1	XP_039309173.1
OG0000066	XP_016656220.2	XP_039306035.1, XP_039312738.1, XP_039302943.1
OG0000066	XP_008179054.1, XP_008189844.1, XP_029341034.1	XP_011173934.3, XP_025996408.2
OG0000066	XP_029348339.1, XP_029341294.1	XP_039303305.1
OG0000066	XP_008180143.1, XP_016660748.1, XP_008181152.1	XP_025996127.1
OG0000067	XP_001948642.2	XP_011168949.1
OG0000067	XP_029347451.1, XP_001948493.1	XP_011157858.1, XP_025991420.1
OG0000067	XP_008185788.1	XP_025989655.1
OG0000068	XP_029348292.1, XP_003240991.1, XP_008178262.2, XP_001950353.1, XP_029340937.1, XP_008179536.1	XP_039307749.1, XP_025991341.2, XP_039305707.1, XP_025997530.1, XP_039310468.1, XP_025995817.1, XP_039303333.1
OG0000068	XP_008189589.1, XP_008189701.1, XP_008182319.1, XP_029347920.1	XP_039311052.1, XP_011170894.1
OG0000068	XP_008178491.1, XP_029341860.1, XP_008178156.1, XP_029345390.1, XP_008187441.1, XP_016659110.1, XP_008179271.1, XP_008182278.1	XP_025993298.2, XP_039312003.1, XP_039302002.1, XP_039301996.1, XP_039309209.1, XP_039310968.1, XP_039315494.1, XP_039308060.1, XP_025992133.2, XP_039306295.1, XP_039307933.1
OG0000068	XP_029347775.1, XP_008182019.1	XP_025996623.2
OG0000069	XP_029344273.1	XP_039305623.1, XP_025987486.1, XP_011163891.1, XP_039303799.1, XP_039303801.1, XP_025989421.2, XP_039303891.1, XP_011171057.2, XP_039309137.1, XP_039309138.1, XP_039308972.1, XP_039308973.1, XP_039308974.1, XP_039309139.1, XP_039308971.1, XP_039308970.1, XP_039308969.1, XP_039309140.1, XP_011168216.3
OG0000071	XP_008180862.1, XP_008189544.1, XP_008187138.1, XP_008180487.1	XP_025993345.1
OG0000071	XP_008188284.1	XP_039313972.1
OG0000071	XP_008189827.1, XP_008189976.1	XP_011158213.2, XP_025987080.2
OG0000071	XP_016655856.1	XP_039312667.1, XP_025987085.2
OG0000071	XP_008178182.1	XP_039303086.1
OG0000071	XP_029340979.1, XP_029348230.1	XP_039304072.1, XP_039304071.1, XP_039304070.1
OG0000071	XP_016659867.1, XP_029347918.1	XP_039305744.1
OG0000071	XP_008189487.1	XP_039312519.1
OG0000071	XP_029348217.1	XP_011169850.3
OG0000071	XP_029347179.1, XP_003241471.1, XP_008181650.1, XP_016659302.1, XP_008182426.1, XP_008188257.1	XP_039311299.1, XP_025996694.1, XP_039304400.1, XP_011161191.1
OG0000072	XP_016661629.1, XP_008185485.1, XP_008185666.1, XP_008181048.1, XP_008189623.1	XP_039313968.1
OG0000072	XP_029346399.1	XP_011174276.1, XP_039303571.1
OG0000072	XP_003246904.1, XP_008187176.1, XP_008181699.1, XP_008186497.1, XP_008189644.1, XP_008185349.1, XP_029344847.1	XP_039315631.1, XP_039308736.1, XP_039310326.1, XP_025996423.2, XP_039307110.1, XP_039310078.1
OG0000074	XP_016661872.1	XP_011157636.1, XP_025987236.2, XP_025987238.1, XP_039314707.1
OG0000074	XP_029344853.1, XP_029345069.1, XP_016655841.1, XP_016655840.1, XP_029345083.1, XP_029345084.1, XP_029342157.1, XP_029345068.1, XP_008189736.3, XP_003248965.2, XP_003248702.1, XP_029342723.1, XP_029345751.1, XP_003244613.1, XP_008185438.1, XP_003240403.1, XP_029344854.1, XP_016661523.1, XP_029345888.1, XP_029348279.1, XP_029345085.1, XP_008185021.1, XP_029341723.1, XP_029341728.1, XP_029341729.1, XP_029344850.1, XP_001946490.2, XP_016661868.1, XP_029342388.1, XP_003246142.3, XP_016661519.1, XP_008181131.2, XP_029346353.1, XP_029346354.1, XP_029341136.1, XP_016661865.2, XP_029345078.1, XP_016663995.1, XP_008181949.2, XP_016658567.1, XP_016658569.1, XP_029345073.1, XP_029345045.1, XP_029345061.1, XP_029345058.1, XP_029342395.1, XP_029342396.1, XP_029342397.1, XP_008188177.1, XP_016664028.1, XP_016664027.1, XP_001942568.2, XP_016659718.1, XP_029343824.1	XP_025985929.1
OG0000075	XP_016662368.1	XP_039315525.1, XP_039302537.1, XP_039309549.1, XP_039302019.1, XP_025993999.1, XP_025991875.2, XP_039303461.1, XP_011165249.1
