Orthogroup	Acyrthosiphon_pisum	Dufourea_novaeangliae
OG0000020	XP_003244194.1	XP_015431107.1
OG0000020	XP_029345653.1	XP_015433825.1
OG0000020	XP_008182108.1	XP_015439463.1
OG0000020	XP_029344335.1, XP_016664934.1	XP_015431804.1
OG0000020	NP_001280338.1	XP_015435292.1
OG0000020	XP_029347131.1	XP_015440423.1, XP_015433955.1
OG0000020	XP_001947843.1	XP_015431800.1
OG0000020	XP_029343394.1	XP_015437420.1
OG0000021	XP_001945018.2	XP_015436481.1
OG0000021	XP_016663029.1, XP_003240228.1, XP_029342725.1	XP_015436556.1
OG0000021	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1	XP_015430481.1, XP_015428676.1, XP_015436479.1
OG0000022	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2	XP_015436673.1, XP_015430686.1, XP_015435342.1, XP_015438104.1, XP_015435346.1
OG0000023	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1	XP_015438105.1, XP_015435373.1, XP_015435410.1, XP_015437943.1, XP_015435402.1
OG0000024	XP_001949358.2	XP_015433449.1, XP_015433466.1, XP_015433467.1, XP_015433468.1, XP_015432613.1, XP_015436496.1
OG0000024	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1	XP_015435623.1, XP_015435622.1
OG0000026	XP_029342349.1, XP_029342350.1	XP_015439534.1
OG0000026	XP_029343074.1	XP_015434403.1
OG0000026	XP_029345451.1	XP_015436711.1
OG0000026	XP_029342802.1	XP_015437222.1
OG0000026	XP_029342414.1	XP_015440357.1, XP_015440372.1
OG0000027	XP_001950227.1, NP_001156692.1	XP_015435411.1
OG0000027	XP_008190046.1	XP_015440405.1, XP_015438103.1
OG0000028	XP_008189663.1, XP_008189981.1, XP_008183271.1, XP_029342081.1, XP_008180486.1	XP_015437076.1
OG0000028	XP_008186969.1, XP_008178160.1, XP_008184707.1, XP_008188330.1, XP_008183752.1, XP_029341390.1, XP_008185507.1, XP_008186170.1, XP_029341381.1, XP_008185551.1, XP_029347940.1, XP_029347869.1, XP_008185413.1, XP_008180393.1, XP_008180395.1, XP_008184226.1, XP_008185676.1, XP_008182613.1, XP_008178496.1, XP_008189619.1, XP_029348411.1, XP_016659690.1, XP_016657916.1, XP_008189693.1, XP_029348305.1	XP_015437070.1, XP_015437828.1
OG0000028	XP_008179516.1, XP_008182365.1	XP_015430609.1
OG0000029	XP_016663309.2, XP_001952418.1	XP_015428687.1, XP_015428726.1
OG0000029	NP_001165726.1, XP_001947860.1	XP_015428686.1
OG0000030	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2	XP_015434622.1
OG0000031	XP_029345261.1, XP_008181228.1, XP_008180311.1, XP_008180310.1, XP_008184183.1, XP_008179676.1, XP_029347837.1	XP_015438722.1
OG0000032	XP_003246235.1, XP_001947862.2, XP_001948097.2, XP_003246236.1	XP_015431638.1
OG0000033	XP_008179101.1	XP_015429327.1
OG0000033	XP_008182854.1, XP_029348025.1, XP_008178823.1, XP_008185411.1, XP_008186193.1, XP_016656274.2, XP_008182823.1, XP_008189784.1, XP_008180205.1, XP_029340974.1, XP_008182739.1	XP_015437429.1
OG0000033	XP_029345598.1, XP_003242294.2, XP_029348353.1, XP_008190000.1	XP_015437849.1, XP_015434582.1, XP_015434937.1
OG0000033	XP_003245462.1	XP_015430869.1
OG0000035	XP_001951632.1, XP_016663720.1, XP_029345626.1, XP_003246783.1, XP_003246784.1, XP_001948117.1	XP_015436890.1, XP_015436892.1
OG0000035	XP_001945842.2, XP_029345799.1, XP_029343210.1, XP_008186378.1, XP_029343209.1, XP_001943715.1, XP_001949845.2, XP_001949897.2, XP_029343092.1, XP_001952770.1	XP_015436992.1
OG0000038	XP_001948685.1	XP_015436794.1, XP_015438692.1
OG0000038	XP_003245830.1	XP_015439422.1
OG0000039	XP_016661651.1	XP_015430124.1
OG0000039	XP_008180148.1, XP_008181917.1, XP_029348202.1, XP_008180129.1, XP_016664939.1, XP_008183853.1, XP_008183589.1, XP_016656248.1, XP_008181108.1	XP_015435713.1
OG0000041	XP_008186344.1	XP_015433852.1
OG0000041	NP_001136108.1, XP_001948457.2	XP_015434640.1, XP_015438128.1, XP_015434651.1, XP_015434661.1
OG0000042	XP_016662708.1, XP_008186444.1	XP_015431768.1
OG0000042	NP_001191885.1, XP_008184085.1, NP_001191886.1, XP_001944248.1, NP_001119674.1, XP_008179499.1, XP_001943917.1	XP_015431650.1, XP_015431773.1, XP_015431779.1, XP_015431770.1
OG0000043	NP_001128404.1, XP_029342103.1, NP_001119651.1	XP_015429520.1
OG0000045	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2	XP_015432638.1, XP_015429239.1, XP_015432639.1
OG0000045	XP_029347511.1, XP_003248124.2, XP_016656776.1, XP_008179193.1, XP_029346942.1, XP_003246887.1, XP_029346941.1, XP_016656775.1, XP_016659005.1, XP_001949423.2, XP_001949604.2, XP_008186205.1	XP_015439683.1
OG0000046	XP_008184380.1, NP_001156420.1	XP_015433680.1
OG0000046	XP_001951207.1, XP_003244048.1	XP_015435615.1, XP_015435626.1
OG0000048	XP_003246561.1, XP_029345889.1, XP_016662409.1, XP_029345122.1, XP_029345890.1, XP_029345124.1, XP_008186079.1, XP_029345127.1, XP_029345125.1	XP_015436085.1, XP_015436086.1
OG0000048	XP_016662412.1	XP_015436088.1, XP_015436083.1, XP_015436084.1, XP_015436095.1
OG0000049	XP_029348220.1, XP_008179823.1, XP_008178595.1, XP_029348309.1, XP_008181856.2, XP_029340935.1, XP_029343051.1, XP_008188430.1, XP_029348118.1, XP_029348189.1, XP_003243221.1, XP_003241955.1, XP_008183571.1, XP_003240833.3, XP_029341607.1	XP_015434938.1
OG0000050	XP_008186168.1, XP_029344195.1	XP_015435553.1, XP_015434531.1, XP_015434396.1
OG0000051	XP_008188002.1	XP_015431640.1
OG0000051	XP_008182941.1, XP_008179042.1, XP_008178225.1	XP_015430244.1, XP_015435721.1, XP_015437619.1, XP_015437082.1, XP_015431669.1, XP_015433563.1, XP_015436701.1, XP_015437898.1, XP_015440415.1, XP_015436740.1
OG0000051	XP_008181670.1	XP_015435191.1, XP_015440313.1
OG0000051	XP_003242095.3, XP_008183154.1, XP_008178444.1, XP_029347265.1, XP_008180095.2, XP_029348059.1, XP_003245080.2, XP_008189682.1, XP_008180887.1, XP_008188509.2, XP_008178740.1, XP_008182688.2, XP_029340978.1	XP_015428833.1
OG0000052	XP_008180304.1, XP_008180303.1	XP_015430581.1, XP_015437086.1
OG0000052	XP_003243917.1, XP_001950194.2	XP_015437305.1
OG0000053	XP_008178744.1, XP_008181635.1, XP_008188016.1, XP_008178393.1, XP_008178411.1	XP_015437620.1, XP_015429491.1, XP_015429307.1, XP_015429448.1
OG0000053	XP_008178754.1, XP_008188582.3	XP_015429676.1, XP_015435718.1, XP_015430868.1
OG0000054	NP_001162107.1, XP_003243273.1, NP_001233051.1	XP_015438760.1, XP_015438771.1, XP_015438765.1
OG0000055	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1	XP_015437264.1
OG0000055	XP_029348415.1	XP_015431672.1
OG0000055	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1	XP_015428835.1
OG0000056	XP_029341785.1, XP_016658856.2	XP_015437145.1, XP_015440426.1
OG0000056	XP_029347390.1, XP_029340985.1	XP_015428673.1
OG0000056	XP_029341336.1	XP_015437336.1, XP_015433237.1, XP_015433238.1
OG0000056	XP_029345472.1, XP_029341337.1	XP_015437708.1
OG0000057	NP_001177327.1	XP_015430802.1
OG0000057	XP_001951158.2	XP_015430803.1
OG0000057	XP_008190203.1	XP_015430702.1, XP_015430703.1
OG0000060	XP_029341750.1	XP_015438716.1
OG0000060	XP_016660546.1	XP_015432264.1, XP_015432266.1, XP_015432267.1
OG0000061	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1	XP_015432844.1
OG0000061	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2	XP_015431091.1, XP_015435594.1
OG0000062	XP_001951309.3	XP_015432477.1, XP_015431874.1, XP_015431820.1, XP_015431815.1, XP_015431817.1, XP_015431876.1
OG0000063	XP_029344845.1, XP_008182880.3, XP_029340943.1, XP_016657780.1, XP_008181901.1, XP_008190133.2, XP_029345920.1, XP_029344123.1, XP_008187560.1, XP_029348250.1	XP_015429493.1
OG0000063	XP_016656082.2	XP_015432528.1, XP_015436995.1
OG0000065	XP_001943808.2	XP_015431269.1
OG0000065	XP_001950981.1	XP_015431271.1, XP_015431347.1
OG0000066	XP_008180330.1, XP_008184253.1, XP_008178157.1, XP_008182364.1, XP_008182864.1, XP_029341012.1, XP_008179068.1, XP_016656442.1, XP_016656220.2, XP_008179054.1, XP_008189844.1, XP_029341034.1, XP_029348339.1, XP_029341294.1, XP_008180143.1, XP_016660748.1, XP_008181152.1	XP_015434666.1
OG0000067	XP_001948642.2	XP_015429287.1
OG0000067	XP_016658458.1	XP_015435565.1
OG0000067	XP_029347451.1, XP_001948493.1	XP_015435216.1
OG0000067	XP_008185788.1	XP_015439239.1
OG0000069	XP_029344273.1	XP_015435554.1, XP_015435557.1
OG0000071	XP_029347355.1, XP_029347353.1, XP_008180862.1, XP_008189544.1, XP_008187138.1, XP_008180487.1	XP_015438117.1, XP_015437901.1, XP_015434022.1, XP_015435159.1
OG0000072	XP_003246904.1, XP_008187176.1, XP_008181699.1, XP_008186497.1, XP_008189644.1, XP_008185349.1, XP_029344847.1	XP_015437903.1
OG0000074	XP_016661872.1	XP_015432069.1
OG0000074	XP_029344853.1, XP_029345069.1, XP_016655841.1, XP_016655840.1, XP_029345083.1, XP_029345084.1, XP_029342157.1, XP_029345068.1, XP_008189736.3, XP_003248965.2, XP_003248702.1, XP_029342723.1, XP_029345751.1, XP_003244613.1, XP_008185438.1, XP_003240403.1, XP_029344854.1, XP_016661523.1, XP_029345888.1, XP_029348279.1, XP_029345085.1, XP_008185021.1, XP_029341723.1, XP_029341728.1, XP_029341729.1, XP_029344850.1, XP_001946490.2, XP_016661868.1, XP_029342388.1, XP_003246142.3, XP_016661519.1, XP_008181131.2, XP_029346353.1, XP_029346354.1, XP_029341136.1, XP_016661865.2, XP_029345078.1, XP_016663995.1, XP_008181949.2, XP_016658567.1, XP_016658569.1, XP_029345073.1, XP_029345045.1, XP_029345061.1, XP_029345058.1, XP_029342395.1, XP_029342396.1, XP_029342397.1, XP_008188177.1, XP_016664028.1, XP_016664027.1, XP_001942568.2, XP_016659718.1, XP_029343824.1	XP_015438453.1
OG0000075	XP_016662368.1	XP_015436017.1, XP_015432649.1, XP_015438009.1, XP_015435720.1, XP_015437588.1, XP_015433579.1, XP_015436678.1
OG0000075	XP_029347877.1	XP_015439553.1
OG0000075	XP_008179957.1, XP_029342293.1	XP_015435171.1
OG0000077	XP_001945190.2	XP_015436389.1
OG0000077	XP_008187030.1	XP_015435143.1
OG0000079	XP_001952588.1	XP_015431758.1, XP_015431759.1, XP_015431761.1
OG0000079	XP_001949542.2	XP_015431764.1
OG0000080	XP_001952817.1, XP_003241505.1	XP_015432762.1
OG0000080	XP_003240094.1	XP_015432781.1
OG0000081	XP_016660637.1, XP_003245950.2	XP_015437926.1, XP_015437927.1
OG0000084	NP_001155431.1	XP_015429440.1, XP_015429441.1, XP_015429460.1
OG0000085	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1	XP_015439820.1, XP_015433752.1
OG0000086	NP_001155379.1, XP_016661052.1, XP_016662788.2, XP_001951510.1, NP_001155766.1, XP_008182375.2, XP_016663261.1	XP_015439351.1
OG0000086	XP_001950197.2	XP_015439307.1
OG0000087	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2	XP_015433138.1, XP_015433161.1, XP_015433219.1, XP_015433217.1, XP_015433218.1, XP_015433159.1
OG0000088	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1	XP_015430594.1
OG0000091	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2	XP_015428722.1, XP_015428720.1, XP_015428718.1
OG0000092	XP_001947820.1	XP_015433035.1, XP_015431194.1, XP_015431125.1, XP_015432408.1
OG0000093	XP_016662984.1, XP_008187890.1	XP_015434213.1, XP_015436654.1, XP_015434215.1, XP_015429653.1, XP_015439280.1, XP_015431878.1
OG0000094	XP_001948596.2	XP_015432992.1, XP_015432272.1, XP_015430372.1
OG0000097	XP_001948740.2, XP_008182369.1, XP_029347936.1	XP_015428851.1, XP_015428850.1, XP_015428848.1, XP_015439293.1, XP_015439294.1
OG0000098	NP_001153821.1, XP_008189785.1	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431416.1, XP_015431417.1
OG0000099	XP_001945365.2	XP_015434840.1
OG0000099	XP_001945213.1	XP_015437951.1
OG0000099	XP_001951744.1	XP_015439443.1
OG0000100	XP_001944985.1	XP_015432704.1, XP_015432705.1
OG0000101	XP_001950980.2, XP_001945570.2	XP_015429187.1
OG0000101	XP_001952301.1	XP_015437434.1, XP_015434419.1
OG0000102	XP_001946994.2	XP_015437466.1, XP_015437463.1
OG0000103	XP_003248994.1, XP_003243120.1	XP_015431354.1, XP_015431408.1
OG0000108	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2	XP_015431062.1
OG0000109	XP_001947883.2	XP_015429717.1
OG0000112	XP_001944328.2	XP_015437727.1, XP_015439824.1
OG0000113	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1	XP_015431174.1, XP_015436887.1, XP_015436888.1
OG0000115	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1	XP_015431679.1, XP_015431680.1, XP_015439194.1, XP_015431789.1, XP_015431678.1
OG0000117	XP_001947242.1	XP_015435315.1
OG0000117	XP_001945228.1	XP_015436200.1
OG0000119	XP_001950896.2, XP_001946809.2	XP_015436224.1, XP_015436228.1, XP_015436225.1
OG0000120	XP_008183102.1, XP_008183682.2, XP_001946812.2, XP_016660349.1	XP_015437451.1, XP_015437450.1, XP_015437448.1
OG0000122	XP_029345164.1	XP_015433447.1
OG0000122	XP_029345159.1, XP_001942872.1	XP_015431901.1, XP_015431893.1
OG0000123	XP_001944241.1	XP_015435654.1, XP_015435655.1
OG0000124	XP_001946145.1, XP_029344203.1, XP_016657907.1, XP_003240297.1	XP_015437181.1
OG0000125	XP_029343174.1, XP_029343175.1	XP_015440379.1, XP_015440359.1, XP_015440376.1, XP_015440360.1
OG0000126	XP_029344350.1	XP_015428496.1
OG0000127	XP_008184238.2, XP_008185467.1, XP_008185468.2, XP_001944157.3, XP_001947156.2	XP_015432901.1, XP_015432902.1, XP_015432903.1
OG0000128	XP_029345826.1, XP_029345827.1, XP_008188521.1, XP_016657782.1, XP_008189685.1, XP_008184134.1, XP_008178513.1, XP_029348364.1, XP_029343003.1, XP_029341219.1, XP_008185930.1, XP_029348270.1, XP_008182354.1, XP_029346138.1, XP_029341006.1, XP_029340934.1, XP_008180083.1, XP_008186851.1, XP_016661445.1, XP_029343301.1, XP_008189791.1, XP_008188404.1, XP_008185634.1, XP_008181540.1, XP_008187091.1, XP_008178668.1, XP_029343946.1, XP_008189392.1, XP_008184893.1, XP_008186326.1, XP_008188684.1, XP_008189767.1, XP_008181532.1, XP_029347900.1, XP_001943532.2, XP_008178799.1, XP_008187309.1	XP_015433463.1
OG0000129	XP_029342557.1, XP_003243980.1, XP_008182280.1	XP_015436027.1
OG0000130	XP_008188212.1	XP_015429425.1, XP_015429434.1
OG0000130	XP_029347188.1	XP_015429842.1
OG0000131	NP_001119635.1	XP_015436559.1
OG0000131	XP_001944342.1, NP_001280296.1	XP_015436693.1, XP_015436700.1, XP_015436679.1, XP_015436686.1
OG0000132	XP_001944867.2, XP_008188761.1	XP_015437606.1, XP_015431599.1
OG0000133	XP_001947717.2, XP_029346829.1	XP_015434318.1, XP_015429111.1
OG0000134	XP_016660817.1, XP_029344030.1, XP_008187410.1	XP_015429489.1
OG0000134	XP_016656058.1	XP_015433726.1
OG0000135	XP_008183617.1, XP_016660307.1, XP_008183620.1, XP_008183619.1, XP_016660306.1, XP_029348611.1	XP_015439063.1, XP_015435320.1, XP_015435321.1, XP_015431583.1
OG0000137	XP_029345533.1, XP_029345535.1, XP_029345534.1, XP_001949204.1, XP_008183005.1, XP_008183006.1, XP_001951358.1, XP_001943488.1	XP_015432001.1, XP_015433288.1
OG0000138	XP_029344015.1, XP_029344014.1, XP_029344016.1, XP_001948700.2	XP_015429248.1, XP_015429192.1
OG0000139	XP_001949990.1	XP_015435212.1
OG0000140	XP_001950680.1, XP_029341066.1, XP_003245538.1, XP_003244834.1	XP_015431670.1, XP_015439249.1, XP_015439128.1
OG0000141	XP_029343859.1	XP_015435225.1, XP_015431506.1, XP_015435164.1, XP_015435072.1
OG0000143	XP_008183821.1, XP_001945042.2	XP_015429124.1, XP_015429114.1
OG0000146	NP_001119627.1	XP_015432760.1, XP_015436388.1, XP_015435877.1
OG0000147	NP_001119678.1	XP_015435294.1, XP_015435295.1, XP_015439801.1
OG0000149	NP_001233210.1, XP_008189229.1	XP_015435823.1
OG0000149	XP_001945852.2	XP_015435834.1
OG0000150	XP_003241608.1, XP_001943456.1, XP_008178725.1, XP_008178726.1	XP_015432205.1
OG0000151	NP_001232992.1	XP_015429673.1, XP_015429674.1, XP_015429675.1
OG0000152	XP_001950609.1	XP_015433494.1
OG0000153	XP_001952790.2	XP_015439140.1
OG0000154	XP_029348690.1, XP_029346266.1, XP_016657976.1, XP_029348689.1	XP_015436141.1
OG0000156	XP_016659611.1	XP_015429868.1
OG0000160	XP_001951963.1	XP_015437280.1
OG0000160	XP_008184790.2, NP_001280442.1, XP_001944828.2, XP_001944881.1, XP_029342333.1, NP_001280272.1, NP_001233238.1, XP_008184532.1, XP_029342331.1, NP_001280469.1, XP_029341215.1	XP_015436859.1, XP_015436868.1
OG0000161	XP_001950765.1	XP_015432556.1
OG0000162	XP_029346510.1	XP_015435684.1
OG0000162	XP_016657938.1, XP_008180629.1	XP_015439554.1
OG0000164	XP_016661577.1	XP_015437865.1, XP_015437659.1, XP_015437774.1
OG0000165	XP_029343832.1	XP_015429586.1
OG0000165	XP_029343481.1	XP_015435493.1
OG0000166	XP_029347644.1, XP_029347638.1, XP_029347646.1	XP_015435053.1
OG0000168	XP_001951684.4, XP_003248836.2	XP_015435199.1
OG0000168	XP_001942542.1, XP_008186133.1	XP_015436891.1
OG0000169	XP_016663900.2, XP_001944382.3	XP_015437575.1, XP_015431017.1, XP_015431085.1
OG0000170	XP_008188310.1	XP_015439592.1
OG0000170	XP_029343183.1	XP_015439591.1, XP_015439594.1
OG0000171	XP_029345553.1	XP_015434404.1, XP_015434466.1
OG0000173	NP_001233019.1	XP_015434867.1, XP_015434866.1, XP_015434871.1, XP_015434870.1, XP_015434869.1, XP_015434868.1
OG0000174	XP_008185372.1, XP_008189584.3, XP_008183684.1, XP_001944323.1, XP_008186867.1, XP_029343098.1, XP_029343097.1	XP_015438965.1
OG0000175	XP_029344556.1, XP_001951192.1	XP_015437422.1, XP_015437423.1
OG0000177	XP_016657898.1, XP_008180564.2	XP_015435549.1
OG0000177	XP_001952775.1	XP_015435485.1, XP_015435546.1
OG0000179	XP_003240433.1	XP_015436506.1
OG0000179	NP_001155435.1, NP_001280333.1	XP_015434426.1
OG0000180	NP_001232980.1	XP_015430454.1, XP_015430456.1, XP_015430455.1, XP_015430457.1
OG0000181	XP_029343194.1, XP_001948653.1	XP_015440531.1
OG0000182	XP_003241873.1	XP_015436232.1
OG0000183	XP_016663191.1, XP_016662030.1	XP_015431052.1, XP_015435715.1
OG0000184	XP_029341516.1	XP_015432847.1
OG0000185	XP_029344304.1	XP_015434150.1, XP_015434133.1, XP_015434039.1
OG0000188	XP_029344969.1, XP_029345698.1	XP_015428433.1
OG0000188	XP_001944994.1	XP_015431689.1
OG0000189	XP_008180383.1	XP_015429531.1
OG0000189	XP_008180381.1	XP_015429543.1
OG0000189	XP_029345137.1, XP_008180387.1, XP_029345828.1	XP_015429076.1
OG0000190	XP_008187339.1	XP_015440287.1, XP_015440288.1, XP_015440289.1
OG0000191	XP_029346818.1, XP_016659446.1, XP_029346152.1, XP_029344343.1, XP_029342439.1	XP_015434794.1
OG0000192	XP_029345853.1	XP_015433091.1
OG0000196	XP_001943581.2	XP_015432167.1
OG0000196	XP_003248273.1, XP_008188605.1, XP_029347409.1, XP_029347413.1	XP_015437821.1
OG0000197	XP_001949247.2, XP_001943809.2	XP_015439072.1, XP_015439073.1, XP_015439149.1
OG0000200	XP_001949978.1	XP_015435653.1
OG0000200	XP_008182512.1	XP_015438807.1, XP_015438810.1
