Orthogroup	Acyrthosiphon_pisum	Bombus_terrestris
OG0000022	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2	XP_003396338.1, XP_003394856.1, XP_003392968.1
OG0000023	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1	XP_012175550.1, XP_003396974.1, XP_012165320.1
OG0000024	XP_001949358.2	XP_003402753.1, XP_012165904.1, XP_012165907.1, XP_012165906.1
OG0000024	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1	XP_003401519.1, XP_003401520.1
OG0000026	XP_029343074.1	XP_020719884.1, XP_003397076.1, XP_012166367.1, XP_012166366.1, XP_012166369.1, XP_012166368.1
OG0000026	XP_029342802.1	XP_020719195.1
OG0000026	XP_029342414.1	XP_003402888.1, XP_003402887.1, XP_012174757.1
OG0000027	NP_001156692.1	XP_003392964.1, XP_003392970.1
OG0000027	XP_001949096.2, XP_008189396.1, XP_008190046.1	XP_012166136.1
OG0000028	XP_008189663.1, XP_008189981.1, XP_008183271.1, XP_029342081.1	XP_012174214.1, XP_012167645.1
OG0000028	XP_008189619.1	XP_012171988.1
OG0000028	XP_029348411.1, XP_016659690.1, XP_016657916.1, XP_008189693.1, XP_029348305.1	XP_020723723.1
OG0000029	XP_016663309.2, XP_001952418.1	XP_003399185.1, XP_012169459.1
OG0000029	NP_001165726.1, XP_001947860.1	XP_020721313.1, XP_020721315.1
OG0000030	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2	XP_012170594.1, XP_003399944.1
OG0000032	XP_003246235.1, XP_001947862.2, XP_001948097.2, XP_003246236.1	XP_020723342.1
OG0000032	XP_029347116.1, XP_001949029.2, XP_016662740.1	XP_003396103.1
OG0000033	XP_008182854.1, XP_029348025.1, XP_008178823.1, XP_008185411.1, XP_008186193.1, XP_016656274.2, XP_008182823.1, XP_008189784.1, XP_008180205.1, XP_029340974.1, XP_008182739.1, XP_008181029.1, XP_029341451.1, XP_016661483.1, XP_003241729.1, XP_008178756.1, XP_016659109.1, XP_029345523.1, XP_029340907.1, XP_029348688.1, XP_016664841.1, XP_008180201.1, XP_016661474.1, XP_008182425.1, XP_008181197.1, XP_016659542.1, XP_008188170.1	XP_003400510.1, XP_012171365.1
OG0000035	XP_001951632.1, XP_016663720.1, XP_029345626.1, XP_003246783.1, XP_003246784.1, XP_001948117.1	XP_003394979.1
OG0000035	XP_001945842.2, XP_029345799.1, XP_029343210.1, XP_008186378.1, XP_029343209.1, XP_001943715.1, XP_001949845.2, XP_001949897.2, XP_029343092.1, XP_001952770.1	XP_020718418.1
OG0000037	XP_008187877.2, NP_001155504.1, XP_003241041.1, XP_003243107.1, NP_001165431.1, NP_001155507.1, XP_029343963.1, XP_003247374.1, XP_008190010.1, NP_001165734.1	XP_003403001.3
OG0000038	XP_001948685.1	XP_003396169.1, XP_003399700.1
OG0000038	XP_003245830.1	XP_003401157.1
OG0000039	XP_008184868.1, XP_016660286.1, XP_029342256.1, XP_008189670.1, XP_008188703.1, XP_029342277.1, XP_008184255.1	XP_012174864.1
OG0000039	XP_016661651.1	XP_012175480.1
OG0000039	XP_008180148.1, XP_008181917.1, XP_029348202.1, XP_008180129.1, XP_016664939.1, XP_008183853.1, XP_008183589.1, XP_016656248.1, XP_008181108.1	XP_012173748.1
OG0000041	NP_001119672.1	XP_003396989.1
OG0000041	XP_008186344.1	XP_003396990.1
OG0000041	NP_001136108.1, XP_001948457.2	XP_003394488.1, XP_003394490.1
OG0000041	XP_001948128.1	XP_003399722.1
OG0000042	XP_016662708.1, XP_008186444.1	NP_001272327.1, XP_012163186.1
OG0000042	NP_001191885.1, XP_008184085.1, NP_001191886.1, XP_001944248.1, NP_001119674.1, XP_008179499.1, XP_001943917.1	NP_001267818.1
OG0000043	NP_001128404.1, XP_029342103.1, NP_001119651.1	XP_003392868.1
OG0000044	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2	XP_020723893.1, XP_012175325.1
OG0000045	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2	XP_003395914.2, XP_003403314.1, XP_020719958.1, XP_003402225.2, XP_012164669.1
OG0000045	XP_029347511.1, XP_003248124.2, XP_016656776.1, XP_008179193.1, XP_029346942.1, XP_003246887.1, XP_029346941.1, XP_016656775.1, XP_016659005.1, XP_001949423.2, XP_001949604.2, XP_008186205.1	XP_020718668.1, XP_020718669.1, XP_020718666.1, XP_020718667.1, XP_020718665.1, XP_020718671.1, XP_020718670.1
OG0000046	XP_008184380.1, NP_001156420.1	XP_012176148.2
OG0000046	XP_001951207.1, XP_003244048.1	XP_003397462.1
OG0000048	XP_003246561.1, XP_029345889.1, XP_016662409.1, XP_029345122.1, XP_029345890.1, XP_029345124.1, XP_008186079.1, XP_029345127.1, XP_029345125.1	XP_020720389.1
OG0000048	XP_016662412.1	XP_020720387.1, XP_020720390.1, XP_012166851.1
OG0000050	XP_008186168.1, XP_029344195.1	XP_003398997.1, XP_003396910.2
OG0000052	XP_008180304.1, XP_008180303.1	XP_003397480.1, XP_003397483.1
OG0000053	XP_003245517.1	XP_012169560.1
OG0000053	XP_008178754.1, XP_008188582.3	XP_020721322.1, XP_012174238.1, XP_020718269.1, XP_012169490.1
OG0000054	NP_001162107.1, XP_003243273.1, NP_001233051.1	XP_012175318.1, XP_003402283.1, XP_003403304.1, XP_003403303.1
OG0000055	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1	XP_003401668.1, XP_020722884.1
OG0000055	XP_029348415.1	XP_020718283.1
OG0000055	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1	XP_012170213.1
OG0000056	XP_029341785.1, XP_016658856.2	XP_020723650.1, XP_020721195.1
OG0000056	XP_029347390.1, XP_029340985.1	XP_003399457.3
OG0000056	XP_029341336.1	XP_020723637.1, XP_020718834.1
OG0000056	XP_029345472.1, XP_029341337.1	XP_020720993.1
OG0000057	NP_001177327.1	XP_003395180.1
OG0000057	XP_008190203.1	XP_003395170.1
OG0000060	XP_016660546.1	XP_020721716.1
OG0000061	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1	XP_003392898.1
OG0000061	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2	XP_020723139.1, XP_020723140.1, XP_020723141.1, XP_020723142.1, XP_003401246.1, XP_003401245.1, XP_012172395.1, XP_020722644.1
OG0000062	XP_001951309.3	XP_012175695.2, XP_012169969.1, XP_012170000.1, XP_020722101.1
OG0000065	XP_001943808.2	XP_003398334.1
OG0000065	XP_001950981.1	XP_012168045.1, XP_012168044.1, XP_003403408.2, XP_003398335.1
OG0000067	XP_001948642.2	XP_003397328.1
OG0000067	XP_016658458.1	XP_012169196.1
OG0000067	XP_029347451.1, XP_001948493.1	XP_020722094.1
OG0000067	XP_008185788.1	XP_020722130.1
OG0000069	XP_029344273.1	XP_012169151.1, XP_020721324.1, XP_003399002.1, XP_012169153.1
OG0000074	XP_016661872.1	XP_012175299.1
OG0000074	XP_029344853.1, XP_029345069.1, XP_016655841.1, XP_016655840.1, XP_029345083.1, XP_029345084.1, XP_029342157.1, XP_029345068.1, XP_008189736.3, XP_003248965.2, XP_003248702.1, XP_029342723.1, XP_029345751.1, XP_003244613.1, XP_008185438.1, XP_003240403.1, XP_029344854.1, XP_016661523.1, XP_029345888.1, XP_029348279.1, XP_029345085.1, XP_008185021.1, XP_029341723.1, XP_029341728.1, XP_029341729.1, XP_029344850.1, XP_001946490.2, XP_016661868.1, XP_029342388.1, XP_003246142.3, XP_016661519.1, XP_008181131.2, XP_029346353.1, XP_029346354.1, XP_029341136.1, XP_016661865.2, XP_029345078.1, XP_016663995.1, XP_008181949.2, XP_016658567.1, XP_016658569.1, XP_029345073.1, XP_029345045.1, XP_029345061.1, XP_029345058.1, XP_029342395.1, XP_029342396.1, XP_029342397.1, XP_008188177.1, XP_016664028.1, XP_016664027.1, XP_001942568.2, XP_016659718.1, XP_029343824.1	XP_003396140.1
OG0000077	XP_001945190.2	NP_001267840.1
OG0000077	XP_008187030.1	XP_012166572.2
OG0000079	XP_001952588.1	XP_020718409.1, XP_020718415.1, XP_020718406.1, XP_020718407.1, XP_020718414.1, XP_020718413.1, XP_020718410.1, XP_020718412.1
OG0000080	XP_001952817.1, XP_003241505.1	XP_003399522.1
OG0000080	XP_003240094.1	XP_012169831.1
OG0000081	XP_016660637.1, XP_003245950.2	XP_003401176.1, XP_020722488.1, XP_003403423.2, XP_003403233.3, XP_020722596.1, XP_020722589.1, XP_003403422.1, XP_003403234.2, XP_020722487.1, XP_003401115.1, XP_003401178.1, XP_020722598.1, XP_020722486.1, XP_003401116.2, XP_020722597.1, XP_003403027.1
OG0000084	NP_001155431.1	XP_003393656.1, XP_003393657.1, XP_012172250.1
OG0000084	NP_001155786.1	XP_003400023.1
OG0000085	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1	XP_012164376.1, XP_003395843.1, XP_012164375.1, XP_012164374.1, XP_012176300.1, XP_012176301.1, XP_020724351.1, XP_003394432.1, XP_003394433.1
OG0000086	NP_001155379.1, XP_016661052.1, XP_016662788.2, XP_001951510.1, NP_001155766.1, XP_008182375.2, XP_016663261.1	XP_003401334.1
OG0000086	XP_001950197.2	XP_012172254.1
OG0000087	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2	XP_020722624.1, XP_012172367.1, XP_012172361.1, XP_012172362.1, XP_012172358.1, XP_012172360.1, XP_012172363.1, XP_012172366.1
OG0000088	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1	XP_003398593.1
OG0000091	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2	XP_020721177.1, XP_003402576.2, XP_020721343.1, XP_012169463.2
OG0000092	XP_001947820.1	XP_020718694.1, XP_020718989.1, XP_003395974.1, XP_020718993.1, XP_020718992.1, XP_003395973.1, XP_003400287.1, XP_012171069.1
OG0000093	XP_016662984.1, XP_008187890.1	XP_012168446.1, XP_012174221.1, XP_012175536.1
OG0000094	XP_001948596.2	XP_012164578.1, XP_012170607.1, XP_003399925.2
OG0000097	XP_001948740.2, XP_008182369.1, XP_029347936.1	XP_012170206.1, XP_003399689.1, XP_012173498.1, XP_020723033.1
OG0000098	NP_001153821.1, XP_008189785.1	XP_012168084.1, XP_012168083.1, XP_012168086.1, XP_012168085.1, XP_003398369.1
OG0000099	XP_001945365.2	XP_020722786.1
OG0000099	XP_001945213.1	XP_012172596.1
OG0000099	XP_001951744.1	XP_020722424.1
OG0000100	XP_001944985.1	XP_003399794.1, XP_020721436.1, XP_020721435.1, XP_012170386.1, XP_012170387.1, XP_012170385.1, XP_012170380.1, XP_012170379.1
OG0000101	XP_001950980.2, XP_001945570.2	XP_003397360.1
OG0000101	XP_001952301.1	XP_020719744.1
OG0000102	XP_001946994.2	XP_020722917.1, XP_003401872.1, XP_020722911.1, XP_012173289.1, XP_012173290.1, XP_012173277.1
OG0000103	XP_003248994.1, XP_003243120.1	XP_012168399.1, XP_012168403.1
OG0000107	XP_008187536.1	XP_012175533.1
OG0000108	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2	XP_012174803.1
OG0000109	XP_001947883.2	XP_003398706.1, XP_003398707.1
OG0000112	XP_001944328.2	XP_012168598.1, XP_020720998.1, XP_012168597.1, XP_012168596.1, XP_012168595.1, XP_012163934.1
OG0000113	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1	XP_020718272.1, XP_003394925.1
OG0000115	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1	XP_003395150.1, XP_003395075.1, XP_012163601.1
OG0000117	XP_001947242.1	XP_012176486.1
OG0000117	XP_001945228.1	XP_003398039.1
OG0000119	XP_001950896.2, XP_001946809.2	XP_020720337.1, XP_020720348.1, XP_020720338.1, XP_020720336.1, XP_020720341.1
OG0000120	XP_008183102.1, XP_008183682.2, XP_001946812.2, XP_016660349.1	XP_012176279.1, XP_003400542.1, XP_012171451.1, XP_012171452.1, XP_012171449.1, XP_012171450.1, XP_012171447.1, XP_012171454.1, XP_012171455.1
OG0000122	XP_029345164.1	XP_012165001.1
OG0000122	XP_029345159.1, XP_001942872.1	XP_003401982.1, XP_012173486.1
OG0000123	XP_001944241.1	XP_003397633.1, XP_012167209.1, XP_012167212.1, XP_012167211.1, XP_012167208.1, XP_012167210.1
OG0000124	XP_001946145.1, XP_029344203.1, XP_016657907.1, XP_003240297.1	XP_012164839.1
OG0000125	XP_029343174.1, XP_029343175.1	XP_003402889.2, XP_003402892.1, XP_003402547.3
OG0000126	XP_029344350.1	XP_012173626.1, XP_003402194.1, XP_020723219.1, XP_020723220.1, XP_020723218.1, XP_012173627.1
OG0000127	XP_008184238.2, XP_008185467.1, XP_008185468.2, XP_001944157.3, XP_001947156.2	XP_003393060.1, XP_003393061.1, XP_012163415.1, XP_012163409.1
OG0000127	XP_016661891.1	XP_003393059.1, XP_020718439.1, XP_020718434.1
OG0000128	XP_029345826.1, XP_029345827.1, XP_008188521.1, XP_016657782.1, XP_008189685.1, XP_008184134.1, XP_008178513.1, XP_029348364.1, XP_029343003.1, XP_029341219.1, XP_008185930.1, XP_029348270.1, XP_008182354.1, XP_029346138.1, XP_029341006.1, XP_029340934.1, XP_008180083.1, XP_008186851.1, XP_016661445.1, XP_029343301.1, XP_008189791.1, XP_008188404.1, XP_008185634.1, XP_008181540.1, XP_008187091.1, XP_008178668.1, XP_029343946.1, XP_008189392.1, XP_008184893.1, XP_008186326.1, XP_008188684.1, XP_008189767.1, XP_008181532.1, XP_029347900.1, XP_001943532.2, XP_008178799.1, XP_008187309.1	XP_012174242.1
OG0000128	XP_008178729.1, XP_029344886.1, XP_016661697.1	XP_020723962.1
OG0000129	XP_029342557.1, XP_003243980.1, XP_008182280.1	XP_003398638.1, XP_012168489.1, XP_012168490.1, XP_012168488.1, XP_012168487.1, XP_012168486.1, XP_012168485.1, XP_012168484.1
OG0000130	XP_008188212.1	XP_020719394.1, XP_003396651.1, XP_020719405.1, XP_003396650.1, XP_012165703.1
OG0000130	XP_029347188.1	XP_003396649.1, XP_012165702.1
OG0000131	NP_001119635.1	XP_003398970.1
OG0000131	XP_001944342.1, NP_001280296.1	XP_003396371.1, XP_003396370.1
OG0000132	XP_001944867.2, XP_008188761.1	XP_003402425.1, XP_003402485.1
OG0000133	XP_001947717.2, XP_029346829.1	XP_012176311.1, XP_020724157.1, XP_020724156.1, XP_020724158.1, XP_012168402.1, XP_020718924.1, XP_012168435.1
OG0000134	XP_008188674.1, XP_029347700.1, XP_029347701.1	XP_003399458.1
OG0000134	XP_029344030.1	XP_003396199.1
OG0000135	XP_008183617.1, XP_016660307.1, XP_008183620.1, XP_008183619.1, XP_016660306.1, XP_029348611.1	XP_003393370.1, XP_003393110.1, XP_003394582.1
OG0000137	XP_029345533.1, XP_029345535.1, XP_029345534.1, XP_001949204.1, XP_008183005.1, XP_008183006.1, XP_001951358.1, XP_001943488.1	XP_012164639.1, XP_012164637.1, XP_012164636.1, XP_012164638.1, XP_012175108.1, XP_012170724.1
OG0000138	XP_029344015.1, XP_029344014.1, XP_029344016.1, XP_001948700.2	XP_003397345.2, XP_012166619.1, XP_003397339.1
OG0000139	XP_001949990.1	XP_003399181.1, XP_003399195.1
OG0000140	XP_001950680.1, XP_029341066.1, XP_003245538.1, XP_003244834.1	XP_020718525.1, XP_020722092.1, XP_012171285.1, XP_003400470.1
OG0000141	XP_029343859.1	XP_003400951.1, XP_012174890.1, XP_003396959.1
OG0000143	XP_008183821.1, XP_001945042.2	XP_003393823.1, XP_020722543.1, XP_012175058.1, XP_020722547.1, XP_020722544.1, XP_020722545.1
OG0000146	NP_001119627.1	XP_003402123.1, XP_003397806.1, XP_012176245.1
OG0000147	NP_001119678.1	XP_020721202.1, XP_020721198.1, XP_020721193.1, XP_003393447.1, XP_012164120.1, XP_012164121.1, XP_012164119.1
OG0000149	NP_001233210.1, XP_008189229.1	XP_003394540.1
OG0000149	XP_001945852.2	XP_012175460.1, XP_020724080.1
OG0000150	XP_003241608.1, XP_001943456.1, XP_008178725.1, XP_008178726.1	XP_012170499.1, XP_012170501.1, XP_012170500.1, XP_003399855.1, XP_020721682.1, XP_012170498.1
OG0000151	NP_001232992.1	XP_003402871.1, XP_012174602.1, XP_012174601.1, XP_012174604.1, XP_012174600.1, XP_012174599.1
OG0000152	XP_001950609.1	XP_012173071.1, XP_012173070.1, XP_012173069.1, XP_012173068.1, XP_012173075.1, XP_012173067.1
OG0000153	XP_001952790.2	XP_003400832.1, XP_012171882.1, XP_012171883.1
OG0000154	XP_029348690.1, XP_029346266.1, XP_016657976.1, XP_029348689.1	XP_012167367.1, XP_012167365.1
OG0000155	XP_016660926.1, XP_016656167.1, XP_008182084.1, XP_008181927.1, XP_029341009.1	XP_020723952.1
OG0000156	XP_016659611.1	XP_003396400.1
OG0000160	XP_001951963.1	XP_012168631.1
OG0000161	XP_001950765.1	XP_003394677.1, XP_003394675.1, XP_020724240.1
OG0000162	XP_029346510.1	XP_012168555.1
OG0000162	XP_008186164.1, XP_029342674.1	XP_012170034.1
OG0000162	XP_016657938.1, XP_008180629.1	XP_003397561.2
OG0000164	XP_016661577.1	XP_020718981.1, XP_020718982.1, XP_020718980.1
OG0000165	XP_029343832.1	XP_003397183.1, XP_012166526.1
OG0000165	XP_029343481.1	XP_012169083.1
OG0000166	XP_029347644.1, XP_029347638.1, XP_029347646.1	XP_012175400.2, XP_012175364.1, XP_012175388.1
OG0000168	XP_001951684.4, XP_003248836.2	XP_020724242.1
OG0000168	XP_001942542.1, XP_008186133.1	XP_020718321.1
OG0000169	XP_016663900.2, XP_001944382.3	XP_003402924.1, XP_003402925.1, XP_003402922.1, XP_003402921.2
OG0000170	XP_029343183.1	XP_012168004.1, XP_012168005.1, XP_003398306.1, XP_012168006.1
OG0000171	XP_029345553.1	XP_003396553.1, XP_012174011.1
OG0000173	NP_001233019.1	XP_012172817.1, XP_012172816.1, XP_012172814.1, XP_012172815.1
OG0000174	XP_008185372.1, XP_008189584.3, XP_008183684.1, XP_001944323.1, XP_008186867.1, XP_029343098.1, XP_029343097.1	XP_003400605.1, XP_003400606.1, XP_012171555.1, XP_012171554.1, XP_012171558.1, XP_012171557.1
OG0000175	XP_029344556.1, XP_001951192.1	XP_020721993.1, XP_003400937.1, XP_012171930.1, XP_012171929.1
OG0000176	XP_016657241.2, XP_029347801.1	XP_003401745.1
OG0000177	XP_016657898.1, XP_008180564.2	XP_003398931.1
OG0000177	XP_001952775.1	XP_012169036.1, XP_012169039.1
OG0000179	XP_003240433.1	XP_012173790.1, XP_003402257.2
OG0000179	NP_001155435.1, NP_001280333.1	XP_012173824.1, XP_003402266.1
OG0000180	NP_001232980.1	XP_012175161.1, XP_012175160.1, XP_012175162.1, XP_003403152.1, XP_003403151.1, XP_020723773.1
OG0000181	XP_029343194.1, XP_001948653.1	XP_003399390.1, XP_012169773.1, XP_012169774.1, XP_012169772.1
OG0000182	XP_003241873.1	XP_012167067.1, XP_012167065.1, XP_003397602.1
OG0000183	XP_016663191.1, XP_016662030.1	XP_012167140.1, XP_012167142.1, XP_003397591.1, XP_012163118.1
OG0000185	XP_029344304.1	XP_003400788.1, XP_012171763.1, XP_012171761.1, XP_012171762.1, XP_012171760.1, XP_012171764.1
OG0000188	XP_029344969.1, XP_029345698.1	XP_003399544.1
OG0000188	XP_001944994.1	XP_003395186.1
OG0000189	XP_008180383.1	XP_012167526.1
OG0000189	XP_008180381.1	XP_012167477.1
OG0000189	XP_029345137.1, XP_008180387.1, XP_029345828.1	XP_003393320.1, XP_012167516.1
OG0000190	XP_008187339.1	XP_012172000.1, XP_012171998.1, XP_012171999.1
OG0000191	XP_029346818.1, XP_016659446.1, XP_029346152.1, XP_029344343.1, XP_029342439.1	XP_012172676.1
OG0000192	XP_029345853.1	XP_003393731.1
OG0000196	XP_001943581.2	XP_003399490.1
OG0000196	XP_003248273.1, XP_008188605.1, XP_029347409.1, XP_029347413.1	XP_012170863.1, XP_003400132.1, XP_020721794.1, XP_012170865.1
OG0000197	XP_001949247.2, XP_001943809.2	XP_012171975.1, XP_012171976.1, XP_012171981.1, XP_012171980.1, XP_012171979.1, XP_003400969.1
OG0000200	XP_001949978.1	XP_003394667.1
OG0000200	XP_008182512.1	XP_003398779.1, XP_012168586.1
OG0000201	XP_001951690.2	XP_020720655.1
OG0000201	NP_001313588.1	XP_012168139.1, XP_012168138.1
OG0000202	XP_003246184.1, XP_016661945.1	XP_012165963.1, XP_012165962.1, XP_012165961.1, XP_003396825.1, XP_020719260.1
OG0000202	XP_001944687.1	XP_020719240.1, XP_012165749.1, XP_012165750.1
OG0000203	XP_016662444.1, XP_001947661.2, XP_001949662.1, XP_029342520.1, XP_001947565.2	XP_003396251.1, XP_012165494.1
OG0000204	XP_003243588.1, XP_001948363.2	XP_003400095.1
