Orthogroup	Acyrthosiphon_pisum	Osmia_lignaria
OG0000006	XP_016661819.1	XP_034178505.1, XP_034178504.1, XP_034178575.1, XP_034178513.1, XP_034178578.1, XP_034178576.1, XP_034178500.1, XP_034178499.1, XP_034178511.1, XP_034178577.1, XP_034178579.1, XP_034178503.1, XP_034178574.1, XP_034178514.1, XP_034189642.1
OG0000007	XP_008180990.1, XP_016656682.1, XP_029348000.1, XP_008178602.1, XP_008189457.1, XP_008178603.1, XP_008183255.1, XP_008182423.1, XP_008178158.1, XP_008179800.1, XP_008182703.1, XP_029341371.1, XP_008185795.1, XP_029340983.1	XP_034192555.1, XP_034194792.1, XP_034195128.1
OG0000007	XP_029347711.1	XP_034192270.1
OG0000007	XP_008179463.1	XP_034194023.1
OG0000007	XP_008180263.1	XP_034178195.1, XP_034194607.1
OG0000007	XP_029341475.1	XP_034194576.1
OG0000007	XP_016658575.2	XP_034174772.1
OG0000007	XP_029348434.1, XP_008184869.1, XP_008188538.2, XP_029347402.1, XP_029341174.1, XP_008178220.1, XP_001951832.2, XP_003244309.1	XP_034171871.1, XP_034195291.1
OG0000007	XP_029342533.1, XP_008183714.1, XP_016662186.1, XP_008178249.1, XP_016662197.1, XP_016657859.1	XP_034194211.1
OG0000008	XP_016663037.1	XP_034185974.1
OG0000008	XP_029347046.1	XP_034185973.1
OG0000008	XP_001942555.1, XP_008181935.1	XP_034181671.1
OG0000008	XP_001951039.1, XP_016661460.1, XP_008179022.1, XP_001946107.1	XP_034185970.1
OG0000008	XP_001945226.1	XP_034185983.1
OG0000008	XP_001948787.1, XP_008186873.1	XP_034185979.1, XP_034185978.1
OG0000008	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3	XP_034185982.1, XP_034185981.1, XP_034185980.1
OG0000010	XP_016657651.1	XP_034183416.1, XP_034194926.1, XP_034195327.1, XP_034192190.1, XP_034190727.1, XP_034183422.1, XP_034182488.1, XP_034195328.1, XP_034195161.1, XP_034182489.1
OG0000013	XP_008190047.2, XP_008190048.2, XP_003246588.2	XP_034195020.1
OG0000013	XP_008188188.1	XP_034191425.1, XP_034191426.1
OG0000015	XP_029343966.1, XP_029343965.1, XP_029348486.1, XP_008181210.1, XP_029347859.1, XP_016664423.1, XP_029348122.1, XP_029341074.1, XP_029345565.1, XP_008178712.1, XP_016663080.1, XP_029345242.1, XP_008185956.2, XP_016664373.2, XP_008178216.1, XP_008190259.1, XP_029342176.1, XP_008184420.1, XP_008182443.1, XP_008181582.1, XP_008184153.1, XP_008181530.1, XP_016662279.1, XP_016660325.1, XP_008184146.1, XP_016657818.1, XP_029347974.1, XP_008190127.1, XP_008179598.1, XP_008180455.1, XP_008180286.1, XP_008184081.1, XP_029348190.1	XP_034195318.1, XP_034194991.1
OG0000015	XP_008189353.1, XP_008184080.1, XP_008180285.1, XP_008190003.1, XP_008188971.1, XP_016657819.1, XP_008183148.1, XP_016660685.1, XP_008189219.1, XP_008189675.1, XP_029347731.1, XP_016663609.1, XP_029344008.1, XP_008187493.2, XP_008189577.1, XP_008178242.1, XP_008189575.1, XP_008180161.1	XP_034194842.1, XP_034195186.1
OG0000015	XP_008188095.2	XP_034195038.1, XP_034194992.1, XP_034195335.1
OG0000015	XP_008183780.1, XP_029345756.1	XP_034194993.1, XP_034195336.1
OG0000015	XP_016657695.1, XP_008189363.1, XP_008178800.1, XP_008189557.1	XP_034195037.1
OG0000016	XP_008179439.1, XP_008188179.1, XP_008189245.1	XP_034192195.1, XP_034177371.1, XP_034174822.1, XP_034182100.1
OG0000017	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1	XP_034178979.1, XP_034178985.1, XP_034178984.1
OG0000018	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2	XP_034175482.1, XP_034193265.1, XP_034193266.1, XP_034193267.1, XP_034193268.1, XP_034193261.1, XP_034193695.1, XP_034193694.1
OG0000019	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1	XP_034176014.1
OG0000019	XP_001952539.2	XP_034185020.1
OG0000020	XP_029343120.1	XP_034186694.1
OG0000020	XP_029345653.1	XP_034186692.1
OG0000020	XP_008182108.1	XP_034192547.1
OG0000020	XP_029344335.1, XP_016664934.1	XP_034171877.1
OG0000020	XP_029347131.1	XP_034185768.1
OG0000021	XP_001944401.2	XP_034193153.1
OG0000021	XP_016663029.1, XP_003240228.1, XP_029342725.1	XP_034176195.1, XP_034176197.1, XP_034176196.1
OG0000021	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1	XP_034184869.1, XP_034181343.1, XP_034194090.1, XP_034194088.1, XP_034194089.1, XP_034194086.1, XP_034194087.1
OG0000022	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2	XP_034173512.1, XP_034173513.1, XP_034187482.1, XP_034184140.1, XP_034173808.1, XP_034171775.1, XP_034171711.1, XP_034195017.1, XP_034171584.1
OG0000023	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1	XP_034173938.1, XP_034173508.1, XP_034171788.1, XP_034173514.1, XP_034171836.1, XP_034195016.1, XP_034183944.1, XP_034171974.1, XP_034173515.1, XP_034173428.1
OG0000024	XP_001949358.2	XP_034183501.1, XP_034183524.1, XP_034183512.1, XP_034183486.1, XP_034173678.1
OG0000024	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1	XP_034193921.1, XP_034193919.1
OG0000026	XP_029342349.1, XP_029342350.1	XP_034194425.1
OG0000026	XP_029343074.1	XP_034181081.1
OG0000026	XP_029342802.1	XP_034179246.1
OG0000026	XP_029342414.1	XP_034195801.1, XP_034196365.1
OG0000027	NP_001156692.1	XP_034174017.1
OG0000027	XP_001949096.2, XP_008189396.1	XP_034172344.1, XP_034173947.1, XP_034172482.1
OG0000027	XP_008190046.1	XP_034184143.1, XP_034173430.1
OG0000028	XP_008189663.1, XP_008189981.1, XP_008183271.1, XP_029342081.1, XP_008180486.1	XP_034194686.1
OG0000028	XP_008179516.1, XP_008182365.1	XP_034194642.1
OG0000029	XP_016663309.2, XP_001952418.1	XP_034181406.1, XP_034181408.1
OG0000029	NP_001165726.1, XP_001947860.1	XP_034181507.1
OG0000030	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2	XP_034183201.1
OG0000031	XP_008183945.1, XP_008182759.1	XP_034194883.1, XP_034194575.1, XP_034187271.1, XP_034187268.1, XP_034187270.1, XP_034187269.1, XP_034194909.1
OG0000031	XP_029340992.1, XP_029340991.1, XP_008181493.1	XP_034194573.1, XP_034174313.1
OG0000031	XP_029345261.1, XP_008181228.1, XP_008180311.1, XP_008180310.1, XP_008184183.1	XP_034190697.1
OG0000031	XP_008185496.1, XP_008188161.1, XP_008189772.2, XP_008190121.1, XP_029342251.1	XP_034172724.1, XP_034172725.1, XP_034190885.1, XP_034190884.1, XP_034183697.1, XP_034183440.1
OG0000032	XP_029347116.1, XP_001949029.2, XP_016662740.1	XP_034196186.1
OG0000032	XP_003243898.1	XP_034191636.1
OG0000033	XP_008179101.1	XP_034192172.1
OG0000033	XP_016655826.1	XP_034192173.1
OG0000033	XP_003245462.1	XP_034174846.1
OG0000035	XP_001951632.1, XP_016663720.1, XP_029345626.1, XP_003246783.1, XP_003246784.1, XP_001948117.1	XP_034174457.1
OG0000037	XP_008187877.2, NP_001155504.1, XP_003241041.1, XP_003243107.1, NP_001165431.1, NP_001155507.1, XP_029343963.1, XP_003247374.1, XP_008190010.1, NP_001165734.1	XP_034181170.1
OG0000038	XP_001948685.1	XP_034191028.1, XP_034195488.1
OG0000038	XP_003245830.1	XP_034193748.1, XP_034193749.1, XP_034193750.1
OG0000039	XP_008184868.1, XP_016660286.1, XP_029342256.1, XP_008189670.1, XP_008188703.1, XP_029342277.1, XP_008184255.1	XP_034194957.1
OG0000039	XP_016661651.1	XP_034195325.1
OG0000039	XP_008180148.1, XP_008181917.1, XP_029348202.1, XP_008180129.1, XP_016664939.1, XP_008183853.1, XP_008183589.1, XP_016656248.1, XP_008181108.1	XP_034195223.1
OG0000041	NP_001119672.1, XP_008186344.1	XP_034174489.1, XP_034174481.1
OG0000041	NP_001136108.1, XP_001948457.2	XP_034183063.1, XP_034183066.1, XP_034183064.1
OG0000041	XP_001948128.1	XP_034186914.1
OG0000042	XP_016662708.1, XP_008186444.1	XP_034173998.1
OG0000043	NP_001128404.1, XP_029342103.1, NP_001119651.1	XP_034173650.1
OG0000044	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2	XP_034185423.1, XP_034185424.1, XP_034185422.1
OG0000045	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2	XP_034196329.1, XP_034196330.1, XP_034181260.1
OG0000045	XP_029347511.1, XP_003248124.2, XP_016656776.1, XP_008179193.1, XP_029346942.1, XP_003246887.1, XP_029346941.1, XP_016656775.1, XP_016659005.1, XP_001949423.2, XP_001949604.2, XP_008186205.1	XP_034177285.1, XP_034177286.1
OG0000046	XP_008184380.1, NP_001156420.1	XP_034194263.1
OG0000046	XP_001951207.1, XP_003244048.1	XP_034188783.1, XP_034179386.1
OG0000047	XP_008188471.1, XP_008182780.1, XP_008182496.1, XP_008180759.1, XP_016661993.1, XP_029348003.1, XP_029342264.1, XP_029341344.1, XP_008178222.1, XP_008178291.1, XP_029341022.1, XP_008178525.1, XP_008189339.1, XP_008185268.1, XP_008178820.1, XP_016660548.2, XP_003245376.1, XP_003241214.1, XP_008188668.1, XP_008181747.1, XP_008178517.2, XP_003244703.1, XP_008189952.1, XP_008185493.1, XP_029347997.1, XP_016663902.1, XP_016656212.1, NP_001233059.1, NP_001191896.1, XP_029348349.1, XP_008180703.1, XP_008183156.1, XP_001944531.1, XP_008190228.1, XP_029348058.1, XP_001951909.1, XP_008181765.1, XP_008189984.1, XP_029345735.1, XP_008187181.1, XP_016659199.2, XP_008182981.1, XP_008184725.1, XP_008189733.1, XP_008178797.1	XP_034183417.1, XP_034177275.1, XP_034192311.1, XP_034192314.1, XP_034192434.1, XP_034192433.1, XP_034194157.1, XP_034194156.1, XP_034194155.1, XP_034182102.1, XP_034170845.1, XP_034177194.1, XP_034192178.1, XP_034174821.1, XP_034187731.1
OG0000048	XP_016662412.1	XP_034180854.1, XP_034180253.1
OG0000049	XP_029344683.1, XP_029348273.1	XP_034194850.1, XP_034195011.1, XP_034194963.1, XP_034194789.1, XP_034192558.1, XP_034195077.1
OG0000050	XP_008186168.1, XP_029344195.1	XP_034183260.1
OG0000051	XP_008181670.1	XP_034192310.1, XP_034192309.1
OG0000052	XP_008180304.1, XP_008180303.1	XP_034186731.1, XP_034194880.1
OG0000052	XP_001949739.1, XP_001947560.2, XP_029343576.1, XP_001952551.3	XP_034191839.1
OG0000052	XP_003243917.1, XP_001950194.2	XP_034176227.1
OG0000053	XP_008178527.1, XP_016658230.1	XP_034187776.1
OG0000053	XP_008178754.1, XP_008188582.3	XP_034192365.1
OG0000054	NP_001162107.1, XP_003243273.1, NP_001233051.1	XP_034176647.1, XP_034176640.1, XP_034176646.1
OG0000055	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1	XP_034185035.1, XP_034185036.1, XP_034185034.1, XP_034185037.1
OG0000055	XP_029348415.1	XP_034173748.1, XP_034173749.1, XP_034173750.1
OG0000055	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1	XP_034190706.1
OG0000056	XP_029341785.1, XP_016658856.2	XP_034195921.1, XP_034174982.1
OG0000056	XP_029347390.1, XP_029340985.1	XP_034181068.1
OG0000056	XP_029341336.1	XP_034195945.1, XP_034176871.1
OG0000056	XP_029345472.1, XP_029341337.1	XP_034175501.1, XP_034175497.1
OG0000057	NP_001177327.1	XP_034187515.1
OG0000057	XP_008190203.1	XP_034187514.1
OG0000060	XP_029341750.1	XP_034191137.1
OG0000060	XP_016660546.1	XP_034187152.1, XP_034187149.1, XP_034187153.1, XP_034187150.1, XP_034187148.1, XP_034187151.1
OG0000061	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1	XP_034172253.1
OG0000061	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2	XP_034191746.1, XP_034191745.1, XP_034191749.1, XP_034191748.1, XP_034191747.1
OG0000062	XP_001951309.3	XP_034196475.1, XP_034196526.1, XP_034196469.1, XP_034196470.1, XP_034196468.1, XP_034170830.1
OG0000063	XP_016664961.2, XP_029340921.1, XP_016660863.1, XP_016658201.1, XP_016657235.1, XP_016657234.1	XP_034192205.1, XP_034194193.1, XP_034182480.1, XP_034194997.1, XP_034195296.1, XP_034195297.1, XP_034194554.1, XP_034195174.1
OG0000063	XP_016658134.1	XP_034195302.1, XP_034172329.1, XP_034171030.1
OG0000065	XP_001943808.2	XP_034186031.1, XP_034186030.1, XP_034186029.1, XP_034186032.1
OG0000065	XP_001950981.1	XP_034186028.1
OG0000066	XP_008178755.1, XP_029348396.1, XP_029347905.1, XP_008187418.1, XP_029347848.1, XP_008178341.1, XP_008189191.1, XP_029347833.1, XP_029347832.1, XP_008180329.2, XP_008180328.1, XP_008186719.1, XP_008186645.1, XP_008178451.1, XP_008184821.1, XP_008189985.1, XP_008181030.1, XP_008181032.1, XP_008178816.1, XP_008181153.1	XP_034192378.1
OG0000066	XP_008180330.1, XP_008184253.1, XP_008178157.1, XP_008182364.1, XP_008182864.1, XP_029341012.1, XP_008179068.1, XP_016656442.1, XP_016656220.2, XP_008179054.1, XP_008189844.1, XP_029341034.1, XP_029348339.1, XP_029341294.1, XP_008180143.1, XP_016660748.1, XP_008181152.1	XP_034194561.1
OG0000067	XP_001948642.2	XP_034188060.1
OG0000067	XP_016658458.1	XP_034176568.1
OG0000067	XP_029347451.1, XP_001948493.1	XP_034180395.1, XP_034180397.1
OG0000067	XP_008185788.1	XP_034192090.1
OG0000069	XP_029344273.1	XP_034175784.1, XP_034175786.1, XP_034175787.1, XP_034175788.1
OG0000071	XP_008180862.1, XP_008189544.1, XP_008187138.1, XP_008180487.1	XP_034194535.1
OG0000071	XP_003241663.1, XP_003240827.1, XP_029340941.1, XP_008182764.1, XP_029340970.1	XP_034195125.1
OG0000072	XP_029346399.1	XP_034195182.1, XP_034190456.1, XP_034177521.1, XP_034192564.1, XP_034195052.1, XP_034194905.1, XP_034195080.1
OG0000072	XP_003246904.1, XP_008187176.1, XP_008181699.1, XP_008186497.1, XP_008189644.1, XP_008185349.1, XP_029344847.1	XP_034194705.1
OG0000074	XP_016661872.1	XP_034175255.1
OG0000074	XP_029344853.1, XP_029345069.1, XP_016655841.1, XP_016655840.1, XP_029345083.1, XP_029345084.1, XP_029342157.1, XP_029345068.1, XP_008189736.3, XP_003248965.2, XP_003248702.1, XP_029342723.1, XP_029345751.1, XP_003244613.1, XP_008185438.1, XP_003240403.1, XP_029344854.1, XP_016661523.1, XP_029345888.1, XP_029348279.1, XP_029345085.1, XP_008185021.1, XP_029341723.1, XP_029341728.1, XP_029341729.1, XP_029344850.1, XP_001946490.2, XP_016661868.1, XP_029342388.1, XP_003246142.3, XP_016661519.1, XP_008181131.2, XP_029346353.1, XP_029346354.1, XP_029341136.1, XP_016661865.2, XP_029345078.1, XP_016663995.1, XP_008181949.2, XP_016658567.1, XP_016658569.1, XP_029345073.1, XP_029345045.1, XP_029345061.1, XP_029345058.1, XP_029342395.1, XP_029342396.1, XP_029342397.1, XP_008188177.1, XP_016664028.1, XP_016664027.1, XP_001942568.2, XP_016659718.1, XP_029343824.1	XP_034195150.1
OG0000075	XP_016662368.1	XP_034184988.1
OG0000076	XP_029348282.1, XP_016664554.1, XP_016664857.1, XP_008189029.1	XP_034182479.1
OG0000077	XP_001945190.2	XP_034178573.1, XP_034178581.1
OG0000077	XP_008187030.1	XP_034192524.1
OG0000079	XP_001952588.1	XP_034174764.1
OG0000080	XP_001952817.1, XP_003241505.1	XP_034191096.1
OG0000081	XP_016660637.1, XP_003245950.2	XP_034179208.1, XP_034179226.1, XP_034179214.1, XP_034179212.1, XP_034179508.1, XP_034179507.1, XP_034179211.1
OG0000084	NP_001155431.1	XP_034188705.1, XP_034188707.1, XP_034188706.1, XP_034188921.1
OG0000084	NP_001155786.1	XP_034189639.1
OG0000085	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1	XP_034192632.1, XP_034192631.1, XP_034171418.1
OG0000086	NP_001155379.1, XP_016661052.1, XP_016662788.2, XP_001951510.1, NP_001155766.1, XP_008182375.2, XP_016663261.1	XP_034193956.1
OG0000086	XP_001950197.2	XP_034193661.1
OG0000087	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2	XP_034179280.1, XP_034179279.1, XP_034179278.1
OG0000088	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1	XP_034186223.1
OG0000091	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2	XP_034181366.1, XP_034181369.1, XP_034181364.1
OG0000092	XP_001947820.1	XP_034172508.1, XP_034196103.1, XP_034196104.1, XP_034196105.1, XP_034196106.1, XP_034196107.1, XP_034178502.1
OG0000093	XP_016662984.1, XP_008187890.1	XP_034194541.1, XP_034182476.1
OG0000094	XP_001948596.2	XP_034172066.1, XP_034183347.1, XP_034183349.1, XP_034183348.1, XP_034186765.1
OG0000097	XP_001948740.2, XP_008182369.1, XP_029347936.1	XP_034190835.1, XP_034190836.1, XP_034176738.1, XP_034176739.1
OG0000098	NP_001153821.1, XP_008189785.1	XP_034189435.1, XP_034189436.1, XP_034189437.1, XP_034189438.1, XP_034189434.1
OG0000099	XP_001945365.2	XP_034179642.1, XP_034179643.1, XP_034179641.1
OG0000099	XP_001951744.1	XP_034193873.1
OG0000100	XP_001944985.1	XP_034186665.1, XP_034186661.1, XP_034186660.1, XP_034186663.1, XP_034186662.1, XP_034186656.1, XP_034186655.1, XP_034186659.1, XP_034186658.1, XP_034186664.1, XP_034186666.1, XP_034186667.1, XP_034186669.1, XP_034186670.1, XP_034186654.1
OG0000101	XP_001950980.2, XP_001945570.2	XP_034181509.1
OG0000101	XP_001952301.1	XP_034181515.1
OG0000102	XP_001946994.2	XP_034184723.1, XP_034190695.1
OG0000103	XP_003248994.1, XP_003243120.1	XP_034183404.1, XP_034183410.1, XP_034183407.1, XP_034183408.1, XP_034183409.1
OG0000108	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2	XP_034193813.1
OG0000109	XP_001947883.2	XP_034187724.1, XP_034187720.1, XP_034187719.1, XP_034187723.1, XP_034187722.1
OG0000112	XP_001944328.2	XP_034175689.1, XP_034177437.1
OG0000113	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1	XP_034185991.1, XP_034174201.1
OG0000115	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1	XP_034173929.1, XP_034174012.1, XP_034174010.1, XP_034174009.1
OG0000117	XP_001947242.1	XP_034188640.1
OG0000117	XP_001945228.1	XP_034186050.1, XP_034186060.1, XP_034186043.1, XP_034186034.1
OG0000118	XP_008187919.1	XP_034194773.1
OG0000119	XP_001950896.2, XP_001946809.2	XP_034185219.1, XP_034185196.1, XP_034185454.1, XP_034185227.1, XP_034185236.1
OG0000120	XP_008183102.1, XP_008183682.2, XP_001946812.2, XP_016660349.1	XP_034188385.1
OG0000121	XP_029340994.1, XP_029348023.1	XP_034195060.1
OG0000122	XP_029345164.1	XP_034183230.1
OG0000122	XP_029345159.1, XP_001942872.1	XP_034174067.1
OG0000123	XP_001944241.1	XP_034189051.1, XP_034189052.1
OG0000124	XP_001946145.1, XP_029344203.1, XP_016657907.1, XP_003240297.1	XP_034195724.1, XP_034195725.1, XP_034195722.1, XP_034195721.1, XP_034195720.1, XP_034195715.1, XP_034195714.1, XP_034195719.1, XP_034195718.1, XP_034195717.1, XP_034195716.1
OG0000125	XP_029343174.1, XP_029343175.1	XP_034195792.1, XP_034195791.1, XP_034195790.1, XP_034195789.1
OG0000126	XP_029344350.1	XP_034182851.1, XP_034182856.1, XP_034182855.1, XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182850.1
OG0000127	XP_016661891.1	XP_034173169.1, XP_034173170.1
OG0000129	XP_029342557.1, XP_003243980.1, XP_008182280.1	XP_034176178.1, XP_034176173.1, XP_034176171.1, XP_034176172.1, XP_034176175.1, XP_034176174.1, XP_034176177.1, XP_034176176.1
OG0000130	XP_008188212.1	XP_034182741.1, XP_034182770.1, XP_034182761.1
OG0000130	XP_029347188.1	XP_034183368.1, XP_034183281.1
OG0000131	NP_001119635.1	XP_034176064.1
OG0000131	XP_001944342.1, NP_001280296.1	XP_034182652.1, XP_034182661.1
OG0000132	XP_001944867.2, XP_008188761.1	XP_034187328.1, XP_034187330.1, XP_034173679.1, XP_034173677.1
OG0000133	XP_001947717.2, XP_029346829.1	XP_034182098.1, XP_034182097.1, XP_034172967.1, XP_034172964.1
OG0000134	XP_016659080.1, XP_016655735.1, XP_029341669.1, XP_003244662.1, XP_016658650.1, XP_008186020.1	XP_034194546.1
OG0000134	XP_008188674.1, XP_029347700.1, XP_029347701.1	XP_034175473.1
OG0000134	XP_008179309.1, XP_016661614.1, XP_008184229.1, XP_003240649.1, XP_003244810.1	XP_034188579.1
