Orthogroup	Acyrthosiphon_pisum	Nasonia_vitripennis
OG0000008	XP_001951039.1, XP_016661460.1, XP_008179022.1, XP_001946107.1	XP_003424681.1, XP_031782089.1, XP_016845733.1, XP_003427944.1, XP_003424536.2, XP_001602364.1, XP_016844951.1, XP_016843209.1
OG0000008	XP_001945226.1	XP_001602133.1
OG0000008	XP_001948787.1, XP_008186873.1	XP_001600419.1
OG0000008	XP_029347673.1, XP_001947912.2, XP_008185220.1, XP_029341168.1, XP_029345772.1, XP_029341167.1, XP_029347064.1, XP_029347063.1, XP_029347062.1, XP_001947727.3	XP_032456689.1, XP_032456688.1, XP_001601943.1
OG0000010	XP_008180149.1, XP_016655915.1, XP_008190142.1	XP_031777480.1, XP_031788732.1, XP_031781364.1, XP_031777465.1, XP_031788839.1, XP_031781789.1, XP_031789236.1, XP_031786424.1, XP_031777471.1, XP_008213909.1, XP_008208132.1, XP_031788414.1
OG0000013	XP_008190047.2, XP_008190048.2, XP_003246588.2	XP_001599179.2
OG0000013	XP_008188188.1	XP_001608166.1, XP_001608174.1
OG0000014	XP_008188957.2	XP_031787726.1
OG0000014	XP_029347345.1, XP_003246585.1, XP_003248955.1, XP_003249023.1, XP_003246589.1, XP_003245105.1, XP_029344422.1, XP_029348663.1, XP_008179018.1, XP_001944346.2, XP_008190049.1, XP_001944288.1	XP_001608125.1
OG0000015	XP_029343966.1, XP_029343965.1, XP_029348486.1	XP_031778316.1
OG0000015	XP_008178712.1, XP_016663080.1, XP_029345242.1, XP_008185956.2, XP_016664373.2, XP_008178216.1, XP_008190259.1, XP_029342176.1, XP_008184420.1, XP_008182443.1, XP_008181582.1, XP_008184153.1, XP_008181530.1, XP_016662279.1, XP_016660325.1, XP_008184146.1, XP_016657818.1, XP_029347974.1, XP_008190127.1, XP_008179598.1, XP_008180455.1, XP_008180286.1, XP_008184081.1, XP_029348190.1	XP_031789010.1, XP_008202049.2, XP_031779863.1, XP_031788347.1
OG0000015	XP_008189353.1, XP_008184080.1, XP_008180285.1, XP_008190003.1, XP_008188971.1, XP_016657819.1, XP_008183148.1, XP_016660685.1, XP_008189219.1, XP_008189675.1, XP_029347731.1, XP_016663609.1, XP_029344008.1, XP_008187493.2, XP_008189577.1, XP_008178242.1, XP_008189575.1, XP_008180161.1	XP_008212376.1, XP_031789009.1, XP_031788343.1, XP_032458064.1, XP_031789178.1, XP_008202508.2
OG0000015	XP_008182791.1, XP_008186267.1, XP_008185380.1, XP_008178533.1, XP_008189950.2, XP_008185312.1, XP_008181052.1, XP_029345898.1, XP_029341202.1, XP_029345757.1, XP_008184280.1, XP_029341058.1, XP_029345703.1, XP_008178310.1, XP_008183319.1, XP_003248672.2, XP_008180107.2, XP_008178766.1, XP_029342141.1, XP_029340950.1, XP_008189455.1, XP_008185584.1, XP_008178848.1, XP_008190260.2, XP_008188308.1, XP_029341343.1, XP_008186657.1, XP_008181178.1, XP_029341124.1, XP_008189727.1, XP_008180300.1, XP_029342163.1, XP_008187231.1, XP_008188095.2, XP_008178705.1, XP_008182253.1, XP_029345918.1, XP_016661099.1, XP_008183780.1, XP_029345756.1, XP_008182252.1, XP_008189910.1, XP_008186546.1, XP_029348245.1, XP_016657695.1, XP_008189363.1, XP_008178800.1, XP_008189557.1, XP_029347976.1, XP_003240824.1, XP_003241265.1, XP_008183218.2, XP_008184419.1	XP_016843648.1
OG0000016	XP_008179439.1, XP_008188179.1, XP_008189245.1	XP_031782910.1, XP_031785914.1, XP_031785821.1, XP_032457816.1, XP_031786062.1, XP_031788870.1, XP_008206132.1, XP_031782977.1
OG0000017	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1	NP_001165913.1, NP_001165914.1
OG0000018	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2	XP_008214580.1, XP_001604347.2, XP_031784239.1, XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1
OG0000019	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1	XP_032454031.1, XP_008206500.1, XP_032457652.1, XP_031776844.1
OG0000019	XP_001952539.2	XP_016841509.1, XP_031783474.1, XP_003424417.1
OG0000019	XP_001947401.1	XP_031777606.1, XP_008213182.2, XP_016840785.1, XP_001602620.2
OG0000020	XP_029344335.1, XP_016664934.1	XP_031781856.1
OG0000020	XP_029343394.1	XP_016838656.1, XP_031778996.1
OG0000021	XP_001945018.2	XP_032452884.1, XP_016845846.1, XP_001607795.1
OG0000021	XP_001944401.2	XP_031782052.1, XP_008203719.1
OG0000021	XP_016663029.1, XP_003240228.1, XP_029342725.1	XP_001603725.1
OG0000021	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1	XP_001601834.2, XP_008201868.1
OG0000022	XP_003244391.2, XP_029347151.1, XP_029347343.1	XP_032456078.1
OG0000022	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1
OG0000023	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1	XP_001608226.1, XP_001608234.1, XP_001599909.1, XP_003424473.1, XP_016844748.1, XP_001607906.1, XP_031778032.1, XP_031778031.1, XP_031777923.1, XP_031778030.1, XP_001607725.1, XP_031787982.1, XP_001607191.1, XP_031787525.1, XP_016836789.2, XP_001603608.1, XP_001607945.1
OG0000024	XP_001949358.2	XP_001604944.4, XP_001599160.3
OG0000024	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1	XP_008216554.1, XP_003425961.1, XP_016838044.1, XP_001606051.1, XP_001599715.1, XP_001599851.1, XP_001606577.2, XP_001604918.1, XP_001604981.1, XP_008209485.1, XP_008209484.1, XP_001600270.1, NP_001166221.1
OG0000026	XP_029342349.1, XP_029342350.1	XP_032452024.1
OG0000026	XP_029343074.1	XP_008204831.1
OG0000026	XP_029342802.1	XP_008210347.1, XP_016840213.1, XP_016840212.1, XP_031782078.1, XP_031782077.1, XP_031782079.1
OG0000026	XP_029342414.1	XP_001599637.2, XP_001599666.2
OG0000027	NP_001156692.1	XP_001599220.1
OG0000027	XP_001949096.2, XP_008189396.1	XP_001599471.2
OG0000027	XP_008190046.1	XP_001607366.1, XP_001607925.1, XP_031778034.1, XP_031778033.1, XP_001607894.1, XP_031777925.1, XP_031777924.1, XP_001599832.1, XP_001600560.1, XP_031785593.1, XP_031785592.1, XP_001599230.1, XP_031778035.1
OG0000028	XP_008189663.1, XP_008189981.1, XP_008183271.1, XP_029342081.1, XP_008180486.1	XP_031789120.1, XP_031783906.1
OG0000028	XP_008185551.1, XP_029347940.1, XP_029347869.1, XP_008185413.1, XP_008180393.1, XP_008180395.1, XP_008184226.1, XP_008185676.1, XP_008182613.1, XP_008178496.1	XP_031783222.1
OG0000028	XP_029348411.1, XP_016659690.1, XP_016657916.1, XP_008189693.1, XP_029348305.1	XP_031784225.1
OG0000029	XP_016663309.2, XP_001952418.1	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1
OG0000029	NP_001165726.1, XP_001947860.1	NP_001166275.1, NP_001161319.1, NP_001166272.1
OG0000030	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2	XP_031776890.1, XP_032457890.1, XP_001600309.1, XP_031776892.1, XP_008217013.1
OG0000032	XP_003246235.1, XP_001947862.2, XP_001948097.2, XP_003246236.1	XP_016838416.1
OG0000032	XP_029347116.1, XP_001949029.2, XP_016662740.1	XP_001600583.1, XP_001605911.2
OG0000032	XP_003243898.1	XP_031787250.1
OG0000033	XP_008187161.1, XP_029345803.1	XP_032457470.1, XP_008211300.1
OG0000033	XP_003247929.1, XP_008182930.1, XP_029348015.1, XP_008188782.1, XP_003248584.1, XP_003241803.1, XP_016658747.1	XP_031781166.1, XP_031779670.1, XP_031788567.1, XP_016841972.2
OG0000033	XP_016655826.1	XP_031788710.1, XP_008205139.1
OG0000035	XP_001951632.1, XP_016663720.1, XP_029345626.1, XP_003246783.1, XP_003246784.1, XP_001948117.1	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1
OG0000037	XP_008187877.2, NP_001155504.1, XP_003241041.1, XP_003243107.1, NP_001165431.1, NP_001155507.1, XP_029343963.1, XP_003247374.1, XP_008190010.1, NP_001165734.1	XP_008216622.1, XP_008216623.1
OG0000038	XP_001948685.1	XP_016843117.1, XP_001607699.1, XP_001604160.1
OG0000039	XP_008184868.1, XP_016660286.1, XP_029342256.1, XP_008189670.1, XP_008188703.1, XP_029342277.1, XP_008184255.1, XP_016657283.1, XP_008181211.1, XP_008189466.1, XP_016661651.1, XP_029341489.1, XP_008180148.1, XP_008181917.1, XP_029348202.1, XP_008180129.1, XP_016664939.1, XP_008183853.1, XP_008183589.1, XP_016656248.1, XP_008181108.1	XP_031778424.1
OG0000041	NP_001119672.1, XP_008186344.1	XP_032453601.1, NP_001157191.1, NP_001157192.1
OG0000041	NP_001136108.1, XP_001948457.2	XP_001600960.1, XP_001601342.1
OG0000041	XP_001948128.1	XP_001601504.1, XP_016845814.1
OG0000042	XP_016662708.1, XP_008186444.1	XP_008205137.1, XP_008205135.1, XP_008205136.1
OG0000042	NP_001191869.1, XP_029345377.1	XP_008205676.1, XP_001602540.1
OG0000042	NP_001191885.1, XP_008184085.1, NP_001191886.1, XP_001944248.1, NP_001119674.1, XP_008179499.1, XP_001943917.1	XP_003425691.1, XP_032453872.1, XP_032453871.1, XP_031783785.1, XP_031783782.1, XP_031783784.1, XP_031783783.1
OG0000043	NP_001128404.1, XP_029342103.1, NP_001119651.1	XP_008208463.1
OG0000044	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2	XP_031787739.1, XP_001602131.2
OG0000045	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2	XP_001604688.1, XP_001604507.3, XP_001604459.1, NP_001153339.1, NP_001153340.1, XP_001604662.2
OG0000045	XP_029347511.1, XP_003248124.2, XP_016656776.1, XP_008179193.1, XP_029346942.1, XP_003246887.1, XP_029346941.1, XP_016656775.1, XP_016659005.1, XP_001949423.2, XP_001949604.2, XP_008186205.1	XP_032454987.1, XP_031784367.1
OG0000046	XP_008184380.1, NP_001156420.1	XP_001604460.2
OG0000046	XP_008190051.1, XP_001951915.1, XP_003248918.1, XP_001945786.2	XP_001599773.3, XP_031779567.1, XP_001604951.2
OG0000046	XP_001951207.1, XP_003244048.1	XP_032452163.1, NP_001166228.1, XP_001608044.1
OG0000048	XP_003246561.1, XP_029345889.1, XP_016662409.1, XP_029345122.1, XP_029345890.1, XP_029345124.1, XP_008186079.1, XP_029345127.1, XP_029345125.1	XP_003426470.1
OG0000048	XP_016662412.1	XP_016841096.1, XP_016841091.1, XP_016841092.1, XP_031787184.1, XP_032456442.1, XP_008207163.1, XP_031787258.1, XP_003426658.1, XP_031787181.1
OG0000049	XP_029344683.1, XP_029348273.1	XP_031781770.1, XP_031777956.1
OG0000049	XP_029341613.1	XP_031780988.1
OG0000049	XP_029348220.1, XP_008179823.1, XP_008178595.1, XP_029348309.1, XP_008181856.2, XP_029340935.1, XP_029343051.1, XP_008188430.1, XP_029348118.1, XP_029348189.1, XP_003243221.1, XP_003241955.1, XP_008183571.1, XP_003240833.3, XP_029341607.1	XP_031789254.1, XP_031781108.1, XP_008212920.1, XP_031781361.1, XP_031777338.1, XP_031789251.1, XP_031785875.1, XP_031784018.1, XP_031785674.1
OG0000049	XP_016657858.1	XP_031783954.1, XP_031787978.1, XP_032458079.1, XP_031789076.1, XP_031789084.1, XP_031789068.1, XP_031789075.1, XP_032457575.1, XP_032457731.1, XP_016843025.1, XP_032458132.1, XP_031785990.1, XP_031784857.1, XP_032458071.1, XP_031777427.1, XP_031777402.1, XP_031781200.1, XP_031780974.1, XP_031782951.1, XP_031777483.1, XP_031789072.1, XP_031786373.1, XP_031789140.1, XP_031785983.1, XP_031780349.1
OG0000049	XP_029344703.1	XP_031786029.1
OG0000050	XP_008186168.1, XP_029344195.1	NP_001165950.1, XP_003427743.2, XP_001602331.2, NP_001165951.1, XP_032455970.1, NP_001165962.1, NP_001165960.1, NP_001165958.1, NP_001165947.1, XP_008212266.2, XP_008216259.1, XP_001608200.1
OG0000052	XP_008180304.1, XP_008180303.1	XP_001607313.2, XP_031779680.1, XP_016838631.1
OG0000052	XP_001949739.1, XP_001947560.2, XP_029343576.1, XP_001952551.3	XP_031779622.1, XP_003428054.1, XP_031776989.1, XP_001601084.2, XP_001602124.1, XP_016837116.1, XP_001602148.2, XP_001600160.2, XP_016838653.2, XP_008207931.1, XP_001602097.1, XP_031778518.1, XP_032452509.1, XP_016838309.1, XP_031778517.1, XP_031778516.1, XP_001600185.1, XP_001602071.1
OG0000052	XP_008179402.1	XP_031777611.1
OG0000052	XP_003243917.1, XP_001950194.2	XP_001602874.2
OG0000054	NP_001162107.1, XP_003243273.1, NP_001233051.1	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1, XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2
OG0000055	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1	XP_001602853.1
OG0000055	XP_029348415.1	XP_032454549.1
OG0000055	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1	XP_001600035.1, XP_008208159.3
OG0000056	XP_029341785.1, XP_016658856.2	XP_031780252.1, XP_001604931.2
OG0000056	XP_029347390.1, XP_029340985.1	XP_008202999.3
OG0000056	XP_029341336.1	XP_008204847.1, XP_032455826.1
OG0000056	XP_029345472.1, XP_029341337.1	XP_031784842.1
OG0000057	NP_001177327.1	XP_031785452.1
OG0000057	XP_008190203.1	XP_003427519.1
OG0000059	XP_008178159.1, XP_029346651.1	XP_008214724.1
OG0000059	XP_029348403.1, XP_029341029.1	XP_031783002.1
OG0000059	XP_016664883.1, XP_029348073.1, XP_008183710.1, XP_008189178.1, XP_016656694.1, XP_016656071.1, XP_003241793.2, XP_003245816.1, XP_029347857.1, XP_029342932.1, XP_003241645.2, XP_029348016.1, XP_016658809.1	XP_031778828.1
OG0000060	XP_029341750.1	XP_031784439.1, XP_031784422.1, XP_031784431.1
OG0000060	XP_016660546.1	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1
OG0000061	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1	XP_031786737.1, NP_001164380.1
OG0000062	XP_001951309.3	XP_003425371.1, XP_032453005.1, XP_001604985.1, XP_003425370.1, XP_001605148.1, XP_008202211.1
OG0000063	XP_016664961.2, XP_029340921.1, XP_016660863.1, XP_016658201.1, XP_016657235.1, XP_016657234.1	XP_031784224.1, XP_032458024.1, XP_031784373.1, XP_032457267.1, XP_031781630.1, XP_031782179.1, XP_031784220.1
OG0000065	XP_001943808.2	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1
OG0000065	XP_001950981.1	XP_001605553.3, XP_032454719.1, XP_032453000.1, XP_008205745.1, XP_031776818.1, XP_001607018.2
OG0000066	XP_016656220.2	XP_031784236.1, XP_031781387.2
OG0000066	XP_008179054.1, XP_008189844.1, XP_029341034.1, XP_029348339.1, XP_029341294.1	XP_016843120.1, XP_031784228.1
OG0000067	XP_001948642.2	XP_001605420.2
OG0000067	XP_016658458.1	XP_031788440.1
OG0000067	XP_029347451.1, XP_001948493.1	XP_031782248.1
OG0000067	XP_008185788.1	XP_008209138.1
OG0000068	XP_008189589.1, XP_008189701.1, XP_008182319.1, XP_029347920.1	XP_016843017.2, XP_016844168.1, XP_032457246.1, XP_001605652.1, XP_031778765.1, XP_008209196.1, XP_031777573.1, XP_031789062.1, XP_032456103.1, XP_031781861.1, XP_032457240.1, XP_031779801.1, XP_016844694.1, XP_016843061.1, XP_008212693.2, XP_031784178.1, XP_031783922.1, XP_031777069.1, XP_031788795.1
OG0000069	XP_029344273.1	XP_016841869.2, XP_031783547.1, XP_001601674.2, XP_032453959.1, XP_016838956.1, XP_031782526.1, XP_032453936.1, XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1, XP_031781625.1, XP_001600831.2, XP_001603386.1, XP_016840218.1, XP_001603747.1, XP_001603802.1
OG0000071	XP_029347355.1, XP_029347353.1, XP_008180862.1, XP_008189544.1, XP_008187138.1, XP_008180487.1	XP_032455647.1, XP_032455648.1, XP_031784195.1, XP_031785865.1, XP_016845893.1
OG0000071	XP_016655856.1	XP_016840145.2
OG0000071	XP_029340979.1, XP_029348230.1	XP_008215689.1
OG0000072	XP_029346399.1	XP_008213440.1
OG0000072	XP_003246904.1, XP_008187176.1	XP_031789247.1
OG0000074	XP_016661872.1	XP_008207498.1, XP_031787381.1
OG0000076	XP_029348282.1, XP_016664554.1, XP_016664857.1, XP_008189029.1	XP_031788956.1, XP_031778430.1, XP_031789008.1
OG0000077	XP_001945190.2	XP_003423914.1
OG0000077	XP_008187030.1	XP_001605700.1, XP_008203901.1
OG0000079	XP_001952588.1	XP_031783468.1
OG0000080	XP_001952817.1, XP_003241505.1	XP_016838697.1, XP_001600017.1
OG0000080	XP_003240094.1	XP_016838620.1
OG0000081	XP_016660637.1, XP_003245950.2	NP_001177502.1, NP_001164391.1, NP_001177501.1, XP_031786138.1
OG0000084	NP_001155431.1	XP_001600091.2, XP_001600141.2, NP_001161311.1
OG0000084	NP_001155786.1	NP_001161297.1, NP_001161274.1, NP_001161305.1
OG0000085	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1
OG0000086	NP_001155379.1, XP_016661052.1, XP_016662788.2, XP_001951510.1, NP_001155766.1, XP_008182375.2, XP_016663261.1	XP_031786740.1, NP_001166061.1
OG0000086	XP_001950197.2	XP_008218019.2
OG0000087	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2	NP_001153410.1, NP_001153411.1, XP_001603938.2, XP_003425364.1, XP_001604204.2
OG0000091	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2
OG0000092	XP_001947820.1	NP_001153343.1, XP_016843499.1, XP_001599003.1
OG0000093	XP_016662984.1, XP_008187890.1	XP_008205782.1, XP_008212379.1, XP_031788023.1, XP_008205360.1, XP_031789189.1, XP_031781097.1, XP_031788001.1, XP_031783867.1, XP_008205373.1, XP_031789320.1, XP_016841922.2, XP_031789146.1, XP_031781374.1, XP_031788904.1
OG0000094	XP_001948596.2	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1, XP_001605100.1, XP_001600571.1
OG0000097	XP_001948740.2, XP_008182369.1, XP_029347936.1	XP_001600781.1, NP_001166227.1, XP_008208182.1
OG0000098	NP_001153821.1, XP_008189785.1	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1
OG0000099	XP_001945365.2	XP_008207065.2
OG0000099	XP_001951744.1	XP_031785392.1
OG0000100	XP_001944985.1	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1
OG0000101	XP_001950980.2, XP_001945570.2	XP_016842653.2
OG0000101	XP_001952301.1	XP_001603117.1, NP_001166254.1, XP_008211083.1, NP_001155060.1
OG0000102	XP_001946994.2	XP_031786135.1, XP_001605390.2, XP_008216939.1, XP_008216934.1, XP_031786805.1
OG0000103	XP_003248994.1, XP_003243120.1	XP_031786310.1, XP_001604969.2
OG0000105	XP_008181126.1, XP_029342287.1, XP_016664909.1, XP_008181480.1, XP_008181641.1, XP_008187105.1, XP_008183455.1, XP_008178153.1, XP_008181855.2, XP_008180151.1, XP_008180159.1, XP_008189948.1, XP_029348472.1, XP_008180160.1, XP_008180372.1, XP_008187636.1	XP_031789231.1, XP_031779862.1, XP_031781833.1, XP_031788960.1, XP_008217406.2, XP_031776843.1, XP_031778436.1, XP_031778433.1, XP_032457458.1, XP_016842088.1, XP_031780005.1, XP_008211761.1, XP_031777955.1, XP_008217375.2, XP_031789139.1, XP_031788862.1, XP_031789250.1, XP_031781026.1, XP_008217972.1, XP_031785598.1
OG0000108	XP_029345815.1	XP_008204318.1
OG0000108	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1
OG0000109	XP_001947883.2	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1
OG0000112	XP_001944328.2	XP_003425489.1, XP_031780635.1
OG0000113	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1	XP_031785048.1, XP_001599906.1, XP_008208626.1, XP_001603394.1, XP_008204873.1, XP_001603447.1
OG0000115	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1	NP_001165922.1, NP_001165921.1, NP_001165923.1, NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1
OG0000117	XP_001947242.1	XP_003424885.1
OG0000117	XP_001945228.1	XP_016845279.1, XP_003428202.1, XP_008214870.1
OG0000118	XP_008189839.1, XP_008189627.1, XP_008179538.1, XP_016662321.1, XP_008189592.1, XP_029348354.1	XP_003426431.1
OG0000118	XP_008183318.1, XP_008178708.2, XP_003244711.3	XP_003427091.1, XP_003427245.1
OG0000119	XP_001950896.2, XP_001946809.2	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1
OG0000121	XP_029340994.1, XP_029348023.1	XP_031788530.1, XP_008210259.1
OG0000121	XP_016662565.1, XP_008180195.2, XP_008188564.2, XP_008189991.1, XP_008188289.1	XP_003427676.1, XP_031779752.1
OG0000122	XP_029345164.1	XP_001604760.1
OG0000122	XP_029345159.1, XP_001942872.1	XP_031780275.1, XP_001603886.1, XP_008216017.2
OG0000123	XP_001944241.1	XP_032452434.1, XP_001602993.1
OG0000124	XP_001946145.1, XP_029344203.1, XP_016657907.1, XP_003240297.1	XP_031781470.1
OG0000125	XP_029343174.1, XP_029343175.1	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1
OG0000126	XP_029344350.1	XP_031784298.1, NP_001161164.1
OG0000127	XP_008184238.2, XP_008185467.1, XP_008185468.2, XP_001944157.3, XP_001947156.2	XP_031782271.1, XP_031782270.1
OG0000127	XP_016661891.1	XP_001606042.2
OG0000128	XP_008188521.1, XP_016657782.1, XP_008189685.1, XP_008184134.1, XP_008178513.1, XP_029348364.1	XP_008213153.2
