Orthogroup	Nomia_melanderi	Megachile_rotundata
OG0000026	XP_031830538.1, XP_031830540.1, XP_031830536.1, XP_031830537.1	XP_012149137.1, XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1
OG0000027	XP_031848648.1, XP_031848647.1	XP_012149831.1, XP_012149830.1, XP_012149829.1, XP_012149828.1, XP_012149826.1, XP_012149827.1, XP_012149825.1
OG0000028	XP_031850487.1, XP_031850488.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1	XP_003704470.2
OG0000029	XP_031829219.1	XP_003702607.2
OG0000031	XP_031827527.1	XP_003704987.1, XP_012144433.1, XP_012144432.1, XP_012144434.1, XP_012144430.1, XP_012144435.1, XP_012144429.1
OG0000032	XP_031841904.1, XP_031841905.1, XP_031841906.1	XP_012148161.1, XP_012148158.1, XP_012148159.1, XP_003706562.1, XP_012148157.1, XP_012148160.1
OG0000033	XP_031837391.1, XP_031837392.1, XP_031837389.1, XP_031837388.1, XP_031837387.1, XP_031837386.1	XP_003701918.1, XP_012137454.1, XP_012137456.1, XP_012137455.1
OG0000034	XP_031846647.1	XP_003707471.1, XP_012149993.1
OG0000035	XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1, XP_031842566.1, XP_031842564.1, XP_031842565.1, XP_031842567.1, XP_031842563.1, XP_031842562.1	XP_012141604.1
OG0000036	XP_031841466.1, XP_031841465.1, XP_031841460.1, XP_031841461.1, XP_031841462.1, XP_031841463.1	XP_012152961.1, XP_012152968.1, XP_012152971.1, XP_012152963.1
OG0000037	XP_031828389.1, XP_031828386.1, XP_031828385.1, XP_031828380.1, XP_031828378.1, XP_031828387.1, XP_031828388.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828379.1, XP_031828382.1, XP_031828383.1, XP_031828384.1, XP_031828373.1	XP_012150894.1
OG0000038	XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827452.1, XP_031827413.1	XP_012153341.1
OG0000038	XP_031831172.1, XP_031831171.1, XP_031831170.1	XP_003705350.1
OG0000039	XP_031829822.1, XP_031829824.1, XP_031829823.1	XP_012141557.1, XP_012141554.1, XP_003703563.1, XP_012141555.1, XP_012141556.1
OG0000040	XP_031835069.1, XP_031835073.1, XP_031835072.1, XP_031835071.1, XP_031835076.1, XP_031835075.1, XP_031835074.1	XP_003707562.1, XP_012150853.1, XP_012150852.1
OG0000041	XP_031848981.1, XP_031848932.1	XP_012153215.1
OG0000043	XP_031837423.1, XP_031837422.1, XP_031837424.1, XP_031837418.1, XP_031837419.1, XP_031837415.1, XP_031837416.1, XP_031837417.1, XP_031837420.1	XP_012147890.1
OG0000044	XP_031843159.1, XP_031843160.1, XP_031843157.1, XP_031843158.1, XP_031843156.1, XP_031843147.1, XP_031843154.1, XP_031843149.1, XP_031843148.1, XP_031843151.1, XP_031843150.1, XP_031843153.1, XP_031843152.1	XP_012146996.1, XP_012146995.1, XP_012146998.1, XP_012146997.1, XP_012146999.1, XP_012147000.1
OG0000045	XP_031848811.1	XP_012146526.1, XP_012136213.1, XP_012136798.1, XP_012151893.1
OG0000046	XP_031834877.1	XP_003700842.2, XP_003700923.1, XP_003700925.1, XP_003700922.1, XP_012135245.1
OG0000047	XP_031826113.1, XP_031839488.1, XP_031838234.1, XP_031839319.1	XP_012151724.1, XP_012141737.1
OG0000048	XP_031848752.1, XP_031848787.1, XP_031841174.1, XP_031848702.1, XP_031843838.1, XP_031838604.1, XP_031828601.1, XP_031836614.1, XP_031842050.1, XP_031847656.1, XP_031836582.1, XP_031827996.1	XP_012149905.1
OG0000049	XP_031842058.1, XP_031837430.1	XP_003702704.1, XP_003702718.1
OG0000050	XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1, XP_031829734.1, XP_031829739.1	XP_012138838.1, XP_012138835.1, XP_003702490.1, XP_012138837.1, XP_012138836.1
OG0000051	XP_031827529.1, XP_031827528.1	XP_012134574.1, XP_012134573.1, XP_012134572.1
OG0000053	XP_031848709.1, XP_031849052.1	XP_012148084.1
OG0000054	XP_031839027.1	XP_003703348.2
OG0000055	XP_031844556.1, XP_031844582.1, XP_031844537.1, XP_031844547.1, XP_031844574.1, XP_031844509.1, XP_031844479.1, XP_031844439.1, XP_031844458.1, XP_031844469.1, XP_031844518.1, XP_031844565.1, XP_031844499.1, XP_031844448.1, XP_031844489.1, XP_031844528.1	XP_012144258.1
OG0000056	XP_031832593.1, XP_031832592.1, XP_031832594.1	XP_012139779.1, XP_012139778.1, XP_012139774.1, XP_012139776.1, XP_012139777.1, XP_012139775.1
OG0000058	XP_031834873.1, XP_031834871.1, XP_031834537.1, XP_031834872.1	XP_003700914.1, XP_003700911.2
OG0000059	XP_031839329.1	XP_003703733.1
OG0000059	XP_031848785.1, XP_031848784.1, XP_031839487.1, XP_031839374.1	XP_003707917.1
OG0000060	XP_031831659.1, XP_031831658.1, XP_031831662.1, XP_031831660.1, XP_031831661.1	XP_012154009.1
OG0000061	XP_031839173.1	XP_012151871.1, XP_012152955.1
OG0000063	XP_031844815.1	XP_003708656.1
OG0000064	XP_031842989.1, XP_031842986.1	XP_012153286.1
OG0000064	XP_031848143.1, XP_031835042.1	XP_003703285.1
OG0000065	XP_031850218.1, XP_031850220.1, XP_031850222.1, XP_031850221.1, XP_031850223.1	XP_012135659.1
OG0000067	XP_031848727.1, XP_031848726.1, XP_031848722.1, XP_031848723.1, XP_031848720.1, XP_031848721.1, XP_031848719.1, XP_031848724.1	XP_003706502.1
OG0000068	XP_031834884.1, XP_031834534.1, XP_031834533.1, XP_031834882.1, XP_031834883.1, XP_031834885.1, XP_031834881.1, XP_031834879.1, XP_031834538.1, XP_031834536.1, XP_031834824.1	XP_003700934.1, XP_003700844.1, XP_003700845.1, XP_003700846.1
OG0000069	XP_031837357.1, XP_031837367.1, XP_031837312.1, XP_031837319.1, XP_031837284.1, XP_031837302.1, XP_031837338.1, XP_031837349.1, XP_031837294.1, XP_031837276.1, XP_031837329.1	XP_012139835.1
OG0000070	XP_031847208.1	XP_003702365.2
OG0000071	XP_031841059.1, XP_031841084.1, XP_031841094.1, XP_031841068.1, XP_031841103.1, XP_031841113.1, XP_031841076.1, XP_031841042.1, XP_031841121.1, XP_031841129.1, XP_031841052.1	XP_012140336.1, XP_003699580.1, XP_012140342.1, XP_012140354.1, XP_012140349.1
OG0000072	XP_031844649.1, XP_031844644.1, XP_031844648.1, XP_031844646.1, XP_031844645.1	XP_003707713.1, XP_012151048.1
OG0000073	XP_031826266.1, XP_031826326.1	XP_012149658.1, XP_012149660.1, XP_003707166.1, XP_012149661.1, XP_012149659.1, XP_012149656.1, XP_012149657.1
OG0000076	XP_031837857.1, XP_031837858.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837852.1	XP_003700102.1
OG0000077	XP_031834869.1	XP_003702219.1, XP_003702293.1
OG0000078	XP_031836346.1, XP_031829498.1, XP_031836078.1	XP_012140362.1, XP_012135466.1, XP_012138672.1
OG0000079	XP_031843214.1, XP_031843210.1, XP_031843211.1, XP_031843208.1, XP_031843218.1, XP_031843209.1, XP_031843219.1, XP_031843216.1, XP_031843217.1, XP_031843220.1, XP_031843215.1, XP_031843213.1	XP_003705989.1, XP_012147006.1, XP_012147007.1, XP_012147009.1
OG0000080	XP_031826524.1	XP_012140163.1, XP_012140166.1, XP_012140140.1, XP_012140138.1, XP_012140145.1, XP_012140144.1, XP_012140143.1, XP_012140158.1, XP_012140149.1, XP_012140141.1, XP_012140161.1, XP_012140159.1, XP_012140160.1, XP_012140139.1, XP_012140165.1, XP_012140156.1, XP_012140147.1, XP_012140162.1, XP_012140137.1, XP_012140146.1, XP_012140148.1, XP_012140151.1, XP_012140150.1, XP_012140153.1, XP_012140155.1, XP_012140154.1, XP_012140164.1, XP_012140157.1, XP_012140142.1
OG0000081	XP_031835342.1, XP_031835341.1, XP_031835340.1, XP_031835338.1, XP_031835337.1, XP_031835336.1, XP_031835335.1, XP_031835345.1, XP_031835344.1, XP_031835357.1, XP_031835353.1, XP_031835347.1, XP_031835333.1, XP_031835334.1, XP_031835355.1, XP_031835356.1, XP_031835346.1, XP_031835354.1, XP_031835351.1, XP_031835352.1, XP_031835348.1, XP_031835349.1, XP_031835331.1, XP_031835332.1, XP_031835343.1, XP_031835358.1	XP_012135630.1
OG0000082	XP_031847102.1, XP_031847099.1, XP_031847100.1, XP_031847101.1	XP_012141781.1, XP_012141780.1, XP_012141779.1, XP_012141774.1, XP_012141775.1, XP_012141777.1, XP_012141778.1, XP_003703743.1, XP_012141782.1
OG0000083	XP_031844501.1, XP_031844500.1, XP_031844495.1	XP_003705021.1, XP_012144619.1, XP_012144618.1, XP_012144620.1, XP_012144622.1
OG0000084	XP_031847715.1	XP_012146537.1
OG0000085	XP_031842867.1, XP_031842849.1, XP_031842898.1, XP_031842810.1, XP_031842875.1, XP_031842842.1, XP_031842858.1, XP_031842882.1, XP_031842831.1, XP_031842890.1, XP_031842820.1	XP_012150709.1, XP_012150707.1, XP_012150713.1, XP_012150712.1, XP_012150711.1, XP_012150710.1, XP_012150708.1
OG0000086	XP_031843003.1, XP_031842999.1, XP_031843000.1, XP_031843002.1, XP_031843001.1, XP_031843004.1	XP_003708587.1, XP_012153255.1, XP_012153256.1, XP_012153257.1
OG0000087	XP_031835468.1	XP_012148433.1, XP_012148442.1, XP_012148424.1, XP_003699981.1, XP_012148439.1, XP_012148450.1, XP_012148458.1
OG0000088	XP_031834789.1, XP_031834782.1, XP_031834779.1, XP_031834778.1, XP_031834773.1	XP_012138260.1, XP_012138247.1, XP_012138255.1, XP_012138249.1
OG0000089	XP_031829071.1, XP_031839440.1, XP_031829061.1	XP_012138647.1, XP_012138646.1, XP_012138648.1, XP_012138644.1
OG0000090	XP_031845031.1	XP_012138159.1, XP_012138151.1, XP_012138103.1, XP_012138138.1, XP_012138142.1, XP_012138107.1, XP_012138131.1, XP_012138125.1, XP_012138118.1
OG0000091	XP_031831260.1, XP_031831262.1, XP_031831258.1, XP_031831263.1, XP_031831257.1, XP_031831259.1	XP_003705245.1
OG0000092	XP_031836981.1	XP_012150535.1
OG0000092	XP_031831047.1	XP_012153225.1
OG0000093	XP_031835519.1, XP_031835518.1, XP_031835523.1, XP_031835521.1, XP_031835520.1, XP_031835515.1, XP_031835526.1, XP_031835517.1, XP_031835516.1, XP_031835524.1, XP_031835522.1, XP_031835527.1	XP_012150943.1, XP_003707675.1, XP_012150944.1
OG0000094	XP_031831880.1, XP_031831898.1, XP_031831908.1, XP_031831918.1, XP_031831890.1	XP_003701456.1
OG0000095	XP_031840582.1, XP_031840581.1, XP_031840580.1, XP_031840577.1, XP_031840579.1	XP_003702089.1, XP_012138104.1
OG0000096	XP_031840722.1	XP_012142191.1
OG0000097	XP_031838150.1, XP_031838151.1, XP_031838152.1	XP_003707142.1, XP_012149524.1
OG0000098	XP_031830530.1, XP_031830534.1, XP_031830533.1, XP_031830532.1, XP_031830531.1, XP_031830529.1	XP_003706809.1, XP_012148932.1, XP_012148931.1, XP_012148926.1, XP_012148934.1, XP_012148935.1, XP_012148937.1, XP_012148938.1, XP_012148928.1, XP_012148927.1, XP_012148933.1, XP_012148929.1
OG0000099	XP_031832566.1, XP_031832565.1, XP_031832564.1	XP_003703781.1, XP_012141871.1, XP_012141870.1, XP_012141872.1, XP_012141873.1
OG0000101	XP_031826818.1, XP_031826826.1	XP_003704125.1
OG0000102	XP_031834225.1	XP_012141540.1
OG0000103	XP_031829080.1, XP_031829082.1, XP_031829084.1, XP_031829083.1	XP_012135254.1, XP_012135257.1, XP_012135256.1, XP_012135255.1, XP_012135258.1
OG0000104	XP_031847927.1	XP_012143625.1
OG0000104	XP_031847933.1	XP_012135505.1
OG0000104	XP_031847930.1	XP_003701076.1
OG0000104	XP_031847931.1	XP_012135503.1
OG0000105	XP_031843476.1, XP_031843474.1	XP_012136124.1
OG0000108	XP_031830649.1	XP_012143361.1, XP_012143353.1, XP_012143348.1, XP_012143367.1, XP_012143333.1, XP_003699743.1, XP_012143339.1
OG0000109	XP_031829945.1, XP_031829946.1	XP_003705113.1, XP_012144753.1, XP_012144754.1
OG0000110	XP_031837236.1	XP_012152676.1, XP_003708291.1
OG0000112	XP_031834896.1, XP_031834895.1, XP_031834894.1, XP_031834897.1, XP_031834893.1	XP_003700843.1
OG0000113	XP_031828530.1, XP_031828532.1, XP_031828526.1, XP_031828527.1, XP_031828528.1, XP_031828529.1, XP_031828531.1	XP_003707502.1
OG0000114	XP_031843162.1	XP_003705927.2
OG0000115	XP_031826731.1, XP_031826730.1, XP_031826733.1, XP_031826732.1	XP_012145495.1, XP_012145493.1, XP_012145496.1, XP_012145497.1, XP_012145494.1
OG0000116	XP_031848546.1	XP_012152486.1, XP_003708319.1
OG0000117	XP_031829383.1, XP_031829381.1, XP_031829385.1, XP_031829384.1, XP_031829386.1	XP_012142605.1
OG0000118	XP_031844651.1, XP_031844650.1	XP_003707712.2
OG0000119	XP_031840063.1, XP_031838029.1	XP_003704535.1, XP_012143272.1, XP_012143275.1, XP_012143274.1, XP_012143273.1, XP_012143269.1, XP_012143334.1, XP_003704521.1, XP_003704545.1, XP_003704542.1, XP_003704539.1, XP_003704544.2, XP_012143526.1, XP_003704543.1
OG0000120	XP_031840326.1, XP_031840327.1, XP_031840325.1, XP_031840314.1, XP_031840328.1	XP_012149882.1, XP_012149881.1, XP_003707222.2
OG0000121	XP_031846080.1, XP_031846079.1, XP_031846082.1, XP_031846084.1, XP_031846083.1, XP_031846086.1, XP_031846085.1	XP_003703934.2
OG0000122	XP_031844068.1, XP_031844071.1, XP_031844072.1, XP_031844073.1, XP_031844067.1, XP_031844069.1, XP_031844070.1, XP_031844065.1, XP_031844066.1, XP_031844063.1, XP_031844064.1	XP_003706376.1
OG0000124	XP_031842765.1, XP_031842584.1, XP_031842673.1, XP_031842494.1	XP_003701800.2
OG0000126	XP_031846455.1, XP_031846454.1, XP_031846456.1	XP_012137602.1, XP_012137603.1, XP_012137605.1, XP_012137606.1, XP_012137601.1, XP_003701985.1
OG0000127	XP_031849057.1	XP_003704159.1
OG0000128	XP_031825577.1, XP_031825582.1, XP_031825583.1, XP_031825584.1, XP_031825578.1, XP_031825580.1, XP_031825581.1, XP_031825579.1	XP_003707308.1, XP_012150148.1, XP_012150149.1, XP_012150150.1
OG0000129	XP_031828873.1, XP_031828866.1, XP_031828870.1, XP_031828869.1, XP_031828871.1, XP_031828872.1, XP_031828875.1, XP_031828876.1, XP_031828867.1	XP_012137132.1, XP_012137131.1, XP_012137130.1, XP_012137133.1
OG0000130	XP_031826392.1, XP_031826395.1, XP_031826396.1, XP_031826397.1, XP_031826394.1, XP_031826393.1	XP_012143873.1, XP_012143874.1, XP_012143872.1, XP_003704704.1
OG0000131	XP_031848825.1, XP_031848826.1, XP_031848827.1, XP_031848824.1, XP_031848823.1, XP_031848821.1, XP_031848822.1	XP_012147756.1
OG0000132	XP_031833493.1, XP_031833492.1, XP_031833489.1, XP_031833487.1, XP_031833491.1, XP_031833490.1, XP_031833488.1, XP_031833486.1, XP_031833494.1	XP_003707345.2
OG0000133	XP_031826346.1, XP_031830448.1	XP_012147785.1
OG0000134	XP_031848872.1, XP_031836795.1, XP_031836630.1, XP_031836796.1	XP_003705457.1, XP_003705455.2, XP_003705458.1, XP_003705446.1
OG0000135	XP_031826841.1, XP_031826842.1, XP_031826844.1, XP_031826843.1, XP_031826838.1, XP_031826839.1, XP_031826845.1	XP_012154330.1, XP_003700520.1
OG0000139	XP_031834348.1	XP_012139972.1, XP_012139971.1, XP_003703059.1
OG0000140	XP_031826910.1, XP_031826913.1, XP_031826911.1	XP_012154290.1, XP_012154284.1, XP_012154283.1, XP_012154287.1, XP_012154285.1, XP_012154289.1, XP_003700441.1, XP_012154288.1
OG0000141	XP_031844567.1	XP_012136934.1, XP_012136932.1, XP_003701648.1, XP_012136933.1, XP_012136935.1
OG0000142	XP_031839533.1, XP_031839532.1	XP_003704078.1
OG0000143	XP_031840625.1, XP_031840624.1, XP_031840623.1, XP_031840622.1	XP_003702087.1, XP_012138073.1, XP_012138075.1, XP_012138074.1
OG0000144	XP_031847157.1, XP_031847156.1, XP_031847155.1, XP_031847154.1	XP_012151683.1, XP_012151684.1, XP_012151682.1
OG0000145	XP_031850549.1, XP_031846102.1	XP_012145329.1
OG0000146	XP_031842445.1, XP_031842444.1, XP_031842442.1, XP_031842451.1, XP_031842450.1, XP_031842446.1, XP_031842452.1, XP_031842453.1, XP_031842454.1, XP_031842455.1, XP_031842456.1, XP_031842457.1, XP_031842443.1, XP_031842447.1, XP_031842448.1	XP_003708387.1, XP_012152922.1
OG0000147	XP_031839076.1	XP_012141572.1
OG0000148	XP_031841728.1	XP_003700170.2, XP_012149742.1, XP_012149750.1
OG0000149	XP_031825620.1, XP_031825618.1, XP_031825619.1	XP_003702628.1, XP_012139175.1
OG0000150	XP_031826632.1, XP_031826634.1, XP_031826630.1, XP_031826633.1	XP_012138047.1, XP_012138046.1, XP_003702066.1, XP_012138044.1, XP_012138043.1, XP_012138048.1
OG0000151	XP_031834986.1, XP_031834984.1, XP_031834995.1, XP_031834989.1, XP_031834994.1, XP_031834993.1, XP_031834987.1, XP_031834997.1, XP_031834985.1, XP_031834996.1, XP_031834988.1, XP_031834991.1, XP_031834992.1	XP_003699394.1
OG0000152	XP_031847213.1	XP_003700885.1, XP_012135227.1, XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1, XP_003700882.2, XP_003700841.2
OG0000153	XP_031847203.1	XP_012147493.1
OG0000155	XP_031828345.1	XP_012153031.1, XP_012153030.1, XP_003708480.1
OG0000156	XP_031839547.1	XP_012138202.1, XP_012138201.1, XP_012138199.1, XP_003702328.1, XP_012138200.1
OG0000157	XP_031828130.1	XP_012146210.1
OG0000158	XP_031842819.1, XP_031842816.1, XP_031842817.1, XP_031842818.1, XP_031842823.1, XP_031842824.1, XP_031842821.1, XP_031842822.1, XP_031842827.1, XP_031842828.1, XP_031842825.1, XP_031842826.1	XP_012141367.1, XP_003699623.1
OG0000159	XP_031830558.1, XP_031830557.1	XP_012148494.1, XP_003706704.1, XP_012148489.1, XP_012148490.1, XP_012148491.1, XP_012148493.1
OG0000160	XP_031848508.1	XP_003701781.1, XP_012137702.1
OG0000161	XP_031827467.1, XP_031827469.1, XP_031827464.1, XP_031827465.1, XP_031827463.1, XP_031827468.1	XP_003700698.1, XP_012134590.1, XP_012134591.1
OG0000162	XP_031840589.1, XP_031840588.1, XP_031840587.1	XP_012153110.1, XP_012153115.1, XP_012153112.1, XP_012153111.1, XP_012153114.1, XP_012153113.1, XP_003708460.1
OG0000163	XP_031848261.1, XP_031848263.1, XP_031848262.1	XP_012149369.1, XP_012149368.1
OG0000164	XP_031843950.1, XP_031843942.1, XP_031843962.1	XP_003701347.1, XP_012136090.1, XP_012136091.1, XP_012136092.1
OG0000165	XP_031843663.1, XP_031843664.1, XP_031843666.1, XP_031843667.1, XP_031843668.1, XP_031843669.1, XP_031843670.1, XP_031843671.1, XP_031843665.1	XP_012149513.1, XP_012149516.1, XP_012149517.1, XP_012149515.1, XP_012149514.1, XP_003707105.1
OG0000166	XP_031826538.1	XP_012137989.1, XP_012137994.1, XP_012137995.1, XP_012137993.1, XP_012137992.1, XP_012137991.1, XP_012137990.1, XP_012137988.1, XP_012137986.1, XP_012137996.1
OG0000167	XP_031847181.1, XP_031847177.1, XP_031847178.1, XP_031847176.1, XP_031847173.1, XP_031847174.1, XP_031847171.1, XP_031847172.1, XP_031847170.1, XP_031847182.1, XP_031847179.1, XP_031847180.1	XP_003703821.1
OG0000168	XP_031833469.1	XP_003705265.2
OG0000168	XP_031833463.1	XP_012145089.1, XP_012145087.1, XP_012145085.1
OG0000168	XP_031833468.1	XP_012145088.1
OG0000169	XP_031842422.1, XP_031842364.1, XP_031842384.1, XP_031842395.1, XP_031842406.1, XP_031842344.1, XP_031842328.1, XP_031842335.1, XP_031842374.1, XP_031842355.1, XP_031842413.1	XP_012150893.1, XP_003700128.1
OG0000170	XP_031846753.1	XP_012143706.1, XP_012143704.1, XP_012143705.1, XP_012143702.1, XP_012143703.1, XP_012143700.1, XP_012143701.1, XP_003704643.1
OG0000172	XP_031845337.1	XP_003706217.1
OG0000172	XP_031845460.1	XP_012147418.1
OG0000172	XP_031832931.1	XP_003702759.1
OG0000173	XP_031846922.1, XP_031846915.1	XP_012151659.1, XP_012151663.1, XP_012151656.1, XP_012151664.1
OG0000174	XP_031846059.1, XP_031846055.1, XP_031846054.1, XP_031846053.1, XP_031846060.1, XP_031846061.1, XP_031846057.1, XP_031846056.1	XP_012139949.1, XP_003703046.1
OG0000175	XP_031849329.1, XP_031849330.1, XP_031849331.1, XP_031849324.1, XP_031849325.1, XP_031849326.1, XP_031849327.1, XP_031849332.1, XP_031849333.1, XP_031849328.1	XP_003699277.1, XP_012134863.1, XP_012134848.1, XP_012134881.1, XP_012134890.1, XP_012134857.1, XP_012134872.1, XP_012134840.1
OG0000176	XP_031840772.1	XP_012146686.1
OG0000177	XP_031840747.1, XP_031840748.1	XP_003703976.1
OG0000178	XP_031842331.1	XP_003703956.1
OG0000179	XP_031827770.1, XP_031827777.1, XP_031827778.1, XP_031827775.1, XP_031827776.1, XP_031827773.1, XP_031827774.1, XP_031827771.1, XP_031827779.1, XP_031827780.1, XP_031827772.1, XP_031827784.1, XP_031827783.1, XP_031827781.1	XP_003704233.1
OG0000180	XP_031846259.1, XP_031846257.1, XP_031846251.1, XP_031846252.1, XP_031846249.1, XP_031846250.1, XP_031846255.1, XP_031846256.1, XP_031846253.1, XP_031846254.1	XP_003701026.1
OG0000181	XP_031829459.1	XP_012142584.1, XP_012142583.1, XP_012142582.1, XP_012142581.1, XP_012142588.1, XP_012142587.1, XP_012142586.1, XP_003704153.1
OG0000182	XP_031845190.1, XP_031845201.1, XP_031845183.1, XP_031845175.1, XP_031845164.1	XP_012144121.1, XP_012144125.1, XP_003704822.1, XP_012144124.1
OG0000183	XP_031841922.1	XP_012147120.1, XP_012147119.1, XP_012147118.1
OG0000184	XP_031843826.1	XP_003706966.1, XP_012148848.1, XP_012148849.1, XP_012148852.1, XP_012148850.1
OG0000185	XP_031839046.1, XP_031839047.1, XP_031839045.1, XP_031839042.1, XP_031839049.1, XP_031839050.1, XP_031839051.1, XP_031839048.1	XP_003706495.1, XP_012148048.1, XP_012148045.1, XP_012148046.1, XP_012148047.1
OG0000186	XP_031846589.1	XP_012144798.1, XP_012144791.1
OG0000187	XP_031840643.1, XP_031840642.1, XP_031840644.1	XP_012142303.1
OG0000188	XP_031834940.1, XP_031834931.1, XP_031834951.1, XP_031834920.1, XP_031834961.1, XP_031834990.1, XP_031834980.1, XP_031834971.1	XP_003700862.1, XP_012135174.1, XP_012135172.1, XP_012135173.1
OG0000189	XP_031833718.1, XP_031833708.1, XP_031833692.1, XP_031833665.1, XP_031833683.1, XP_031833674.1, XP_031833699.1	XP_012136525.1, XP_012136526.1, XP_003701555.1
OG0000190	XP_031839803.1, XP_031839804.1, XP_031839801.1	XP_012138374.1, XP_012138376.1, XP_012138375.1
OG0000191	XP_031838015.1, XP_031838016.1, XP_031838012.1, XP_031838013.1	XP_003704574.1, XP_012143543.1
OG0000192	XP_031844525.1, XP_031844526.1, XP_031844527.1, XP_031844523.1, XP_031844522.1, XP_031844524.1	XP_012142257.1, XP_003703969.1, XP_012142260.1, XP_012142258.1, XP_012142256.1
OG0000193	XP_031840422.1, XP_031840425.1, XP_031840424.1, XP_031840419.1, XP_031840420.1, XP_031840421.1, XP_031840423.1, XP_031840426.1	XP_012138083.1, XP_003702085.1, XP_012138082.1, XP_012138081.1
