Orthogroup	Nomia_melanderi	Eufriesea_mexicana
OG0000049	XP_031842058.1, XP_031837430.1	XP_017761874.1, XP_017761872.1, XP_017761873.1
OG0000050	XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1, XP_031829734.1, XP_031829739.1	XP_017764208.1, XP_017764210.1, XP_017764209.1
OG0000051	XP_031827529.1, XP_031827528.1	XP_017755704.1
OG0000052	XP_031839037.1	XP_017767765.1
OG0000053	XP_031848709.1, XP_031849052.1	XP_017767300.1, XP_017767299.1
OG0000054	XP_031839027.1	XP_017752159.1, XP_017752160.1, XP_017752157.1, XP_017752163.1, XP_017752162.1, XP_017752161.1, XP_017767778.1
OG0000055	XP_031844556.1, XP_031844582.1, XP_031844537.1, XP_031844547.1, XP_031844574.1, XP_031844509.1, XP_031844479.1, XP_031844439.1, XP_031844458.1, XP_031844469.1, XP_031844518.1, XP_031844565.1, XP_031844499.1, XP_031844448.1, XP_031844489.1, XP_031844528.1	XP_017755787.1, XP_017755788.1
OG0000056	XP_031832593.1, XP_031832592.1, XP_031832594.1	XP_017765580.1, XP_017759914.1, XP_017759915.1, XP_017759916.1
OG0000057	XP_031830190.1, XP_031844104.1	XP_017759424.1
OG0000059	XP_031839329.1	XP_017764543.1
OG0000059	XP_031848785.1, XP_031848784.1, XP_031839487.1, XP_031839374.1	XP_017754143.1
OG0000060	XP_031831659.1, XP_031831658.1, XP_031831662.1, XP_031831660.1, XP_031831661.1	XP_017755619.1
OG0000061	XP_031839173.1	XP_017759422.1
OG0000063	XP_031844815.1	XP_017761192.1
OG0000063	XP_031844820.1, XP_031844747.1	XP_017761194.1
OG0000064	XP_031842989.1, XP_031842986.1	XP_017765235.1
OG0000064	XP_031848143.1	XP_017766133.1
OG0000065	XP_031850218.1, XP_031850220.1, XP_031850222.1, XP_031850221.1, XP_031850223.1	XP_017763404.1, XP_017763403.1
OG0000066	XP_031840718.1, XP_031840717.1, XP_031840716.1, XP_031840715.1	XP_017760463.1, XP_017760479.1, XP_017760437.1, XP_017760456.1, XP_017760471.1, XP_017760487.1, XP_017760447.1, XP_017760493.1
OG0000067	XP_031848727.1, XP_031848726.1, XP_031848722.1, XP_031848723.1, XP_031848720.1, XP_031848721.1, XP_031848719.1, XP_031848724.1	XP_017767297.1, XP_017767298.1
OG0000068	XP_031834884.1, XP_031834534.1, XP_031834533.1, XP_031834882.1, XP_031834883.1, XP_031834885.1, XP_031834881.1, XP_031834879.1, XP_031834538.1, XP_031834536.1, XP_031834824.1	XP_017759708.1, XP_017759706.1, XP_017759707.1, XP_017759704.1, XP_017759700.1
OG0000069	XP_031837357.1, XP_031837367.1, XP_031837312.1, XP_031837319.1, XP_031837284.1, XP_031837302.1, XP_031837338.1, XP_031837349.1, XP_031837294.1, XP_031837276.1, XP_031837329.1	XP_017752578.1, XP_017752577.1
OG0000070	XP_031847208.1	XP_017760341.1, XP_017758953.1, XP_017758954.1
OG0000071	XP_031841059.1, XP_031841084.1, XP_031841094.1, XP_031841068.1, XP_031841103.1, XP_031841113.1, XP_031841076.1, XP_031841042.1, XP_031841121.1, XP_031841129.1, XP_031841052.1	XP_017755804.1
OG0000072	XP_031844649.1, XP_031844644.1, XP_031844648.1, XP_031844646.1, XP_031844645.1	XP_017755418.1, XP_017755417.1, XP_017755416.1, XP_017755419.1
OG0000073	XP_031826266.1, XP_031826326.1	XP_017761423.1
OG0000076	XP_031837857.1, XP_031837858.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837852.1	XP_017756858.1
OG0000077	XP_031834869.1	XP_017765695.1, XP_017765694.1
OG0000078	XP_031836346.1, XP_031829498.1, XP_031836078.1	XP_017765599.1, XP_017757743.1, XP_017757733.1
OG0000079	XP_031843214.1, XP_031843210.1, XP_031843211.1, XP_031843208.1, XP_031843218.1, XP_031843209.1, XP_031843219.1, XP_031843216.1, XP_031843217.1, XP_031843220.1, XP_031843215.1, XP_031843213.1	XP_017762072.1
OG0000080	XP_031826524.1	XP_017753139.1
OG0000081	XP_031835342.1, XP_031835341.1, XP_031835340.1, XP_031835338.1, XP_031835337.1, XP_031835336.1, XP_031835335.1, XP_031835345.1, XP_031835344.1, XP_031835357.1, XP_031835353.1, XP_031835347.1, XP_031835333.1, XP_031835334.1, XP_031835355.1, XP_031835356.1, XP_031835346.1, XP_031835354.1, XP_031835351.1, XP_031835352.1, XP_031835348.1, XP_031835349.1, XP_031835331.1, XP_031835332.1, XP_031835343.1, XP_031835358.1	XP_017762308.1, XP_017762307.1
OG0000082	XP_031847102.1, XP_031847099.1, XP_031847100.1, XP_031847101.1	XP_017763260.1
OG0000083	XP_031844501.1, XP_031844500.1, XP_031844495.1	XP_017752414.1, XP_017752413.1
OG0000085	XP_031842867.1, XP_031842849.1, XP_031842898.1, XP_031842810.1, XP_031842875.1, XP_031842842.1, XP_031842858.1, XP_031842882.1, XP_031842831.1, XP_031842890.1, XP_031842820.1	XP_017758814.1
OG0000086	XP_031843003.1, XP_031842999.1, XP_031843000.1, XP_031843002.1, XP_031843001.1, XP_031843004.1	XP_017765267.1
OG0000087	XP_031835468.1	XP_017761493.1
OG0000088	XP_031834789.1, XP_031834782.1, XP_031834779.1, XP_031834778.1, XP_031834773.1	XP_017765680.1
OG0000090	XP_031845031.1	XP_017757147.1
OG0000091	XP_031831260.1, XP_031831262.1, XP_031831258.1, XP_031831263.1, XP_031831257.1, XP_031831259.1	XP_017757596.1, XP_017757597.1, XP_017757598.1
OG0000092	XP_031836981.1	XP_017762078.1
OG0000093	XP_031835519.1, XP_031835518.1, XP_031835523.1, XP_031835521.1, XP_031835520.1, XP_031835515.1, XP_031835526.1, XP_031835517.1, XP_031835516.1, XP_031835524.1, XP_031835522.1, XP_031835527.1	XP_017761469.1, XP_017761468.1
OG0000094	XP_031831880.1, XP_031831898.1, XP_031831908.1, XP_031831918.1, XP_031831890.1	XP_017756314.1, XP_017756313.1, XP_017756312.1
OG0000095	XP_031840582.1, XP_031840581.1, XP_031840580.1, XP_031840577.1, XP_031840579.1	XP_017761268.1
OG0000096	XP_031840722.1	XP_017755355.1
OG0000097	XP_031838150.1, XP_031838151.1, XP_031838152.1	XP_017756661.1, XP_017756664.1, XP_017756662.1, XP_017756663.1
OG0000098	XP_031830530.1, XP_031830534.1, XP_031830533.1, XP_031830532.1, XP_031830531.1, XP_031830529.1	XP_017758002.1
OG0000099	XP_031832566.1, XP_031832565.1, XP_031832564.1	XP_017753055.1, XP_017753057.1, XP_017753056.1
OG0000101	XP_031826818.1, XP_031826826.1	XP_017762179.1
OG0000102	XP_031834225.1	XP_017761688.1, XP_017761692.1, XP_017761690.1, XP_017761691.1
OG0000103	XP_031829080.1, XP_031829082.1, XP_031829084.1, XP_031829083.1	XP_017754876.1
OG0000104	XP_031847927.1	XP_017767455.1
OG0000105	XP_031843476.1, XP_031843474.1	XP_017752876.1
OG0000108	XP_031830649.1	XP_017758536.1, XP_017758535.1, XP_017758538.1, XP_017758537.1, XP_017758534.1
OG0000109	XP_031829945.1, XP_031829946.1	XP_017763632.1
OG0000110	XP_031837236.1	XP_017759339.1
OG0000112	XP_031834896.1, XP_031834895.1, XP_031834894.1, XP_031834897.1, XP_031834893.1	XP_017759703.1, XP_017759702.1
OG0000113	XP_031828530.1, XP_031828532.1, XP_031828526.1, XP_031828527.1, XP_031828528.1, XP_031828529.1, XP_031828531.1	XP_017761057.1
OG0000114	XP_031843162.1	XP_017762074.1, XP_017762076.1, XP_017762077.1
OG0000115	XP_031826731.1, XP_031826730.1, XP_031826733.1, XP_031826732.1	XP_017759960.1, XP_017759969.1
OG0000116	XP_031848546.1	XP_017759381.1, XP_017759382.1, XP_017759380.1, XP_017759385.1
OG0000117	XP_031829383.1, XP_031829381.1, XP_031829385.1, XP_031829384.1, XP_031829386.1	XP_017757675.1, XP_017757673.1, XP_017757674.1
OG0000118	XP_031844651.1, XP_031844650.1	XP_017755441.1, XP_017755443.1, XP_017755442.1, XP_017755445.1, XP_017755444.1, XP_017755448.1, XP_017755446.1
OG0000119	XP_031840063.1, XP_031838029.1	XP_017757875.1
OG0000120	XP_031840326.1, XP_031840327.1, XP_031840325.1, XP_031840314.1, XP_031840328.1	XP_017762310.1, XP_017765591.1, XP_017762297.1, XP_017753025.1
OG0000121	XP_031846080.1, XP_031846079.1, XP_031846082.1, XP_031846084.1, XP_031846083.1, XP_031846086.1, XP_031846085.1	XP_017758615.1, XP_017758616.1, XP_017758614.1
OG0000122	XP_031844068.1, XP_031844071.1, XP_031844072.1, XP_031844073.1, XP_031844067.1, XP_031844069.1, XP_031844070.1, XP_031844065.1, XP_031844066.1, XP_031844063.1, XP_031844064.1	XP_017759065.1, XP_017759064.1
OG0000124	XP_031842765.1, XP_031842584.1, XP_031842673.1, XP_031842494.1	XP_017765196.1, XP_017765195.1, XP_017765197.1, XP_017765198.1
OG0000126	XP_031846455.1, XP_031846454.1, XP_031846456.1	XP_017755102.1
OG0000127	XP_031844741.1	XP_017766918.1
OG0000127	XP_031849057.1	XP_017766920.1, XP_017766930.1, XP_017766937.1, XP_017766938.1
OG0000128	XP_031825577.1, XP_031825582.1, XP_031825583.1, XP_031825584.1, XP_031825578.1, XP_031825580.1, XP_031825581.1, XP_031825579.1	XP_017753707.1
OG0000129	XP_031828873.1, XP_031828866.1, XP_031828870.1, XP_031828869.1, XP_031828871.1, XP_031828872.1, XP_031828875.1, XP_031828876.1, XP_031828867.1	XP_017759636.1
OG0000130	XP_031826392.1, XP_031826395.1, XP_031826396.1, XP_031826397.1, XP_031826394.1, XP_031826393.1	XP_017759671.1
OG0000131	XP_031848825.1, XP_031848826.1, XP_031848827.1, XP_031848824.1, XP_031848823.1, XP_031848821.1, XP_031848822.1	XP_017760921.1, XP_017760917.1, XP_017760918.1, XP_017760919.1
OG0000132	XP_031833493.1, XP_031833492.1, XP_031833489.1, XP_031833487.1, XP_031833491.1, XP_031833490.1, XP_031833488.1, XP_031833486.1, XP_031833494.1	XP_017757477.1
OG0000135	XP_031826841.1, XP_031826842.1, XP_031826844.1, XP_031826843.1, XP_031826838.1, XP_031826839.1, XP_031826845.1	XP_017763314.1, XP_017763313.1, XP_017763312.1, XP_017763311.1, XP_017763310.1
OG0000136	XP_031842129.1	XP_017762446.1, XP_017756490.1, XP_017765529.1
OG0000139	XP_031834348.1	XP_017767595.1, XP_017767594.1
OG0000140	XP_031826910.1, XP_031826913.1, XP_031826911.1	XP_017753603.1
OG0000141	XP_031844567.1	XP_017766587.1, XP_017766604.1, XP_017766595.1
OG0000142	XP_031839533.1, XP_031839532.1	XP_017766127.1, XP_017766135.1, XP_017756789.1, XP_017756788.1
OG0000143	XP_031840625.1	XP_017761464.1, XP_017761449.1, XP_017761457.1
OG0000144	XP_031847157.1, XP_031847156.1, XP_031847155.1, XP_031847154.1	XP_017754095.1, XP_017754093.1, XP_017754096.1, XP_017754097.1
OG0000146	XP_031842445.1, XP_031842444.1, XP_031842442.1, XP_031842451.1, XP_031842450.1, XP_031842446.1, XP_031842452.1, XP_031842453.1, XP_031842454.1, XP_031842455.1, XP_031842456.1, XP_031842457.1, XP_031842443.1, XP_031842447.1, XP_031842448.1	XP_017759692.1
OG0000147	XP_031839076.1	XP_017753919.1
OG0000148	XP_031841728.1	XP_017761808.1, XP_017761809.1
OG0000149	XP_031825620.1, XP_031825618.1, XP_031825619.1	XP_017757484.1, XP_017757483.1, XP_017757482.1
OG0000150	XP_031826632.1, XP_031826634.1, XP_031826630.1, XP_031826633.1	XP_017764388.1
OG0000151	XP_031834986.1, XP_031834984.1, XP_031834995.1, XP_031834989.1, XP_031834994.1, XP_031834993.1, XP_031834987.1, XP_031834997.1, XP_031834985.1, XP_031834996.1, XP_031834988.1, XP_031834991.1, XP_031834992.1	XP_017756441.1
OG0000152	XP_031847213.1	XP_017754464.1
OG0000153	XP_031847203.1	XP_017764516.1, XP_017759423.1
OG0000155	XP_031828345.1	XP_017752598.1, XP_017752600.1, XP_017752604.1, XP_017752603.1, XP_017752602.1, XP_017752601.1, XP_017752605.1, XP_017752599.1, XP_017752596.1, XP_017752595.1
OG0000156	XP_031839547.1	XP_017765698.1, XP_017765697.1, XP_017765696.1
OG0000157	XP_031828130.1	XP_017753462.1, XP_017753460.1
OG0000158	XP_031842819.1, XP_031842816.1, XP_031842817.1, XP_031842818.1, XP_031842823.1, XP_031842824.1, XP_031842821.1, XP_031842822.1, XP_031842827.1, XP_031842828.1, XP_031842825.1, XP_031842826.1	XP_017752864.1
OG0000159	XP_031830558.1, XP_031830557.1	XP_017757286.1
OG0000160	XP_031848508.1	XP_017762808.1, XP_017762798.1
OG0000160	XP_031838513.1, XP_031838509.1, XP_031838516.1	XP_017763918.1, XP_017763923.1
OG0000161	XP_031827467.1, XP_031827469.1, XP_031827464.1, XP_031827465.1, XP_031827463.1, XP_031827468.1	XP_017752918.1, XP_017752916.1, XP_017752917.1, XP_017752915.1
OG0000162	XP_031840589.1, XP_031840588.1, XP_031840587.1	XP_017754406.1
OG0000163	XP_031848261.1, XP_031848263.1, XP_031848262.1	XP_017765374.1, XP_017765375.1, XP_017765376.1
OG0000164	XP_031843950.1, XP_031843942.1, XP_031843962.1	XP_017764057.1
OG0000165	XP_031843663.1, XP_031843664.1, XP_031843666.1, XP_031843667.1, XP_031843668.1, XP_031843669.1, XP_031843670.1, XP_031843671.1, XP_031843665.1	XP_017762757.1
OG0000166	XP_031826538.1	XP_017762820.1, XP_017762821.1, XP_017762819.1
OG0000167	XP_031847181.1, XP_031847177.1, XP_031847178.1, XP_031847176.1, XP_031847173.1, XP_031847174.1, XP_031847171.1, XP_031847172.1, XP_031847170.1, XP_031847182.1, XP_031847179.1, XP_031847180.1	XP_017758010.1, XP_017758016.1, XP_017758017.1, XP_017758018.1, XP_017758011.1, XP_017758012.1, XP_017758013.1, XP_017758009.1
OG0000168	XP_031833463.1	XP_017757433.1
OG0000168	XP_031833468.1	XP_017757434.1
OG0000169	XP_031842422.1, XP_031842364.1, XP_031842384.1, XP_031842395.1, XP_031842406.1, XP_031842344.1, XP_031842328.1, XP_031842335.1, XP_031842374.1, XP_031842355.1, XP_031842413.1	XP_017765669.1
OG0000170	XP_031846753.1	XP_017763761.1
OG0000172	XP_031845337.1	XP_017757145.1
OG0000172	XP_031845460.1	XP_017757194.1
OG0000172	XP_031832931.1	XP_017767144.1
OG0000173	XP_031846922.1, XP_031846915.1	XP_017766040.1, XP_017766039.1
OG0000174	XP_031846059.1, XP_031846055.1, XP_031846054.1, XP_031846053.1, XP_031846060.1, XP_031846061.1, XP_031846057.1, XP_031846056.1	XP_017758626.1, XP_017758628.1, XP_017758627.1
OG0000175	XP_031849329.1, XP_031849330.1, XP_031849331.1, XP_031849324.1, XP_031849325.1, XP_031849326.1, XP_031849327.1, XP_031849332.1, XP_031849333.1, XP_031849328.1	XP_017760787.1
OG0000176	XP_031840772.1	XP_017765023.1, XP_017765019.1
OG0000177	XP_031840749.1	XP_017765621.1, XP_017766192.1, XP_017766182.1, XP_017765612.1, XP_017753075.1
OG0000177	XP_031840747.1, XP_031840748.1	XP_017766190.1
OG0000178	XP_031842331.1, XP_031842255.1	XP_017757043.1
OG0000179	XP_031827770.1, XP_031827777.1, XP_031827778.1, XP_031827775.1, XP_031827776.1, XP_031827773.1, XP_031827774.1, XP_031827771.1, XP_031827779.1, XP_031827780.1, XP_031827772.1, XP_031827784.1, XP_031827783.1, XP_031827781.1	XP_017766856.1
OG0000180	XP_031846259.1, XP_031846257.1, XP_031846251.1, XP_031846252.1, XP_031846249.1, XP_031846250.1, XP_031846255.1, XP_031846256.1, XP_031846253.1, XP_031846254.1	XP_017758446.1
OG0000181	XP_031829459.1	XP_017762004.1, XP_017762005.1
OG0000182	XP_031845190.1, XP_031845201.1, XP_031845183.1, XP_031845175.1, XP_031845164.1	XP_017755798.1
OG0000183	XP_031841922.1	XP_017761880.1, XP_017761881.1, XP_017761882.1
OG0000184	XP_031843826.1	XP_017766254.1, XP_017766253.1
OG0000185	XP_031839046.1, XP_031839047.1, XP_031839045.1, XP_031839042.1, XP_031839049.1, XP_031839050.1, XP_031839051.1, XP_031839048.1	XP_017760240.1, XP_017760239.1
OG0000186	XP_031846579.1, XP_031846573.1, XP_031846571.1	XP_017763651.1, XP_017763644.1
OG0000187	XP_031840643.1, XP_031840642.1, XP_031840644.1	XP_017753953.1, XP_017753952.1, XP_017756071.1, XP_017756070.1, XP_017756072.1, XP_017753957.1
OG0000188	XP_031834940.1, XP_031834931.1, XP_031834951.1, XP_031834920.1, XP_031834961.1, XP_031834990.1, XP_031834980.1, XP_031834971.1	XP_017765200.1
OG0000189	XP_031833718.1, XP_031833708.1, XP_031833692.1, XP_031833665.1, XP_031833683.1, XP_031833674.1, XP_031833699.1	XP_017754652.1, XP_017754659.1, XP_017754667.1
OG0000190	XP_031839803.1, XP_031839804.1, XP_031839801.1	XP_017766410.1, XP_017766409.1, XP_017766414.1, XP_017766415.1, XP_017766412.1, XP_017766413.1
OG0000191	XP_031838015.1, XP_031838016.1, XP_031838012.1, XP_031838013.1	XP_017753554.1
OG0000192	XP_031844525.1, XP_031844526.1, XP_031844527.1, XP_031844523.1, XP_031844522.1, XP_031844524.1	XP_017754347.1
OG0000193	XP_031840422.1, XP_031840425.1, XP_031840424.1, XP_031840419.1, XP_031840420.1, XP_031840421.1, XP_031840423.1, XP_031840426.1	XP_017761219.1
OG0000194	XP_031849209.1, XP_031849210.1, XP_031849207.1, XP_031849208.1	XP_017760945.1, XP_017760944.1
OG0000195	XP_031831492.1, XP_031831488.1, XP_031831489.1, XP_031831490.1	XP_017755677.1, XP_017755678.1, XP_017755679.1
OG0000197	XP_031848020.1	XP_017757949.1
OG0000198	XP_031833782.1	XP_017765770.1, XP_017765759.1
OG0000200	XP_031837412.1	XP_017753509.1, XP_017753508.1
OG0000201	XP_031838019.1	XP_017755856.1, XP_017755853.1, XP_017755854.1, XP_017755851.1, XP_017755852.1, XP_017755858.1, XP_017755857.1
OG0000202	XP_031849419.1	XP_017760841.1
OG0000203	XP_031848090.1, XP_031848091.1	XP_017761525.1, XP_017761524.1, XP_017761523.1
OG0000204	XP_031836865.1, XP_031836867.1, XP_031836864.1	XP_017759506.1, XP_017759507.1
OG0000205	XP_031831465.1	XP_017755660.1
OG0000206	XP_031849567.1, XP_031849568.1, XP_031849564.1, XP_031849566.1	XP_017757359.1
OG0000207	XP_031848677.1	XP_017762624.1
OG0000208	XP_031829984.1, XP_031829976.1	XP_017764212.1, XP_017764213.1, XP_017764211.1
OG0000209	XP_031838107.1, XP_031838108.1	XP_017755037.1, XP_017755038.1
OG0000210	XP_031842886.1	XP_017765051.1
OG0000211	XP_031829902.1, XP_031829901.1	XP_017761260.1, XP_017761259.1
OG0000212	XP_031835362.1, XP_031835361.1, XP_031835360.1	XP_017760364.1, XP_017760363.1, XP_017760362.1
OG0000213	XP_031839444.1	XP_017765989.1, XP_017765987.1
OG0000214	XP_031842082.1, XP_031842079.1, XP_031842078.1, XP_031842077.1, XP_031842081.1, XP_031842083.1	XP_017765450.1, XP_017765451.1
OG0000215	XP_031850345.1, XP_031850348.1, XP_031850346.1, XP_031850349.1	XP_017762915.1
OG0000216	XP_031838620.1	XP_017766078.1
OG0000217	XP_031838211.1	XP_017763974.1, XP_017764053.1
OG0000218	XP_031842770.1, XP_031842761.1, XP_031842764.1, XP_031842767.1, XP_031842763.1, XP_031842762.1, XP_031842768.1	XP_017765029.1
OG0000219	XP_031831634.1, XP_031831636.1, XP_031831637.1, XP_031831639.1, XP_031831635.1	XP_017760481.1
OG0000220	XP_031828555.1	XP_017764513.1
OG0000221	XP_031832861.1, XP_031832863.1, XP_031832846.1, XP_031832848.1, XP_031832850.1, XP_031832849.1, XP_031832862.1, XP_031832854.1, XP_031832851.1, XP_031832852.1, XP_031832857.1, XP_031832858.1, XP_031832855.1, XP_031832856.1, XP_031832859.1, XP_031832853.1, XP_031832860.1	XP_017759937.1
OG0000222	XP_031830443.1	XP_017762934.1
