Orthogroup	Nomia_melanderi	Bombus_terrestris
OG0000042	XP_031848630.1, XP_031848628.1, XP_031848631.1, XP_031848621.1	XP_020720348.1, XP_020720337.1
OG0000043	XP_031837423.1, XP_031837422.1, XP_031837424.1, XP_031837418.1, XP_031837419.1, XP_031837415.1, XP_031837416.1, XP_031837417.1, XP_031837420.1	XP_003393409.1
OG0000044	XP_031843159.1, XP_031843160.1, XP_031843157.1, XP_031843158.1, XP_031843156.1, XP_031843147.1, XP_031843154.1, XP_031843149.1, XP_031843148.1, XP_031843151.1, XP_031843150.1, XP_031843153.1, XP_031843152.1	XP_012172566.2
OG0000046	XP_031834877.1	XP_003393999.1, XP_003393907.1, XP_020722356.1, XP_020723889.1, XP_012175705.1, XP_003394000.1, XP_012175707.1, XP_003393910.1, XP_003393913.1, XP_012175708.2
OG0000047	XP_031826113.1	XP_003396338.1
OG0000048	XP_031848752.1, XP_031848787.1, XP_031841174.1, XP_031848702.1, XP_031843838.1, XP_031838604.1, XP_031828601.1, XP_031836614.1, XP_031842050.1, XP_031847656.1, XP_031836582.1, XP_031827996.1	XP_012171815.1
OG0000049	XP_031842058.1, XP_031837430.1	XP_012166402.1, XP_003393343.1, XP_003393341.1, XP_003393340.1, XP_012166351.1
OG0000050	XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1, XP_031829734.1, XP_031829739.1	XP_003403152.1, XP_020723773.1, XP_003403151.1, XP_012175160.1, XP_012175161.1, XP_012175162.1
OG0000051	XP_031827529.1, XP_031827528.1	XP_003394733.1, XP_020721699.1, XP_020723568.1, XP_020723847.1, XP_003403375.2, XP_020723961.1, XP_003403427.2, XP_012175487.2, XP_012175505.2, XP_012175211.1, XP_012175212.1, XP_012174533.1, XP_012173842.1, XP_003402269.1, XP_012175213.2, XP_003402802.1, XP_020723849.1, XP_012174003.2, XP_020723970.1, XP_012175509.2, XP_020723511.1, XP_020723935.1, XP_020723892.1
OG0000052	XP_031839037.1	XP_003402888.1
OG0000053	XP_031848709.1	XP_012174271.2
OG0000053	XP_031849052.1	XP_020723867.1, XP_012175325.1, XP_020723893.1
OG0000054	XP_031839027.1	XP_003402889.2
OG0000055	XP_031844556.1, XP_031844582.1, XP_031844537.1, XP_031844547.1, XP_031844574.1, XP_031844509.1, XP_031844479.1, XP_031844439.1, XP_031844458.1, XP_031844469.1, XP_031844518.1, XP_031844565.1, XP_031844499.1, XP_031844448.1, XP_031844489.1, XP_031844528.1	XP_003397755.1, XP_020720316.1, XP_020720318.1, XP_012167100.1, XP_012167097.1, XP_012167099.1, XP_012167098.1
OG0000056	XP_031832593.1, XP_031832592.1, XP_031832594.1	XP_012171554.1, XP_012171555.1, XP_003400605.1, XP_012171557.1, XP_012171558.1, XP_003400606.1
OG0000058	XP_031834873.1, XP_031834871.1, XP_031834537.1, XP_031834872.1	XP_003393905.1, XP_020723934.1
OG0000059	XP_031839329.1	XP_012175524.1
OG0000059	XP_031848785.1, XP_031848784.1, XP_031839487.1, XP_031839374.1	XP_003393114.1
OG0000060	XP_031831659.1, XP_031831658.1, XP_031831662.1, XP_031831660.1, XP_031831661.1	XP_003395309.1
OG0000061	XP_031839173.1	XP_020723958.1
OG0000063	XP_031844815.1	XP_012172397.1
OG0000063	XP_031849986.1	XP_012175443.1
OG0000063	XP_031844820.1, XP_031844747.1	XP_003401252.1
OG0000064	XP_031842989.1, XP_031842986.1	XP_003401157.1
OG0000064	XP_031848143.1	XP_003396169.1
OG0000064	XP_031835042.1	XP_003399700.1
OG0000065	XP_031850218.1, XP_031850220.1, XP_031850222.1, XP_031850221.1, XP_031850223.1	XP_003399390.1, XP_012169772.1, XP_012169774.1, XP_012169773.1
OG0000066	XP_031840718.1, XP_031840717.1, XP_031840716.1, XP_031840715.1	XP_012176180.1, XP_012176179.1, XP_012176178.1, XP_012176177.1, XP_003394336.1, XP_003394335.1, XP_020724195.1, XP_020724193.1, XP_020724194.1, XP_012176181.1
OG0000067	XP_031848727.1, XP_031848726.1, XP_031848722.1, XP_031848723.1, XP_031848720.1, XP_031848721.1, XP_031848719.1, XP_031848724.1	XP_020719485.1, XP_020719487.1, XP_020719486.1, XP_003396344.1, XP_012165070.1, XP_012165068.1
OG0000068	XP_031834884.1, XP_031834534.1, XP_031834533.1, XP_031834882.1, XP_031834883.1, XP_031834885.1, XP_031834881.1, XP_031834879.1, XP_031834538.1, XP_031834536.1, XP_031834824.1	XP_012175711.1, XP_003393920.1, XP_003394006.1, XP_003403429.1, XP_003393921.1
OG0000069	XP_031837357.1, XP_031837367.1, XP_031837312.1, XP_031837319.1, XP_031837284.1, XP_031837302.1, XP_031837338.1, XP_031837349.1, XP_031837294.1, XP_031837276.1, XP_031837329.1	XP_003400832.1, XP_012171883.1, XP_012171882.1
OG0000070	XP_031847208.1	XP_003393731.1
OG0000071	XP_031841059.1, XP_031841084.1, XP_031841094.1, XP_031841068.1, XP_031841103.1, XP_031841113.1, XP_031841076.1, XP_031841042.1, XP_031841121.1, XP_031841129.1, XP_031841052.1	XP_003398039.1
OG0000072	XP_031844649.1, XP_031844644.1, XP_031844648.1, XP_031844646.1, XP_031844645.1	XP_003394637.1
OG0000073	XP_031826266.1, XP_031826326.1	XP_020721682.1, XP_012170498.1, XP_012170499.1, XP_003399855.1, XP_012170500.1, XP_012170501.1
OG0000074	XP_031848283.1	XP_020723850.1
OG0000076	XP_031837857.1, XP_031837858.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837852.1	XP_012167610.1, XP_003397903.1, XP_012167613.1, XP_012167612.1, XP_012167611.1, XP_020720164.1, XP_020720163.1, XP_020720166.1, XP_020720165.1, XP_003397904.1, XP_020720167.1, XP_003397905.1
OG0000077	XP_031834869.1	XP_003393866.1, XP_003393865.1, XP_003393867.1, XP_020723943.1
OG0000078	XP_031836346.1, XP_031829498.1, XP_031836078.1	XP_003400351.1, XP_003400142.1
OG0000079	XP_031843214.1, XP_031843210.1, XP_031843211.1, XP_031843208.1, XP_031843218.1, XP_031843209.1, XP_031843219.1, XP_031843216.1, XP_031843217.1, XP_031843220.1, XP_031843215.1, XP_031843213.1	XP_012172564.1, XP_020722768.1
OG0000080	XP_031826524.1	XP_003396583.1
OG0000081	XP_031835342.1, XP_031835341.1, XP_031835340.1, XP_031835338.1, XP_031835337.1, XP_031835336.1, XP_031835335.1, XP_031835345.1, XP_031835344.1, XP_031835357.1, XP_031835353.1, XP_031835347.1, XP_031835333.1, XP_031835334.1, XP_031835355.1, XP_031835356.1, XP_031835346.1, XP_031835354.1, XP_031835351.1, XP_031835352.1, XP_031835348.1, XP_031835349.1, XP_031835331.1, XP_031835332.1, XP_031835343.1, XP_031835358.1	XP_012168611.1
OG0000082	XP_031847102.1, XP_031847099.1, XP_031847100.1, XP_031847101.1	NP_001295235.1, XP_012176496.1
OG0000083	XP_031844501.1, XP_031844500.1, XP_031844495.1	XP_003394538.1, XP_012176340.1
OG0000084	XP_031847715.1	XP_020723262.1, XP_012174211.1
OG0000085	XP_031842867.1, XP_031842849.1, XP_031842898.1, XP_031842810.1, XP_031842875.1, XP_031842842.1, XP_031842858.1, XP_031842882.1, XP_031842831.1, XP_031842890.1, XP_031842820.1	XP_020720248.1, XP_012166912.1
OG0000086	XP_031843003.1, XP_031842999.1, XP_031843000.1, XP_031843002.1, XP_031843001.1, XP_031843004.1	XP_012172081.1
OG0000087	XP_031835468.1	XP_012169707.1, XP_012169706.1, XP_012169708.1, XP_003399343.1, XP_020720978.1
OG0000088	XP_031834789.1, XP_031834782.1, XP_031834779.1, XP_031834778.1, XP_031834773.1	XP_012175364.1, XP_012175388.1
OG0000089	XP_031829071.1, XP_031839440.1, XP_031829061.1	XP_012168805.1
OG0000090	XP_031845031.1	XP_003394915.1, XP_012163272.1
OG0000091	XP_031831260.1, XP_031831262.1, XP_031831258.1, XP_031831263.1, XP_031831257.1, XP_031831259.1	XP_003395578.1, XP_003395577.1, XP_012164030.1
OG0000092	XP_031836981.1	XP_020723418.1, XP_012174385.1
OG0000093	XP_031835519.1, XP_031835518.1, XP_031835523.1, XP_031835521.1, XP_031835520.1, XP_031835515.1, XP_031835526.1, XP_031835517.1, XP_031835516.1, XP_031835524.1, XP_031835522.1, XP_031835527.1	XP_020721109.1
OG0000094	XP_031831880.1, XP_031831898.1, XP_031831908.1, XP_031831918.1, XP_031831890.1	XP_012174304.1, XP_012174308.2
OG0000095	XP_031840582.1, XP_031840581.1, XP_031840580.1, XP_031840577.1, XP_031840579.1	XP_012165356.1, XP_012165354.1, XP_012165353.1
OG0000096	XP_031840722.1	XP_012176549.1
OG0000097	XP_031838150.1, XP_031838151.1, XP_031838152.1	XP_020722095.1, XP_012171292.1, XP_012171295.1, XP_012171296.1, XP_012171298.1, XP_012171297.1
OG0000098	XP_031830530.1, XP_031830534.1, XP_031830533.1, XP_031830532.1, XP_031830531.1, XP_031830529.1	XP_020720591.1
OG0000099	XP_031832566.1, XP_031832565.1, XP_031832564.1	XP_012175961.1, XP_012175965.1, XP_012175971.1, XP_003392979.1
OG0000101	XP_031826818.1, XP_031826826.1	XP_012170316.1
OG0000102	XP_031834225.1	XP_003397051.1, XP_020719814.1, XP_020719815.1, XP_012166337.1, XP_012166336.1
OG0000103	XP_031829080.1, XP_031829082.1, XP_031829084.1, XP_031829083.1	XP_020721331.1, XP_020721332.1, XP_012169146.1, XP_012169147.1
OG0000104	XP_031847927.1	XP_003398306.1
OG0000104	XP_031847933.1	XP_012168006.1
OG0000104	XP_031847930.1	XP_012168004.1
OG0000104	XP_031847931.1	XP_012168005.1
OG0000105	XP_031843476.1, XP_031843474.1	XP_020721488.1
OG0000108	XP_031830649.1	XP_012168065.1, XP_003398352.1, XP_020720538.1, XP_012168063.1
OG0000110	XP_031837236.1	XP_012171597.1, XP_020722326.1, XP_003400632.1
OG0000112	XP_031834896.1, XP_031834895.1, XP_031834894.1, XP_031834897.1, XP_031834893.1	XP_012175715.1, XP_012175716.1, XP_012175714.1, XP_020722961.1, XP_012175713.1, XP_012175608.1, XP_012175717.1
OG0000113	XP_031828530.1, XP_031828532.1, XP_031828526.1, XP_031828527.1, XP_031828528.1, XP_031828529.1, XP_031828531.1	XP_012170154.1, XP_020723319.1, XP_012170122.1, XP_012170161.1, XP_012170166.1, XP_012170150.1
OG0000114	XP_031843162.1	XP_020722733.1, XP_012172572.1, XP_012172570.1
OG0000115	XP_031826731.1, XP_031826730.1, XP_031826733.1, XP_031826732.1	XP_003402143.1, XP_003402144.1
OG0000116	XP_031848546.1	XP_012171737.1, XP_003400885.1, XP_020722207.1
OG0000117	XP_031829383.1, XP_031829381.1, XP_031829385.1, XP_031829384.1, XP_031829386.1	XP_012172000.1, XP_012171999.1, XP_012171998.1
OG0000118	XP_031844651.1, XP_031844650.1	XP_003394635.1, XP_012176600.1, XP_012176601.1, XP_012176598.1, XP_012176599.1
OG0000119	XP_031840063.1, XP_031838029.1	XP_020723141.1, XP_020723140.1, XP_020723142.1, XP_020723139.1
OG0000120	XP_031840326.1, XP_031840327.1, XP_031840325.1, XP_031840314.1, XP_031840328.1	XP_020720644.1, XP_020720719.1, XP_012168483.1
OG0000121	XP_031846080.1, XP_031846079.1, XP_031846082.1, XP_031846084.1, XP_031846083.1, XP_031846086.1, XP_031846085.1	NP_001274492.1
OG0000124	XP_031842765.1, XP_031842584.1, XP_031842673.1, XP_031842494.1	XP_012165095.1, XP_003396395.1, XP_012165096.1, XP_020719491.1, XP_012165093.1, XP_012165091.1, XP_012165097.1
OG0000126	XP_031846455.1, XP_031846454.1, XP_031846456.1	XP_012169448.1
OG0000127	XP_031844741.1	XP_003402395.2, XP_020722449.1
OG0000127	XP_031844818.1	XP_003401503.2
OG0000127	XP_031849057.1	XP_020722450.1, XP_020722451.1
OG0000128	XP_031825577.1, XP_031825582.1, XP_031825583.1, XP_031825584.1, XP_031825578.1, XP_031825580.1, XP_031825581.1, XP_031825579.1	XP_003395437.1
OG0000129	XP_031828873.1, XP_031828866.1, XP_031828870.1, XP_031828869.1, XP_031828871.1, XP_031828872.1, XP_031828875.1, XP_031828876.1, XP_031828867.1	XP_012168842.2, XP_020720955.1, XP_020720954.1, XP_020720953.1, XP_020720956.1
OG0000130	XP_031826392.1, XP_031826395.1, XP_031826396.1, XP_031826397.1, XP_031826394.1, XP_031826393.1	XP_003396634.1, XP_003396633.1
OG0000131	XP_031848825.1, XP_031848826.1, XP_031848827.1, XP_031848824.1, XP_031848823.1, XP_031848821.1, XP_031848822.1	XP_003398786.1, XP_012168589.1, XP_012168588.1, XP_020721254.1
OG0000132	XP_031833493.1, XP_031833492.1, XP_031833489.1, XP_031833487.1, XP_031833491.1, XP_031833490.1, XP_031833488.1, XP_031833486.1, XP_031833494.1	XP_020718867.1, XP_020718868.1, XP_012164341.1, XP_003402529.2
OG0000133	XP_031826346.1, XP_031830448.1	XP_020720571.1
OG0000134	XP_031848872.1, XP_031836795.1, XP_031836630.1, XP_031836796.1	XP_003402921.2
OG0000135	XP_031826841.1, XP_031826842.1, XP_031826844.1, XP_031826843.1, XP_031826838.1, XP_031826839.1, XP_031826845.1	XP_012169829.1, XP_003399465.1, XP_020721648.1
OG0000136	XP_031842129.1	XP_020721352.1
OG0000139	XP_031834348.1	XP_012176727.1
OG0000140	XP_031826910.1, XP_031826913.1, XP_031826911.1	XP_020723223.1, XP_003402203.1
OG0000141	XP_031844567.1	XP_012175996.1, XP_012175997.1
OG0000143	XP_031840625.1	XP_003396371.1
OG0000143	XP_031840624.1	XP_003396370.1
OG0000144	XP_031847157.1, XP_031847156.1, XP_031847155.1, XP_031847154.1	XP_012164458.1, XP_003393127.1, XP_003393128.1
OG0000145	XP_031850549.1, XP_031846102.1	XP_003394949.1
OG0000146	XP_031842445.1, XP_031842444.1, XP_031842442.1, XP_031842451.1, XP_031842450.1, XP_031842446.1, XP_031842452.1, XP_031842453.1, XP_031842454.1, XP_031842455.1, XP_031842456.1, XP_031842457.1, XP_031842443.1, XP_031842447.1, XP_031842448.1	XP_003394955.1, XP_012163322.1
OG0000147	XP_031839076.1	XP_012166619.1, XP_003397345.2
OG0000148	XP_031841728.1	XP_012167065.1, XP_012167067.1, XP_003397602.1
OG0000149	XP_031825620.1, XP_031825618.1, XP_031825619.1	XP_003395613.1, XP_012164070.1
OG0000150	XP_031826632.1, XP_031826634.1, XP_031826630.1, XP_031826633.1	XP_020719393.1, XP_003396571.1, XP_012165583.1
OG0000151	XP_031834986.1, XP_031834984.1, XP_031834995.1, XP_031834989.1, XP_031834994.1, XP_031834993.1, XP_031834987.1, XP_031834997.1, XP_031834985.1, XP_031834996.1, XP_031834988.1, XP_031834991.1, XP_031834992.1	XP_012166952.1, XP_012166951.1, XP_012166950.1, XP_012166949.1, XP_003397465.1, XP_012166953.1, XP_012166954.1
OG0000152	XP_031847213.1	XP_003393535.1
OG0000153	XP_031829450.1	XP_012175536.1, XP_012174221.1
OG0000155	XP_031828345.1	XP_012165134.1, XP_020719226.1, XP_012165135.1
OG0000156	XP_031839547.1	XP_020722547.1, XP_020722544.1, XP_020722543.1, XP_020722545.1, XP_012175058.1
OG0000157	XP_031828130.1	XP_003396782.1, XP_003402992.1, XP_020723712.1, XP_012165896.1
OG0000158	XP_031842819.1, XP_031842816.1, XP_031842817.1, XP_031842818.1, XP_031842823.1, XP_031842824.1, XP_031842821.1, XP_031842822.1, XP_031842827.1, XP_031842828.1, XP_031842825.1, XP_031842826.1	XP_003401312.1
OG0000159	XP_031830558.1, XP_031830557.1	XP_003398422.1, XP_020720652.1
OG0000160	XP_031848508.1	XP_020720934.1, XP_020720933.1
OG0000160	XP_031838513.1, XP_031838509.1, XP_031838516.1	XP_020720937.1
OG0000161	XP_031827467.1, XP_031827469.1, XP_031827464.1, XP_031827465.1, XP_031827463.1, XP_031827468.1	XP_012170447.1, XP_012170445.1, XP_012170446.1, XP_003399827.1
OG0000162	XP_031840589.1, XP_031840588.1, XP_031840587.1	XP_012165810.1, XP_012165811.1
OG0000163	XP_031848261.1, XP_031848263.1, XP_031848262.1	XP_020720787.1, XP_020720786.1, XP_020720785.1, XP_020720789.1, XP_020720788.1
OG0000164	XP_031843950.1, XP_031843942.1, XP_031843962.1	XP_020721631.1, XP_012170305.1, XP_012170304.1
OG0000165	XP_031843663.1, XP_031843664.1, XP_031843666.1, XP_031843667.1, XP_031843668.1, XP_031843669.1, XP_031843670.1, XP_031843671.1, XP_031843665.1	XP_012171348.1
OG0000166	XP_031826538.1	XP_003396953.1, XP_012165554.1, XP_012165552.1, XP_012165555.1, XP_012165553.1
OG0000167	XP_031847181.1, XP_031847177.1, XP_031847178.1, XP_031847176.1, XP_031847173.1, XP_031847174.1, XP_031847171.1, XP_031847172.1, XP_031847170.1, XP_031847182.1, XP_031847179.1, XP_031847180.1	XP_020720834.1
OG0000168	XP_031833469.1	XP_012164015.1
OG0000168	XP_031833470.1, XP_031833463.1	XP_020718921.1
OG0000168	XP_031833468.1	XP_003395571.1
OG0000169	XP_031842422.1, XP_031842364.1, XP_031842384.1, XP_031842395.1, XP_031842406.1, XP_031842344.1, XP_031842328.1, XP_031842335.1, XP_031842374.1, XP_031842355.1, XP_031842413.1	XP_012167498.1, XP_003397946.1
OG0000170	XP_031846753.1	XP_003396944.1, XP_020719363.1, XP_020719364.1, XP_020719362.1, XP_020719365.1, XP_020719366.1, XP_020719367.1, XP_020719368.1
OG0000172	XP_031845337.1	XP_003395180.1
OG0000172	XP_031845460.1	XP_003395196.1
OG0000172	XP_031832931.1	XP_003400373.1
OG0000173	XP_031846922.1, XP_031846915.1	XP_020718789.1, XP_020718803.1, XP_020718807.1
OG0000174	XP_031846059.1, XP_031846055.1, XP_031846054.1, XP_031846053.1, XP_031846060.1, XP_031846061.1, XP_031846057.1, XP_031846056.1	XP_020718460.1, XP_003395135.1, XP_003395133.1
OG0000175	XP_031849329.1, XP_031849330.1, XP_031849331.1, XP_031849324.1, XP_031849325.1, XP_031849326.1, XP_031849327.1, XP_031849332.1, XP_031849333.1, XP_031849328.1	XP_003399057.1
OG0000176	XP_031840772.1	XP_020723870.1, XP_020724153.1, XP_020724151.1, XP_012175295.2, XP_012176310.1, XP_003394317.1
OG0000177	XP_031840749.1	XP_020724240.1, XP_003394675.1, XP_003394677.1
OG0000178	XP_031842331.1	XP_003395150.1
OG0000179	XP_031827770.1, XP_031827777.1, XP_031827778.1, XP_031827775.1, XP_031827776.1, XP_031827773.1, XP_031827774.1, XP_031827771.1, XP_031827779.1, XP_031827780.1, XP_031827772.1, XP_031827784.1, XP_031827783.1, XP_031827781.1	XP_003400301.1
OG0000180	XP_031846259.1, XP_031846257.1, XP_031846251.1, XP_031846252.1, XP_031846249.1, XP_031846250.1, XP_031846255.1, XP_031846256.1, XP_031846253.1, XP_031846254.1	XP_012175367.1, XP_012175366.1, XP_012175365.1, XP_012175368.1
OG0000181	XP_031829459.1	XP_012172664.1, XP_012172663.1, XP_012172661.1, XP_020722452.1, XP_020722453.1, XP_003401447.1, XP_012172665.1
OG0000182	XP_031845190.1, XP_031845201.1, XP_031845183.1, XP_031845175.1, XP_031845164.1	XP_020720041.1
OG0000183	XP_031841922.1	XP_020719532.1, XP_020719535.1, XP_020719522.1, XP_012164942.1, XP_020719524.1, XP_020719516.1, XP_020719528.1, XP_020719518.1, XP_020719517.1, XP_020719520.1, XP_020719530.1, XP_003403386.2
OG0000184	XP_031843826.1	XP_003398235.1, XP_012167901.1, XP_012167903.1
OG0000185	XP_031839046.1, XP_031839047.1, XP_031839045.1, XP_031839042.1, XP_031839049.1, XP_031839050.1, XP_031839051.1, XP_031839048.1	XP_012165006.1, XP_012165007.1, XP_012165005.1, XP_003396214.1
OG0000186	XP_031846579.1, XP_031846573.1, XP_031846571.1	XP_020723801.1, XP_020723808.1
OG0000187	XP_031840643.1, XP_031840642.1, XP_031840644.1	XP_012176528.1, XP_012176529.1, XP_020724350.1
OG0000188	XP_031834940.1, XP_031834931.1, XP_031834951.1, XP_031834920.1, XP_031834961.1, XP_031834990.1, XP_031834980.1, XP_031834971.1	XP_020722869.1, XP_020722877.1, XP_020722876.1, XP_003393959.1
OG0000189	XP_031833718.1, XP_031833708.1, XP_031833692.1, XP_031833665.1, XP_031833683.1, XP_031833674.1, XP_031833699.1	XP_003393809.1, XP_012173633.1, XP_012173634.1
OG0000190	XP_031839803.1, XP_031839804.1, XP_031839801.1	XP_020722929.1
OG0000191	XP_031838015.1, XP_031838016.1, XP_031838012.1, XP_031838013.1	XP_003394509.1
