Orthogroup	Nomia_melanderi	Apis_mellifera
OG0000031	XP_031827527.1	XP_006565210.1, NP_001180219.1
OG0000032	XP_031841904.1, XP_031841905.1, XP_031841906.1	XP_016768850.2, XP_003249883.2
OG0000033	XP_031837391.1, XP_031837392.1, XP_031837389.1, XP_031837388.1, XP_031837387.1, XP_031837386.1	XP_006560073.1, XP_623977.2, XP_026300817.1, XP_026300816.1, XP_026300815.1, XP_006560074.1
OG0000035	XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1, XP_031842566.1, XP_031842564.1, XP_031842565.1, XP_031842567.1, XP_031842563.1, XP_031842562.1	XP_006560019.1, XP_006560020.1
OG0000036	XP_031841466.1, XP_031841465.1, XP_031841460.1, XP_031841461.1, XP_031841462.1, XP_031841463.1	XP_006562293.2, XP_006562291.2, XP_016770836.2, XP_006562294.2
OG0000037	XP_031828389.1, XP_031828386.1, XP_031828385.1, XP_031828380.1, XP_031828378.1, XP_031828387.1, XP_031828388.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828379.1, XP_031828382.1, XP_031828383.1, XP_031828384.1, XP_031828373.1	XP_006570154.1, XP_016768502.1, XP_016768503.1, XP_016768504.1
OG0000038	XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827452.1, XP_031827413.1	NP_001011628.1, XP_006566906.1
OG0000038	XP_031831172.1, XP_031831171.1, XP_031831170.1	NP_001014993.1
OG0000039	XP_031829822.1, XP_031829824.1, XP_031829823.1	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1
OG0000040	XP_031835069.1, XP_031835073.1, XP_031835072.1, XP_031835071.1, XP_031835076.1, XP_031835075.1, XP_031835074.1	XP_016769473.1, XP_016769470.1, XP_016769471.1, XP_016769475.1, XP_016769474.1, XP_016769476.1, XP_016769472.1
OG0000042	XP_031848630.1, XP_031848628.1, XP_031848631.1, XP_031848621.1	XP_006567591.1
OG0000043	XP_031837423.1, XP_031837422.1, XP_031837424.1, XP_031837418.1, XP_031837419.1, XP_031837415.1, XP_031837416.1, XP_031837417.1, XP_031837420.1	XP_006571072.1, XP_016769192.1, XP_026295623.1, XP_006571068.1, XP_006571070.1, XP_006571069.1, XP_006571071.1, XP_006571074.1, XP_006571073.1
OG0000044	XP_031843159.1, XP_031843160.1, XP_031843157.1, XP_031843158.1, XP_031843156.1, XP_031843147.1, XP_031843154.1, XP_031843149.1, XP_031843148.1, XP_031843151.1, XP_031843150.1, XP_031843153.1, XP_031843152.1	XP_623312.2
OG0000046	XP_031834877.1	NP_001229898.1, XP_026294907.1, XP_026294903.1, XP_001121864.2, XP_016773531.1, XP_016773532.1
OG0000047	XP_031826113.1	XP_001119899.1
OG0000047	XP_031839319.1	XP_001120346.1
OG0000049	XP_031842058.1, XP_031837430.1	XP_016773440.1, XP_003251779.1
OG0000050	XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1, XP_031829734.1, XP_031829739.1	XP_006559502.1, XP_006559501.1, XP_016769006.1, XP_393573.1, XP_016769007.1
OG0000051	XP_031827529.1, XP_031827528.1	XP_016770937.2, XP_016770938.2, XP_026300076.1, XP_026300077.1, XP_006565270.3, XP_006565271.2
OG0000053	XP_031848709.1, XP_031849052.1	XP_006565544.2
OG0000054	XP_031839027.1	XP_016768147.1
OG0000055	XP_031844556.1, XP_031844582.1, XP_031844537.1, XP_031844547.1, XP_031844574.1, XP_031844509.1, XP_031844479.1, XP_031844439.1, XP_031844458.1, XP_031844469.1, XP_031844518.1, XP_031844565.1, XP_031844499.1, XP_031844448.1, XP_031844489.1, XP_031844528.1	XP_016769442.2
OG0000056	XP_031832593.1, XP_031832592.1, XP_031832594.1	XP_394018.2
OG0000058	XP_031834873.1, XP_031834871.1, XP_031834537.1, XP_031834872.1	XP_016773454.2, NP_001229896.1, NP_001229899.1
OG0000059	XP_031839329.1	XP_003251627.1
OG0000060	XP_031831659.1, XP_031831658.1, XP_031831662.1, XP_031831660.1, XP_031831661.1	XP_006572088.1
OG0000063	XP_031844815.1	XP_001121077.2
OG0000063	XP_031850071.1, XP_031849986.1	XP_003250085.1
OG0000063	XP_031844820.1, XP_031844747.1	XP_006563422.1
OG0000064	XP_031842989.1, XP_031842986.1	XP_396338.2
OG0000064	XP_031848143.1	XP_623220.1
OG0000064	XP_031835042.1	XP_006567025.1
OG0000065	XP_031850218.1, XP_031850220.1, XP_031850222.1, XP_031850221.1, XP_031850223.1	XP_393751.2, XP_016770282.2, XP_006570397.2
OG0000066	XP_031840718.1, XP_031840717.1, XP_031840716.1, XP_031840715.1	XP_016766794.1
OG0000068	XP_031834884.1, XP_031834534.1, XP_031834533.1, XP_031834882.1, XP_031834883.1, XP_031834885.1, XP_031834881.1, XP_031834879.1, XP_031834538.1, XP_031834536.1, XP_031834824.1	NP_001229905.1, XP_026302143.1, NP_001229907.1, NP_001229906.1
OG0000069	XP_031837357.1, XP_031837367.1, XP_031837312.1, XP_031837319.1, XP_031837284.1, XP_031837302.1, XP_031837338.1, XP_031837349.1, XP_031837294.1, XP_031837276.1, XP_031837329.1	XP_006557622.1
OG0000070	XP_031847208.1	XP_006557723.1, XP_396406.5, XP_006557720.1
OG0000071	XP_031841059.1, XP_031841084.1, XP_031841094.1, XP_031841068.1, XP_031841103.1, XP_031841113.1, XP_031841076.1, XP_031841042.1, XP_031841121.1, XP_031841129.1, XP_031841052.1	XP_006561713.1, XP_006561715.1, XP_006561714.1, XP_006561716.1, XP_016769650.1
OG0000072	XP_031844649.1, XP_031844644.1, XP_031844648.1, XP_031844646.1, XP_031844645.1	XP_006563970.2, XP_392277.4
OG0000073	XP_031826266.1, XP_031826326.1	XP_393853.1, XP_006565288.1, XP_006565289.1, XP_006565286.1, XP_006565287.1, XP_006565285.1
OG0000076	XP_031837857.1, XP_031837858.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837852.1	XP_006567638.1, XP_006567639.1, XP_006567636.1, XP_001119871.2
OG0000077	XP_031834869.1	XP_001119981.4
OG0000078	XP_031836346.1, XP_031829498.1, XP_031836078.1	XP_006565095.2, XP_001120578.2
OG0000079	XP_031843214.1, XP_031843210.1, XP_031843211.1, XP_031843208.1, XP_031843218.1, XP_031843209.1, XP_031843219.1, XP_031843216.1, XP_031843217.1, XP_031843220.1, XP_031843215.1, XP_031843213.1	XP_016772297.1, XP_006558308.1, XP_006558307.1, XP_006558309.1, XP_006558304.1, XP_006558306.1, XP_006558305.1, XP_016772296.1, XP_026301099.1, XP_026301100.1, XP_026301101.1
OG0000080	XP_031826524.1	XP_006569489.2
OG0000081	XP_031835342.1, XP_031835341.1, XP_031835340.1, XP_031835338.1, XP_031835337.1, XP_031835336.1, XP_031835335.1, XP_031835345.1, XP_031835344.1, XP_031835357.1, XP_031835353.1, XP_031835347.1, XP_031835333.1, XP_031835334.1, XP_031835355.1, XP_031835356.1, XP_031835346.1, XP_031835354.1, XP_031835351.1, XP_031835352.1, XP_031835348.1, XP_031835349.1, XP_031835331.1, XP_031835332.1, XP_031835343.1, XP_031835358.1	XP_006570477.1
OG0000082	XP_031847102.1, XP_031847099.1, XP_031847100.1, XP_031847101.1	XP_006571385.1
OG0000083	XP_031844501.1, XP_031844500.1, XP_031844495.1	XP_016766914.1
OG0000085	XP_031842867.1, XP_031842849.1, XP_031842898.1, XP_031842810.1, XP_031842875.1, XP_031842842.1, XP_031842858.1, XP_031842882.1, XP_031842831.1, XP_031842890.1, XP_031842820.1	XP_006561782.1, XP_003249920.2
OG0000086	XP_031843003.1, XP_031842999.1, XP_031843000.1, XP_031843002.1, XP_031843001.1, XP_031843004.1	XP_016772166.1, XP_026301176.1, XP_026301177.1, XP_003250293.1
OG0000087	XP_031835468.1	XP_006566517.1, XP_016770257.1, XP_016770258.1, XP_026299433.1
OG0000088	XP_031834789.1, XP_031834782.1, XP_031834779.1, XP_031834778.1, XP_031834773.1	XP_016766234.2, XP_016766233.2, XP_016766231.2, XP_016766244.2, XP_006569170.3, XP_006569176.3
OG0000089	XP_031829071.1, XP_031839440.1, XP_031829061.1	XP_016770807.2, XP_016770806.2, XP_016770795.1, XP_016770796.1, XP_026299638.1
OG0000090	XP_031845031.1	XP_026295887.1, XP_395146.3
OG0000091	XP_031831260.1, XP_031831262.1, XP_031831258.1, XP_031831263.1, XP_031831257.1, XP_031831259.1	XP_026296707.1
OG0000093	XP_031835519.1, XP_031835518.1, XP_031835523.1, XP_031835521.1, XP_031835520.1, XP_031835515.1, XP_031835526.1, XP_031835517.1, XP_031835516.1, XP_031835524.1, XP_031835522.1, XP_031835527.1	XP_006566536.1, XP_016770813.1
OG0000094	XP_031831880.1, XP_031831898.1, XP_031831908.1, XP_031831918.1, XP_031831890.1	XP_006568900.1, XP_397517.2, XP_006568901.1, XP_006568902.1, XP_006568903.1
OG0000095	XP_031840582.1, XP_031840581.1, XP_031840580.1, XP_031840577.1, XP_031840579.1	XP_006570088.2, XP_394997.3, XP_016770157.2, XP_006570087.2, XP_016770156.2, XP_026300785.1
OG0000096	XP_031840722.1	XP_016766748.2, XP_026295428.1
OG0000097	XP_031838150.1, XP_031838151.1, XP_031838152.1	XP_026300806.1, XP_026300805.1
OG0000098	XP_031830530.1, XP_031830534.1, XP_031830533.1, XP_031830532.1, XP_031830531.1, XP_031830529.1	XP_392582.1
OG0000099	XP_031832566.1, XP_031832565.1, XP_031832564.1	XP_394152.2
OG0000101	XP_031826818.1, XP_031826826.1	XP_026296772.1, XP_001121869.2
OG0000102	XP_031834225.1	XP_016768929.1, XP_016768928.1, XP_016768927.1, XP_003249519.2, XP_006559656.1, XP_006559657.1, XP_006559659.1
OG0000103	XP_031829080.1, XP_031829082.1, XP_031829084.1, XP_031829083.1	XP_006564458.1, XP_006564456.1, XP_006564457.1, XP_006564454.1, XP_006564455.1
OG0000104	XP_031847927.1	XP_026299163.1
OG0000104	XP_031847933.1	XP_006566079.2
OG0000104	XP_031847931.1	XP_006566077.2
OG0000105	XP_031843476.1, XP_031843474.1	XP_006567039.1
OG0000108	XP_031830649.1	XP_026298976.1, XP_026298975.1
OG0000109	XP_031829945.1, XP_031829946.1	XP_393594.3
OG0000112	XP_031834896.1, XP_031834895.1, XP_031834894.1, XP_031834897.1, XP_031834893.1	XP_006572517.1, NP_001229911.1
OG0000113	XP_031828530.1, XP_031828532.1, XP_031828526.1, XP_031828527.1, XP_031828528.1, XP_031828529.1, XP_031828531.1	XP_001120910.2
OG0000114	XP_031843162.1	XP_026301302.1, XP_016772326.1, XP_392709.3, XP_006557654.1
OG0000115	XP_031826731.1, XP_031826730.1, XP_031826733.1, XP_031826732.1	XP_006561447.1, XP_026301562.1, XP_016772425.1
OG0000116	XP_031848546.1	XP_623083.1, XP_006563129.1
OG0000117	XP_031829383.1, XP_031829381.1, XP_031829385.1, XP_031829384.1, XP_031829386.1	XP_006563703.1, XP_006563700.1, XP_006563701.1, XP_006563702.1
OG0000118	XP_031844651.1, XP_031844650.1	XP_006563971.1, XP_006563972.1, XP_396934.4
OG0000119	XP_031840063.1, XP_031838029.1	XP_016773033.1, XP_624322.1
OG0000120	XP_031840326.1, XP_031840327.1, XP_031840325.1, XP_031840314.1, XP_031840328.1	XP_026294841.1
OG0000121	XP_031846080.1, XP_031846079.1, XP_031846082.1, XP_031846084.1, XP_031846083.1, XP_031846086.1, XP_031846085.1	XP_026296163.1, XP_026296160.1, XP_026296162.1, XP_026296161.1
OG0000124	XP_031842765.1, XP_031842584.1, XP_031842673.1, XP_031842494.1	NP_001164443.1
OG0000126	XP_031846455.1, XP_031846454.1, XP_031846456.1	XP_006572424.1, NP_001265256.1
OG0000127	XP_031844741.1	XP_016771071.1, XP_026300257.1, XP_026300256.1, XP_026300258.1
OG0000127	XP_031844818.1	XP_003249278.2
OG0000127	XP_031849057.1	XP_016771075.1, XP_026300228.1
OG0000128	XP_031825577.1, XP_031825582.1, XP_031825583.1, XP_031825584.1, XP_031825578.1, XP_031825580.1, XP_031825581.1, XP_031825579.1	XP_006562145.1
OG0000129	XP_031828873.1, XP_031828866.1, XP_031828870.1, XP_031828869.1, XP_031828871.1, XP_031828872.1, XP_031828875.1, XP_031828876.1, XP_031828867.1	XP_006564303.1
OG0000130	XP_031826392.1, XP_031826395.1, XP_031826396.1, XP_031826397.1, XP_031826394.1, XP_031826393.1	XP_006565559.1, XP_016768555.1
OG0000131	XP_031848825.1, XP_031848826.1, XP_031848827.1, XP_031848824.1, XP_031848823.1, XP_031848821.1, XP_031848822.1	XP_006566631.1
OG0000132	XP_031833493.1, XP_031833492.1, XP_031833489.1, XP_031833487.1, XP_031833491.1, XP_031833490.1, XP_031833488.1, XP_031833486.1, XP_031833494.1	XP_006567941.1
OG0000133	XP_031826346.1, XP_031830448.1	XP_006569791.3
OG0000134	XP_031848872.1, XP_031836795.1, XP_031836630.1, XP_031836796.1	XP_026296993.1
OG0000139	XP_031834348.1	XP_026295883.1, XP_016767420.2, XP_016767421.2, XP_006567363.2, XP_001120680.3, XP_006567362.2, XP_006567361.2
OG0000140	XP_031826910.1, XP_031826913.1, XP_031826911.1	XP_003249499.1, XP_003249498.1
OG0000141	XP_031844567.1	XP_003249767.1, XP_392285.1
OG0000143	XP_031840625.1	XP_392990.2
OG0000143	XP_031840624.1	XP_003251503.1
OG0000144	XP_031847157.1, XP_031847156.1, XP_031847155.1, XP_031847154.1	XP_003251707.1, XP_003251708.1, XP_006571340.1
OG0000145	XP_031850549.1, XP_031846102.1	XP_026300514.1
OG0000146	XP_031842445.1, XP_031842444.1, XP_031842442.1, XP_031842451.1, XP_031842450.1, XP_031842446.1, XP_031842452.1, XP_031842453.1, XP_031842454.1, XP_031842455.1, XP_031842456.1, XP_031842457.1, XP_031842443.1, XP_031842447.1, XP_031842448.1	XP_006560612.2, XP_016767148.1
OG0000147	XP_031839076.1	XP_006561534.1
OG0000148	XP_031841728.1	XP_006561855.2
OG0000149	XP_031825620.1, XP_031825618.1, XP_031825619.1	XP_006567968.1, XP_006567970.1, XP_006567969.1, XP_016767798.1, XP_006567967.1
OG0000150	XP_031826632.1, XP_031826634.1, XP_031826630.1, XP_031826633.1	XP_397532.3, XP_006569470.2, XP_006569471.2
OG0000151	XP_031834986.1, XP_031834984.1, XP_031834995.1, XP_031834989.1, XP_031834994.1, XP_031834993.1, XP_031834987.1, XP_031834997.1, XP_031834985.1, XP_031834996.1, XP_031834988.1, XP_031834991.1, XP_031834992.1	XP_393087.2
OG0000152	XP_031847213.1	XP_394370.2
OG0000155	XP_031828345.1	XP_001120519.2
OG0000156	XP_031839547.1	XP_006568271.1, XP_006568273.1, XP_016766288.1, XP_006568272.1, XP_001120755.1
OG0000157	XP_031828130.1	XP_026298823.1, XP_003251589.1, XP_006570633.1, XP_006570637.2
OG0000158	XP_031842819.1, XP_031842816.1, XP_031842817.1, XP_031842818.1, XP_031842823.1, XP_031842824.1, XP_031842821.1, XP_031842822.1, XP_031842827.1, XP_031842828.1, XP_031842825.1, XP_031842826.1	XP_006560737.1, XP_006560736.1, XP_625123.1
OG0000159	XP_031830558.1, XP_031830557.1	XP_006562424.1
OG0000160	XP_031848508.1	XP_006564400.1, XP_006564397.1
OG0000160	XP_031838513.1, XP_031838509.1, XP_031838516.1	XP_016770397.1, XP_016770398.1
OG0000161	XP_031827467.1, XP_031827469.1, XP_031827464.1, XP_031827465.1, XP_031827463.1, XP_031827468.1	XP_006565324.1
OG0000162	XP_031840589.1, XP_031840588.1, XP_031840587.1	XP_006565382.1
OG0000163	XP_031848261.1, XP_031848263.1, XP_031848262.1	XP_006566138.2, XP_016769823.2
OG0000164	XP_031843950.1, XP_031843942.1, XP_031843962.1	XP_006566943.1, XP_393874.3
OG0000165	XP_031843663.1, XP_031843664.1, XP_031843666.1, XP_031843667.1, XP_031843668.1, XP_031843669.1, XP_031843670.1, XP_031843671.1, XP_031843665.1	XP_006567337.1
OG0000166	XP_031826538.1	XP_016767886.2, XP_006569700.2
OG0000167	XP_031847181.1, XP_031847177.1, XP_031847178.1, XP_031847176.1, XP_031847173.1, XP_031847174.1, XP_031847171.1, XP_031847172.1, XP_031847170.1, XP_031847182.1, XP_031847179.1, XP_031847180.1	XP_006571382.1
OG0000168	XP_031833469.1	XP_016767898.1
OG0000168	XP_031833468.1	XP_016767897.1
OG0000169	XP_031842422.1, XP_031842364.1, XP_031842384.1, XP_031842395.1, XP_031842406.1, XP_031842344.1, XP_031842328.1, XP_031842335.1, XP_031842374.1, XP_031842355.1, XP_031842413.1	XP_394771.5, XP_026298813.1, XP_026298815.1, XP_026298814.1
OG0000170	XP_031846753.1	XP_026299404.1
OG0000172	XP_031845337.1	XP_392313.1
OG0000172	XP_031845460.1	XP_394471.1
OG0000172	XP_031832931.1	XP_026300739.1
OG0000173	XP_031846922.1, XP_031846915.1	XP_026301980.1, XP_026301925.1, XP_026301991.1, XP_026301994.1
OG0000174	XP_031846059.1, XP_031846055.1, XP_031846054.1, XP_031846053.1, XP_031846060.1, XP_031846061.1, XP_031846057.1, XP_031846056.1	XP_393396.2
OG0000175	XP_031849329.1, XP_031849330.1, XP_031849331.1, XP_031849324.1, XP_031849325.1, XP_031849326.1, XP_031849327.1, XP_031849332.1, XP_031849333.1, XP_031849328.1	XP_624349.1
OG0000177	XP_031840749.1	NP_001119716.1
OG0000177	XP_031840747.1, XP_031840748.1	NP_001011563.1
OG0000178	XP_031842331.1	XP_026295756.1, NP_001153742.1
OG0000179	XP_031827770.1, XP_031827777.1, XP_031827778.1, XP_031827775.1, XP_031827776.1, XP_031827773.1, XP_031827774.1, XP_031827771.1, XP_031827779.1, XP_031827780.1, XP_031827772.1, XP_031827784.1, XP_031827783.1, XP_031827781.1	NP_001164579.1
OG0000180	XP_031846259.1, XP_031846257.1, XP_031846251.1, XP_031846252.1, XP_031846249.1, XP_031846250.1, XP_031846255.1, XP_031846256.1, XP_031846253.1, XP_031846254.1	XP_001121653.2
OG0000181	XP_031829459.1	XP_003249464.1
OG0000182	XP_031845190.1, XP_031845201.1, XP_031845183.1, XP_031845175.1, XP_031845164.1	XP_006561675.1, XP_003249977.1
OG0000183	XP_031841922.1	XP_003251772.2
OG0000184	XP_031843826.1	XP_006562893.1, XP_006562894.1
OG0000185	XP_031839046.1, XP_031839047.1, XP_031839045.1, XP_031839042.1, XP_031839049.1, XP_031839050.1, XP_031839051.1, XP_031839048.1	XP_016768791.1, XP_393026.2, XP_006563285.1
OG0000186	XP_031846579.1, XP_031846573.1, XP_031846571.1	XP_006563887.1, XP_006563890.1, XP_006563882.1
OG0000187	XP_031840643.1, XP_031840642.1, XP_031840644.1	XP_016766990.1, XP_006564055.1, XP_006564053.1
OG0000188	XP_031834940.1, XP_031834931.1, XP_031834951.1, XP_031834920.1, XP_031834961.1, XP_031834990.1, XP_031834980.1, XP_031834971.1	XP_006565899.1, XP_026294733.1, XP_026294734.1, XP_006565900.1
OG0000189	XP_031833718.1, XP_031833708.1, XP_031833692.1, XP_031833665.1, XP_031833683.1, XP_031833674.1, XP_031833699.1	XP_006568930.1
OG0000190	XP_031839803.1, XP_031839804.1, XP_031839801.1	XP_006568998.1, XP_006569000.1, XP_016766331.1, XP_006568999.1
OG0000191	XP_031838015.1, XP_031838016.1, XP_031838012.1, XP_031838013.1	XP_006569550.1, XP_624266.2, XP_006569551.1
OG0000192	XP_031844525.1, XP_031844526.1, XP_031844527.1, XP_031844523.1, XP_031844522.1, XP_031844524.1	XP_016766933.1, XP_026295178.1
OG0000193	XP_031840422.1, XP_031840425.1, XP_031840424.1, XP_031840419.1, XP_031840420.1, XP_031840421.1, XP_031840423.1, XP_031840426.1	XP_016767794.2, XP_016767790.2, XP_016767787.2
OG0000194	XP_031849209.1, XP_031849210.1, XP_031849207.1, XP_031849208.1	XP_016770669.1
OG0000195	XP_031831492.1, XP_031831488.1, XP_031831489.1, XP_031831490.1	XP_026296372.1, XP_026296371.1
OG0000200	XP_031837412.1	NP_001128406.1, XP_006571519.1
OG0000201	XP_031838019.1	XP_001119951.1, XP_006561688.1, XP_003249895.1
OG0000202	XP_031849419.1	XP_003250896.1, XP_001120350.1, XP_003250898.1
OG0000203	XP_031848090.1, XP_031848091.1	XP_006565811.2, XP_001122835.3
OG0000204	XP_031836865.1, XP_031836867.1, XP_031836864.1	XP_003251155.1, XP_003251156.1
OG0000205	XP_031831465.1	XP_006572173.2, XP_026296702.1, XP_003251882.2, XP_006572174.2
OG0000206	XP_031849567.1, XP_031849568.1, XP_031849564.1, XP_031849566.1	XP_006557316.1, XP_006557318.1, XP_006557317.1, XP_006557319.1, XP_016766730.1
OG0000207	XP_031848677.1	XP_006558259.2, XP_016769048.2
OG0000208	XP_031829984.1, XP_031829976.1	XP_006559494.1
OG0000209	XP_031838107.1, XP_031838108.1	XP_026298756.1, XP_006561872.1, XP_392540.2, XP_006561871.1
OG0000211	XP_031829902.1, XP_031829901.1	XP_006568070.1
OG0000212	XP_031835362.1, XP_031835361.1, XP_031835360.1	XP_393761.1, XP_006570503.1
OG0000213	XP_031839444.1	XP_006571185.1, XP_006571187.1, XP_006571186.1, XP_396469.1
OG0000214	XP_031842082.1, XP_031842079.1, XP_031842078.1, XP_031842077.1, XP_031842081.1, XP_031842083.1	XP_392808.2, XP_016772009.1, XP_006571553.1
OG0000215	XP_031850345.1, XP_031850348.1, XP_031850346.1, XP_031850349.1	XP_016766808.1, XP_016766809.1, XP_016766810.1, XP_016766811.1, XP_623991.1
OG0000216	XP_031838620.1	XP_016768345.2
OG0000218	XP_031842770.1	XP_394061.2
OG0000218	XP_031842761.1, XP_031842764.1, XP_031842767.1, XP_031842763.1, XP_031842762.1, XP_031842768.1	XP_016772012.1
OG0000219	XP_031831634.1, XP_031831636.1, XP_031831637.1, XP_031831639.1, XP_031831635.1	XP_026296787.1
OG0000220	XP_031828555.1	XP_026297714.1
OG0000221	XP_031832861.1, XP_031832863.1, XP_031832846.1, XP_031832848.1, XP_031832850.1, XP_031832849.1, XP_031832862.1, XP_031832854.1, XP_031832851.1, XP_031832852.1, XP_031832857.1, XP_031832858.1, XP_031832855.1, XP_031832856.1, XP_031832859.1, XP_031832853.1, XP_031832860.1	XP_026300900.1
OG0000222	XP_031830443.1	XP_395771.3
OG0000222	XP_031847772.1, XP_031847770.1, XP_031847771.1, XP_031847768.1, XP_031847769.1	XP_395824.1
OG0000223	XP_031829282.1, XP_031829279.1, XP_031829280.1, XP_031829276.1, XP_031829278.1, XP_031829277.1	XP_623076.2
OG0000226	XP_031825781.1, XP_031825780.1, XP_031825779.1, XP_031825785.1, XP_031825786.1, XP_031825783.1, XP_031825784.1, XP_031825782.1	XP_026301042.1, NP_001011567.1
OG0000227	XP_031829453.1	XP_006563394.1, NP_001171499.1
OG0000228	XP_031828212.1, XP_031828211.1	XP_016768768.2, XP_001120116.2, XP_397073.5, XP_026300288.1
OG0000229	XP_031838232.1	XP_016771112.2
OG0000230	XP_031828640.1	XP_001123187.2
OG0000231	XP_031834247.1	XP_006557693.1, XP_397140.4
OG0000232	XP_031832370.1, XP_031832369.1	XP_006557909.1, XP_624210.1
OG0000234	XP_031830083.1	XP_006559641.1
OG0000235	XP_031844539.1	XP_006560541.1
OG0000236	XP_031826120.1	XP_006568709.1
OG0000237	XP_031846993.1, XP_031846994.1, XP_031846992.1	XP_006569713.1, XP_396989.2
