GO.ID,Term,Annotated,Significant,Expected,classicFisher
GO:0051248,negative regulation of protein metabolic...,317,35,5.14,9.6e-20
GO:0032268,regulation of cellular protein metabolic...,755,51,12.23,4.7e-19
GO:0051246,regulation of protein metabolic process,782,51,12.67,2.1e-18
GO:0008219,cell death,396,37,6.41,2.2e-18
GO:0008063,Toll signaling pathway,96,21,1.56,2.2e-18
GO:0016246,RNA interference,36,15,0.58,3.3e-18
GO:0006959,humoral immune response,144,24,2.33,6.2e-18
GO:0012501,programmed cell death,346,34,5.6,1.3e-17
GO:0031047,gene silencing by RNA,93,20,1.51,2.2e-17
GO:0051336,regulation of hydrolase activity,355,34,5.75,3.0e-17
GO:0010605,negative regulation of macromolecule met...,1000,56,16.2,3.2e-17
GO:0048519,negative regulation of biological proces...,1735,75,28.1,5.1e-17
GO:0000045,autophagosome assembly,36,14,0.58,1.5e-16
GO:0051716,cellular response to stimulus,2258,86,36.58,1.9e-16
GO:0035194,post-transcriptional gene silencing by R...,66,17,1.07,2.2e-16
GO:0050832,defense response to fungus,56,16,0.91,2.8e-16
GO:0009892,negative regulation of metabolic process,1054,56,17.07,3.4e-16
GO:1905037,autophagosome organization,38,14,0.62,3.6e-16
GO:0002920,regulation of humoral immune response,82,18,1.33,6.2e-16
GO:0016441,posttranscriptional gene silencing,71,17,1.15,8.6e-16
GO:0016236,macroautophagy,97,19,1.57,9.0e-16
GO:0019222,regulation of metabolic process,2471,89,40.03,1.3e-15
GO:0008592,regulation of Toll signaling pathway,52,15,0.84,2.1e-15
GO:0098869,cellular oxidant detoxification,52,15,0.84,2.1e-15
GO:0019730,antimicrobial humoral response,132,21,2.14,2.2e-15
GO:0019538,protein metabolic process,2836,96,45.94,2.5e-15
GO:0050778,positive regulation of immune response,104,19,1.68,3.5e-15
GO:0097237,cellular response to toxic substance,54,15,0.87,4.0e-15
GO:1990748,cellular detoxification,54,15,0.87,4.0e-15
GO:0002759,regulation of antimicrobial humoral resp...,79,17,1.28,5.9e-15
GO:0048523,negative regulation of cellular process,1521,66,24.64,8.2e-15
GO:0002833,positive regulation of response to bioti...,109,19,1.77,8.7e-15
GO:0006914,autophagy,199,24,3.22,1.2e-14
GO:0061919,process utilizing autophagic mechanism,199,24,3.22,1.2e-14
GO:0060033,anatomical structure regression,58,15,0.94,1.3e-14
GO:0048583,regulation of response to stimulus,1003,52,16.25,1.5e-14
GO:0050789,regulation of biological process,4391,123,71.13,1.7e-14
GO:0002684,positive regulation of immune system pro...,115,19,1.86,2.4e-14
GO:0032103,positive regulation of response to exter...,132,20,2.14,2.7e-14
GO:0002775,antimicrobial peptide production,73,16,1.18,2.8e-14
GO:0002784,regulation of antimicrobial peptide prod...,73,16,1.18,2.8e-14
GO:0002440,production of molecular mediator of immu...,74,16,1.2,3.5e-14
GO:0002700,regulation of production of molecular me...,74,16,1.2,3.5e-14
GO:0061844,antimicrobial humoral immune response me...,74,16,1.2,3.5e-14
GO:0010623,programmed cell death involved in cell d...,103,18,1.67,4.4e-14
GO:0050790,regulation of catalytic activity,597,39,9.67,4.4e-14
GO:0009615,response to virus,64,15,1.04,6.4e-14
GO:0050794,regulation of cellular process,4125,117,66.82,8.2e-14
GO:0045088,regulation of innate immune response,94,17,1.52,1.3e-13
GO:0065007,biological regulation,4876,129,78.99,1.6e-13
GO:0051607,defense response to virus,56,14,0.91,1.7e-13
GO:0002225,positive regulation of antimicrobial pep...,57,14,0.92,2.2e-13
GO:0002699,positive regulation of immune effector p...,57,14,0.92,2.2e-13
GO:0002702,positive regulation of production of mol...,57,14,0.92,2.2e-13
GO:0002760,positive regulation of antimicrobial hum...,58,14,0.94,2.9e-13
GO:0002922,positive regulation of humoral immune re...,58,14,0.94,2.9e-13
GO:0044248,cellular catabolic process,973,49,15.76,3.2e-13
GO:0007033,vacuole organization,60,14,0.97,4.8e-13
GO:0050688,regulation of defense response to virus,22,10,0.36,5.4e-13
GO:0008152,metabolic process,6500,152,105.29,8.9e-13
GO:0065009,regulation of molecular function,689,40,11.16,9.3e-13
GO:0050829,defense response to Gram-negative bacter...,123,18,1.99,1.0e-12
GO:0051172,negative regulation of nitrogen compound...,828,44,13.41,1.1e-12
GO:0031349,positive regulation of defense response,92,16,1.49,1.3e-12
GO:0031669,cellular response to nutrient levels,92,16,1.49,1.3e-12
GO:0031323,regulation of cellular metabolic process,2282,79,36.97,1.5e-12
GO:0098754,detoxification,79,15,1.28,1.7e-12
GO:0031668,cellular response to extracellular stimu...,94,16,1.52,1.8e-12
GO:0000422,autophagy of mitochondrion,33,11,0.53,2.1e-12
GO:0061726,mitochondrion disassembly,33,11,0.53,2.1e-12
GO:0035096,larval midgut cell programmed cell death,25,10,0.4,2.6e-12
GO:1901564,organonitrogen compound metabolic proces...,3531,103,57.2,2.9e-12
GO:0072593,reactive oxygen species metabolic proces...,45,12,0.73,4.2e-12
GO:0071496,cellular response to external stimulus,101,16,1.64,5.7e-12
GO:0009267,cellular response to starvation,86,15,1.39,6.4e-12
GO:0035069,larval midgut histolysis,28,10,0.45,1.0e-11
GO:0031324,negative regulation of cellular metaboli...,887,44,14.37,1.2e-11
GO:0031329,regulation of cellular catabolic process,231,22,3.74,2.0e-11
GO:0006979,response to oxidative stress,146,18,2.37,2.1e-11
GO:1903008,organelle disassembly,41,11,0.66,3.1e-11
GO:0007154,cell communication,2010,70,32.56,4.7e-11
GO:0043170,macromolecule metabolic process,4868,123,78.86,7.3e-11
GO:0009056,catabolic process,1176,50,19.05,9.4e-11
GO:0007166,cell surface receptor signaling pathway,806,40,13.06,1.2e-10
GO:0009894,regulation of catabolic process,256,22,4.15,1.5e-10
GO:0006915,apoptotic process,283,23,4.58,1.7e-10
GO:0009636,response to toxic substance,112,15,1.81,3.2e-10
GO:0031667,response to nutrient levels,172,18,2.79,3.2e-10
GO:0042594,response to starvation,151,17,2.45,3.3e-10
GO:0009991,response to extracellular stimulus,174,18,2.82,3.9e-10
GO:0060255,regulation of macromolecule metabolic pr...,2297,74,37.21,4.1e-10
GO:0010506,regulation of autophagy,115,15,1.86,4.6e-10
GO:0061912,selective autophagy,21,8,0.34,7.0e-10
GO:0016458,gene silencing,254,21,4.11,8.4e-10
GO:0010608,posttranscriptional regulation of gene e...,240,20,3.89,1.9e-09
GO:0035006,melanization defense response,49,10,0.79,4.7e-09
GO:0050777,negative regulation of immune response,64,11,1.04,5.3e-09
GO:0070887,cellular response to chemical stimulus,557,30,9.02,5.7e-09
GO:0006582,melanin metabolic process,65,11,1.05,6.3e-09
GO:0045089,positive regulation of innate immune res...,52,10,0.84,8.6e-09
GO:0044275,cellular carbohydrate catabolic process,29,8,0.47,1.3e-08
GO:0010941,regulation of cell death,269,20,4.36,1.3e-08
GO:0007165,signal transduction,1732,58,28.06,2.0e-08
GO:0019221,cytokine-mediated signaling pathway,31,8,0.5,2.3e-08
GO:0071345,cellular response to cytokine stimulus,31,8,0.5,2.3e-08
GO:0009791,post-embryonic development,664,32,10.76,2.4e-08
GO:0042440,pigment metabolic process,132,14,2.14,2.7e-08
GO:0033554,cellular response to stress,668,32,10.82,2.8e-08
GO:0006909,phagocytosis,59,10,0.96,3.1e-08
GO:0051171,regulation of nitrogen compound metaboli...,2140,66,34.67,3.7e-08
GO:0005977,glycogen metabolic process,33,8,0.53,4.0e-08
GO:0006073,cellular glucan metabolic process,33,8,0.53,4.0e-08
GO:0006112,energy reserve metabolic process,33,8,0.53,4.0e-08
GO:0044042,glucan metabolic process,33,8,0.53,4.0e-08
GO:0048584,positive regulation of response to stimu...,538,28,8.71,4.1e-08
GO:0009886,post-embryonic animal morphogenesis,472,26,7.65,4.2e-08
GO:0034097,response to cytokine,34,8,0.55,5.2e-08
GO:0009966,regulation of signal transduction,802,35,12.99,5.9e-08
GO:0019748,secondary metabolic process,100,12,1.62,7.0e-08
GO:0048707,instar larval or pupal morphogenesis,456,25,7.39,8.7e-08
GO:0002683,negative regulation of immune system pro...,84,11,1.36,1.0e-07
GO:0018958,phenol-containing compound metabolic pro...,84,11,1.36,1.0e-07
GO:0010646,regulation of cell communication,939,38,15.21,1.0e-07
GO:0023051,regulation of signaling,939,38,15.21,1.0e-07
GO:0061057,peptidoglycan recognition protein signal...,51,9,0.83,1.1e-07
GO:0023052,signaling,1966,61,31.85,1.3e-07
GO:0044267,cellular protein metabolic process,2311,68,37.44,1.4e-07
GO:0034250,positive regulation of cellular amide me...,87,11,1.41,1.4e-07
GO:0002165,instar larval or pupal development,573,28,9.28,1.5e-07
GO:0002832,negative regulation of response to bioti...,55,9,0.89,2.1e-07
GO:0007294,germarium-derived oocyte fate determinat...,28,7,0.45,2.3e-07
GO:0009653,anatomical structure morphogenesis,1577,52,25.55,2.4e-07
GO:0043067,regulation of programmed cell death,234,17,3.79,2.4e-07
GO:0043069,negative regulation of programmed cell d...,112,12,1.81,2.5e-07
GO:0060548,negative regulation of cell death,134,13,2.17,2.5e-07
GO:0007552,metamorphosis,483,25,7.82,2.6e-07
GO:0048856,anatomical structure development,2917,79,47.25,2.7e-07
GO:0022411,cellular component disassembly,159,14,2.58,2.9e-07
GO:0050830,defense response to Gram-positive bacter...,57,9,0.92,2.9e-07
GO:0080090,regulation of primary metabolic process,2164,64,35.05,3.3e-07
GO:0002777,antimicrobial peptide biosynthetic proce...,43,8,0.7,3.7e-07
GO:0002805,regulation of antimicrobial peptide bios...,43,8,0.7,3.7e-07
GO:0007293,germarium-derived egg chamber formation,97,11,1.57,4.5e-07
GO:0071704,organic substance metabolic process,5945,130,96.3,4.9e-07
GO:0070828,heterochromatin organization,62,9,1,6.2e-07
GO:0044264,cellular polysaccharide metabolic proces...,46,8,0.75,6.3e-07
GO:0030706,germarium-derived oocyte differentiation,33,7,0.53,7.8e-07
GO:0045824,negative regulation of innate immune res...,33,7,0.53,7.8e-07
GO:0005976,polysaccharide metabolic process,48,8,0.78,8.9e-07
GO:0043066,negative regulation of apoptotic process,104,11,1.68,9.1e-07
GO:0015850,organic hydroxy compound transport,34,7,0.55,9.7e-07
GO:0006807,nitrogen compound metabolic process,5319,119,86.16,1.1e-06
GO:0030716,oocyte fate determination,35,7,0.57,1.2e-06
GO:0034599,cellular response to oxidative stress,50,8,0.81,1.2e-06
GO:0042981,regulation of apoptotic process,206,15,3.34,1.2e-06
GO:0032502,developmental process,3077,80,49.84,1.3e-06
GO:0031050,dsRNA processing,23,6,0.37,1.3e-06
GO:0070918,production of small RNA involved in gene...,23,6,0.37,1.3e-06
GO:0032102,negative regulation of response to exter...,68,9,1.1,1.4e-06
GO:0002807,positive regulation of antimicrobial pep...,36,7,0.58,1.5e-06
GO:0045752,positive regulation of Toll signaling pa...,36,7,0.58,1.5e-06
GO:0034248,regulation of cellular amide metabolic p...,211,15,3.42,1.7e-06
GO:0010529,negative regulation of transposition,24,6,0.39,1.8e-06
GO:0031348,negative regulation of defense response,53,8,0.86,1.9e-06
GO:0002778,antibacterial peptide production,38,7,0.62,2.2e-06
GO:0002780,antibacterial peptide biosynthetic proce...,38,7,0.62,2.2e-06
GO:0002786,regulation of antibacterial peptide prod...,38,7,0.62,2.2e-06
GO:0002808,regulation of antibacterial peptide bios...,38,7,0.62,2.2e-06
GO:0007275,multicellular organism development,2606,70,42.21,2.9e-06
GO:0010528,regulation of transposition,26,6,0.42,2.9e-06
GO:0009057,macromolecule catabolic process,590,26,9.56,3.1e-06
GO:0032196,transposition,27,6,0.44,3.7e-06
GO:0062197,cellular response to chemical stress,58,8,0.94,3.9e-06
GO:0048585,negative regulation of response to stimu...,425,21,6.88,5.3e-06
GO:0031331,positive regulation of cellular cataboli...,126,11,2.04,6.1e-06
GO:0048468,cell development,1476,46,23.91,7.1e-06
GO:0019731,antibacterial humoral response,63,8,1.02,7.4e-06
GO:0044238,primary metabolic process,5560,120,90.07,8.2e-06
GO:0002803,positive regulation of antibacterial pep...,31,6,0.5,8.8e-06
GO:0006963,positive regulation of antibacterial pep...,31,6,0.5,8.8e-06
GO:1900424,regulation of defense response to bacter...,66,8,1.07,1.1e-05
GO:0043281,regulation of cysteine-type endopeptidas...,33,6,0.53,1.3e-05
GO:0048134,germ-line cyst formation,33,6,0.53,1.3e-05
GO:0007279,pole cell formation,20,5,0.32,1.3e-05
GO:0016241,regulation of macroautophagy,34,6,0.55,1.5e-05
GO:0030727,germarium-derived female germ-line cyst ...,21,5,0.34,1.7e-05
GO:0042438,melanin biosynthetic process,21,5,0.34,1.7e-05
GO:0006897,endocytosis,198,13,3.21,2.0e-05
GO:0009896,positive regulation of catabolic process,143,11,2.32,2.0e-05
GO:2000116,regulation of cysteine-type endopeptidas...,36,6,0.58,2.2e-05
GO:0048135,female germ-line cyst formation,22,5,0.36,2.2e-05
GO:0016052,carbohydrate catabolic process,74,8,1.2,2.5e-05
GO:0097194,execution phase of apoptosis,37,6,0.6,2.6e-05
GO:0032270,positive regulation of cellular protein ...,331,17,5.36,2.7e-05
GO:0048646,anatomical structure formation involved ...,554,23,8.97,3.1e-05
GO:0010942,positive regulation of cell death,102,9,1.65,4.0e-05
GO:0007349,cellularization,105,9,1.7,5.0e-05
GO:0051247,positive regulation of protein metabolic...,348,17,5.64,5.0e-05
GO:0046148,pigment biosynthetic process,82,8,1.33,5.2e-05
GO:1900426,positive regulation of defense response ...,43,6,0.7,6.2e-05
GO:0055114,oxidation-reduction process,787,28,12.75,6.6e-05
GO:0006869,lipid transport,85,8,1.38,6.8e-05
GO:0044550,secondary metabolite biosynthetic proces...,44,6,0.71,7.1e-05
GO:0010647,positive regulation of cell communicatio...,469,20,7.6,7.3e-05
GO:0023056,positive regulation of signaling,469,20,7.6,7.3e-05
GO:0009967,positive regulation of signal transducti...,432,19,7,7.5e-05
GO:0030154,cell differentiation,1792,49,29.03,0.00011
GO:0007277,pole cell development,30,5,0.49,0.00011
GO:0046189,phenol-containing compound biosynthetic ...,30,5,0.49,0.00011
GO:0035172,hemocyte proliferation,48,6,0.78,0.00012
GO:0042221,response to chemical,1312,39,21.25,0.00012
GO:0006401,RNA catabolic process,118,9,1.91,0.00012
GO:0048869,cellular developmental process,1804,49,29.22,0.00013
GO:0061013,regulation of mRNA catabolic process,31,5,0.5,0.00013
GO:0031325,positive regulation of cellular metaboli...,1040,33,16.85,0.00013
GO:0034655,nucleobase-containing compound catabolic...,176,11,2.85,0.00014
GO:0097549,chromatin organization involved in negat...,177,11,2.87,0.00014
GO:0010629,negative regulation of gene expression,743,26,12.04,0.00016
GO:0035195,gene silencing by miRNA,33,5,0.53,0.00017
GO:0044260,cellular macromolecule metabolic process,3775,85,61.15,0.00018
GO:0009893,positive regulation of metabolic process,1105,34,17.9,0.00018
GO:0000003,reproduction,1533,43,24.83,0.00018
GO:0009880,embryonic pattern specification,214,12,3.47,0.00019
GO:0034401,chromatin organization involved in regul...,184,11,2.98,0.00020
GO:0035070,salivary gland histolysis,34,5,0.55,0.00020
GO:0048522,positive regulation of cellular process,1742,47,28.22,0.00022
GO:0009611,response to wounding,128,9,2.07,0.00023
GO:0000289,nuclear-transcribed mRNA poly(A) tail sh...,20,4,0.32,0.00026
GO:0007389,pattern specification process,517,20,8.37,0.00027
GO:0009994,oocyte differentiation,162,10,2.62,0.00030
GO:0016239,positive regulation of macroautophagy,21,4,0.34,0.00032
GO:0048518,positive regulation of biological proces...,1875,49,30.37,0.00033
GO:0044270,cellular nitrogen compound catabolic pro...,197,11,3.19,0.00036
GO:0044237,cellular metabolic process,5518,113,89.38,0.00036
GO:0002921,negative regulation of humoral immune re...,22,4,0.36,0.00039
GO:0007005,mitochondrion organization,234,12,3.79,0.00043
GO:0046700,heterocycle catabolic process,201,11,3.26,0.00043
GO:0032501,multicellular organismal process,3814,84,61.78,0.00046
GO:0042246,tissue regeneration,23,4,0.37,0.00046
GO:1901615,organic hydroxy compound metabolic proce...,207,11,3.35,0.00055
GO:0019439,aromatic compound catabolic process,208,11,3.37,0.00057
GO:0009987,cellular process,8686,160,140.7,0.00057
GO:0070925,organelle assembly,431,17,6.98,0.00064
GO:0044262,cellular carbohydrate metabolic process,118,8,1.91,0.00066
GO:0032504,multicellular organism reproduction,1379,38,22.34,0.00067
GO:0003002,regionalization,473,18,7.66,0.00067
GO:0043068,positive regulation of programmed cell d...,92,7,1.49,0.00072
GO:0009953,dorsal/ventral pattern formation,150,9,2.43,0.00074
GO:0043280,positive regulation of cysteine-type end...,26,4,0.42,0.00075
GO:0009968,negative regulation of signal transducti...,360,15,5.83,0.00076
GO:1901361,organic cyclic compound catabolic proces...,216,11,3.5,0.00078
GO:0008037,cell recognition,122,8,1.98,0.00082
GO:0016192,vesicle-mediated transport,564,20,9.14,0.00082
GO:0006497,protein lipidation,70,6,1.13,0.00093
GO:0042158,lipoprotein biosynthetic process,70,6,1.13,0.00093
GO:2001056,positive regulation of cysteine-type end...,28,4,0.45,0.00101
GO:0009950,dorsal/ventral axis specification,72,6,1.17,0.00107
GO:0045454,cell redox homeostasis,49,5,0.79,0.00113
GO:0048102,autophagic cell death,29,4,0.47,0.00115
GO:0003006,developmental process involved in reprod...,939,28,15.21,0.00118
GO:0007616,long-term memory,74,6,1.2,0.00124
GO:0016485,protein processing,74,6,1.2,0.00124
GO:0010508,positive regulation of autophagy,50,5,0.81,0.00124
GO:0006402,mRNA catabolic process,101,7,1.64,0.00125
GO:0008283,cell population proliferation,379,15,6.14,0.00128
GO:0009888,tissue development,1092,31,17.69,0.00141
GO:0042157,lipoprotein metabolic process,76,6,1.23,0.00143
GO:0007350,blastoderm segmentation,199,10,3.22,0.00149
GO:0070868,heterochromatin organization involved in...,31,4,0.5,0.00149
GO:0010648,negative regulation of cell communicatio...,388,15,6.29,0.00162
GO:0097190,apoptotic signaling pathway,53,5,0.86,0.00162
GO:0008340,determination of adult lifespan,168,9,2.72,0.00165
GO:0023057,negative regulation of signaling,389,15,6.3,0.00166
GO:0010259,multicellular organism aging,171,9,2.77,0.00186
GO:0031507,heterochromatin assembly,33,4,0.53,0.00189
GO:0010876,lipid localization,139,8,2.25,0.00189
GO:0010033,response to organic substance,654,21,10.59,0.00210
GO:0033036,macromolecule localization,1075,30,17.41,0.00220
GO:0022607,cellular component assembly,1421,37,23.02,0.00223
GO:0007568,aging,176,9,2.85,0.00227
GO:0000288,nuclear-transcribed mRNA catabolic proce...,35,4,0.57,0.00236
GO:0010950,positive regulation of endopeptidase act...,35,4,0.57,0.00236
GO:0048731,system development,1846,45,29.9,0.00261
GO:0007286,spermatid development,115,7,1.86,0.00264
GO:0007292,female gamete generation,713,22,11.55,0.00270
GO:0007281,germ cell development,759,23,12.29,0.00271
GO:0045995,regulation of embryonic development,88,6,1.43,0.00301
GO:0006342,chromatin silencing,150,8,2.43,0.00304
GO:0045814,"negative regulation of gene expression, ...",150,8,2.43,0.00304
GO:0048477,oogenesis,630,20,10.21,0.00305
GO:0007259,receptor signaling pathway via JAK-STAT,38,4,0.62,0.00320
GO:0031099,regeneration,38,4,0.62,0.00320
GO:0097696,receptor signaling pathway via STAT,38,4,0.62,0.00320
GO:0009798,axis specification,186,9,3.01,0.00328
GO:0009790,embryo development,546,18,8.84,0.00330
GO:0010952,positive regulation of peptidase activit...,39,4,0.63,0.00352
GO:0048589,developmental growth,382,14,6.19,0.00372
GO:0022412,cellular process involved in reproductio...,920,26,14.9,0.00373
GO:0006584,catecholamine metabolic process,20,3,0.32,0.00389
GO:0009712,catechol-containing compound metabolic p...,20,3,0.32,0.00389
GO:0031445,regulation of heterochromatin assembly,20,3,0.32,0.00389
GO:0007283,spermatogenesis,270,11,4.37,0.00452
GO:0044265,cellular macromolecule catabolic process,520,17,8.42,0.00464
GO:1901575,organic substance catabolic process,985,27,15.96,0.00472
GO:0048515,spermatid differentiation,128,7,2.07,0.00477
GO:0048813,dendrite morphogenesis,162,8,2.62,0.00485
GO:0007276,gamete generation,989,27,16.02,0.00498
GO:0010847,regulation of chromatin assembly,22,3,0.36,0.00514
GO:0035282,segmentation,237,10,3.84,0.00525
GO:0042386,hemocyte differentiation,44,4,0.71,0.00546
GO:0006403,RNA localization,204,9,3.3,0.00599
GO:0015980,energy derivation by oxidation of organi...,168,8,2.72,0.00602
GO:0071310,cellular response to organic substance,404,14,6.54,0.00607
GO:0046328,regulation of JNK cascade,72,5,1.17,0.00616
GO:0090502,"RNA phosphodiester bond hydrolysis, endo...",72,5,1.17,0.00616
GO:0007076,mitotic chromosome condensation,24,3,0.39,0.00659
GO:0043406,positive regulation of MAP kinase activi...,24,3,0.39,0.00659
GO:1901700,response to oxygen-containing compound,410,14,6.64,0.00688
GO:0007417,central nervous system development,286,11,4.63,0.00690
GO:0032147,activation of protein kinase activity,47,4,0.76,0.00691
GO:0030097,hemopoiesis,105,6,1.7,0.00715
GO:0016358,dendrite development,173,8,2.8,0.00715
GO:0000956,nuclear-transcribed mRNA catabolic proce...,75,5,1.21,0.00731
GO:0051173,positive regulation of nitrogen compound...,970,26,15.71,0.00739
GO:0007549,dosage compensation,25,3,0.4,0.00740
GO:0042387,plasmatocyte differentiation,25,3,0.4,0.00740
GO:1902742,apoptotic process involved in developmen...,25,3,0.4,0.00740
GO:0040007,growth,457,15,7.4,0.00742
GO:0051604,protein maturation,107,6,1.73,0.00782
GO:0060560,developmental growth involved in morphog...,107,6,1.73,0.00782
GO:0045727,positive regulation of translation,49,4,0.79,0.00801
GO:0032872,regulation of stress-activated MAPK casc...,77,5,1.25,0.00816
GO:0070302,regulation of stress-activated protein k...,77,5,1.25,0.00816
GO:0001672,regulation of chromatin assembly or disa...,26,3,0.42,0.00827
GO:0002698,negative regulation of immune effector p...,26,3,0.42,0.00827
GO:0033227,dsRNA transport,26,3,0.42,0.00827
GO:0035168,larval lymph gland hemocyte differentiat...,26,3,0.42,0.00827
GO:1902875,regulation of embryonic pattern specific...,26,3,0.42,0.00827
GO:0001709,cell fate determination,142,7,2.3,0.00832
GO:0040029,"regulation of gene expression, epigeneti...",178,8,2.88,0.00843
GO:0090305,nucleic acid phosphodiester bond hydroly...,178,8,2.88,0.00843
GO:0022416,chaeta development,78,5,1.26,0.00861
GO:0021700,developmental maturation,218,9,3.53,0.00910
GO:0046667,compound eye retinal cell programmed cel...,27,3,0.44,0.00919
GO:0007526,larval somatic muscle development,51,4,0.83,0.00921
GO:1903311,regulation of mRNA metabolic process,145,7,2.35,0.00928
GO:0090501,RNA phosphodiester bond hydrolysis,111,6,1.8,0.00929
GO:0007254,JNK cascade,80,5,1.3,0.00955
GO:0022618,ribonucleoprotein complex assembly,146,7,2.37,0.00962
GO:0043900,regulation of multi-organism process,112,6,1.81,0.00969
GO:0044085,cellular component biogenesis,1607,38,26.03,0.00973
GO:0007291,sperm individualization,52,4,0.84,0.00986
GO:0048469,cell maturation,183,8,2.96,0.00987
GO:0035071,salivary gland cell autophagic cell deat...,28,3,0.45,0.01018
GO:0060429,epithelium development,996,26,16.13,0.01025
GO:0071826,ribonucleoprotein complex subunit organi...,149,7,2.41,0.01069
GO:0071695,anatomical structure maturation,186,8,3.01,0.01082
GO:0046666,retinal cell programmed cell death,29,3,0.47,0.01122
GO:0008038,neuron recognition,117,6,1.9,0.01186
GO:0046843,dorsal appendage formation,55,4,0.89,0.01196
GO:0035011,melanotic encapsulation of foreign targe...,30,3,0.49,0.01232
GO:0022414,reproductive process,1318,32,21.35,0.01245
GO:0048732,gland development,191,8,3.09,0.01256
GO:0007365,periodic partitioning,56,4,0.91,0.01272
GO:0016322,neuron remodeling,56,4,0.91,0.01272
GO:0002520,immune system development,120,6,1.94,0.01331
GO:0007613,memory,120,6,1.94,0.01331
GO:0048534,hematopoietic or lymphoid organ developm...,120,6,1.94,0.01331
GO:0051403,stress-activated MAPK cascade,87,5,1.41,0.01341
GO:0048232,male gamete generation,316,11,5.12,0.01390
GO:0007399,nervous system development,1174,29,19.02,0.01391
GO:0042551,neuron maturation,58,4,0.94,0.01434
GO:0031401,positive regulation of protein modificat...,196,8,3.17,0.01449
GO:1902533,positive regulation of intracellular sig...,196,8,3.17,0.01449
GO:0030717,oocyte karyosome formation,32,3,0.52,0.01470
GO:0061988,karyosome formation,32,3,0.52,0.01470
GO:0007422,peripheral nervous system development,59,4,0.96,0.01519
GO:0070192,chromosome organization involved in meio...,59,4,0.96,0.01519
GO:0048666,neuron development,640,18,10.37,0.01592
GO:0016318,ommatidial rotation,33,3,0.53,0.01598
GO:0050657,nucleic acid transport,126,6,2.04,0.01659
GO:0050658,RNA transport,126,6,2.04,0.01659
GO:0007611,learning or memory,163,7,2.64,0.01683
GO:0050890,cognition,163,7,2.64,0.01683
GO:0051236,establishment of RNA localization,127,6,2.06,0.01718
GO:0051704,multi-organism process,1196,29,19.37,0.01754
GO:1901617,organic hydroxy compound biosynthetic pr...,94,5,1.52,0.01822
GO:1902531,regulation of intracellular signal trans...,374,12,6.06,0.01870
GO:0031396,regulation of protein ubiquitination,36,3,0.58,0.02019
GO:0043405,regulation of MAP kinase activity,36,3,0.58,0.02019
GO:0046330,positive regulation of JNK cascade,36,3,0.58,0.02019
GO:0048872,homeostasis of number of cells,36,3,0.58,0.02019
GO:0010604,positive regulation of macromolecule met...,1005,25,16.28,0.02038
GO:0045862,positive regulation of proteolysis,97,5,1.57,0.02058
GO:0007435,salivary gland morphogenesis,98,5,1.59,0.02141
GO:0022612,gland morphogenesis,98,5,1.59,0.02141
GO:0031098,stress-activated protein kinase signalin...,98,5,1.59,0.02141
GO:0048167,regulation of synaptic plasticity,37,3,0.6,0.02171
GO:0072553,terminal button organization,37,3,0.6,0.02171
GO:0007315,pole plasm assembly,67,4,1.09,0.02317
