Orthogroup	Eufriesea_mexicana	Aedes_aegypti
OG0000018	XP_017760876.1, XP_017760875.1	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2
OG0000018	XP_017760874.1, XP_017758049.1	XP_021706781.1
OG0000019	XP_017758970.1	XP_021694331.1, XP_021694068.1
OG0000019	XP_017757913.1	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2
OG0000020	XP_017758962.1, XP_017756685.1	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1
OG0000020	XP_017759431.1	XP_021703504.1
OG0000020	XP_017763358.1	XP_021700919.1, XP_001650147.2
OG0000020	XP_017758540.1	XP_021705068.1
OG0000020	XP_017756344.1	XP_021706790.1
OG0000020	XP_017764646.1	XP_021703783.1
OG0000020	XP_017763402.1	XP_021699908.1
OG0000021	XP_017759339.1	XP_001654997.1, XP_021710336.1, XP_021710335.1
OG0000021	XP_017758713.1, XP_017758722.1, XP_017758731.1	XP_021699404.1
OG0000021	XP_017764524.1, XP_017763364.1	XP_021713110.1, XP_001662165.1
OG0000022	XP_017765129.1	XP_001657157.1, XP_001657152.1, XP_001657149.1, XP_001662624.1
OG0000023	XP_017754148.1	XP_021706557.1
OG0000023	XP_017754147.1	XP_021705294.1, XP_021705295.1, XP_021705020.1, XP_021705019.1, XP_021705018.1, XP_021705026.1, XP_021705293.1, XP_021706644.1, XP_021706645.1, XP_021706808.1, XP_021706809.1, XP_021706669.1, XP_021706668.1, XP_021706564.1, XP_001656991.1, XP_001656987.1, XP_021706561.1, XP_021706555.1, XP_021706479.1, XP_021706481.1, XP_021705027.1, XP_001657281.1, XP_021705827.1, XP_001657266.1, XP_021705292.1
OG0000026	XP_017760223.1	XP_021706420.1
OG0000026	XP_017763291.1, XP_017763214.1	XP_021708568.1, XP_021708571.1
OG0000026	XP_017753312.1	XP_021702583.1, XP_021702581.1, XP_021702582.1, XP_021702584.1
OG0000027	XP_017764550.1	XP_021705028.1, XP_001663888.1, XP_021706536.1
OG0000027	XP_017754149.1	XP_021705635.1, XP_021705023.1, XP_021705301.1, XP_021705299.1, XP_021705297.1, XP_021706523.1
OG0000029	XP_017755085.1, XP_017755078.1	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1, XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1
OG0000029	XP_017764405.1, XP_017764404.1	XP_001664018.2
OG0000029	XP_017755093.1, XP_017755092.1	XP_021704637.1, XP_021704641.1, XP_021712735.1
OG0000030	XP_017764870.1	XP_001658050.1
OG0000032	XP_017755945.1	XP_021702783.1
OG0000032	XP_017765759.1, XP_017765770.1, XP_017762938.1	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1
OG0000035	XP_017767482.1	XP_001650274.2, XP_001662128.2
OG0000035	XP_017761425.1	XP_001659549.2, XP_001653600.1, XP_021695840.1, XP_011493156.1, XP_001653602.1, XP_021702436.1, XP_001660379.1, XP_021702428.1, XP_021696237.1, XP_021696236.1, XP_001663166.2, XP_001663167.2, XP_001663165.2, XP_001654498.2, XP_021699048.1, XP_021699049.1, XP_001654514.2, XP_021699050.1
OG0000036	XP_017761194.1, XP_017761192.1	XP_021695536.1
OG0000037	XP_017756758.1	XP_021698956.1, XP_021698957.1, XP_021698955.1, XP_001655400.1, XP_001659628.2, XP_001654516.2, XP_001650153.1, XP_001659658.1, XP_001650182.1, XP_001659653.2, XP_001659654.2, XP_001659610.1, XP_001647747.1, XP_001659651.2, XP_001659656.2, XP_001659657.1
OG0000038	XP_017766133.1, XP_017752930.1	XP_001652144.1, XP_001663407.1
OG0000038	XP_017761849.1	XP_021707546.1, XP_021707545.1, XP_021707544.1, XP_021707542.1
OG0000040	XP_017760692.1, XP_017754464.1, XP_017760639.1	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1, XP_021709866.1, XP_001654842.2, XP_001662080.2, XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2, XP_001662077.2, XP_001662076.1
OG0000041	XP_017765153.1	XP_001655176.1, XP_001655175.1
OG0000041	XP_017759618.1, XP_017759619.1, XP_017759620.1	XP_001659963.1
OG0000041	XP_017754630.1	XP_001649531.1
OG0000042	XP_017757032.1	XP_021693433.1
OG0000042	XP_017762656.1	XP_001658411.2
OG0000043	XP_017765446.1	XP_001660749.1
OG0000043	XP_017760486.1	XP_001660756.1
OG0000043	XP_017760488.1	XP_001660753.1
OG0000044	XP_017767293.1, XP_017767299.1, XP_017767300.1	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1, XP_001662885.2, XP_021693817.1, XP_001651477.2
OG0000044	XP_017767304.1	XP_021712943.1
OG0000045	XP_017753918.1, XP_017763731.1	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2
OG0000046	XP_017765106.1	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1
OG0000046	XP_017757713.1, XP_017764994.1	XP_021707697.1
OG0000048	XP_017756821.1, XP_017756820.1	XP_001663296.2
OG0000050	XP_017754840.1, XP_017754998.1	XP_001654509.1, XP_011493543.2, XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1
OG0000054	XP_017761973.1, XP_017761971.1	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2
OG0000055	XP_017756618.1, XP_017756620.1	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1
OG0000055	XP_017753007.1	XP_001654841.2
OG0000056	XP_017763577.1, XP_017761920.1	XP_021702305.1
OG0000056	XP_017759468.1	XP_021704129.1
OG0000056	XP_017762251.1	XP_021704390.1
OG0000057	XP_017757145.1	XP_001656025.1
OG0000057	XP_017767144.1, XP_017757194.1	XP_021701591.1
OG0000057	XP_017757144.1	XP_001656026.2
OG0000057	XP_017757146.1	XP_001650054.1
OG0000060	XP_017755704.1	XP_001663993.2
OG0000060	XP_017757183.1, XP_017756939.1, XP_017764156.1, XP_017757105.1, XP_017764190.1, XP_017764182.1, XP_017764164.1, XP_017757028.1, XP_017764173.1, XP_017757262.1	XP_021710092.1, XP_021710091.1, XP_001652667.1
OG0000061	XP_017754233.1	XP_021693614.1, XP_021693615.1, XP_021693616.1
OG0000061	XP_017757875.1	XP_001664194.1, XP_001664195.2, XP_001661118.2
OG0000062	XP_017759727.1	XP_001661011.1, XP_001663492.1, XP_001663494.1, XP_001661010.2, XP_001663490.2, XP_001663495.1, XP_021698193.1, XP_001663497.1, XP_001663499.2
OG0000065	XP_017764117.1	XP_011493201.1
OG0000065	XP_017764126.1, XP_017764130.1, XP_017764140.1	XP_011493637.2, XP_011493079.2, XP_011493699.2, XP_021699125.1
OG0000067	XP_017760301.1	XP_001653435.1
OG0000067	XP_017754867.1	XP_001654897.1
OG0000067	XP_017757818.1	XP_001653950.2, XP_001654592.2
OG0000067	XP_017760549.1	XP_001661370.1, XP_021698916.1
OG0000074	XP_017765289.1	XP_021707386.1
OG0000077	XP_017764095.1	XP_001658180.2
OG0000077	XP_017755927.1	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2
OG0000079	XP_017754548.1, XP_017754550.1, XP_017754565.1	XP_001662329.1
OG0000080	XP_017763299.1	XP_021693685.1
OG0000082	XP_017760548.1, XP_017760559.1, XP_017760564.1	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1
OG0000085	XP_017757451.1, XP_017759168.1, XP_017759169.1	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1
OG0000086	XP_017752779.1, XP_017752829.1, XP_017752828.1	XP_021701219.1
OG0000086	XP_017758047.1	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2
OG0000087	XP_017764961.1	XP_001648461.1, XP_001648458.1
OG0000087	XP_017764986.1, XP_017764988.1, XP_017764987.1	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1
OG0000088	XP_017758470.1	XP_021702205.1
OG0000089	XP_017760295.1, XP_017760292.1, XP_017760296.1, XP_017760294.1, XP_017760299.1, XP_017760298.1, XP_017760293.1	XP_001654187.2
OG0000091	XP_017755131.1	XP_021699738.1
OG0000092	XP_017761157.1	XP_021707375.1
OG0000092	XP_017766724.1, XP_017766723.1	XP_021709998.1, XP_001655951.1
OG0000094	XP_017754032.1	XP_021702456.1, XP_001660396.2
OG0000094	XP_017763745.1	XP_001651974.1, XP_001652484.1, XP_001656201.1
OG0000094	XP_017764407.1	XP_021704594.1
OG0000095	XP_017758948.1	XP_001649682.2
OG0000096	XP_017759853.1	XP_001656233.2, XP_001663568.1, XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1
OG0000096	XP_017753661.1	XP_021710758.1, XP_021710759.1, XP_001663099.2, XP_021698426.1, XP_001663097.2
OG0000097	XP_017759272.1, XP_017759271.1, XP_017755959.1, XP_017755960.1	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1
OG0000098	XP_017760521.1, XP_017760519.1, XP_017760520.1, XP_017760517.1, XP_017760518.1, XP_017760523.1, XP_017760524.1, XP_017760522.1	XP_001660410.1
OG0000099	XP_017762062.1, XP_017762063.1	XP_021708064.1, XP_021708068.1, XP_021708072.1
OG0000099	XP_017765789.1	XP_001650952.2
OG0000099	XP_017763025.1	XP_021710287.1
OG0000100	XP_017762097.1	XP_001662579.2
OG0000101	XP_017762608.1	XP_001652481.1
OG0000101	XP_017752973.1, XP_017752972.1, XP_017762351.1	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1, XP_001655711.1
OG0000102	XP_017755997.1, XP_017756024.1, XP_017756022.1, XP_017756023.1, XP_017756026.1	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2
OG0000103	XP_017761262.1	XP_001661506.1
OG0000108	XP_017755056.1, XP_017755065.1	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1
OG0000109	XP_017765546.1, XP_017765544.1, XP_017765545.1, XP_017765540.1, XP_017765542.1, XP_017765541.1, XP_017765543.1	XP_021709303.1
OG0000110	XP_017752642.1, XP_017763176.1	XP_021711612.1, XP_021711613.1
OG0000111	XP_017756246.1	XP_021704753.1
OG0000112	XP_017760945.1, XP_017760944.1	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1
OG0000112	XP_017752746.1, XP_017752755.1, XP_017752737.1, XP_017752760.1, XP_017752729.1	XP_021703753.1
OG0000113	XP_017754450.1, XP_017766321.1	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1
OG0000114	XP_017755231.1	XP_001656658.2
OG0000115	XP_017765840.1, XP_017765841.1, XP_017765838.1, XP_017757043.1	XP_021711348.1
OG0000116	XP_017756858.1, XP_017756906.1	XP_021695569.1
OG0000117	XP_017754328.1	XP_001658273.1
OG0000117	XP_017755804.1	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1
OG0000119	XP_017756878.1, XP_017756873.1	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1
OG0000120	XP_017760327.1, XP_017760326.1, XP_017760325.1	XP_021702687.1
OG0000122	XP_017760255.1	XP_001650409.1, XP_021711773.1
OG0000122	XP_017766449.1	XP_021707885.1
OG0000123	XP_017760450.1, XP_017760451.1, XP_017760448.1, XP_017760449.1, XP_017760452.1	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1
OG0000124	XP_017759439.1, XP_017759448.1	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1
OG0000125	XP_017752157.1, XP_017752160.1, XP_017752159.1, XP_017752162.1, XP_017752161.1, XP_017752163.1, XP_017767778.1, XP_017767758.1	XP_001657204.2
OG0000126	XP_017753608.1, XP_017753607.1, XP_017753606.1, XP_017753605.1, XP_017753604.1	XP_021694197.1
OG0000127	XP_017754012.1, XP_017754013.1	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1
OG0000127	XP_017754044.1	XP_021705806.1, XP_021705807.1, XP_001657917.3
OG0000129	XP_017753388.1	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1
OG0000130	XP_017754767.1	XP_021695251.1
OG0000130	XP_017759668.1	XP_021700367.1
OG0000131	XP_017758818.1	XP_021705306.1
OG0000131	XP_017761464.1, XP_017761457.1, XP_017761449.1	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1
OG0000132	XP_017760124.1	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1
OG0000132	XP_017756059.1	XP_021700410.1, XP_001660044.3, XP_001660042.3
OG0000133	XP_017755394.1	XP_021702724.1, XP_021702723.1
OG0000134	XP_017760856.1	XP_001655292.1
OG0000135	XP_017754219.1	XP_021711278.1, XP_021711277.1, XP_001651832.2
OG0000135	XP_017756053.1, XP_017756054.1	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1
OG0000136	XP_017753466.1, XP_017753465.1, XP_017753464.1, XP_017753463.1, XP_017753462.1, XP_017753460.1	XP_021698234.1, XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1
OG0000137	XP_017761738.1, XP_017758968.1	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1
OG0000138	XP_017753919.1, XP_017753916.1	XP_021712084.1, XP_021694527.1
OG0000139	XP_017764607.1, XP_017764606.1	XP_001663072.2
OG0000140	XP_017761604.1	XP_021702905.1
OG0000141	XP_017766373.1	XP_021706046.1
OG0000141	XP_017756234.1	XP_001663030.2
OG0000143	XP_017757050.1, XP_017765696.1, XP_017765697.1, XP_017765698.1	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1
OG0000144	XP_017759465.1, XP_017759463.1, XP_017759475.1	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2
OG0000145	XP_017753508.1, XP_017753509.1, XP_017752454.1	XP_001661017.2
OG0000146	XP_017762149.1	XP_001662762.1
OG0000146	XP_017757313.1	XP_001660580.2
OG0000147	XP_017764859.1, XP_017755245.1	XP_021708848.1, XP_001659371.1
OG0000149	XP_017752370.1	XP_021701465.1
OG0000149	XP_017752374.1, XP_017752372.1, XP_017752371.1	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1
OG0000150	XP_017761423.1	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1
OG0000151	XP_017754495.1, XP_017754494.1	XP_021697798.1
OG0000152	XP_017752525.1, XP_017752524.1, XP_017752522.1, XP_017752523.1, XP_017752519.1, XP_017752521.1	XP_001653160.1
OG0000153	XP_017752578.1, XP_017752577.1	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1
OG0000154	XP_017755034.1, XP_017755068.1	XP_001662815.2
OG0000156	XP_017764881.1	XP_021696919.1, XP_021712121.1
OG0000157	XP_017766530.1, XP_017766794.1	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1
OG0000158	XP_017757401.1, XP_017757402.1	XP_021696507.1, XP_021696509.1, XP_021698714.1
OG0000160	XP_017762321.1	XP_021709766.1
OG0000160	XP_017760990.1, XP_017760976.1, XP_017760983.1, XP_017760969.1	XP_021707900.1, XP_021710525.1, XP_001662274.1
OG0000161	XP_017766190.1, XP_017765612.1, XP_017766182.1, XP_017766192.1, XP_017753075.1, XP_017765621.1	XP_001656119.2
OG0000162	XP_017760661.1	XP_021694432.1
OG0000162	XP_017760068.1, XP_017761789.1	XP_021704010.1
OG0000162	XP_017758852.1	XP_021706951.1
OG0000164	XP_017752452.1, XP_017752453.1, XP_017752455.1	XP_001654887.2, XP_021701278.1, XP_001654888.2, XP_021697710.1, XP_021695328.1
OG0000165	XP_017763109.1, XP_017763110.1, XP_017763108.1	XP_021697212.1
OG0000165	XP_017754783.1	XP_021704115.1, XP_021704136.1, XP_021704202.1
OG0000166	XP_017765680.1	XP_021694247.1, XP_021704926.1, XP_021704934.1, XP_021704935.1
OG0000168	XP_017755371.1	XP_021712003.1, XP_021699894.1
OG0000168	XP_017767433.1	XP_021705545.1
OG0000170	XP_017767455.1	XP_021699236.1
OG0000171	XP_017763743.1, XP_017763746.1	XP_001654890.1, XP_001654889.1, XP_001654886.2, XP_001656792.2
OG0000173	XP_017753788.1, XP_017753789.1	XP_021694163.1, XP_001649426.1
OG0000174	XP_017759915.1, XP_017759914.1, XP_017759916.1, XP_017765580.1	XP_021704325.1, XP_021704326.1
OG0000175	XP_017757084.1, XP_017757081.1, XP_017757082.1, XP_017757083.1	XP_001654240.1
OG0000177	XP_017754838.1	XP_001651644.2
OG0000177	XP_017754830.1	XP_021707471.1, XP_021707472.1
OG0000177	XP_017754833.1	XP_001651645.1
OG0000178	XP_017764768.1	XP_021707000.1, XP_021706999.1
OG0000179	XP_017762477.1, XP_017762476.1	XP_001655662.1, XP_021712235.1
OG0000180	XP_017764209.1, XP_017764210.1, XP_017764208.1	XP_001654382.1, XP_001654381.1, XP_021693530.1, XP_021693529.1
OG0000181	XP_017763403.1, XP_017763404.1	XP_001656977.3
OG0000183	XP_017755734.1	XP_001655456.2
OG0000183	XP_017758250.1	XP_021704629.1, XP_021704627.1
OG0000184	XP_017766044.1	XP_011493295.2, XP_021702574.1, XP_001655087.1, XP_011493580.2
OG0000185	XP_017760614.1, XP_017760602.1	XP_001651366.1
OG0000186	XP_017765694.1, XP_017765695.1	XP_001658387.1, XP_021710177.1, XP_001652490.2
OG0000187	XP_017755788.1, XP_017755787.1	XP_021703024.1, XP_021703026.1, XP_021703025.1, XP_021703030.1, XP_021703029.1, XP_021703028.1, XP_021703027.1
OG0000188	XP_017762123.1	XP_021694895.1
OG0000188	XP_017763805.1	XP_001656810.1, XP_001656809.1
OG0000188	XP_017761111.1	XP_021704883.1
OG0000189	XP_017753298.1, XP_017753288.1	XP_001655460.2
OG0000189	XP_017753499.1	XP_001655465.2, XP_001655464.2
OG0000190	XP_017757675.1, XP_017757673.1, XP_017757674.1	XP_001660557.1
OG0000191	XP_017753882.1	XP_021708624.1, XP_021708625.1, XP_001651643.2, XP_021711114.1, XP_001658852.2, XP_021709915.1, XP_021708162.1, XP_021706594.1, XP_001647986.1, XP_021707346.1, XP_021705110.1, XP_001661290.1, XP_021706490.1
OG0000192	XP_017760341.1, XP_017758954.1, XP_017758953.1	XP_001664087.2
OG0000194	XP_017756837.1	XP_001658607.2
OG0000196	XP_017756213.1	XP_021709422.1, XP_021709426.1
OG0000197	XP_017753812.1, XP_017753801.1, XP_017753795.1	XP_021697283.1, XP_021697282.1, XP_021697285.1, XP_021697284.1, XP_001661709.1, XP_021697516.1, XP_021697517.1, XP_021697518.1, XP_021697519.1
OG0000198	XP_017761419.1, XP_017761421.1	XP_021706486.1
OG0000200	XP_017759260.1	XP_001655242.1
OG0000201	XP_017757589.1	XP_001663057.1
OG0000201	XP_017757600.1	XP_011493157.1, XP_001652982.2, XP_021711304.1, XP_001659011.2, XP_001659009.1, XP_021712798.1, XP_001654269.2
OG0000202	XP_017765124.1	XP_021695300.1
OG0000203	XP_017753354.1	XP_001662504.2
OG0000203	XP_017759088.1	XP_021697410.1
OG0000204	XP_017766805.1	XP_021704598.1, XP_021704597.1, XP_001656463.1
OG0000205	XP_017752413.1, XP_017752414.1	XP_021697855.1, XP_021697857.1, XP_021697856.1, XP_021697859.1, XP_021697858.1, XP_021697862.1, XP_021697860.1
OG0000206	XP_017762170.1	XP_001651825.1, XP_021704991.1
OG0000206	XP_017762186.1, XP_017762192.1, XP_017762190.1, XP_017762189.1, XP_017762187.1, XP_017762188.1	XP_001648552.1
OG0000207	XP_017760687.1	XP_001650660.1
OG0000207	XP_017756106.1, XP_017756102.1	XP_021698130.1
OG0000208	XP_017756194.1	XP_021698134.1, XP_021698133.1
OG0000208	XP_017765005.1	XP_001653727.1
OG0000209	XP_017756958.1, XP_017756959.1, XP_017756956.1, XP_017756957.1, XP_017756954.1, XP_017756955.1, XP_017756953.1, XP_017756961.1	XP_021711015.1, XP_021711016.1
OG0000210	XP_017766080.1, XP_017767327.1	XP_021702938.1
OG0000210	XP_017766960.1	XP_001655152.2
OG0000212	XP_017759725.1, XP_017760333.1, XP_017760334.1	XP_001650168.2, XP_001650170.2, XP_001650169.2, XP_021705033.1
OG0000213	XP_017755129.1, XP_017755127.1, XP_017755128.1	XP_001660162.2
OG0000214	XP_017752245.1	XP_001653648.2
OG0000214	XP_017752185.1	XP_001660495.2, XP_001648014.1
OG0000215	XP_017765029.1	XP_001650687.1
OG0000216	XP_017761217.1	XP_021695787.1, XP_021695812.1, XP_001658816.2, XP_001660657.2, XP_001652926.3, XP_021705200.1, XP_001652928.1, XP_001652922.1, XP_021704573.1, XP_001656766.3, XP_001663987.1, XP_001652925.2
OG0000217	XP_017766098.1	XP_021712681.1, XP_001656258.2, XP_021707319.1, XP_021696760.1, XP_021696771.1, XP_021694727.1
OG0000218	XP_017762070.1	XP_021706089.1, XP_001660419.1
OG0000219	XP_017755416.1, XP_017755417.1, XP_017755418.1, XP_017755419.1	XP_001650937.1, XP_021711710.1
OG0000220	XP_017767298.1, XP_017767297.1	XP_021710699.1, XP_001651636.1
OG0000221	XP_017758018.1, XP_017758012.1, XP_017758010.1, XP_017758011.1, XP_017758017.1, XP_017758016.1, XP_017758009.1, XP_017758013.1	XP_001660128.1
OG0000223	XP_017759246.1	XP_021710530.1
OG0000223	XP_017762663.1	XP_001658512.3
OG0000224	XP_017765938.1	XP_001654732.1, XP_001654733.2
OG0000225	XP_017757175.1, XP_017757174.1, XP_017757173.1, XP_017766315.1	XP_001647679.1
