Orthogroup	Eufriesea_mexicana	Apis_mellifera
OG0000002	XP_017759712.1, XP_017759730.1	NP_001229898.1
OG0000002	XP_017759752.1	XP_026294907.1, XP_026294903.1
OG0000002	XP_017759710.1	NP_001229904.1, XP_026302131.1
OG0000002	XP_017759755.1, XP_017759744.1, XP_017759709.1, XP_017759756.1	XP_006565964.1, XP_026294957.1, XP_016773539.1, NP_001229902.1, XP_003250750.1, XP_003250751.1, XP_006565958.1, XP_016773535.1, XP_006565962.1, XP_026294766.1, XP_003250754.2, XP_016773534.1, XP_006565886.1, NP_001229901.1, XP_006565953.2
OG0000002	XP_017759713.1	NP_001229897.1
OG0000005	XP_017763088.1, XP_017763087.1	XP_006558866.1, XP_016768598.1
OG0000005	XP_017763034.1, XP_017756505.1, XP_017756502.1, XP_017761859.1, XP_017760232.1, XP_017756229.1, XP_017765412.1, XP_017754456.1, XP_017761075.1, XP_017757739.1, XP_017759155.1	XP_016771095.2
OG0000006	XP_017766722.1	XP_016771362.2
OG0000006	XP_017766521.1	XP_026300642.1
OG0000008	XP_017764283.1	XP_006565046.2
OG0000008	XP_017764386.1	XP_026301320.1
OG0000008	XP_017752288.1	XP_396549.3
OG0000008	XP_017765710.1	XP_394219.3
OG0000008	XP_017764510.1	XP_003250567.1
OG0000008	XP_017764053.1, XP_017763974.1	XP_016769477.1
OG0000009	XP_017757840.1	XP_006562365.2
OG0000009	XP_017758639.1, XP_017758640.1	XP_006562363.1, XP_006562364.1, XP_392000.1
OG0000009	XP_017758638.1, XP_017765620.1, XP_017758637.1	XP_026300962.1
OG0000011	XP_017766918.1	XP_026300256.1, XP_026300257.1, XP_016771071.1
OG0000011	XP_017766920.1	XP_026300228.1
OG0000011	XP_017766951.1	XP_001120948.1
OG0000011	XP_017766915.1, XP_017766916.1, XP_017766912.1, XP_017766917.1	XP_003249278.2
OG0000011	XP_017766923.1, XP_017766924.1, XP_017766928.1, XP_017766929.1, XP_017766939.1, XP_017766952.1, XP_017766932.1	XP_003249229.1
OG0000011	XP_017766919.1, XP_017766926.1, XP_017766946.1, XP_017766936.1	XP_006558389.2, XP_003249267.2, XP_003249268.2, XP_026300226.1, XP_026300229.1, XP_026300225.1
OG0000012	XP_017754945.1	XP_026297101.1, XP_026297165.1
OG0000012	XP_017754933.1	XP_016768428.1
OG0000012	XP_017765063.1	XP_026301256.1
OG0000012	XP_017765064.1	XP_026301257.1
OG0000012	XP_017765060.1	XP_016772201.1, XP_016772200.1
OG0000013	XP_017764546.1	XP_003251619.1, XP_001120132.1
OG0000013	XP_017754146.1	XP_006570899.1
OG0000013	XP_017760618.1	XP_624499.1
OG0000014	XP_017764543.1	XP_003251627.1
OG0000014	XP_017754143.1	XP_006570861.2
OG0000017	XP_017756241.1, XP_017756242.1	XP_006563394.1, NP_001171499.1
OG0000018	XP_017763433.1	XP_393750.5
OG0000018	XP_017761708.1	XP_006564136.1
OG0000018	XP_017760876.1, XP_017760875.1	XP_006566761.2, XP_026299796.1, XP_006566764.2, XP_006566762.2, XP_006566763.2
OG0000018	XP_017760874.1	XP_026299794.1
OG0000018	XP_017758049.1	XP_006563569.1
OG0000019	XP_017758970.1	XP_026299702.1
OG0000019	XP_017754922.1	XP_394827.4
OG0000019	XP_017757913.1	XP_006572051.3
OG0000020	XP_017758962.1	XP_006569751.2
OG0000020	XP_017756685.1	XP_026301504.1
OG0000020	XP_017763358.1	XP_006560785.2
OG0000020	XP_017763402.1	XP_026300927.1
OG0000021	XP_017755079.1	XP_026299753.1
OG0000022	XP_017761001.1	XP_001119899.1
OG0000022	XP_017760075.1	XP_624700.1
OG0000022	XP_017764538.1	XP_001120346.1
OG0000022	XP_017764547.1	XP_001120186.1
OG0000023	XP_017754148.1	XP_001120889.1
OG0000023	XP_017764548.1	XP_003251626.1
OG0000023	XP_017765135.1	XP_001120014.1, XP_003251406.1
OG0000023	XP_017754147.1	XP_001122218.1
OG0000024	XP_017760258.1, XP_017760233.1, XP_017760260.1	XP_026299083.1, XP_001120613.2
OG0000024	XP_017753491.1	XP_016773395.2
OG0000024	XP_017753900.1	NP_001011620.1
OG0000025	XP_017765600.1	XP_026301735.1, XP_026301782.1, XP_026300570.1
OG0000025	XP_017765117.1	XP_026294993.1, XP_026295496.1
OG0000026	XP_017756869.1	XP_392530.3
OG0000026	XP_017763291.1, XP_017763214.1	XP_006557594.2
OG0000026	XP_017753312.1	XP_026295189.1
OG0000026	XP_017752170.1	XP_003251584.1
OG0000027	XP_017764550.1	XP_003251624.1, XP_016773376.1
OG0000027	XP_017754149.1	XP_006570863.1
OG0000029	XP_017755085.1	NP_001257747.1, NP_001257746.1
OG0000029	XP_017764405.1, XP_017764404.1	NP_001257750.1
OG0000029	XP_017755093.1	NP_001257748.1
OG0000029	XP_017755092.1	NP_001257749.1
OG0000030	XP_017764870.1	NP_001177849.1, XP_006572276.1
OG0000030	XP_017761417.1, XP_017761416.1	XP_026300187.1
OG0000032	XP_017762938.1	XP_026298886.1
OG0000034	XP_017754777.1	XP_026299312.1, NP_001229915.1
OG0000034	XP_017754793.1	XP_016770782.1, XP_016770780.1, XP_016770788.1
OG0000035	XP_017767482.1	XP_392319.3
OG0000035	XP_017761425.1	XP_394494.5
OG0000036	XP_017761207.1	XP_016771997.1, XP_001120999.2
OG0000036	XP_017761198.1	XP_006563421.1
OG0000036	XP_017761194.1	XP_006563422.1
OG0000036	XP_017761192.1	XP_001121077.2
OG0000037	XP_017756758.1	NP_001257751.1
OG0000038	XP_017766133.1	XP_623220.1
OG0000038	XP_017765835.1	XP_006558759.1
OG0000038	XP_017761849.1	XP_394092.3
OG0000038	XP_017758046.1	XP_006563567.1
OG0000038	XP_017752947.1	XP_026300252.1
OG0000038	XP_017765235.1	XP_396338.2
OG0000040	XP_017754464.1	XP_394370.2
OG0000041	XP_017765151.1, XP_017765153.1	NP_001172074.1, NP_001172075.1
OG0000041	XP_017759621.1	XP_026296530.1
OG0000041	XP_017759619.1, XP_017759620.1	XP_016767697.1
OG0000041	XP_017754630.1	XP_625015.1
OG0000042	XP_017757032.1	XP_026296155.1, XP_026296156.1, XP_026296157.1, XP_026296158.1, XP_006571892.1, XP_623925.2, XP_026296164.1, XP_026296165.1
OG0000042	XP_017758606.1	XP_026295892.1, XP_026295893.1
OG0000043	XP_017765446.1	XP_016768084.1, NP_001071287.1
OG0000043	XP_017760486.1	NP_001011583.1
OG0000043	XP_017760488.1	XP_006557941.1, NP_001071282.1
OG0000044	XP_017767293.1	XP_006565547.1
OG0000044	XP_017767299.1, XP_017767300.1	XP_006565544.2
OG0000044	XP_017767304.1	XP_006565537.1
OG0000045	XP_017753918.1	NP_001035349.1
OG0000045	XP_017763731.1	NP_001011608.1
OG0000045	XP_017757512.1	XP_006564814.1, XP_026296732.1, XP_006564813.1
OG0000046	XP_017765106.1	NP_001153524.1
OG0000046	XP_017757713.1	NP_001153522.1
OG0000046	XP_017764994.1	NP_001153544.1
OG0000048	XP_017756821.1, XP_017756820.1	XP_016769367.1
OG0000048	XP_017756884.1	XP_026298613.1
OG0000048	XP_017756824.1	XP_006567535.1
OG0000050	XP_017754840.1	XP_026299635.1, XP_392696.5
OG0000050	XP_017754998.1	XP_026297792.1, XP_026297793.1, XP_016768459.2, XP_026297794.1, XP_026300733.1, XP_026300653.1, NP_001128419.1, XP_006564307.1, NP_001136081.1
OG0000052	XP_017753621.1	XP_624251.3
OG0000054	XP_017761989.1	NP_001257759.1
OG0000054	XP_017761973.1	NP_001257754.1
OG0000054	XP_017761971.1	NP_001257753.1
OG0000055	XP_017753007.1	XP_016771370.1
OG0000055	XP_017754560.1	XP_006562397.1
OG0000055	XP_017759282.1	XP_393860.4
OG0000056	XP_017763577.1	XP_026297251.1
OG0000056	XP_017759468.1	XP_026301167.1
OG0000056	XP_017758914.1	XP_026297087.1
OG0000056	XP_017762251.1	XP_026299492.1
OG0000057	XP_017757145.1	XP_392313.1
OG0000057	XP_017767144.1	XP_026300739.1
OG0000057	XP_017757194.1	XP_394471.1
OG0000057	XP_017757144.1	XP_394469.1
OG0000058	XP_017758945.1	XP_026294942.1
OG0000058	XP_017758952.1	NP_001314879.1, XP_016766488.1, XP_026294950.1, XP_026294949.1, XP_016766484.1
OG0000058	XP_017765356.1, XP_017765413.1, XP_017759157.1	XP_026301740.1
OG0000058	XP_017760962.1, XP_017760963.1	XP_016766491.1, XP_006557709.2
OG0000058	XP_017753024.1, XP_017760964.1	XP_026297763.1
OG0000060	XP_017755704.1	XP_006565271.2, XP_006565270.3, XP_026300076.1, XP_026300077.1, XP_016770937.2, XP_016770938.2
OG0000060	XP_017757183.1, XP_017756939.1, XP_017764156.1, XP_017757105.1, XP_017764190.1, XP_017764182.1, XP_017764164.1, XP_017757028.1, XP_017764173.1, XP_017757262.1	NP_001180219.1, XP_006565210.1
OG0000061	XP_017754233.1	XP_397017.3
OG0000061	XP_017757875.1	XP_624322.1, XP_016773033.1
OG0000062	XP_017759727.1	XP_006568238.2
OG0000062	XP_017762224.1	XP_001119884.1
OG0000062	XP_017762229.1	XP_001120194.1
OG0000062	XP_017762225.1	XP_001120006.2
OG0000062	XP_017762231.1	XP_001120137.1
OG0000064	XP_017753432.1, XP_017753408.1, XP_017753409.1	XP_026299914.1, NP_001229917.1, XP_006562273.2, XP_006562271.1
OG0000064	XP_017753410.1	XP_016771123.1
OG0000065	XP_017764126.1	XP_026299150.1
OG0000067	XP_017760301.1	XP_006561513.1
OG0000067	XP_017757819.1	XP_026300867.1
OG0000067	XP_017754867.1	XP_026299464.1
OG0000067	XP_017757818.1	XP_006560064.1
OG0000067	XP_017760549.1	XP_395774.2
OG0000069	XP_017754841.1	XP_006564460.2, XP_392727.4
OG0000069	XP_017754842.1	XP_016770440.2
OG0000069	XP_017754843.1	XP_016770442.2
OG0000070	XP_017764085.1	NP_001229918.1
OG0000073	XP_017761867.1	XP_003251791.2
OG0000073	XP_017761874.1	XP_016773440.1
OG0000074	XP_017761968.1, XP_017758620.1	XP_001120594.2
OG0000077	XP_017764095.1	XP_006567467.1
OG0000077	XP_017755927.1	XP_395426.5
OG0000078	XP_017756551.1	XP_026294842.1
OG0000078	XP_017753026.1, XP_017753027.1	XP_006572184.2
OG0000078	XP_017753037.1	XP_026294928.1
OG0000078	XP_017753029.1	XP_026294834.1
OG0000078	XP_017753025.1	XP_026294841.1
OG0000079	XP_017754547.1, XP_017754546.1	XP_026295829.1
OG0000079	XP_017754553.1	XP_026295828.1
OG0000079	XP_017754550.1	XP_006562781.1
OG0000079	XP_017754565.1	XP_006562778.1
OG0000080	XP_017763299.1	XP_397228.2
OG0000080	XP_017763330.1, XP_017763331.1	XP_623221.2
OG0000080	XP_017763303.1	XP_006559470.1
OG0000081	XP_017758034.1	XP_006563549.2
OG0000082	XP_017760548.1	XP_006565018.1
OG0000082	XP_017760564.1	XP_026300908.1, XP_006565021.2, XP_006565022.2, XP_016773421.2
OG0000084	XP_017759810.1	NP_001257744.1
OG0000084	XP_017759811.1	NP_001257757.1
OG0000084	XP_017759821.1	NP_001257743.1
OG0000084	XP_017757681.1	XP_026300413.1
OG0000085	XP_017757451.1	XP_394579.2
OG0000086	XP_017752829.1, XP_017752828.1	XP_016772143.2, XP_001120043.2
OG0000086	XP_017758047.1	XP_016772088.2
OG0000087	XP_017764961.1	XP_624353.1
OG0000087	XP_017764988.1, XP_017764987.1	XP_016772139.1
OG0000088	XP_017758470.1	XP_006566240.1, XP_006566239.1, XP_026299220.1
OG0000089	XP_017760295.1, XP_017760292.1, XP_017760296.1, XP_017760294.1, XP_017760299.1, XP_017760298.1, XP_017760293.1	XP_003249883.2, XP_016768850.2
OG0000089	XP_017760239.1	XP_001120425.1
OG0000091	XP_017755131.1	XP_026299597.1, XP_026299596.1
OG0000092	XP_017758288.1, XP_017758287.1	XP_006558182.1, XP_396653.1
OG0000092	XP_017758318.1	XP_396654.1, XP_016768016.1
OG0000092	XP_017766724.1, XP_017766723.1	XP_006560146.1
OG0000094	XP_017754032.1	XP_394160.3, XP_016770351.2
OG0000094	XP_017763745.1	XP_026299983.1
OG0000094	XP_017764407.1	XP_006572211.1
OG0000095	XP_017758948.1	XP_006564430.1
OG0000096	XP_017759853.1	XP_026300868.1
OG0000096	XP_017753661.1	XP_003250667.2, XP_006562163.1
OG0000097	XP_017759272.1, XP_017759271.1	XP_006566906.1, NP_001011628.1
OG0000097	XP_017755959.1, XP_017755960.1	NP_001014993.1
OG0000098	XP_017760521.1, XP_017760519.1, XP_017760520.1, XP_017760517.1, XP_017760518.1, XP_017760523.1, XP_017760524.1, XP_017760522.1	XP_006561279.1
OG0000099	XP_017762062.1, XP_017762063.1	XP_026301459.1
OG0000099	XP_017765789.1	XP_026301457.1, XP_026301458.1
OG0000099	XP_017763025.1	XP_006563474.1
OG0000100	XP_017762097.1	XP_026300139.1, XP_026300138.1, XP_026300137.1, XP_026300136.1
OG0000101	XP_017762608.1	XP_016769181.1
OG0000101	XP_017752973.1, XP_017752972.1, XP_017762351.1	XP_016769182.2
OG0000102	XP_017755997.1	XP_026298009.1
OG0000102	XP_017756026.1	XP_016768868.1, XP_006559629.1
OG0000103	XP_017761262.1	XP_395932.2, XP_016769753.1, XP_006559124.1, XP_006559125.1
OG0000103	XP_017759973.1	XP_026298877.1
OG0000103	XP_017759705.1	XP_006558409.1, XP_016770073.1, XP_006558410.1
OG0000106	XP_017759614.1	XP_001120660.2
OG0000107	XP_017763391.1	XP_006570363.1
OG0000108	XP_017755056.1, XP_017755065.1	XP_026296997.1, XP_026296995.1, XP_026296996.1
OG0000109	XP_017765546.1, XP_017765544.1, XP_017765545.1, XP_017765540.1, XP_017765542.1, XP_017765541.1, XP_017765543.1	XP_006568159.1, XP_396912.1, XP_026300511.1, XP_006568157.1
OG0000110	XP_017752642.1	XP_016771484.1, XP_026300877.1
OG0000110	XP_017763176.1	XP_016771820.2
OG0000111	XP_017759645.1	XP_016767388.2
OG0000111	XP_017756246.1	XP_016769305.2
OG0000112	XP_017760945.1, XP_017760944.1	XP_016770669.1
OG0000112	XP_017752746.1, XP_017752755.1, XP_017752737.1, XP_017752760.1, XP_017752729.1	XP_395840.2
OG0000113	XP_017754450.1	XP_001120149.1
OG0000113	XP_017766321.1	XP_001121347.2
OG0000114	XP_017755231.1	XP_026296673.1
OG0000115	XP_017765840.1, XP_017765841.1, XP_017765838.1	NP_001136128.1, XP_006560566.1
OG0000116	XP_017756858.1	XP_001119871.2, XP_006567638.1, XP_006567639.1, XP_006567636.1
OG0000117	XP_017754328.1	XP_006566844.1
OG0000117	XP_017755804.1	XP_016769650.1, XP_006561716.1, XP_006561714.1, XP_006561715.1, XP_006561713.1
OG0000119	XP_017756878.1, XP_017756873.1	XP_006567540.1, XP_006567591.1, XP_016769352.1, XP_016769353.1
OG0000120	XP_017760327.1, XP_017760326.1, XP_017760325.1	XP_026300994.1, XP_026300993.1, XP_026300992.1, XP_396662.2, XP_006559344.1
OG0000122	XP_017760255.1	XP_396281.5
OG0000122	XP_017766449.1	XP_006569022.1
OG0000124	XP_017759439.1, XP_017759448.1	XP_026297158.1, XP_026297157.1, XP_026297160.1, XP_026297159.1
OG0000125	XP_017752157.1, XP_017752160.1, XP_017752159.1, XP_017752162.1, XP_017752161.1, XP_017752163.1, XP_017767778.1	XP_016768147.1
OG0000125	XP_017767758.1	XP_393208.1
OG0000126	XP_017753608.1, XP_017753607.1, XP_017753606.1, XP_017753605.1, XP_017753604.1	XP_016772382.1, NP_001011571.1
OG0000127	XP_017754012.1, XP_017754013.1	XP_006570777.1, XP_016771428.1, XP_016771429.1
OG0000127	XP_017754044.1	XP_396819.2
OG0000129	XP_017753388.1	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571984.1, XP_006571986.1
OG0000130	XP_017754767.1	XP_394686.4
OG0000130	XP_017759668.1	XP_026297554.1, XP_394687.3, XP_006565573.1
OG0000131	XP_017758818.1	XP_006564418.1
OG0000131	XP_017761457.1	XP_392990.2
OG0000132	XP_017760124.1	XP_006569358.1, XP_006569359.1, XP_016767260.1
OG0000132	XP_017756059.1	XP_006567280.1, XP_006567283.1, XP_006567281.1
OG0000133	XP_017755394.1	XP_026295597.1, XP_026295595.1, XP_026295600.1, XP_026295601.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295596.1
OG0000134	XP_017760856.1	XP_006566587.1, XP_026299656.1, XP_623559.1, XP_026299657.1
OG0000135	XP_017761243.1	XP_392723.3
OG0000135	XP_017754219.1	XP_026300893.1
OG0000136	XP_017753466.1	XP_001123230.2
OG0000136	XP_017753465.1, XP_017753464.1, XP_017753463.1	XP_001122953.3
OG0000136	XP_017753462.1	XP_026298823.1
OG0000136	XP_017753460.1	XP_003251589.1, XP_006570633.1, XP_006570637.2
OG0000137	XP_017761738.1	XP_016768164.1, XP_016768165.1, XP_393390.3, XP_016768163.1
OG0000137	XP_017758968.1	XP_026298341.1
OG0000138	XP_017753919.1	XP_006561534.1
OG0000138	XP_017753916.1	XP_006561540.1
OG0000139	XP_017764606.1	XP_026302052.1
OG0000140	XP_017761604.1	XP_006565855.1, XP_006565854.1, XP_006565856.1
OG0000141	XP_017757816.1	XP_396377.3, XP_016771703.1
OG0000141	XP_017756234.1	XP_393772.4
OG0000142	XP_017752989.1, XP_017752988.1	XP_026300389.1
OG0000143	XP_017757050.1	XP_394342.1
OG0000143	XP_017765696.1, XP_017765697.1, XP_017765698.1	XP_001120755.1, XP_006568273.1, XP_006568272.1, XP_006568271.1, XP_016766288.1
OG0000144	XP_017759465.1	NP_001092187.1
OG0000144	XP_017759463.1	NP_001011600.1
OG0000144	XP_017759475.1	NP_001104234.1
OG0000145	XP_017753508.1, XP_017753509.1	XP_006571519.1, NP_001128406.1
OG0000145	XP_017752454.1	XP_006557552.1, NP_001011643.1
OG0000146	XP_017762149.1	XP_006569990.1
OG0000146	XP_017755057.1, XP_017755054.1, XP_017755055.1	XP_001120801.1
OG0000147	XP_017764859.1	XP_026301958.1
OG0000149	XP_017752370.1	XP_624573.2
OG0000149	XP_017752374.1, XP_017752372.1, XP_017752371.1	XP_006560541.1
OG0000150	XP_017761423.1	XP_006565287.1, XP_006565286.1, XP_006565285.1, XP_006565289.1, XP_006565288.1, XP_393853.1
OG0000151	XP_017754495.1, XP_017754494.1	XP_026295481.1, XP_026295482.1, XP_026295477.1, XP_026295478.1, XP_026295479.1, XP_026295480.1, XP_026295483.1
OG0000152	XP_017752525.1, XP_017752524.1, XP_017752522.1, XP_017752523.1, XP_017752519.1, XP_017752521.1	XP_016768964.1, XP_006564637.1, XP_006564641.1, XP_006564638.1, XP_006564639.1, XP_006564640.1
OG0000153	XP_017752578.1, XP_017752577.1	XP_006557622.1
OG0000154	XP_017755034.1, XP_017755068.1	XP_003249939.3
OG0000156	XP_017764881.1	XP_006570154.1, XP_016768502.1, XP_016768504.1, XP_016768503.1
OG0000157	XP_017766530.1	XP_016771183.1
OG0000157	XP_017766794.1	XP_016771274.2
OG0000158	XP_017757401.1, XP_017757402.1	XP_026296664.1
OG0000160	XP_017762321.1	XP_006570492.2
OG0000161	XP_017766190.1	NP_001011563.1
OG0000161	XP_017765612.1, XP_017766182.1, XP_017766192.1, XP_017753075.1	NP_001119716.1
OG0000162	XP_017760661.1	NP_001091691.1, XP_006562616.1
OG0000162	XP_017760068.1, XP_017761789.1	XP_016767550.1, NP_001073029.1
OG0000162	XP_017758852.1	NP_001091690.1, XP_026298411.1
OG0000164	XP_017752452.1	XP_016768018.2
OG0000164	XP_017752455.1	XP_006558190.2
OG0000165	XP_017763109.1, XP_017763110.1, XP_017763108.1	XP_006559859.1, XP_006559861.1, XP_006559860.1, XP_396828.2
OG0000165	XP_017754783.1	XP_006566324.1
OG0000166	XP_017765680.1	XP_016766244.2, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_006569176.3, XP_006569170.3
OG0000168	XP_017767433.1	XP_026295680.1
OG0000169	XP_017754848.1, XP_017754959.1, XP_017754988.1, XP_017761127.1, XP_017755084.1, XP_017754974.1	XP_026296992.1, XP_026297082.1, XP_016768414.1
OG0000170	XP_017767455.1	XP_026299163.1
OG0000171	XP_017763746.1	XP_623922.2
OG0000172	XP_017756212.1, XP_017756209.1, XP_017756208.1, XP_017756205.1, XP_017756207.1, XP_017756206.1, XP_017756210.1, XP_017756211.1	XP_006565262.1, XP_006565259.1, XP_006565261.1
OG0000173	XP_017753788.1, XP_017753789.1	XP_006560020.1, XP_006560019.1
OG0000174	XP_017759915.1, XP_017759914.1, XP_017759916.1, XP_017765580.1	XP_394018.2
OG0000175	XP_017757084.1, XP_017757081.1, XP_017757082.1, XP_017757083.1	XP_026300817.1, XP_026300815.1, XP_006560073.1, XP_006560074.1, XP_623977.2, XP_026300816.1
OG0000176	XP_017757060.1	XP_003251204.1
OG0000177	XP_017754838.1	XP_001121910.1
OG0000177	XP_017754830.1	XP_016770327.1, XP_006566372.1
OG0000177	XP_017754833.1	XP_016770328.1
OG0000178	XP_017764768.1	XP_026295349.1, XP_026295348.1, XP_026295362.1, XP_026295342.1, XP_026295361.1, XP_026295350.1, XP_026295334.1, XP_026295368.1, XP_026295335.1, XP_026295343.1, XP_026295364.1, XP_026295345.1, XP_026295336.1, XP_026295367.1, XP_026295337.1, XP_026295352.1, XP_026295365.1, XP_026295333.1, XP_026295341.1, XP_026295331.1, XP_026295372.1, XP_026295340.1, XP_026295353.1, XP_026295370.1, XP_026295354.1, XP_026295358.1, XP_026295347.1, XP_026295355.1, XP_026295363.1, XP_026295346.1, XP_026295344.1, XP_026295359.1, XP_026295351.1, XP_026295338.1, XP_026295339.1, XP_026295369.1, XP_026295332.1, XP_026295356.1
OG0000179	XP_017762472.1	XP_026301506.1
OG0000179	XP_017762477.1, XP_017762476.1	XP_393381.2
OG0000179	XP_017764861.1	XP_001119897.1
OG0000180	XP_017764209.1, XP_017764210.1, XP_017764208.1	XP_006559502.1, XP_006559501.1, XP_393573.1, XP_016769007.1, XP_016769006.1
OG0000181	XP_017763403.1, XP_017763404.1	XP_393751.2, XP_006570397.2, XP_016770282.2
OG0000182	XP_017761809.1, XP_017761808.1	XP_006561855.2
OG0000183	XP_017755734.1	XP_026298476.1, XP_026298477.1
OG0000183	XP_017758250.1	XP_395404.2
OG0000184	XP_017766044.1	XP_016773569.1, XP_026300573.1
OG0000185	XP_017760602.1	XP_003250560.1
OG0000185	XP_017760610.1	XP_006565025.1
OG0000186	XP_017765694.1, XP_017765695.1	XP_001119981.4
OG0000187	XP_017755788.1, XP_017755787.1	XP_016769442.2
OG0000188	XP_017762123.1	XP_394855.4
OG0000188	XP_017761111.1	XP_395697.2
OG0000190	XP_017757675.1, XP_017757673.1, XP_017757674.1	XP_006563703.1, XP_006563702.1, XP_006563701.1, XP_006563700.1
OG0000191	XP_017753882.1	XP_026301152.1
OG0000192	XP_017760341.1, XP_017758954.1, XP_017758953.1	XP_006557723.1, XP_396406.5, XP_006557720.1
OG0000194	XP_017756837.1	XP_003249950.2
OG0000194	XP_017756836.1	NP_001257752.1
OG0000194	XP_017756838.1	XP_006561931.1, XP_016769566.1, XP_016769565.2
OG0000196	XP_017756213.1	XP_003250051.2
OG0000196	XP_017757746.1, XP_017757744.1, XP_017757745.1	XP_003251169.1, XP_016771426.1
OG0000197	XP_017753812.1	XP_006565013.1, XP_016773443.1, XP_026300501.1
OG0000197	XP_017753801.1, XP_017753795.1	XP_006565014.2
OG0000198	XP_017761419.1, XP_017761421.1	XP_624772.2
OG0000200	XP_017759260.1	XP_026296548.1
OG0000200	XP_017760688.1	XP_006566649.2
OG0000200	XP_017760689.1	XP_006566650.1
OG0000201	XP_017757600.1	XP_006562412.3
OG0000202	XP_017755518.1	XP_006558615.1
OG0000202	XP_017765124.1	XP_016768758.1, XP_016768759.1
OG0000203	XP_017753354.1	XP_623676.2
OG0000203	XP_017759088.1	XP_006558107.2, XP_395356.4
OG0000204	XP_017766805.1	XP_001121814.2
OG0000205	XP_017752413.1, XP_017752414.1	XP_016766914.1
OG0000206	XP_017762186.1, XP_017762192.1, XP_017762190.1, XP_017762189.1, XP_017762187.1, XP_017762188.1	XP_026300186.1
OG0000207	XP_017760687.1	NP_001014430.1, XP_006566311.1
OG0000207	XP_017756106.1	NP_001011652.1
OG0000207	XP_017756102.1	NP_001305411.1
OG0000208	XP_017756194.1	XP_006562317.1
OG0000208	XP_017765005.1	XP_625189.3
OG0000209	XP_017756958.1, XP_017756959.1, XP_017756956.1, XP_017756957.1, XP_017756954.1, XP_017756955.1, XP_017756953.1, XP_017756961.1	XP_016769475.1, XP_016769473.1, XP_016769472.1, XP_016769471.1, XP_016769470.1, XP_016769476.1, XP_016769474.1
OG0000210	XP_017766080.1	XP_026297186.1
OG0000210	XP_017767327.1	XP_016769921.1
OG0000210	XP_017766960.1	XP_006562251.2
OG0000212	XP_017759725.1	XP_001121043.2
OG0000213	XP_017755129.1, XP_017755127.1, XP_017755128.1	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1
OG0000214	XP_017752245.1	XP_623084.1
OG0000214	XP_017752185.1	XP_392104.4
OG0000215	XP_017765029.1	XP_016772012.1, XP_394061.2
OG0000216	XP_017761217.1	XP_016767691.1
OG0000217	XP_017766098.1	XP_394861.4
OG0000218	XP_017762070.1	XP_623312.2
OG0000219	XP_017755416.1, XP_017755417.1, XP_017755418.1, XP_017755419.1	XP_392277.4, XP_006563970.2
OG0000221	XP_017758018.1, XP_017758012.1, XP_017758010.1, XP_017758011.1, XP_017758017.1, XP_017758016.1, XP_017758009.1, XP_017758013.1	XP_006571382.1
OG0000223	XP_017759246.1	NP_001157186.1, XP_016769330.2
OG0000223	XP_017762663.1	XP_001121634.3
OG0000224	XP_017765938.1	XP_006560620.1
OG0000225	XP_017766315.1	XP_006567210.2
