Orthogroup	Eufriesea_mexicana	Bombyx_mori
OG0000084	XP_017759810.1, XP_017759811.1, XP_017759821.1	XP_012550708.1, NP_001166718.1
OG0000084	XP_017757681.1	NP_001166714.1, NP_001036828.1, NP_001166712.1, NP_001166744.1, NP_001036827.1, NP_001166742.1
OG0000085	XP_017759168.1, XP_017759169.1	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1
OG0000086	XP_017752779.1, XP_017752829.1, XP_017752828.1	NP_001243984.1
OG0000086	XP_017758047.1	XP_004922188.1
OG0000087	XP_017764961.1	XP_004925118.1
OG0000087	XP_017764986.1	XP_004926772.1
OG0000088	XP_017758470.1	XP_037876269.1, XP_037876266.1
OG0000091	XP_017755131.1	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1
OG0000092	XP_017761157.1, XP_017758288.1, XP_017758287.1, XP_017758318.1, XP_017766724.1, XP_017766723.1	NP_001040445.1
OG0000093	XP_017759423.1	XP_037875612.1
OG0000094	XP_017763745.1	XP_037867226.1
OG0000094	XP_017764407.1	XP_004929868.2
OG0000095	XP_017758948.1	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1
OG0000096	XP_017759853.1	XP_004933352.2
OG0000097	XP_017759272.1, XP_017759271.1, XP_017755959.1, XP_017755960.1	XP_012544532.1, XP_037871911.1, XP_004924657.1
OG0000098	XP_017760521.1, XP_017760519.1, XP_017760520.1, XP_017760517.1, XP_017760518.1, XP_017760523.1, XP_017760524.1, XP_017760522.1	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1
OG0000099	XP_017762062.1, XP_017762063.1	XP_012551708.2
OG0000099	XP_017765789.1	XP_004933046.1
OG0000099	XP_017763025.1	XP_037876655.1
OG0000101	XP_017752973.1, XP_017752972.1, XP_017762351.1	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1
OG0000102	XP_017755997.1, XP_017756024.1, XP_017756022.1, XP_017756023.1, XP_017756026.1	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1
OG0000103	XP_017761262.1	XP_037869904.1
OG0000108	XP_017755056.1, XP_017755065.1	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1
OG0000109	XP_017765546.1, XP_017765544.1, XP_017765545.1, XP_017765540.1, XP_017765542.1, XP_017765541.1, XP_017765543.1	XP_021205885.1
OG0000110	XP_017752642.1, XP_017763176.1	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1
OG0000111	XP_017759645.1	XP_037868928.1, XP_037868924.1, XP_004922902.1, XP_004931121.1
OG0000111	XP_017756246.1	XP_004927517.1
OG0000112	XP_017752746.1, XP_017752755.1, XP_017752737.1, XP_017752760.1, XP_017752729.1	NP_001240824.1, XP_012546717.1
OG0000113	XP_017754450.1, XP_017766321.1	XP_004929660.1, XP_004925443.2, XP_012545237.2
OG0000114	XP_017755231.1	XP_037876437.1
OG0000115	XP_017765840.1, XP_017765841.1, XP_017765838.1, XP_017757043.1	NP_001037077.1, XP_012544300.1, NP_001036994.1
OG0000117	XP_017754328.1	NP_001040298.1
OG0000117	XP_017755804.1	NP_001233214.1, XP_012552766.1
OG0000119	XP_017756878.1, XP_017756873.1	XP_037869697.1
OG0000120	XP_017760327.1, XP_017760326.1, XP_017760325.1	XP_021207126.2
OG0000122	XP_017766449.1	XP_037871005.1
OG0000122	XP_017761215.1, XP_017765619.1	XP_021202268.1, XP_012544010.1, XP_037868883.1, XP_004924046.1
OG0000123	XP_017760450.1, XP_017760451.1, XP_017760448.1, XP_017760449.1, XP_017760452.1	NP_001037614.1, XP_012548321.1
OG0000124	XP_017759439.1, XP_017759448.1	XP_037871306.1, XP_037871307.1, XP_021208751.2
OG0000125	XP_017752157.1, XP_017752160.1, XP_017752159.1, XP_017752162.1, XP_017752161.1, XP_017752163.1, XP_017767778.1, XP_017767758.1	XP_004926881.1, XP_012546430.1, XP_012547144.2
OG0000126	XP_017753608.1, XP_017753607.1, XP_017753606.1, XP_017753605.1, XP_017753604.1	XP_012549565.1, NP_001037319.1
OG0000127	XP_017754012.1, XP_017754013.1	XP_012551315.1, NP_001037024.1
OG0000127	XP_017754044.1	NP_001189458.1, XP_012551311.1
OG0000129	XP_017753388.1	XP_021203173.1
OG0000130	XP_017754767.1	NP_001108469.1
OG0000130	XP_017759668.1	XP_012548931.3
OG0000131	XP_017758818.1	XP_004931759.1
OG0000131	XP_017761464.1, XP_017761457.1, XP_017761449.1	NP_001091755.1
OG0000132	XP_017760124.1	NP_001164651.1, XP_037870176.1
OG0000132	XP_017756059.1	NP_001164650.1
OG0000133	XP_017755394.1	XP_021207866.1, XP_004932639.1
OG0000134	XP_017760856.1	XP_004924013.1, XP_004924014.1, XP_012544046.1
OG0000135	XP_017761243.1	NP_001108336.1, XP_021202711.1
OG0000135	XP_017754219.1	NP_001166873.1, XP_037875522.1
OG0000135	XP_017756053.1, XP_017756054.1	NP_001108335.1
OG0000136	XP_017753466.1, XP_017753465.1, XP_017753464.1, XP_017753463.1, XP_017753462.1, XP_017753460.1	XP_037876368.1, XP_004927026.1
OG0000137	XP_017761738.1, XP_017758968.1	XP_037868770.1
OG0000138	XP_017753919.1, XP_017753916.1	XP_037868949.1, XP_004925223.3
OG0000139	XP_017764607.1, XP_017764606.1	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1
OG0000140	XP_017761532.1	XP_021202079.2
OG0000141	XP_017757816.1	XP_004931634.1
OG0000141	XP_017756234.1	XP_021207972.2
OG0000143	XP_017757050.1, XP_017765696.1, XP_017765697.1, XP_017765698.1	XP_037870673.1, NP_001040254.1, XP_004927859.1
OG0000144	XP_017759465.1, XP_017759463.1, XP_017759475.1	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2
OG0000145	XP_017753508.1, XP_017753509.1, XP_017752454.1	XP_021209325.1, XP_037876916.1, XP_004923491.1
OG0000146	XP_017762149.1	XP_037871222.1, XP_004922825.1
OG0000146	XP_017755057.1, XP_017755054.1, XP_017755055.1	NP_001106739.1, NP_001106231.1
OG0000147	XP_017764859.1, XP_017755245.1	XP_004933126.1
OG0000149	XP_017752370.1	XP_037875543.1
OG0000149	XP_017752374.1, XP_017752372.1, XP_017752371.1	XP_004924927.1, XP_004924928.1
OG0000150	XP_017761423.1	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1
OG0000151	XP_017754495.1, XP_017754494.1	XP_037867739.1, XP_021208204.1, XP_021208205.1
OG0000152	XP_017752525.1, XP_017752524.1, XP_017752522.1, XP_017752523.1, XP_017752519.1, XP_017752521.1	XP_021205393.1
OG0000153	XP_017752578.1, XP_017752577.1	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1
OG0000154	XP_017755034.1, XP_017755068.1	XP_037873529.1
OG0000156	XP_017764881.1	XP_021206155.2
OG0000157	XP_017766530.1, XP_017766794.1	XP_037869375.1
OG0000158	XP_017757401.1, XP_017757402.1	XP_021204632.1
OG0000160	XP_017762321.1	XP_004925382.2
OG0000160	XP_017760990.1, XP_017760976.1, XP_017760983.1, XP_017760969.1	XP_004925399.2, XP_004925398.1
OG0000161	XP_017766190.1, XP_017765612.1, XP_017766182.1, XP_017766192.1, XP_017753075.1, XP_017765621.1	NP_001182393.1
OG0000162	XP_017760661.1	NP_001103389.1, XP_037868604.1
OG0000162	XP_017760068.1, XP_017761789.1	NP_001103387.2, XP_037868602.1
OG0000162	XP_017758852.1	NP_001103388.1, XP_021203288.2
OG0000164	XP_017752452.1, XP_017752453.1, XP_017752455.1	XP_037875027.1, XP_037872511.1
OG0000165	XP_017763109.1, XP_017763110.1, XP_017763108.1	XP_012547188.1, XP_021204892.1
OG0000165	XP_017754783.1	XP_012551706.2
OG0000166	XP_017765680.1	XP_037868137.1
OG0000168	XP_017755371.1	XP_037866971.1, XP_037876295.1, XP_037867009.1, XP_037872857.1
OG0000168	XP_017765729.1, XP_017767433.1	XP_037873451.1
OG0000170	XP_017767455.1	XP_004924795.2
OG0000171	XP_017763743.1, XP_017763746.1	NP_001296478.1, XP_037876331.1, XP_037876328.1
OG0000173	XP_017753788.1, XP_017753789.1	NP_001093316.1
OG0000174	XP_017759915.1, XP_017759914.1, XP_017759916.1, XP_017765580.1	NP_001040490.1, XP_037874321.1
OG0000175	XP_017757084.1, XP_017757081.1, XP_017757082.1, XP_017757083.1	NP_001040124.1
OG0000176	XP_017757060.1	XP_037868940.1, XP_037870006.1, XP_037876480.1, XP_037869968.1, XP_037867396.1
OG0000177	XP_017754838.1	XP_004931030.1
OG0000177	XP_017754830.1	XP_004931031.2
OG0000177	XP_017754833.1	XP_004930870.1
OG0000178	XP_017764768.1	XP_037871996.1, XP_004924483.2
OG0000179	XP_017762472.1	NP_001040172.1, XP_021206181.1
OG0000179	XP_017762477.1, XP_017762476.1	NP_001037301.1
OG0000180	XP_017764209.1, XP_017764210.1, XP_017764208.1	XP_004930542.1
OG0000181	XP_017763403.1, XP_017763404.1	NP_001037380.1, XP_037871534.1
OG0000182	XP_017761809.1, XP_017761808.1	XP_037866789.1
OG0000183	XP_017758250.1	XP_004930975.1
OG0000184	XP_017766044.1	XP_004932760.3
OG0000187	XP_017755788.1, XP_017755787.1	XP_004929301.1
OG0000188	XP_017761111.1	NP_001037050.1
OG0000189	XP_017753298.1, XP_017753288.1	XP_037875495.1, XP_037875337.1
OG0000189	XP_017753499.1	XP_037875292.1, XP_037875291.1
OG0000190	XP_017757675.1, XP_017757673.1, XP_017757674.1	XP_004931167.1
OG0000191	XP_017753882.1	XP_037872497.1, XP_037875388.1, XP_021208965.1, XP_021208964.2
OG0000192	XP_017760341.1, XP_017758954.1, XP_017758953.1	XP_021207317.1
OG0000196	XP_017756213.1	XP_012545232.2
OG0000196	XP_017757746.1, XP_017757744.1, XP_017757745.1	XP_004929740.2, XP_021205898.2, XP_004929623.3, XP_021205897.2
OG0000197	XP_017753812.1, XP_017753801.1, XP_017753795.1	XP_012551294.2, XP_004932561.2, XP_037872840.1, XP_004931928.2, XP_004931927.1, XP_037868489.1
OG0000198	XP_017761419.1, XP_017761421.1	XP_037870155.1
OG0000200	XP_017759260.1	XP_012550244.1, NP_001036841.1
OG0000200	XP_017760688.1, XP_017760689.1	NP_001036881.1
OG0000201	XP_017757589.1	XP_004930370.2
OG0000201	XP_017757600.1	NP_001040155.1, NP_001040154.1, XP_012552516.1, XP_012552521.1, NP_001243997.1, XP_004922761.1, XP_004922760.1, XP_004922779.1, XP_004931809.1, XP_004928423.2, XP_004931849.1, XP_004931273.1
OG0000202	XP_017755518.1, XP_017765124.1	NP_001281213.1
OG0000203	XP_017753354.1	XP_004930258.2, XP_037876006.1
OG0000203	XP_017759088.1	XP_037867417.1
OG0000204	XP_017766805.1	XP_012547643.2, XP_037873174.1, XP_021205107.1, XP_004928344.1, XP_012547605.1, XP_004928345.1, XP_037873267.1
OG0000205	XP_017752413.1, XP_017752414.1	NP_001243944.1
OG0000206	XP_017762170.1	XP_004924015.1
OG0000206	XP_017762186.1, XP_017762192.1, XP_017762190.1, XP_017762189.1, XP_017762187.1, XP_017762188.1	XP_004922930.2
OG0000207	XP_017760687.1	NP_001037594.1
OG0000207	XP_017756106.1, XP_017756102.1	NP_001091793.1, XP_004930513.3
OG0000208	XP_017756194.1	XP_037869032.1, NP_001103395.1
OG0000209	XP_017756958.1, XP_017756959.1, XP_017756956.1, XP_017756957.1, XP_017756954.1, XP_017756955.1, XP_017756953.1, XP_017756961.1	XP_037869646.1, XP_004932917.2, XP_037869645.1, XP_012551601.2, XP_012551602.2, XP_012551603.2
OG0000210	XP_017766080.1, XP_017767327.1	XP_012544085.3
OG0000210	XP_017766960.1	XP_037866888.1, XP_037866887.1
OG0000212	XP_017759725.1, XP_017760333.1, XP_017760334.1	XP_037869182.1, NP_001106228.1
OG0000213	XP_017755129.1, XP_017755127.1, XP_017755128.1	XP_004922013.1
OG0000214	XP_017752245.1	NP_001040475.1
OG0000214	XP_017752185.1	NP_001040198.1, XP_037870587.1
OG0000215	XP_017765029.1	XP_037866848.1, XP_004930044.1
OG0000216	XP_017761217.1	NP_001108343.1
OG0000217	XP_017766098.1	XP_021203021.2, XP_012548700.2, XP_004933855.2, XP_037870903.1
OG0000218	XP_017762070.1	XP_004930688.1
OG0000219	XP_017755416.1, XP_017755417.1, XP_017755418.1, XP_017755419.1	XP_004931785.1
OG0000221	XP_017758018.1, XP_017758012.1, XP_017758010.1, XP_017758011.1, XP_017758017.1, XP_017758016.1, XP_017758009.1, XP_017758013.1	XP_037867521.1, XP_021207573.1, XP_021207493.1, XP_004922691.2, XP_012551723.1, XP_012551720.1, XP_004922638.1, XP_037871234.1, XP_037877580.1, XP_037872846.1, XP_037877505.1, XP_037872849.1, XP_037872848.1, XP_037877503.1, XP_037877504.1, XP_037877506.1, XP_037877501.1, XP_037877502.1, XP_037872850.1, XP_037877579.1, XP_037877510.1, XP_037877561.1, XP_037877562.1
OG0000223	XP_017759246.1	NP_001037450.1, NP_001128672.1, XP_012550372.1, NP_001036840.1
OG0000225	XP_017757175.1, XP_017757174.1, XP_017757173.1, XP_017766315.1	NP_001040252.1
OG0000226	XP_017766524.1	NP_001127711.1, XP_021204237.1
OG0000226	XP_017766628.1, XP_017766627.1	XP_037873831.1, NP_001127712.1
OG0000227	XP_017753440.1, XP_017753439.1	XP_012550182.2, XP_004931163.3, XP_012550180.2
OG0000228	XP_017752721.1	XP_037869231.1, XP_012553288.1
OG0000229	XP_017752613.1	XP_004928517.1, XP_012547831.1
OG0000230	XP_017761904.1, XP_017766664.1, XP_017766665.1, XP_017766666.1	XP_021208331.1, XP_004933333.1
OG0000231	XP_017757286.1	XP_037871854.1, XP_037877315.1
OG0000232	XP_017760637.1, XP_017760638.1	XP_012546482.1, NP_001040472.1
OG0000233	XP_017764854.1, XP_017764853.1, XP_017764855.1	XP_004928912.1, XP_004928913.2
OG0000235	XP_017760227.1	XP_037877778.1, XP_012548383.2, XP_037877767.1, XP_037877779.1
OG0000236	XP_017758058.1	NP_001036882.1, XP_037871515.1, XP_037871704.1, XP_021205252.2
OG0000237	XP_017755467.1	XP_004931804.1
OG0000237	XP_017755463.1	XP_037875185.1
OG0000241	XP_017758632.1	XP_012547063.1, XP_004926042.1, XP_037873319.1, XP_012546361.1, XP_004929513.1, XP_004929472.2
OG0000244	XP_017759937.1	XP_021202524.1
OG0000245	XP_017761178.1, XP_017755476.1	NP_001037534.1, XP_037872283.1, XP_012548212.3, NP_001037335.1, XP_037872125.1
OG0000246	XP_017766874.1	XP_012549895.1, NP_001037174.1
OG0000246	XP_017766882.1	XP_004931016.1
OG0000247	XP_017758708.1	XP_021207883.2, XP_037873736.1
OG0000248	XP_017762295.1	XP_021203484.2, XP_037872942.1
OG0000248	XP_017762294.1	XP_012552972.1
OG0000249	XP_017759215.1, XP_017759214.1, XP_017759216.1, XP_017759219.1, XP_017759218.1, XP_017759217.1	NP_001138804.1, XP_012545064.1
OG0000250	XP_017767365.1	XP_021206228.1, XP_004930144.1
OG0000250	XP_017752448.1	XP_004930143.1
OG0000251	XP_017763935.1, XP_017756494.1	XP_021206899.1, NP_001108066.1
OG0000252	XP_017759065.1, XP_017759064.1	NP_001104796.1
OG0000253	XP_017758167.1	XP_021208580.1, NP_001037287.1
OG0000253	XP_017756999.1	NP_001037285.1
OG0000254	XP_017755940.1	XP_004921802.3
