Orthogroup	Eufriesea_mexicana	Polistes_dominula
OG0000103	XP_017759973.1	XP_015174400.1, XP_015174392.1
OG0000103	XP_017759705.1	XP_015174420.1, XP_015174451.1, XP_015174437.1, XP_015174429.1, XP_015174443.1, XP_015174411.1
OG0000106	XP_017759614.1	XP_015189668.1
OG0000106	XP_017761703.1	XP_015179304.1
OG0000107	XP_017763391.1	XP_015172211.1, XP_015172212.1
OG0000108	XP_017755056.1, XP_017755065.1	XP_015181990.1, XP_015182011.1, XP_015191850.1
OG0000109	XP_017765546.1, XP_017765544.1, XP_017765545.1, XP_017765540.1, XP_017765542.1, XP_017765541.1, XP_017765543.1	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1
OG0000110	XP_017752642.1	XP_015177093.1
OG0000110	XP_017763176.1	XP_015180892.1
OG0000111	XP_017759645.1	XP_015175971.1
OG0000111	XP_017756246.1	XP_015188005.1
OG0000112	XP_017760945.1, XP_017760944.1	XP_015188234.1, XP_015188235.1, XP_015188236.1
OG0000112	XP_017752746.1, XP_017752755.1, XP_017752737.1, XP_017752760.1, XP_017752729.1	XP_015180272.1, XP_015180273.1
OG0000113	XP_017754450.1	XP_015185884.1
OG0000113	XP_017766321.1	XP_015172979.1, XP_015172980.1
OG0000114	XP_017755231.1	XP_015171119.1
OG0000115	XP_017765840.1, XP_017765841.1, XP_017765838.1	XP_015171184.1, XP_015171185.1
OG0000115	XP_017757043.1	XP_015183848.1, XP_015183846.1
OG0000116	XP_017756858.1	XP_015173852.1, XP_015173854.1, XP_015173853.1
OG0000116	XP_017756906.1	XP_015173840.1, XP_015173841.1
OG0000117	XP_017754328.1	XP_015176195.1
OG0000117	XP_017755804.1	XP_015171648.1, XP_015171595.1
OG0000119	XP_017756878.1, XP_017756873.1	XP_015178611.1, XP_015178609.1, XP_015178605.1, XP_015178601.1
OG0000120	XP_017760327.1, XP_017760326.1, XP_017760325.1	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1
OG0000122	XP_017760255.1	XP_015172102.1
OG0000122	XP_017766449.1	XP_015172140.1
OG0000122	XP_017761215.1	XP_015182416.1
OG0000122	XP_017765619.1	XP_015182415.1
OG0000123	XP_017760450.1, XP_017760451.1, XP_017760448.1, XP_017760449.1, XP_017760452.1	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1
OG0000124	XP_017759439.1, XP_017759448.1	XP_015173329.1, XP_015173327.1, XP_015173328.1
OG0000125	XP_017752157.1, XP_017752160.1, XP_017752159.1, XP_017752162.1, XP_017752161.1, XP_017752163.1, XP_017767778.1, XP_017767758.1	XP_015191429.1
OG0000126	XP_017753608.1, XP_017753607.1, XP_017753606.1, XP_017753605.1, XP_017753604.1	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1
OG0000127	XP_017754012.1, XP_017754013.1	XP_015189033.1
OG0000127	XP_017754044.1	XP_015188504.1
OG0000129	XP_017753388.1	XP_015185341.1, XP_015185342.1
OG0000130	XP_017754767.1	XP_015177985.1, XP_015177986.1
OG0000130	XP_017759668.1	XP_015178018.1, XP_015178019.1
OG0000131	XP_017758818.1	XP_015188702.1
OG0000131	XP_017761457.1	XP_015181077.1, XP_015181078.1
OG0000132	XP_017760124.1	XP_015173499.1, XP_015173500.1
OG0000132	XP_017756059.1	XP_015188177.1
OG0000133	XP_017755394.1	XP_015173823.1
OG0000135	XP_017761243.1	XP_015176354.1
OG0000135	XP_017754219.1	XP_015190379.1, XP_015190377.1, XP_015190378.1
OG0000135	XP_017756053.1, XP_017756054.1	XP_015186255.1
OG0000136	XP_017753466.1, XP_017753465.1, XP_017753464.1, XP_017753463.1, XP_017753462.1, XP_017753460.1	XP_015182073.1
OG0000137	XP_017761738.1	XP_015174184.1
OG0000138	XP_017753919.1	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1
OG0000138	XP_017753916.1	XP_015181777.1
OG0000139	XP_017764607.1	XP_015184451.1, XP_015184450.1
OG0000139	XP_017764606.1	XP_015184449.1
OG0000140	XP_017761604.1	XP_015172454.1
OG0000141	XP_017757816.1	XP_015172584.1
OG0000141	XP_017766373.1	XP_015191838.1
OG0000141	XP_017756234.1	XP_015178844.1, XP_015178845.1
OG0000142	XP_017752989.1, XP_017752988.1, XP_017752990.1	XP_015177690.1
OG0000143	XP_017757050.1	XP_015188708.1
OG0000143	XP_017765696.1, XP_017765697.1, XP_017765698.1	XP_015188709.1, XP_015188710.1
OG0000144	XP_017759465.1	XP_015177945.1
OG0000144	XP_017759475.1	XP_015177942.1
OG0000145	XP_017753508.1, XP_017753509.1	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1
OG0000145	XP_017752454.1	XP_015191830.1, XP_015191831.1, XP_015191832.1
OG0000146	XP_017762149.1, XP_017755057.1, XP_017755054.1, XP_017755055.1	XP_015178326.1, XP_015178324.1
OG0000146	XP_017757313.1	XP_015181347.1
OG0000147	XP_017764859.1	XP_015188786.1, XP_015188787.1, XP_015188785.1, XP_015188788.1
OG0000147	XP_017755245.1	XP_015172908.1
OG0000149	XP_017752370.1	XP_015183082.1
OG0000149	XP_017752374.1, XP_017752372.1, XP_017752371.1	XP_015183081.1, XP_015183080.1, XP_015183079.1
OG0000150	XP_017761423.1	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1
OG0000151	XP_017754495.1, XP_017754494.1	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1
OG0000152	XP_017752525.1, XP_017752524.1, XP_017752522.1, XP_017752523.1, XP_017752519.1, XP_017752521.1	XP_015177279.1
OG0000153	XP_017752578.1, XP_017752577.1	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1
OG0000154	XP_017755034.1, XP_017755068.1	XP_015178505.1, XP_015178503.1, XP_015178507.1, XP_015178506.1
OG0000156	XP_017764881.1	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1
OG0000157	XP_017766794.1	XP_015176246.1
OG0000158	XP_017757401.1, XP_017757402.1	XP_015179488.1
OG0000160	XP_017762321.1	XP_015185930.1
OG0000160	XP_017760990.1, XP_017760976.1, XP_017760983.1, XP_017760969.1	XP_015184081.1
OG0000161	XP_017766190.1	XP_015176784.1
OG0000162	XP_017760661.1	XP_015186367.1
OG0000162	XP_017758852.1	XP_015182682.1
OG0000164	XP_017752452.1	XP_015191636.1
OG0000164	XP_017752455.1	XP_015191588.1
OG0000165	XP_017763109.1, XP_017763110.1, XP_017763108.1	XP_015185448.1
OG0000165	XP_017754783.1	XP_015174982.1
OG0000166	XP_017765680.1	XP_015173109.1, XP_015173102.1, XP_015173096.1, XP_015173094.1, XP_015173098.1
OG0000171	XP_017763743.1	XP_015174391.1
OG0000171	XP_017763746.1	XP_015174730.1
OG0000172	XP_017756212.1, XP_017756209.1, XP_017756208.1, XP_017756205.1, XP_017756207.1, XP_017756206.1, XP_017756210.1, XP_017756211.1	XP_015184112.1, XP_015184114.1, XP_015184115.1, XP_015184116.1, XP_015184111.1
OG0000173	XP_017753788.1, XP_017753789.1	XP_015173985.1, XP_015173987.1, XP_015173988.1, XP_015173989.1
OG0000174	XP_017759915.1, XP_017759914.1, XP_017759916.1, XP_017765580.1	XP_015191732.1, XP_015191730.1, XP_015191731.1
OG0000175	XP_017757084.1, XP_017757081.1, XP_017757082.1, XP_017757083.1	XP_015184505.1, XP_015184496.1, XP_015184487.1, XP_015184522.1, XP_015184514.1
OG0000176	XP_017757060.1	XP_015179485.1
OG0000177	XP_017754838.1	XP_015191041.1
OG0000177	XP_017754830.1	XP_015190999.1
OG0000178	XP_017764768.1	XP_015179140.1
OG0000179	XP_017762472.1	XP_015183599.1
OG0000179	XP_017762477.1, XP_017762476.1	XP_015184549.1
OG0000179	XP_017764861.1	XP_015181406.1
OG0000180	XP_017764209.1, XP_017764210.1, XP_017764208.1	XP_015171486.1, XP_015171485.1, XP_015171484.1
OG0000181	XP_017763403.1, XP_017763404.1	XP_015183736.1, XP_015183737.1, XP_015183738.1, XP_015183741.1, XP_015183739.1, XP_015183735.1
OG0000182	XP_017761809.1, XP_017761808.1	XP_015177676.1, XP_015177666.1, XP_015177685.1, XP_015177651.1, XP_015177659.1
OG0000183	XP_017755734.1	XP_015175162.1
OG0000183	XP_017758250.1	XP_015181592.1
OG0000185	XP_017760602.1	XP_015175891.1, XP_015175892.1, XP_015175893.1
OG0000185	XP_017760610.1	XP_015175804.1
OG0000186	XP_017765694.1, XP_017765695.1	XP_015183983.1, XP_015183981.1
OG0000187	XP_017755788.1, XP_017755787.1	XP_015180155.1, XP_015180146.1, XP_015180136.1
OG0000188	XP_017761111.1	XP_015176881.1
OG0000189	XP_017753298.1, XP_017753288.1	XP_015173121.1, XP_015173134.1
OG0000189	XP_017753499.1	XP_015171025.1
OG0000190	XP_017757675.1, XP_017757673.1, XP_017757674.1	XP_015184945.1
OG0000191	XP_017753882.1	XP_015179465.1, XP_015179466.1
OG0000192	XP_017760341.1, XP_017758954.1, XP_017758953.1	XP_015178452.1
OG0000194	XP_017756837.1	XP_015173607.1
OG0000194	XP_017756836.1	XP_015173634.1
OG0000194	XP_017756838.1	XP_015181334.1, XP_015181335.1
OG0000196	XP_017756213.1	XP_015178964.1
OG0000196	XP_017757746.1, XP_017757744.1, XP_017757745.1	XP_015174639.1
OG0000198	XP_017761419.1, XP_017761421.1	XP_015173178.1
OG0000199	XP_017764995.1	XP_015174540.1
OG0000200	XP_017759260.1	XP_015187594.1
OG0000200	XP_017760688.1, XP_017760689.1	XP_015178431.1, XP_015178427.1
OG0000201	XP_017757589.1	XP_015179138.1
OG0000202	XP_017755518.1	XP_015177652.1, XP_015177653.1, XP_015177655.1, XP_015177654.1
OG0000203	XP_017753354.1	XP_015176004.1
OG0000203	XP_017759088.1	XP_015174579.1, XP_015174578.1
OG0000204	XP_017766805.1	XP_015182497.1, XP_015177887.1
OG0000205	XP_017752413.1, XP_017752414.1	XP_015183111.1, XP_015183110.1
OG0000206	XP_017762170.1	XP_015186289.1
OG0000206	XP_017762186.1, XP_017762192.1, XP_017762190.1, XP_017762189.1, XP_017762187.1, XP_017762188.1	XP_015186290.1, XP_015186291.1
OG0000207	XP_017760687.1	XP_015175962.1
OG0000207	XP_017756106.1	XP_015186420.1, XP_015186417.1
OG0000208	XP_017756194.1	XP_015186385.1
OG0000208	XP_017765005.1	XP_015173568.1
OG0000209	XP_017756958.1, XP_017756959.1, XP_017756956.1, XP_017756957.1, XP_017756954.1, XP_017756955.1, XP_017756953.1, XP_017756961.1	XP_015184955.1
OG0000210	XP_017766080.1	XP_015177416.1
OG0000210	XP_017767327.1	XP_015180468.1
OG0000210	XP_017766960.1	XP_015185061.1
OG0000212	XP_017759725.1	XP_015179526.1, XP_015179527.1
OG0000212	XP_017760333.1, XP_017760334.1	XP_015185494.1
OG0000213	XP_017755129.1, XP_017755127.1, XP_017755128.1	XP_015189481.1
OG0000214	XP_017752245.1	XP_015190491.1
OG0000214	XP_017752185.1	XP_015175994.1
OG0000215	XP_017765029.1	XP_015185000.1, XP_015185001.1
OG0000216	XP_017761217.1	XP_015185916.1
OG0000217	XP_017766098.1	XP_015186718.1
OG0000218	XP_017762070.1	XP_015174590.1, XP_015174588.1, XP_015174591.1
OG0000219	XP_017755416.1, XP_017755417.1, XP_017755418.1, XP_017755419.1	XP_015173758.1, XP_015173757.1, XP_015173756.1
OG0000220	XP_017767298.1, XP_017767297.1	XP_015184604.1
OG0000221	XP_017758018.1, XP_017758012.1, XP_017758010.1, XP_017758011.1, XP_017758017.1, XP_017758016.1, XP_017758009.1, XP_017758013.1	XP_015184406.1
OG0000223	XP_017759246.1	XP_015186521.1
OG0000223	XP_017762663.1	XP_015178968.1
OG0000225	XP_017757175.1, XP_017757174.1, XP_017757173.1	XP_015171829.1, XP_015171828.1
OG0000225	XP_017766315.1	XP_015176375.1
OG0000227	XP_017753440.1, XP_017753439.1	XP_015177648.1, XP_015177645.1
OG0000229	XP_017752613.1	XP_015186538.1
OG0000230	XP_017766664.1, XP_017766665.1, XP_017766666.1	XP_015187246.1, XP_015187244.1, XP_015187242.1, XP_015187243.1
OG0000231	XP_017757286.1	XP_015174418.1, XP_015174419.1
OG0000232	XP_017760637.1, XP_017760638.1	XP_015185539.1, XP_015185538.1, XP_015185537.1
OG0000233	XP_017764854.1, XP_017764853.1, XP_017764855.1	XP_015178474.1
OG0000235	XP_017760227.1	XP_015191589.1
OG0000236	XP_017758058.1	XP_015175604.1, XP_015175605.1
OG0000236	XP_017758056.1	XP_015175615.1
OG0000237	XP_017755467.1	XP_015171667.1
OG0000237	XP_017755463.1	XP_015171630.1
OG0000239	XP_017766799.1	XP_015190308.1, XP_015190309.1, XP_015189352.1
OG0000240	XP_017763750.1	XP_015173344.1, XP_015173331.1, XP_015173359.1
