Orthogroup	Eufriesea_mexicana	Megachile_rotundata
OG0000032	XP_017755945.1	XP_003700812.2
OG0000032	XP_017765759.1, XP_017765770.1	XP_012153617.1, XP_012153679.1, XP_012153681.1, XP_003700221.1, XP_012153682.1, XP_003700222.2, XP_003700219.1, XP_003700218.1, XP_012153678.1, XP_012153677.1
OG0000032	XP_017762938.1	XP_012148506.1
OG0000034	XP_017754795.1, XP_017754776.1, XP_017754775.1, XP_017754778.1, XP_017754793.1	XP_012138745.1, XP_012138734.1
OG0000034	XP_017754772.1	XP_012143136.1
OG0000035	XP_017767482.1	XP_003699462.1
OG0000036	XP_017761207.1	XP_003708655.1
OG0000036	XP_017761192.1	XP_003708656.1
OG0000037	XP_017756758.1	XP_012141146.1
OG0000038	XP_017766133.1, XP_017752930.1	XP_012136030.1, XP_003703285.1
OG0000038	XP_017765835.1	XP_012138042.1
OG0000038	XP_017761849.1	XP_012143992.1
OG0000038	XP_017758046.1	XP_012146808.1, XP_012146805.1
OG0000038	XP_017752947.1	XP_012148553.1
OG0000038	XP_017765235.1	XP_012153286.1
OG0000039	XP_017756504.1	XP_012150922.1, XP_012142568.1
OG0000040	XP_017760692.1	XP_012139968.1
OG0000040	XP_017754464.1	XP_003700885.1, XP_012135227.1, XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1
OG0000040	XP_017760639.1	XP_012148108.1
OG0000041	XP_017765151.1, XP_017765153.1	XP_012137793.1, XP_012137792.1, XP_003702208.1
OG0000041	XP_017759621.1	XP_012147267.1, XP_012147266.1
OG0000041	XP_017759618.1, XP_017759619.1, XP_017759620.1	XP_003706098.1, XP_003706097.1, XP_012147262.1, XP_012147261.1, XP_012147260.1, XP_012147263.1
OG0000041	XP_017754630.1	XP_003700544.1
OG0000042	XP_017762656.1	XP_012140350.1
OG0000042	XP_017758606.1	XP_012142134.1, XP_003703962.2
OG0000043	XP_017765446.1	XP_003705047.1
OG0000043	XP_017760486.1	XP_012153654.1
OG0000043	XP_017760488.1	XP_003700214.1
OG0000043	XP_017755191.1	XP_003708519.1
OG0000044	XP_017767293.1	XP_012148083.1
OG0000044	XP_017767299.1, XP_017767300.1	XP_012148084.1
OG0000044	XP_017767304.1	XP_003706475.2
OG0000045	XP_017753918.1	XP_003703631.1
OG0000045	XP_017757512.1	XP_003707415.2
OG0000046	XP_017765106.1	XP_012146503.1
OG0000046	XP_017757713.1	XP_003705538.1
OG0000046	XP_017764994.1	XP_012153320.1
OG0000048	XP_017756821.1, XP_017756820.1	XP_012150784.1
OG0000048	XP_017756884.1	XP_012150787.1
OG0000048	XP_017756824.1	XP_012150791.1
OG0000048	XP_017756818.1	XP_012150870.1
OG0000048	XP_017756889.1	XP_012150871.1
OG0000050	XP_017754840.1	XP_003700585.1
OG0000050	XP_017754998.1	XP_003704799.2
OG0000051	XP_017758189.1	XP_012145580.1
OG0000051	XP_017765501.1, XP_017765020.1	XP_012146258.1, XP_012153222.1, XP_012152153.1
OG0000051	XP_017758188.1	XP_012139276.1
OG0000053	XP_017767290.1	XP_012148086.1
OG0000054	XP_017761989.1	XP_003707234.1
OG0000054	XP_017761973.1	XP_012149797.1
OG0000054	XP_017761971.1	XP_003707236.1
OG0000055	XP_017756618.1, XP_017756620.1	XP_003702736.1
OG0000055	XP_017753007.1	XP_012143001.1
OG0000055	XP_017754560.1	XP_012141945.1
OG0000055	XP_017759282.1	XP_012136069.1
OG0000056	XP_017763577.1	XP_012140855.1
OG0000056	XP_017761920.1	XP_012148645.1
OG0000056	XP_017759468.1	XP_012147749.1
OG0000056	XP_017758914.1	XP_012140860.1
OG0000056	XP_017762251.1	XP_012154207.1, XP_012154186.1
OG0000057	XP_017757145.1	XP_003706217.1
OG0000057	XP_017767144.1	XP_003702759.1
OG0000057	XP_017757194.1	XP_012147418.1
OG0000057	XP_017757144.1	XP_003706216.1
OG0000058	XP_017758945.1	XP_012152350.1
OG0000060	XP_017755704.1	XP_012134573.1, XP_012134574.1, XP_012134572.1
OG0000060	XP_017757183.1, XP_017756939.1, XP_017764156.1, XP_017757105.1, XP_017764190.1, XP_017764182.1, XP_017764164.1, XP_017757028.1, XP_017764173.1, XP_017757262.1	XP_003704987.1, XP_012144429.1, XP_012144430.1, XP_012144432.1, XP_012144433.1, XP_012144434.1, XP_012144435.1
OG0000061	XP_017754233.1	XP_003703873.1
OG0000061	XP_017757875.1	XP_012143526.1, XP_003704544.2, XP_003704543.1, XP_003704539.1, XP_003704545.1, XP_003704542.1, XP_012143334.1, XP_003704521.1, XP_012143269.1, XP_012143273.1, XP_012143272.1, XP_003704535.1, XP_012143274.1, XP_012143275.1
OG0000062	XP_017759727.1	XP_012135095.1
OG0000062	XP_017762224.1	XP_003701703.1
OG0000062	XP_017762229.1	XP_003701707.1
OG0000062	XP_017762225.1	XP_003701665.1
OG0000062	XP_017762231.1	XP_003701705.1
OG0000064	XP_017753432.1, XP_017753408.1, XP_017753409.1, XP_017753435.1, XP_017753433.1	XP_012142565.1, XP_003704115.1, XP_012142564.1, XP_012142566.1
OG0000065	XP_017764117.1	XP_012143903.1, XP_012143889.1, XP_012143895.1
OG0000067	XP_017760301.1	XP_012148170.1
OG0000067	XP_017757819.1	XP_012137444.1, XP_012137447.1
OG0000067	XP_017754867.1	XP_012152266.1
OG0000067	XP_017757818.1	XP_003701916.1
OG0000067	XP_017760549.1	XP_003707128.1
OG0000069	XP_017754841.1	XP_012154574.1, XP_012154573.1, XP_003700629.1, XP_012154572.1, XP_012154575.1, XP_012154571.1
OG0000069	XP_017754843.1	XP_012154576.1
OG0000070	XP_017758779.1	XP_012150706.1
OG0000073	XP_017761867.1	XP_003702701.1, XP_012139216.1, XP_003702702.1
OG0000073	XP_017761873.1, XP_017761872.1, XP_017761874.1	XP_003702718.1, XP_003702704.1
OG0000074	XP_017761968.1, XP_017758620.1	XP_012149755.1, XP_012149751.1, XP_012149748.1
OG0000074	XP_017765289.1	XP_003705844.2
OG0000076	XP_017759694.1	XP_012147801.1
OG0000076	XP_017762647.1	XP_012146526.1, XP_012136798.1, XP_012136213.1, XP_012151893.1
OG0000076	XP_017755225.1	XP_012150534.1
OG0000077	XP_017764095.1	XP_012150605.1, XP_012150604.1
OG0000077	XP_017755927.1	XP_003703606.1
OG0000078	XP_017753037.1	XP_012149880.1
OG0000078	XP_017753025.1, XP_017765591.1, XP_017762297.1, XP_017762310.1	XP_012149881.1, XP_012149882.1
OG0000079	XP_017754547.1	XP_003703883.1
OG0000079	XP_017754546.1	XP_012142004.1
OG0000079	XP_017754553.1	XP_012141949.1
OG0000079	XP_017754548.1	XP_012142006.1
OG0000079	XP_017754565.1	XP_012141955.1
OG0000080	XP_017763299.1	XP_012154343.1, XP_012154339.1, XP_012154340.1, XP_012154342.1, XP_012154341.1
OG0000080	XP_017763330.1, XP_017763331.1	XP_003700522.1
OG0000080	XP_017763303.1	XP_003700524.1
OG0000081	XP_017758034.1	XP_012143986.1, XP_012143985.1, XP_012143891.1, XP_012143988.1, XP_012143893.1, XP_003704733.2
OG0000082	XP_017760548.1	XP_012151975.1
OG0000082	XP_017760564.1	XP_012151997.1
OG0000084	XP_017759810.1	XP_003701847.1
OG0000084	XP_017759821.1	XP_003701826.2
OG0000084	XP_017757681.1	XP_003701043.1
OG0000085	XP_017757451.1	XP_003702681.1
OG0000085	XP_017759168.1, XP_017759169.1	XP_012135334.1, XP_012135335.1, XP_012135336.1, XP_012135337.1, XP_003701022.1, XP_012135341.1, XP_012135339.1, XP_012135338.1, XP_012135340.1
OG0000086	XP_017752779.1	XP_003699659.2
OG0000086	XP_017758047.1	XP_012143956.1, XP_012143955.1
OG0000087	XP_017764961.1	XP_003708584.1
OG0000087	XP_017764988.1, XP_017764987.1	XP_012153278.1
OG0000088	XP_017758470.1	XP_003701082.1
OG0000089	XP_017760295.1, XP_017760292.1, XP_017760296.1, XP_017760294.1, XP_017760299.1, XP_017760298.1, XP_017760293.1	XP_012148159.1, XP_012148158.1, XP_012148161.1, XP_012148160.1, XP_012148157.1, XP_003706562.1
OG0000089	XP_017760239.1	XP_003706466.1
OG0000091	XP_017755131.1	XP_012147561.1, XP_012147560.1, XP_012147559.1, XP_012147526.1, XP_012147527.1, XP_012147542.1
OG0000092	XP_017761157.1	XP_012144682.1
OG0000092	XP_017758288.1, XP_017758287.1	XP_003702709.1
OG0000092	XP_017758318.1	XP_003702708.1
OG0000092	XP_017766724.1, XP_017766723.1	XP_012142981.1, XP_003704244.1
OG0000094	XP_017754032.1	XP_012151693.1
OG0000094	XP_017764407.1	XP_012154361.1
OG0000096	XP_017759853.1	XP_012147708.1
OG0000096	XP_017753661.1	XP_012137363.1, XP_012137365.1
OG0000097	XP_017759272.1, XP_017759271.1	XP_012153341.1
OG0000097	XP_017755959.1, XP_017755960.1	XP_003705350.1
OG0000098	XP_017760521.1, XP_017760519.1, XP_017760520.1, XP_017760517.1, XP_017760518.1, XP_017760523.1, XP_017760524.1, XP_017760522.1	XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1, XP_012149137.1
OG0000099	XP_017762062.1, XP_017762063.1	XP_003705981.1, XP_012146974.1
OG0000099	XP_017765789.1	XP_012140644.1, XP_012140638.1, XP_012140627.1, XP_012140632.1
OG0000099	XP_017763025.1	XP_012136224.1
OG0000100	XP_017762097.1	XP_012144538.1, XP_012144537.1, XP_012144535.1, XP_012144536.1, XP_003704922.1
OG0000101	XP_017762608.1	XP_012141182.1, XP_012141571.1
OG0000101	XP_017752973.1, XP_017752972.1, XP_017762351.1	XP_012141186.1, XP_003703468.1
OG0000102	XP_017755997.1	XP_012135996.1
OG0000102	XP_017756024.1, XP_017756022.1, XP_017756023.1	XP_012135840.1
OG0000102	XP_017756026.1	XP_012135835.1
OG0000103	XP_017761262.1	XP_012144424.1
OG0000103	XP_017759973.1	XP_003699704.1
OG0000103	XP_017759705.1	XP_012143723.1
OG0000106	XP_017759614.1	XP_003706674.1
OG0000106	XP_017761703.1	XP_012146762.1, XP_012146725.1, XP_012146726.1, XP_012146761.1, XP_012146727.1
OG0000107	XP_017763391.1	XP_012151270.1, XP_012151275.1
OG0000108	XP_017755056.1, XP_017755065.1	XP_012145715.1, XP_012145712.1, XP_012145714.1, XP_012145710.1, XP_012145711.1
OG0000109	XP_017765546.1, XP_017765544.1, XP_017765545.1, XP_017765540.1, XP_017765542.1, XP_017765541.1, XP_017765543.1	XP_003700281.2
OG0000110	XP_017752642.1	XP_012147291.1
OG0000110	XP_017763176.1	XP_012139832.1
OG0000111	XP_017759645.1	XP_012143770.1
OG0000111	XP_017756246.1	XP_012135600.1
OG0000112	XP_017760945.1, XP_017760944.1	XP_012147792.1, XP_012147787.1, XP_003699938.1, XP_012147768.1, XP_012147782.1
OG0000112	XP_017752746.1, XP_017752755.1, XP_017752737.1, XP_017752760.1, XP_017752729.1	XP_003700355.1, XP_012154003.1
OG0000113	XP_017754450.1	XP_003701045.1
OG0000113	XP_017766321.1	XP_003699454.1
OG0000114	XP_017755231.1	XP_003707384.2
OG0000115	XP_017765840.1, XP_017765841.1, XP_017765838.1	XP_012139900.1
OG0000116	XP_017756858.1	XP_003700102.1
OG0000116	XP_017756906.1	XP_012150301.1, XP_003700101.1
OG0000117	XP_017754328.1	XP_012142234.1
OG0000117	XP_017755804.1	XP_003699580.1, XP_012140342.1, XP_012140336.1, XP_012140349.1, XP_012140354.1
OG0000119	XP_017756878.1, XP_017756873.1	XP_012150732.1, XP_012150733.1, XP_012150724.1, XP_012150728.1, XP_012150729.1, XP_012150745.1, XP_012150740.1
OG0000120	XP_017760327.1, XP_017760326.1, XP_017760325.1	XP_003701951.1, XP_012137585.1, XP_012137586.1, XP_012137583.1, XP_012137584.1
OG0000122	XP_017760255.1	XP_003705279.2
OG0000122	XP_017766449.1	XP_003702313.1
OG0000122	XP_017761215.1	XP_003699551.1
OG0000123	XP_017760450.1, XP_017760451.1, XP_017760448.1, XP_017760449.1, XP_017760452.1	XP_003702607.2
OG0000124	XP_017759439.1, XP_017759448.1	XP_003703399.2
OG0000125	XP_017752157.1, XP_017752160.1, XP_017752159.1, XP_017752162.1, XP_017752161.1, XP_017752163.1, XP_017767778.1	XP_003703348.2
OG0000126	XP_017753608.1, XP_017753607.1, XP_017753606.1, XP_017753605.1, XP_017753604.1	XP_012154275.1, XP_012154268.1, XP_012154270.1, XP_012154269.1, XP_012154272.1, XP_012154271.1, XP_012154274.1, XP_012154273.1
OG0000127	XP_017754012.1, XP_017754013.1	XP_003707941.2
OG0000127	XP_017754044.1	XP_012151449.1
OG0000129	XP_017753388.1	XP_012149828.1, XP_012149829.1, XP_012149830.1, XP_012149831.1, XP_012149825.1, XP_012149827.1, XP_012149826.1
OG0000130	XP_017754767.1	XP_003703718.1
OG0000130	XP_017759668.1	XP_003702400.1
OG0000131	XP_017758818.1	XP_012138681.1, XP_003699377.1
OG0000131	XP_017761464.1, XP_017761457.1, XP_017761449.1	XP_012138075.1, XP_012138074.1, XP_003702087.1, XP_012138073.1
OG0000132	XP_017760124.1	XP_003706203.1, XP_012147468.1
OG0000132	XP_017756059.1	XP_012152838.1, XP_003708422.1
OG0000133	XP_017755394.1	XP_003707714.1
OG0000133	XP_017753320.1	XP_012147926.1
OG0000134	XP_017760856.1	XP_003705740.1
OG0000135	XP_017761243.1	XP_003701934.1, XP_012137460.1
OG0000135	XP_017754219.1	XP_003708004.1
OG0000135	XP_017756053.1, XP_017756054.1	XP_003708115.1
OG0000136	XP_017753466.1	XP_003705561.1
OG0000136	XP_017753462.1, XP_017753460.1	XP_012146210.1
OG0000137	XP_017761738.1	XP_003705868.1
OG0000137	XP_017758968.1	XP_012135720.1
OG0000138	XP_017753919.1	XP_012141572.1
OG0000138	XP_017753916.1	XP_012141209.1
OG0000139	XP_017764607.1	XP_003700273.1
OG0000139	XP_017764606.1	XP_012153876.1, XP_012153877.1, XP_012153878.1, XP_012153875.1
OG0000140	XP_017761604.1	XP_012139579.1, XP_012139878.1
OG0000140	XP_017761532.1	XP_012139616.1, XP_012139622.1, XP_012139623.1, XP_012139620.1, XP_012139621.1, XP_012139617.1, XP_003702933.1, XP_012139615.1
OG0000141	XP_017757816.1	XP_003701926.1
OG0000141	XP_017756234.1	XP_003704620.1
OG0000142	XP_017752989.1, XP_017752988.1	XP_003704387.2
OG0000142	XP_017752990.1	XP_012143007.1
OG0000143	XP_017757050.1	XP_003702327.1
OG0000143	XP_017765696.1, XP_017765697.1, XP_017765698.1	XP_012138200.1, XP_012138199.1, XP_012138201.1, XP_012138202.1, XP_003702328.1
OG0000144	XP_017759465.1	XP_003705520.2
OG0000144	XP_017759475.1	XP_003705522.1
OG0000145	XP_017753508.1, XP_017753509.1	XP_012141845.1, XP_012141847.1, XP_012141846.1, XP_012141849.1, XP_012141851.1, XP_003703775.1, XP_012141850.1
OG0000145	XP_017752454.1	XP_012138596.1
OG0000146	XP_017762149.1	XP_003705369.1
OG0000146	XP_017755057.1, XP_017755054.1, XP_017755055.1	XP_012151898.1, XP_012151891.1, XP_012151896.1
OG0000146	XP_017757313.1	XP_003708217.1
OG0000147	XP_017764859.1	XP_012151556.1, XP_003707862.1
OG0000147	XP_017755245.1	XP_012149993.1, XP_003707471.1
OG0000149	XP_017752370.1	XP_012147339.1
OG0000149	XP_017752374.1, XP_017752372.1, XP_017752371.1	XP_012147343.1, XP_012147342.1, XP_003706133.1
OG0000150	XP_017761423.1	XP_012149657.1, XP_012149656.1, XP_012149659.1, XP_012149658.1, XP_003707166.1, XP_012149660.1, XP_012149661.1
OG0000151	XP_017754495.1, XP_017754494.1	XP_003704470.2
OG0000152	XP_017752525.1, XP_017752524.1, XP_017752522.1, XP_017752523.1, XP_017752519.1, XP_017752521.1	XP_012135668.1, XP_012135673.1, XP_012135674.1, XP_012135671.1, XP_012135669.1, XP_012135670.1, XP_003701272.1
OG0000153	XP_017752578.1, XP_017752577.1	XP_012139835.1
OG0000154	XP_017755034.1, XP_017755068.1	XP_012152021.1
OG0000156	XP_017764881.1	XP_012150894.1
OG0000158	XP_017757401.1, XP_017757402.1	XP_003705555.2, XP_012145928.1, XP_003706752.1, XP_012152076.1, XP_012150572.1, XP_012148634.1, XP_012148635.1, XP_012145922.1
OG0000160	XP_017762321.1	XP_012147327.1
OG0000160	XP_017760990.1, XP_017760976.1, XP_017760983.1, XP_017760969.1	XP_012138102.1, XP_003702188.1
OG0000161	XP_017766190.1	XP_003703976.1
OG0000162	XP_017760661.1	XP_003699383.2
OG0000162	XP_017758852.1	XP_012151345.1
OG0000164	XP_017752452.1	XP_012138610.1
OG0000164	XP_017752453.1	XP_012138588.1
OG0000164	XP_017752455.1	XP_012138609.1
OG0000165	XP_017763109.1, XP_017763110.1, XP_017763108.1	XP_012141446.1, XP_012141448.1, XP_012141447.1
OG0000165	XP_017754783.1	XP_012138919.1
OG0000166	XP_017765680.1	XP_012138260.1, XP_012138247.1, XP_012138255.1, XP_012138249.1
OG0000168	XP_017755371.1	XP_012142201.1
OG0000168	XP_017767433.1	XP_012136943.1
OG0000170	XP_017767455.1	XP_012143625.1
OG0000171	XP_017763743.1	XP_003704787.1
OG0000171	XP_017763746.1	XP_012144044.1
OG0000172	XP_017756212.1, XP_017756209.1, XP_017756208.1, XP_017756205.1, XP_017756207.1, XP_017756206.1, XP_017756210.1, XP_017756211.1	XP_012144448.1, XP_012144447.1, XP_012144446.1, XP_012144445.1, XP_012144449.1, XP_012144439.1, XP_012144440.1, XP_012144441.1, XP_012144442.1, XP_012144443.1, XP_003704990.1
OG0000173	XP_017753788.1, XP_017753789.1	XP_012141604.1
OG0000174	XP_017759915.1, XP_017759914.1, XP_017759916.1, XP_017765580.1	XP_012139778.1, XP_012139779.1, XP_012139777.1, XP_012139776.1, XP_012139775.1, XP_012139774.1
OG0000175	XP_017757084.1, XP_017757081.1, XP_017757082.1, XP_017757083.1	XP_012137455.1, XP_012137456.1, XP_012137454.1, XP_003701918.1
OG0000176	XP_017757060.1	XP_003702272.1
OG0000177	XP_017754838.1	XP_003707752.1
OG0000177	XP_017754830.1	XP_012151117.1
OG0000177	XP_017754833.1	XP_012151116.1
OG0000178	XP_017764768.1	XP_012149455.1
OG0000179	XP_017762472.1	XP_012134930.1
OG0000179	XP_017762477.1, XP_017762476.1	XP_003707098.1
OG0000180	XP_017764209.1, XP_017764210.1, XP_017764208.1	XP_012138838.1, XP_012138835.1, XP_012138836.1, XP_012138837.1, XP_003702490.1
OG0000181	XP_017763403.1, XP_017763404.1	XP_012135659.1
OG0000182	XP_017761809.1, XP_017761808.1	XP_003700170.2, XP_012149750.1, XP_012149742.1
OG0000183	XP_017755734.1	XP_012144139.1
OG0000183	XP_017758250.1	XP_012136967.1
OG0000184	XP_017766044.1	XP_012151665.1
OG0000185	XP_017760614.1	XP_012152010.1
OG0000185	XP_017760602.1	XP_012152006.1, XP_012152009.1, XP_012152008.1, XP_003708091.1, XP_012152007.1
OG0000185	XP_017760610.1	XP_012152005.1, XP_003708093.1
OG0000186	XP_017765694.1, XP_017765695.1	XP_012138246.1, XP_003702219.1, XP_003702293.1
OG0000187	XP_017755788.1, XP_017755787.1	XP_012144258.1
OG0000188	XP_017762123.1	XP_003705392.1
OG0000188	XP_017761111.1	XP_003703034.1
OG0000189	XP_017753499.1	XP_012147949.1
OG0000190	XP_017757675.1, XP_017757673.1, XP_017757674.1	XP_012142605.1
OG0000191	XP_017753882.1	XP_012136269.1
OG0000192	XP_017760341.1, XP_017758954.1, XP_017758953.1	XP_003702365.2
OG0000194	XP_017756837.1	XP_003699995.1
