Orthogroup	Eufriesea_mexicana	Acyrthosiphon_pisum
OG0000051	XP_017758188.1	XP_008178935.1, XP_008189706.1
OG0000052	XP_017753622.1, XP_017753621.1	XP_008180304.1, XP_008180303.1
OG0000053	XP_017757949.1, XP_017757950.1, XP_017767290.1, XP_017760652.1	XP_008178754.1, XP_008188582.3
OG0000054	XP_017761989.1, XP_017761973.1, XP_017761971.1	NP_001162107.1, XP_003243273.1, NP_001233051.1
OG0000055	XP_017756618.1, XP_017756620.1	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1
OG0000055	XP_017754560.1	XP_029348415.1
OG0000055	XP_017759282.1	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1
OG0000056	XP_017763577.1, XP_017761920.1	XP_029341785.1, XP_016658856.2
OG0000056	XP_017759468.1	XP_029347390.1, XP_029340985.1
OG0000056	XP_017758914.1	XP_029341336.1
OG0000056	XP_017762251.1	XP_029345472.1, XP_029341337.1
OG0000057	XP_017757145.1	NP_001177327.1
OG0000057	XP_017757144.1	XP_008190203.1
OG0000060	XP_017755704.1	XP_029341750.1
OG0000060	XP_017757183.1, XP_017756939.1, XP_017764156.1, XP_017757105.1, XP_017764190.1, XP_017764182.1, XP_017764164.1, XP_017757028.1, XP_017764173.1, XP_017757262.1	XP_016660546.1
OG0000061	XP_017754233.1	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1
OG0000061	XP_017757875.1	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2
OG0000062	XP_017759727.1, XP_017762224.1, XP_017762229.1, XP_017762225.1, XP_017762231.1	XP_001951309.3
OG0000065	XP_017764117.1	XP_001943808.2
OG0000065	XP_017764126.1, XP_017764130.1, XP_017764140.1	XP_001950981.1
OG0000067	XP_017760301.1	XP_001948642.2
OG0000067	XP_017754867.1	XP_016658458.1
OG0000067	XP_017757818.1	XP_029347451.1, XP_001948493.1
OG0000067	XP_017760549.1	XP_008185788.1
OG0000069	XP_017754841.1, XP_017754842.1, XP_017754843.1	XP_029344273.1
OG0000074	XP_017761968.1, XP_017758620.1	XP_016661872.1
OG0000074	XP_017765289.1	XP_029344853.1, XP_029345069.1, XP_016655841.1, XP_016655840.1, XP_029345083.1, XP_029345084.1, XP_029342157.1, XP_029345068.1, XP_008189736.3, XP_003248965.2, XP_003248702.1, XP_029342723.1, XP_029345751.1, XP_003244613.1, XP_008185438.1, XP_003240403.1, XP_029344854.1, XP_016661523.1, XP_029345888.1, XP_029348279.1, XP_029345085.1, XP_008185021.1, XP_029341723.1, XP_029341728.1, XP_029341729.1, XP_029344850.1, XP_001946490.2, XP_016661868.1, XP_029342388.1, XP_003246142.3, XP_016661519.1, XP_008181131.2, XP_029346353.1, XP_029346354.1, XP_029341136.1, XP_016661865.2, XP_029345078.1, XP_016663995.1, XP_008181949.2, XP_016658567.1, XP_016658569.1, XP_029345073.1, XP_029345045.1, XP_029345061.1, XP_029345058.1, XP_029342395.1, XP_029342396.1, XP_029342397.1, XP_008188177.1, XP_016664028.1, XP_016664027.1, XP_001942568.2, XP_016659718.1, XP_029343824.1
OG0000076	XP_017762444.1	XP_008190113.1
OG0000077	XP_017764095.1	XP_001945190.2
OG0000077	XP_017755927.1	XP_008187030.1
OG0000079	XP_017754547.1, XP_017754546.1, XP_017754553.1, XP_017754566.1	XP_001952588.1
OG0000080	XP_017763299.1	XP_001952817.1, XP_003241505.1
OG0000080	XP_017763303.1	XP_003240094.1
OG0000081	XP_017758034.1	XP_016660637.1, XP_003245950.2
OG0000084	XP_017759810.1, XP_017759811.1, XP_017759821.1	NP_001155431.1
OG0000084	XP_017757681.1	NP_001155786.1
OG0000085	XP_017757451.1, XP_017759168.1, XP_017759169.1	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1
OG0000086	XP_017752779.1, XP_017752829.1, XP_017752828.1	NP_001155379.1, XP_016661052.1, XP_016662788.2, XP_001951510.1, NP_001155766.1, XP_008182375.2, XP_016663261.1
OG0000086	XP_017758047.1	XP_001950197.2
OG0000087	XP_017764961.1, XP_017764986.1, XP_017764988.1, XP_017764987.1	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2
OG0000088	XP_017758470.1	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1
OG0000091	XP_017755131.1	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2
OG0000092	XP_017761157.1, XP_017758288.1, XP_017758287.1, XP_017758318.1, XP_017766724.1, XP_017766723.1	XP_001947820.1
OG0000093	XP_017759423.1, XP_017764516.1	XP_016662984.1, XP_008187890.1
OG0000094	XP_017754032.1, XP_017763745.1, XP_017764407.1	XP_001948596.2
OG0000097	XP_017759272.1, XP_017759271.1, XP_017755959.1, XP_017755960.1	XP_001948740.2, XP_008182369.1, XP_029347936.1
OG0000098	XP_017760521.1, XP_017760519.1, XP_017760520.1, XP_017760517.1, XP_017760518.1, XP_017760523.1, XP_017760524.1, XP_017760522.1	NP_001153821.1, XP_008189785.1
OG0000099	XP_017762062.1, XP_017762063.1	XP_001945365.2
OG0000099	XP_017765789.1	XP_001945213.1
OG0000099	XP_017763025.1	XP_001951744.1
OG0000100	XP_017762097.1	XP_001944985.1
OG0000101	XP_017762608.1	XP_001950980.2, XP_001945570.2
OG0000101	XP_017752973.1, XP_017752972.1, XP_017762351.1	XP_001952301.1
OG0000102	XP_017755997.1, XP_017756024.1, XP_017756022.1, XP_017756023.1, XP_017756026.1	XP_001946994.2
OG0000103	XP_017759973.1, XP_017759705.1	XP_003248994.1, XP_003243120.1
OG0000108	XP_017755056.1, XP_017755065.1	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2
OG0000109	XP_017765546.1, XP_017765544.1, XP_017765545.1, XP_017765540.1, XP_017765542.1, XP_017765541.1, XP_017765543.1	XP_001947883.2
OG0000112	XP_017760945.1, XP_017760944.1, XP_017752746.1, XP_017752755.1, XP_017752737.1, XP_017752760.1, XP_017752729.1	XP_001944328.2
OG0000113	XP_017754450.1, XP_017766321.1	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1
OG0000115	XP_017765840.1, XP_017765841.1, XP_017765838.1, XP_017757043.1	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1
OG0000117	XP_017754328.1	XP_001947242.1
OG0000117	XP_017755804.1	XP_001945228.1
OG0000119	XP_017756878.1, XP_017756873.1	XP_001950896.2, XP_001946809.2
OG0000120	XP_017760327.1, XP_017760326.1, XP_017760325.1	XP_008183102.1, XP_008183682.2, XP_001946812.2, XP_016660349.1
OG0000122	XP_017760255.1	XP_029345164.1
OG0000122	XP_017761215.1, XP_017765619.1	XP_029345159.1, XP_001942872.1
OG0000123	XP_017760450.1, XP_017760451.1, XP_017760448.1, XP_017760449.1, XP_017760452.1	XP_001944241.1
OG0000124	XP_017759439.1, XP_017759448.1	XP_001946145.1, XP_029344203.1, XP_016657907.1, XP_003240297.1
OG0000125	XP_017752157.1, XP_017752160.1, XP_017752159.1, XP_017752162.1, XP_017752161.1, XP_017752163.1, XP_017767778.1, XP_017767758.1	XP_029343174.1, XP_029343175.1
OG0000126	XP_017753608.1, XP_017753607.1, XP_017753606.1, XP_017753605.1, XP_017753604.1	XP_029344350.1
OG0000127	XP_017754012.1, XP_017754013.1	XP_008184238.2, XP_008185467.1, XP_008185468.2, XP_001944157.3, XP_001947156.2
OG0000127	XP_017754044.1	XP_016661891.1
OG0000129	XP_017753388.1	XP_029342557.1, XP_003243980.1, XP_008182280.1
OG0000130	XP_017754767.1	XP_008188212.1
OG0000130	XP_017759668.1	XP_029347188.1
OG0000131	XP_017758818.1	NP_001119635.1
OG0000131	XP_017761464.1, XP_017761457.1, XP_017761449.1	XP_001944342.1, NP_001280296.1
OG0000132	XP_017760124.1, XP_017756059.1	XP_001944867.2, XP_008188761.1
OG0000133	XP_017755394.1, XP_017753320.1	XP_001947717.2, XP_029346829.1
OG0000134	XP_017760856.1	XP_008188674.1, XP_029347700.1, XP_029347701.1
OG0000134	XP_017755456.1	XP_029344030.1
OG0000135	XP_017761243.1, XP_017754219.1, XP_017756053.1, XP_017756054.1	XP_008183617.1, XP_016660307.1, XP_008183620.1, XP_008183619.1, XP_016660306.1, XP_029348611.1
OG0000137	XP_017761738.1, XP_017758968.1	XP_029345533.1, XP_029345535.1, XP_029345534.1, XP_001949204.1, XP_008183005.1, XP_008183006.1, XP_001951358.1, XP_001943488.1
OG0000138	XP_017753919.1, XP_017753916.1	XP_029344015.1, XP_029344014.1, XP_029344016.1, XP_001948700.2
OG0000139	XP_017764607.1, XP_017764606.1	XP_001949990.1
OG0000140	XP_017761604.1, XP_017761532.1	XP_001950680.1, XP_029341066.1, XP_003245538.1, XP_003244834.1
OG0000141	XP_017757816.1, XP_017766373.1, XP_017756234.1	XP_029343859.1
OG0000143	XP_017757050.1, XP_017765696.1, XP_017765697.1, XP_017765698.1	XP_008183821.1, XP_001945042.2
OG0000146	XP_017762149.1, XP_017755057.1, XP_017755054.1, XP_017755055.1, XP_017757313.1	NP_001119627.1
OG0000147	XP_017764859.1, XP_017755245.1	NP_001119678.1
OG0000149	XP_017752370.1	NP_001233210.1, XP_008189229.1
OG0000149	XP_017752374.1, XP_017752372.1, XP_017752371.1	XP_001945852.2
OG0000150	XP_017761423.1	XP_003241608.1, XP_001943456.1, XP_008178725.1, XP_008178726.1
OG0000151	XP_017754495.1, XP_017754494.1	NP_001232992.1
OG0000152	XP_017752525.1, XP_017752524.1, XP_017752522.1, XP_017752523.1, XP_017752519.1, XP_017752521.1	XP_001950609.1
OG0000153	XP_017752578.1, XP_017752577.1	XP_001952790.2
OG0000154	XP_017755034.1, XP_017755068.1	XP_029348690.1, XP_029346266.1, XP_016657976.1, XP_029348689.1
OG0000156	XP_017764881.1	XP_016659611.1
OG0000160	XP_017762321.1	XP_001951963.1
OG0000160	XP_017760990.1, XP_017760976.1, XP_017760983.1, XP_017760969.1	XP_008184790.2, NP_001280442.1, XP_001944828.2, XP_001944881.1, XP_029342333.1, NP_001280272.1, NP_001233238.1, XP_008184532.1, XP_029342331.1, NP_001280469.1, XP_029341215.1
OG0000161	XP_017766190.1, XP_017765612.1, XP_017766182.1, XP_017766192.1, XP_017753075.1, XP_017765621.1	XP_001950765.1
OG0000162	XP_017760661.1	XP_029346510.1
OG0000162	XP_017760068.1, XP_017761789.1	XP_008186164.1, XP_029342674.1
OG0000162	XP_017758852.1	XP_016657938.1, XP_008180629.1
OG0000164	XP_017752452.1, XP_017752453.1, XP_017752455.1	XP_016661577.1
OG0000165	XP_017763109.1, XP_017763110.1, XP_017763108.1	XP_029343832.1
OG0000165	XP_017754783.1	XP_029343481.1
OG0000166	XP_017765680.1	XP_029347644.1, XP_029347638.1, XP_029347646.1
OG0000168	XP_017755371.1	XP_001951684.4, XP_003248836.2
OG0000168	XP_017767433.1	XP_001942542.1, XP_008186133.1
OG0000169	XP_017754848.1, XP_017754959.1, XP_017754988.1, XP_017761127.1, XP_017755084.1, XP_017754974.1	XP_016663900.2, XP_001944382.3
OG0000170	XP_017767455.1	XP_029343183.1
OG0000171	XP_017763743.1, XP_017763746.1	XP_029345553.1
OG0000173	XP_017753788.1, XP_017753789.1	NP_001233019.1
OG0000174	XP_017759915.1, XP_017759914.1, XP_017759916.1, XP_017765580.1	XP_008185372.1, XP_008189584.3, XP_008183684.1, XP_001944323.1, XP_008186867.1, XP_029343098.1, XP_029343097.1
OG0000175	XP_017757084.1, XP_017757081.1, XP_017757082.1, XP_017757083.1	XP_029344556.1, XP_001951192.1
OG0000177	XP_017754838.1	XP_016657898.1, XP_008180564.2
OG0000177	XP_017754830.1, XP_017754833.1	XP_001952775.1
OG0000179	XP_017762472.1	XP_003240433.1
OG0000179	XP_017762477.1, XP_017762476.1	NP_001155435.1, NP_001280333.1
OG0000180	XP_017764209.1, XP_017764210.1, XP_017764208.1	NP_001232980.1
OG0000181	XP_017763403.1, XP_017763404.1	XP_029343194.1, XP_001948653.1
OG0000182	XP_017761809.1, XP_017761808.1	XP_003241873.1
OG0000183	XP_017755734.1, XP_017758250.1	XP_016663191.1, XP_016662030.1
OG0000184	XP_017766044.1	XP_029341516.1
OG0000185	XP_017760614.1, XP_017760602.1, XP_017760610.1	XP_029344304.1
OG0000188	XP_017762123.1	XP_029344969.1, XP_029345698.1
OG0000188	XP_017761111.1	XP_001944994.1
OG0000189	XP_017753298.1, XP_017753288.1	XP_008180383.1
OG0000189	XP_017753248.1	XP_008180381.1
OG0000189	XP_017753499.1	XP_029345137.1, XP_008180387.1, XP_029345828.1
OG0000190	XP_017757675.1, XP_017757673.1, XP_017757674.1	XP_008187339.1
OG0000191	XP_017753882.1	XP_029346818.1, XP_016659446.1, XP_029346152.1, XP_029344343.1, XP_029342439.1
OG0000192	XP_017760341.1, XP_017758954.1, XP_017758953.1	XP_029345853.1
OG0000196	XP_017756213.1	XP_001943581.2
OG0000196	XP_017757746.1, XP_017757744.1, XP_017757745.1	XP_003248273.1, XP_008188605.1, XP_029347409.1, XP_029347413.1
OG0000197	XP_017753812.1, XP_017753801.1, XP_017753795.1	XP_001949247.2, XP_001943809.2
OG0000198	XP_017761419.1, XP_017761421.1	XP_003240145.1, XP_016656873.1
OG0000200	XP_017759260.1	XP_001949978.1
OG0000200	XP_017760688.1, XP_017760689.1	XP_008182512.1
OG0000201	XP_017757589.1	XP_001951690.2
OG0000201	XP_017757600.1	NP_001313588.1
OG0000202	XP_017755518.1	XP_003246184.1, XP_016661945.1
OG0000202	XP_017765124.1	XP_001944687.1
OG0000203	XP_017753354.1, XP_017759088.1	XP_016662444.1, XP_001947661.2, XP_001949662.1, XP_029342520.1, XP_001947565.2
OG0000204	XP_017766805.1	XP_003243588.1, XP_001948363.2
OG0000205	XP_017752413.1, XP_017752414.1	XP_016660231.1, XP_029344431.1, XP_029344430.1, XP_003244837.1
OG0000207	XP_017760687.1	NP_001155712.1
OG0000207	XP_017756106.1, XP_017756102.1	NP_001192033.1, XP_001942674.1
OG0000208	XP_017756194.1, XP_017760651.1, XP_017760663.1, XP_017765005.1	XP_001950788.1
OG0000209	XP_017756958.1, XP_017756959.1, XP_017756956.1, XP_017756957.1, XP_017756954.1, XP_017756955.1, XP_017756953.1, XP_017756961.1	XP_008183529.1
OG0000212	XP_017759725.1, XP_017760333.1, XP_017760334.1	NP_001232971.1, XP_008179391.1
OG0000213	XP_017755129.1, XP_017755127.1, XP_017755128.1	XP_001945623.2, NP_001280334.1
OG0000214	XP_017752245.1	XP_001945750.1
OG0000214	XP_017752185.1	XP_008186309.1, XP_008186310.1, XP_008186312.3
OG0000215	XP_017765029.1	XP_001949004.1, XP_016656471.1, XP_003241622.1
OG0000216	XP_017761217.1	XP_029341236.1, XP_029347825.1, XP_001952110.2
OG0000217	XP_017766098.1	XP_001952229.3, XP_008178352.2
OG0000218	XP_017762070.1	XP_008186264.1
OG0000223	XP_017759246.1, XP_017762663.1	XP_001944473.2, XP_029342159.1
OG0000224	XP_017765938.1	XP_003247330.1, XP_001945322.1, XP_016656052.1, XP_029346604.1, XP_001950045.2
OG0000225	XP_017757175.1, XP_017757174.1, XP_017757173.1, XP_017766315.1	XP_008183136.1, XP_001946333.2, XP_016659881.1
OG0000226	XP_017766524.1	XP_008185421.1
OG0000226	XP_017766628.1, XP_017766627.1	XP_001947155.2, XP_029346388.1, XP_029346384.1, XP_029346385.1, XP_029346382.1, XP_029346383.1, XP_029346386.1, XP_029346387.1
OG0000227	XP_017753440.1, XP_017753439.1	XP_003245308.1, XP_008184764.2
OG0000228	XP_017752721.1	XP_029341222.1, XP_016657354.1, XP_029348343.1, XP_008183215.1
OG0000229	XP_017752613.1	XP_029341397.1, XP_016661667.1, XP_016661666.1, XP_016661665.1, XP_016661664.1, XP_016661668.1, XP_008187110.1, NP_001233057.1
OG0000230	XP_017761904.1, XP_017766664.1, XP_017766665.1, XP_017766666.1	XP_016661982.1, XP_016661983.1, XP_016661984.1, XP_001943037.1
OG0000231	XP_017757286.1	XP_001946956.2, XP_001948201.2
OG0000232	XP_017760637.1, XP_017760638.1	XP_001947878.1, XP_029346471.1
OG0000233	XP_017764854.1, XP_017764853.1, XP_017764855.1	XP_001947951.2, XP_029343172.1
OG0000234	XP_017761679.1, XP_017761675.1	XP_001948143.1
OG0000235	XP_017760227.1	XP_001952457.1, XP_016662192.1
OG0000236	XP_017758058.1, XP_017758056.1	XP_016661843.1, XP_008185403.1
