Orthogroup	Eufriesea_mexicana	Habropoda_laboriosa
OG0000011	XP_017766923.1, XP_017766924.1, XP_017766928.1, XP_017766929.1, XP_017766939.1, XP_017766952.1, XP_017766932.1	XP_017796294.1
OG0000011	XP_017766925.1	XP_017796293.1
OG0000012	XP_017754945.1	XP_017797597.1
OG0000012	XP_017754933.1	XP_017797590.1
OG0000012	XP_017765063.1	XP_017796583.1
OG0000012	XP_017765064.1	XP_017796672.1
OG0000013	XP_017764546.1	XP_017799299.1
OG0000013	XP_017754146.1	XP_017799274.1, XP_017795688.1
OG0000013	XP_017760618.1	XP_017797795.1
OG0000014	XP_017764543.1	XP_017799148.1
OG0000014	XP_017754143.1	XP_017799145.1
OG0000016	XP_017766957.1	XP_017797009.1
OG0000017	XP_017756232.1	XP_017795361.1
OG0000018	XP_017763433.1	XP_017793008.1
OG0000018	XP_017761708.1	XP_017797482.1
OG0000018	XP_017760876.1, XP_017760875.1	XP_017793490.1
OG0000018	XP_017760874.1	XP_017793336.1
OG0000018	XP_017758049.1	XP_017796703.1
OG0000019	XP_017758970.1	XP_017790272.1
OG0000019	XP_017754922.1	XP_017787413.1
OG0000019	XP_017757913.1	XP_017788514.1
OG0000020	XP_017759430.1	XP_017791573.1
OG0000020	XP_017758962.1	XP_017790081.1
OG0000020	XP_017756685.1	XP_017792589.1
OG0000020	XP_017759431.1	XP_017791574.1
OG0000020	XP_017763358.1	XP_017794423.1
OG0000020	XP_017758008.1	XP_017798982.1
OG0000020	XP_017758540.1	XP_017793275.1
OG0000020	XP_017756344.1	XP_017796526.1
OG0000020	XP_017764646.1	XP_017795013.1
OG0000020	XP_017763402.1	XP_017794610.1
OG0000021	XP_017759339.1	XP_017798657.1
OG0000021	XP_017763116.1	XP_017790331.1
OG0000021	XP_017758713.1, XP_017758722.1, XP_017758731.1	XP_017790276.1
OG0000021	XP_017764524.1	XP_017787416.1
OG0000021	XP_017763364.1	XP_017790325.1
OG0000021	XP_017759315.1	XP_017798692.1
OG0000022	XP_017765129.1	XP_017795686.1
OG0000022	XP_017761001.1	XP_017792281.1
OG0000022	XP_017760075.1	XP_017798138.1
OG0000023	XP_017764548.1	XP_017799301.1
OG0000023	XP_017765135.1	XP_017792294.1
OG0000023	XP_017754147.1	XP_017799305.1
OG0000024	XP_017760258.1, XP_017760233.1, XP_017760260.1	XP_017798115.1
OG0000024	XP_017753491.1	XP_017788217.1
OG0000025	XP_017765600.1	XP_017796822.1, XP_017795782.1, XP_017795848.1
OG0000025	XP_017765117.1	XP_017791901.1
OG0000025	XP_017752725.1	XP_017791900.1
OG0000026	XP_017756869.1	XP_017799538.1
OG0000026	XP_017760223.1	XP_017790381.1
OG0000026	XP_017763291.1, XP_017763214.1	XP_017797652.1
OG0000026	XP_017753312.1	XP_017792231.1
OG0000026	XP_017767765.1	XP_017795812.1
OG0000026	XP_017752170.1	XP_017789050.1
OG0000027	XP_017764550.1, XP_017764549.1	XP_017799307.1
OG0000028	XP_017765495.1	XP_017796209.1, XP_017796989.1
OG0000028	XP_017756507.1, XP_017756506.1	XP_017795387.1
OG0000029	XP_017755085.1	XP_017792656.1, XP_017792675.1
OG0000029	XP_017764405.1, XP_017764404.1	XP_017798436.1
OG0000029	XP_017755093.1	XP_017792700.1
OG0000030	XP_017764870.1	XP_017799391.1, XP_017799392.1
OG0000030	XP_017761417.1, XP_017761416.1	XP_017791372.1
OG0000031	XP_017763357.1	XP_017795847.1
OG0000032	XP_017755945.1	XP_017791965.1
OG0000032	XP_017752458.1	XP_017797625.1
OG0000032	XP_017765759.1, XP_017765770.1	XP_017793574.1
OG0000032	XP_017762938.1	XP_017790226.1
OG0000034	XP_017754777.1	XP_017795546.1
OG0000034	XP_017754795.1, XP_017754776.1, XP_017754775.1, XP_017754778.1, XP_017754793.1	XP_017795548.1, XP_017795547.1
OG0000035	XP_017767482.1	XP_017797282.1
OG0000035	XP_017761425.1	XP_017793793.1, XP_017793792.1
OG0000036	XP_017761198.1	XP_017791823.1
OG0000036	XP_017761194.1	XP_017791824.1
OG0000036	XP_017761192.1	XP_017791822.1
OG0000037	XP_017756758.1	XP_017798855.1
OG0000038	XP_017766133.1	XP_017789191.1
OG0000038	XP_017765835.1	XP_017796401.1
OG0000038	XP_017761849.1	XP_017791877.1
OG0000038	XP_017758046.1	XP_017796596.1
OG0000038	XP_017752947.1	XP_017796281.1
OG0000038	XP_017765235.1	XP_017796681.1, XP_017796680.1
OG0000039	XP_017756504.1	XP_017793816.1
OG0000040	XP_017760692.1	XP_017797294.1
OG0000040	XP_017754464.1	XP_017797297.1, XP_017797034.1
OG0000040	XP_017760639.1	XP_017789776.1
OG0000041	XP_017765151.1	XP_017795667.1, XP_017795668.1
OG0000041	XP_017759621.1	XP_017796748.1
OG0000041	XP_017759618.1, XP_017759619.1, XP_017759620.1	XP_017796749.1
OG0000041	XP_017754630.1	XP_017798373.1
OG0000042	XP_017757032.1	XP_017797246.1
OG0000042	XP_017758606.1	XP_017797230.1
OG0000043	XP_017765446.1	XP_017797621.1
OG0000043	XP_017760486.1	XP_017793787.1
OG0000043	XP_017760488.1	XP_017793789.1
OG0000043	XP_017755191.1	XP_017794273.1
OG0000044	XP_017767293.1	XP_017792515.1
OG0000044	XP_017767299.1, XP_017767300.1	XP_017792514.1
OG0000044	XP_017767304.1	XP_017792527.1, XP_017792526.1
OG0000045	XP_017763731.1	XP_017797444.1
OG0000045	XP_017757512.1	XP_017793667.1
OG0000046	XP_017765106.1	XP_017789468.1
OG0000046	XP_017757713.1	XP_017790988.1
OG0000046	XP_017764994.1	XP_017792943.1
OG0000048	XP_017756821.1	XP_017799483.1
OG0000048	XP_017756884.1	XP_017799581.1
OG0000048	XP_017756817.1	XP_017799481.1
OG0000048	XP_017756824.1	XP_017799488.1
OG0000048	XP_017756888.1	XP_017787394.1
OG0000048	XP_017756889.1	XP_017799482.1
OG0000050	XP_017754998.1	XP_017787690.1
OG0000052	XP_017753622.1	XP_017790871.1
OG0000052	XP_017753621.1	XP_017790994.1
OG0000053	XP_017757949.1	XP_017795064.1
OG0000053	XP_017757950.1	XP_017788510.1
OG0000053	XP_017760652.1	XP_017795065.1
OG0000054	XP_017761989.1	XP_017797421.1
OG0000054	XP_017761973.1	XP_017797389.1
OG0000054	XP_017761971.1	XP_017797390.1
OG0000055	XP_017756618.1, XP_017756620.1	XP_017799533.1
OG0000055	XP_017753007.1	XP_017789854.1
OG0000055	XP_017754560.1	XP_017787951.1, XP_017787952.1
OG0000055	XP_017759282.1	XP_017791354.1
OG0000056	XP_017763577.1	XP_017795795.1
OG0000056	XP_017761920.1	XP_017792816.1
OG0000056	XP_017759468.1	XP_017792926.1
OG0000056	XP_017758914.1	XP_017789030.1
OG0000056	XP_017762251.1	XP_017792979.1
OG0000057	XP_017757145.1	XP_017798095.1
OG0000057	XP_017767144.1	XP_017798766.1
OG0000057	XP_017757194.1	XP_017798094.1
OG0000057	XP_017757144.1	XP_017798097.1
OG0000057	XP_017757146.1	XP_017798098.1
OG0000058	XP_017758952.1	XP_017799435.1
OG0000060	XP_017755704.1	XP_017787543.1
OG0000060	XP_017757183.1, XP_017756939.1, XP_017764156.1, XP_017757105.1, XP_017764190.1, XP_017764182.1, XP_017764164.1, XP_017757028.1, XP_017764173.1, XP_017757262.1	XP_017792478.1
OG0000061	XP_017754233.1	XP_017799273.1
OG0000061	XP_017757875.1	XP_017788550.1, XP_017795246.1
OG0000062	XP_017762224.1	XP_017794533.1
OG0000062	XP_017762229.1	XP_017794504.1
OG0000062	XP_017762225.1	XP_017794445.1
OG0000062	XP_017762231.1	XP_017794580.1
OG0000064	XP_017753432.1, XP_017753408.1, XP_017753409.1, XP_017753435.1, XP_017753433.1	XP_017794589.1, XP_017797125.1, XP_017797050.1, XP_017794414.1
OG0000064	XP_017753407.1	XP_017797092.1, XP_017794590.1, XP_017797021.1
OG0000064	XP_017753436.1	XP_017792749.1, XP_017794593.1, XP_017796353.1
OG0000064	XP_017753410.1	XP_017794418.1
OG0000065	XP_017764117.1	XP_017793945.1
OG0000065	XP_017764126.1	XP_017793851.1
OG0000067	XP_017760301.1	XP_017790603.1
OG0000067	XP_017757819.1	XP_017794658.1
OG0000067	XP_017754867.1	XP_017795551.1
OG0000067	XP_017757818.1	XP_017794648.1
OG0000067	XP_017760549.1	XP_017787992.1
OG0000069	XP_017754841.1	XP_017795598.1, XP_017795596.1, XP_017795597.1, XP_017795595.1
OG0000069	XP_017754842.1	XP_017795599.1
OG0000069	XP_017754843.1	XP_017795600.1
OG0000070	XP_017764056.1	XP_017795125.1
OG0000070	XP_017758779.1	XP_017795128.1
OG0000070	XP_017764085.1	XP_017795126.1
OG0000073	XP_017761867.1	XP_017792787.1
OG0000073	XP_017761873.1, XP_017761872.1, XP_017761874.1	XP_017793055.1, XP_017793138.1
OG0000074	XP_017761968.1, XP_017758620.1	XP_017797397.1
OG0000074	XP_017765289.1	XP_017795199.1
OG0000076	XP_017759694.1	XP_017792759.1, XP_017797054.1
OG0000076	XP_017762647.1	XP_017797031.1, XP_017795922.1
OG0000076	XP_017755225.1	XP_017796723.1
OG0000077	XP_017764095.1	XP_017797118.1, XP_017795753.1
OG0000077	XP_017755927.1	XP_017789897.1
OG0000078	XP_017756551.1	XP_017792696.1
OG0000078	XP_017753026.1, XP_017753027.1	XP_017792652.1
OG0000078	XP_017753025.1	XP_017792653.1
OG0000078	XP_017765591.1, XP_017762297.1, XP_017762310.1	XP_017792695.1
OG0000079	XP_017754547.1	XP_017787942.1
OG0000079	XP_017754546.1	XP_017787943.1
OG0000079	XP_017754566.1	XP_017787958.1
OG0000079	XP_017754550.1	XP_017787939.1
OG0000080	XP_017763299.1	XP_017798424.1
OG0000080	XP_017763330.1, XP_017763331.1	XP_017798328.1
OG0000080	XP_017763303.1	XP_017798422.1
OG0000082	XP_017760548.1	XP_017797726.1
OG0000082	XP_017760559.1	XP_017797683.1
OG0000082	XP_017760564.1	XP_017797684.1
OG0000084	XP_017759810.1	XP_017792624.1
OG0000084	XP_017759811.1	XP_017792625.1
OG0000084	XP_017759821.1	XP_017792708.1
OG0000084	XP_017757681.1	XP_017791300.1
OG0000085	XP_017757451.1	XP_017790689.1
OG0000085	XP_017759168.1, XP_017759169.1	XP_017793167.1
OG0000086	XP_017752829.1, XP_017752828.1	XP_017787894.1
OG0000086	XP_017758047.1	XP_017791806.1
OG0000087	XP_017764961.1	XP_017792917.1
OG0000087	XP_017764986.1	XP_017792908.1
OG0000087	XP_017764988.1, XP_017764987.1	XP_017792909.1
OG0000088	XP_017758470.1	XP_017789815.1
OG0000089	XP_017760295.1, XP_017760292.1, XP_017760296.1, XP_017760294.1, XP_017760299.1, XP_017760298.1, XP_017760293.1	XP_017790598.1, XP_017790597.1, XP_017790596.1, XP_017790595.1, XP_017790594.1, XP_017790593.1, XP_017790592.1
OG0000089	XP_017760239.1	XP_017798058.1
OG0000090	XP_017756654.1	XP_017795987.1, XP_017793833.1
OG0000091	XP_017755131.1	XP_017792668.1, XP_017792670.1
OG0000092	XP_017761157.1	XP_017799316.1
OG0000092	XP_017758288.1, XP_017758287.1	XP_017789058.1, XP_017789059.1
OG0000092	XP_017766724.1, XP_017766723.1	XP_017788769.1
OG0000093	XP_017759423.1	XP_017796954.1
OG0000093	XP_017764516.1	XP_017796355.1, XP_017797106.1
OG0000094	XP_017754032.1	XP_017798959.1
OG0000094	XP_017763745.1	XP_017791335.1
OG0000094	XP_017764407.1	XP_017798352.1
OG0000095	XP_017758948.1	XP_017790301.1
OG0000096	XP_017759853.1	XP_017798525.1
OG0000096	XP_017753661.1	XP_017796013.1
OG0000097	XP_017759272.1, XP_017759271.1	XP_017791424.1, XP_017791423.1
OG0000097	XP_017755959.1, XP_017755960.1	XP_017793649.1
OG0000098	XP_017760521.1, XP_017760519.1, XP_017760520.1, XP_017760517.1, XP_017760518.1, XP_017760523.1, XP_017760524.1, XP_017760522.1	XP_017790036.1, XP_017790037.1, XP_017790033.1, XP_017790034.1, XP_017790035.1
OG0000099	XP_017762062.1, XP_017762063.1	XP_017796840.1
OG0000099	XP_017765789.1	XP_017796299.1, XP_017796300.1
OG0000099	XP_017763025.1	XP_017791883.1
OG0000100	XP_017762097.1	XP_017794869.1
OG0000101	XP_017762608.1	XP_017793334.1
OG0000102	XP_017755997.1	XP_017787422.1
OG0000102	XP_017756026.1	XP_017787495.1
OG0000103	XP_017761262.1	XP_017793916.1
OG0000103	XP_017759973.1	XP_017793918.1
OG0000103	XP_017759705.1	XP_017793920.1
OG0000106	XP_017759614.1	XP_017794550.1
OG0000106	XP_017761703.1	XP_017797471.1
OG0000107	XP_017763391.1	XP_017793002.1
OG0000108	XP_017755056.1, XP_017755065.1	XP_017797595.1
OG0000109	XP_017765546.1, XP_017765544.1, XP_017765545.1, XP_017765540.1, XP_017765542.1, XP_017765541.1, XP_017765543.1	XP_017787680.1, XP_017787682.1, XP_017787681.1, XP_017787684.1, XP_017787683.1, XP_017787686.1, XP_017787685.1, XP_017787687.1
OG0000110	XP_017752642.1	XP_017794692.1
OG0000110	XP_017763176.1	XP_017797747.1
OG0000111	XP_017759645.1	XP_017797783.1
OG0000111	XP_017756246.1	XP_017793968.1
OG0000112	XP_017760945.1, XP_017760944.1	XP_017793364.1
OG0000112	XP_017752746.1, XP_017752755.1, XP_017752737.1, XP_017752760.1, XP_017752729.1	XP_017790673.1
OG0000113	XP_017754450.1	XP_017798381.1
OG0000113	XP_017766321.1	XP_017798181.1
OG0000114	XP_017755231.1	XP_017792121.1
OG0000115	XP_017765840.1, XP_017765841.1, XP_017765838.1	XP_017797018.1
OG0000115	XP_017757043.1	XP_017795994.1
OG0000116	XP_017756858.1	XP_017799593.1
OG0000116	XP_017756906.1	XP_017799604.1
OG0000117	XP_017754328.1	XP_017791704.1
OG0000117	XP_017755804.1	XP_017797358.1
OG0000119	XP_017756878.1, XP_017756873.1	XP_017787392.1
OG0000120	XP_017760327.1, XP_017760326.1, XP_017760325.1	XP_017794605.1
OG0000122	XP_017760255.1	XP_017798532.1
OG0000122	XP_017766449.1	XP_017799142.1
OG0000122	XP_017761215.1	XP_017793619.1
OG0000122	XP_017765619.1	XP_017793618.1
OG0000123	XP_017760450.1, XP_017760451.1, XP_017760448.1, XP_017760449.1, XP_017760452.1	XP_017796926.1, XP_017796925.1, XP_017796924.1, XP_017796922.1, XP_017796923.1, XP_017796921.1
OG0000124	XP_017759439.1, XP_017759448.1	XP_017789119.1
OG0000125	XP_017752157.1, XP_017752160.1, XP_017752159.1, XP_017752162.1, XP_017752161.1, XP_017752163.1, XP_017767778.1	XP_017795810.1, XP_017795808.1, XP_017795809.1, XP_017795806.1, XP_017795807.1, XP_017795803.1
OG0000125	XP_017767758.1	XP_017795819.1
OG0000126	XP_017753608.1, XP_017753607.1, XP_017753606.1, XP_017753605.1, XP_017753604.1	XP_017792776.1
OG0000127	XP_017754012.1, XP_017754013.1	XP_017799036.1, XP_017799037.1
OG0000127	XP_017754044.1	XP_017799080.1
OG0000129	XP_017753388.1	XP_017792739.1
OG0000130	XP_017754767.1	XP_017789002.1
OG0000130	XP_017759668.1	XP_017791658.1
OG0000131	XP_017758818.1	XP_017790302.1
OG0000131	XP_017761464.1, XP_017761457.1, XP_017761449.1	XP_017792252.1, XP_017792241.1, XP_017792254.1, XP_017792253.1
OG0000132	XP_017760124.1	XP_017798108.1
OG0000132	XP_017756059.1	XP_017798132.1
OG0000133	XP_017755394.1	XP_017788158.1
OG0000134	XP_017760856.1	XP_017793449.1
OG0000134	XP_017755456.1	XP_017789975.1
OG0000135	XP_017761243.1	XP_017794640.1
OG0000135	XP_017754219.1	XP_017799029.1
OG0000135	XP_017756053.1, XP_017756054.1	XP_017788492.1
OG0000136	XP_017753466.1	XP_017788204.1
OG0000136	XP_017753462.1, XP_017753460.1	XP_017788203.1
OG0000137	XP_017761738.1	XP_017797492.1
OG0000137	XP_017758968.1	XP_017791135.1
OG0000138	XP_017753919.1	XP_017794346.1
OG0000138	XP_017753916.1	XP_017793300.1
OG0000139	XP_017764607.1	XP_017787706.1
OG0000139	XP_017764606.1	XP_017787697.1
OG0000140	XP_017761604.1	XP_017798520.1
OG0000140	XP_017761532.1	XP_017798552.1
OG0000141	XP_017757816.1	XP_017794696.1
OG0000141	XP_017766373.1	XP_017797914.1
OG0000141	XP_017756234.1	XP_017787810.1
OG0000142	XP_017752989.1, XP_017752988.1	XP_017789845.1
OG0000142	XP_017752990.1	XP_017789846.1
OG0000143	XP_017757050.1	XP_017790512.1
OG0000143	XP_017765696.1, XP_017765697.1, XP_017765698.1	XP_017790495.1
OG0000144	XP_017759465.1	XP_017797971.1, XP_017797954.1
OG0000144	XP_017759463.1	XP_017797955.1
OG0000144	XP_017759475.1	XP_017797956.1
OG0000145	XP_017753508.1, XP_017753509.1	XP_017788300.1
OG0000145	XP_017752454.1	XP_017797568.1
OG0000146	XP_017762149.1	XP_017794829.1
OG0000146	XP_017755057.1, XP_017755054.1, XP_017755055.1	XP_017789218.1
OG0000146	XP_017757313.1	XP_017789431.1
OG0000147	XP_017764859.1	XP_017799321.1
OG0000147	XP_017755245.1	XP_017792150.1, XP_017792149.1, XP_017792148.1
OG0000149	XP_017752370.1	XP_017788095.1
OG0000149	XP_017752374.1, XP_017752372.1, XP_017752371.1	XP_017788073.1
OG0000150	XP_017761423.1	XP_017787586.1, XP_017787587.1
OG0000151	XP_017754495.1, XP_017754494.1	XP_017798042.1, XP_017798041.1
OG0000152	XP_017752525.1, XP_017752524.1, XP_017752522.1, XP_017752523.1, XP_017752519.1, XP_017752521.1	XP_017794028.1, XP_017794027.1, XP_017794026.1, XP_017794030.1, XP_017794029.1, XP_017794031.1
OG0000153	XP_017752578.1, XP_017752577.1	XP_017797758.1
OG0000154	XP_017755034.1, XP_017755068.1	XP_017795372.1
OG0000156	XP_017764881.1	XP_017788212.1, XP_017788213.1, XP_017788214.1, XP_017788216.1, XP_017788215.1
OG0000157	XP_017766530.1	XP_017788939.1
OG0000157	XP_017766794.1	XP_017788698.1
OG0000158	XP_017757401.1, XP_017757402.1	XP_017793698.1
OG0000160	XP_017762321.1	XP_017795191.1
OG0000160	XP_017760990.1, XP_017760976.1, XP_017760983.1, XP_017760969.1	XP_017792249.1
OG0000161	XP_017766190.1	XP_017791738.1
OG0000161	XP_017765612.1, XP_017766182.1, XP_017766192.1, XP_017753075.1	XP_017791682.1
OG0000161	XP_017765621.1	XP_017791681.1, XP_017791680.1
OG0000162	XP_017760661.1	XP_017797980.1
OG0000162	XP_017760068.1, XP_017761789.1	XP_017794848.1
OG0000162	XP_017758852.1	XP_017787385.1
OG0000164	XP_017752453.1	XP_017797560.1
OG0000164	XP_017752455.1	XP_017797561.1
OG0000165	XP_017763109.1, XP_017763110.1, XP_017763108.1	XP_017789911.1
OG0000165	XP_017754783.1	XP_017795542.1
OG0000168	XP_017755371.1	XP_017788116.1
OG0000168	XP_017765729.1	XP_017790490.1
OG0000168	XP_017767433.1	XP_017797231.1
OG0000171	XP_017763743.1	XP_017787774.1
OG0000171	XP_017763746.1	XP_017787850.1, XP_017787824.1
OG0000172	XP_017756212.1, XP_017756209.1, XP_017756208.1, XP_017756205.1, XP_017756207.1, XP_017756206.1, XP_017756210.1, XP_017756211.1	XP_017792473.1, XP_017792475.1, XP_017792474.1, XP_017792472.1, XP_017792476.1
OG0000173	XP_017753788.1, XP_017753789.1	XP_017794775.1, XP_017794776.1
OG0000174	XP_017759915.1, XP_017759914.1, XP_017759916.1, XP_017765580.1	XP_017798800.1
OG0000175	XP_017757084.1, XP_017757081.1, XP_017757082.1, XP_017757083.1	XP_017794676.1, XP_017794675.1, XP_017794677.1, XP_017794678.1, XP_017794679.1
OG0000176	XP_017757060.1	XP_017790348.1
OG0000177	XP_017754838.1	XP_017795594.1
OG0000177	XP_017754830.1	XP_017795592.1
OG0000177	XP_017754833.1	XP_017795589.1
OG0000179	XP_017762472.1	XP_017791990.1
OG0000179	XP_017762477.1, XP_017762476.1	XP_017791524.1
OG0000179	XP_017764861.1	XP_017799324.1
OG0000180	XP_017764209.1, XP_017764210.1, XP_017764208.1	XP_017787401.1, XP_017787400.1, XP_017787399.1
OG0000181	XP_017763403.1, XP_017763404.1	XP_017792968.1
OG0000182	XP_017761809.1, XP_017761808.1	XP_017794377.1
OG0000183	XP_017755734.1	XP_017795084.1
OG0000183	XP_017758250.1	XP_017796132.1
OG0000184	XP_017766044.1	XP_017798954.1
OG0000185	XP_017760614.1	XP_017797685.1
OG0000185	XP_017760602.1	XP_017797731.1
OG0000185	XP_017760610.1	XP_017797733.1
OG0000186	XP_017765694.1, XP_017765695.1	XP_017790553.1, XP_017790555.1
OG0000187	XP_017755788.1, XP_017755787.1	XP_017797342.1
OG0000188	XP_017762123.1	XP_017794866.1
OG0000188	XP_017763805.1	XP_017791383.1
OG0000188	XP_017761111.1	XP_017795271.1
OG0000189	XP_017753298.1, XP_017753288.1	XP_017795367.1
OG0000189	XP_017753499.1	XP_017787964.1, XP_017787967.1
OG0000190	XP_017757675.1, XP_017757673.1, XP_017757674.1	XP_017789755.1, XP_017789754.1, XP_017789756.1
OG0000191	XP_017753882.1	XP_017795883.1
OG0000192	XP_017760341.1, XP_017758954.1, XP_017758953.1	XP_017792725.1
OG0000194	XP_017756837.1	XP_017799440.1
OG0000194	XP_017756836.1	XP_017799442.1
OG0000194	XP_017756838.1	XP_017799437.1
OG0000196	XP_017756213.1	XP_017791366.1
OG0000196	XP_017757746.1, XP_017757744.1, XP_017757745.1	XP_017791305.1
OG0000197	XP_017753812.1, XP_017753801.1, XP_017753795.1	XP_017794596.1
OG0000198	XP_017761419.1, XP_017761421.1	XP_017787675.1
OG0000199	XP_017764995.1	XP_017792901.1
OG0000200	XP_017759260.1	XP_017790004.1, XP_017790003.1
OG0000200	XP_017760688.1	XP_017793346.1
OG0000200	XP_017760689.1	XP_017793347.1
OG0000201	XP_017757589.1, XP_017757600.1	XP_017790031.1
OG0000202	XP_017755518.1	XP_017791030.1
OG0000202	XP_017765124.1	XP_017795643.1
OG0000203	XP_017753354.1	XP_017794211.1
OG0000203	XP_017759088.1	XP_017790332.1
OG0000204	XP_017766805.1	XP_017788993.1
OG0000205	XP_017752413.1, XP_017752414.1	XP_017788047.1
OG0000206	XP_017762170.1	XP_017794929.1
OG0000206	XP_017762186.1, XP_017762192.1, XP_017762190.1, XP_017762189.1, XP_017762187.1, XP_017762188.1	XP_017794889.1, XP_017794888.1, XP_017794887.1
OG0000207	XP_017760687.1	XP_017793342.1
OG0000207	XP_017756106.1	XP_017791361.1
OG0000207	XP_017756102.1	XP_017791356.1
OG0000208	XP_017756194.1	XP_017791349.1
OG0000208	XP_017760651.1	XP_017797296.1
OG0000208	XP_017760663.1	XP_017797298.1
OG0000208	XP_017765005.1	XP_017796380.1
OG0000209	XP_017756958.1, XP_017756959.1, XP_017756956.1, XP_017756957.1, XP_017756954.1, XP_017756955.1, XP_017756953.1, XP_017756961.1	XP_017791268.1, XP_017791266.1, XP_017791267.1, XP_017791265.1, XP_017791264.1, XP_017791263.1, XP_017791262.1
OG0000210	XP_017766080.1	XP_017789022.1
OG0000210	XP_017767327.1	XP_017790992.1
OG0000210	XP_017766960.1	XP_017789769.1
OG0000212	XP_017759725.1	XP_017795959.1
OG0000212	XP_017760333.1, XP_017760334.1	XP_017793987.1, XP_017793986.1
OG0000213	XP_017755129.1, XP_017755127.1, XP_017755128.1	XP_017789586.1
OG0000214	XP_017752245.1	XP_017794266.1
OG0000214	XP_017752185.1	XP_017792781.1, XP_017792782.1
OG0000215	XP_017765029.1	XP_017796692.1, XP_017796575.1
OG0000216	XP_017761217.1	XP_017793604.1
OG0000217	XP_017766098.1	XP_017789113.1
OG0000218	XP_017762070.1	XP_017795109.1
OG0000219	XP_017755416.1, XP_017755417.1, XP_017755418.1, XP_017755419.1	XP_017788174.1, XP_017788173.1, XP_017788171.1, XP_017788172.1, XP_017788169.1, XP_017788170.1
OG0000220	XP_017767298.1, XP_017767297.1	XP_017792512.1
