Orthogroup	Eufriesea_mexicana	Tribolium_castaneum
OG0000018	XP_017761708.1	XP_008193119.1, XP_968748.1, XP_015835557.1, XP_973693.2, XP_015838295.1, XP_015838053.1, XP_969711.1, XP_008194698.1, XP_973658.2, XP_008193214.1, XP_008193215.1, XP_015835529.1, XP_008193213.1, XP_008193216.1, XP_972534.1
OG0000018	XP_017760876.1, XP_017760875.1	XP_008194092.1, XP_969781.1
OG0000018	XP_017758049.1	XP_969849.1, XP_008194093.1, XP_008193834.1
OG0000019	XP_017758970.1	XP_975378.1
OG0000019	XP_017754922.1	XP_973103.2, XP_973187.1, XP_008192578.1, XP_001813143.1, XP_973063.1
OG0000019	XP_017757913.1	XP_972874.1, XP_015834337.1, XP_008192577.2
OG0000020	XP_017758962.1	XP_008201408.1
OG0000020	XP_017756685.1	XP_008201409.2
OG0000020	XP_017758540.1	XP_969457.2
OG0000021	XP_017759339.1	XP_015838406.1, XP_015838407.1, XP_008197201.1
OG0000021	XP_017763116.1	XP_015838169.1
OG0000021	XP_017758713.1, XP_017758722.1, XP_017758731.1	XP_008197404.1
OG0000021	XP_017764524.1, XP_017763364.1	XP_008197199.1
OG0000021	XP_017755079.1	XP_008196932.1
OG0000021	XP_017759315.1	XP_008197203.1, XP_969207.1
OG0000022	XP_017760075.1	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1
OG0000023	XP_017754148.1	XP_008201479.1, XP_008201473.1, XP_008199957.2
OG0000024	XP_017753899.1	XP_970056.2
OG0000026	XP_017756869.1	XP_015833705.1
OG0000026	XP_017760223.1	XP_008193329.1
OG0000026	XP_017763291.1, XP_017763214.1	XP_969357.3
OG0000026	XP_017753312.1	XP_966472.1
OG0000026	XP_017767765.1, XP_017752170.1	XP_015840897.1
OG0000027	XP_017754149.1	XP_008199050.2
OG0000029	XP_017755085.1, XP_017755078.1	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1
OG0000029	XP_017764405.1, XP_017764404.1, XP_017755093.1, XP_017755092.1	XP_015840495.1, XP_008201389.1, XP_008201390.1
OG0000030	XP_017764870.1	XP_966905.1
OG0000030	XP_017761417.1, XP_017761416.1	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2
OG0000031	XP_017763357.1	XP_008192426.1, XP_015840131.1, XP_015837232.1, XP_008192457.2
OG0000032	XP_017755945.1	XP_001807564.1
OG0000032	XP_017752458.1	XP_008200043.1
OG0000032	XP_017765759.1, XP_017765770.1, XP_017762938.1	XP_969958.1, XP_970026.1
OG0000035	XP_017767482.1	XP_008191815.1, XP_008191817.1, XP_971626.2, XP_008191746.2, XP_008191790.1
OG0000035	XP_017761425.1	XP_973091.2, XP_008190471.1, XP_015838951.1, XP_015838653.1, XP_967762.1, XP_967685.3, XP_015838842.1, XP_967924.1, XP_015838843.1, XP_972644.2, XP_015838642.1, XP_015838857.1, XP_972496.1, XP_008197534.1, XP_015838775.1, XP_015838840.1, XP_015838776.1, XP_008197589.1, XP_972090.2, XP_008197588.1, XP_008197586.1, XP_972349.2, XP_008197585.1, XP_008197584.1, XP_972444.1
OG0000036	XP_017761194.1, XP_017761192.1	XP_967476.1, XP_001811753.1
OG0000037	XP_017756758.1	XP_008192993.1, XP_015835222.1, XP_970216.2, XP_008193006.2, XP_008193010.2, XP_015835218.1, XP_966991.2, XP_015835223.1, XP_001809825.2, XP_015835468.1, XP_968523.2, XP_015835220.1, XP_015835221.1, XP_008190973.2, XP_970770.1, XP_970895.1, XP_008200145.1
OG0000038	XP_017758046.1	XP_966584.1
OG0000040	XP_017760692.1, XP_017754464.1, XP_017760639.1	NP_001161129.1, XP_008193161.1, NP_001161087.1, XP_970321.1, NP_001161083.1
OG0000041	XP_017765151.1	NP_001165843.1
OG0000041	XP_017765153.1	NP_001165844.1
OG0000041	XP_017759621.1, XP_017759618.1, XP_017759619.1, XP_017759620.1	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1
OG0000041	XP_017754630.1	XP_967305.1
OG0000042	XP_017757032.1	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1
OG0000042	XP_017762656.1	XP_974033.1, XP_015840580.1
OG0000042	XP_017758606.1	XP_008198874.1, NP_001182164.1, XP_008199928.1, NP_001180578.1
OG0000043	XP_017765446.1	XP_008193777.1, NP_001039289.1
OG0000043	XP_017760488.1	NP_001039285.1
OG0000043	XP_017755191.1	NP_001039279.1, NP_001039280.1, NP_001039278.1
OG0000044	XP_017767304.1	XP_008200957.1
OG0000045	XP_017753918.1, XP_017763731.1	XP_015834974.1, XP_015834972.1
OG0000046	XP_017765106.1	XP_008200986.2, XP_015838368.1
OG0000046	XP_017757713.1, XP_017764994.1	XP_966611.1
OG0000048	XP_017756821.1, XP_017756820.1	XP_008193917.1
OG0000050	XP_017754840.1, XP_017754998.1	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1
OG0000052	XP_017753622.1, XP_017753621.1	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1
OG0000054	XP_017761973.1, XP_017761971.1	XP_970381.1
OG0000055	XP_017756618.1, XP_017756620.1	XP_971821.3
OG0000055	XP_017753007.1	XP_969454.3
OG0000055	XP_017759282.1	XP_008194095.1
OG0000056	XP_017763577.1, XP_017761920.1	XP_015835680.1
OG0000056	XP_017759468.1	XP_008197222.1
OG0000056	XP_017758914.1	XP_015834565.1
OG0000056	XP_017762251.1	XP_970084.2
OG0000057	XP_017757145.1	XP_967267.1
OG0000057	XP_017767144.1	XP_969993.1
OG0000057	XP_017757144.1	XP_967348.1
OG0000057	XP_017757146.1	XP_968314.1
OG0000060	XP_017755704.1	XP_008194927.2
OG0000060	XP_017757183.1, XP_017756939.1, XP_017764156.1, XP_017757105.1, XP_017764190.1, XP_017764182.1, XP_017764164.1, XP_017757028.1, XP_017764173.1, XP_017757262.1	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1
OG0000061	XP_017754233.1	XP_969936.2
OG0000061	XP_017757875.1	XP_008197154.2
OG0000062	XP_017759727.1	XP_968760.1
OG0000062	XP_017762224.1, XP_017762229.1, XP_017762225.1, XP_017762231.1	XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1
OG0000065	XP_017764117.1	XP_015834020.1
OG0000065	XP_017764126.1, XP_017764130.1, XP_017764140.1	XP_969514.1, XP_008198984.1, XP_008198951.1, XP_966889.1, XP_015837535.1, XP_015834023.1, XP_015834022.1
OG0000067	XP_017760301.1	XP_008200210.1
OG0000067	XP_017754867.1	NP_001164095.1, XP_008200192.1
OG0000067	XP_017760549.1	XP_008198995.1
OG0000069	XP_017754841.1	XP_008191789.1
OG0000074	XP_017765289.1	XP_015837890.1, XP_970945.2
OG0000077	XP_017764095.1	XP_008200285.1
OG0000077	XP_017755927.1	XP_008194480.2, XP_971466.1, XP_015836196.1
OG0000079	XP_017754547.1, XP_017754546.1, XP_017754553.1, XP_017754566.1	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1
OG0000080	XP_017763299.1	XP_971544.1
OG0000080	XP_017763330.1, XP_017763331.1	XP_015839289.1
OG0000080	XP_017763303.1	XP_015838833.1, XP_968784.1, XP_008199652.2
OG0000081	XP_017758034.1	XP_015833047.1
OG0000082	XP_017760548.1, XP_017760559.1, XP_017760564.1	XP_008196787.1, XP_008196786.1
OG0000084	XP_017759810.1, XP_017759811.1, XP_017759821.1	XP_008194205.2
OG0000084	XP_017757681.1	XP_008194337.1, XP_969263.1
OG0000085	XP_017757451.1	XP_008190480.1, XP_008190479.1, XP_008190478.1
OG0000085	XP_017759168.1, XP_017759169.1	XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1
OG0000086	XP_017752779.1, XP_017752829.1, XP_017752828.1	XP_973839.1, XP_008201361.1, XP_008200636.2, XP_971578.1, XP_008193572.1, XP_008197635.1, XP_008193352.1, XP_015839617.1
OG0000086	XP_017758047.1	XP_008200062.1, XP_015834290.1
OG0000087	XP_017764961.1	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2
OG0000087	XP_017764986.1	XP_969383.1
OG0000087	XP_017764988.1, XP_017764987.1	XP_001808639.1, XP_008200953.1, XP_974493.2
OG0000088	XP_017758470.1	XP_015837887.1
OG0000089	XP_017760295.1, XP_017760292.1, XP_017760296.1, XP_017760294.1, XP_017760299.1, XP_017760298.1, XP_017760293.1	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1
OG0000091	XP_017755131.1	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2
OG0000092	XP_017761157.1	XP_008198926.1
OG0000092	XP_017758288.1, XP_017758287.1, XP_017758318.1	XP_967128.1
OG0000093	XP_017759423.1	XP_008198969.1
OG0000094	XP_017763745.1	XP_008194293.1
OG0000094	XP_017764407.1	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2
OG0000095	XP_017758948.1	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1
OG0000096	XP_017759853.1	XP_970191.2
OG0000096	XP_017753661.1	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1
OG0000097	XP_017759272.1, XP_017759271.1	XP_966355.1, XP_008200463.1
OG0000098	XP_017760521.1, XP_017760519.1, XP_017760520.1, XP_017760517.1, XP_017760518.1, XP_017760523.1, XP_017760524.1, XP_017760522.1	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1
OG0000099	XP_017762062.1, XP_017762063.1	XP_973444.1
OG0000099	XP_017765789.1	XP_967359.1
OG0000099	XP_017763025.1	XP_008198312.1
OG0000100	XP_017762097.1	XP_015833282.1, XP_008190946.1, XP_008190945.1
OG0000101	XP_017762608.1	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1
OG0000101	XP_017752973.1, XP_017752972.1, XP_017762351.1	XP_968658.1, XP_008190341.1, XP_968586.1
OG0000102	XP_017755997.1, XP_017756024.1, XP_017756022.1, XP_017756023.1, XP_017756026.1	XP_015836203.1, XP_972020.3, XP_971968.1
OG0000103	XP_017761262.1	NP_001121967.1
OG0000108	XP_017755056.1, XP_017755065.1	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1
OG0000109	XP_017765546.1, XP_017765544.1, XP_017765545.1, XP_017765540.1, XP_017765542.1, XP_017765541.1, XP_017765543.1	XP_008200716.1
OG0000110	XP_017752642.1, XP_017763176.1	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2
OG0000111	XP_017759645.1	XP_008201050.1, XP_970898.1, XP_970952.1, XP_975906.1, NP_001161227.1, NP_001161310.1, XP_015839309.1, XP_970839.1, XP_008201049.1
OG0000112	XP_017760945.1, XP_017760944.1	XP_008191265.1
OG0000112	XP_017752746.1, XP_017752755.1, XP_017752737.1, XP_017752760.1, XP_017752729.1	XP_008198195.1, XP_015837714.1
OG0000113	XP_017754450.1, XP_017766321.1	XP_967872.2, XP_008198495.1, XP_008198500.1
OG0000114	XP_017755231.1	XP_008195366.2, XP_015837027.1, XP_015837028.1
OG0000115	XP_017765840.1, XP_017765841.1, XP_017765838.1, XP_017757043.1	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1
OG0000116	XP_017756858.1, XP_017756906.1	XP_015837656.1
OG0000117	XP_017754328.1	XP_008198411.1
OG0000117	XP_017755804.1	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1
OG0000119	XP_017756878.1, XP_017756873.1	NP_001157311.1
OG0000120	XP_017760327.1, XP_017760326.1, XP_017760325.1	XP_015838347.1
OG0000122	XP_017760255.1	XP_015834556.1
OG0000122	XP_017766449.1	XP_008192222.1
OG0000122	XP_017761215.1, XP_017765619.1	XP_008190630.1, XP_970917.2, NP_001280526.1
OG0000123	XP_017760450.1, XP_017760451.1, XP_017760448.1, XP_017760449.1, XP_017760452.1	XP_001813105.1
OG0000124	XP_017759439.1, XP_017759448.1	XP_015834874.1
OG0000125	XP_017752157.1, XP_017752160.1, XP_017752159.1, XP_017752162.1, XP_017752161.1, XP_017752163.1, XP_017767778.1, XP_017767758.1	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1
OG0000126	XP_017753608.1, XP_017753607.1, XP_017753606.1, XP_017753605.1, XP_017753604.1	NP_001034505.1
OG0000127	XP_017754012.1, XP_017754013.1	XP_008201644.1
OG0000127	XP_017754044.1	NP_001280519.1, XP_015839687.1
OG0000129	XP_017753388.1	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1
OG0000130	XP_017754767.1	XP_008200084.1, XP_001811552.1
OG0000130	XP_017759668.1	XP_008200083.1
OG0000131	XP_017758818.1	XP_001808435.1
OG0000131	XP_017761464.1, XP_017761457.1, XP_017761449.1	XP_008198189.1, XP_968387.1, XP_008198188.1
OG0000132	XP_017760124.1	XP_008198166.1, XP_015839207.1
OG0000133	XP_017755394.1	XP_975308.3
OG0000133	XP_017753320.1	XP_015840591.1
OG0000135	XP_017761243.1	XP_015833857.1, XP_008194086.1
OG0000135	XP_017754219.1	XP_008190640.1, XP_008190639.1
OG0000135	XP_017756053.1, XP_017756054.1	NP_001153713.1
OG0000136	XP_017753466.1, XP_017753465.1, XP_017753464.1, XP_017753463.1, XP_017753462.1, XP_017753460.1	XP_971514.1, XP_971572.1
OG0000137	XP_017761738.1, XP_017758968.1	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1
OG0000138	XP_017753919.1, XP_017753916.1	XP_015840574.1, XP_967720.2, XP_015840573.1
OG0000139	XP_017764607.1, XP_017764606.1	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1
OG0000140	XP_017761604.1	XP_008194986.1, XP_008194985.1, XP_008195037.1, XP_015836615.1, XP_008195039.1, XP_971347.1, XP_971406.1
OG0000140	XP_017761532.1	XP_973264.1
OG0000141	XP_017757816.1	XP_015833202.1
OG0000141	XP_017756234.1	XP_008193877.2
OG0000143	XP_017757050.1, XP_017765696.1, XP_017765697.1, XP_017765698.1	XP_008192676.1
OG0000144	XP_017759465.1, XP_017759463.1, XP_017759475.1	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1
OG0000145	XP_017753508.1, XP_017753509.1	XP_008193348.1
OG0000146	XP_017762149.1	XP_966544.1, XP_001811608.2
OG0000146	XP_017757313.1	XP_974294.1
OG0000147	XP_017764859.1, XP_017755245.1	XP_966688.1
OG0000149	XP_017752370.1	XP_008191323.1
OG0000150	XP_017761423.1	XP_015838556.1, XP_015838555.1, XP_015838554.1
OG0000151	XP_017754495.1, XP_017754494.1	XP_969439.1, XP_015840091.1
OG0000152	XP_017752525.1, XP_017752524.1, XP_017752522.1, XP_017752523.1, XP_017752519.1, XP_017752521.1	XP_966734.2
OG0000153	XP_017752578.1, XP_017752577.1	XP_970869.1, XP_008195606.1
OG0000154	XP_017755034.1, XP_017755068.1	XP_008195104.1
OG0000156	XP_017764881.1	XP_008199571.1, XP_008199569.1, XP_008199570.1
OG0000157	XP_017766530.1, XP_017766794.1	NP_001161084.1, XP_008194710.1, NP_001161130.1
OG0000158	XP_017757401.1, XP_017757402.1	XP_008198818.1
OG0000160	XP_017762321.1	XP_008199283.1
OG0000160	XP_017760990.1, XP_017760976.1, XP_017760983.1, XP_017760969.1	XP_967023.4
OG0000161	XP_017766190.1, XP_017765612.1, XP_017766182.1, XP_017766192.1, XP_017753075.1, XP_017765621.1	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3
OG0000162	XP_017760661.1	XP_008201498.1, NP_001103246.1
OG0000162	XP_017760068.1, XP_017761789.1	XP_008200302.1, NP_001107770.1
OG0000162	XP_017758852.1	NP_001103245.1
OG0000164	XP_017752452.1, XP_017752453.1, XP_017752455.1	XP_015833602.1, XP_015840341.1, XP_015833616.1
OG0000165	XP_017763109.1, XP_017763110.1, XP_017763108.1	XP_008192571.1
OG0000165	XP_017754783.1	XP_974173.2
OG0000166	XP_017765680.1	XP_008199436.1, XP_008199431.1
OG0000168	XP_017767433.1	XP_015838873.1, NP_001107841.1
OG0000170	XP_017767455.1	XP_008193117.1, XP_008193116.1
OG0000171	XP_017763743.1, XP_017763746.1	XP_971346.1, XP_015836633.1
OG0000173	XP_017753788.1, XP_017753789.1	XP_008194517.1
OG0000174	XP_017759915.1, XP_017759914.1, XP_017759916.1, XP_017765580.1	XP_015838513.1
OG0000175	XP_017757084.1, XP_017757081.1, XP_017757082.1, XP_017757083.1	XP_974770.1, XP_015836695.1
OG0000176	XP_017757060.1	XP_008195214.1
OG0000177	XP_017754838.1	XP_971910.1
OG0000177	XP_017754830.1	XP_008194311.1
OG0000177	XP_017754833.1	XP_972019.2
OG0000178	XP_017764768.1	XP_008200484.2, XP_015835582.1
OG0000179	XP_017762472.1	XP_008194977.1
OG0000179	XP_017762477.1, XP_017762476.1	XP_966308.2
OG0000180	XP_017764209.1, XP_017764210.1, XP_017764208.1	XP_976031.1, XP_008200320.1
OG0000181	XP_017763403.1, XP_017763404.1	NP_001280548.1, XP_008193833.1
OG0000182	XP_017761809.1, XP_017761808.1	XP_015832992.1
OG0000183	XP_017755734.1	XP_975025.1
OG0000183	XP_017758250.1	XP_970665.1
OG0000184	XP_017766044.1	XP_015832887.1, XP_015837621.1, XP_015837372.1, XP_015837383.1, XP_975520.3
OG0000185	XP_017760614.1, XP_017760602.1	XP_008197397.1
OG0000186	XP_017765694.1, XP_017765695.1	XP_008199126.1, XP_008199118.1, XP_015835450.1
OG0000187	XP_017755788.1, XP_017755787.1	XP_975362.1
OG0000188	XP_017763805.1	XP_008197500.1
OG0000188	XP_017761111.1	XP_967501.2
OG0000189	XP_017753298.1, XP_017753288.1	XP_966528.2, XP_008201661.1
OG0000189	XP_017753499.1	XP_008198457.1, XP_008193919.1
OG0000190	XP_017757675.1, XP_017757673.1, XP_017757674.1	XP_015839424.1, XP_968802.1
OG0000191	XP_017753882.1	XP_015840404.1, XP_972346.1, XP_008197015.2, XP_015838363.1, XP_015838365.1, XP_972237.1, XP_015833908.1, XP_015833861.1, XP_015838439.1, XP_966412.2, XP_015833969.1, XP_001812470.1, XP_972442.2, XP_008193548.2
OG0000192	XP_017760341.1, XP_017758954.1, XP_017758953.1	XP_976201.3, XP_008197081.1, XP_015838219.1, XP_008197084.1, XP_008197085.1, XP_008197082.1
OG0000194	XP_017756837.1	XP_008193011.1
OG0000194	XP_017756836.1, XP_017756838.1	NP_001280525.1
OG0000196	XP_017756213.1	XP_969047.2
OG0000196	XP_017757746.1, XP_017757744.1, XP_017757745.1	XP_967948.2
OG0000197	XP_017753812.1, XP_017753801.1, XP_017753795.1	XP_015837925.1
OG0000198	XP_017761419.1, XP_017761421.1	XP_008196149.1
OG0000200	XP_017759260.1	XP_974164.1
OG0000200	XP_017760688.1, XP_017760689.1	XP_967143.1, XP_015839106.1, XP_974030.1
OG0000201	XP_017757589.1	XP_015833113.1
OG0000201	XP_017757600.1	XP_974115.1
OG0000202	XP_017755518.1	XP_008196489.1, XP_008196491.1, XP_008196490.1
OG0000203	XP_017759088.1	XP_972061.1
OG0000204	XP_017766805.1	XP_008192748.1, XP_015834354.1, XP_015834322.1, XP_001810985.1, XP_015834355.1, XP_966892.1
OG0000205	XP_017752413.1, XP_017752414.1	XP_015834252.1, XP_969899.1, XP_972246.2, XP_969838.2
OG0000206	XP_017762170.1	XP_975174.1
OG0000206	XP_017762186.1, XP_017762192.1, XP_017762190.1, XP_017762189.1, XP_017762187.1, XP_017762188.1	XP_967870.1
OG0000207	XP_017756106.1, XP_017756102.1	XP_008190794.1
OG0000208	XP_017756194.1	NP_001034487.2, XP_008199220.1
OG0000209	XP_017756958.1, XP_017756959.1, XP_017756956.1, XP_017756957.1, XP_017756954.1, XP_017756955.1, XP_017756953.1, XP_017756961.1	XP_015833617.1
OG0000210	XP_017766080.1	XP_008196393.1
OG0000210	XP_017767327.1	XP_008194608.1, XP_973007.1
OG0000210	XP_017766960.1	XP_015838316.1, XP_971337.1
OG0000212	XP_017759725.1, XP_017760333.1, XP_017760334.1	XP_970912.2, XP_015835896.1, XP_015840439.1, XP_015840441.1
OG0000213	XP_017755129.1, XP_017755127.1, XP_017755128.1	XP_970612.2
OG0000214	XP_017752245.1	XP_967960.2
OG0000214	XP_017752185.1	XP_970835.1
OG0000215	XP_017765029.1	XP_972301.2, XP_008197697.1, XP_008197706.1, XP_015839776.1
OG0000216	XP_017761217.1	NP_001107836.1, XP_967724.1, NP_001123993.1, XP_008193185.1, XP_008199996.1, XP_971612.1, NP_001123994.1
OG0000217	XP_017766098.1	XP_973791.2, XP_975130.2, XP_015839401.1, XP_015839404.1, XP_015839405.1, XP_008199621.1, XP_015839403.1, XP_015840143.1, XP_008192685.2, XP_008192686.2, XP_015835054.1, XP_015835055.1, XP_008191628.1, XP_008191600.1, XP_008198006.2
OG0000218	XP_017762070.1	XP_967940.2
OG0000219	XP_017755416.1, XP_017755417.1, XP_017755418.1, XP_017755419.1	XP_968383.1
OG0000220	XP_017767298.1, XP_017767297.1	XP_015840696.1
OG0000221	XP_017758018.1, XP_017758012.1, XP_017758010.1, XP_017758011.1, XP_017758017.1, XP_017758016.1, XP_017758009.1, XP_017758013.1	XP_015837155.1, XP_974256.1
OG0000223	XP_017759246.1	NP_001164284.1, XP_972063.1
OG0000225	XP_017757175.1, XP_017757174.1, XP_017757173.1, XP_017766315.1	XP_971086.2
OG0000226	XP_017766524.1	NP_001280522.1, XP_008197480.1
OG0000226	XP_017766628.1, XP_017766627.1	XP_015838522.1
OG0000227	XP_017753440.1, XP_017753439.1	XP_008198897.2
OG0000229	XP_017752613.1	XP_008190780.1
OG0000230	XP_017766664.1, XP_017766665.1, XP_017766666.1	XP_015836723.1
OG0000231	XP_017757286.1	XP_015836454.1, XP_015836453.1, XP_973943.1, XP_008194841.1
OG0000232	XP_017760637.1, XP_017760638.1	XP_970131.1
OG0000233	XP_017764854.1, XP_017764853.1, XP_017764855.1	XP_008196062.1, XP_008196018.1, XP_008196019.1
OG0000234	XP_017761679.1, XP_017761675.1	XP_972520.3, XP_001814003.1
OG0000235	XP_017760227.1	XP_015835330.1, XP_015835329.1, XP_015835324.1, XP_015835328.1
OG0000236	XP_017758058.1	NP_001155991.1
OG0000237	XP_017755467.1	XP_008197452.1
OG0000237	XP_017755463.1	XP_008197451.1
