Orthogroup	Bombyx_mori	Ceratina_calcarata
OG0000010	XP_037872909.1, XP_037871048.1, XP_037874327.1, XP_037868974.1, XP_037866962.1, XP_037872910.1, XP_037876686.1, XP_037868130.1, XP_037875277.1, XP_037869503.1, XP_037868962.1, XP_037877008.1, XP_037875241.1, XP_037866479.1, XP_037866959.1, XP_037872517.1, XP_037874346.1, XP_037869607.1, XP_037869632.1, XP_037866497.1, XP_037871097.1, XP_037877012.1, XP_037874850.1, XP_037867751.1, XP_037868508.1, XP_037873738.1, XP_037871588.1, XP_037870366.1, XP_037873346.1	XP_017890567.1, XP_017892844.1, XP_026673534.1, XP_017877435.1, XP_017889234.1, XP_017875216.1, XP_017881849.1
OG0000012	XP_021205514.2	XP_017893158.1
OG0000012	XP_012543999.1, NP_001037317.1	XP_017890720.1, XP_017889198.1, XP_026674581.1, XP_017875047.1
OG0000012	XP_037870940.1, XP_012547171.2, XP_021203795.1, XP_021204459.2	XP_026666907.1
OG0000013	XP_004933313.1	XP_017875197.1
OG0000013	NP_001040399.1	XP_017887567.1
OG0000013	NP_001091756.1	XP_017884545.1, XP_026671800.1, XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1, XP_017884546.1, XP_026671801.1
OG0000015	XP_037867165.1, XP_037868016.1	XP_017886623.1
OG0000016	XP_037875269.1, XP_037869058.1	XP_017878645.1, XP_017879462.1, XP_017877665.1, XP_017875193.1, XP_017878763.1
OG0000016	XP_037866966.1, XP_037874854.1, XP_037869234.1	XP_026675337.1, XP_026675334.1, XP_026675631.1, XP_026675630.1
OG0000016	XP_037871463.1, XP_004927060.2, XP_037874057.1, XP_004923984.2, XP_037872903.1, XP_004927452.2, XP_004934209.2, XP_037876361.1, XP_037877133.1, XP_037869633.1, XP_037873340.1, XP_037867761.1, XP_037871662.1, XP_037871125.1, XP_037868132.1, XP_037872522.1, XP_004921763.2, XP_037872764.1, XP_037868492.1, XP_037874875.1, XP_037868964.1, XP_037877124.1, XP_037867762.1, XP_037871595.1, XP_037870977.1, XP_037871622.1, XP_037867766.1	XP_017884306.1, XP_026668765.1
OG0000017	NP_001108466.1, XP_012546875.1, NP_001037420.1, NP_001037197.1, NP_001108464.1, NP_001108460.1	XP_017892800.1
OG0000017	NP_001037183.1	XP_026675002.1
OG0000017	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1	XP_026675010.1, XP_026675012.1, XP_026675011.1
OG0000018	XP_037871931.1	XP_026673006.1, XP_026673004.1
OG0000018	XP_021205339.2, XP_037871705.1	XP_017890581.1
OG0000018	NP_001243945.1, XP_037871800.1	XP_017889371.1
OG0000019	NP_001268819.1, XP_037869432.1, NP_001040220.1	XP_017887380.2, XP_026668832.1, XP_017890717.1, XP_017877436.1, XP_017885792.1
OG0000019	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2	XP_017888742.1
OG0000019	XP_004927318.1	XP_017885630.1
OG0000020	XP_012545030.1	XP_017881798.1, XP_026672764.1
OG0000020	XP_012552719.1, XP_021202222.1	XP_017892668.1
OG0000020	XP_012548770.1	XP_017878233.1
OG0000020	XP_037867242.1, XP_012549186.1	XP_026668767.1
OG0000021	XP_004932475.1, XP_021207797.1	XP_017892171.1
OG0000021	XP_012546046.1	XP_017887700.1
OG0000021	XP_004926417.1	XP_026674526.1, XP_017890431.1
OG0000021	XP_037872785.1	XP_017892165.1
OG0000022	NP_001153667.1	XP_017887568.1
OG0000024	XP_004924130.1	XP_017889792.1
OG0000025	XP_004929074.1	XP_017890440.1
OG0000026	XP_037867257.1	XP_017881604.1
OG0000026	XP_021204803.2	XP_017886012.1
OG0000026	XP_004929451.1, XP_012548588.1	XP_026667172.1, XP_026667174.1, XP_026667173.1, XP_026667176.1, XP_026667175.1, XP_026667177.1
OG0000027	NP_001153669.1	XP_017875198.1
OG0000029	NP_001036866.1, NP_001166691.1, NP_001166687.1	XP_017879055.1, XP_017878925.1
OG0000029	NP_001093082.1, NP_001166690.1, NP_001166689.1	XP_017883728.1, XP_026668846.1, XP_026671320.1, XP_017878918.1
OG0000030	XP_037875304.1	XP_026669786.1, XP_026668326.1
OG0000030	XP_004926017.1	XP_017889314.1, XP_026673910.1, XP_026673911.1, XP_026673914.1, XP_026673913.1, XP_026673912.1
OG0000031	XP_037868210.1	XP_026670214.1, XP_017887183.2, XP_017880999.1, XP_017881575.1
OG0000032	XP_012545284.2, XP_021208619.1	XP_017879113.1
OG0000032	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1	XP_026669191.1, XP_017879823.1, XP_017891597.1
OG0000033	XP_004925104.2, XP_004925103.1	XP_017888593.2
OG0000033	XP_021203082.2	XP_017881686.1
OG0000035	NP_001243964.1, NP_001243980.1	XP_017886557.1
OG0000036	XP_004925684.1, XP_037874658.1	XP_017881584.1
OG0000036	XP_037877629.1, XP_012544322.2	XP_017889438.1, XP_017889422.1, XP_017888379.2
OG0000037	NP_001166634.1, NP_001166643.1, NP_001166640.1, XP_021207417.1, NP_001166642.1, NP_001166626.1, NP_001166646.1, NP_001166657.1, NP_001166648.1, NP_001166659.1, NP_001166661.1, NP_001166647.1, NP_001166654.1, NP_001166652.1, NP_001166656.1, NP_001166655.1, NP_001166651.1, NP_001166653.1, NP_001166650.1, XP_012550695.2, XP_037874610.1, NP_001166649.1, NP_001166658.1, NP_001166660.1, XP_037874849.1, XP_037874613.1, XP_037874612.1, NP_001166662.1, NP_001036864.1, NP_001166674.1, NP_001166673.1, NP_001166676.1, NP_001166675.1, NP_001036838.1, NP_001166677.1, XP_012550704.2, NP_001166625.1, NP_001166671.1, NP_001166678.1, XP_012550693.1, NP_001166641.1, XP_004931961.1, NP_001166635.1, NP_001166644.1, NP_001166637.1	XP_017893255.1
OG0000038	NP_001036884.1	XP_017875625.1, XP_017877449.1
OG0000038	NP_001036886.1, XP_021204307.1	XP_017889379.1
OG0000039	XP_037875873.1, XP_037875721.1, XP_037875722.1, XP_037875265.1, XP_037867939.1, XP_037877376.1, XP_037877375.1, XP_037870392.1, XP_037870333.1, XP_012548402.1, XP_012548403.1, XP_021207874.2, XP_037866956.1, XP_037868982.1, XP_037877018.1, XP_012548919.1	XP_017881850.1
OG0000040	XP_037871589.1, XP_037877007.1	XP_017877450.1, XP_017888048.1, XP_017889733.1, XP_017888163.1
OG0000041	NP_001119724.1	XP_017880124.1, XP_017880121.1, XP_017880123.1
OG0000041	NP_001119726.1, XP_037872546.1	XP_017893662.1
OG0000042	XP_004925565.1	XP_017883943.2, XP_026673615.1
OG0000043	NP_001037067.1, NP_001037068.1	XP_017886026.1
OG0000043	NP_001091780.1, XP_021206019.2	XP_017877704.1
OG0000044	NP_001036834.1	XP_026674447.1, XP_026673576.1
OG0000044	XP_037868658.1	XP_026675544.1
OG0000045	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1	XP_017885494.1, XP_017885495.1, XP_026672577.1
OG0000046	NP_001036837.1, XP_012547740.1	XP_017880728.1
OG0000046	NP_001036892.1	XP_017877146.1, XP_017889622.1
OG0000047	XP_037869855.1, XP_037866933.1, XP_037874605.1, XP_037869737.1, XP_037871249.1, XP_037877229.1, XP_037867871.1, XP_037867870.1, XP_037875392.1, XP_037876653.1, XP_037875391.1, XP_037876466.1, XP_012543806.2, XP_037876380.1, XP_012552278.1, XP_012552527.2, XP_037872680.1, XP_037876439.1, XP_037875038.1, XP_037876528.1	XP_017880334.1, XP_017892805.1, XP_017875626.1, XP_017888678.1, XP_026675543.1
OG0000050	NP_001165227.1, NP_001040466.1, XP_037875050.1, NP_001124352.1, NP_001116814.1, XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1, XP_004925199.1, XP_004924525.1, XP_004932947.1, NP_001040174.1	XP_017877630.1, XP_026668996.1, XP_017881679.1, XP_017888731.1, XP_017879668.1, XP_017890628.2
OG0000052	XP_012545178.1, NP_001036907.1, XP_037868558.1, XP_037868546.1, XP_012545207.2, XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1	XP_017876353.1, XP_017876352.1, XP_026667536.1
OG0000052	XP_012545009.1, NP_001182634.1	XP_017886239.1
OG0000054	NP_001040112.1	XP_017877140.2
OG0000054	NP_001036835.1, NP_001166743.1	XP_017882628.1, XP_017882621.1, XP_017879473.2
OG0000055	XP_021207833.1	XP_026669873.1
OG0000055	XP_012548893.1, NP_001036959.1	XP_026670737.1
OG0000056	XP_037866675.1	XP_026668599.1
OG0000056	XP_037872689.1	XP_017878877.2
OG0000056	XP_037871311.1	XP_026674744.1
OG0000056	XP_037873641.1	XP_026673034.1
OG0000057	NP_001036887.1, NP_001036964.1	XP_017893620.1
OG0000057	NP_001036965.1	XP_017893593.1
OG0000057	NP_001036888.1	XP_017893591.1
OG0000057	NP_001037492.1, NP_001093079.1	XP_026666868.1
OG0000059	XP_037867705.1, XP_037869003.1, XP_012553005.2, XP_037876015.1, XP_012551329.2, XP_037876954.1, XP_037869306.1, XP_037869305.1, XP_037876953.1, XP_037868417.1, XP_037876022.1, XP_037869062.1, XP_037867542.1, XP_037870550.1	XP_017885313.1
OG0000060	XP_004925993.2	XP_017886873.1
OG0000060	XP_021206640.1, XP_004930776.1	XP_017888800.1, XP_017888809.1, XP_017888818.1, XP_017888829.1
OG0000061	XP_012551685.2	XP_017875889.1
OG0000062	XP_004923510.1, XP_037876893.1, XP_004933665.1, NP_001036941.1, NP_001036984.1, NP_001091794.1, XP_037877361.1, XP_037877362.1, NP_001037038.1, NP_001036942.1	XP_017884166.1, XP_017884165.1, XP_017883750.1, XP_017889879.1
OG0000063	XP_037869408.1, XP_037875862.1, XP_037867560.1, XP_037877026.1, XP_037868831.1, XP_037869779.1, XP_037870303.1, XP_037873338.1, XP_037876423.1, XP_037875121.1, XP_037875120.1, XP_037869757.1, XP_037869756.1, XP_037869471.1, XP_037869470.1, XP_037868509.1, XP_037869469.1	XP_017879825.1
OG0000065	XP_004931596.1	XP_026668887.1
OG0000065	NP_001037610.1, XP_037869237.1, XP_037869334.1, XP_012550936.1, XP_037869425.1, XP_037869333.1, XP_004921651.2	XP_017879155.1, XP_017882484.1, XP_017882497.1
OG0000066	XP_012545514.1	XP_026669810.1, XP_026674360.1
OG0000067	XP_004931451.1	XP_017879415.1
OG0000067	NP_001037582.1	XP_017890435.1
OG0000067	XP_037877745.1	XP_017875523.1
OG0000069	NP_001243973.1	XP_017891750.1, XP_026674127.1, XP_017886230.2
OG0000070	NP_001166602.1	XP_026674236.1, XP_017889960.2
OG0000073	NP_001243938.1	XP_017875573.2, XP_026667851.1
OG0000076	XP_037869185.1, XP_037874698.1, XP_037877095.1	XP_017881659.1
OG0000077	XP_037870080.1	XP_017875015.1
OG0000077	NP_001037478.1	XP_026672146.1, XP_026671946.1, XP_017888250.2, XP_017885489.2, XP_017893147.2, XP_026672126.1
OG0000078	XP_037872110.1, NP_001159625.1, NP_001116810.1	XP_026670822.1, XP_026670829.1
OG0000080	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1	XP_017890681.1
OG0000080	XP_004931946.1	XP_017883725.1
OG0000080	XP_037874734.1	XP_017890685.1
OG0000082	XP_004927040.1, NP_001124343.1	XP_017884449.1, XP_017884391.1, XP_017884390.1
OG0000084	XP_012550708.1, NP_001166718.1	XP_017892832.1, XP_017892831.1, XP_017892838.1
OG0000084	NP_001166714.1, NP_001036828.1, NP_001166712.1, NP_001166744.1, NP_001036827.1, NP_001166742.1	XP_017886965.1
OG0000085	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1	XP_026671441.1
OG0000086	NP_001243984.1	XP_017886282.1, XP_017890445.1
OG0000086	XP_004922188.1	XP_017889819.1
OG0000087	XP_004925118.1	XP_017889598.1, XP_017889597.1
OG0000087	XP_004926772.1	XP_017889543.1, XP_026674171.1
OG0000088	XP_037876269.1, XP_037876266.1	XP_017876693.1
OG0000091	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1	XP_017878945.1, XP_017878947.1, XP_017875917.2
OG0000092	NP_001040445.1	XP_017890756.1, XP_017879703.1, XP_026669127.1, XP_017879700.1, XP_017883478.1
OG0000093	XP_037875268.1	XP_017884046.1
OG0000094	XP_037867226.1	XP_017879892.1, XP_017892146.2, XP_017879895.1
OG0000094	XP_004929868.2	XP_026667942.1, XP_017877215.1
OG0000095	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1	XP_017892624.1, XP_026675535.1, XP_026667713.1, XP_026667550.1, NP_001352264.1, XP_017882357.2, XP_026666988.1
OG0000096	XP_004933352.2	XP_026671822.1
OG0000097	XP_012544532.1, XP_037871911.1, XP_004924657.1	XP_017882777.1, XP_017882779.1, XP_026670731.1, XP_026670734.1, XP_026670732.1, XP_026669182.1, XP_017879834.1
OG0000098	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1	XP_017882103.1, XP_017882102.1, XP_017882104.1, XP_017882105.1, XP_026670298.1
OG0000099	XP_012551708.2	XP_017878131.1
OG0000099	XP_004933046.1	XP_017882904.1
OG0000099	XP_037876655.1	XP_017889756.1
OG0000101	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1	XP_017885597.1
OG0000102	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1	XP_017888807.1, XP_017888735.1
OG0000103	XP_037869904.1	XP_017881956.1
OG0000108	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1	XP_017875876.1, XP_026667327.1, XP_017875874.1, XP_026667326.1
OG0000109	XP_021205885.1	XP_017877144.1, XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1
OG0000110	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1	XP_026671942.1, XP_026671669.1, XP_026671670.1, XP_017884745.1
OG0000111	XP_037870313.1	XP_026672562.1
OG0000111	XP_037868928.1, XP_037868924.1, XP_004922902.1, XP_004931121.1	XP_026667865.1, XP_026672563.1, XP_026672556.1, XP_026672555.1, XP_017886302.1, XP_026672564.1, XP_017886304.1, XP_017887546.1
OG0000111	XP_004927517.1	XP_017892963.2
OG0000112	NP_001240824.1, XP_012546717.1	XP_017883504.1, XP_026671066.1
OG0000113	XP_004929660.1, XP_004925443.2, XP_012545237.2	XP_017875141.1, XP_017886534.2, XP_017878803.1
OG0000114	XP_037876437.1	XP_017890039.2
OG0000115	NP_001037077.1, XP_012544300.1, NP_001036994.1	XP_017887780.1, XP_017887778.1, XP_017885409.1, XP_017881706.1, XP_017881697.1
OG0000117	NP_001040298.1	XP_017881345.1
OG0000117	NP_001233214.1, XP_012552766.1	XP_017887828.1, XP_026673222.1, XP_026673221.1, XP_026673223.1, XP_017887829.1
OG0000119	XP_037869697.1	XP_017887198.1, XP_017887196.1, XP_017887190.1, XP_026672950.1, XP_017887192.1, XP_026672944.1
OG0000120	XP_021207126.2	XP_026671941.1, XP_017885112.1, XP_017885113.1, XP_017885114.1, XP_026671925.1, XP_026671926.1, XP_026671923.1, XP_026671924.1, XP_017885115.1, XP_026671929.1, XP_026671928.1, XP_026671927.1, XP_017885111.1
OG0000122	XP_037871005.1	XP_017884012.1
OG0000122	XP_021202268.1, XP_012544010.1, XP_037868883.1, XP_004924046.1	XP_017883014.1, XP_017882995.2
OG0000123	NP_001037614.1, XP_012548321.1	XP_026671916.1, XP_017885083.1, XP_017885082.1, XP_017885077.1, XP_017885085.1, XP_017885084.1, XP_017885081.1
OG0000124	XP_037871306.1, XP_037871307.1, XP_021208751.2	XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_026668667.1, XP_026668668.1, XP_017878669.1
OG0000125	XP_004926881.1, XP_012546430.1, XP_012547144.2	XP_017875584.1, XP_017875585.1, XP_026667182.1, XP_026674457.1, XP_017875567.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1, XP_017875581.1
OG0000126	XP_012549565.1, NP_001037319.1	XP_026674600.1, XP_026674596.1, XP_026674598.1, XP_026674597.1, XP_017890658.1
OG0000127	XP_012551315.1, NP_001037024.1	XP_017876054.2, XP_017881008.1
OG0000127	NP_001189458.1, XP_012551311.1	XP_026671168.1, XP_026667416.1
OG0000129	XP_021203173.1	XP_026673235.1, XP_026673236.1, XP_017887874.1
OG0000130	NP_001108469.1	XP_017890630.1, XP_017890624.2, XP_026674583.1, XP_026674584.1, XP_026670687.1
OG0000130	XP_012548931.3	XP_026670684.1
OG0000131	XP_004931759.1	XP_017887498.1
OG0000131	NP_001091755.1	XP_017887622.1, XP_026673152.1
OG0000132	NP_001164651.1, XP_037870176.1	XP_017878842.1
OG0000132	NP_001164650.1	XP_026668316.1
OG0000133	XP_021207866.1, XP_004932639.1	XP_017877510.1
OG0000134	XP_004922069.2	XP_017887655.1, XP_017887663.1
OG0000134	XP_004923935.1	XP_026667909.1
OG0000135	NP_001166873.1, XP_037875522.1	XP_026673412.1
OG0000135	NP_001108335.1	XP_026669661.1
OG0000136	XP_037876368.1, XP_004927026.1	XP_026675214.1, XP_017892253.1
OG0000137	XP_037868770.1	XP_026670973.1, XP_026670220.1, XP_026675240.1
OG0000138	XP_037868949.1, XP_004925223.3	XP_017885549.1, XP_026672117.1, XP_017885589.1, XP_017885588.1, XP_017885587.1
OG0000139	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1	XP_026673554.1
OG0000140	XP_021202079.2	XP_017884451.1, XP_026671567.1, XP_026671566.1
OG0000141	XP_004931634.1	XP_017885124.1
OG0000141	XP_021207972.2	XP_017876335.1
OG0000143	XP_037870673.1, NP_001040254.1, XP_004927859.1	XP_017891548.1, XP_026675129.1, XP_017891695.1, XP_017891686.1
OG0000144	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2	XP_026673668.1, XP_017888863.1
OG0000145	XP_021209325.1, XP_037876916.1, XP_004923491.1	XP_026667451.1, XP_017876164.1, XP_017875158.1
OG0000146	XP_037871222.1, XP_004922825.1	XP_017880213.1
OG0000146	NP_001106739.1, NP_001106231.1	XP_017876237.1
OG0000147	XP_004933126.1	XP_026667896.1, XP_017877071.1, XP_017877072.1, XP_017877070.1, XP_017875842.1, XP_017875843.1, XP_026667285.1
OG0000149	XP_037875543.1	XP_026669621.1
OG0000149	XP_004924927.1, XP_004924928.1	XP_017880633.1, XP_026669623.1, XP_017880636.1, XP_017880635.1, XP_026669622.1
OG0000150	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1	XP_026671385.1, XP_026671384.1, XP_017884134.1, XP_017884140.1, XP_017884141.1, XP_017884135.1, XP_017884138.1, XP_017884143.1, XP_017884145.1, XP_026671383.1
OG0000151	XP_037867739.1, XP_021208204.1, XP_021208205.1	XP_026667339.1, XP_026667338.1, XP_026667337.1, XP_017875900.1, XP_017875902.1
OG0000152	XP_021205393.1	XP_026667393.1, XP_026667394.1, XP_026667391.1, XP_026667392.1, XP_017876039.1
OG0000153	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1	XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1, XP_026671618.1
OG0000154	XP_037873529.1	XP_017876215.1
OG0000156	XP_021206155.2	XP_017887763.1, XP_026673086.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_026673087.1
OG0000157	XP_037869375.1	XP_017891817.1, XP_017891818.1
OG0000158	XP_021204632.1	XP_017883012.1, XP_017893148.1, XP_017892229.1, XP_017892218.2, XP_017883003.2
OG0000160	XP_004925382.2	XP_017886269.2, XP_017886270.1
OG0000160	XP_004925399.2, XP_004925398.1	XP_017887715.1, XP_026673143.1, XP_026673144.1
OG0000161	NP_001182393.1	XP_017882448.1, XP_017877494.1, XP_017878197.1
OG0000162	NP_001103389.1, XP_037868604.1	XP_017889429.1
OG0000162	NP_001103388.1, XP_021203288.2	XP_017885311.1
OG0000163	XP_012546686.1, XP_037873371.1	XP_026670104.1
OG0000163	XP_037875501.1, XP_037873368.1, XP_037873370.1, XP_037877369.1, XP_037875753.1, XP_037867082.1, XP_037877398.1	XP_026675569.1, XP_017885410.1
OG0000164	XP_037875027.1, XP_037872511.1	XP_026674186.1, XP_026673941.1
OG0000165	XP_012547188.1, XP_021204892.1	XP_017893274.1, XP_017893275.1, XP_017893271.1, XP_017893273.1, XP_017893272.1
OG0000165	XP_012551706.2	XP_017880352.1
OG0000166	XP_037868137.1	XP_017884326.1, XP_026671456.1, XP_026671462.1, XP_026671458.1, XP_026671477.1
OG0000168	XP_037866971.1, XP_037876295.1, XP_037867009.1, XP_037872857.1	XP_017883928.1
OG0000168	XP_037873451.1	XP_017876803.1, XP_017885312.2
OG0000169	NP_001243963.1, NP_001243962.1, NP_001243959.1, NP_001243958.1, NP_001243955.1, NP_001243956.1, NP_001243957.1, NP_001243991.1, NP_001135960.1, NP_001040425.1, NP_001243995.1, NP_001243978.1, NP_001127730.1	XP_017875038.1
OG0000170	XP_021202707.2	XP_017883822.1
OG0000170	XP_004924795.2	XP_017883824.1, XP_017883820.1, XP_017883828.1, XP_026671258.1, XP_026671257.1
OG0000171	NP_001296478.1, XP_037876331.1, XP_037876328.1	XP_026666633.1, XP_017888625.2, XP_017893176.1
OG0000173	NP_001093316.1	XP_017889483.1, XP_026674100.1, XP_026674098.1, XP_026674099.1
OG0000174	NP_001040490.1, XP_037874321.1	XP_017884502.1, XP_017884504.1, XP_017884503.1, XP_017884500.1, XP_017884501.1, XP_026671517.1, XP_017884509.1, XP_017884505.1, XP_017884508.1
OG0000175	NP_001040124.1	XP_017893183.1, XP_017893184.1, XP_017893185.1
OG0000176	XP_037868940.1, XP_037870006.1, XP_037876480.1, XP_037869968.1, XP_037867396.1	XP_017891232.1
OG0000177	XP_004931030.1	XP_017876272.1
OG0000177	XP_004931031.2	XP_017876310.1
OG0000177	XP_004930870.1	XP_017876269.1
OG0000178	XP_037871996.1, XP_004924483.2	XP_026671237.1, XP_017883869.1
OG0000179	NP_001040172.1, XP_021206181.1	XP_017886749.1
OG0000179	NP_001037301.1	XP_017888464.1
OG0000180	XP_004930542.1	XP_017890818.1
OG0000181	NP_001037380.1, XP_037871534.1	XP_017887447.1, XP_017887445.1, XP_017887444.1, XP_026673014.1
OG0000182	XP_037866789.1	XP_026670184.1, XP_026670178.1, XP_026670174.1, XP_017881549.1
OG0000183	XP_004930975.1	XP_017876952.1, XP_017876951.1, XP_017876954.1, XP_017876953.1
OG0000184	XP_004932760.3	XP_017880151.1
OG0000187	XP_004929301.1	XP_017885442.1, XP_017885441.1, XP_026672109.1, XP_026672110.1
OG0000188	NP_001037050.1	XP_017881748.1
OG0000189	XP_037875292.1, XP_037875291.1	XP_017883266.1
OG0000190	XP_004931167.1	XP_026670787.1, XP_017882897.1, XP_017882899.1, XP_017882898.1
OG0000191	XP_037872497.1, XP_037875388.1, XP_021208965.1, XP_021208964.2	XP_026668491.1
OG0000192	XP_021207317.1	XP_026666469.1, XP_026666468.1, XP_026666467.1, XP_026666466.1, XP_026666470.1, XP_017892919.1
OG0000196	XP_012545232.2	XP_017876924.1, XP_026672114.1
OG0000196	XP_004929740.2, XP_021205898.2, XP_004929623.3, XP_021205897.2	XP_026675560.1
