Orthogroup	Bombyx_mori	Habropoda_laboriosa
OG0000112	NP_001240824.1, XP_012546717.1	XP_017790673.1
OG0000113	XP_004929660.1, XP_004925443.2, XP_012545237.2	XP_017798381.1, XP_017798181.1
OG0000114	XP_037876113.1, NP_001036844.1	XP_017792172.1
OG0000114	XP_037876437.1	XP_017792121.1
OG0000115	NP_001037077.1, XP_012544300.1, NP_001036994.1	XP_017797018.1, XP_017795994.1
OG0000117	NP_001040298.1	XP_017791704.1
OG0000117	NP_001233214.1, XP_012552766.1	XP_017797358.1
OG0000119	XP_037869697.1	XP_017787392.1
OG0000120	XP_021207126.2	XP_017788040.1, XP_017794605.1
OG0000122	XP_037871005.1	XP_017799142.1
OG0000122	XP_021202268.1, XP_012544010.1, XP_037868883.1, XP_004924046.1	XP_017793619.1, XP_017793618.1
OG0000123	NP_001037614.1, XP_012548321.1	XP_017796926.1, XP_017796925.1, XP_017796924.1, XP_017796922.1, XP_017796923.1, XP_017796921.1
OG0000124	XP_037871306.1, XP_037871307.1, XP_021208751.2	XP_017789119.1
OG0000125	XP_004926881.1, XP_012546430.1, XP_012547144.2	XP_017795810.1, XP_017795808.1, XP_017795809.1, XP_017795806.1, XP_017795807.1, XP_017795803.1, XP_017795819.1
OG0000126	XP_012549565.1, NP_001037319.1	XP_017792776.1
OG0000127	XP_012551315.1, NP_001037024.1	XP_017799036.1, XP_017799037.1
OG0000127	NP_001189458.1, XP_012551311.1	XP_017799080.1
OG0000128	XP_037870352.1	XP_017799474.1
OG0000129	XP_021203173.1	XP_017792739.1
OG0000130	NP_001108469.1	XP_017787765.1, XP_017789001.1, XP_017789002.1
OG0000130	XP_012548931.3	XP_017791658.1
OG0000131	XP_004931759.1	XP_017790302.1
OG0000131	NP_001091755.1	XP_017792252.1, XP_017792241.1, XP_017792254.1, XP_017792253.1
OG0000132	NP_001164651.1, XP_037870176.1	XP_017798108.1
OG0000132	NP_001164650.1	XP_017798132.1
OG0000133	XP_021207866.1, XP_004932639.1	XP_017788158.1
OG0000134	XP_004924013.1, XP_004924014.1, XP_012544046.1	XP_017793449.1
OG0000135	NP_001108336.1, XP_021202711.1	XP_017794640.1
OG0000135	NP_001166873.1, XP_037875522.1	XP_017799029.1
OG0000135	NP_001108335.1	XP_017788492.1
OG0000136	XP_037876368.1, XP_004927026.1	XP_017788204.1, XP_017788203.1
OG0000137	XP_037868770.1	XP_017797492.1, XP_017791135.1, XP_017788948.1
OG0000138	XP_037868949.1, XP_004925223.3	XP_017794346.1, XP_017793300.1
OG0000139	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1	XP_017787706.1, XP_017787697.1
OG0000140	XP_004926978.1, XP_021209321.1, XP_037877222.1, XP_012553187.1, NP_001182631.1	XP_017795261.1
OG0000140	XP_021202079.2	XP_017798552.1
OG0000141	XP_004931634.1	XP_017794696.1
OG0000141	XP_021207972.2	XP_017787810.1
OG0000143	XP_037870673.1, NP_001040254.1, XP_004927859.1	XP_017790512.1, XP_017790495.1
OG0000144	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2	XP_017797971.1, XP_017797954.1, XP_017797955.1, XP_017797956.1
OG0000145	XP_021209325.1, XP_037876916.1, XP_004923491.1	XP_017788300.1, XP_017797568.1
OG0000146	XP_037871222.1, XP_004922825.1	XP_017794829.1
OG0000146	NP_001106739.1, NP_001106231.1	XP_017789218.1
OG0000147	XP_004933126.1	XP_017799321.1, XP_017792150.1, XP_017792149.1, XP_017792148.1
OG0000149	XP_037875543.1	XP_017788095.1
OG0000149	XP_004924927.1, XP_004924928.1	XP_017788073.1
OG0000150	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1	XP_017787586.1, XP_017787587.1
OG0000151	XP_037867739.1, XP_021208204.1, XP_021208205.1	XP_017798042.1, XP_017798041.1
OG0000152	XP_021205393.1	XP_017794028.1, XP_017794027.1, XP_017794026.1, XP_017794030.1, XP_017794029.1, XP_017794031.1
OG0000153	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1	XP_017797758.1
OG0000154	XP_037873529.1	XP_017795372.1
OG0000156	XP_021206155.2	XP_017788212.1, XP_017788213.1, XP_017788214.1, XP_017788216.1, XP_017788215.1
OG0000157	XP_037869375.1	XP_017788939.1, XP_017788698.1
OG0000158	XP_021204632.1	XP_017793670.1, XP_017793698.1, XP_017793668.1, XP_017793669.1
OG0000160	XP_004925382.2	XP_017795191.1
OG0000160	XP_004925399.2, XP_004925398.1	XP_017792249.1
OG0000161	NP_001182393.1	XP_017791738.1, XP_017791682.1, XP_017791681.1, XP_017791680.1
OG0000162	NP_001103389.1, XP_037868604.1	XP_017797980.1
OG0000162	NP_001103387.2, XP_037868602.1	XP_017794848.1
OG0000162	NP_001103388.1, XP_021203288.2	XP_017787385.1
OG0000164	XP_037875027.1, XP_037872511.1	XP_017797560.1, XP_017797561.1
OG0000165	XP_012547188.1, XP_021204892.1	XP_017789911.1
OG0000165	XP_012551706.2	XP_017795542.1
OG0000166	XP_037868137.1	XP_017790571.1, XP_017790565.1, XP_017790567.1, XP_017790564.1, XP_017790576.1
OG0000168	XP_037866971.1, XP_037876295.1, XP_037867009.1, XP_037872857.1	XP_017788116.1
OG0000168	XP_037873451.1	XP_017790457.1, XP_017790490.1, XP_017789057.1, XP_017797231.1
OG0000169	NP_001243963.1, NP_001243962.1, NP_001243959.1, NP_001243958.1, NP_001243955.1, NP_001243956.1, NP_001243957.1, NP_001243991.1, NP_001135960.1, NP_001040425.1, NP_001243995.1, NP_001243978.1, NP_001127730.1	XP_017797588.1
OG0000170	XP_021202707.2	XP_017790420.1
OG0000170	XP_004924795.2	XP_017790362.1, XP_017790369.1
OG0000171	NP_001296478.1, XP_037876331.1, XP_037876328.1	XP_017787775.1, XP_017787774.1, XP_017787850.1, XP_017787824.1
OG0000173	NP_001093316.1	XP_017794775.1, XP_017794776.1
OG0000174	NP_001040490.1, XP_037874321.1	XP_017798800.1
OG0000175	NP_001040124.1	XP_017794676.1, XP_017794675.1, XP_017794677.1, XP_017794678.1, XP_017794679.1
OG0000176	XP_037868940.1, XP_037870006.1, XP_037876480.1, XP_037869968.1, XP_037867396.1	XP_017790348.1
OG0000177	XP_004931030.1	XP_017795594.1
OG0000177	XP_004931031.2	XP_017795592.1
OG0000177	XP_004930870.1	XP_017795589.1
OG0000178	XP_037871996.1, XP_004924483.2	XP_017790433.1
OG0000179	NP_001040172.1, XP_021206181.1	XP_017791990.1
OG0000179	NP_001037301.1	XP_017791524.1
OG0000180	XP_004930542.1	XP_017787401.1, XP_017787400.1, XP_017787399.1
OG0000181	NP_001037380.1, XP_037871534.1	XP_017792968.1
OG0000182	XP_037866789.1	XP_017794377.1
OG0000183	XP_004930975.1	XP_017796132.1
OG0000184	XP_004932760.3	XP_017798954.1
OG0000187	XP_004929301.1	XP_017797342.1
OG0000188	NP_001037050.1	XP_017795271.1
OG0000189	XP_037875495.1, XP_037875337.1	XP_017795367.1
OG0000189	XP_037875292.1, XP_037875291.1	XP_017787964.1, XP_017787967.1
OG0000190	XP_004931167.1	XP_017789755.1, XP_017789754.1, XP_017789756.1
OG0000191	XP_037872497.1, XP_037875388.1, XP_021208965.1, XP_021208964.2	XP_017795883.1
OG0000192	XP_021207317.1	XP_017792725.1
OG0000196	XP_012545232.2	XP_017791366.1
OG0000196	XP_004929740.2, XP_021205898.2, XP_004929623.3, XP_021205897.2	XP_017791305.1
OG0000197	XP_012551294.2, XP_004932561.2, XP_037872840.1, XP_004931928.2, XP_004931927.1, XP_037868489.1	XP_017794596.1
OG0000198	XP_037870155.1	XP_017787675.1
OG0000200	XP_012550244.1, NP_001036841.1	XP_017790004.1, XP_017790003.1
OG0000200	NP_001036881.1	XP_017793346.1, XP_017793347.1
OG0000201	XP_004930370.2, NP_001040155.1, NP_001040154.1, XP_012552516.1, XP_012552521.1, NP_001243997.1, XP_004922761.1, XP_004922760.1, XP_004922779.1, XP_004931809.1, XP_004928423.2, XP_004931849.1, XP_004931273.1	XP_017790031.1
OG0000202	NP_001281213.1	XP_017791032.1, XP_017791030.1, XP_017795643.1
OG0000203	XP_004930258.2, XP_037876006.1	XP_017794211.1
OG0000203	XP_037867417.1	XP_017790332.1
OG0000204	XP_012547643.2, XP_037873174.1, XP_021205107.1, XP_004928344.1, XP_012547605.1, XP_004928345.1, XP_037873267.1	XP_017788993.1
OG0000205	NP_001243944.1	XP_017788047.1
OG0000206	XP_004924015.1	XP_017794929.1
OG0000206	XP_004922930.2	XP_017794889.1, XP_017794888.1, XP_017794887.1
OG0000207	NP_001037594.1	XP_017793342.1
OG0000207	NP_001091793.1, XP_004930513.3	XP_017791361.1, XP_017791356.1
OG0000208	XP_037869032.1, NP_001103395.1	XP_017791349.1
OG0000209	XP_037869646.1, XP_004932917.2, XP_037869645.1, XP_012551601.2, XP_012551602.2, XP_012551603.2	XP_017791268.1, XP_017791266.1, XP_017791267.1, XP_017791265.1, XP_017791264.1, XP_017791263.1, XP_017791262.1
OG0000210	XP_012544085.3	XP_017789022.1, XP_017790992.1
OG0000210	XP_037866888.1, XP_037866887.1	XP_017789769.1
OG0000212	XP_037869182.1, NP_001106228.1	XP_017795959.1, XP_017793996.1, XP_017793987.1, XP_017793986.1
OG0000213	XP_004922013.1	XP_017789586.1
OG0000214	NP_001040475.1	XP_017794266.1
OG0000214	NP_001040198.1, XP_037870587.1	XP_017792781.1, XP_017792782.1
OG0000215	XP_037866848.1, XP_004930044.1	XP_017796692.1, XP_017796575.1
OG0000216	NP_001108343.1	XP_017793604.1
OG0000217	XP_021203021.2, XP_012548700.2, XP_004933855.2, XP_037870903.1	XP_017789113.1
OG0000218	XP_004930688.1	XP_017795109.1
OG0000219	XP_004931785.1	XP_017788174.1, XP_017788173.1, XP_017788171.1, XP_017788172.1, XP_017788169.1, XP_017788170.1
OG0000221	XP_037867521.1, XP_021207573.1, XP_021207493.1, XP_004922691.2, XP_012551723.1, XP_012551720.1, XP_004922638.1, XP_037871234.1, XP_037877580.1, XP_037872846.1, XP_037877505.1, XP_037872849.1, XP_037872848.1, XP_037877503.1, XP_037877504.1, XP_037877506.1, XP_037877501.1, XP_037877502.1, XP_037872850.1, XP_037877579.1, XP_037877510.1, XP_037877561.1, XP_037877562.1	XP_017798983.1, XP_017799229.1
OG0000223	NP_001037450.1, NP_001128672.1, XP_012550372.1, NP_001036840.1	XP_017794139.1
OG0000225	NP_001040252.1	XP_017798161.1, XP_017796348.1
OG0000226	NP_001127711.1, XP_021204237.1	XP_017788751.1
OG0000226	XP_037873831.1, NP_001127712.1	XP_017788770.1
OG0000227	XP_012550182.2, XP_004931163.3, XP_012550180.2	XP_017791515.1
OG0000228	XP_037869231.1, XP_012553288.1, XP_037874874.1	XP_017791917.1
OG0000229	XP_004928517.1, XP_012547831.1	XP_017794169.1
OG0000230	XP_021208331.1, XP_004933333.1	XP_017792853.1, XP_017788896.1
OG0000231	XP_037871854.1, XP_037877315.1	XP_017789953.1
OG0000232	XP_012546482.1, NP_001040472.1	XP_017787985.1
OG0000233	XP_004928912.1, XP_004928913.2	XP_017798941.1
OG0000235	XP_037877778.1, XP_012548383.2, XP_037877767.1, XP_037877779.1	XP_017795898.1, XP_017795906.1
OG0000236	NP_001036882.1, XP_037871515.1, XP_037871704.1, XP_021205252.2	XP_017796613.1
OG0000237	XP_004931804.1	XP_017794664.1
OG0000237	XP_037875185.1	XP_017794663.1
OG0000241	XP_012547063.1, XP_004926042.1, XP_037873319.1, XP_012546361.1, XP_004929513.1, XP_004929472.2	XP_017793226.1, XP_017793227.1, XP_017793317.1, XP_017793318.1, XP_017793285.1, XP_017797037.1
OG0000244	XP_021202524.1	XP_017798659.1
OG0000245	NP_001037534.1, XP_037872283.1, XP_012548212.3, NP_001037335.1, XP_037872125.1	XP_017796958.1, XP_017796963.1
OG0000246	XP_012549895.1, NP_001037174.1	XP_017787631.1
OG0000246	XP_004931016.1	XP_017787636.1
OG0000247	XP_021207883.2, XP_037873736.1	XP_017790661.1
OG0000248	XP_021203484.2, XP_037872942.1	XP_017792985.1
OG0000249	NP_001138804.1, XP_012545064.1	XP_017795192.1
OG0000250	XP_021206228.1, XP_004930144.1	XP_017791430.1, XP_017790978.1, XP_017797061.1
OG0000250	XP_004930143.1	XP_017797566.1
