Orthogroup	Bombyx_mori	Megachile_rotundata
OG0000008	XP_021205470.2	XP_003705712.1
OG0000008	XP_037872353.1, XP_012548164.1	XP_003705707.1
OG0000009	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1, XP_021202508.2, NP_001108456.1	XP_012145773.1, XP_012145771.1, XP_012145774.1, XP_003703411.1, XP_003705489.1, XP_003705491.1
OG0000010	XP_021208868.2, XP_037877292.1, XP_037870974.1	XP_012152972.1
OG0000010	XP_037877378.1, XP_004925231.2, XP_037871371.1, XP_037869407.1, XP_037873430.1, XP_037874123.1, XP_037877306.1	XP_012150535.1
OG0000010	XP_004922866.1	XP_012143531.1
OG0000010	XP_037872909.1	XP_012146537.1, XP_012145702.1
OG0000012	XP_021205514.2	XP_012141586.1
OG0000012	XP_012543999.1, NP_001037317.1	XP_003705464.1, XP_003705466.1
OG0000013	XP_004933313.1	XP_003707914.1
OG0000013	NP_001091756.1	XP_003708097.1
OG0000015	XP_037867165.1, XP_037868016.1	XP_012145739.1, XP_012152739.1, XP_012152726.1
OG0000016	XP_037875269.1, XP_037869058.1	XP_012147724.1, XP_012151016.1, XP_012141582.1
OG0000016	XP_037871463.1, XP_004927060.2, XP_037874057.1, XP_004923984.2, XP_037872903.1, XP_004927452.2, XP_004934209.2, XP_037876361.1, XP_037877133.1, XP_037869633.1, XP_037873340.1, XP_037867761.1, XP_037871662.1, XP_037871125.1, XP_037868132.1, XP_037872522.1, XP_004921763.2, XP_037872764.1, XP_037868492.1, XP_037874875.1, XP_037868964.1, XP_037877124.1, XP_037867762.1, XP_037871595.1, XP_037870977.1, XP_037871622.1, XP_037867766.1	XP_012153435.1, XP_012148641.1, XP_012148353.1, XP_012150531.1, XP_012150588.1, XP_012152709.1
OG0000017	NP_001108466.1, XP_012546875.1, NP_001037420.1, NP_001037197.1, NP_001108464.1, NP_001108460.1	XP_012136742.1
OG0000017	NP_001037183.1	XP_012145418.1
OG0000017	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1	XP_012145417.1, XP_003705347.1, XP_012153570.1
OG0000018	XP_021205339.2, XP_037871705.1	XP_012135493.1
OG0000018	NP_001243945.1, XP_037871800.1	XP_012146800.1, XP_012146802.1, XP_012146801.1, XP_012146803.1
OG0000019	NP_001268819.1, XP_037869432.1, NP_001040220.1	XP_012138718.1, XP_012138710.1, XP_012138725.1
OG0000019	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2	XP_012135889.1
OG0000019	XP_004927318.1	XP_012148065.1, XP_012148068.1, XP_012148067.1, XP_012148063.1, XP_012148064.1
OG0000020	XP_021206581.1	XP_012144180.1
OG0000020	XP_012545030.1	XP_012136049.1
OG0000020	XP_037867737.1	XP_012144181.1
OG0000020	XP_012552719.1, XP_021202222.1	XP_003701701.2, XP_012141764.1
OG0000020	XP_012548770.1	XP_012136672.1
OG0000020	XP_037867242.1, XP_012549186.1	XP_012137465.1
OG0000021	XP_004932475.1, XP_021207797.1	XP_012152676.1, XP_003708291.1
OG0000021	XP_012546046.1	XP_012145971.1, XP_012145969.1
OG0000021	XP_004926417.1	XP_012138701.1
OG0000021	XP_037869061.1	XP_012135825.1
OG0000021	XP_037872785.1	XP_012152675.1, XP_003708289.1
OG0000022	NP_001153667.1	XP_012137783.1
OG0000024	XP_037872402.1	XP_003700292.1
OG0000024	XP_004924130.1	XP_003699642.1
OG0000025	XP_004927353.2, XP_037870147.1	XP_012148416.1
OG0000026	XP_037867257.1	XP_003699994.1
OG0000026	XP_021205952.1, XP_037874519.1, XP_037874423.1	XP_012144087.1
OG0000026	XP_021204803.2	XP_012137100.1
OG0000026	XP_004929451.1, XP_012548588.1	XP_012140605.1, XP_012140604.1, XP_012140603.1, XP_012140597.1, XP_012140598.1, XP_012140599.1, XP_012140600.1, XP_012140601.1, XP_012140602.1, XP_003703247.1
OG0000027	NP_001153669.1, XP_012551883.1	XP_012151723.1
OG0000028	XP_037871212.1	XP_012146123.1
OG0000028	XP_037876627.1, XP_037868125.1	XP_012147725.1
OG0000028	XP_037876866.1, XP_037874105.1, XP_037872934.1, XP_037868529.1, XP_037867214.1, XP_037877749.1, XP_037875622.1, XP_037873747.1, XP_037877519.1	XP_012151332.1
OG0000029	NP_001036866.1, NP_001166691.1, NP_001166687.1	XP_003704047.1, XP_012142317.1
OG0000029	NP_001093082.1, NP_001166690.1, NP_001166689.1	XP_012154358.1, XP_003704721.1
OG0000030	XP_037875304.1	XP_012151824.1
OG0000030	XP_004926017.1	XP_012136054.1
OG0000031	XP_037875263.1, XP_012545031.2, XP_037871454.1, XP_037866963.1, XP_037871337.1	XP_012135348.1, XP_012135354.1, XP_012135355.1, XP_012143884.1
OG0000032	XP_012545284.2, XP_021208619.1	XP_003700812.2
OG0000032	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1	XP_012153617.1, XP_012153679.1, XP_012153681.1, XP_003700221.1, XP_012153682.1, XP_003700222.2, XP_003700219.1, XP_003700218.1, XP_012153678.1, XP_012153677.1, XP_012148506.1
OG0000035	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1	XP_003699462.1
OG0000036	XP_004925684.1, XP_037874658.1	XP_012134943.1
OG0000036	XP_037877629.1, XP_012544322.2	XP_003708656.1, XP_003700660.1
OG0000037	NP_001166634.1, NP_001166643.1, NP_001166640.1, XP_021207417.1, NP_001166642.1, NP_001166626.1, NP_001166646.1, NP_001166657.1, NP_001166648.1, NP_001166659.1, NP_001166661.1, NP_001166647.1, NP_001166654.1, NP_001166652.1, NP_001166656.1, NP_001166655.1, NP_001166651.1, NP_001166653.1, NP_001166650.1, XP_012550695.2, XP_037874610.1, NP_001166649.1, NP_001166658.1, NP_001166660.1, XP_037874849.1, XP_037874613.1, XP_037874612.1, NP_001166662.1, NP_001036864.1, NP_001166674.1, NP_001166673.1, NP_001166676.1, NP_001166675.1, NP_001036838.1, NP_001166677.1, XP_012550704.2, NP_001166625.1, NP_001166671.1, NP_001166678.1, XP_012550693.1, NP_001166641.1, XP_004931961.1, NP_001166635.1, NP_001166644.1, NP_001166637.1	XP_012141146.1
OG0000038	NP_001036884.1	XP_012136030.1, XP_003703285.1
OG0000038	NP_001036886.1, XP_021204307.1	XP_012146808.1, XP_012146805.1
OG0000039	XP_037877377.1, XP_037875720.1, XP_037875730.1, XP_037875679.1, XP_037877102.1, XP_037877190.1, XP_037877066.1	XP_012153215.1
OG0000040	XP_037871589.1, XP_037877007.1	XP_012139968.1, XP_003700885.1, XP_012135227.1, XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1, XP_003700882.2, XP_003700841.2, XP_012148108.1
OG0000041	XP_037872547.1, NP_001119727.1	XP_012137793.1, XP_012137792.1, XP_003702208.1
OG0000041	NP_001119724.1	XP_003706099.1, XP_012147265.1, XP_012147267.1, XP_012147266.1, XP_003706098.1, XP_003706097.1, XP_012147262.1, XP_012147261.1, XP_012147260.1, XP_012147263.1
OG0000041	NP_001119726.1, XP_037872546.1	XP_003700544.1
OG0000042	NP_001296474.1, NP_001296524.1, NP_001296530.1	XP_012140350.1
OG0000042	NP_001296508.1, XP_037868172.1, NP_001037018.1, XP_012545279.1, XP_021205712.2, NP_001036971.1	XP_012142134.1, XP_003703962.2
OG0000043	NP_001037067.1, NP_001037068.1	XP_003705047.1
OG0000043	NP_001091780.1, XP_021206019.2	XP_003700214.1
OG0000044	NP_001036834.1	XP_012148083.1, XP_012148084.1
OG0000044	XP_037868658.1	XP_003706475.2
OG0000045	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1	XP_003702695.1, XP_003703631.1
OG0000046	NP_001036837.1, XP_012547740.1	XP_012146503.1
OG0000046	NP_001036892.1	XP_003705538.1, XP_012153320.1
OG0000050	NP_001165227.1, NP_001040466.1, XP_037875050.1, NP_001124352.1, NP_001116814.1, XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1, XP_004925199.1, XP_004924525.1, XP_004932947.1, NP_001040174.1	XP_003700585.1, XP_003704799.2
OG0000052	XP_012545590.1, XP_012545589.1, XP_004925854.2, XP_004925855.2, XP_021203470.2, XP_004925899.1	XP_012144734.1
OG0000053	XP_037869409.1, XP_037868996.1, XP_037875001.1	XP_012153561.1, XP_012145425.1, XP_012145426.1, XP_012149739.1, XP_012149740.1
OG0000054	NP_001040112.1	XP_003707234.1
OG0000054	NP_001036835.1, NP_001166743.1	XP_012149797.1, XP_003707236.1
OG0000055	XP_021207833.1	XP_012143001.1
OG0000055	XP_012548893.1, NP_001036959.1	XP_012136069.1
OG0000056	XP_037866675.1	XP_012140855.1, XP_012148645.1
OG0000056	XP_037872689.1	XP_012147749.1
OG0000056	XP_037871311.1	XP_012140860.1
OG0000056	XP_037873641.1	XP_012154207.1, XP_012154186.1
OG0000057	NP_001036887.1, NP_001036964.1	XP_003706217.1
OG0000057	XP_004923508.1, XP_012553252.3	XP_003702759.1
OG0000057	NP_001036965.1	XP_012147418.1
OG0000057	NP_001036888.1	XP_003706216.1
OG0000060	XP_004925993.2	XP_012134573.1, XP_012134574.1, XP_012134572.1
OG0000060	XP_021206640.1, XP_004930776.1	XP_003704987.1, XP_012144429.1, XP_012144430.1, XP_012144432.1, XP_012144433.1, XP_012144434.1, XP_012144435.1
OG0000061	XP_012551685.2	XP_003703873.1
OG0000062	XP_021205992.1, NP_001091767.1	XP_012135095.1
OG0000062	XP_004923510.1, XP_037876893.1, XP_004933665.1, NP_001036941.1, NP_001036984.1, NP_001091794.1, XP_037877361.1, XP_037877362.1, NP_001037038.1, NP_001036942.1	XP_003701703.1, XP_003701707.1, XP_003701665.1, XP_003701666.1, XP_003701705.1, XP_012136839.1, XP_003701702.1
OG0000063	XP_037875862.1	XP_012152389.1, XP_012137504.1
OG0000063	XP_037867560.1, XP_037877026.1, XP_037868831.1, XP_037869779.1, XP_037870303.1, XP_037873338.1, XP_037876423.1, XP_037875121.1, XP_037875120.1, XP_037869757.1, XP_037869756.1, XP_037869471.1, XP_037869470.1, XP_037868509.1, XP_037869469.1	XP_012153232.1, XP_012146118.1, XP_012147780.1
OG0000063	XP_037868526.1	XP_012145926.1, XP_012144350.1, XP_012137700.1, XP_012148630.1, XP_012153574.1
OG0000065	XP_004931596.1	XP_012143903.1, XP_012143889.1, XP_012143895.1
OG0000066	XP_012545514.1	XP_012147361.1, XP_012147785.1, XP_012151330.1, XP_012151855.1
OG0000067	XP_004931451.1	XP_012148170.1
OG0000067	NP_001037582.1	XP_012152266.1
OG0000067	XP_037877745.1	XP_003707128.1
OG0000069	NP_001243973.1	XP_012134491.1, XP_012154574.1, XP_012154573.1, XP_003700629.1, XP_012154572.1, XP_012154575.1, XP_012154571.1
OG0000070	NP_001166602.1	XP_012150706.1, XP_012150719.1
OG0000071	XP_004930894.1, XP_012551633.2, XP_012549673.2, XP_037868447.1, XP_037870552.1, XP_037869876.1, XP_037873665.1, XP_037870942.1, XP_012547423.2, XP_004923068.2	XP_012148642.1, XP_003706755.2, XP_012148644.1, XP_012148643.1, XP_012149906.1
OG0000072	XP_037866767.1	XP_012144546.1, XP_012148435.1, XP_012135998.1, XP_012145923.1
OG0000073	NP_001296559.1	XP_012147570.1
OG0000073	NP_001243938.1	XP_012139248.1, XP_003702701.1, XP_012139216.1, XP_003702702.1, XP_003702718.1, XP_003702704.1
OG0000074	XP_037875797.1	XP_003705844.2
OG0000075	XP_037868115.1, XP_037870991.1	XP_012138856.1
OG0000076	XP_037874430.1, XP_037868702.1	XP_012149738.1, XP_012152152.1
OG0000076	XP_037869185.1, XP_037874698.1, XP_037877095.1	XP_012152108.1, XP_012153216.1, XP_012147289.1, XP_012151864.1, XP_012143820.1, XP_012153234.1, XP_012146526.1, XP_012136798.1, XP_012136213.1, XP_012151893.1, XP_012150534.1
OG0000077	XP_037870080.1	XP_012150605.1, XP_012150604.1
OG0000077	NP_001037478.1	XP_003703606.1
OG0000078	XP_037872110.1, NP_001159625.1, NP_001116810.1	XP_003707222.2, XP_012149880.1, XP_012149881.1, XP_012149882.1
OG0000080	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1	XP_012154343.1, XP_012154339.1, XP_012154340.1, XP_012154342.1, XP_012154341.1
OG0000080	XP_004931946.1	XP_003700522.1
OG0000080	XP_037874734.1	XP_003700524.1
OG0000082	XP_004927040.1, NP_001124343.1	XP_012151975.1, XP_012151997.1, XP_012151993.1
OG0000084	XP_012550708.1, NP_001166718.1	XP_003701847.1, XP_003701826.2
OG0000084	NP_001166714.1, NP_001036828.1, NP_001166712.1, NP_001166744.1, NP_001036827.1, NP_001166742.1	XP_003701043.1
OG0000085	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1	XP_012135334.1, XP_012135335.1, XP_012135336.1, XP_012135337.1, XP_003701022.1, XP_012135341.1, XP_012135339.1, XP_012135338.1, XP_012135340.1
OG0000086	NP_001243984.1	XP_003699659.2
OG0000086	XP_004922188.1	XP_012143956.1, XP_012143955.1
OG0000087	XP_004925118.1	XP_003708584.1
OG0000088	XP_037876269.1, XP_037876266.1	XP_003701082.1
OG0000091	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1	XP_012147561.1, XP_012147560.1, XP_012147559.1, XP_012147526.1, XP_012147527.1, XP_012147542.1
OG0000092	NP_001040445.1	XP_012144682.1, XP_003702709.1, XP_003702708.1, XP_012142981.1, XP_003704244.1
OG0000093	XP_037867839.1, XP_037870131.1, XP_037877338.1, XP_037877592.1, XP_037871838.1, XP_037871837.1, XP_021204760.2	XP_012151025.1
OG0000093	XP_037875268.1	XP_012146604.1
OG0000094	XP_004929868.2	XP_012154361.1
OG0000096	XP_004933352.2	XP_012147708.1
OG0000097	XP_012544532.1, XP_037871911.1, XP_004924657.1	XP_012153341.1, XP_003705350.1
OG0000098	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1	XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1, XP_012149137.1
OG0000099	XP_012551708.2	XP_003705981.1, XP_012146974.1
OG0000099	XP_004933046.1	XP_012140644.1, XP_012140638.1, XP_012140627.1, XP_012140632.1
OG0000099	XP_037876655.1	XP_012136224.1
OG0000101	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1	XP_012141186.1, XP_003703468.1
OG0000102	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1	XP_012135996.1, XP_012135840.1, XP_012135835.1
OG0000103	XP_037869904.1	XP_012144431.1, XP_012144424.1
OG0000108	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1	XP_012145715.1, XP_012145712.1, XP_012145714.1, XP_012145710.1, XP_012145711.1
OG0000109	XP_021205885.1	XP_003700281.2
OG0000110	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1	XP_012147291.1, XP_012139832.1
OG0000111	XP_037868928.1, XP_037868924.1, XP_004922902.1, XP_004931121.1	XP_012143770.1, XP_003708569.1
OG0000111	XP_004927517.1	XP_012135601.1, XP_012135600.1
OG0000112	NP_001240824.1, XP_012546717.1	XP_003700355.1, XP_012154003.1
OG0000113	XP_004929660.1, XP_004925443.2, XP_012545237.2	XP_003701045.1, XP_003699454.1
OG0000114	XP_037876437.1	XP_003707384.2
OG0000115	NP_001037077.1, XP_012544300.1, NP_001036994.1	XP_003703956.1, XP_012139900.1, XP_003703954.1
OG0000117	NP_001040298.1	XP_012142234.1
OG0000117	NP_001233214.1, XP_012552766.1	XP_003699580.1, XP_012140342.1, XP_012140336.1, XP_012140349.1, XP_012140354.1
OG0000119	XP_037869697.1	XP_012150732.1, XP_012150733.1, XP_012150724.1, XP_012150728.1, XP_012150729.1, XP_012150745.1, XP_012150740.1
OG0000120	XP_021207126.2	XP_003701951.1, XP_012137585.1, XP_012137586.1, XP_012137583.1, XP_012137584.1
OG0000122	XP_037871005.1	XP_003702313.1
OG0000122	XP_021202268.1, XP_012544010.1, XP_037868883.1, XP_004924046.1	XP_003699551.1
OG0000123	NP_001037614.1, XP_012548321.1	XP_003702607.2
OG0000124	XP_037871306.1, XP_037871307.1, XP_021208751.2	XP_003703399.2
OG0000125	XP_004926881.1, XP_012546430.1, XP_012547144.2	XP_003703348.2
OG0000126	XP_012549565.1, NP_001037319.1	XP_012154275.1, XP_012154268.1, XP_012154270.1, XP_012154269.1, XP_012154272.1, XP_012154271.1, XP_012154274.1, XP_012154273.1
OG0000127	XP_012551315.1, NP_001037024.1	XP_003707941.2
OG0000127	NP_001189458.1, XP_012551311.1	XP_012151449.1
OG0000129	XP_021203173.1	XP_012149828.1, XP_012149829.1, XP_012149830.1, XP_012149831.1, XP_012149825.1, XP_012149827.1, XP_012149826.1
OG0000130	NP_001108469.1	XP_012141592.1, XP_012141591.1, XP_003703718.1
OG0000130	XP_012548931.3	XP_003702400.1
OG0000131	XP_004931759.1	XP_012138681.1, XP_003699377.1
OG0000131	NP_001091755.1	XP_012138075.1, XP_012138074.1, XP_003702087.1, XP_012138073.1
OG0000132	NP_001164651.1, XP_037870176.1	XP_003706203.1, XP_012147468.1
OG0000132	NP_001164650.1	XP_012152838.1, XP_003708422.1
OG0000133	XP_021207866.1, XP_004932639.1	XP_003707714.1
OG0000134	XP_004924013.1, XP_004924014.1, XP_012544046.1	XP_012148670.1, XP_003705740.1
OG0000134	XP_004928832.1	XP_012143753.1
OG0000135	NP_001108336.1, XP_021202711.1	XP_003701934.1, XP_012137460.1
OG0000135	NP_001166873.1, XP_037875522.1	XP_003708004.1
OG0000135	NP_001108335.1	XP_003708115.1
OG0000136	XP_037876368.1, XP_004927026.1	XP_003705561.1, XP_012146210.1
OG0000137	XP_037868770.1	XP_003705868.1, XP_012135720.1, XP_012140417.1
OG0000138	XP_037868949.1, XP_004925223.3	XP_012141572.1, XP_012141209.1
OG0000139	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1	XP_003700273.1, XP_012153876.1, XP_012153877.1, XP_012153878.1, XP_012153875.1
OG0000140	XP_021202079.2	XP_012139616.1, XP_012139622.1, XP_012139623.1, XP_012139620.1, XP_012139621.1, XP_012139617.1, XP_003702933.1, XP_012139615.1
OG0000141	XP_004931634.1	XP_003701926.1
OG0000141	XP_021207972.2	XP_003704620.1
OG0000143	XP_037870673.1, NP_001040254.1, XP_004927859.1	XP_003702327.1, XP_012138200.1, XP_012138199.1, XP_012138201.1, XP_012138202.1, XP_003702328.1
OG0000144	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2	XP_003705520.2, XP_003705522.1
OG0000145	XP_021209325.1, XP_037876916.1, XP_004923491.1	XP_012141845.1, XP_012141847.1, XP_012141846.1, XP_012141849.1, XP_012141851.1, XP_003703775.1, XP_012141850.1, XP_012138596.1
OG0000146	XP_037871222.1, XP_004922825.1	XP_003705369.1
OG0000146	NP_001106739.1, NP_001106231.1	XP_012151898.1, XP_012151891.1, XP_012151896.1
OG0000147	XP_004933126.1	XP_012151556.1, XP_003707862.1, XP_012151555.1, XP_012149993.1, XP_003707471.1
OG0000149	XP_037875543.1	XP_012147339.1
OG0000149	XP_004924927.1, XP_004924928.1	XP_012147343.1, XP_012147342.1, XP_003706133.1
OG0000150	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1	XP_012149657.1, XP_012149656.1, XP_012149659.1, XP_012149658.1, XP_003707166.1, XP_012149660.1, XP_012149661.1
OG0000151	XP_037867739.1, XP_021208204.1, XP_021208205.1	XP_003704470.2
OG0000152	XP_021205393.1	XP_012135668.1, XP_012135673.1, XP_012135674.1, XP_012135671.1, XP_012135669.1, XP_012135670.1, XP_003701272.1
OG0000153	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1	XP_012139835.1
OG0000154	XP_037873529.1	XP_012152021.1
OG0000156	XP_021206155.2	XP_012150894.1
OG0000157	XP_037869375.1	XP_003703163.1, XP_012140472.1
OG0000158	XP_021204632.1	XP_012150089.1, XP_003705555.2, XP_012145928.1, XP_003706752.1, XP_012152076.1, XP_012150572.1, XP_012148634.1, XP_012148635.1, XP_012145922.1, XP_012150087.1, XP_012150086.1
OG0000160	XP_004925382.2	XP_012147327.1
OG0000160	XP_004925399.2, XP_004925398.1	XP_012138102.1, XP_003702188.1
OG0000161	NP_001182393.1	XP_003703976.1
OG0000162	NP_001103389.1, XP_037868604.1	XP_003699383.2
OG0000162	NP_001103388.1, XP_021203288.2	XP_012151345.1
OG0000164	XP_037875027.1, XP_037872511.1	XP_012138610.1, XP_012138588.1, XP_012138609.1
OG0000165	XP_012547188.1, XP_021204892.1	XP_012141446.1, XP_012141448.1, XP_012141447.1
OG0000165	XP_012551706.2	XP_012138919.1
OG0000166	XP_037868137.1	XP_012138260.1, XP_012138247.1, XP_012138255.1, XP_012138249.1
OG0000168	XP_037866971.1, XP_037876295.1, XP_037867009.1, XP_037872857.1	XP_012142201.1
OG0000168	XP_037873451.1	XP_012136788.1, XP_012139252.1, XP_012136943.1
OG0000169	NP_001243963.1, NP_001243962.1, NP_001243959.1, NP_001243958.1, NP_001243955.1, NP_001243956.1, NP_001243957.1, NP_001243991.1, NP_001135960.1, NP_001040425.1, NP_001243995.1, NP_001243978.1, NP_001127730.1	XP_003705463.1
OG0000170	XP_021202707.2	XP_012135505.1
OG0000170	XP_004924795.2	XP_003701076.1, XP_012135503.1, XP_012143625.1
OG0000171	NP_001296478.1, XP_037876331.1, XP_037876328.1	XP_003704787.1, XP_012144044.1
OG0000173	NP_001093316.1	XP_012141604.1
OG0000174	NP_001040490.1, XP_037874321.1	XP_012139778.1, XP_012139779.1, XP_012139777.1, XP_012139776.1, XP_012139775.1, XP_012139774.1
OG0000175	NP_001040124.1	XP_012137455.1, XP_012137456.1, XP_012137454.1, XP_003701918.1
OG0000176	XP_004925760.2	XP_012142410.1
OG0000176	XP_004928976.1	XP_012149521.1
OG0000176	XP_037868940.1, XP_037870006.1, XP_037876480.1, XP_037869968.1, XP_037867396.1	XP_003702272.1
OG0000177	XP_004931030.1	XP_003707752.1
OG0000177	XP_004931031.2	XP_012151117.1
OG0000177	XP_004930870.1	XP_012151116.1
OG0000178	XP_037871996.1, XP_004924483.2	XP_012149455.1
OG0000179	NP_001040172.1, XP_021206181.1	XP_003700764.1, XP_012134930.1
OG0000179	NP_001037301.1	XP_003707098.1
OG0000180	XP_004930542.1	XP_012138838.1, XP_012138835.1, XP_012138836.1, XP_012138837.1, XP_003702490.1
OG0000181	NP_001037380.1, XP_037871534.1	XP_012135659.1
OG0000182	XP_037866789.1	XP_003700170.2, XP_012149750.1, XP_012149742.1
OG0000183	XP_004930975.1	XP_012136967.1
OG0000184	XP_004932760.3	XP_012151665.1
OG0000187	XP_004929301.1	XP_012144258.1
OG0000188	NP_001037050.1	XP_003703034.1
OG0000189	XP_037875292.1, XP_037875291.1	XP_012147949.1
OG0000190	XP_004931167.1	XP_012142605.1
OG0000191	XP_037872497.1, XP_037875388.1, XP_021208965.1, XP_021208964.2	XP_012136269.1
OG0000192	XP_021207317.1	XP_003702365.2
OG0000195	NP_001037076.1, NP_001124371.1, NP_001124372.2, NP_001165396.1, XP_004922067.1, XP_004922068.1, NP_001091784.1	XP_003704952.1, XP_003708251.1, XP_003701025.1, XP_012152159.1, XP_012148661.1
OG0000196	XP_012545232.2	XP_012134628.1
OG0000196	XP_004929740.2, XP_021205898.2, XP_004929623.3, XP_021205897.2	XP_012143079.1
OG0000197	XP_012551294.2, XP_004932561.2, XP_037872840.1, XP_004931928.2, XP_004931927.1, XP_037868489.1	XP_012144858.1, XP_003699822.1
OG0000198	XP_037870155.1	XP_012136053.1, XP_012136051.1
OG0000200	XP_012550244.1, NP_001036841.1	XP_003701725.1
OG0000200	NP_001036881.1	XP_003700547.1, XP_012154376.1
OG0000201	XP_004930370.2	XP_012148479.1
OG0000201	NP_001040155.1, NP_001040154.1, XP_012552516.1, XP_012552521.1, NP_001243997.1, XP_004922761.1, XP_004922760.1, XP_004922779.1, XP_004931809.1, XP_004928423.2, XP_004931849.1, XP_004931273.1	XP_012148478.1
OG0000202	NP_001281213.1	XP_012139160.1, XP_012137745.1
