Orthogroup	Bombyx_mori	Dufourea_novaeangliae
OG0000074	XP_037875797.1	XP_015438453.1
OG0000075	XP_037868115.1	XP_015436017.1
OG0000075	XP_037870991.1	XP_015438009.1, XP_015435720.1
OG0000076	XP_037869185.1, XP_037874698.1, XP_037877095.1	XP_015437419.1
OG0000077	XP_037870080.1	XP_015436389.1
OG0000077	NP_001037478.1	XP_015435143.1
OG0000078	XP_037872110.1, NP_001159625.1, NP_001116810.1	XP_015438092.1, XP_015440204.1
OG0000079	XP_004925192.2	XP_015431764.1
OG0000080	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1	XP_015432762.1
OG0000080	XP_004931946.1	XP_015430277.1
OG0000080	XP_037874734.1	XP_015432781.1
OG0000082	XP_004927040.1, NP_001124343.1	XP_015434043.1, XP_015434042.1, XP_015434075.1, XP_015434041.1
OG0000084	XP_012550708.1, NP_001166718.1	XP_015429440.1, XP_015429441.1, XP_015429460.1
OG0000085	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1	XP_015433752.1
OG0000086	NP_001243984.1	XP_015439351.1
OG0000086	XP_004922188.1	XP_015439307.1
OG0000087	XP_004925118.1	XP_015433138.1, XP_015433161.1
OG0000087	XP_004926772.1	XP_015433219.1, XP_015433217.1, XP_015433218.1
OG0000088	XP_037876269.1, XP_037876266.1	XP_015430594.1
OG0000091	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1	XP_015428722.1, XP_015428720.1, XP_015428718.1
OG0000092	NP_001040445.1	XP_015433035.1, XP_015431194.1, XP_015431125.1, XP_015432408.1
OG0000093	XP_037875268.1	XP_015439280.1
OG0000094	XP_037867226.1	XP_015432272.1
OG0000094	XP_004929868.2	XP_015430372.1
OG0000095	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1	XP_015436624.1, XP_015436625.1
OG0000096	XP_004933352.2	XP_015438977.1
OG0000097	XP_012544532.1, XP_037871911.1, XP_004924657.1	XP_015428851.1, XP_015428850.1, XP_015428848.1, XP_015439293.1, XP_015439294.1
OG0000098	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431416.1, XP_015431417.1
OG0000099	XP_012551708.2	XP_015434840.1
OG0000099	XP_004933046.1	XP_015437951.1
OG0000099	XP_037876655.1	XP_015439443.1
OG0000101	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1	XP_015437434.1, XP_015434419.1
OG0000102	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1	XP_015437466.1, XP_015437463.1
OG0000103	XP_037869904.1	XP_015431403.1
OG0000108	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1	XP_015431062.1
OG0000109	XP_021205885.1	XP_015429717.1
OG0000110	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1	XP_015438727.1, XP_015438930.1
OG0000111	XP_037868928.1, XP_037868924.1, XP_004922902.1, XP_004931121.1	XP_015434178.1
OG0000111	XP_004927517.1	XP_015430891.1
OG0000112	NP_001240824.1, XP_012546717.1	XP_015439824.1
OG0000113	XP_004929660.1, XP_004925443.2, XP_012545237.2	XP_015431174.1, XP_015436887.1, XP_015436888.1
OG0000114	XP_037876113.1, NP_001036844.1	XP_015439692.1, XP_015439905.1
OG0000114	XP_037876437.1	XP_015439901.1
OG0000115	NP_001037077.1, XP_012544300.1, NP_001036994.1	XP_015431679.1, XP_015431680.1, XP_015439194.1, XP_015431789.1, XP_015431678.1
OG0000117	NP_001040298.1	XP_015435315.1
OG0000117	NP_001233214.1, XP_012552766.1	XP_015436200.1
OG0000119	XP_037869697.1	XP_015436224.1, XP_015436228.1, XP_015436225.1
OG0000120	XP_021207126.2	XP_015437451.1, XP_015437450.1, XP_015437448.1
OG0000122	XP_037871005.1	XP_015431888.1
OG0000122	XP_021202268.1, XP_012544010.1, XP_037868883.1, XP_004924046.1	XP_015431901.1, XP_015431893.1
OG0000123	NP_001037614.1, XP_012548321.1	XP_015435654.1, XP_015435655.1
OG0000124	XP_037871306.1, XP_037871307.1, XP_021208751.2	XP_015437181.1
OG0000125	XP_004926881.1, XP_012546430.1, XP_012547144.2	XP_015440379.1, XP_015440359.1, XP_015440376.1, XP_015440360.1
OG0000126	XP_012549565.1, NP_001037319.1	XP_015428496.1
OG0000127	XP_012551315.1, NP_001037024.1	XP_015432901.1, XP_015432902.1, XP_015432903.1
OG0000129	XP_021203173.1	XP_015436027.1
OG0000130	NP_001108469.1	XP_015429425.1, XP_015429434.1
OG0000130	XP_012548931.3	XP_015429842.1
OG0000131	XP_004931759.1	XP_015436559.1
OG0000131	NP_001091755.1	XP_015436693.1, XP_015436700.1, XP_015436679.1, XP_015436686.1
OG0000132	NP_001164651.1, XP_037870176.1	XP_015437606.1
OG0000132	NP_001164650.1	XP_015431599.1
OG0000133	XP_021207866.1, XP_004932639.1	XP_015434318.1
OG0000134	XP_012546210.1, XP_004926641.1	XP_015433726.1
OG0000135	NP_001108336.1, XP_021202711.1	XP_015439063.1
OG0000135	NP_001166873.1, XP_037875522.1	XP_015435320.1, XP_015435321.1
OG0000135	NP_001108335.1	XP_015431583.1
OG0000136	XP_037876368.1, XP_004927026.1	XP_015437319.1, XP_015436484.1, XP_015438169.1
OG0000137	XP_037868770.1	XP_015432001.1, XP_015433288.1
OG0000138	XP_037868949.1, XP_004925223.3	XP_015429248.1, XP_015429192.1
OG0000139	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1	XP_015435212.1
OG0000140	XP_004926978.1, XP_021209321.1, XP_037877222.1, XP_012553187.1, NP_001182631.1	XP_015431670.1
OG0000140	XP_021202079.2	XP_015439128.1
OG0000141	XP_004931634.1	XP_015435225.1
OG0000141	XP_021207972.2	XP_015435164.1, XP_015435072.1
OG0000143	XP_037870673.1, NP_001040254.1, XP_004927859.1	XP_015429124.1, XP_015429114.1
OG0000144	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2	XP_015428670.1, XP_015428727.1
OG0000145	XP_021209325.1, XP_037876916.1, XP_004923491.1	XP_015436844.1, XP_015431112.1
OG0000146	XP_037871222.1, XP_004922825.1	XP_015432760.1
OG0000146	NP_001106739.1, NP_001106231.1	XP_015436388.1
OG0000147	XP_004933126.1	XP_015435294.1, XP_015435295.1, XP_015439801.1
OG0000149	XP_037875543.1	XP_015435823.1
OG0000149	XP_004924927.1, XP_004924928.1	XP_015435834.1
OG0000150	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1	XP_015432205.1
OG0000151	XP_037867739.1, XP_021208204.1, XP_021208205.1	XP_015429673.1, XP_015429674.1, XP_015429675.1
OG0000152	XP_021205393.1	XP_015433494.1
OG0000153	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1	XP_015439140.1
OG0000154	XP_037873529.1	XP_015436141.1
OG0000156	XP_021206155.2	XP_015429868.1
OG0000157	XP_037869375.1	XP_015433606.1, XP_015433605.1
OG0000158	XP_021204632.1	XP_015439684.1, XP_015440019.1, XP_015440020.1, XP_015439979.1
OG0000160	XP_004925382.2	XP_015437280.1
OG0000160	XP_004925399.2, XP_004925398.1	XP_015436859.1, XP_015436868.1
OG0000161	NP_001182393.1	XP_015432556.1
OG0000162	NP_001103389.1, XP_037868604.1	XP_015435684.1
OG0000162	NP_001103388.1, XP_021203288.2	XP_015439554.1
OG0000164	XP_037875027.1, XP_037872511.1	XP_015437865.1, XP_015437659.1, XP_015437774.1
OG0000165	XP_012547188.1, XP_021204892.1	XP_015429586.1
OG0000165	XP_012551706.2	XP_015435493.1
OG0000166	XP_037868137.1	XP_015435053.1
OG0000168	XP_037866971.1, XP_037876295.1, XP_037867009.1, XP_037872857.1	XP_015435199.1
OG0000168	XP_037873451.1	XP_015431460.1, XP_015431023.1, XP_015430998.1, XP_015436891.1
OG0000169	NP_001243963.1, NP_001243962.1, NP_001243959.1, NP_001243958.1, NP_001243955.1, NP_001243956.1, NP_001243957.1, NP_001243991.1, NP_001135960.1, NP_001040425.1, NP_001243995.1, NP_001243978.1, NP_001127730.1	XP_015437575.1
OG0000170	XP_021202707.2	XP_015439592.1
OG0000170	XP_004924795.2	XP_015439591.1, XP_015439594.1
OG0000171	NP_001296478.1, XP_037876331.1, XP_037876328.1	XP_015434404.1, XP_015434466.1
OG0000173	NP_001093316.1	XP_015434867.1, XP_015434866.1, XP_015434871.1, XP_015434870.1, XP_015434869.1, XP_015434868.1
OG0000174	NP_001040490.1, XP_037874321.1	XP_015438965.1
OG0000175	NP_001040124.1	XP_015437422.1, XP_015437423.1
OG0000176	XP_037868940.1, XP_037870006.1, XP_037876480.1, XP_037869968.1, XP_037867396.1	XP_015428971.1
OG0000177	XP_004931030.1	XP_015435549.1
OG0000177	XP_004931031.2	XP_015435485.1
OG0000177	XP_004930870.1	XP_015435546.1
OG0000178	XP_037871996.1, XP_004924483.2	XP_015438494.1
OG0000179	NP_001040172.1, XP_021206181.1	XP_015436506.1
OG0000179	NP_001037301.1	XP_015434426.1
OG0000180	XP_004930542.1	XP_015430454.1, XP_015430456.1, XP_015430455.1, XP_015430457.1
OG0000181	NP_001037380.1, XP_037871534.1	XP_015440531.1
OG0000182	XP_037866789.1	XP_015436232.1
OG0000183	XP_004930975.1	XP_015435715.1
OG0000184	XP_004932760.3	XP_015432847.1
OG0000187	XP_004929301.1	XP_015436316.1
OG0000188	NP_001037050.1	XP_015431689.1
OG0000189	XP_037875495.1, XP_037875337.1	XP_015429531.1
OG0000189	XP_037875292.1, XP_037875291.1	XP_015429076.1
OG0000190	XP_004931167.1	XP_015440287.1, XP_015440288.1, XP_015440289.1
OG0000191	XP_037872497.1, XP_037875388.1, XP_021208965.1, XP_021208964.2	XP_015434794.1
OG0000192	XP_021207317.1	XP_015433091.1
OG0000195	NP_001037076.1, NP_001124371.1, NP_001124372.2, NP_001165396.1, XP_004922067.1, XP_004922068.1, NP_001091784.1	XP_015432263.1, XP_015432088.1, XP_015428493.1
OG0000196	XP_012545232.2	XP_015432167.1
OG0000196	XP_004929740.2, XP_021205898.2, XP_004929623.3, XP_021205897.2	XP_015437821.1
OG0000197	XP_012551294.2, XP_004932561.2, XP_037872840.1, XP_004931928.2, XP_004931927.1, XP_037868489.1	XP_015439072.1, XP_015439073.1, XP_015439149.1
OG0000200	XP_012550244.1, NP_001036841.1	XP_015435653.1
OG0000200	NP_001036881.1	XP_015438807.1, XP_015438810.1
OG0000201	XP_004930370.2	XP_015438380.1
OG0000201	NP_001040155.1, NP_001040154.1, XP_012552516.1, XP_012552521.1, NP_001243997.1, XP_004922761.1, XP_004922760.1, XP_004922779.1, XP_004931809.1, XP_004928423.2, XP_004931849.1, XP_004931273.1	XP_015438436.1
OG0000202	NP_001281213.1	XP_015434898.1, XP_015433874.1
OG0000203	XP_004930258.2, XP_037876006.1	XP_015429928.1
OG0000204	XP_012547643.2, XP_037873174.1, XP_021205107.1, XP_004928344.1, XP_012547605.1, XP_004928345.1, XP_037873267.1	XP_015428607.1
OG0000205	NP_001243944.1	XP_015435790.1
OG0000206	XP_004924015.1	XP_015432679.1
OG0000206	XP_004922930.2	XP_015432778.1, XP_015432779.1
OG0000207	NP_001037594.1	XP_015437049.1
OG0000207	NP_001091793.1, XP_004930513.3	XP_015434683.1, XP_015434682.1
OG0000208	XP_037869032.1, NP_001103395.1	XP_015434613.1
OG0000209	XP_037869646.1, XP_004932917.2, XP_037869645.1, XP_012551601.2, XP_012551602.2, XP_012551603.2	XP_015436163.1
OG0000210	XP_012544085.3	XP_015440351.1, XP_015428957.1
OG0000210	XP_037866888.1, XP_037866887.1	XP_015439732.1
OG0000212	XP_037869182.1, NP_001106228.1	XP_015431045.1, XP_015430967.1, XP_015430965.1, XP_015430966.1
OG0000213	XP_004922013.1	XP_015428729.1
OG0000214	NP_001040475.1	XP_015435958.1
OG0000214	NP_001040198.1, XP_037870587.1	XP_015428442.1
OG0000215	XP_037866848.1, XP_004930044.1	XP_015432430.1, XP_015432437.1
OG0000216	NP_001108343.1	XP_015431904.1
OG0000217	XP_021203021.2, XP_012548700.2, XP_004933855.2, XP_037870903.1	XP_015437152.1
OG0000218	XP_004930688.1	XP_015434934.1, XP_015434933.1
OG0000219	XP_004931785.1	XP_015434863.1, XP_015434855.1
OG0000223	NP_001037450.1, NP_001128672.1, XP_012550372.1, NP_001036840.1	XP_015433759.1
OG0000225	NP_001040252.1	XP_015430669.1, XP_015430668.1, XP_015430670.1, XP_015430654.1
OG0000226	NP_001127711.1, XP_021204237.1	XP_015432296.1, XP_015432295.1
OG0000226	XP_037873831.1, NP_001127712.1	XP_015432297.1
OG0000227	XP_012550182.2, XP_004931163.3, XP_012550180.2	XP_015438705.1
OG0000228	XP_037869231.1, XP_012553288.1	XP_015440284.1
OG0000228	XP_037874874.1	XP_015438890.1, XP_015440282.1
OG0000229	XP_004928517.1, XP_012547831.1	XP_015437954.1
OG0000230	XP_021208331.1, XP_004933333.1	XP_015435543.1, XP_015428614.1, XP_015428616.1, XP_015428615.1
OG0000231	XP_037871854.1, XP_037877315.1	XP_015438519.1
OG0000232	XP_012546482.1, NP_001040472.1	XP_015439264.1
OG0000233	XP_004928912.1, XP_004928913.2	XP_015435413.1, XP_015435414.1
OG0000235	XP_037877778.1, XP_012548383.2, XP_037877767.1, XP_037877779.1	XP_015433084.1
OG0000236	NP_001036882.1, XP_037871515.1, XP_037871704.1, XP_021205252.2	XP_015433151.1
OG0000237	XP_004931804.1	XP_015438767.1
OG0000237	XP_037875185.1	XP_015438769.1
OG0000241	XP_012547063.1, XP_004926042.1, XP_037873319.1, XP_012546361.1, XP_004929513.1, XP_004929472.2	XP_015435537.1, XP_015436630.1
OG0000244	XP_021202524.1	XP_015439085.1
OG0000245	NP_001037534.1, XP_037872283.1, XP_012548212.3, NP_001037335.1, XP_037872125.1	XP_015437253.1, XP_015435215.1
OG0000246	XP_012549895.1, NP_001037174.1	XP_015438662.1
OG0000246	XP_004931016.1	XP_015438684.1
OG0000248	XP_021203484.2, XP_037872942.1	XP_015437282.1, XP_015437302.1
OG0000249	NP_001138804.1, XP_012545064.1	XP_015431145.1, XP_015431096.1, XP_015431100.1
OG0000250	XP_021206228.1, XP_004930144.1	XP_015428900.1, XP_015428865.1
OG0000251	XP_021206899.1, NP_001108066.1	XP_015428959.1, XP_015432104.1
OG0000252	NP_001104796.1	XP_015430094.1, XP_015430087.1, XP_015430103.1
OG0000253	XP_021208580.1, NP_001037287.1	XP_015433105.1
OG0000253	NP_001037285.1	XP_015430007.1
OG0000254	XP_004921802.3	XP_015435101.1
OG0000254	XP_004924523.1, XP_037876397.1	XP_015440243.1
OG0000255	XP_012543911.1, XP_012543887.2	XP_015440437.1
OG0000255	XP_004923881.1	XP_015436124.1
OG0000256	NP_001093298.1, XP_037870495.1	XP_015435282.1, XP_015435281.1
OG0000257	XP_012551257.1, XP_012551255.1	XP_015439225.1
OG0000257	XP_004932600.1	XP_015439223.1
OG0000258	NP_001159622.2, NP_001106744.1, XP_012551170.1	XP_015434872.1
OG0000258	XP_037871409.1	XP_015434789.1
OG0000261	XP_004922950.1, NP_001303996.1	XP_015431688.1
OG0000263	XP_012549376.1, NP_001040274.1	XP_015438831.1, XP_015438832.1, XP_015438830.1
OG0000264	NP_001037358.2	XP_015438044.1
OG0000264	XP_037875045.1, NP_001037084.1	XP_015429295.1, XP_015429294.1
OG0000266	NP_001040464.1	XP_015433228.1
OG0000266	XP_012544346.1, NP_001037083.1	XP_015431896.1
OG0000268	XP_021204157.1	XP_015439427.1
OG0000269	XP_004924161.2	XP_015440166.1
OG0000270	NP_001171666.1	XP_015429562.1
OG0000271	XP_037870196.1, NP_001036913.1, XP_021203229.1, NP_001036977.1	XP_015431651.1
OG0000272	NP_001091830.1, XP_037866711.1	XP_015430061.1
OG0000272	NP_001166818.1, XP_012549099.1	XP_015438983.1
OG0000274	XP_037866704.1	XP_015439714.1
OG0000274	XP_021202962.1, XP_021202959.1	XP_015433358.1
OG0000275	XP_004924792.1	XP_015433891.1
OG0000277	XP_012544880.1, XP_021202885.1, XP_004924999.1	XP_015430231.1
OG0000278	XP_021207737.1	XP_015431164.1
