Orthogroup	Bombyx_mori	Bombus_terrestris
OG0000061	XP_012551685.2	XP_003392898.1
OG0000062	XP_021205992.1, NP_001091767.1	XP_012175695.2
OG0000062	XP_004923510.1, XP_037876893.1, XP_004933665.1, NP_001036941.1, NP_001036984.1, NP_001091794.1, XP_037877361.1, XP_037877362.1, NP_001037038.1, NP_001036942.1	XP_012169969.1, XP_012170000.1, XP_020722101.1
OG0000065	XP_004931596.1	XP_003398334.1
OG0000065	NP_001037610.1, XP_037869237.1, XP_037869334.1, XP_012550936.1, XP_037869425.1, XP_037869333.1, XP_004921651.2	XP_012168045.1, XP_012168044.1, XP_003403408.2, XP_003398335.1
OG0000067	XP_004931451.1	XP_003397328.1
OG0000067	NP_001037582.1	XP_012169196.1
OG0000067	XP_037877745.1	XP_020722130.1
OG0000069	NP_001243973.1	XP_012169151.1, XP_020721324.1
OG0000070	NP_001166602.1	XP_012167615.2, XP_012167616.1, XP_012167493.1, XP_012167618.1, XP_012167489.1, XP_012167619.1, XP_012167492.2, XP_012167490.1, XP_020720119.1
OG0000073	NP_001296559.1	XP_003393467.1
OG0000073	NP_001243938.1	XP_020722566.1, XP_020719067.1, XP_020719074.1, XP_003393329.1, XP_012166351.1, XP_003393341.1, XP_003393340.1, XP_003393343.1, XP_012166402.1
OG0000074	XP_037875797.1	XP_003396140.1
OG0000076	XP_037869185.1, XP_037874698.1, XP_037877095.1	XP_012172861.2, XP_012175534.1, XP_012171986.1, XP_012174538.1, XP_012176290.1
OG0000077	XP_037870080.1	NP_001267840.1
OG0000077	NP_001037478.1	XP_012166572.2
OG0000078	XP_037872110.1, NP_001159625.1, NP_001116810.1	XP_020720864.1, XP_012168558.1, XP_020723334.1, XP_020723842.1, XP_020720719.1, XP_012168483.1, XP_020720644.1
OG0000080	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1	XP_003399522.1
OG0000080	XP_004931946.1	XP_012169830.1
OG0000080	XP_037874734.1	XP_012169831.1
OG0000082	XP_004927040.1, NP_001124343.1	XP_012171772.1, XP_012171770.1, XP_012171768.1, XP_003400713.1, XP_020722282.1, XP_003400712.1
OG0000084	XP_012550708.1, NP_001166718.1	XP_003393656.1, XP_003393657.1, XP_012172250.1
OG0000084	NP_001166714.1, NP_001036828.1, NP_001166712.1, NP_001166744.1, NP_001036827.1, NP_001166742.1	XP_003400023.1
OG0000085	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1	XP_012176300.1, XP_012176301.1, XP_020724351.1, XP_003394432.1, XP_003394433.1
OG0000086	NP_001243984.1	XP_003401334.1
OG0000086	XP_004922188.1	XP_012172254.1
OG0000087	XP_004925118.1	XP_020722624.1, XP_012172367.1
OG0000087	XP_004926772.1	XP_012172361.1, XP_012172362.1, XP_012172358.1, XP_012172360.1, XP_012172363.1
OG0000088	XP_037876269.1, XP_037876266.1	XP_003398593.1
OG0000091	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1	XP_020721177.1, XP_003402576.2, XP_020721343.1, XP_012169463.2
OG0000092	NP_001040445.1	XP_020718694.1, XP_020718989.1, XP_003395974.1, XP_020718993.1, XP_020718992.1, XP_003395973.1, XP_003400287.1, XP_012171069.1
OG0000093	XP_037875268.1	XP_012168446.1, XP_012174221.1, XP_012175536.1
OG0000094	XP_037867226.1	XP_012170607.1
OG0000094	XP_004929868.2	XP_003399925.2
OG0000095	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1	XP_003398964.1
OG0000096	XP_004933352.2	XP_003400671.1, XP_003400637.1
OG0000097	XP_012544532.1, XP_037871911.1, XP_004924657.1	XP_012170206.1, XP_003399689.1, XP_012173498.1, XP_020723033.1
OG0000098	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1	XP_012168084.1, XP_012168083.1, XP_012168086.1, XP_012168085.1, XP_003398369.1
OG0000099	XP_012551708.2	XP_020722786.1
OG0000099	XP_004933046.1	XP_012172596.1
OG0000099	XP_037876655.1	XP_020722424.1
OG0000101	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1	XP_020719744.1
OG0000102	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1	XP_020722917.1, XP_003401872.1, XP_020722911.1, XP_012173289.1, XP_012173290.1, XP_012173277.1
OG0000103	XP_037869904.1	XP_012168396.1, XP_012168395.1, XP_020720588.1
OG0000108	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1	XP_012174803.1
OG0000109	XP_021205885.1	XP_003398706.1, XP_003398707.1
OG0000110	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1	XP_003400537.1, XP_012171442.1, XP_012171440.1, XP_012171439.1, XP_003400818.1
OG0000111	XP_037868928.1, XP_037868924.1, XP_004922902.1, XP_004931121.1	XP_012165042.1
OG0000111	XP_004927517.1	XP_012173034.1
OG0000112	NP_001240824.1, XP_012546717.1	XP_012163934.1
OG0000113	XP_004929660.1, XP_004925443.2, XP_012545237.2	XP_020718272.1, XP_003394925.1
OG0000114	XP_037876113.1, NP_001036844.1	XP_020718755.1
OG0000114	XP_037876437.1	XP_020718756.1
OG0000115	NP_001037077.1, XP_012544300.1, NP_001036994.1	XP_003395150.1, XP_003395075.1, XP_012163601.1
OG0000117	NP_001040298.1	XP_012176486.1
OG0000117	NP_001233214.1, XP_012552766.1	XP_003398039.1
OG0000119	XP_037869697.1	XP_020720337.1, XP_020720348.1, XP_020720338.1, XP_020720336.1, XP_020720341.1
OG0000120	XP_021207126.2	XP_012176279.1, XP_003400542.1, XP_012171451.1, XP_012171452.1, XP_012171449.1, XP_012171450.1, XP_012171447.1, XP_012171454.1, XP_012171455.1
OG0000122	XP_037871005.1	XP_012174370.1
OG0000122	XP_021202268.1, XP_012544010.1, XP_037868883.1, XP_004924046.1	XP_003401982.1, XP_012173486.1
OG0000123	NP_001037614.1, XP_012548321.1	XP_003397633.1, XP_012167209.1, XP_012167212.1, XP_012167211.1, XP_012167208.1, XP_012167210.1
OG0000124	XP_037871306.1, XP_037871307.1, XP_021208751.2	XP_012164839.1
OG0000125	XP_004926881.1, XP_012546430.1, XP_012547144.2	XP_003402889.2, XP_003402892.1, XP_003402547.3
OG0000126	XP_012549565.1, NP_001037319.1	XP_012173626.1, XP_003402194.1, XP_020723219.1, XP_020723220.1, XP_020723218.1, XP_012173627.1
OG0000127	XP_012551315.1, NP_001037024.1	XP_003393060.1, XP_003393061.1, XP_012163415.1, XP_012163409.1
OG0000127	NP_001189458.1, XP_012551311.1	XP_003393059.1, XP_020718439.1, XP_020718434.1
OG0000128	XP_037870352.1	XP_020723962.1
OG0000129	XP_021203173.1	XP_003398638.1, XP_012168489.1, XP_012168490.1, XP_012168488.1, XP_012168487.1, XP_012168486.1, XP_012168485.1, XP_012168484.1
OG0000130	NP_001108469.1	XP_020719394.1, XP_003396651.1, XP_020719405.1, XP_003396650.1, XP_012165703.1
OG0000130	XP_012548931.3	XP_003396649.1, XP_012165702.1
OG0000131	XP_004931759.1	XP_003398970.1
OG0000131	NP_001091755.1	XP_003396371.1, XP_003396370.1
OG0000132	NP_001164651.1, XP_037870176.1	XP_003402425.1
OG0000132	NP_001164650.1	XP_003402485.1
OG0000133	XP_021207866.1, XP_004932639.1	XP_012176311.1, XP_020724157.1, XP_020724156.1, XP_020724158.1
OG0000134	XP_004924013.1, XP_004924014.1, XP_012544046.1	XP_003399458.1
OG0000134	XP_004923935.1	XP_003397204.1
OG0000135	NP_001108336.1, XP_021202711.1	XP_003393370.1
OG0000135	NP_001166873.1, XP_037875522.1	XP_003393110.1
OG0000135	NP_001108335.1	XP_003394582.1
OG0000136	XP_037876368.1, XP_004927026.1	XP_012165909.1, XP_020719676.1, XP_012165896.1, XP_020723712.1, XP_003396782.1, XP_003402992.1
OG0000137	XP_037868770.1	XP_012164639.1, XP_012164637.1, XP_012164636.1, XP_012164638.1, XP_012175108.1, XP_012170724.1
OG0000138	XP_037868949.1, XP_004925223.3	XP_003397345.2, XP_012166619.1, XP_003397339.1
OG0000139	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1	XP_003399181.1, XP_003399195.1
OG0000140	XP_004926978.1, XP_021209321.1, XP_037877222.1, XP_012553187.1, NP_001182631.1	XP_020718525.1
OG0000141	XP_004931634.1	XP_003400951.1
OG0000141	XP_021207972.2	XP_012174890.1, XP_003396959.1
OG0000143	XP_037870673.1, NP_001040254.1, XP_004927859.1	XP_003393823.1, XP_020722543.1, XP_012175058.1, XP_020722547.1, XP_020722544.1, XP_020722545.1
OG0000144	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2	XP_003401782.1, XP_003401778.1, XP_003401781.1
OG0000145	XP_021209325.1, XP_037876916.1, XP_004923491.1	XP_003393298.1, XP_012164960.1
OG0000146	XP_037871222.1, XP_004922825.1	XP_003402123.1
OG0000146	NP_001106739.1, NP_001106231.1	XP_003397806.1
OG0000147	XP_004933126.1	XP_020721202.1, XP_020721198.1, XP_020721193.1, XP_003393447.1, XP_012164120.1, XP_012164121.1, XP_012164119.1
OG0000149	XP_037875543.1	XP_003394540.1
OG0000149	XP_004924927.1, XP_004924928.1	XP_012175460.1, XP_020724080.1
OG0000150	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1	XP_012170499.1, XP_012170501.1, XP_012170500.1, XP_003399855.1, XP_020721682.1, XP_012170498.1
OG0000151	XP_037867739.1, XP_021208204.1, XP_021208205.1	XP_003402871.1, XP_012174602.1, XP_012174601.1, XP_012174604.1, XP_012174600.1, XP_012174599.1
OG0000152	XP_021205393.1	XP_012173071.1, XP_012173070.1, XP_012173069.1, XP_012173068.1, XP_012173075.1, XP_012173067.1
OG0000153	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1	XP_003400832.1, XP_012171882.1, XP_012171883.1
OG0000154	XP_037873529.1	XP_012167367.1, XP_012167365.1
OG0000156	XP_021206155.2	XP_003396400.1
OG0000157	XP_037869375.1	XP_020721948.1, XP_003400109.2
OG0000158	XP_021204632.1	XP_012164498.1
OG0000160	XP_004925382.2	XP_012168631.1
OG0000161	NP_001182393.1	XP_003394677.1, XP_003394675.1, XP_020724240.1
OG0000162	NP_001103389.1, XP_037868604.1	XP_012168555.1
OG0000162	NP_001103387.2, XP_037868602.1	XP_012170034.1
OG0000162	NP_001103388.1, XP_021203288.2	XP_003397561.2
OG0000164	XP_037875027.1, XP_037872511.1	XP_020718981.1, XP_020718982.1, XP_020718980.1
OG0000165	XP_012547188.1, XP_021204892.1	XP_003397183.1, XP_012166526.1
OG0000165	XP_012551706.2	XP_012169083.1
OG0000166	XP_037868137.1	XP_012175400.2, XP_012175364.1, XP_012175388.1
OG0000168	XP_037866971.1, XP_037876295.1, XP_037867009.1, XP_037872857.1	XP_020724242.1
OG0000168	XP_037873451.1	XP_012175596.1, XP_020723523.1, XP_020719024.1, XP_020718321.1
OG0000170	XP_004924795.2	XP_012168004.1, XP_012168005.1, XP_003398306.1, XP_012168006.1
OG0000171	NP_001296478.1, XP_037876331.1, XP_037876328.1	XP_003396553.1, XP_012174011.1
OG0000173	NP_001093316.1	XP_012172817.1, XP_012172816.1, XP_012172814.1, XP_012172815.1
OG0000174	NP_001040490.1, XP_037874321.1	XP_003400605.1, XP_003400606.1, XP_012171555.1, XP_012171554.1, XP_012171558.1, XP_012171557.1
OG0000175	NP_001040124.1	XP_020721993.1, XP_003400937.1, XP_012171930.1, XP_012171929.1
OG0000176	XP_004925760.2	XP_003401745.1
OG0000176	XP_037868940.1, XP_037870006.1, XP_037876480.1, XP_037869968.1, XP_037867396.1	XP_003393819.1
OG0000177	XP_004931030.1	XP_003398931.1
OG0000177	XP_004931031.2	XP_012169036.1
OG0000177	XP_004930870.1	XP_012169039.1
OG0000178	XP_037871996.1, XP_004924483.2	XP_003398577.1, XP_020720493.1
OG0000179	NP_001040172.1, XP_021206181.1	XP_012173790.1, XP_003402257.2
OG0000179	NP_001037301.1	XP_012173824.1, XP_003402266.1
OG0000180	XP_004930542.1	XP_012175161.1, XP_012175160.1, XP_012175162.1, XP_003403152.1, XP_003403151.1, XP_020723773.1
OG0000181	NP_001037380.1, XP_037871534.1	XP_003399390.1, XP_012169773.1, XP_012169774.1, XP_012169772.1
OG0000182	XP_037866789.1	XP_012167067.1, XP_012167065.1, XP_003397602.1
OG0000183	XP_004930975.1	XP_012163118.1
OG0000187	XP_004929301.1	XP_012167100.1, XP_003397755.1, XP_012167097.1, XP_020720318.1, XP_020720316.1, XP_012167099.1, XP_012167098.1
OG0000188	NP_001037050.1	XP_003395186.1
OG0000189	XP_037875495.1, XP_037875337.1	XP_012167526.1
OG0000189	XP_037875292.1, XP_037875291.1	XP_003393320.1, XP_012167516.1
OG0000190	XP_004931167.1	XP_012172000.1, XP_012171998.1, XP_012171999.1
OG0000191	XP_037872497.1, XP_037875388.1, XP_021208965.1, XP_021208964.2	XP_012172676.1
OG0000192	XP_021207317.1	XP_003393731.1
OG0000196	XP_012545232.2	XP_003399490.1
OG0000196	XP_004929740.2, XP_021205898.2, XP_004929623.3, XP_021205897.2	XP_012170863.1, XP_003400132.1, XP_020721794.1, XP_012170865.1
OG0000197	XP_012551294.2, XP_004932561.2, XP_037872840.1, XP_004931928.2, XP_004931927.1, XP_037868489.1	XP_012171975.1, XP_012171976.1, XP_012171981.1, XP_012171980.1, XP_012171979.1, XP_003400969.1
OG0000200	XP_012550244.1, NP_001036841.1	XP_003394667.1
OG0000200	NP_001036881.1	XP_003398779.1, XP_012168586.1
OG0000201	XP_004930370.2	XP_020720655.1
OG0000201	NP_001040155.1, NP_001040154.1, XP_012552516.1, XP_012552521.1, NP_001243997.1, XP_004922761.1, XP_004922760.1, XP_004922779.1, XP_004931809.1, XP_004928423.2, XP_004931849.1, XP_004931273.1	XP_012168139.1, XP_012168138.1
OG0000202	NP_001281213.1	XP_012165963.1, XP_012165962.1, XP_012165961.1, XP_003396825.1, XP_020719260.1, XP_020719240.1, XP_012165749.1, XP_012165750.1
OG0000203	XP_004930258.2, XP_037876006.1	XP_003396251.1
OG0000203	XP_037867417.1	XP_012165494.1
OG0000204	XP_012547643.2, XP_037873174.1, XP_021205107.1, XP_004928344.1, XP_012547605.1, XP_004928345.1, XP_037873267.1	XP_003400095.1
OG0000205	NP_001243944.1	XP_012176340.1, XP_003394538.1
OG0000206	XP_004924015.1	XP_012170362.1
OG0000206	XP_004922930.2	XP_020721443.1
OG0000207	NP_001037594.1	XP_012169552.1
OG0000207	NP_001091793.1, XP_004930513.3	XP_012169920.1, XP_012169919.1
OG0000208	XP_037869032.1, NP_001103395.1	XP_003399477.1
OG0000209	XP_037869646.1, XP_004932917.2, XP_037869645.1, XP_012551601.2, XP_012551602.2, XP_012551603.2	XP_012167030.1, XP_012167033.1, XP_012167031.1, XP_012167034.1, XP_012167036.1, XP_012167037.1
OG0000210	XP_012544085.3	XP_003396128.1, XP_012167928.1
OG0000210	XP_037866888.1, XP_037866887.1	XP_012164486.1
OG0000212	XP_037869182.1, NP_001106228.1	XP_003393900.1, XP_003403182.1, XP_012174957.1
OG0000213	XP_004922013.1	XP_003399166.1, XP_003399165.1, XP_012169441.1, XP_012169439.1, XP_012169438.1, XP_012169436.1
OG0000214	NP_001040475.1	XP_003397389.1
OG0000214	NP_001040198.1, XP_037870587.1	XP_003402159.1
OG0000215	XP_037866848.1, XP_004930044.1	XP_012172166.1, XP_003401025.1
OG0000216	NP_001108343.1	XP_003401971.1
OG0000217	XP_021203021.2, XP_012548700.2, XP_004933855.2, XP_037870903.1	XP_003396151.1
OG0000218	XP_004930688.1	XP_012172566.2
OG0000219	XP_004931785.1	XP_003394637.1
OG0000221	XP_037867521.1, XP_021207573.1, XP_021207493.1, XP_004922691.2, XP_012551723.1, XP_012551720.1, XP_004922638.1, XP_037871234.1, XP_037877580.1, XP_037872846.1, XP_037877505.1, XP_037872849.1, XP_037872848.1, XP_037877503.1, XP_037877504.1, XP_037877506.1, XP_037877501.1, XP_037877502.1, XP_037872850.1, XP_037877579.1, XP_037877510.1, XP_037877561.1, XP_037877562.1	XP_020720834.1
OG0000223	NP_001037450.1, NP_001128672.1, XP_012550372.1, NP_001036840.1	XP_012167632.1
OG0000225	NP_001040252.1	XP_020718472.1, XP_020718473.1, XP_012174019.1
OG0000226	NP_001127711.1, XP_021204237.1	XP_012175521.2, XP_012175447.1
OG0000226	XP_037873831.1, NP_001127712.1	XP_003400345.1
OG0000227	XP_012550182.2, XP_004931163.3, XP_012550180.2	XP_012169873.1, XP_012169872.1, XP_012169871.1, XP_003399621.1
OG0000228	XP_037874874.1	XP_020723156.1
OG0000229	XP_004928517.1, XP_012547831.1	XP_003396456.1
OG0000230	XP_021208331.1, XP_004933333.1	XP_012168967.1, XP_003399278.1, XP_012170718.1
OG0000231	XP_037871854.1, XP_037877315.1	XP_020720652.1, XP_003398422.1
OG0000232	XP_012546482.1, NP_001040472.1	XP_003400659.1, XP_020722317.1
OG0000233	XP_004928912.1, XP_004928913.2	XP_003393462.1
OG0000235	XP_037877778.1, XP_012548383.2, XP_037877767.1, XP_037877779.1	XP_012167720.1, XP_012167719.1, XP_012167718.1, XP_012167716.1
