Orthogroup	Bombyx_mori	Tribolium_castaneum
OG0000009	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1, XP_021202508.2, NP_001108456.1	XP_008200085.1, XP_008197409.1, XP_015838530.1, XP_015838531.1, XP_015838490.1, XP_008197433.1, XP_008197432.2, XP_008197346.1, NP_001034541.1, XP_015838491.1, XP_008194628.1, XP_015838026.1, XP_015838027.1, XP_975385.1, NP_001164248.1, XP_015838170.1, NP_001123895.1, NP_001127706.1, XP_015838024.1, XP_972546.1, XP_973619.2
OG0000012	XP_021201903.2	XP_008201061.1, XP_008201062.1, XP_008200977.1
OG0000012	XP_004923627.1, NP_001103386.1	XP_001811283.1
OG0000012	XP_037870940.1, XP_012547171.2, XP_021203795.1, XP_021204459.2	XP_967167.2, XP_967253.1, NP_001164207.1, XP_015839971.1
OG0000013	XP_004933313.1	XP_969677.1
OG0000013	NP_001040399.1	XP_966487.1
OG0000013	NP_001091756.1	XP_008197392.1
OG0000014	NP_001040247.1	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1
OG0000015	XP_037870072.1, XP_037875870.1, XP_037876882.1, XP_037877171.1, XP_037871468.1, XP_037872518.1, XP_037871047.1, XP_004932994.2, XP_037875930.1, XP_037877009.1, XP_037869621.1, XP_037869019.1, XP_037867765.1, XP_037874319.1, XP_037867584.1, XP_037866485.1, XP_037871430.1, XP_037871618.1, XP_037876638.1, XP_037866484.1, XP_037868118.1, XP_004933999.2, XP_037867909.1, XP_037868192.1, XP_004927109.3	XP_008199215.1, XP_015840019.1
OG0000016	XP_037875269.1, XP_037869058.1	XP_015840352.1, XP_015840124.1
OG0000017	NP_001108466.1, XP_012546875.1, NP_001037420.1	XP_015838206.1
OG0000017	NP_001037197.1, NP_001108464.1, NP_001108460.1	XP_971509.1, XP_008200937.1
OG0000017	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1	XP_015834775.1, XP_974273.1
OG0000018	XP_037871931.1	XP_008200429.1
OG0000018	NP_001243945.1, XP_037871800.1	XP_969849.1, XP_008194093.1, XP_008193834.1
OG0000019	NP_001268819.1, XP_037869432.1, NP_001040220.1	XP_975378.1
OG0000019	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2	XP_973103.2, XP_973187.1, XP_008192578.1, XP_001813143.1, XP_973063.1
OG0000019	NP_001119718.1, XP_037872951.1, XP_004924270.3, XP_021204440.2, XP_004928788.2, XP_037874708.1, XP_012545204.1, XP_004927001.2, XP_021204176.1	XP_973324.1
OG0000019	XP_004927318.1	XP_972874.1, XP_015834337.1, XP_008192577.2
OG0000020	XP_012545030.1	XP_008201408.1, XP_008201409.2
OG0000020	XP_037874470.1, XP_037874469.1	XP_969457.2
OG0000021	XP_004932475.1, XP_021207797.1	XP_015838406.1, XP_015838407.1, XP_008197201.1
OG0000021	XP_012546046.1	XP_015838169.1
OG0000021	XP_004926417.1	XP_008197404.1
OG0000021	XP_037869061.1	XP_008197199.1
OG0000021	XP_037872785.1	XP_008197203.1, XP_969207.1
OG0000024	XP_037872402.1	XP_968973.1, XP_015836276.1, XP_970629.1, XP_968453.1, XP_969481.3, XP_966714.3, XP_015836397.1, XP_970153.3, XP_970128.4, XP_969915.1, XP_008195025.1, XP_970890.1, XP_015836275.1, XP_008194723.1, XP_015836190.1, XP_015836389.1
OG0000026	XP_037867257.1	XP_015833705.1
OG0000026	XP_021205952.1, XP_037874519.1, XP_037874423.1	XP_008193329.1
OG0000026	XP_021204803.2	XP_969357.3
OG0000026	XP_004929451.1, XP_012548588.1	XP_015840897.1
OG0000028	XP_037876627.1, XP_037868125.1	XP_015836641.1
OG0000029	NP_001036866.1, NP_001166691.1	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1
OG0000029	NP_001093082.1, NP_001166690.1, NP_001166689.1	XP_015840495.1, XP_008201389.1, XP_008201390.1
OG0000030	XP_037875304.1	XP_966905.1, XP_968794.2, XP_970796.2, XP_008194651.1, XP_973790.1
OG0000030	XP_004926017.1, XP_037875287.1, XP_004925987.1, XP_037875088.1, XP_037875087.1, XP_021203547.2, XP_037875086.1	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2
OG0000031	XP_021204146.2, XP_004932428.2, XP_037875263.1, XP_012545031.2, XP_037871454.1, XP_037866963.1, XP_037871337.1	XP_008192426.1, XP_015840131.1, XP_015837232.1, XP_008192457.2
OG0000032	XP_012545284.2, XP_021208619.1	XP_001807564.1
OG0000032	XP_004931720.1	XP_008197173.2
OG0000032	XP_037875830.1	XP_008194958.1
OG0000032	XP_037867207.1, XP_004924199.2, NP_001036966.1	XP_969958.1, XP_970026.1
OG0000033	XP_021203082.2	XP_015837581.1
OG0000033	XP_037875893.1	XP_015839927.1, XP_015839926.1
OG0000035	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1	XP_008191815.1, XP_008191817.1, XP_971626.2
OG0000036	XP_037877629.1, XP_012544322.2	XP_967476.1
OG0000037	NP_001166634.1	XP_008192993.1
OG0000037	NP_001166643.1	XP_015835222.1
OG0000037	NP_001166642.1	XP_970216.2
OG0000037	XP_012550693.1, NP_001166641.1	XP_008193010.2
OG0000037	XP_004931961.1	XP_015835218.1, XP_966991.2, XP_015835223.1, XP_001809825.2, XP_015835468.1, XP_968523.2, XP_015835220.1, XP_015835221.1
OG0000037	NP_001166635.1	XP_008190973.2
OG0000037	NP_001166637.1	XP_008200145.1
OG0000038	XP_021208028.1	XP_966492.1
OG0000038	XP_021205243.1	XP_974091.1
OG0000038	NP_001036886.1, XP_021204307.1	XP_966584.1
OG0000038	NP_001036885.1	XP_966407.1
OG0000040	XP_037871589.1, XP_037877007.1	NP_001161129.1, XP_008193161.1, NP_001161087.1
OG0000041	NP_001119727.1	NP_001165844.1
OG0000041	NP_001119725.1, NP_001119724.1	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1
OG0000041	NP_001119726.1, XP_037872546.1	XP_967305.1
OG0000042	XP_004925565.1	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1
OG0000042	NP_001296474.1, NP_001296524.1, NP_001296530.1	XP_974033.1, XP_015840580.1
OG0000042	NP_001296508.1, XP_037868172.1, NP_001037018.1, XP_012545279.1, XP_021205712.2, NP_001036971.1	XP_008198874.1, NP_001182164.1, XP_008199928.1, NP_001180578.1
OG0000043	NP_001037067.1, NP_001037068.1	NP_001039287.1, XP_015836776.1, NP_001039277.1, XP_008193777.1, NP_001039289.1
OG0000043	NP_001091780.1, XP_021206019.2	NP_001039285.1
OG0000043	NP_001037062.1, NP_001037063.1, XP_037873515.1, XP_012549255.1, NP_001037065.1, NP_001037052.1, XP_037873390.1, XP_012549237.1, NP_001037064.1	NP_001039274.1, XP_008200117.1
OG0000044	NP_001037013.1, XP_037868605.1, NP_001104835.1, NP_001254654.1, NP_001266323.1	NP_001164285.1
OG0000044	XP_037868658.1	XP_008200957.1
OG0000044	NP_001296554.1	XP_008200834.1
OG0000044	NP_001266372.1, XP_012552714.2	XP_008190382.2
OG0000045	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1	XP_015834974.1, XP_015834972.1
OG0000046	NP_001036837.1, XP_012547740.1	XP_008200986.2, XP_015838368.1
OG0000046	XP_004923548.1	XP_973521.1
OG0000046	XP_037876891.1, XP_004933911.2, XP_037876874.1, NP_001296526.1, NP_001243928.1	NP_001164199.1, NP_001164200.1, XP_974442.1, NP_001164098.1
OG0000046	NP_001036892.1	XP_966611.1
OG0000047	XP_037877229.1	XP_015839407.1
OG0000047	XP_037867871.1, XP_037867870.1, XP_037875392.1, XP_037876653.1, XP_037875391.1, XP_037876466.1, XP_012543806.2, XP_037876380.1, XP_012552278.1, XP_012552527.2, XP_037872680.1, XP_037876439.1, XP_037875038.1, XP_037876528.1	XP_015839283.1, XP_008200958.2
OG0000050	XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1
OG0000050	XP_004925199.1	XP_015840854.1
OG0000052	XP_012545178.1, NP_001036907.1, XP_037868558.1, XP_037868546.1, XP_012545207.2, XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1
OG0000052	XP_012545590.1, XP_012545589.1, XP_004925854.2, XP_004925855.2, XP_021203470.2, XP_004925899.1	XP_008197196.2, XP_008197191.1
OG0000054	XP_004932014.2	XP_008193950.1
OG0000054	NP_001166726.1, NP_001166725.1, NP_001166727.1	XP_970596.1, XP_970518.1
OG0000054	NP_001166705.1	XP_015836116.1
OG0000054	NP_001036835.1, NP_001166743.1	XP_970381.1
OG0000054	NP_001166724.1, XP_037874910.1	XP_008193936.1
OG0000055	XP_021207833.1	XP_969454.3
OG0000055	XP_012548893.1, NP_001036959.1	XP_008194095.1
OG0000056	XP_037866675.1	XP_015835680.1
OG0000056	XP_037872689.1	XP_008197222.1
OG0000056	XP_037871311.1	XP_015834565.1
OG0000056	XP_037873641.1	XP_970084.2
OG0000057	NP_001036887.1, NP_001036964.1	XP_967267.1
OG0000057	XP_004923508.1, XP_012553252.3	XP_969993.1
OG0000057	NP_001036888.1	XP_967348.1
OG0000057	NP_001037492.1, NP_001093079.1	XP_968314.1
OG0000060	XP_004925993.2	XP_008194927.2
OG0000060	XP_021206640.1, XP_004930776.1	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1
OG0000061	XP_012551685.2	XP_969936.2
OG0000062	XP_021205992.1, NP_001091767.1	XP_968760.1
OG0000062	XP_004923510.1, XP_037876893.1, XP_004933665.1, NP_001036941.1, NP_001036984.1, NP_001091794.1, XP_037877361.1, XP_037877362.1, NP_001037038.1, NP_001036942.1	XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1
OG0000063	XP_037869408.1, XP_037875862.1, XP_037867560.1, XP_037877026.1, XP_037868831.1, XP_037869779.1, XP_037870303.1, XP_037873338.1, XP_037876423.1, XP_037875121.1, XP_037875120.1, XP_037869757.1, XP_037869756.1, XP_037869471.1, XP_037869470.1, XP_037868509.1, XP_037869469.1	XP_015837412.1
OG0000063	XP_037868526.1	XP_015840144.1
OG0000065	XP_004931596.1	XP_015834020.1
OG0000065	NP_001037610.1, XP_037869237.1, XP_037869334.1, XP_012550936.1, XP_037869425.1, XP_037869333.1, XP_004921651.2	XP_969514.1, XP_008198984.1, XP_008198951.1, XP_966889.1, XP_015837535.1, XP_015834023.1, XP_015834022.1
OG0000066	XP_012545514.1	XP_015840033.1
OG0000067	XP_004931451.1	XP_008200210.1
OG0000067	NP_001037582.1	NP_001164095.1, XP_008200192.1
OG0000067	XP_037877745.1	XP_008198995.1
OG0000068	XP_037874020.1, XP_037872197.1, XP_037869750.1, XP_037871166.1, XP_037875193.1, XP_037876756.1, XP_037866563.1, XP_037872930.1, XP_037876933.1, XP_037877833.1, XP_037876934.1, XP_004925088.1	XP_015836644.1, XP_015840125.1, XP_015837077.1, XP_015840120.1
OG0000069	NP_001243973.1	XP_008191789.1
OG0000071	XP_004930894.1	XP_015835156.1
OG0000072	XP_037866767.1	XP_015840428.1
OG0000073	NP_001296559.1	XP_015832956.1, XP_015833016.1
OG0000074	XP_037875797.1	XP_015837890.1, XP_970945.2
OG0000075	XP_037868115.1	XP_008191221.1, XP_015833570.1, XP_015833569.1, XP_015840430.1
OG0000076	XP_037874430.1, XP_037868702.1	XP_015840141.1
OG0000077	XP_037870080.1	XP_008200285.1
OG0000077	NP_001037478.1	XP_008194480.2, XP_971466.1, XP_015836196.1
OG0000080	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1	XP_971544.1
OG0000080	XP_004931946.1	XP_015839289.1
OG0000080	XP_037874734.1	XP_015838833.1, XP_968784.1, XP_008199652.2
OG0000082	XP_004927040.1, NP_001124343.1	XP_008196787.1, XP_008196786.1
OG0000084	XP_012550708.1, NP_001166718.1	XP_008194205.2
OG0000084	NP_001166711.1, XP_037874615.1, NP_001166710.1	XP_974938.1
OG0000084	NP_001036869.1	XP_008194340.1
OG0000084	NP_001166715.1, XP_021207423.1	XP_973788.1
OG0000084	NP_001166714.1, NP_001036828.1, NP_001166712.1, NP_001166744.1, NP_001036827.1, NP_001166742.1	XP_008194337.1, XP_969263.1
OG0000084	NP_001166719.1	XP_008194204.2
OG0000085	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1	XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1
OG0000086	NP_001243984.1	XP_973839.1, XP_008201361.1
OG0000086	NP_001153674.1	XP_008194263.2
OG0000086	XP_004922188.1	XP_008200062.1, XP_015834290.1
OG0000087	XP_004925118.1	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2
OG0000087	XP_004926772.1	XP_969383.1
OG0000088	XP_037876269.1, XP_037876266.1	XP_015837887.1
OG0000091	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2
OG0000092	NP_001040445.1	XP_008198926.1, XP_967128.1
OG0000093	XP_037867839.1, XP_037870131.1, XP_037877338.1, XP_037877592.1, XP_037871838.1, XP_037871837.1, XP_021204760.2, XP_037875612.1, XP_037866477.1, XP_037870117.1, XP_037871124.1, XP_037866503.1, XP_012552632.2, XP_037875268.1, XP_037875928.1	XP_008198969.1
OG0000094	XP_037867226.1	XP_008194293.1
OG0000094	XP_004932347.1, XP_004929868.2	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2
OG0000095	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1
OG0000096	XP_004933352.2	XP_970191.2
OG0000097	XP_012549126.1, NP_001037510.1	NP_001107835.1
OG0000097	XP_012544532.1, XP_037871911.1, XP_004924657.1	XP_966355.1, XP_008200463.1
OG0000098	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1
OG0000099	XP_012551708.2	XP_973444.1
OG0000099	XP_004933046.1	XP_967359.1
OG0000099	XP_037876655.1	XP_008198312.1
OG0000101	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1	XP_008190341.1, XP_968586.1
OG0000102	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1	XP_015836203.1, XP_972020.3, XP_971968.1
OG0000102	XP_021205209.1	XP_008201580.1
OG0000103	XP_004927136.2	NP_001107839.1
OG0000103	XP_037869904.1	NP_001121967.1
OG0000108	NP_001037073.1, XP_004926196.1, XP_037873923.1, XP_021203655.1, XP_021203635.1, XP_037874059.1, XP_037874060.1, XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1
OG0000109	XP_021205885.1	XP_008200716.1, XP_968250.2
OG0000110	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2
OG0000111	NP_001037636.1, XP_037870313.1, XP_037868928.1, XP_037868924.1, XP_004922902.1, XP_004931121.1	XP_008201050.1, XP_970898.1, XP_970952.1, XP_975906.1, NP_001161227.1, NP_001161310.1, XP_015839309.1, XP_970839.1, XP_008201049.1
OG0000112	NP_001240824.1, XP_012546717.1	XP_008198195.1, XP_015837714.1
OG0000113	XP_004929660.1, XP_004925443.2, XP_012545237.2	XP_967872.2, XP_008198495.1, XP_008198500.1
OG0000114	XP_037876113.1, NP_001036844.1	XP_015836792.1, XP_015836794.1
OG0000114	XP_037876437.1	XP_008195366.2, XP_015837027.1, XP_015837028.1
OG0000115	NP_001037077.1, XP_012544300.1, NP_001036994.1	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1
OG0000117	NP_001040298.1	XP_008198411.1
OG0000117	NP_001233214.1, XP_012552766.1	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1
OG0000118	XP_037872962.1	XP_015834547.1, XP_008200548.1, XP_015834543.1, XP_015833294.1, XP_015835116.1, XP_015840487.1, XP_015834751.1, XP_008200539.1, XP_015835309.1, XP_015837361.1
OG0000119	XP_037869697.1	NP_001157311.1
OG0000120	XP_021207126.2	XP_015838347.1
OG0000121	XP_004930152.2	XP_015839411.1
OG0000122	XP_037871005.1	XP_008192222.1
OG0000122	XP_021202268.1, XP_012544010.1, XP_037868883.1, XP_004924046.1	XP_008191923.1, XP_008190630.1, XP_970917.2, NP_001280526.1
OG0000123	NP_001037614.1, XP_012548321.1	XP_001813105.1
OG0000124	XP_037871306.1, XP_037871307.1	XP_015834874.1
OG0000125	XP_004926881.1, XP_012546430.1, XP_012547144.2	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1
OG0000126	XP_012549565.1, NP_001037319.1	NP_001034505.1
OG0000127	XP_012551315.1, NP_001037024.1	XP_008201644.1
OG0000127	NP_001189458.1, XP_012551311.1	NP_001280519.1, XP_015839687.1
OG0000129	XP_021203173.1	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1
OG0000130	NP_001108469.1	XP_008200084.1, XP_001811552.1
OG0000130	XP_012548931.3	XP_008200083.1
OG0000131	XP_004931759.1	XP_001808435.1
OG0000131	NP_001091755.1	XP_008198189.1, XP_968387.1, XP_008198188.1
OG0000132	NP_001164651.1, XP_037870176.1	XP_008198166.1, XP_015839207.1
OG0000133	XP_021207866.1, XP_004932639.1	XP_975308.3
OG0000134	XP_012543968.1	XP_008195592.1
OG0000134	XP_004923935.1	XP_008201435.1
OG0000135	NP_001108336.1, XP_021202711.1	XP_015833857.1, XP_008194086.1
OG0000135	NP_001166873.1, XP_037875522.1	XP_008190640.1, XP_008190639.1
OG0000135	NP_001108335.1	NP_001153713.1
OG0000136	XP_037876368.1	XP_971514.1
OG0000137	XP_037868770.1	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1
OG0000138	XP_037868949.1, XP_004925223.3	XP_015840574.1, XP_967720.2, XP_015840573.1
OG0000139	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1
OG0000140	XP_004926978.1, XP_021209321.1, XP_037877222.1, XP_012553187.1, NP_001182631.1	XP_015836386.1
OG0000140	XP_021202079.2	XP_973264.1
OG0000141	XP_004931634.1	XP_015833202.1
OG0000141	XP_021207972.2, XP_037866583.1	XP_008193877.2
OG0000143	XP_004927859.1	XP_008192676.1
OG0000144	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1
OG0000145	XP_021209325.1, XP_037876916.1, XP_004923491.1	XP_008193348.1
OG0000146	XP_037871222.1, XP_004922825.1	XP_966544.1, XP_001811608.2
OG0000147	XP_004933126.1	XP_966688.1
OG0000148	XP_037876693.1, XP_037868003.1	XP_015836603.1, XP_015840016.1
OG0000149	XP_037875543.1	XP_008191323.1
OG0000150	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1	XP_015838556.1, XP_015838555.1, XP_015838554.1
OG0000151	XP_037867739.1, XP_021208204.1, XP_021208205.1	XP_969439.1, XP_015840091.1
OG0000152	XP_021205393.1	XP_966734.2
OG0000153	XP_004930976.1, XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1	XP_970869.1, XP_008195606.1
OG0000154	XP_037873529.1	XP_008195104.1
OG0000154	XP_037872810.1, XP_037872808.1, XP_037872811.1, XP_037872812.1, XP_012546915.1, XP_012546914.1	XP_015839325.1, XP_015839324.1, XP_008199705.2, XP_015838950.1, XP_015833663.1, XP_008193592.1, XP_015840362.1, XP_008199148.1, XP_015840355.1
OG0000155	XP_037877412.1	XP_015840229.1, XP_015840425.1
OG0000156	XP_021206155.2	XP_008199571.1, XP_008199569.1, XP_008199570.1
OG0000157	XP_037869375.1	NP_001161084.1, XP_008194710.1, NP_001161130.1
OG0000158	XP_021204632.1	XP_008198818.1
OG0000160	XP_004925399.2, XP_004925398.1	XP_967023.4
OG0000161	NP_001182393.1	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3
OG0000162	NP_001103389.1, XP_037868604.1	XP_008201498.1, NP_001103246.1
OG0000162	NP_001103387.2, XP_037868602.1	XP_008200302.1, NP_001107770.1
OG0000162	NP_001103388.1, XP_021203288.2	NP_001103245.1
OG0000163	XP_012546686.1, XP_037873371.1	XP_015839362.1
OG0000163	XP_037875501.1, XP_037873368.1, XP_037873370.1, XP_037877369.1, XP_037875753.1, XP_037867082.1, XP_037877398.1	XP_015834329.1
OG0000164	XP_021205850.1	XP_008196039.2, XP_015837358.1, XP_008196049.2
OG0000164	XP_037875027.1, XP_037872511.1	XP_015833602.1, XP_015840341.1, XP_015833616.1
OG0000165	XP_012547188.1, XP_021204892.1	XP_008192571.1
OG0000165	XP_012551706.2	XP_974173.2
OG0000166	XP_037868137.1	XP_008199436.1, XP_008199431.1
OG0000168	XP_037873451.1	XP_008199616.2, XP_015834098.1, XP_015838873.1, NP_001107841.1
OG0000169	NP_001243963.1, NP_001243962.1, NP_001243959.1, NP_001243958.1, NP_001243955.1, NP_001243956.1, NP_001243957.1, NP_001243991.1, NP_001135960.1, NP_001040425.1, NP_001243995.1, NP_001243978.1, NP_001127730.1	XP_008195237.1, XP_008191380.1, XP_973188.1, XP_015833980.1, XP_015837683.1, XP_969004.1
OG0000170	XP_004924795.2	XP_008193117.1, XP_008193116.1
OG0000171	NP_001296478.1, XP_037876331.1, XP_037876328.1	XP_971346.1, XP_015836633.1
OG0000173	NP_001093316.1	XP_008194517.1
OG0000174	NP_001040490.1, XP_037874321.1	XP_015838513.1
OG0000175	NP_001040124.1	XP_974770.1, XP_015836695.1
OG0000176	XP_037872592.1, XP_021203868.1	XP_008198121.1
OG0000176	XP_012544576.1, XP_004925439.1, XP_004925438.1	XP_015838737.1, XP_001811685.2
OG0000176	XP_012552945.1, XP_004924396.1, XP_037868940.1, XP_037870006.1, XP_037876480.1, XP_037869968.1, XP_037867396.1, XP_004928975.2	XP_008195214.1
OG0000177	XP_004931030.1	XP_971910.1
OG0000177	XP_004931031.2	XP_008194311.1
OG0000177	XP_004930870.1	XP_972019.2
OG0000178	XP_037871996.1, XP_004924483.2	XP_008200484.2, XP_015835582.1
OG0000179	NP_001040172.1, XP_021206181.1	XP_008194977.1
OG0000179	NP_001037301.1	XP_966308.2
OG0000180	XP_004930542.1	XP_976031.1, XP_008200320.1
