Orthogroup	Bombyx_mori	Solenopsis_invicta
OG0000009	XP_037872543.1, NP_001095934.1, XP_037872544.1, NP_001103394.1, NP_001103404.1, NP_001077079.1, XP_021202508.2, NP_001108456.1	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1, XP_011175447.1, XP_039310444.1, XP_039310445.1, XP_039313457.1, XP_039315616.1, XP_039301753.1, XP_011175446.1, XP_011175444.1, XP_011168514.1, XP_011175440.1, XP_011175442.1, XP_011175441.1, XP_039310443.1, XP_011172780.1, XP_011160035.1, XP_039307038.1, XP_011172781.1, XP_039307039.1, XP_039307040.1, XP_025986432.2, XP_025986433.1, XP_011166535.1, XP_011172782.1, XP_025986445.2
OG0000010	XP_021208868.2, XP_037877292.1, XP_037870974.1	XP_025997575.1, XP_011165199.1, XP_039315379.1, XP_039315378.1, XP_039315520.1, XP_011171567.1, XP_039313512.1, XP_039309910.1, XP_011173321.1, XP_011156630.1
OG0000010	XP_037877378.1, XP_004925231.2, XP_037871371.1, XP_037869407.1, XP_037873430.1, XP_037874123.1, XP_037877306.1	XP_039313808.1
OG0000010	XP_004922866.1	XP_039302116.1
OG0000010	XP_037872909.1	XP_025985789.1, XP_025996848.1, XP_011171529.1, XP_011165198.1, XP_039315521.1, XP_011173322.1, XP_039309946.1
OG0000010	XP_037871048.1, XP_037874327.1, XP_037868974.1, XP_037866962.1, XP_037872910.1, XP_037876686.1, XP_037868130.1, XP_037875277.1, XP_037869503.1, XP_037868962.1, XP_037877008.1, XP_037875241.1, XP_037866479.1, XP_037866959.1, XP_037872517.1, XP_037874346.1, XP_037869607.1, XP_037869632.1, XP_037866497.1, XP_037871097.1, XP_037877012.1, XP_037874850.1, XP_037867751.1, XP_037868508.1, XP_037873738.1, XP_037871588.1, XP_037870366.1, XP_037873346.1	XP_039303924.1
OG0000012	XP_021205514.2	XP_011157834.1
OG0000012	XP_012543999.1, NP_001037317.1	XP_011167036.2
OG0000012	XP_037870940.1, XP_012547171.2, XP_021203795.1, XP_021204459.2	XP_011166798.2, XP_039314082.1
OG0000013	XP_004933313.1	XP_011165753.2
OG0000013	NP_001040399.1	XP_011166327.1
OG0000013	NP_001091756.1	XP_011158467.1, XP_011158466.1, XP_039315701.1
OG0000016	XP_037875269.1, XP_037869058.1	XP_025994129.1, XP_039306761.1, XP_039313966.1, XP_039309074.1, XP_039304382.1, XP_039314252.1, XP_039306750.1, XP_039304356.1, XP_039301762.1, XP_039309915.1, XP_039303543.1, XP_039303418.1, XP_039303421.1, XP_039309887.1, XP_039304375.1, XP_039308808.1, XP_025991342.1, XP_039308631.1
OG0000016	XP_037866966.1, XP_037874854.1, XP_037869234.1	XP_039309201.1, XP_039311133.1, XP_011174804.3, XP_011171157.1
OG0000016	XP_037871463.1, XP_004927060.2, XP_037874057.1, XP_004923984.2, XP_037872903.1, XP_004927452.2, XP_004934209.2, XP_037876361.1, XP_037877133.1, XP_037869633.1, XP_037873340.1, XP_037867761.1, XP_037871662.1, XP_037871125.1, XP_037868132.1, XP_037872522.1, XP_004921763.2, XP_037872764.1, XP_037868492.1, XP_037874875.1, XP_037868964.1, XP_037877124.1, XP_037867762.1, XP_037871595.1, XP_037870977.1, XP_037871622.1, XP_037867766.1	XP_011170184.2, XP_039310366.1, XP_039313041.1, XP_011159853.1, XP_011171075.1
OG0000016	XP_037877372.1, XP_037872165.1, XP_037874047.1, XP_037867769.1, XP_037870018.1	XP_039313514.1, XP_025997160.1, XP_039303210.1, XP_025996227.1, XP_039315353.1
OG0000017	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1	XP_039311373.1, XP_025996377.1
OG0000018	XP_037871931.1	XP_025993846.1, XP_039312756.1
OG0000018	XP_021205339.2, XP_037871705.1	XP_039312480.1, XP_039312479.1
OG0000019	NP_001268819.1, XP_037869432.1, NP_001040220.1	XP_025990211.2
OG0000019	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2	XP_025995191.1, XP_039305114.1, XP_039305111.1, XP_039305113.1, XP_039305526.1, XP_025995621.1, XP_011155911.3, XP_039305205.1, XP_039305125.1, XP_011176163.1, XP_011158633.2
OG0000019	NP_001119718.1, XP_037872951.1, XP_004924270.3, XP_021204440.2, XP_004928788.2, XP_037874708.1, XP_012545204.1, XP_004927001.2, XP_021204176.1	XP_025993384.1, XP_025996194.1, XP_039304954.1, XP_011171050.2, XP_011171052.2, XP_039306693.1, XP_011163180.2, XP_039309449.1, XP_025993961.1, XP_025987780.2, XP_025987781.2, XP_025987782.2, XP_039314384.1, XP_039314385.1
OG0000019	XP_004927318.1	XP_011155421.1, XP_025990075.1, XP_039308626.1
OG0000020	XP_021206581.1	XP_025986429.1
OG0000020	XP_012545030.1	XP_011159576.2
OG0000020	XP_037867737.1	XP_025986409.1
OG0000020	XP_012552719.1, XP_021202222.1	XP_025987337.1
OG0000020	XP_012548770.1	XP_025991589.1
OG0000020	XP_037867242.1, XP_012549186.1	XP_011157847.1
OG0000021	XP_004932475.1, XP_021207797.1	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1
OG0000021	XP_012546046.1	XP_011162935.1
OG0000021	XP_004926417.1	XP_011159438.1
OG0000021	XP_037872785.1	XP_025991392.1
OG0000022	NP_001153666.1, NP_001036781.1	XP_011166335.1
OG0000024	XP_004924130.1	XP_025991934.1
OG0000025	XP_037869031.1	XP_025993123.1, XP_039309257.1
OG0000026	XP_037867257.1	XP_039304799.1
OG0000026	XP_021205952.1, XP_037874519.1, XP_037874423.1	XP_011175708.1, XP_039313524.1, XP_039313525.1, XP_039313526.1, XP_025989861.1, XP_039313527.1
OG0000027	NP_001153669.1	XP_011156268.1
OG0000028	XP_037871212.1	XP_039307886.1, XP_025993453.2, XP_025997479.2, XP_011171716.1
OG0000028	XP_037876627.1	XP_011170007.1
OG0000028	XP_037868125.1	XP_011176359.1, XP_039302918.1
OG0000028	XP_037876866.1, XP_037874105.1, XP_037872934.1, XP_037868529.1, XP_037867214.1, XP_037877749.1	XP_011171790.2
OG0000028	XP_037875622.1, XP_037873747.1, XP_037877519.1	XP_011166516.2, XP_025992254.2, XP_025990428.2
OG0000029	NP_001036866.1, NP_001166691.1, NP_001166687.1	XP_011175216.3, XP_011175277.3
OG0000029	NP_001093082.1, NP_001166690.1, NP_001166689.1	XP_025987625.1, XP_025994361.1
OG0000030	XP_037875304.1	XP_025986100.1
OG0000030	XP_004926017.1	XP_011165417.3, XP_039308147.1, XP_039313768.1
OG0000031	XP_037868210.1	XP_025994108.1
OG0000032	XP_004931720.1	XP_025991246.2
OG0000032	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1	XP_011159466.2, XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2
OG0000033	XP_037868454.1, XP_037871213.1, XP_037866765.1, XP_037877017.1, XP_037870514.1	XP_011156674.1
OG0000033	XP_004925104.2, XP_004925103.1	XP_025996388.2
OG0000033	XP_037873002.1, XP_037872937.1, XP_037873482.1	XP_039311284.1, XP_039302324.1, XP_039305808.1, XP_039315262.1
OG0000035	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1	XP_039312187.1
OG0000036	XP_037877629.1, XP_012544322.2	XP_011166052.2, XP_011166051.2, XP_011166050.1, XP_011166049.1
OG0000037	NP_001166634.1, NP_001166643.1, NP_001166640.1, XP_021207417.1, NP_001166642.1, NP_001166626.1, NP_001166646.1, NP_001166657.1, NP_001166648.1, NP_001166659.1, NP_001166661.1, NP_001166647.1, NP_001166654.1, NP_001166652.1, NP_001166656.1, NP_001166655.1, NP_001166651.1, NP_001166653.1, NP_001166650.1, XP_012550695.2, XP_037874610.1, NP_001166649.1, NP_001166658.1, NP_001166660.1, XP_037874849.1, XP_037874613.1, XP_037874612.1, NP_001166662.1, NP_001036864.1, NP_001166674.1, NP_001166673.1, NP_001166676.1, NP_001166675.1, NP_001036838.1, NP_001166677.1, XP_012550704.2, NP_001166625.1, NP_001166671.1, NP_001166678.1, XP_012550693.1, NP_001166641.1, XP_004931961.1, NP_001166635.1, NP_001166644.1, NP_001166637.1	XP_011161783.1
OG0000038	NP_001036884.1	XP_011172049.1
OG0000038	NP_001036886.1, XP_021204307.1	XP_011174246.2
OG0000039	XP_037877377.1, XP_037875720.1, XP_037875730.1, XP_037875679.1, XP_037877102.1, XP_037877190.1, XP_037877066.1	XP_039315519.1, XP_025996976.1, XP_011161413.1, XP_039307954.1, XP_011164139.3, XP_039315258.1, XP_039309669.1, XP_011171625.1, XP_039306397.1, XP_039304359.1, XP_011170179.1, XP_039301770.1, XP_039311331.1, XP_039303495.1, XP_039303407.1, XP_039303449.1, XP_039312874.1, XP_039315492.1, XP_039312525.1, XP_039311327.1, XP_039305149.1, XP_025994381.1, XP_011162982.1, XP_039315449.1, XP_039309120.1, XP_039310752.1, XP_039304385.1, XP_011169959.1, XP_039301724.1, XP_039303416.1
OG0000039	XP_037875873.1, XP_037875721.1, XP_037875722.1, XP_037875265.1, XP_037867939.1, XP_037877376.1, XP_037877375.1, XP_037870392.1, XP_037870333.1, XP_012548402.1, XP_012548403.1, XP_021207874.2, XP_037866956.1, XP_037868982.1, XP_037877018.1, XP_012548919.1	XP_011160646.1, XP_039303925.1, XP_011163115.1
OG0000040	XP_037871589.1, XP_037877007.1	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1, XP_011155958.2, XP_025987203.2, XP_011170816.1
OG0000041	NP_001119727.1	XP_011173741.1
OG0000041	NP_001119724.1	XP_039304943.1, XP_039304942.1, XP_011173639.1, XP_011173634.1, XP_011173641.1
OG0000041	NP_001119726.1, XP_037872546.1	XP_011167847.1
OG0000042	XP_004925565.1	XP_025993436.2, XP_025988401.1, XP_025988400.1
OG0000042	NP_001296508.1, XP_037868172.1, NP_001037018.1, XP_012545279.1, XP_021205712.2, NP_001036971.1	XP_025993549.1, XP_011172554.1
OG0000043	NP_001037067.1, NP_001037068.1	XP_039308729.1, XP_011166108.1
OG0000044	NP_001036834.1	XP_039306340.1, XP_025986513.2, XP_025986454.1
OG0000044	XP_037868658.1	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1
OG0000045	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1	XP_011157503.2, XP_011156768.2, XP_025992324.2
OG0000046	NP_001036837.1, XP_012547740.1	XP_011168512.1
OG0000046	NP_001036892.1	XP_011168531.1, XP_039310878.1, XP_039310880.1, XP_039310879.1
OG0000047	XP_037869855.1, XP_037866933.1, XP_037874605.1, XP_037869737.1, XP_037871249.1, XP_037877229.1, XP_037867871.1, XP_037867870.1, XP_037875392.1, XP_037876653.1, XP_037875391.1, XP_037876466.1, XP_012543806.2, XP_037876380.1, XP_012552278.1, XP_012552527.2, XP_037872680.1, XP_037876439.1, XP_037875038.1, XP_037876528.1	XP_039311272.1, XP_039307231.1, XP_039307232.1, XP_025997124.1, XP_039305177.1, XP_039308536.1, XP_039308537.1, XP_039302440.1
OG0000050	NP_001165227.1, NP_001040466.1, XP_037875050.1, NP_001124352.1, NP_001116814.1, XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1, XP_004925199.1, XP_004924525.1, XP_004932947.1, NP_001040174.1	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1
OG0000052	XP_012545178.1, NP_001036907.1, XP_037868558.1, XP_037868546.1, XP_012545207.2, XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1	XP_039313337.1
OG0000052	XP_012545590.1, XP_012545589.1, XP_004925854.2, XP_004925855.2, XP_021203470.2, XP_004925899.1	XP_011160846.1
OG0000052	XP_012545009.1, NP_001182634.1	XP_025995966.1
OG0000053	XP_037869409.1, XP_037868996.1, XP_037875001.1	XP_011171617.3, XP_039301894.1, XP_039302875.1, XP_039303382.1, XP_039312442.1, XP_039303380.1, XP_011174627.3
OG0000054	NP_001040112.1	XP_011164393.2
OG0000054	NP_001036835.1, NP_001166743.1	XP_011164215.1, XP_011164214.2
OG0000055	XP_021207833.1	XP_039311121.1
OG0000055	XP_012548893.1, NP_001036959.1	XP_011162045.1
OG0000056	XP_037866675.1	XP_039301684.1, XP_025992809.2
OG0000056	XP_037872689.1	XP_011167471.3
OG0000056	XP_037871311.1	XP_039313454.1
OG0000057	NP_001036887.1, NP_001036964.1	XP_011165693.1
OG0000057	XP_004923508.1, XP_012553252.3	XP_011161996.1
OG0000057	NP_001036965.1	XP_011165691.1
OG0000057	NP_001036888.1	XP_011165692.1
OG0000059	XP_037867705.1, XP_037869003.1, XP_012553005.2, XP_037876015.1, XP_012551329.2	XP_039304379.1, XP_011171889.2
OG0000060	XP_004925993.2	XP_011166599.1, XP_039312995.1, XP_039313020.1
OG0000060	XP_021206640.1, XP_004930776.1	XP_011166588.1, XP_039313855.1, XP_039313856.1
OG0000061	XP_012551685.2	XP_039302873.1, XP_039310102.1
OG0000062	XP_021205992.1, NP_001091767.1	XP_025989351.2
OG0000063	XP_037869408.1	XP_025994603.1, XP_039315362.1
OG0000063	XP_037875862.1	XP_039310407.1
OG0000063	XP_037867560.1, XP_037877026.1, XP_037868831.1, XP_037869779.1, XP_037870303.1, XP_037873338.1, XP_037876423.1, XP_037875121.1, XP_037875120.1, XP_037869757.1, XP_037869756.1, XP_037869471.1, XP_037869470.1, XP_037868509.1, XP_037869469.1	XP_039310558.1, XP_039310562.1, XP_039314694.1, XP_039304383.1, XP_011171114.2, XP_039303555.1, XP_025989898.1, XP_011171877.1, XP_039306356.1, XP_039309572.1, XP_039315364.1
OG0000065	XP_004931596.1	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1
OG0000065	NP_001037610.1, XP_037869237.1, XP_037869334.1, XP_012550936.1, XP_037869425.1, XP_037869333.1, XP_004921651.2	XP_039308740.1, XP_011176028.1, XP_011176027.2, XP_039307834.1, XP_039307956.1, XP_011165754.1, XP_039313781.1, XP_039313721.1, XP_039307833.1, XP_039313722.1, XP_011164020.1, XP_039307832.1, XP_039307645.1, XP_039308148.1, XP_025994478.1
OG0000066	XP_012545514.1	XP_039306035.1, XP_039312738.1, XP_039302943.1, XP_011173934.3, XP_025996408.2, XP_039303305.1, XP_039313707.1, XP_039303413.1, XP_025996127.1, XP_011159374.1
OG0000067	XP_004931451.1	XP_011168949.1
OG0000067	XP_037877745.1	XP_025989655.1
OG0000068	XP_037874020.1, XP_037872197.1, XP_037869750.1, XP_037871166.1, XP_037875193.1, XP_037876756.1, XP_037866563.1, XP_037872930.1, XP_037876933.1, XP_037877833.1, XP_037876934.1, XP_004925088.1	XP_039307749.1, XP_025991341.2, XP_039305707.1, XP_025997530.1, XP_039310468.1, XP_025995817.1, XP_039303333.1, XP_039311052.1, XP_011170894.1
OG0000068	XP_037869744.1	XP_025993298.2, XP_039312003.1, XP_039302002.1, XP_039301996.1, XP_039309209.1, XP_039310968.1, XP_039315494.1, XP_039308060.1, XP_025992133.2, XP_039306295.1, XP_039307933.1, XP_025996623.2, XP_039303039.1, XP_039302948.1, XP_039302079.1, XP_039315232.1
OG0000069	NP_001243973.1	XP_039305623.1, XP_025987486.1
OG0000070	NP_001166602.1	XP_039308656.1, XP_039308666.1, XP_025985811.2, XP_025985886.1, XP_039308665.1, XP_039308664.1, XP_039308741.1
OG0000071	XP_004930894.1	XP_039312667.1, XP_025987085.2, XP_039303086.1, XP_039302962.1
OG0000071	XP_037870942.1, XP_012547423.2	XP_039312519.1, XP_011169850.3
OG0000071	XP_004923068.2	XP_039311299.1, XP_025996694.1, XP_039304400.1, XP_011161191.1
OG0000072	XP_037866767.1	XP_011174276.1, XP_039303571.1
OG0000073	NP_001243938.1	XP_025993259.1, XP_011157914.1
OG0000074	XP_037875797.1	XP_025985929.1
OG0000076	XP_037874430.1	XP_039312428.1, XP_011164066.1
OG0000076	XP_037868702.1	XP_039303422.1
OG0000076	XP_037869185.1, XP_037874698.1, XP_037877095.1	XP_011162883.1, XP_039310746.1
OG0000077	XP_037870080.1	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1
OG0000077	NP_001037478.1	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1
OG0000078	XP_037872110.1, NP_001159625.1, NP_001116810.1	XP_011156318.2, XP_039310413.1, XP_039310414.1, XP_039310426.1, XP_011155581.2, XP_011155595.2, XP_011155606.1, XP_039309962.1, XP_039310440.1, XP_011156215.2, XP_039309961.1, XP_039310430.1, XP_039309963.1, XP_011155704.2, XP_011155659.3, XP_011155817.3, XP_039309966.1, XP_011156294.1, XP_039310434.1, XP_011155782.2, XP_011155805.2, XP_025991287.2, XP_039309964.1
OG0000080	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1	XP_039313662.1, XP_011161097.1, XP_011161096.1
OG0000080	XP_004931946.1	XP_025995013.1
OG0000080	XP_037874734.1	XP_011173727.1
OG0000082	XP_004927040.1, NP_001124343.1	XP_011158501.1, XP_039315682.1, XP_039315686.1, XP_039315687.1, XP_039315688.1, XP_039315689.1, XP_039315684.1, XP_039315685.1, XP_011158493.1, XP_011158531.2
OG0000084	XP_012550708.1, NP_001166718.1	XP_011155841.2, XP_011155844.1, XP_039310256.1, XP_011155840.3
OG0000084	NP_001166714.1, NP_001036828.1, NP_001166712.1, NP_001166744.1, NP_001036827.1, NP_001166742.1	XP_011155335.1
OG0000085	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1	XP_025987478.1, XP_025987477.1
OG0000086	NP_001243984.1	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2
OG0000086	NP_001153674.1	XP_011155770.1
OG0000086	XP_004922188.1	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2
OG0000087	XP_004925118.1	XP_025989498.1, XP_011170042.2
OG0000088	XP_037876269.1, XP_037876266.1	XP_025996218.1, XP_039311698.1
OG0000091	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1	XP_011175219.1, XP_011175223.1, XP_011175233.1
OG0000092	NP_001040445.1	XP_011165503.1, XP_011175720.1, XP_011175721.1, XP_011175719.1, XP_011162964.1
OG0000093	XP_037867839.1, XP_037870131.1, XP_037877338.1, XP_037877592.1, XP_037871838.1, XP_037871837.1, XP_021204760.2	XP_025991744.2, XP_039309657.1
OG0000093	XP_037875612.1	XP_025997695.2, XP_039308825.1, XP_039312413.1
OG0000093	XP_037875268.1	XP_039313509.1, XP_039303479.1, XP_011161917.1
OG0000094	XP_037867226.1	XP_039303166.1
OG0000095	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1	NP_001291530.1, XP_039307299.1, XP_039307298.1, XP_011156878.1, XP_039307311.1, NP_001291531.1, XP_039312645.1, XP_039304610.1, XP_039304261.1, XP_039304262.1, XP_025997578.1, XP_039304282.1
OG0000096	XP_004933352.2	XP_011156409.1, XP_039313932.1
OG0000097	XP_012544532.1, XP_037871911.1, XP_004924657.1	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1, XP_025992182.1, XP_011159441.1
OG0000098	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1	XP_025996352.1
OG0000099	XP_012551708.2	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1
OG0000099	XP_004933046.1	XP_039314426.1
OG0000099	XP_037876655.1	XP_011164670.2
OG0000101	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1	XP_025989569.1
OG0000102	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1	XP_025989688.2, XP_025989699.1, XP_011164886.1, XP_011164887.1, XP_039303339.1, XP_039303337.1, XP_025989702.1, XP_025989701.1, XP_025989700.1, XP_011164888.1, XP_025989703.1
OG0000103	XP_037869904.1	XP_011161395.1
OG0000104	XP_037866955.1	XP_039310345.1
OG0000104	XP_037870985.1	XP_039310343.1, XP_025996626.2
OG0000104	XP_037866950.1, XP_012552626.1, XP_012544182.2, XP_037872901.1, XP_037873321.1, XP_037871127.1, XP_037870090.1, XP_012553302.2, XP_012550728.1	XP_011164584.2
OG0000104	XP_037866981.1	XP_039312444.1, XP_039309130.1
OG0000104	XP_037873359.1, XP_021203476.2, XP_037874889.1, XP_037868970.1, XP_037872913.1, XP_037867678.1, XP_004931267.2	XP_039309103.1
OG0000108	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1	XP_025985914.1
OG0000109	XP_021205885.1	XP_011157413.1, XP_011157412.1
OG0000110	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1
OG0000111	XP_037868928.1, XP_037868924.1, XP_004922902.1, XP_004931121.1	XP_039301713.1, XP_011165202.1, XP_025990766.2, NP_001291520.1
OG0000111	XP_004927517.1	XP_039308795.1
