Orthogroup	Bombyx_mori	Acyrthosiphon_pisum
OG0000015	XP_037871618.1	XP_029347976.1
OG0000015	XP_004927109.3	XP_003240824.1
OG0000016	XP_037875269.1, XP_037869058.1	XP_008179439.1, XP_008188179.1, XP_008189245.1
OG0000016	XP_037877372.1, XP_037872165.1, XP_037874047.1, XP_037867769.1, XP_037870018.1	XP_003246464.1, XP_016664689.1, XP_016664680.1, XP_008189553.1, XP_008188936.1, XP_008178850.1, XP_008186806.1, XP_008186808.1, XP_008186807.1, XP_008188747.1, XP_008182334.1, XP_008180312.1, XP_008185771.1, XP_016663778.1, XP_008184227.1
OG0000017	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1
OG0000018	XP_037871931.1, XP_037875232.1, XP_021205339.2, XP_037871705.1, NP_001243945.1, XP_037871800.1	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2
OG0000019	NP_001268819.1, XP_037869432.1, NP_001040220.1	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1
OG0000019	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2	XP_001952539.2
OG0000019	NP_001119718.1, XP_037872951.1, XP_004924270.3, XP_021204440.2, XP_004928788.2, XP_037874708.1, XP_012545204.1, XP_004927001.2, XP_021204176.1	XP_001947401.1
OG0000020	XP_021206581.1	XP_003244194.1
OG0000020	XP_012545030.1	XP_029343120.1, XP_029345653.1
OG0000020	XP_037867737.1	XP_008182108.1
OG0000020	XP_012552719.1, XP_021202222.1	XP_029344335.1, XP_016664934.1, XP_029344334.1, NP_001280338.1
OG0000020	XP_037874470.1, XP_037874469.1, XP_012548770.1	XP_029347131.1
OG0000020	XP_037867242.1, XP_012549186.1	XP_029343394.1
OG0000021	XP_004932475.1, XP_021207797.1	XP_001945018.2
OG0000021	XP_012546046.1	XP_001944401.2
OG0000021	XP_004926417.1	XP_016663029.1, XP_003240228.1, XP_029342725.1
OG0000021	XP_037869061.1, XP_037872785.1	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1
OG0000022	NP_001153666.1, NP_001036781.1	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2
OG0000023	NP_001153668.1	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1
OG0000024	XP_037872402.1, XP_004924130.1	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1
OG0000026	XP_037867257.1	XP_029342349.1, XP_029342350.1
OG0000026	XP_021205952.1, XP_037874519.1, XP_037874423.1	XP_029343074.1
OG0000026	XP_021204803.2	XP_029345451.1
OG0000026	XP_004929451.1, XP_012548588.1	XP_029342414.1
OG0000027	NP_001153669.1	NP_001156692.1
OG0000028	XP_037871212.1	XP_008189663.1, XP_008189981.1, XP_008183271.1, XP_029342081.1, XP_008180486.1
OG0000028	XP_037876627.1	XP_008186969.1
OG0000028	XP_037868125.1	XP_008178160.1, XP_008184707.1, XP_008188330.1
OG0000028	XP_037876866.1, XP_037874105.1, XP_037872934.1, XP_037868529.1, XP_037867214.1, XP_037877749.1, XP_037875622.1, XP_037873747.1, XP_037877519.1	XP_029341381.1
OG0000028	XP_037876479.1	XP_008185551.1, XP_029347940.1, XP_029347869.1, XP_008185413.1, XP_008180393.1, XP_008180395.1, XP_008184226.1, XP_008185676.1, XP_008182613.1, XP_008178496.1
OG0000028	XP_037870156.1	XP_008189619.1
OG0000029	NP_001036866.1, NP_001166691.1, NP_001166687.1	XP_016663309.2, XP_001952418.1
OG0000029	NP_001093082.1, NP_001166690.1, NP_001166689.1	NP_001165726.1, XP_001947860.1
OG0000030	XP_037875282.1	XP_001944359.2, XP_001946873.2, XP_016662847.1
OG0000030	XP_004926017.1	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2
OG0000030	XP_037875287.1, XP_004925987.1, XP_037875088.1, XP_037875087.1, XP_021203547.2, XP_037875086.1	XP_029346313.1, XP_003242308.1, XP_001948211.2, XP_001944515.2, XP_001946150.2, XP_029345605.1, XP_029346252.1
OG0000031	XP_037875263.1, XP_012545031.2, XP_037871454.1, XP_037866963.1, XP_037871337.1	XP_008183945.1, XP_008182759.1
OG0000031	XP_004933140.1	XP_008180356.1
OG0000031	XP_037868210.1	XP_029345261.1, XP_008181228.1, XP_008180311.1, XP_008180310.1, XP_008184183.1, XP_008179676.1, XP_029347837.1, XP_003241398.1, XP_003241866.1, XP_008180085.1, XP_008187487.1, XP_008178574.1, XP_008188525.1, XP_008186999.1, XP_008183387.1, XP_001946200.2, XP_008180732.1, XP_003240516.1, XP_008189979.1, XP_003243296.1, XP_008182748.2, XP_003247981.1, XP_029347324.1, XP_008184501.1, XP_008189653.1, XP_008185315.1, XP_008181501.1, XP_029347882.1, XP_001945611.2, XP_029348246.1, XP_008179617.1, XP_008181478.1, XP_008179338.1, XP_008189560.1, XP_008178728.1, XP_001947548.1, XP_008180308.1, XP_001948346.2, XP_008185496.1, XP_008188161.1, XP_008189772.2, XP_008190121.1, XP_029342251.1
OG0000032	XP_012545284.2, XP_021208619.1	XP_003246235.1, XP_001947862.2, XP_001948097.2, XP_003246236.1
OG0000032	XP_004931720.1	XP_003243898.1
OG0000032	XP_037875830.1	XP_016657725.1
OG0000033	XP_037868454.1, XP_037871213.1, XP_037866765.1, XP_037877017.1, XP_037870514.1	XP_008178807.1, XP_003241930.1, XP_008180283.1, XP_016659883.2, XP_008190219.1
OG0000033	XP_004925104.2, XP_004925103.1	XP_016655826.1
OG0000033	XP_021203082.2	XP_008182854.1, XP_029348025.1, XP_008178823.1, XP_008185411.1, XP_008186193.1, XP_016656274.2, XP_008182823.1, XP_008189784.1, XP_008180205.1, XP_029340974.1, XP_008182739.1
OG0000033	XP_037875893.1	XP_029340907.1, XP_029348688.1, XP_016664841.1, XP_008180201.1, XP_016661474.1, XP_008182425.1, XP_008181197.1, XP_016659542.1, XP_008188170.1
OG0000033	XP_037873002.1, XP_037872937.1, XP_037873482.1	XP_029345598.1
OG0000035	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1	XP_001951632.1, XP_016663720.1, XP_029345626.1
OG0000035	NP_001243964.1, NP_001243980.1	XP_001945842.2, XP_029345799.1, XP_029343210.1, XP_008186378.1, XP_029343209.1, XP_001943715.1, XP_001949845.2, XP_001949897.2, XP_029343092.1, XP_001952770.1
OG0000037	NP_001166634.1	XP_008187877.2, NP_001155504.1
OG0000037	NP_001166643.1	XP_003241041.1
OG0000037	NP_001166640.1, XP_021207417.1	XP_003243107.1, NP_001165431.1
OG0000037	NP_001166642.1	NP_001155507.1, XP_029343963.1
OG0000037	NP_001166626.1, NP_001166646.1, NP_001166657.1, NP_001166648.1, NP_001166659.1, NP_001166661.1	XP_003247374.1
OG0000037	NP_001166647.1, NP_001166654.1, NP_001166652.1, NP_001166656.1, NP_001166655.1, NP_001166651.1, NP_001166653.1, NP_001166650.1, XP_012550695.2, XP_037874610.1, NP_001166649.1, NP_001166658.1, NP_001166660.1, XP_037874849.1, XP_037874613.1, XP_037874612.1, NP_001166662.1	XP_008190010.1, NP_001165734.1
OG0000038	XP_021208028.1, NP_001036884.1	XP_001948685.1
OG0000038	XP_021205243.1	XP_001945695.1
OG0000038	NP_001036885.1	XP_003243865.1
OG0000039	XP_037877377.1, XP_037875720.1, XP_037875730.1, XP_037875679.1, XP_037877102.1, XP_037877190.1, XP_037877066.1	XP_016661651.1
OG0000041	XP_037872547.1	NP_001119672.1
OG0000041	NP_001119727.1	XP_008186344.1
OG0000041	NP_001119725.1, NP_001119724.1	NP_001136108.1, XP_001948457.2
OG0000041	NP_001119726.1, XP_037872546.1	XP_001948128.1
OG0000042	XP_004925565.1	XP_016662708.1, XP_008186444.1
OG0000042	NP_001296494.1, XP_021203267.2	NP_001191869.1, XP_029345377.1
OG0000042	NP_001296508.1, XP_037868172.1, NP_001037018.1, XP_012545279.1, XP_021205712.2, NP_001036971.1	NP_001191885.1, XP_008184085.1, NP_001191886.1, XP_001944248.1, NP_001119674.1, XP_008179499.1, XP_001943917.1
OG0000043	NP_001037067.1, NP_001037068.1	NP_001119652.1, NP_001128404.1, XP_029342103.1, NP_001119651.1
OG0000044	NP_001036834.1, NP_001037013.1, XP_037868605.1, NP_001104835.1, NP_001254654.1, NP_001266323.1	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2
OG0000044	NP_001296554.1	XP_008182457.2, XP_029342681.1, XP_001944764.2
OG0000045	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2
OG0000046	NP_001036837.1, XP_012547740.1	XP_008184380.1, NP_001156420.1
OG0000046	XP_004923548.1	XP_001949837.1
OG0000046	XP_037876891.1, XP_004933911.2, XP_037876874.1, NP_001296526.1, NP_001243928.1	XP_008190051.1, XP_001951915.1, XP_003248918.1, XP_001945786.2
OG0000046	NP_001036892.1	XP_001951207.1, XP_003244048.1
OG0000047	XP_037869855.1, XP_037866933.1, XP_037874605.1, XP_037869737.1, XP_037871249.1	XP_008188471.1, XP_008182780.1, XP_008182496.1, XP_008180759.1, XP_016661993.1, XP_029348003.1, XP_029342264.1, XP_029341344.1, XP_008178222.1, XP_008178291.1, XP_029341022.1
OG0000047	XP_037876380.1	XP_008188668.1
OG0000047	XP_012552278.1	XP_008181747.1, XP_008178517.2
OG0000047	XP_012552527.2, XP_037872680.1, XP_037876439.1, XP_037875038.1, XP_037876528.1	XP_003244703.1, XP_008189952.1, XP_008185493.1
OG0000050	NP_001165227.1, NP_001040466.1, XP_037875050.1, NP_001124352.1, NP_001116814.1, XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1, XP_004925199.1, XP_004924525.1, XP_004932947.1, NP_001040174.1	XP_008186168.1, XP_029344195.1
OG0000052	XP_012545178.1, NP_001036907.1, XP_037868558.1, XP_037868546.1, XP_012545207.2, XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1	XP_008180304.1, XP_008180303.1
OG0000052	XP_012545590.1, XP_012545589.1, XP_004925854.2, XP_004925855.2, XP_021203470.2, XP_004925899.1	XP_001949739.1, XP_001947560.2, XP_029343576.1, XP_001952551.3
OG0000052	XP_012545009.1, NP_001182634.1	XP_003243917.1, XP_001950194.2
OG0000053	XP_037869409.1, XP_037868996.1, XP_037875001.1	XP_016664280.1, XP_008185348.1, XP_008178180.1, XP_008182358.1, XP_029340918.1, XP_029347910.1, XP_029341493.1, XP_016656685.1, XP_016655893.1, XP_008189430.1, XP_029342375.1, XP_029347954.1, XP_008178600.1
OG0000054	XP_004931887.1, NP_001166720.1, NP_001040112.1, NP_001037001.1, XP_004932014.2, NP_001166726.1, NP_001166725.1, NP_001166727.1, NP_001166705.1, NP_001036835.1, NP_001166743.1, NP_001166724.1, XP_037874910.1	NP_001162107.1, XP_003243273.1, NP_001233051.1
OG0000055	XP_012548893.1, NP_001036959.1	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1
OG0000056	XP_037866675.1	XP_029341785.1, XP_016658856.2
OG0000056	XP_037872689.1	XP_029347390.1, XP_029340985.1
OG0000056	XP_037871311.1	XP_029341336.1
OG0000056	XP_037873641.1	XP_029345472.1, XP_029341337.1
OG0000057	NP_001036887.1, NP_001036964.1	NP_001177327.1
OG0000057	XP_012545698.1	XP_001951158.2
OG0000057	NP_001036888.1	XP_008190203.1
OG0000057	XP_012548036.1, XP_004922155.1	XP_001943593.2
OG0000059	XP_037867705.1, XP_037869003.1, XP_012553005.2, XP_037876015.1, XP_012551329.2	XP_016664883.1
OG0000059	XP_037876954.1, XP_037869306.1, XP_037869305.1, XP_037876953.1, XP_037868417.1	XP_029348073.1, XP_008183710.1, XP_008189178.1, XP_016656694.1, XP_016656071.1, XP_003241793.2, XP_003245816.1
OG0000059	XP_037876022.1	XP_029348016.1
OG0000059	XP_037867542.1	XP_016658809.1
OG0000060	XP_004925993.2	XP_029341750.1
OG0000060	XP_021206640.1, XP_004930776.1	XP_016660546.1
OG0000061	XP_012551685.2	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1
OG0000062	XP_021205992.1, NP_001091767.1, XP_004923510.1, XP_037876893.1, XP_004933665.1, NP_001036941.1, NP_001036984.1, NP_001091794.1, XP_037877361.1, XP_037877362.1, NP_001037038.1, NP_001036942.1	XP_001951309.3
OG0000063	XP_037869408.1, XP_037875862.1, XP_037867560.1, XP_037877026.1, XP_037868831.1, XP_037869779.1, XP_037870303.1, XP_037873338.1, XP_037876423.1, XP_037875121.1, XP_037875120.1, XP_037869757.1, XP_037869756.1, XP_037869471.1, XP_037869470.1, XP_037868509.1, XP_037869469.1	XP_016664961.2, XP_029340921.1, XP_016660863.1, XP_016658201.1, XP_016657235.1, XP_016657234.1
OG0000063	XP_037868526.1	XP_016658134.1, XP_016656082.2
OG0000065	XP_004931596.1	XP_001943808.2
OG0000065	NP_001037610.1, XP_037869237.1, XP_037869334.1, XP_012550936.1, XP_037869425.1, XP_037869333.1, XP_004921651.2	XP_001950981.1
OG0000066	XP_012545514.1	XP_008180330.1, XP_008184253.1, XP_008178157.1, XP_008182364.1, XP_008182864.1, XP_029341012.1, XP_008179068.1, XP_016656442.1, XP_016656220.2, XP_008179054.1, XP_008189844.1, XP_029341034.1, XP_029348339.1, XP_029341294.1, XP_008180143.1, XP_016660748.1, XP_008181152.1
OG0000067	XP_004931451.1	XP_001948642.2
OG0000067	NP_001037582.1	XP_016658458.1
OG0000067	XP_037877745.1	XP_008185788.1
OG0000068	XP_037874020.1, XP_037872197.1, XP_037869750.1, XP_037871166.1, XP_037875193.1, XP_037876756.1, XP_037866563.1, XP_037872930.1, XP_037876933.1, XP_037877833.1, XP_037876934.1, XP_004925088.1	XP_029347552.1, XP_008189569.1, XP_008189919.1, XP_008180901.1, XP_008178178.1, XP_029341144.1, XP_029347880.1, XP_008187871.1, XP_016659884.1, XP_016657197.1, XP_029345884.1, XP_008189496.1, XP_008189440.2, XP_008180374.2, XP_008178347.1, XP_008188040.1, XP_029348292.1, XP_003240991.1, XP_008178262.2, XP_001950353.1, XP_029340937.1, XP_008179536.1, XP_008189589.1, XP_008189701.1, XP_008182319.1, XP_029347920.1
OG0000068	XP_037869744.1	XP_016657551.1, XP_029341046.1, XP_029348450.1, XP_008178491.1, XP_029341860.1, XP_008178156.1, XP_029345390.1, XP_008187441.1, XP_016659110.1, XP_008179271.1, XP_008182278.1, XP_029347775.1, XP_008182019.1, XP_029347896.1, XP_029348337.1
OG0000069	NP_001243973.1	XP_029344273.1
OG0000071	XP_004930894.1	XP_016655856.1, XP_008178182.1
OG0000071	XP_012551633.2, XP_012549673.2, XP_037868447.1, XP_037870552.1, XP_037869876.1, XP_037873665.1	XP_003241663.1, XP_003240827.1, XP_029340941.1, XP_008182764.1, XP_029340970.1
OG0000071	XP_037870942.1, XP_012547423.2	XP_008189487.1, XP_029348217.1
OG0000071	XP_004923068.2	XP_029347179.1, XP_003241471.1, XP_008181650.1, XP_016659302.1, XP_008182426.1, XP_008188257.1
OG0000072	XP_037866767.1	XP_029346399.1
OG0000074	XP_037875797.1	XP_029344853.1, XP_029345069.1, XP_016655841.1, XP_016655840.1, XP_029345083.1, XP_029345084.1, XP_029342157.1, XP_029345068.1, XP_008189736.3, XP_003248965.2, XP_003248702.1, XP_029342723.1, XP_029345751.1, XP_003244613.1, XP_008185438.1, XP_003240403.1, XP_029344854.1, XP_016661523.1, XP_029345888.1, XP_029348279.1, XP_029345085.1, XP_008185021.1, XP_029341723.1, XP_029341728.1, XP_029341729.1, XP_029344850.1, XP_001946490.2, XP_016661868.1, XP_029342388.1, XP_003246142.3, XP_016661519.1, XP_008181131.2, XP_029346353.1, XP_029346354.1, XP_029341136.1, XP_016661865.2, XP_029345078.1, XP_016663995.1, XP_008181949.2, XP_016658567.1, XP_016658569.1, XP_029345073.1, XP_029345045.1, XP_029345061.1, XP_029345058.1, XP_029342395.1, XP_029342396.1, XP_029342397.1, XP_008188177.1, XP_016664028.1, XP_016664027.1, XP_001942568.2, XP_016659718.1, XP_029343824.1
OG0000075	XP_037868115.1, XP_037870991.1	XP_016662368.1
OG0000076	XP_037874430.1	XP_029348282.1, XP_016664554.1, XP_016664857.1, XP_008189029.1
OG0000076	XP_037869185.1, XP_037874698.1, XP_037877095.1	XP_016665027.1, XP_008181388.1, XP_008180705.1, XP_008188615.1, XP_016655725.1, XP_016663518.1, XP_008190113.1, XP_008182501.1
OG0000077	XP_037870080.1	XP_001945190.2
OG0000077	NP_001037478.1	XP_008187030.1
OG0000077	NP_001037476.1	XP_029347274.1, XP_029346963.1, XP_029346913.1
OG0000079	XP_004925192.2	XP_001949542.2
OG0000080	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1	XP_001952817.1, XP_003241505.1
OG0000080	XP_037874734.1	XP_003240094.1
OG0000084	XP_012550708.1, NP_001166718.1	NP_001155431.1
OG0000084	NP_001036869.1	NP_001156310.1
OG0000084	NP_001166715.1, XP_021207423.1, NP_001166714.1, NP_001036828.1, NP_001166712.1, NP_001166744.1, NP_001036827.1, NP_001166742.1	NP_001155786.1
