Orthogroup	Apis_mellifera	Polistes_dominula
OG0000008	XP_006565046.2	XP_015180320.1
OG0000008	XP_396549.3	XP_015182812.1
OG0000008	XP_003250567.1	XP_015180322.1, XP_015180321.1, XP_015180323.1
OG0000008	XP_016769477.1	XP_015180324.1, XP_015180325.1
OG0000009	XP_006562365.2	XP_015177367.1
OG0000009	XP_006562363.1, XP_006562364.1, XP_392000.1, XP_026300962.1	XP_015177306.1, XP_015177200.1, XP_015177307.1, XP_015177305.1
OG0000012	XP_026297101.1, XP_026297165.1	XP_015181463.1
OG0000012	XP_026301256.1	XP_015184231.1
OG0000012	XP_026301257.1	XP_015181630.1
OG0000012	XP_016772201.1, XP_016772200.1	XP_015184244.1
OG0000013	XP_003251619.1, XP_001120132.1	XP_015172623.1
OG0000013	XP_006570899.1	XP_015174269.1
OG0000013	XP_006563134.1, XP_624499.1	XP_015172185.1
OG0000014	XP_003251627.1, XP_006570861.2	XP_015177523.1
OG0000018	XP_393750.5	XP_015184408.1
OG0000018	XP_006566761.2, XP_026299796.1, XP_006566764.2, XP_006566762.2, XP_006566763.2	XP_015186827.1
OG0000018	XP_026299794.1	XP_015186828.1
OG0000018	XP_006563569.1	XP_015175602.1
OG0000019	XP_026299702.1	XP_015184618.1, XP_015184619.1, XP_015189804.1, XP_015189805.1
OG0000019	XP_006572051.3	XP_015182221.1, XP_015189673.1
OG0000020	XP_006569751.2	XP_015183576.1
OG0000020	XP_026301504.1	XP_015183590.1
OG0000020	XP_006560785.2	XP_015171445.1
OG0000020	XP_026300927.1	XP_015181633.1
OG0000022	XP_624700.1	XP_015173497.1
OG0000022	XP_001120346.1	XP_015179778.1, XP_015177598.1
OG0000024	XP_026299083.1, XP_001120613.2	XP_015188584.1, XP_015188403.1, XP_015171793.1
OG0000024	XP_016773395.2	XP_015182123.1
OG0000024	NP_001011620.1	XP_015181824.1
OG0000025	XP_026301735.1, XP_026301782.1, XP_026300570.1	XP_015189686.1
OG0000025	XP_026294993.1, XP_026295496.1	XP_015189019.1
OG0000026	XP_392530.3	XP_015181461.1, XP_015181460.1
OG0000026	XP_006557594.2	XP_015174903.1
OG0000026	XP_003251584.1	XP_015187302.1
OG0000027	XP_003251624.1, XP_016773376.1	XP_015172634.1
OG0000027	XP_006570863.1	XP_015190876.1, XP_015177661.1, XP_015177662.1, XP_015172645.1
OG0000029	NP_001257750.1	XP_015185507.1
OG0000029	NP_001257749.1	XP_015172137.1
OG0000030	NP_001177849.1, XP_006572276.1	XP_015180792.1, XP_015180789.1, XP_015172637.1
OG0000030	XP_026300187.1	XP_015187915.1, XP_015185971.1, XP_015185973.1, XP_015185974.1, XP_015185972.1, XP_015189947.1, XP_015189898.1, XP_015186637.1, XP_015189768.1, XP_015189842.1, XP_015186005.1, XP_015189795.1, XP_015189846.1, XP_015177899.1, XP_015186006.1, XP_015189579.1, XP_015189757.1, XP_015189580.1, XP_015189727.1, XP_015189305.1, XP_015189905.1, XP_015189578.1, XP_015186638.1
OG0000032	XP_026298886.1	XP_015182537.1, XP_015182533.1
OG0000034	XP_026299312.1, NP_001229915.1, NP_001229914.1, XP_026299613.1, XP_016770782.1, XP_016770780.1, XP_016770788.1	XP_015185288.1
OG0000035	XP_392319.3	XP_015172482.1
OG0000036	XP_016771997.1, XP_001120999.2, XP_006563421.1, NP_001035360.1	XP_015175890.1
OG0000036	XP_006563422.1	XP_015174610.1
OG0000036	XP_001121077.2	XP_015174768.1
OG0000037	NP_001257751.1	XP_015184679.1
OG0000038	XP_006567025.1	XP_015179360.1
OG0000038	XP_394092.3	XP_015179091.1
OG0000038	XP_006563567.1	XP_015185565.1
OG0000038	XP_026300252.1	XP_015184119.1
OG0000040	XP_026297199.1	XP_015176238.1
OG0000040	XP_394370.2	XP_015175500.1
OG0000041	NP_001172074.1, NP_001172075.1	XP_015182473.1, XP_015182472.1
OG0000041	XP_026296530.1	XP_015179142.1
OG0000041	XP_016767697.1	XP_015179141.1
OG0000042	XP_026296155.1, XP_026296156.1, XP_026296157.1, XP_026296158.1, XP_006571892.1, XP_623925.2, XP_026296164.1, XP_026296165.1	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1
OG0000042	XP_026295892.1, XP_026295893.1	XP_015171717.1, XP_015171718.1, XP_015171719.1
OG0000043	XP_016768084.1, NP_001071287.1	XP_015177490.1, XP_015177491.1
OG0000043	XP_006557941.1, NP_001071282.1	XP_015187201.1
OG0000044	XP_006565547.1	XP_015184594.1
OG0000044	XP_006565537.1	XP_015184599.1
OG0000045	NP_001035326.1	XP_015183311.1, XP_015183284.1
OG0000045	NP_001035349.1	XP_015173221.1
OG0000045	NP_001011608.1	XP_015183312.1
OG0000045	XP_006564814.1, XP_026296732.1, XP_006564813.1	XP_015172085.1
OG0000046	NP_001153524.1	XP_015179269.1
OG0000046	NP_001153522.1	XP_015177712.1
OG0000046	NP_001153544.1	XP_015174688.1, XP_015174687.1
OG0000048	XP_026298613.1	XP_015178594.1
OG0000048	XP_006567535.1	XP_015178617.1
OG0000050	XP_026299635.1, XP_392696.5	XP_015187332.1, XP_015175623.1
OG0000052	XP_006570493.1	XP_015175045.1
OG0000054	NP_001257759.1	XP_015175390.1
OG0000054	NP_001257754.1, NP_001257753.1	XP_015175295.1, XP_015175296.1, XP_015175389.1
OG0000055	XP_016771370.1	XP_015176664.1
OG0000055	XP_393860.4	XP_015173765.1, XP_015173767.1
OG0000056	XP_026297251.1	XP_015176704.1
OG0000056	XP_026301167.1	XP_015175416.1
OG0000056	XP_026297087.1	XP_015181793.1
OG0000056	XP_026296769.1	XP_015173622.1
OG0000056	XP_026299492.1	XP_015181325.1
OG0000057	XP_392313.1	XP_015171970.1
OG0000057	XP_026300739.1	XP_015173587.1
OG0000057	XP_394471.1	XP_015171878.1
OG0000057	XP_394469.1	XP_015171877.1
OG0000058	XP_026294942.1	XP_015182294.1, XP_015182349.1, XP_015182350.1
OG0000060	XP_006565271.2, XP_006565270.3, XP_026300076.1, XP_026300077.1, XP_016770937.2, XP_016770938.2	XP_015185766.1, XP_015185775.1
OG0000060	NP_001180219.1, XP_006565210.1	XP_015181080.1, XP_015181079.1
OG0000061	XP_397017.3	XP_015188543.1
OG0000061	XP_624322.1, XP_016773033.1	XP_015177990.1
OG0000062	XP_006568238.2	XP_015179445.1
OG0000062	XP_001119884.1	XP_015173092.1
OG0000062	XP_001120194.1	XP_015178479.1
OG0000064	XP_016770849.2, NP_001229916.1, XP_026299914.1, NP_001229917.1, XP_006562273.2, XP_006562271.1, XP_016771123.1	XP_015178584.1, XP_015185301.1, XP_015185287.1, XP_015185289.1, XP_015185300.1
OG0000066	XP_006569791.3	XP_015189741.1, XP_015189693.1, XP_015189896.1, XP_015176551.1
OG0000067	XP_006561513.1	XP_015179349.1
OG0000067	XP_026300867.1	XP_015185638.1
OG0000067	XP_026299464.1	XP_015180637.1
OG0000067	XP_395774.2	XP_015182629.1
OG0000069	XP_006564460.2, XP_392727.4	XP_015175625.1
OG0000069	XP_016770442.2	XP_015175624.1
OG0000070	NP_001229918.1	XP_015181189.1
OG0000073	XP_003251791.2	XP_015173919.1
OG0000074	XP_001120594.2	XP_015188226.1, XP_015188225.1, XP_015174533.1, XP_015179365.1, XP_015174735.1
OG0000077	XP_006567467.1	XP_015188023.1
OG0000077	XP_395426.5	XP_015179002.1, XP_015185970.1
OG0000078	XP_006572184.2, XP_026294928.1, XP_026294834.1	XP_015185284.1, XP_015185291.1, XP_015185285.1
OG0000079	XP_026295828.1	XP_015176401.1
OG0000079	XP_006562781.1	XP_015176392.1
OG0000080	XP_397228.2	XP_015185202.1, XP_015185201.1, XP_015185203.1
OG0000080	XP_623221.2	XP_015188705.1, XP_015188706.1
OG0000080	XP_006559470.1	XP_015185196.1
OG0000082	XP_006565018.1	XP_015175969.1
OG0000082	XP_026300908.1, XP_006565021.2, XP_006565022.2, XP_016773421.2	XP_015175968.1
OG0000084	NP_001257744.1	XP_015180887.1
OG0000084	NP_001257743.1	XP_015180880.1
OG0000085	XP_394579.2	XP_015172015.1
OG0000086	XP_016772088.2	XP_015175698.1
OG0000087	XP_624353.1	XP_015179311.1
OG0000088	XP_006566240.1, XP_006566239.1, XP_026299220.1	XP_015175828.1
OG0000089	XP_003249883.2, XP_016768850.2	XP_015191649.1
OG0000089	XP_001120425.1	XP_015191842.1
OG0000091	XP_026299597.1, XP_026299596.1	XP_015190282.1, XP_015190273.1
OG0000092	XP_006558182.1, XP_396653.1	XP_015171266.1
OG0000092	XP_396654.1, XP_016768016.1	XP_015171261.1
OG0000092	XP_006560146.1	XP_015180692.1
OG0000094	XP_394160.3, XP_016770351.2	XP_015176150.1, XP_015184885.1
OG0000094	XP_026299983.1	XP_015189233.1
OG0000094	XP_006572211.1	XP_015175380.1
OG0000095	XP_006564430.1	XP_015179352.1, XP_015179379.1, XP_015187338.1, XP_015179387.1, XP_015179306.1, XP_015187259.1, XP_015179367.1, XP_015179368.1, XP_015179309.1, XP_015188211.1, XP_015188462.1, XP_015189731.1, XP_015177511.1, XP_015177513.1, XP_015177512.1, XP_015188691.1, XP_015189818.1, XP_015188693.1
OG0000096	XP_026300868.1	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1
OG0000096	XP_003250667.2, XP_006562163.1	XP_015178304.1
OG0000097	XP_006566906.1, NP_001011628.1	XP_015172032.1, XP_015172041.1
OG0000097	NP_001014993.1	XP_015182319.1, XP_015182320.1, XP_015177848.1
OG0000098	XP_006561279.1	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1
OG0000099	XP_026301459.1	XP_015176643.1
OG0000099	XP_026301457.1, XP_026301458.1	XP_015176645.1
OG0000099	XP_006563474.1	XP_015179938.1
OG0000100	XP_026300139.1, XP_026300138.1, XP_026300137.1, XP_026300136.1	XP_015189083.1, XP_015189082.1, XP_015189085.1, XP_015189084.1, XP_015189086.1, XP_015189080.1, XP_015189081.1
OG0000101	XP_016769181.1	XP_015184968.1
OG0000101	XP_016769182.2	XP_015178204.1, XP_015178201.1
OG0000102	XP_026298009.1	XP_015177204.1
OG0000102	XP_016768868.1, XP_006559629.1	XP_015177232.1
OG0000103	XP_395932.2, XP_016769753.1, XP_006559124.1, XP_006559125.1	XP_015173914.1
OG0000103	XP_026298877.1	XP_015174400.1, XP_015174392.1
OG0000103	XP_006558409.1, XP_016770073.1, XP_006558410.1	XP_015174420.1, XP_015174451.1, XP_015174437.1, XP_015174429.1, XP_015174443.1, XP_015174411.1
OG0000106	XP_001120660.2	XP_015189668.1
OG0000107	XP_006570363.1	XP_015172211.1, XP_015172212.1
OG0000108	XP_026296997.1, XP_026296995.1, XP_026296996.1	XP_015181990.1, XP_015182011.1, XP_015191850.1
OG0000109	XP_006568159.1, XP_396912.1, XP_026300511.1, XP_006568157.1	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1
OG0000110	XP_016771484.1, XP_026300877.1	XP_015177093.1
OG0000110	XP_016771820.2	XP_015180892.1
OG0000111	XP_016767388.2	XP_015175971.1
OG0000111	XP_016769305.2	XP_015188005.1
OG0000112	XP_016770669.1	XP_015188234.1, XP_015188235.1, XP_015188236.1
OG0000112	XP_395840.2	XP_015180272.1, XP_015180273.1
OG0000113	XP_001120149.1	XP_015185884.1
OG0000113	XP_001121347.2	XP_015172979.1, XP_015172980.1
OG0000114	XP_026296673.1	XP_015171119.1
OG0000115	NP_001153742.1, XP_026295756.1, NP_001136128.1, XP_006560566.1	XP_015171184.1, XP_015171185.1
OG0000116	XP_001119871.2, XP_006567638.1, XP_006567639.1, XP_006567636.1	XP_015173852.1, XP_015173854.1, XP_015173853.1
OG0000117	XP_006566844.1	XP_015176195.1
OG0000117	XP_016769650.1, XP_006561716.1, XP_006561714.1, XP_006561715.1, XP_006561713.1	XP_015171648.1, XP_015171595.1
OG0000119	XP_006567540.1, XP_006567591.1, XP_016769352.1, XP_016769353.1	XP_015178611.1, XP_015178609.1, XP_015178605.1, XP_015178601.1
OG0000120	XP_026300994.1, XP_026300993.1, XP_026300992.1, XP_396662.2, XP_006559344.1	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1
OG0000122	XP_396281.5	XP_015172102.1
OG0000122	XP_006569022.1	XP_015172140.1
OG0000123	XP_026296924.1, XP_026296929.1, XP_026296930.1, XP_026296925.1, XP_026296926.1, XP_026296927.1, XP_026296928.1	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1
OG0000124	XP_026297158.1, XP_026297157.1, XP_026297160.1, XP_026297159.1	XP_015173329.1, XP_015173327.1, XP_015173328.1
OG0000125	XP_016768147.1, XP_393208.1	XP_015191429.1
OG0000126	XP_016772382.1, NP_001011571.1	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1
OG0000127	XP_006570777.1, XP_016771428.1, XP_016771429.1, XP_001122616.1	XP_015189033.1
OG0000127	XP_396819.2	XP_015188504.1
OG0000129	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571984.1, XP_006571986.1	XP_015185341.1, XP_015185342.1
OG0000130	XP_006568433.1, XP_006568428.1	XP_015177984.1
OG0000130	XP_394686.4	XP_015177985.1, XP_015177986.1
OG0000130	XP_026297554.1, XP_394687.3, XP_006565573.1	XP_015178018.1, XP_015178019.1
OG0000131	XP_006564418.1	XP_015188702.1
OG0000131	XP_392990.2	XP_015181077.1, XP_015181078.1
OG0000132	XP_006569358.1, XP_006569359.1, XP_016767260.1	XP_015173499.1, XP_015173500.1
OG0000132	XP_006567280.1, XP_006567283.1, XP_006567281.1	XP_015188177.1
OG0000133	XP_026295597.1, XP_026295595.1, XP_026295600.1, XP_026295601.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295596.1	XP_015173823.1
OG0000133	XP_006571481.2	XP_015171178.1
OG0000135	XP_392723.3	XP_015176354.1
OG0000135	XP_006570858.1, XP_026300893.1	XP_015190379.1, XP_015190377.1, XP_015190378.1
OG0000136	XP_001123230.2, XP_001122953.3, XP_026298823.1, XP_003251589.1, XP_006570633.1, XP_006570637.2	XP_015182073.1
OG0000137	XP_016768164.1, XP_016768165.1, XP_393390.3, XP_016768163.1	XP_015174184.1
OG0000138	XP_006561534.1	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1
OG0000138	XP_006561540.1	XP_015181777.1
OG0000139	XP_026302052.1	XP_015184449.1
OG0000140	XP_006565855.1, XP_006565854.1, XP_006565856.1	XP_015172454.1
OG0000141	XP_396377.3, XP_016771703.1	XP_015172584.1
OG0000141	XP_393772.4	XP_015178844.1, XP_015178845.1
OG0000142	XP_026300389.1, XP_026300390.1	XP_015177690.1
OG0000143	XP_394342.1	XP_015188708.1
OG0000143	XP_001120755.1, XP_006568273.1, XP_006568272.1, XP_006568271.1, XP_016766288.1	XP_015188709.1, XP_015188710.1
OG0000144	NP_001092187.1	XP_015177945.1
OG0000144	NP_001104234.1	XP_015177942.1
OG0000145	XP_006571519.1, NP_001128406.1	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1
OG0000145	XP_006557552.1, NP_001011643.1	XP_015191830.1, XP_015191831.1, XP_015191832.1
OG0000146	XP_006569990.1, XP_001120801.1	XP_015178326.1, XP_015178324.1
OG0000147	XP_026301958.1	XP_015188786.1, XP_015188787.1, XP_015188785.1, XP_015188788.1
OG0000149	XP_624573.2	XP_015183082.1
OG0000149	XP_006560541.1	XP_015183081.1, XP_015183080.1, XP_015183079.1
OG0000150	XP_006565287.1, XP_006565286.1, XP_006565285.1, XP_006565289.1, XP_006565288.1, XP_393853.1	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1
OG0000151	XP_026295481.1, XP_026295482.1, XP_026295477.1, XP_026295478.1, XP_026295479.1, XP_026295480.1, XP_026295483.1	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1
OG0000152	XP_016768964.1, XP_006564637.1, XP_006564641.1, XP_006564638.1, XP_006564639.1, XP_006564640.1	XP_015177279.1
OG0000153	XP_006557622.1	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1
OG0000154	XP_003249939.3	XP_015178505.1, XP_015178503.1, XP_015178507.1, XP_015178506.1
OG0000156	XP_006570154.1, XP_016768502.1, XP_016768504.1, XP_016768503.1	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1
OG0000157	XP_016771274.2	XP_015176246.1
OG0000158	XP_026295419.1, XP_026296654.1	XP_015180258.1, XP_015180556.1, XP_015179489.1
OG0000158	XP_026296664.1	XP_015179488.1
OG0000160	XP_006570492.2	XP_015185930.1
OG0000161	NP_001011563.1	XP_015176784.1
OG0000162	NP_001091691.1, XP_006562616.1	XP_015186367.1
OG0000162	NP_001091690.1, XP_026298411.1	XP_015182682.1
OG0000164	XP_016768018.2	XP_015191636.1
OG0000164	XP_006558190.2	XP_015191588.1
OG0000165	XP_006559859.1, XP_006559861.1, XP_006559860.1, XP_396828.2	XP_015185448.1
OG0000165	XP_006566324.1	XP_015174982.1
OG0000166	XP_016766244.2, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_006569176.3, XP_006569170.3	XP_015173109.1, XP_015173102.1, XP_015173096.1, XP_015173094.1, XP_015173098.1
OG0000168	XP_016766381.2	XP_015190714.1, XP_015190715.1
OG0000169	XP_026296993.1	XP_015174834.1, XP_015178625.1, XP_015181526.1
OG0000170	XP_006566077.2	XP_015191097.1, XP_015191098.1
OG0000171	XP_623922.2	XP_015174730.1
OG0000172	XP_006565262.1, XP_006565259.1, XP_006565261.1	XP_015184112.1, XP_015184114.1, XP_015184115.1, XP_015184116.1, XP_015184111.1
OG0000173	XP_006560020.1, XP_006560019.1	XP_015173985.1, XP_015173987.1, XP_015173988.1, XP_015173989.1
OG0000174	XP_394018.2	XP_015191732.1, XP_015191730.1, XP_015191731.1
OG0000175	XP_026300817.1, XP_026300815.1, XP_006560073.1, XP_006560074.1, XP_623977.2, XP_026300816.1	XP_015184505.1, XP_015184496.1, XP_015184487.1, XP_015184522.1, XP_015184514.1
OG0000176	XP_003251204.1	XP_015179485.1
OG0000177	XP_001121910.1	XP_015191041.1
OG0000177	XP_016770327.1, XP_006566372.1	XP_015190999.1
OG0000178	XP_026295366.1, XP_026295349.1, XP_026295348.1, XP_026295362.1, XP_026295342.1, XP_026295361.1, XP_026295350.1, XP_026295334.1, XP_026295368.1, XP_026295335.1, XP_026295343.1, XP_026295364.1, XP_026295345.1, XP_026295336.1, XP_026295367.1, XP_026295337.1, XP_026295352.1, XP_026295365.1, XP_026295333.1, XP_026295341.1, XP_026295331.1, XP_026295372.1, XP_026295340.1, XP_026295353.1, XP_026295370.1, XP_026295354.1, XP_026295358.1, XP_026295347.1, XP_026295355.1, XP_026295363.1, XP_026295346.1, XP_026295344.1, XP_026295359.1, XP_026295351.1, XP_026295338.1, XP_026295339.1, XP_026295369.1, XP_026295332.1, XP_026295356.1, XP_026295371.1, XP_026295357.1, XP_026295360.1	XP_015179140.1
OG0000179	XP_026301506.1	XP_015183599.1
OG0000179	XP_393381.2	XP_015184549.1
OG0000179	XP_001119897.1	XP_015181406.1
OG0000180	XP_006559502.1, XP_006559501.1, XP_393573.1, XP_016769007.1, XP_016769006.1	XP_015171486.1, XP_015171485.1, XP_015171484.1
OG0000181	XP_393751.2, XP_006570397.2, XP_016770282.2	XP_015183736.1, XP_015183737.1, XP_015183738.1, XP_015183741.1, XP_015183739.1, XP_015183735.1
OG0000182	XP_006561855.2	XP_015177676.1, XP_015177666.1, XP_015177685.1, XP_015177651.1, XP_015177659.1
OG0000183	XP_026298476.1, XP_026298477.1	XP_015175162.1
OG0000183	XP_395404.2	XP_015181592.1
OG0000185	XP_003250560.1	XP_015175891.1, XP_015175892.1, XP_015175893.1
OG0000185	XP_006565025.1	XP_015175804.1
OG0000186	XP_001119981.4	XP_015183983.1, XP_015183981.1
OG0000187	XP_016769442.2	XP_015180155.1, XP_015180146.1, XP_015180136.1
OG0000188	XP_395697.2	XP_015176881.1
OG0000190	XP_006563703.1, XP_006563702.1, XP_006563701.1, XP_006563700.1	XP_015184945.1
OG0000191	XP_026301152.1	XP_015179465.1, XP_015179466.1
OG0000192	XP_006557723.1, XP_396406.5, XP_006557720.1	XP_015178452.1
OG0000194	XP_003249950.2	XP_015173607.1
OG0000194	NP_001257752.1	XP_015173634.1
OG0000194	XP_006561931.1, XP_016769566.1, XP_016769565.2	XP_015181334.1, XP_015181335.1
OG0000196	XP_003250051.2	XP_015178964.1
OG0000196	XP_003251169.1, XP_016771426.1	XP_015174639.1
OG0000198	XP_006566997.1, XP_624772.2	XP_015173178.1
OG0000200	XP_026296548.1	XP_015187594.1
OG0000200	XP_006566649.2, XP_006566650.1	XP_015178431.1, XP_015178427.1
OG0000202	XP_006558615.1	XP_015177652.1, XP_015177653.1, XP_015177655.1, XP_015177654.1
OG0000203	XP_623676.2	XP_015176004.1
OG0000203	XP_006558107.2, XP_395356.4	XP_015174579.1, XP_015174578.1
OG0000204	XP_001121814.2	XP_015182497.1, XP_015177887.1
OG0000205	XP_016766914.1	XP_015183111.1, XP_015183110.1
OG0000206	XP_026300186.1	XP_015186290.1, XP_015186291.1
OG0000207	XP_006566311.1	XP_015175962.1
OG0000207	NP_001011652.1	XP_015186420.1, XP_015186417.1
OG0000208	XP_006562317.1	XP_015186385.1
OG0000208	XP_625189.3	XP_015173568.1
OG0000209	XP_016769475.1, XP_016769473.1, XP_016769472.1, XP_016769471.1, XP_016769470.1, XP_016769476.1, XP_016769474.1	XP_015184955.1
OG0000210	XP_026297186.1	XP_015177416.1
OG0000210	XP_016769921.1	XP_015180468.1
OG0000210	XP_006562251.2	XP_015185061.1
OG0000212	XP_001121043.2	XP_015179526.1, XP_015179527.1
OG0000212	XP_026298300.1	XP_015185495.1
OG0000213	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1	XP_015189481.1
OG0000214	XP_623084.1	XP_015190491.1
OG0000214	XP_392104.4	XP_015175994.1
OG0000215	XP_016772012.1	XP_015185000.1
OG0000215	XP_394061.2	XP_015185001.1
OG0000216	XP_016767691.1	XP_015185916.1
OG0000217	XP_394861.4	XP_015186718.1
OG0000218	XP_623312.2	XP_015174590.1, XP_015174588.1, XP_015174591.1
OG0000219	XP_392277.4, XP_006563970.2	XP_015173758.1, XP_015173757.1, XP_015173756.1
OG0000221	XP_006571382.1	XP_015184406.1
OG0000223	NP_001157186.1, XP_016769330.2	XP_015186521.1
OG0000223	XP_001121634.3	XP_015178968.1
OG0000225	XP_006567210.2	XP_015176375.1
OG0000227	XP_006562291.2, XP_006562294.2, XP_006562293.2, XP_016770836.2	XP_015177648.1, XP_015177645.1
OG0000229	XP_001121505.2	XP_015186538.1
OG0000230	XP_026300638.1, XP_026300637.1	XP_015187246.1, XP_015187244.1, XP_015187242.1, XP_015187243.1
OG0000231	XP_006562424.1	XP_015174418.1, XP_015174419.1
OG0000232	XP_393976.2, XP_006563043.1, XP_006563042.1	XP_015185539.1, XP_015185538.1, XP_015185537.1
OG0000233	XP_001120116.2, XP_016768768.2, XP_397073.5, XP_026300288.1	XP_015178474.1
OG0000235	XP_026294767.1, XP_026294798.1, XP_026294810.1	XP_015191589.1
OG0000236	NP_001011639.2	XP_015175604.1, XP_015175605.1
OG0000236	NP_001071293.1	XP_015175615.1
OG0000237	XP_006559356.1	XP_015171667.1
OG0000237	XP_006559358.1	XP_015171630.1
OG0000239	XP_006560473.1, XP_623685.1	XP_015190308.1, XP_015190309.1, XP_015189352.1
OG0000240	XP_001122105.4	XP_015173344.1, XP_015173331.1, XP_015173359.1
OG0000243	XP_026297086.1	XP_015174530.1
OG0000244	XP_026300900.1	XP_015179576.1, XP_015179577.1, XP_015179580.1, XP_015179579.1, XP_015179578.1
OG0000245	NP_001011627.1	XP_015189008.1
OG0000246	XP_394115.2	XP_015179151.1
OG0000246	XP_006563197.1	XP_015182115.1, XP_015182116.1
OG0000247	XP_006562263.2	XP_015191855.1, XP_015191854.1
OG0000248	XP_026299493.1	XP_015175042.1, XP_015182680.1
OG0000249	XP_026298733.1	XP_015187603.1, XP_015190237.1, XP_015190236.1
OG0000250	XP_625112.2	XP_015190042.1
OG0000250	NP_001314882.1, XP_016773049.1	XP_015172559.1, XP_015172558.1
OG0000251	XP_003250675.2	XP_015180463.1
OG0000251	XP_003250969.2	XP_015181737.1
OG0000252	XP_026298583.1, XP_026298580.1, XP_026298584.1	XP_015171597.1, XP_015171596.1
OG0000253	XP_393612.2	XP_015190633.1
OG0000254	XP_392477.4	XP_015190592.1
OG0000254	XP_623652.2	XP_015179929.1
OG0000255	XP_394814.1	XP_015188065.1
OG0000256	XP_006571385.1	XP_015190359.1
OG0000257	XP_026300984.1	XP_015191073.1, XP_015191061.1
OG0000257	XP_026300982.1	XP_015191056.1
OG0000258	NP_001035314.1	XP_015179393.1
OG0000259	XP_026302035.1	XP_015189497.1
OG0000263	XP_006570503.1, XP_393761.1	XP_015182751.1
OG0000264	XP_026298264.1, XP_026298263.1	XP_015177860.1
OG0000264	NP_001171498.1	XP_015175459.1
OG0000265	XP_624456.2	XP_015187998.1, XP_015187683.1, XP_015188988.1
OG0000266	NP_001171495.1	XP_015188854.1
