Orthogroup	Apis_mellifera	Bombyx_mori
OG0000030	XP_026300187.1	XP_004926017.1
OG0000032	XP_026298886.1	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1
OG0000033	XP_016771932.2	XP_021203082.2, XP_037875893.1
OG0000035	XP_392319.3	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1
OG0000035	XP_394494.5	NP_001243964.1, NP_001243980.1
OG0000036	XP_006563422.1, XP_001121077.2, XP_003250085.1	XP_037877629.1, XP_012544322.2
OG0000037	NP_001257751.1	NP_001166634.1, NP_001166643.1, NP_001166640.1, XP_021207417.1, NP_001166642.1, NP_001166626.1, NP_001166646.1, NP_001166657.1, NP_001166648.1, NP_001166659.1, NP_001166661.1, NP_001166647.1, NP_001166654.1, NP_001166652.1, NP_001166656.1, NP_001166655.1, NP_001166651.1, NP_001166653.1, NP_001166650.1, XP_012550695.2, XP_037874610.1, NP_001166649.1, NP_001166658.1, NP_001166660.1, XP_037874849.1, XP_037874613.1, XP_037874612.1, NP_001166662.1, NP_001036864.1, NP_001166674.1, NP_001166673.1, NP_001166676.1, NP_001166675.1, NP_001036838.1, NP_001166677.1, XP_012550704.2, NP_001166625.1, NP_001166671.1, NP_001166678.1, XP_012550693.1, NP_001166641.1, XP_004931961.1, NP_001166635.1, NP_001166644.1, NP_001166637.1
OG0000038	XP_623220.1, XP_006567025.1	NP_001036884.1
OG0000038	XP_006563567.1	NP_001036886.1, XP_021204307.1
OG0000040	XP_394370.2	XP_037871589.1, XP_037877007.1
OG0000041	NP_001172074.1, NP_001172075.1	XP_037872547.1, NP_001119727.1
OG0000041	XP_026296530.1, XP_003251464.1, XP_016767697.1	NP_001119724.1
OG0000041	XP_625015.1	NP_001119726.1, XP_037872546.1
OG0000042	XP_026296155.1, XP_026296156.1, XP_026296157.1, XP_026296158.1, XP_006571892.1, XP_623925.2, XP_026296164.1, XP_026296165.1	XP_004925565.1
OG0000042	XP_026295892.1, XP_026295893.1	NP_001296508.1, XP_037868172.1, NP_001037018.1, XP_012545279.1, XP_021205712.2, NP_001036971.1
OG0000043	XP_016768084.1, NP_001071287.1	NP_001037067.1, NP_001037068.1
OG0000043	XP_006557941.1, NP_001071282.1	NP_001091780.1, XP_021206019.2
OG0000044	XP_006565547.1, XP_006565544.2	NP_001036834.1
OG0000044	XP_006565537.1	XP_037868658.1
OG0000045	NP_001035326.1, NP_001035349.1, NP_001011608.1	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1
OG0000046	NP_001153524.1	NP_001036837.1, XP_012547740.1
OG0000046	NP_001153522.1, NP_001153544.1	NP_001036892.1
OG0000050	XP_026299635.1, XP_392696.5, XP_026297792.1, XP_026297793.1, XP_016768459.2, XP_026297794.1, XP_026300733.1, XP_026300653.1, NP_001128419.1, XP_006564307.1, NP_001136081.1	NP_001165227.1, NP_001040466.1, XP_037875050.1, NP_001124352.1, NP_001116814.1, XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1, XP_004925199.1, XP_004924525.1, XP_004932947.1, NP_001040174.1
OG0000052	XP_624251.3	XP_012545178.1, NP_001036907.1, XP_037868558.1, XP_037868546.1, XP_012545207.2, XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1
OG0000052	XP_006570493.1	XP_012545009.1, NP_001182634.1
OG0000054	NP_001257759.1	NP_001040112.1
OG0000054	NP_001257754.1, NP_001257753.1	NP_001036835.1, NP_001166743.1
OG0000055	XP_016771370.1	XP_021207833.1
OG0000055	XP_393860.4	XP_012548893.1, NP_001036959.1
OG0000056	XP_026297251.1	XP_037866675.1
OG0000056	XP_026301167.1	XP_037872689.1
OG0000056	XP_026297087.1	XP_037871311.1
OG0000056	XP_026299492.1	XP_037873641.1
OG0000057	XP_392313.1	NP_001036887.1, NP_001036964.1
OG0000057	XP_026300739.1	XP_004923508.1, XP_012553252.3
OG0000057	XP_394471.1	NP_001036965.1
OG0000057	XP_394469.1	NP_001036888.1
OG0000060	XP_006565271.2, XP_006565270.3, XP_026300076.1, XP_026300077.1, XP_016770937.2, XP_016770938.2	XP_004925993.2
OG0000060	NP_001180219.1, XP_006565210.1	XP_021206640.1, XP_004930776.1
OG0000061	XP_397017.3	XP_012551685.2
OG0000062	XP_006568238.2	XP_021205992.1, NP_001091767.1
OG0000062	XP_001119884.1, XP_001120194.1, XP_001120006.2, XP_001120137.1	XP_004923510.1, XP_037876893.1, XP_004933665.1, NP_001036941.1, NP_001036984.1, NP_001091794.1, XP_037877361.1, XP_037877362.1, NP_001037038.1, NP_001036942.1
OG0000065	XP_026299150.1	NP_001037610.1, XP_037869237.1, XP_037869334.1, XP_012550936.1, XP_037869425.1, XP_037869333.1, XP_004921651.2
OG0000067	XP_006561513.1	XP_004931451.1
OG0000067	XP_026299464.1	NP_001037582.1
OG0000067	XP_395774.2	XP_037877745.1
OG0000069	XP_006564460.2, XP_392727.4	NP_001243973.1
OG0000070	NP_001229918.1	NP_001166602.1
OG0000073	XP_003250137.2	NP_001296559.1
OG0000073	XP_003251791.2, XP_003251779.1, XP_016773440.1	NP_001243938.1
OG0000077	XP_006567467.1	XP_037870080.1
OG0000077	XP_395426.5	NP_001037478.1
OG0000078	XP_026294842.1, XP_006572184.2, XP_026294928.1, XP_026294834.1, XP_026294841.1	XP_037872110.1, NP_001159625.1, NP_001116810.1
OG0000079	XP_006562777.1	XP_004925192.2
OG0000080	XP_397228.2	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1
OG0000080	XP_623221.2	XP_004931946.1
OG0000080	XP_006559470.1	XP_037874734.1
OG0000082	XP_006565018.1, XP_026300908.1, XP_006565021.2, XP_006565022.2, XP_016773421.2	XP_004927040.1, NP_001124343.1
OG0000084	NP_001257744.1, NP_001257757.1, NP_001257743.1	XP_012550708.1, NP_001166718.1
OG0000084	XP_026300413.1	NP_001166714.1, NP_001036828.1, NP_001166712.1, NP_001166744.1, NP_001036827.1, NP_001166742.1
OG0000086	XP_016772143.2, XP_001120043.2	NP_001243984.1
OG0000086	XP_016772088.2	XP_004922188.1
OG0000087	XP_624353.1	XP_004925118.1
OG0000088	XP_006566240.1, XP_006566239.1, XP_026299220.1	XP_037876269.1, XP_037876266.1
OG0000091	XP_026299597.1, XP_026299596.1	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1
OG0000092	XP_006558182.1, XP_396653.1, XP_396654.1, XP_016768016.1, XP_006560146.1	NP_001040445.1
OG0000094	XP_026299983.1	XP_037867226.1
OG0000094	XP_006572211.1	XP_004929868.2
OG0000095	XP_006564430.1	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1
OG0000096	XP_026300868.1	XP_004933352.2
OG0000097	XP_006566906.1, NP_001011628.1, NP_001014993.1	XP_012544532.1, XP_037871911.1, XP_004924657.1
OG0000098	XP_006561279.1	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1
OG0000099	XP_026301459.1	XP_012551708.2
OG0000099	XP_026301457.1, XP_026301458.1	XP_004933046.1
OG0000099	XP_006563474.1	XP_037876655.1
OG0000101	XP_016769182.2	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1
OG0000102	XP_026298009.1, XP_016768868.1, XP_006559629.1	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1
OG0000103	XP_395932.2, XP_016769753.1, XP_006559124.1, XP_006559125.1	XP_037869904.1
OG0000108	XP_026296997.1, XP_026296995.1, XP_026296996.1	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1
OG0000109	XP_006568159.1, XP_396912.1, XP_026300511.1, XP_006568157.1	XP_021205885.1
OG0000110	XP_016771484.1, XP_026300877.1, XP_016771820.2	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1
OG0000111	XP_016767388.2	XP_037868928.1, XP_037868924.1, XP_004922902.1, XP_004931121.1
OG0000111	XP_016769305.2	XP_004927517.1
OG0000112	XP_395840.2	NP_001240824.1, XP_012546717.1
OG0000113	XP_001120149.1, XP_001121347.2	XP_004929660.1, XP_004925443.2, XP_012545237.2
OG0000114	XP_026296673.1	XP_037876437.1
OG0000115	NP_001153742.1, XP_026295756.1, NP_001136128.1, XP_006560566.1	NP_001037077.1, XP_012544300.1, NP_001036994.1
OG0000117	XP_006566844.1	NP_001040298.1
OG0000117	XP_016769650.1, XP_006561716.1, XP_006561714.1, XP_006561715.1, XP_006561713.1	NP_001233214.1, XP_012552766.1
OG0000119	XP_006567540.1, XP_006567591.1, XP_016769352.1, XP_016769353.1	XP_037869697.1
OG0000120	XP_026295458.1, XP_026300994.1, XP_026300993.1, XP_026300992.1, XP_396662.2, XP_006559344.1	XP_021207126.2
OG0000122	XP_006569022.1	XP_037871005.1
OG0000123	XP_026296924.1, XP_026296929.1, XP_026296930.1, XP_026296925.1, XP_026296926.1, XP_026296927.1, XP_026296928.1	NP_001037614.1, XP_012548321.1
OG0000124	XP_026297158.1, XP_026297157.1, XP_026297160.1, XP_026297159.1	XP_037871306.1, XP_037871307.1, XP_021208751.2
OG0000125	XP_016768147.1, XP_393208.1	XP_004926881.1, XP_012546430.1, XP_012547144.2
OG0000126	XP_016772382.1, NP_001011571.1	XP_012549565.1, NP_001037319.1
OG0000127	XP_006570777.1, XP_016771428.1, XP_016771429.1, XP_001122616.1	XP_012551315.1, NP_001037024.1
OG0000127	XP_396819.2	NP_001189458.1, XP_012551311.1
OG0000129	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571984.1, XP_006571986.1	XP_021203173.1
OG0000130	XP_006568433.1, XP_006568428.1, XP_394686.4	NP_001108469.1
OG0000130	XP_026297554.1, XP_394687.3, XP_006565573.1	XP_012548931.3
OG0000131	XP_006564418.1	XP_004931759.1
OG0000131	XP_392990.2, XP_003251503.1	NP_001091755.1
OG0000132	XP_006569358.1, XP_006569359.1, XP_016767260.1	NP_001164651.1, XP_037870176.1
OG0000132	XP_006567280.1, XP_006567283.1, XP_006567281.1	NP_001164650.1
OG0000133	XP_026295597.1, XP_026295595.1, XP_026295600.1, XP_026295601.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295596.1	XP_021207866.1, XP_004932639.1
OG0000134	XP_006566587.1, XP_026299656.1, XP_623559.1, XP_026299657.1	XP_004924013.1, XP_004924014.1, XP_012544046.1
OG0000135	XP_392723.3	NP_001108336.1, XP_021202711.1
OG0000135	XP_006570858.1, XP_026300893.1	NP_001166873.1, XP_037875522.1
OG0000136	XP_001123230.2, XP_001122953.3, XP_026298823.1, XP_003251589.1, XP_006570633.1, XP_006570637.2	XP_037876368.1, XP_004927026.1
OG0000137	XP_016768164.1, XP_016768165.1, XP_393390.3, XP_016768163.1, XP_026298341.1	XP_037868770.1
OG0000138	XP_006561534.1, XP_006561540.1	XP_037868949.1, XP_004925223.3
OG0000139	XP_026302052.1	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1
OG0000141	XP_396377.3, XP_016771703.1	XP_004931634.1
OG0000141	XP_393772.4	XP_021207972.2
OG0000143	XP_394342.1, XP_001120755.1, XP_006568273.1, XP_006568272.1, XP_006568271.1, XP_016766288.1	XP_037870673.1, NP_001040254.1, XP_004927859.1
OG0000144	NP_001092187.1, NP_001011600.1, NP_001104234.1	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2
OG0000145	XP_006571519.1, NP_001128406.1, XP_006557552.1, NP_001011643.1	XP_021209325.1, XP_037876916.1, XP_004923491.1
OG0000146	XP_006569990.1	XP_037871222.1, XP_004922825.1
OG0000146	XP_001120801.1	NP_001106739.1, NP_001106231.1
OG0000147	XP_026301958.1	XP_004933126.1
OG0000149	XP_624573.2	XP_037875543.1
OG0000149	XP_006560541.1	XP_004924927.1, XP_004924928.1
OG0000150	XP_006565287.1, XP_006565286.1, XP_006565285.1, XP_006565289.1, XP_006565288.1, XP_393853.1	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1
OG0000151	XP_026295481.1, XP_026295482.1, XP_026295477.1, XP_026295478.1, XP_026295479.1, XP_026295480.1, XP_026295483.1	XP_037867739.1, XP_021208204.1, XP_021208205.1
OG0000152	XP_016768964.1, XP_006564637.1, XP_006564641.1, XP_006564638.1, XP_006564639.1, XP_006564640.1	XP_021205393.1
OG0000153	XP_006557622.1	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1
OG0000154	XP_003249939.3	XP_037873529.1
OG0000156	XP_006570154.1, XP_016768502.1, XP_016768504.1, XP_016768503.1	XP_021206155.2
OG0000157	XP_016771183.1, XP_016771274.2	XP_037869375.1
OG0000158	XP_026295419.1, XP_026296654.1, XP_026296664.1	XP_021204632.1
OG0000160	XP_006570492.2	XP_004925382.2
OG0000161	NP_001011563.1, NP_001119716.1	NP_001182393.1
OG0000162	NP_001091691.1, XP_006562616.1	NP_001103389.1, XP_037868604.1
OG0000162	XP_016767550.1, NP_001073029.1	NP_001103387.2, XP_037868602.1
OG0000162	NP_001091690.1, XP_026298411.1	NP_001103388.1, XP_021203288.2
OG0000164	XP_016768018.2, XP_006558190.2	XP_037875027.1, XP_037872511.1
OG0000165	XP_006559859.1, XP_006559861.1, XP_006559860.1, XP_396828.2	XP_012547188.1, XP_021204892.1
OG0000165	XP_006566324.1	XP_012551706.2
OG0000166	XP_016766244.2, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_006569176.3, XP_006569170.3	XP_037868137.1
OG0000168	XP_016766381.2, XP_016767974.1, NP_001035325.2, NP_001014991.1, XP_026295680.1	XP_037873451.1
OG0000169	XP_026296993.1	NP_001243963.1, NP_001243962.1, NP_001243959.1, NP_001243958.1, NP_001243955.1, NP_001243956.1, NP_001243957.1, NP_001243991.1, NP_001135960.1, NP_001040425.1, NP_001243995.1, NP_001243978.1, NP_001127730.1
OG0000170	XP_006566077.2, XP_026299163.1, XP_006566079.2	XP_004924795.2
OG0000171	XP_623922.2	NP_001296478.1, XP_037876331.1, XP_037876328.1
OG0000173	XP_006560020.1, XP_006560019.1	NP_001093316.1
OG0000174	XP_394018.2	NP_001040490.1, XP_037874321.1
OG0000175	XP_026300817.1, XP_026300815.1, XP_006560073.1, XP_006560074.1, XP_623977.2, XP_026300816.1	NP_001040124.1
OG0000176	XP_003251204.1	XP_037868940.1, XP_037870006.1, XP_037876480.1, XP_037869968.1, XP_037867396.1
OG0000177	XP_001121910.1	XP_004931030.1
OG0000177	XP_016770327.1, XP_006566372.1	XP_004931031.2
OG0000177	XP_016770328.1	XP_004930870.1
OG0000178	XP_026295366.1, XP_026295349.1, XP_026295348.1, XP_026295362.1, XP_026295342.1, XP_026295361.1, XP_026295350.1, XP_026295334.1, XP_026295368.1, XP_026295335.1, XP_026295343.1, XP_026295364.1, XP_026295345.1, XP_026295336.1, XP_026295367.1, XP_026295337.1, XP_026295352.1, XP_026295365.1, XP_026295333.1, XP_026295341.1, XP_026295331.1, XP_026295372.1, XP_026295340.1, XP_026295353.1, XP_026295370.1, XP_026295354.1, XP_026295358.1, XP_026295347.1, XP_026295355.1, XP_026295363.1, XP_026295346.1, XP_026295344.1, XP_026295359.1, XP_026295351.1, XP_026295338.1, XP_026295339.1, XP_026295369.1, XP_026295332.1, XP_026295356.1, XP_026295371.1, XP_026295357.1, XP_026295360.1	XP_037871996.1, XP_004924483.2
OG0000179	XP_026301506.1	NP_001040172.1, XP_021206181.1
OG0000179	XP_393381.2	NP_001037301.1
OG0000180	XP_006559502.1, XP_006559501.1, XP_393573.1, XP_016769007.1, XP_016769006.1	XP_004930542.1
OG0000181	XP_393751.2, XP_006570397.2, XP_016770282.2	NP_001037380.1, XP_037871534.1
OG0000182	XP_006561855.2	XP_037866789.1
OG0000183	XP_395404.2	XP_004930975.1
OG0000184	XP_016773569.1, XP_026300573.1	XP_004932760.3
OG0000187	XP_016769442.2	XP_004929301.1
OG0000188	XP_395697.2	NP_001037050.1
OG0000190	XP_006563703.1, XP_006563702.1, XP_006563701.1, XP_006563700.1	XP_004931167.1
OG0000191	XP_026301152.1	XP_037872497.1, XP_037875388.1, XP_021208965.1, XP_021208964.2
OG0000192	XP_006557723.1, XP_396406.5, XP_006557720.1	XP_021207317.1
OG0000196	XP_003250051.2	XP_012545232.2
OG0000196	XP_003251169.1, XP_016771426.1	XP_004929740.2, XP_021205898.2, XP_004929623.3, XP_021205897.2
OG0000197	XP_006565013.1, XP_016773443.1, XP_026300501.1, XP_006565014.2	XP_012551294.2, XP_004932561.2, XP_037872840.1, XP_004931928.2, XP_004931927.1, XP_037868489.1
OG0000198	XP_006566997.1, XP_624772.2	XP_037870155.1
OG0000200	XP_026296548.1	XP_012550244.1, NP_001036841.1
OG0000200	XP_006566649.2, XP_006566650.1	NP_001036881.1
OG0000201	XP_006562412.3	NP_001040155.1, NP_001040154.1, XP_012552516.1, XP_012552521.1, NP_001243997.1, XP_004922761.1, XP_004922760.1, XP_004922779.1, XP_004931809.1, XP_004928423.2, XP_004931849.1, XP_004931273.1
OG0000202	XP_006558615.1, XP_016768758.1, XP_016768759.1	NP_001281213.1
OG0000203	XP_623676.2	XP_004930258.2, XP_037876006.1
OG0000203	XP_006558107.2, XP_395356.4	XP_037867417.1
OG0000204	XP_001121814.2	XP_012547643.2, XP_037873174.1, XP_021205107.1, XP_004928344.1, XP_012547605.1, XP_004928345.1, XP_037873267.1
OG0000205	XP_016766914.1	NP_001243944.1
OG0000206	XP_026300186.1	XP_004922930.2
OG0000207	NP_001014430.1, XP_006566311.1	NP_001037594.1
OG0000207	NP_001011652.1, NP_001305411.1	NP_001091793.1, XP_004930513.3
OG0000208	XP_006562317.1	XP_037869032.1, NP_001103395.1
OG0000209	XP_016769475.1, XP_016769473.1, XP_016769472.1, XP_016769471.1, XP_016769470.1, XP_016769476.1, XP_016769474.1	XP_037869646.1, XP_004932917.2, XP_037869645.1, XP_012551601.2, XP_012551602.2, XP_012551603.2
OG0000210	XP_026297186.1, XP_016769921.1	XP_012544085.3
OG0000210	XP_006562251.2	XP_037866888.1, XP_037866887.1
OG0000212	XP_001121043.2, XP_026298300.1	XP_037869182.1, NP_001106228.1
OG0000213	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1	XP_004922013.1
OG0000214	XP_623084.1	NP_001040475.1
OG0000214	XP_392104.4	NP_001040198.1, XP_037870587.1
OG0000215	XP_016772012.1, XP_394061.2	XP_037866848.1, XP_004930044.1
OG0000216	XP_016767691.1	NP_001108343.1
OG0000217	XP_394861.4	XP_021203021.2, XP_012548700.2, XP_004933855.2, XP_037870903.1
OG0000218	XP_623312.2	XP_004930688.1
OG0000219	XP_392277.4, XP_006563970.2	XP_004931785.1
OG0000221	XP_006571382.1	XP_037867521.1, XP_021207573.1, XP_021207493.1, XP_004922691.2, XP_012551723.1, XP_012551720.1, XP_004922638.1, XP_037871234.1, XP_037877580.1, XP_037872846.1, XP_037877505.1, XP_037872849.1, XP_037872848.1, XP_037877503.1, XP_037877504.1, XP_037877506.1, XP_037877501.1, XP_037877502.1, XP_037872850.1, XP_037877579.1, XP_037877510.1, XP_037877561.1, XP_037877562.1
OG0000223	NP_001157186.1, XP_016769330.2	NP_001037450.1, NP_001128672.1, XP_012550372.1, NP_001036840.1
OG0000225	XP_006567210.2	NP_001040252.1
OG0000226	XP_026300579.1	NP_001127711.1, XP_021204237.1
OG0000227	XP_006562291.2, XP_006562294.2, XP_006562293.2, XP_016770836.2	XP_012550182.2, XP_004931163.3, XP_012550180.2
OG0000229	XP_001121505.2	XP_004928517.1, XP_012547831.1
OG0000230	XP_001122612.2, XP_026300638.1, XP_026300637.1	XP_021208331.1, XP_004933333.1
OG0000231	XP_006562424.1	XP_037871854.1, XP_037877315.1
OG0000232	XP_393976.2, XP_006563043.1, XP_006563042.1	XP_012546482.1, NP_001040472.1
OG0000233	XP_001120116.2, XP_016768768.2, XP_397073.5, XP_026300288.1	XP_004928912.1, XP_004928913.2
OG0000235	XP_026294767.1, XP_026294798.1, XP_026294810.1	XP_037877778.1, XP_012548383.2, XP_037877767.1, XP_037877779.1
OG0000236	NP_001011639.2	NP_001036882.1, XP_037871515.1, XP_037871704.1, XP_021205252.2
OG0000237	XP_006559356.1	XP_004931804.1
OG0000237	XP_006559358.1	XP_037875185.1
OG0000241	XP_006571827.3, XP_016770807.2, XP_016770806.2, XP_016770796.1, XP_016770795.1, XP_026299638.1	XP_012547063.1, XP_004926042.1, XP_037873319.1, XP_012546361.1, XP_004929513.1, XP_004929472.2
OG0000244	XP_026300900.1	XP_021202524.1
OG0000245	NP_001011627.1	NP_001037534.1, XP_037872283.1, XP_012548212.3, NP_001037335.1, XP_037872125.1
OG0000246	XP_394115.2	XP_012549895.1, NP_001037174.1
OG0000246	XP_006563197.1	XP_004931016.1
OG0000247	XP_006562263.2	XP_021207883.2, XP_037873736.1
OG0000248	XP_026299493.1	XP_021203484.2, XP_037872942.1
OG0000249	XP_026298733.1	NP_001138804.1, XP_012545064.1
OG0000250	XP_026299154.1, XP_625112.2	XP_021206228.1, XP_004930144.1
OG0000250	NP_001314882.1, XP_016773049.1	XP_004930143.1
OG0000251	XP_003250675.2, XP_003250969.2	XP_021206899.1, NP_001108066.1
OG0000252	XP_026298583.1, XP_026298580.1, XP_026298584.1	NP_001104796.1
OG0000253	XP_393612.2	XP_021208580.1, NP_001037287.1
OG0000254	XP_392477.4	XP_004921802.3
OG0000254	XP_623652.2	XP_004924523.1, XP_037876397.1
OG0000255	XP_394814.1	XP_004923881.1
OG0000256	XP_006571385.1	NP_001093298.1, XP_037870495.1
OG0000257	XP_026300984.1	XP_012551257.1, XP_012551255.1
OG0000257	XP_026300982.1	XP_004932600.1
OG0000258	NP_001035314.1	NP_001159622.2, NP_001106744.1, XP_012551170.1
OG0000259	XP_026302035.1	XP_012548404.1
OG0000260	XP_016770898.2	XP_004929696.2, NP_001036839.1
OG0000261	XP_393396.2	XP_004922950.1, NP_001303996.1
OG0000263	XP_006570503.1, XP_393761.1	XP_012549376.1, NP_001040274.1
OG0000264	XP_026298264.1, XP_026298263.1	NP_001037358.2
OG0000264	NP_001171498.1	XP_037875045.1, NP_001037084.1
OG0000266	NP_001171495.1	NP_001040464.1
OG0000266	XP_003249289.2	XP_012544346.1, NP_001037083.1
OG0000268	XP_006562783.1, XP_016767403.1, XP_026295852.1, XP_026295853.1, XP_016767402.1, XP_016767400.1, XP_016767401.1, XP_016767399.1	XP_021204157.1
OG0000269	XP_001120910.2	XP_004924161.2
OG0000270	XP_006558130.1	NP_001171666.1
OG0000271	XP_026295760.1, NP_001091688.1	XP_037870196.1, NP_001036913.1, XP_021203229.1, NP_001036977.1
OG0000272	NP_001073564.1, XP_026302163.1	NP_001091830.1, XP_037866711.1
OG0000272	XP_026300655.1, NP_001011621.1	NP_001166818.1, XP_012549099.1
OG0000274	XP_396815.3	XP_021202962.1, XP_021202959.1
OG0000275	XP_026298534.1, XP_026298730.1, XP_026298718.1, XP_003251850.1	XP_004924792.1
OG0000277	XP_001122835.3, XP_006565811.2	XP_012544880.1, XP_021202885.1, XP_004924999.1
OG0000278	XP_026296923.1	XP_021207737.1
OG0000279	NP_001164579.1	NP_001296510.1, XP_037868174.1, NP_001037502.1
OG0000283	XP_006567824.1, XP_006567820.1, XP_006567825.1, XP_006567823.1, XP_016767795.1, XP_016767792.1, XP_026296835.1	XP_037877071.1, XP_037877070.1, XP_037877069.1
OG0000284	NP_001010975.1	NP_001037072.1
OG0000284	XP_026296666.1, XP_395934.2	NP_001296499.1, XP_004932842.1
OG0000285	XP_016767133.1, XP_001120198.1	XP_037874172.1
OG0000286	NP_001164443.1	XP_004929167.1
