Orthogroup	Apis_mellifera	Osmia_bicornis
OG0000190	XP_006563703.1, XP_006563702.1, XP_006563701.1, XP_006563700.1	XP_029056400.1, XP_029056399.1, XP_029056401.1
OG0000191	XP_026301152.1	XP_029036825.1
OG0000192	XP_006557723.1, XP_396406.5, XP_006557720.1	XP_029034267.1, XP_029034266.1
OG0000194	NP_001257752.1	XP_029038776.1
OG0000194	XP_006561931.1, XP_016769566.1, XP_016769565.2	XP_029038813.1
OG0000196	XP_003250051.2	XP_029041657.1, XP_029041656.1
OG0000196	XP_003251169.1, XP_016771426.1	XP_029053549.1
OG0000197	XP_006565013.1, XP_016773443.1, XP_026300501.1	XP_029032736.1, XP_029032735.1
OG0000197	XP_006565014.2	XP_029032734.1
OG0000198	XP_624772.2	XP_029048766.1, XP_029048776.1
OG0000200	XP_026296548.1	XP_029052014.1
OG0000200	XP_006566649.2	XP_029049081.1
OG0000200	XP_006566650.1	XP_029049085.1
OG0000202	XP_006558615.1	XP_029044324.1
OG0000202	XP_016768758.1, XP_016768759.1	XP_029032521.1, XP_029032520.1
OG0000203	XP_623676.2	XP_029047463.1
OG0000203	XP_006558107.2, XP_395356.4	XP_029042308.1, XP_029042310.1
OG0000204	XP_001121814.2	XP_029049274.1, XP_029049273.1, XP_029049272.1, XP_029049275.1
OG0000205	XP_016766914.1	XP_029047201.1, XP_029047202.1, XP_029047200.1, XP_029047205.1, XP_029047203.1, XP_029047204.1
OG0000206	XP_026300186.1	XP_029052187.1, XP_029052186.1
OG0000207	XP_006566311.1	XP_029046518.1
OG0000207	NP_001011652.1	XP_029041769.1
OG0000207	NP_001305411.1	XP_029041771.1
OG0000208	XP_006562317.1	XP_029041765.1
OG0000208	XP_625189.3	XP_029033072.1
OG0000209	XP_016769475.1, XP_016769473.1, XP_016769472.1, XP_016769471.1, XP_016769470.1, XP_016769476.1, XP_016769474.1	XP_029047963.1, XP_029047965.1, XP_029047964.1
OG0000210	XP_026297186.1	XP_029037304.1
OG0000210	XP_016769921.1	XP_029045711.1
OG0000210	XP_006562251.2	XP_029041331.1
OG0000212	XP_001121043.2	XP_029034391.1, XP_029034390.1
OG0000212	XP_026298300.1	XP_029051924.1
OG0000213	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1	XP_029041152.1, XP_029041153.1, XP_029041150.1, XP_029041151.1
OG0000214	XP_623084.1	XP_029041256.1
