Orthogroup	Apis_mellifera	Solenopsis_invicta
OG0000006	XP_026300578.1	XP_039307826.1, XP_025989709.2, XP_039302413.1, XP_039302410.1, XP_025989687.2, XP_011164849.2, XP_011164848.3, XP_025994613.2, XP_039309023.1, XP_039308762.1, XP_025994617.2, XP_039309001.1, XP_011163479.2, XP_039309032.1, XP_039308749.1, XP_039309026.1, XP_039309013.1, XP_039309018.1, XP_039309027.1, XP_039309014.1, XP_039309007.1, XP_039309030.1, XP_039309029.1, XP_025994615.2, XP_039308995.1
OG0000006	XP_026300644.1, XP_026300643.1	XP_039309031.1, XP_039309020.1, XP_039308763.1
OG0000006	XP_003250826.2	XP_011171479.2, XP_039306260.1
OG0000008	XP_006565046.2	XP_011158384.1, XP_039305295.1, XP_039307163.1
OG0000008	XP_396549.3	XP_039314393.1, XP_039314392.1, XP_025990966.2
OG0000008	XP_394219.3	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1
OG0000008	XP_003250567.1	XP_011158386.1, XP_039305296.1
OG0000008	XP_016769477.1	XP_039305528.1
OG0000009	XP_006562365.2	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1
OG0000009	XP_026300962.1	XP_039307038.1, XP_011172781.1, XP_039307039.1, XP_039307040.1, XP_025986432.2, XP_025986433.1, XP_011166535.1, XP_011172782.1, XP_025986445.2
OG0000012	XP_026298215.1	XP_011157834.1
OG0000012	XP_016768428.1	XP_011166798.2, XP_039314082.1
OG0000012	XP_016772201.1, XP_016772200.1	XP_025991007.1
OG0000013	XP_001120132.1	XP_011165753.2
OG0000013	XP_006570899.1	XP_011166327.1
OG0000013	XP_624499.1	XP_011158467.1, XP_011158466.1
OG0000014	XP_003251627.1, XP_006570861.2	XP_011163196.1
OG0000018	XP_393750.5	XP_025993846.1, XP_039312756.1
OG0000018	XP_006564136.1	XP_011164408.2, XP_039302267.1, XP_025988897.1, XP_025988898.1, XP_011164281.1, XP_025988901.1
OG0000018	XP_006566761.2, XP_026299796.1, XP_006566764.2, XP_006566762.2, XP_006566763.2	XP_011168181.2, XP_011168177.2
OG0000018	XP_026299794.1	XP_039312480.1, XP_039312479.1
OG0000019	XP_026299702.1	XP_025990211.2
OG0000019	XP_394827.4	XP_025995191.1, XP_039305114.1, XP_039305111.1, XP_039305113.1, XP_039305526.1, XP_025995621.1, XP_011155911.3, XP_039305205.1, XP_039305125.1, XP_011176163.1
OG0000019	XP_006572051.3	XP_011155421.1, XP_025990075.1, XP_039308626.1
OG0000020	XP_006569751.2	XP_011159576.2
OG0000020	XP_006560785.2	XP_025987337.1
OG0000020	XP_026300927.1	XP_011157847.1
OG0000022	XP_624700.1	XP_011163652.1
OG0000022	XP_003251613.1, XP_001120346.1	XP_011166335.1
OG0000022	XP_001120186.1	XP_011163198.1
OG0000024	XP_026299083.1, XP_001120613.2	XP_025992331.1
OG0000024	XP_016773395.2	XP_011168449.1, XP_011168448.1
OG0000024	NP_001011620.1	XP_025991934.1
OG0000025	XP_026294993.1, XP_026295496.1	XP_039305170.1
OG0000026	XP_392530.3	XP_039304799.1
OG0000027	XP_003251624.1	XP_011156268.1
OG0000029	NP_001257747.1, NP_001257746.1	XP_011175277.3
OG0000029	NP_001257750.1	XP_025987625.1
OG0000029	NP_001257749.1	XP_025994361.1
OG0000030	NP_001177849.1, XP_006572276.1	XP_025986100.1
OG0000030	XP_026300187.1	XP_011165417.3, XP_039308147.1, XP_039313768.1
OG0000032	XP_026298886.1	XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2
OG0000034	XP_026299312.1, NP_001229915.1, NP_001229914.1, XP_026299613.1, XP_016770782.1, XP_016770780.1, XP_016770788.1	XP_039302507.1, XP_039315321.1, XP_039307234.1
OG0000035	XP_392319.3	XP_039312187.1
OG0000035	XP_394494.5	XP_025987669.2
OG0000036	XP_006563422.1, XP_001121077.2, XP_003250085.1	XP_011166049.1
OG0000037	NP_001257751.1	XP_011161783.1
OG0000038	XP_623220.1, XP_006567025.1	XP_011172049.1
OG0000038	XP_006558759.1	XP_011173370.1
OG0000038	XP_006563567.1	XP_011174246.2
OG0000038	XP_026300252.1	XP_025991821.1
OG0000040	XP_026297199.1	XP_011164376.1, XP_011164378.1
OG0000040	XP_394370.2	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1
OG0000041	NP_001172074.1, NP_001172075.1	XP_011173672.1, XP_011173741.1
OG0000041	XP_026296530.1	XP_039304943.1, XP_039304942.1, XP_011173639.1
OG0000041	XP_003251464.1, XP_016767697.1	XP_011173634.1, XP_011173641.1
OG0000041	XP_625015.1	XP_011167847.1
OG0000042	XP_026296155.1, XP_026296156.1, XP_026296157.1, XP_026296158.1, XP_006571892.1, XP_623925.2, XP_026296164.1, XP_026296165.1	XP_025988401.1, XP_025988400.1
OG0000042	XP_026295892.1, XP_026295893.1	XP_025993549.1, XP_011172554.1
OG0000043	XP_016768084.1, NP_001071287.1	XP_011166108.1
OG0000044	XP_006565547.1	XP_039306340.1, XP_025986513.2
OG0000044	XP_006565544.2	XP_025986454.1
OG0000044	XP_006565537.1	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1
OG0000045	NP_001035326.1	XP_011157503.2
OG0000045	NP_001035349.1	XP_011156768.2
OG0000045	NP_001011608.1	XP_025992324.2
OG0000045	XP_006564814.1, XP_026296732.1, XP_006564813.1	XP_039312826.1
OG0000046	NP_001153524.1	XP_011168512.1
OG0000046	NP_001153522.1	XP_011168531.1
OG0000046	NP_001153544.1	XP_039310878.1, XP_039310880.1, XP_039310879.1
OG0000048	XP_026298613.1	XP_011160449.2
OG0000050	XP_026299635.1, XP_392696.5	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1
OG0000052	XP_006570493.1	XP_025995966.1
OG0000054	NP_001257759.1	XP_011164393.2
OG0000054	NP_001257754.1, NP_001257753.1	XP_011164215.1, XP_011164214.2
OG0000055	XP_016771370.1	XP_039311121.1
OG0000055	XP_006562397.1	XP_011169776.2
OG0000055	XP_393860.4	XP_011162045.1
OG0000056	XP_026297251.1	XP_039301684.1
OG0000056	XP_026301167.1	XP_011167471.3
OG0000056	XP_026297087.1	XP_039313454.1
OG0000056	XP_026296769.1	XP_039306715.1
OG0000057	XP_392313.1	XP_011165693.1
OG0000057	XP_026300739.1	XP_011161996.1
OG0000057	XP_394471.1	XP_011165691.1
OG0000057	XP_394469.1	XP_011165692.1
OG0000058	NP_001314879.1, XP_016766488.1, XP_026294950.1, XP_026294949.1, XP_016766484.1, XP_026301740.1, XP_016766491.1, XP_006557709.2, XP_026294837.1, XP_026300513.1, XP_006571977.2, XP_026301741.1, XP_026297763.1, XP_026298536.1	XP_011160196.3, XP_039304404.1, XP_011166290.1, XP_011160197.2, XP_039304698.1, XP_039304395.1, XP_039304704.1, XP_039304706.1
OG0000060	XP_006565271.2, XP_006565270.3, XP_026300076.1, XP_026300077.1, XP_016770937.2, XP_016770938.2	XP_011166599.1, XP_039312995.1, XP_039313020.1
OG0000060	NP_001180219.1, XP_006565210.1	XP_011166588.1, XP_039313855.1, XP_039313856.1
OG0000061	XP_397017.3	XP_039310102.1
OG0000062	XP_006568238.2	XP_025989351.2
OG0000064	XP_016770849.2, NP_001229916.1, XP_026299914.1, NP_001229917.1, XP_006562273.2, XP_006562271.1, XP_016771123.1	XP_039307225.1, XP_039307226.1, XP_039311776.1, XP_039315322.1, XP_039307227.1, XP_039311779.1, XP_039315318.1, XP_039315366.1, XP_039303574.1, XP_039302503.1, XP_039302506.1, XP_039302487.1
OG0000065	XP_026299150.1	XP_039308740.1, XP_011176028.1, XP_011176027.2
OG0000066	XP_006569791.3	XP_039309173.1
OG0000067	XP_006561513.1	XP_011168949.1
OG0000067	XP_026300867.1	XP_039302008.1, XP_011157859.1
OG0000067	XP_006560064.1	XP_011157858.1, XP_025991420.1
OG0000067	XP_395774.2	XP_025989655.1
OG0000069	XP_006564460.2, XP_392727.4	XP_025987486.1
OG0000069	XP_016770442.2	XP_011163891.1, XP_039303799.1, XP_039303801.1, XP_025989421.2, XP_039303891.1, XP_011171057.2, XP_039309137.1, XP_039309138.1, XP_039308972.1, XP_039308973.1, XP_039308974.1, XP_039309139.1, XP_039308971.1, XP_039308970.1, XP_039308969.1, XP_039309140.1, XP_011168216.3
OG0000070	NP_001229918.1	XP_039308666.1, XP_025985811.2, XP_025985886.1, XP_039308665.1, XP_039308664.1, XP_039308741.1
OG0000073	XP_003251791.2, XP_003251779.1, XP_016773440.1	XP_011157914.1
OG0000074	XP_001120594.2	XP_011157636.1, XP_025987236.2, XP_025987238.1, XP_039314707.1
OG0000077	XP_006567467.1	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1
OG0000077	XP_395426.5	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1
OG0000078	XP_026294842.1	XP_011156318.2, XP_039310413.1, XP_039310414.1, XP_039310426.1, XP_011155581.2, XP_011155595.2, XP_011155606.1
OG0000078	XP_006572184.2, XP_026294928.1, XP_026294834.1	XP_039309962.1, XP_039310440.1, XP_011156215.2, XP_039309961.1, XP_039310430.1, XP_039309963.1, XP_011155704.2, XP_011155659.3, XP_011155817.3, XP_039309966.1, XP_011156294.1, XP_039310434.1, XP_011155782.2, XP_011155805.2, XP_025991287.2, XP_039309964.1
OG0000079	XP_026295828.1	XP_025987035.1
OG0000079	XP_006562781.1	XP_025987036.2
OG0000080	XP_397228.2	XP_039313662.1, XP_011161097.1, XP_011161096.1
OG0000080	XP_623221.2	XP_025995013.1
OG0000080	XP_006559470.1	XP_011173727.1
OG0000081	XP_006563549.2, NP_001229913.1, XP_016772002.2, XP_394081.6, XP_026301357.1, XP_016772004.2, XP_026301413.1	XP_025987228.1, XP_025987227.1, XP_025987226.2, XP_039314403.1, XP_039314406.1, XP_039314405.1, XP_039314325.1, XP_025987223.2, XP_039314716.1, XP_025987270.2
OG0000082	XP_026300908.1, XP_006565021.2, XP_006565022.2, XP_016773421.2	XP_011158493.1
OG0000084	NP_001257744.1	XP_011155841.2
OG0000084	NP_001257757.1	XP_011155844.1
OG0000084	NP_001257743.1	XP_039310256.1, XP_011155840.3
OG0000084	XP_026300413.1	XP_011155335.1
OG0000086	XP_016772143.2, XP_001120043.2	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2
OG0000086	XP_016772088.2	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2
OG0000087	XP_624353.1	XP_025989498.1, XP_011170042.2
OG0000088	XP_006566240.1, XP_006566239.1, XP_026299220.1	XP_025996218.1, XP_039311698.1
OG0000089	XP_003249883.2, XP_016768850.2	XP_039308778.1, XP_011166981.2, XP_011166985.2
OG0000089	XP_001120425.1	XP_011171848.1
OG0000091	XP_026299597.1, XP_026299596.1	XP_011175219.1, XP_011175223.1, XP_011175233.1
OG0000092	XP_006558182.1, XP_396653.1	XP_011175720.1, XP_011175721.1
OG0000092	XP_006560146.1	XP_011162964.1
OG0000094	XP_394160.3, XP_016770351.2	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1
OG0000094	XP_026299983.1	XP_039303166.1
OG0000095	XP_006564430.1	NP_001291530.1, XP_039307299.1, XP_039307298.1, XP_011156878.1, XP_039307311.1, NP_001291531.1, XP_039312645.1, XP_039304610.1, XP_039304261.1, XP_039304262.1, XP_025997578.1, XP_039304282.1
OG0000096	XP_026300868.1	XP_011156409.1, XP_039313932.1
OG0000096	XP_003250667.2, XP_006562163.1	XP_039306601.1
OG0000097	XP_006566906.1, NP_001011628.1	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1
OG0000097	NP_001014993.1	XP_025992182.1, XP_011159441.1
OG0000098	XP_006561279.1	XP_025996352.1
OG0000099	XP_026301459.1	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1
OG0000099	XP_026301457.1, XP_026301458.1	XP_039314426.1
OG0000099	XP_006563474.1	XP_011164670.2
OG0000101	XP_016769181.1	XP_011159599.3
OG0000101	XP_016769182.2	XP_025989569.1
OG0000102	XP_026298009.1	XP_025989688.2, XP_025989699.1
OG0000102	XP_016768868.1, XP_006559629.1	XP_025989703.1
OG0000103	XP_395932.2, XP_016769753.1, XP_006559124.1, XP_006559125.1	XP_011161395.1
OG0000103	XP_026298877.1	XP_011161367.1
OG0000103	XP_006558409.1, XP_016770073.1, XP_006558410.1	XP_011161334.1
OG0000107	XP_006570363.1	XP_011159805.1
OG0000108	XP_026296997.1, XP_026296995.1, XP_026296996.1	XP_025985914.1
OG0000109	XP_006568159.1, XP_396912.1, XP_026300511.1, XP_006568157.1	XP_011157413.1, XP_011157412.1
OG0000110	XP_016771484.1, XP_026300877.1	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1
OG0000111	XP_016767388.2	XP_039301713.1
OG0000111	XP_016769305.2	XP_039308795.1
OG0000112	XP_016770669.1	XP_025989590.2
OG0000113	XP_001120149.1	XP_011169897.1
OG0000113	XP_001121347.2	XP_011176341.1, XP_011176387.1
OG0000114	XP_026296673.1	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1
OG0000115	NP_001153742.1, XP_026295756.1	NP_001291541.1
OG0000116	XP_001119871.2, XP_006567638.1, XP_006567639.1, XP_006567636.1	XP_011158331.1, XP_039303768.1
OG0000117	XP_006566844.1	XP_011157894.1
OG0000117	XP_016769650.1, XP_006561716.1, XP_006561714.1, XP_006561715.1, XP_006561713.1	XP_011170972.1, XP_011170971.1
OG0000119	XP_006567540.1, XP_006567591.1, XP_016769352.1, XP_016769353.1	XP_039303820.1, XP_025988519.1, XP_011160452.1, XP_011160472.1, XP_039303816.1, XP_011160453.1, XP_011160457.2, XP_011160459.1, XP_011160469.1
OG0000120	XP_026300994.1, XP_026300993.1, XP_026300992.1, XP_396662.2, XP_006559344.1	XP_011175144.2
OG0000122	XP_396281.5	XP_039310041.1
OG0000122	XP_006569022.1	XP_039305859.1
OG0000123	XP_026296924.1, XP_026296929.1, XP_026296930.1, XP_026296925.1, XP_026296926.1, XP_026296927.1, XP_026296928.1	XP_011169664.1
OG0000124	XP_026297158.1, XP_026297157.1, XP_026297160.1, XP_026297159.1	XP_039302015.1
OG0000125	XP_016768147.1, XP_393208.1	XP_011166830.1, XP_011166831.1
OG0000126	XP_016772382.1, NP_001011571.1	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1
OG0000127	XP_006570777.1, XP_016771428.1, XP_016771429.1, XP_001122616.1	XP_011165176.1, XP_039307622.1, XP_025994182.1
OG0000127	XP_396819.2	XP_039307613.1, XP_039307615.1
OG0000129	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571984.1, XP_006571986.1	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2
OG0000130	XP_006568433.1, XP_006568428.1	XP_039309465.1
OG0000130	XP_026297554.1, XP_394687.3, XP_006565573.1	XP_025991693.1, XP_025991692.1
OG0000131	XP_006564418.1	XP_011159624.1
OG0000131	XP_392990.2	XP_011168548.1
OG0000131	XP_003251503.1	XP_011168539.1
OG0000132	XP_006569358.1, XP_006569359.1, XP_016767260.1	XP_039305040.1, XP_011175354.1
OG0000132	XP_006567280.1, XP_006567283.1, XP_006567281.1	XP_011162113.1
OG0000133	XP_026295597.1, XP_026295595.1, XP_026295600.1, XP_026295601.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295596.1	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1
OG0000133	XP_006571481.2	XP_039303648.1
OG0000135	XP_392723.3	XP_025991427.1
OG0000135	XP_006570858.1, XP_026300893.1	XP_011168086.1
OG0000136	XP_001123230.2, XP_001122953.3, XP_026298823.1, XP_003251589.1, XP_006570633.1, XP_006570637.2	XP_011168434.2, XP_011168435.1, XP_011168438.2, XP_039309206.1, XP_025989059.2, XP_011168437.1, XP_011168436.1, XP_011168451.1
OG0000137	XP_016768164.1, XP_016768165.1, XP_393390.3, XP_016768163.1	XP_039302269.1, XP_011164282.1
OG0000137	XP_026298341.1	XP_025987902.2, XP_011171988.2, XP_011171990.2, XP_011171989.2
OG0000138	XP_006561534.1	XP_011156769.2
OG0000139	XP_026302052.1	XP_011163312.2, XP_025992297.2
OG0000141	XP_396377.3, XP_016771703.1	XP_011172931.2
OG0000141	XP_393772.4	XP_011173169.1
OG0000142	XP_026300389.1, XP_026300390.1	XP_039305867.1, XP_025986931.2, XP_039314570.1, XP_025986941.2, XP_025986936.2, XP_039314535.1, XP_039314558.1, XP_011168007.2, XP_039314529.1, XP_039314590.1, XP_039314564.1, XP_039305868.1, XP_039305708.1, XP_039305809.1, XP_039305616.1, XP_039305178.1, XP_039305782.1
OG0000143	XP_001120755.1, XP_006568273.1, XP_006568272.1, XP_006568271.1, XP_016766288.1	XP_011158940.1, XP_011158941.1
OG0000144	NP_001092187.1	XP_011155485.2
OG0000144	NP_001104234.1	XP_011155484.1
OG0000145	XP_006571519.1, NP_001128406.1	XP_039310475.1, XP_039310474.1
OG0000145	XP_006557552.1, NP_001011643.1	XP_025989810.1
OG0000146	XP_006569990.1	XP_011158610.1
OG0000146	XP_001120801.1	XP_011163024.1, XP_011163029.1
OG0000149	XP_624573.2	XP_011168700.1
OG0000149	XP_006560541.1	XP_039303906.1, XP_011168707.2, XP_011168703.2, XP_011168705.2, XP_011168706.2, XP_011168701.2
OG0000150	XP_006565287.1, XP_006565286.1, XP_006565285.1, XP_006565289.1, XP_006565288.1, XP_393853.1	XP_011156682.1, XP_025991203.1, XP_011156666.1, XP_011156673.1, XP_025991204.1
OG0000151	XP_026295481.1, XP_026295482.1, XP_026295477.1, XP_026295478.1, XP_026295479.1, XP_026295480.1, XP_026295483.1	XP_011167344.2
OG0000152	XP_016768964.1, XP_006564637.1, XP_006564641.1, XP_006564638.1, XP_006564639.1, XP_006564640.1	XP_011159593.1, XP_011159592.1
OG0000153	XP_006557622.1	XP_025991417.2
OG0000154	XP_003249939.3	XP_039306572.1, XP_011172804.1, XP_039306683.1
OG0000156	XP_006570154.1, XP_016768502.1, XP_016768504.1, XP_016768503.1	XP_039313051.1, XP_039313052.1, XP_011167313.1, XP_011167314.1, XP_011167312.1
OG0000157	XP_016771183.1, XP_016771274.2	XP_039311111.1, XP_039311110.1
OG0000158	XP_026295419.1, XP_026296654.1	XP_039312830.1
OG0000160	XP_006570492.2	XP_025995468.2
OG0000161	NP_001011563.1	XP_011171818.2, XP_011157167.1, XP_011171836.1
OG0000162	XP_016767550.1, NP_001073029.1	XP_011158164.1
OG0000162	NP_001091690.1, XP_026298411.1	XP_025990139.1
OG0000164	XP_006558190.2	XP_011175603.2, XP_039313027.1
OG0000165	XP_006559859.1, XP_006559861.1, XP_006559860.1, XP_396828.2	XP_011162664.1, XP_011162665.1, XP_025987522.1, XP_025987521.1
OG0000165	XP_006566324.1	XP_011173553.1
OG0000166	XP_016766244.2, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_006569176.3, XP_006569170.3	XP_025986750.2, XP_025986751.2, XP_039305072.1, XP_039305077.1
OG0000168	XP_016767974.1, NP_001035325.2	XP_025989788.2
OG0000169	XP_026296993.1	XP_011166801.1, XP_011166805.2, XP_011166806.2
OG0000170	XP_006566077.2	XP_011161396.1
OG0000170	XP_026299163.1	XP_011161392.2
OG0000170	XP_006566079.2	XP_011161398.1
OG0000171	XP_623922.2	XP_011160261.1, XP_039309768.1, XP_011160941.1, XP_039309770.1, XP_011160937.1, XP_011160936.1
OG0000172	XP_006565262.1, XP_006565259.1, XP_006565261.1	XP_039313711.1
OG0000173	XP_006560020.1, XP_006560019.1	XP_025993243.1, XP_011165836.1, XP_039304290.1, XP_011165837.1, XP_011165835.1
OG0000174	XP_394018.2	XP_025991237.1, XP_025991236.1, XP_025991235.1, XP_025991234.1, XP_025991233.1, XP_039302167.1, XP_039302166.1
OG0000175	XP_026300817.1, XP_026300815.1, XP_006560073.1, XP_006560074.1, XP_623977.2, XP_026300816.1	XP_039302006.1, XP_039302007.1, XP_011157853.1
OG0000176	XP_003251204.1	XP_025986721.1
OG0000177	XP_001121910.1	XP_025993788.1
OG0000177	XP_016770327.1, XP_006566372.1	XP_011167661.1
OG0000178	XP_026295360.1	XP_011165136.1
OG0000179	XP_026301506.1	XP_039308745.1
OG0000179	XP_393381.2	XP_011164111.1
OG0000179	XP_001119897.1	XP_011163234.1
OG0000180	XP_006559502.1, XP_006559501.1, XP_393573.1, XP_016769007.1, XP_016769006.1	XP_011166951.1, XP_011166952.1, XP_025986052.1, XP_025986051.1
OG0000181	XP_393751.2, XP_006570397.2, XP_016770282.2	XP_025994298.1, XP_025994299.1, XP_039312812.1, XP_039312813.1, XP_011169149.1, XP_011169148.1
OG0000182	XP_006561855.2	XP_011171027.1, XP_039307169.1, XP_039307168.1, XP_039307167.1, XP_039307166.1, XP_025991013.1
OG0000183	XP_026298476.1, XP_026298477.1	XP_011173713.1, XP_011173715.1
OG0000183	XP_395404.2	XP_025992667.1
OG0000184	XP_016773569.1, XP_026300573.1	XP_039308158.1, XP_039308138.1, XP_039308136.1
OG0000185	XP_003250560.1	XP_011158491.1, XP_011158492.1
OG0000185	XP_006565025.1	XP_039315703.1, XP_039315704.1, XP_039315705.1, XP_039315702.1
OG0000186	XP_001119981.4	XP_039303622.1, XP_025989743.2, XP_011172186.2, XP_039302616.1, XP_011172178.2, XP_011172155.1, XP_025989742.2, XP_011172133.1
OG0000187	XP_016769442.2	XP_039309150.1, XP_011165088.1, XP_011165087.1
OG0000188	XP_394855.4	XP_039308892.1, XP_039308891.1, XP_039308889.1, XP_039308888.1
OG0000188	XP_395697.2	XP_011168465.1
OG0000190	XP_006563703.1, XP_006563702.1, XP_006563701.1, XP_006563700.1	XP_011166168.1, XP_039304064.1, XP_025988559.1
OG0000191	XP_026301152.1	XP_039315120.1, XP_011164616.2
OG0000192	XP_006557723.1, XP_396406.5, XP_006557720.1	XP_039310511.1, XP_039310512.1, XP_039310513.1, XP_039310514.1, XP_025989114.2, XP_025989113.2, XP_011155855.2
OG0000194	XP_003249950.2	XP_039304800.1
OG0000194	NP_001257752.1	XP_011158373.2
OG0000194	XP_006561931.1, XP_016769566.1, XP_016769565.2	XP_025992171.1, XP_039304703.1
OG0000196	XP_003250051.2	XP_039306717.1, XP_011171411.1, XP_011171412.1, XP_039306716.1
OG0000196	XP_003251169.1, XP_016771426.1	XP_011161482.2
OG0000197	XP_006565013.1, XP_016773443.1, XP_026300501.1, XP_006565014.2	XP_011157191.1
OG0000198	XP_006566997.1, XP_624772.2	XP_011163990.2, XP_039313887.1, XP_025994493.1
OG0000200	XP_026296548.1	XP_011170758.1
OG0000200	XP_006566649.2, XP_006566650.1	XP_011168061.1, XP_011168064.1
OG0000201	XP_006562412.3	XP_039308817.1, XP_011165064.3, XP_039308820.1, XP_011165062.1, XP_011165070.2, XP_011165069.2
OG0000202	XP_006558615.1	XP_025988731.1
OG0000202	XP_016768758.1, XP_016768759.1	XP_025993071.1
OG0000203	XP_623676.2	XP_011160113.1, XP_011160112.1
OG0000203	XP_006558107.2, XP_395356.4	XP_011168468.1, XP_039309884.1
