Orthogroup	Apis_mellifera	Anopheles_gambiae
OG0000020	XP_006569751.2, XP_026301504.1	XP_314903.3, XP_554132.3
OG0000020	XP_006560785.2	XP_001238085.2, XP_319101.4
OG0000020	XP_026300927.1	XP_001231126.3
OG0000021	XP_026299753.1	XP_321592.4
OG0000022	XP_001119899.1	XP_551996.1
OG0000022	XP_624700.1	XP_318365.3
OG0000022	XP_001120346.1	XP_306256.1, XP_307083.3
OG0000023	XP_001122218.1	XP_320334.2, XP_320329.2, XP_001238300.1, XP_306255.2, XP_307082.2
OG0000026	XP_392530.3	XP_558069.3
OG0000026	XP_006557594.2	XP_003436038.1, XP_308060.4
OG0000026	XP_026295189.1	XP_320025.4, XP_320023.4, XP_320032.4, XP_320040.3, XP_320020.4, XP_553184.3
OG0000026	XP_003251584.1	XP_322033.4
OG0000027	XP_003251624.1	XP_318361.3, XP_315129.4
OG0000027	XP_006570863.1	XP_306825.4, XP_307607.3, XP_306004.3, XP_307600.4
OG0000029	NP_001257747.1, NP_001257746.1	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1, XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1
OG0000029	NP_001257750.1	XP_319711.4
OG0000029	NP_001257748.1, NP_001257749.1	XP_001688326.1, XP_003436466.1, XP_560960.4, XP_311664.4
OG0000030	NP_001177849.1, XP_006572276.1	XP_320774.4
OG0000032	XP_026298886.1	XP_321319.5, XP_320826.2, XP_320829.4, XP_313740.5, XP_310281.6
OG0000035	XP_392319.3	XP_317561.4
OG0000035	XP_394494.5	XP_309943.4, XP_001687884.1, XP_308284.4, XP_317047.3, XP_555044.3, XP_308459.4, XP_308744.4, XP_001688832.1, XP_316292.4, XP_308743.3
OG0000036	NP_001035360.1	XP_001688834.1, XP_001237786.1, XP_565386.2
OG0000036	XP_006563422.1, XP_001121077.2, XP_003250085.1	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1
OG0000037	NP_001257751.1	XP_308914.4, XP_308913.3, XP_001237150.1, XP_308915.3, XP_316348.4, XP_308909.2, XP_556645.1, XP_308908.3, XP_308891.2, XP_316624.3, XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1, XP_308896.4, XP_308892.4, XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1
OG0000038	XP_623220.1, XP_006567025.1	XP_551626.4, XP_321937.5, XP_309723.4
OG0000038	XP_394092.3	XP_312152.5
OG0000040	XP_394370.2	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3, XP_001689276.1, XP_318423.5, XP_001689275.1, XP_552320.3, XP_310364.7
OG0000041	NP_001172074.1, NP_001172075.1	XP_001230772.1, XP_003437050.1, XP_003437049.1
OG0000041	XP_003251464.1, XP_016767697.1	XP_313971.4
OG0000041	XP_625015.1	XP_315271.4
OG0000042	XP_026296155.1, XP_026296156.1, XP_026296157.1, XP_026296158.1, XP_006571892.1, XP_623925.2, XP_026296164.1, XP_026296165.1	XP_311704.5
OG0000042	XP_026295892.1, XP_026295893.1	XP_003435912.1, XP_003435911.1, XP_003435913.1, XP_321375.3, XP_307056.3
OG0000043	XP_016768084.1, NP_001071287.1	XP_317400.2
OG0000043	XP_006557941.1, NP_001071282.1	XP_317404.2
OG0000044	XP_006565547.1, XP_006565544.2	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5
OG0000044	XP_006565537.1	XP_003436574.1
OG0000045	NP_001035326.1, NP_001035349.1, NP_001011608.1	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3
OG0000046	NP_001153524.1	XP_313085.3
OG0000046	NP_001153522.1, NP_001153544.1	XP_001689308.2
OG0000050	XP_026299635.1, XP_392696.5, XP_026297792.1, XP_026297793.1, XP_016768459.2, XP_026297794.1, XP_026300733.1, XP_026300653.1, NP_001128419.1, XP_006564307.1, NP_001136081.1	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5
OG0000052	XP_624251.3	XP_319685.4
OG0000052	XP_006570493.1	XP_320291.3
OG0000054	NP_001257759.1	XP_556684.2
OG0000054	NP_001257754.1, NP_001257753.1	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3
OG0000055	XP_016771370.1	XP_312790.4
OG0000055	XP_393860.4	XP_321277.5
OG0000056	XP_026297251.1	XP_318579.4
OG0000056	XP_026301167.1	XP_550805.4
OG0000056	XP_026299492.1	XP_317863.3
OG0000057	XP_392313.1	XP_309765.4
OG0000057	XP_394469.1	XP_314483.4
OG0000060	XP_006565271.2, XP_006565270.3, XP_026300076.1, XP_026300077.1, XP_016770937.2, XP_016770938.2	XP_318748.4
OG0000061	XP_397017.3	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5
OG0000061	XP_624322.1, XP_016773033.1	XP_309223.5, XP_003437178.1, XP_003437179.1, XP_311857.4
OG0000062	XP_006568238.2	XP_308609.4, XP_308610.4, XP_315550.4, XP_315549.4, XP_308607.3, XP_308606.2, XP_001688031.1
OG0000065	XP_026299150.1	XP_565271.3
OG0000067	XP_006561513.1	XP_320481.4
OG0000067	XP_006560064.1	XP_315003.3, XP_001688603.1, XP_315671.4
OG0000067	XP_395774.2	XP_315363.4
OG0000073	XP_003250137.2	XP_311477.4, XP_554263.1, XP_564483.1
OG0000077	XP_006567467.1	XP_319941.4
OG0000077	XP_395426.5	XP_316979.4, XP_321166.4
OG0000079	XP_026295829.1, XP_026295828.1	XP_001238492.1
OG0000079	XP_006562777.1, XP_006562781.1, XP_006562778.1	XP_319818.4
OG0000080	XP_397228.2	XP_313655.5
OG0000080	XP_006559470.1	XP_313656.5, XP_003436798.1, XP_003436797.1
OG0000082	XP_006565018.1, XP_026300908.1, XP_006565021.2, XP_006565022.2, XP_016773421.2	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2
OG0000085	XP_394579.2	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3
OG0000086	XP_016772143.2, XP_001120043.2	XP_552698.3
OG0000086	XP_016772088.2	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1
OG0000087	XP_624353.1	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4
OG0000087	XP_016772139.1	XP_306334.2, XP_308083.4, XP_308082.4
OG0000088	XP_006566240.1, XP_006566239.1, XP_026299220.1	XP_317091.3
OG0000089	XP_003249883.2, XP_016768850.2	XP_319737.4
OG0000089	XP_001120425.1	XP_310298.6
OG0000091	XP_026299597.1, XP_026299596.1	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2
OG0000092	XP_006560146.1	XP_321262.1, XP_003435947.1
OG0000094	XP_394160.3, XP_016770351.2	XP_317094.4, XP_001689000.1
OG0000094	XP_026299983.1	XP_321973.5, XP_321095.5, XP_003435979.1, XP_003435978.1, XP_001238431.2, XP_321571.5
OG0000094	XP_006572211.1	XP_312311.5
OG0000095	XP_006564430.1	XP_316096.4, XP_316098.3, XP_316099.4
OG0000096	XP_026300868.1	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4
OG0000096	XP_003250667.2, XP_006562163.1	XP_307732.4, XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2
OG0000097	XP_006566906.1, NP_001011628.1, NP_001014993.1	XP_003436515.1, XP_003436516.1, XP_562379.1
OG0000098	XP_006561279.1	XP_314814.3
OG0000099	XP_026301459.1	XP_320987.5
OG0000099	XP_026301457.1, XP_026301458.1	XP_312290.4
OG0000099	XP_006563474.1	XP_313462.4
OG0000100	XP_026300139.1, XP_026300138.1, XP_026300137.1, XP_026300136.1	XP_313581.5
OG0000101	XP_016769181.1	XP_321098.5
OG0000101	XP_016769182.2	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3, XP_552464.1
OG0000102	XP_026298009.1, XP_016768868.1, XP_006559629.1	XP_308709.4, XP_565152.3
OG0000108	XP_026296997.1, XP_026296995.1, XP_026296996.1	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2
OG0000109	XP_006568159.1, XP_396912.1, XP_026300511.1, XP_006568157.1	XP_309801.3
OG0000110	XP_016771484.1, XP_026300877.1, XP_016771820.2	XP_001689285.1
OG0000112	XP_016770669.1	XP_309025.4
OG0000112	XP_395840.2	XP_560420.2
OG0000113	XP_001120149.1, XP_001121347.2	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4
OG0000114	XP_026296673.1	XP_314336.2
OG0000115	NP_001153742.1, XP_026295756.1, NP_001136128.1, XP_006560566.1	XP_311546.4
OG0000116	XP_001119871.2, XP_006567638.1, XP_006567639.1, XP_006567636.1	XP_315806.4
OG0000117	XP_006566844.1	XP_318912.3
OG0000117	XP_016769650.1, XP_006561716.1, XP_006561714.1, XP_006561715.1, XP_006561713.1	XP_001238428.3
OG0000120	XP_026295458.1, XP_026300994.1, XP_026300993.1, XP_026300992.1, XP_396662.2, XP_006559344.1	XP_319911.4
OG0000122	XP_396281.5	XP_309303.3, XP_564139.3
OG0000122	XP_006569022.1	XP_552160.3
OG0000123	XP_026296924.1, XP_026296929.1, XP_026296930.1, XP_026296925.1, XP_026296926.1, XP_026296927.1, XP_026296928.1	XP_317585.4
OG0000124	XP_026297158.1, XP_026297157.1, XP_026297160.1, XP_026297159.1	XP_312632.5
OG0000125	XP_016768147.1, XP_393208.1	XP_321447.5
OG0000126	XP_016772382.1, NP_001011571.1	XP_003436885.1, XP_311618.2
OG0000127	XP_006570777.1, XP_016771428.1, XP_016771429.1, XP_001122616.1	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5
OG0000127	XP_396819.2	XP_309323.2
OG0000129	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571984.1, XP_006571986.1	XP_319208.4
OG0000130	XP_006568433.1, XP_006568428.1, XP_394686.4	XP_314859.4
OG0000130	XP_026297554.1, XP_394687.3, XP_006565573.1	XP_314860.4, XP_557898.3
OG0000131	XP_006564418.1	XP_311973.1, XP_003436315.1
OG0000131	XP_392990.2, XP_003251503.1	XP_320516.2
OG0000132	XP_006569358.1, XP_006569359.1, XP_016767260.1	XP_314281.4
OG0000132	XP_006567280.1, XP_006567283.1, XP_006567281.1	XP_317287.4, XP_319288.2
OG0000133	XP_026295597.1, XP_026295595.1, XP_026295600.1, XP_026295601.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295596.1	XP_001238215.2
OG0000135	XP_006570858.1, XP_026300893.1	XP_321549.1
OG0000136	XP_001123230.2, XP_001122953.3, XP_026298823.1, XP_003251589.1, XP_006570633.1, XP_006570637.2	XP_557311.3, XP_316252.2
OG0000137	XP_016768164.1, XP_016768165.1, XP_393390.3, XP_016768163.1, XP_026298341.1	XP_313095.4
OG0000138	XP_006561534.1, XP_006561540.1	XP_310751.5
OG0000139	XP_026302052.1	XP_318027.4
OG0000140	XP_006565855.1, XP_006565854.1, XP_006565856.1	XP_318829.4
OG0000141	XP_393772.4	XP_317639.4
OG0000143	XP_394342.1, XP_001120755.1, XP_006568273.1, XP_006568272.1, XP_006568271.1, XP_016766288.1	XP_311266.4, XP_311556.4
OG0000144	NP_001092187.1, NP_001011600.1, NP_001104234.1	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4
OG0000145	XP_006571519.1, NP_001128406.1, XP_006557552.1, NP_001011643.1	XP_318854.4
OG0000146	XP_006569990.1	XP_556748.3
OG0000147	XP_026301958.1	XP_312505.3, XP_003436127.1, XP_003436126.1
OG0000149	XP_624573.2	XP_319018.3
OG0000150	XP_006565287.1, XP_006565286.1, XP_006565285.1, XP_006565289.1, XP_006565288.1, XP_393853.1	XP_316248.3
OG0000151	XP_026295481.1, XP_026295482.1, XP_026295477.1, XP_026295478.1, XP_026295479.1, XP_026295480.1, XP_026295483.1	XP_001687986.1
OG0000152	XP_016768964.1, XP_006564637.1, XP_006564641.1, XP_006564638.1, XP_006564639.1, XP_006564640.1	XP_001688746.1, XP_315920.4
OG0000153	XP_006557622.1	XP_315414.4
OG0000156	XP_006570154.1, XP_016768502.1, XP_016768504.1, XP_016768503.1	XP_315693.3
OG0000157	XP_016771183.1, XP_016771274.2	XP_319874.4, XP_319873.4
OG0000160	XP_006570492.2	XP_314536.3
OG0000161	NP_001011563.1, NP_001119716.1	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2
OG0000162	NP_001091691.1, XP_006562616.1	XP_566274.3, XP_311007.4
OG0000162	XP_016767550.1, NP_001073029.1	XP_310786.3
OG0000162	NP_001091690.1, XP_026298411.1	XP_311918.3
OG0000164	XP_016768018.2, XP_006558190.2	XP_552916.2
OG0000165	XP_006559859.1, XP_006559861.1, XP_006559860.1, XP_396828.2	XP_311219.3
OG0000165	XP_006566324.1	XP_311252.5
OG0000166	XP_016766244.2, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_006569176.3, XP_006569170.3	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1
OG0000168	XP_016767974.1, NP_001035325.2	XP_001688600.1, XP_314993.4, XP_001688601.1
OG0000168	NP_001014991.1, XP_026295680.1	XP_308666.4, XP_309810.4
OG0000171	XP_623922.2	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3
OG0000173	XP_006560020.1, XP_006560019.1	XP_313784.5
OG0000174	XP_394018.2	XP_313394.4
OG0000175	XP_026300817.1, XP_026300815.1, XP_006560073.1, XP_006560074.1, XP_623977.2, XP_026300816.1	XP_001687949.1, XP_308467.4
OG0000177	XP_001121910.1	XP_309771.2
OG0000177	XP_016770327.1, XP_006566372.1	XP_001230649.2
OG0000177	XP_016770328.1	XP_001688246.1
OG0000178	XP_026295366.1, XP_026295349.1, XP_026295348.1, XP_026295362.1, XP_026295342.1, XP_026295361.1, XP_026295350.1, XP_026295334.1, XP_026295368.1, XP_026295335.1, XP_026295343.1, XP_026295364.1, XP_026295345.1, XP_026295336.1, XP_026295367.1, XP_026295337.1, XP_026295352.1, XP_026295365.1, XP_026295333.1, XP_026295341.1, XP_026295331.1, XP_026295372.1, XP_026295340.1, XP_026295353.1, XP_026295370.1, XP_026295354.1, XP_026295358.1, XP_026295347.1, XP_026295355.1, XP_026295363.1, XP_026295346.1, XP_026295344.1, XP_026295359.1, XP_026295351.1, XP_026295338.1, XP_026295339.1, XP_026295369.1, XP_026295332.1, XP_026295356.1, XP_026295371.1, XP_026295357.1, XP_026295360.1	XP_307952.5
OG0000179	XP_393381.2	XP_003437002.1, XP_310632.5
OG0000180	XP_006559502.1, XP_006559501.1, XP_393573.1, XP_016769007.1, XP_016769006.1	XP_003436547.1, XP_003436546.1, XP_313417.5
OG0000181	XP_393751.2, XP_006570397.2, XP_016770282.2	XP_321792.2
OG0000183	XP_026298476.1, XP_026298477.1	XP_311711.3
OG0000183	XP_395404.2	XP_317936.4
OG0000184	XP_016773569.1, XP_026300573.1	XP_319373.1
OG0000185	XP_003250560.1	XP_001688361.2
OG0000186	XP_001119981.4	XP_308393.4
OG0000187	XP_016769442.2	XP_318759.3
OG0000188	XP_395697.2	XP_316795.2
OG0000190	XP_006563703.1, XP_006563702.1, XP_006563701.1, XP_006563700.1	XP_003436713.1, XP_312971.1
OG0000191	XP_026301152.1	XP_321501.2, XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4
OG0000192	XP_006557723.1, XP_396406.5, XP_006557720.1	XP_311585.4
OG0000194	XP_003249950.2	XP_556986.2
OG0000196	XP_003250051.2	XP_321556.3
OG0000196	XP_003251169.1, XP_016771426.1	XP_001687817.2, XP_560491.4
OG0000197	XP_006565013.1, XP_016773443.1, XP_026300501.1, XP_006565014.2	XP_308795.4
OG0000198	XP_006566997.1, XP_624772.2	XP_314495.3
OG0000200	XP_026296548.1	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1
OG0000201	XP_006562412.3	XP_312417.5, XP_003436144.1, XP_312416.4, XP_320665.4
OG0000203	XP_623676.2	XP_321914.5
OG0000203	XP_006558107.2, XP_395356.4	XP_315944.3
OG0000204	XP_001121814.2	XP_003436222.1, XP_312208.4
OG0000205	XP_016766914.1	XP_001688795.1, XP_003436549.1
OG0000206	XP_026300186.1	XP_003436103.1, XP_563817.3
OG0000207	NP_001014430.1, XP_006566311.1	XP_308487.3
OG0000207	NP_001011652.1, NP_001305411.1	XP_001688813.1, XP_001688814.1, XP_556880.3
OG0000208	XP_006562317.1	XP_001688810.1, XP_316236.4
OG0000208	XP_625189.3	XP_314845.4
OG0000209	XP_016769475.1, XP_016769473.1, XP_016769472.1, XP_016769471.1, XP_016769470.1, XP_016769476.1, XP_016769474.1	XP_001230643.2, XP_309738.3
OG0000210	XP_026297186.1, XP_016769921.1	XP_001688664.1
OG0000210	XP_006562251.2	XP_319144.3
OG0000212	XP_001121043.2, XP_026298300.1	XP_554502.2, XP_318238.4
OG0000213	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1	XP_309297.2
OG0000214	XP_623084.1	XP_313425.3, XP_003436551.1
OG0000214	XP_392104.4	XP_319075.3, XP_313331.4
OG0000215	XP_016772012.1, XP_394061.2	XP_001689079.1, XP_001230280.1, XP_318019.4
OG0000216	XP_016767691.1	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3, XP_320018.4, XP_320019.4, XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4
OG0000217	XP_394861.4	XP_310550.5, XP_309658.5, XP_001237269.3
OG0000218	XP_623312.2	XP_308642.4
OG0000219	XP_392277.4, XP_006563970.2	XP_309335.4
OG0000221	XP_006571382.1	XP_310745.5
OG0000223	NP_001157186.1, XP_016769330.2	XP_320146.3
OG0000223	XP_001121634.3	XP_308984.1
OG0000224	XP_006560620.1	XP_312099.2, XP_312102.4, XP_003436251.1
OG0000225	XP_006567210.2	XP_310636.2, XP_003437000.1
OG0000226	XP_026300579.1	XP_313395.2
OG0000227	XP_006562291.2, XP_006562294.2, XP_006562293.2, XP_016770836.2	XP_308342.4, XP_001237064.2
OG0000230	XP_001122612.2, XP_026300638.1, XP_026300637.1	XP_001688611.1
OG0000231	XP_006562424.1	XP_003436333.1, XP_316371.4
OG0000232	XP_393976.2, XP_006563043.1, XP_006563042.1	XP_315941.1, XP_315942.3, XP_315943.3
OG0000233	XP_001120116.2, XP_016768768.2, XP_397073.5, XP_026300288.1	XP_311447.4
OG0000234	XP_393127.4	XP_314989.4, XP_316577.4
OG0000235	XP_026294767.1, XP_026294798.1, XP_026294810.1	XP_309952.4
OG0000236	NP_001011639.2	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4
OG0000236	NP_001071293.1	XP_312478.1, XP_001238571.2
OG0000237	XP_006559356.1	XP_559100.2
OG0000237	XP_006559358.1	XP_311581.3
OG0000239	XP_006560473.1, XP_623685.1	XP_003436598.1, XP_310299.2, XP_001230752.2, XP_559533.6, XP_319807.4
OG0000241	XP_006571827.3, XP_016770807.2, XP_016770806.2, XP_016770796.1, XP_016770795.1, XP_026299638.1	XP_553025.3
OG0000243	XP_026297086.1	XP_312943.4, XP_308057.4, XP_321049.3, XP_308058.4
OG0000244	XP_026300900.1	XP_313365.4
OG0000245	NP_001011627.1	XP_315084.2, XP_001230554.1, XP_307623.1, XP_315083.1, XP_001231041.1, XP_001687787.1, XP_315074.1, XP_315076.1, XP_315075.1, XP_315073.2, XP_316323.2, XP_312089.2
OG0000246	XP_394115.2	XP_319840.2, XP_319841.3
OG0000246	XP_006563197.1	XP_319838.3
OG0000247	XP_026296516.1, XP_026296517.1	XP_311005.4
OG0000247	XP_006562263.2	XP_003436566.1
OG0000248	XP_026299493.1	XP_308379.4, XP_315470.5, XP_003435724.1
OG0000249	XP_026298733.1	XP_310971.5
OG0000250	XP_026299154.1, XP_625112.2	XP_003436312.1, XP_003436311.1, XP_311978.5
OG0000252	XP_026298583.1, XP_026298580.1, XP_026298584.1	XP_321164.1
OG0000253	XP_393612.2	XP_310451.4, XP_310450.4, XP_001238805.2
OG0000254	XP_623652.2	XP_312967.3, XP_003436712.1
OG0000256	XP_006571385.1	XP_307890.5
OG0000257	XP_026300984.1	XP_321870.5
OG0000257	XP_026300982.1	XP_321869.5, XP_001689370.2, XP_003435798.1, XP_321867.5, XP_321865.3
OG0000260	XP_016770898.2	XP_550846.3
OG0000261	XP_393396.2	XP_315985.3, XP_001688761.1
OG0000263	XP_006570503.1, XP_393761.1	XP_001687857.1, XP_564524.3, XP_001687858.1
OG0000264	XP_026298264.1, XP_026298263.1	XP_001688533.1, XP_314137.4
OG0000264	NP_001171498.1	XP_311594.2
OG0000265	XP_624456.2	XP_319555.4, XP_312273.4, XP_003436201.1
OG0000266	NP_001171495.1	XP_310704.3
OG0000266	XP_003249289.2	XP_308081.2
OG0000268	XP_006562783.1, XP_016767403.1, XP_026295852.1, XP_026295853.1, XP_016767402.1, XP_016767400.1, XP_016767401.1, XP_016767399.1	XP_309197.1, XP_003437164.1, XP_003437165.1, XP_560220.3, XP_001688171.2, XP_311384.3, XP_311355.3, XP_307829.2
OG0000269	XP_001120910.2	XP_315017.4
OG0000270	XP_003249152.1	XP_003436281.1, XP_312025.4, XP_003436282.1
OG0000270	XP_006558130.1	XP_003436280.1, XP_312026.4
OG0000271	XP_026295760.1, NP_001091688.1	XP_311184.3, XP_312761.3, XP_003436383.1
OG0000272	NP_001073564.1, XP_026302163.1	XP_308042.3, XP_001230608.1
OG0000272	XP_026300655.1, NP_001011621.1	XP_309153.3, XP_314691.2
OG0000273	XP_016767148.1, XP_006560612.2	XP_308599.4, XP_001688028.1
OG0000274	XP_396815.3	XP_319531.4
OG0000275	XP_026298534.1, XP_026298730.1, XP_026298718.1, XP_003251850.1	XP_001237830.2
OG0000276	XP_624151.1	XP_003436154.1, XP_312380.3
OG0000277	XP_001122835.3, XP_006565811.2	XP_315597.3, XP_001688685.1, XP_001688686.1
OG0000278	XP_026296923.1	XP_307914.5, XP_003436076.1
OG0000279	NP_001164579.1	XP_308623.4, XP_317820.4
OG0000280	XP_026300514.1	XP_001238321.1, XP_552131.1, XP_001688631.1
OG0000283	XP_006567824.1, XP_006567820.1, XP_006567825.1, XP_006567823.1, XP_016767795.1, XP_016767792.1, XP_026296835.1	XP_315855.4
OG0000284	NP_001010975.1	XP_003436098.1, XP_003436097.1, XP_312601.2
OG0000284	XP_026296666.1, XP_395934.2	XP_308964.2
OG0000285	XP_016767133.1, XP_001120198.1	XP_309398.1
OG0000286	NP_001164443.1	XP_309986.3
OG0000287	XP_016771224.1, XP_026302005.1, XP_026302006.1, XP_026302007.1, XP_026302008.1, XP_006570139.1, XP_006570135.1, XP_006570134.1, XP_006570140.1, XP_026302009.1	XP_315240.3
OG0000287	XP_624121.2	XP_320482.3
OG0000288	XP_026295225.1	XP_552525.3
OG0000288	XP_624678.1	XP_319330.4
OG0000289	XP_396469.1, XP_006571187.1, XP_006571186.1, XP_006571185.1	XP_319051.2
OG0000291	XP_026298041.1, XP_006560155.1, XP_006560156.1	XP_001689411.1
OG0000295	XP_026296372.1, XP_026296371.1	XP_564212.2
