Orthogroup	Apis_mellifera	Bombus_terrestris
OG0000013	XP_006563134.1, XP_624499.1	XP_003400771.1, XP_003400772.1
OG0000014	XP_003251627.1	XP_012175524.1
OG0000014	XP_006570861.2	XP_003393114.1
OG0000018	XP_393750.5	XP_012169775.2
OG0000018	XP_006564136.1	XP_012164635.1, XP_012164634.1, XP_012164629.1, XP_012164630.1
OG0000018	XP_006566761.2, XP_026299796.1, XP_006566764.2, XP_006566762.2, XP_006566763.2	XP_012169298.1
OG0000018	XP_026299794.1	XP_003399081.1
OG0000019	XP_026299702.1	XP_003398973.1, XP_020721097.1, XP_020721100.1, XP_020721101.1, XP_020721098.1, XP_020721099.1
OG0000019	XP_394827.4	XP_003401753.1
OG0000019	XP_006572051.3	XP_003401949.1
OG0000020	XP_006569751.2	XP_003394639.2
OG0000020	XP_006560785.2	XP_003393559.1
OG0000020	XP_026300927.1	XP_020723566.1
OG0000022	XP_001119899.1	XP_003396338.1
OG0000022	XP_624700.1	XP_003394856.1
OG0000022	XP_001120186.1	XP_003392968.1
OG0000023	XP_003251626.1	XP_012175550.1
OG0000023	XP_001120014.1, XP_003251406.1	XP_003396974.1, XP_012165320.1
OG0000024	XP_026299083.1, XP_001120613.2	XP_003402753.1
OG0000024	XP_016773395.2	XP_012165904.1, XP_012165907.1, XP_012165906.1
OG0000024	NP_001011620.1	XP_003401520.1
OG0000025	XP_026294993.1, XP_026295496.1	XP_012174534.1, XP_012175225.1, XP_012175228.1, XP_003401566.2, XP_012168908.1, XP_012176696.1, XP_020718358.1
OG0000026	XP_026295189.1	XP_020719195.1
OG0000026	XP_003251584.1	XP_003402887.1, XP_012174757.1
OG0000027	XP_003251624.1	XP_003392964.1, XP_003392970.1
OG0000027	XP_006570863.1	XP_012166136.1, XP_003393115.1
OG0000029	NP_001257747.1	XP_003399185.1, XP_012169459.1
OG0000029	NP_001257750.1	XP_003399852.3
OG0000029	NP_001257748.1	XP_020721313.1
OG0000029	NP_001257749.1	XP_020721315.1
OG0000030	NP_001177849.1, XP_006572276.1	XP_020720274.1
OG0000030	XP_026300187.1	XP_012170594.1, XP_003399944.1
OG0000032	XP_026298886.1	XP_003398435.1, XP_012174894.1, XP_003403021.1, XP_003398436.1, XP_003398432.1, XP_003398434.1
OG0000033	XP_016771932.2	XP_003400510.1, XP_012171365.1
OG0000034	XP_026299312.1, NP_001229915.1	XP_012169049.1, XP_012169050.1
OG0000034	XP_016770782.1, XP_016770780.1	XP_020721189.1, XP_020721190.1
OG0000034	XP_016770788.1	XP_012169044.2
OG0000035	XP_392319.3	XP_003394979.1
OG0000035	XP_394494.5	XP_020718418.1
OG0000036	XP_016771997.1, XP_001120999.2	XP_003401763.1
OG0000036	XP_006563421.1	XP_003401255.1
OG0000036	XP_006563422.1	XP_003401252.1
OG0000036	XP_001121077.2	XP_012172397.1
OG0000036	XP_003250085.1	XP_012175443.1
OG0000037	NP_001257751.1	XP_003403001.3
OG0000038	XP_623220.1	XP_003396169.1
OG0000038	XP_006567025.1	XP_003399700.1
OG0000038	XP_006558759.1	XP_003394986.1, XP_020718384.1
OG0000038	XP_394092.3	XP_003401138.1
OG0000038	XP_006563567.1	XP_012172201.2
OG0000038	XP_026300252.1	XP_012172637.1
OG0000038	XP_396338.2	XP_003401157.1
OG0000040	XP_026297199.1	XP_003402742.1
OG0000040	XP_394370.2	XP_003393535.1
OG0000041	NP_001172074.1, NP_001172075.1	XP_003396989.1, XP_003396990.1
OG0000041	XP_026296530.1	XP_003394488.1
OG0000041	XP_003251464.1, XP_016767697.1	XP_003394490.1
OG0000041	XP_625015.1	XP_003399722.1
OG0000042	XP_026296155.1, XP_026296156.1, XP_026296157.1, XP_026296158.1, XP_006571892.1, XP_623925.2, XP_026296164.1, XP_026296165.1	NP_001272327.1, XP_012163186.1
OG0000042	XP_026295892.1, XP_026295893.1	NP_001267818.1
OG0000043	XP_016768084.1, NP_001071287.1	XP_003392868.1
OG0000043	NP_001011583.1	XP_003402013.1
OG0000043	XP_006557941.1, NP_001071282.1	XP_012173547.1
OG0000044	XP_006565544.2	XP_020723893.1, XP_012175325.1
OG0000044	XP_006565537.1	XP_020723251.1
OG0000045	NP_001035326.1	XP_003395914.2
OG0000045	NP_001035349.1	XP_003403314.1, XP_020719958.1, XP_003402225.2
OG0000045	NP_001011608.1	XP_012164669.1
OG0000045	XP_006564814.1, XP_026296732.1, XP_006564813.1	XP_020718668.1, XP_020718669.1, XP_020718666.1, XP_020718667.1, XP_020718665.1, XP_020718671.1, XP_020718670.1
OG0000046	NP_001153524.1	XP_012176148.2
OG0000046	NP_001153522.1	XP_003397462.1
OG0000048	XP_016769367.1	XP_020720389.1
OG0000048	XP_026298613.1	XP_020720387.1
OG0000050	XP_026299635.1, XP_392696.5	XP_003398997.1
OG0000050	XP_026297792.1, XP_026297793.1, XP_016768459.2, XP_026297794.1, XP_026300733.1, XP_026300653.1, NP_001128419.1, XP_006564307.1, NP_001136081.1	XP_003396910.2
OG0000052	XP_624251.3	XP_003397483.1
OG0000054	NP_001257759.1	XP_012175318.1
OG0000054	NP_001257754.1	XP_003402283.1, XP_003403304.1
OG0000054	NP_001257753.1	XP_003403303.1
OG0000055	XP_016771370.1	XP_012170773.1
OG0000055	XP_006562397.1	XP_020718283.1
OG0000055	XP_393860.4	XP_012170213.1
OG0000056	XP_026297251.1	XP_020723650.1
OG0000056	XP_026301167.1	XP_003399457.3
OG0000056	XP_026297087.1	XP_020723637.1
OG0000056	XP_026299492.1	XP_020720993.1
OG0000057	XP_392313.1	XP_003395180.1
OG0000057	XP_026300739.1	XP_003400373.1
OG0000057	XP_394471.1	XP_003395196.1
OG0000057	XP_394469.1	XP_003395170.1
OG0000058	XP_026294942.1	XP_020722072.1
OG0000058	NP_001314879.1, XP_016766488.1, XP_026294950.1, XP_026294949.1, XP_016766484.1	XP_020723333.1, XP_012173473.1, XP_012173466.1
OG0000058	XP_026301740.1, XP_016766491.1, XP_006557709.2, XP_026294837.1, XP_026300513.1	XP_003397834.1, XP_020720441.1
OG0000058	XP_006571977.2, XP_026301741.1	XP_012164723.2, XP_020719146.1, XP_020719100.1
OG0000058	XP_026298536.1	XP_020720438.1, XP_012167402.1
OG0000060	NP_001180219.1, XP_006565210.1	XP_020721716.1
OG0000061	XP_397017.3	XP_003392898.1
OG0000061	XP_624322.1, XP_016773033.1	XP_020723139.1, XP_020723140.1, XP_020723141.1, XP_020723142.1
OG0000062	XP_006568238.2	XP_012175695.2
OG0000062	XP_001119884.1	XP_012169969.1
OG0000062	XP_001120194.1	XP_012170000.1
OG0000062	XP_001120137.1	XP_020722101.1
OG0000064	NP_001229916.1	XP_003399526.1
OG0000064	XP_026299914.1, NP_001229917.1, XP_006562273.2, XP_006562271.1	XP_012169978.1
OG0000065	XP_026299150.1	XP_012168045.1
OG0000067	XP_006561513.1	XP_003397328.1
OG0000067	XP_026300867.1	XP_003400944.1
OG0000067	XP_026299464.1	XP_012169196.1
OG0000067	XP_006560064.1	XP_020722094.1
OG0000067	XP_395774.2	XP_020722130.1
OG0000069	XP_006564460.2, XP_392727.4	XP_012169151.1, XP_020721324.1
OG0000069	XP_016770440.2	XP_003399002.1
OG0000069	XP_016770442.2	XP_012169153.1
OG0000070	NP_001229918.1	XP_012167492.2, XP_012167490.1, XP_020720119.1
OG0000073	XP_003250137.2	XP_003393467.1
OG0000073	XP_003251791.2	XP_020722566.1, XP_020719067.1, XP_020719074.1, XP_003393329.1
OG0000073	XP_003251779.1	XP_003393341.1, XP_003393340.1, XP_003393343.1
OG0000073	XP_016773440.1	XP_012166402.1
OG0000074	XP_001120594.2	XP_012175299.1
OG0000077	XP_006567467.1	NP_001267840.1
OG0000077	XP_395426.5	XP_012166572.2
OG0000078	XP_026294842.1	XP_020720864.1, XP_012168558.1
OG0000078	XP_006572184.2	XP_020723334.1
OG0000078	XP_026294928.1	XP_020723842.1
OG0000078	XP_026294841.1	XP_020720719.1, XP_012168483.1
OG0000079	XP_026295829.1	XP_020718409.1, XP_020718415.1
OG0000079	XP_026295828.1	XP_020718407.1
OG0000079	XP_006562781.1	XP_020718411.1
OG0000080	XP_397228.2	XP_003399522.1
OG0000080	XP_623221.2	XP_012169830.1
OG0000080	XP_006559470.1	XP_012169831.1
OG0000081	XP_006563549.2, NP_001229913.1, XP_016772002.2, XP_394081.6, XP_026301357.1, XP_016772004.2, XP_026301413.1	XP_020722589.1, XP_003403422.1, XP_003403234.2, XP_020722487.1, XP_003401115.1, XP_003401178.1, XP_020722598.1, XP_020722486.1, XP_003401116.2, XP_020722597.1, XP_003403027.1
OG0000082	XP_006565018.1	XP_012171772.1
OG0000082	XP_026300908.1, XP_006565021.2, XP_006565022.2, XP_016773421.2	XP_012171768.1, XP_003400713.1, XP_020722282.1
OG0000084	NP_001257744.1	XP_003393656.1
OG0000084	NP_001257757.1	XP_003393657.1
OG0000084	NP_001257743.1	XP_012172250.1
OG0000084	XP_026300413.1	XP_003400023.1
OG0000085	XP_394579.2	XP_012164376.1, XP_003395843.1, XP_012164375.1, XP_012164374.1
OG0000086	XP_016772143.2, XP_001120043.2	XP_003401334.1
OG0000086	XP_016772088.2	XP_012172254.1
OG0000087	XP_624353.1	XP_020722624.1, XP_012172367.1
OG0000087	XP_016772139.1	XP_012172366.1
OG0000088	XP_006566240.1, XP_006566239.1, XP_026299220.1	XP_003398593.1
OG0000089	XP_003249883.2, XP_016768850.2	XP_003397324.1, XP_003397322.1, XP_003397323.1, XP_012166700.1, XP_012166697.1
OG0000089	XP_001120425.1	XP_003396210.1
OG0000091	XP_026299597.1, XP_026299596.1	XP_020721177.1, XP_003402576.2, XP_020721343.1, XP_012169463.2
OG0000092	XP_006558182.1, XP_396653.1	XP_020718989.1, XP_003395974.1
OG0000092	XP_396654.1, XP_016768016.1	XP_020718993.1, XP_020718992.1, XP_003395973.1
OG0000092	XP_006560146.1	XP_003400287.1, XP_012171069.1
OG0000094	XP_394160.3, XP_016770351.2	XP_012164578.1
OG0000094	XP_026299983.1	XP_012170607.1
OG0000094	XP_006572211.1	XP_003399925.2
OG0000095	XP_006564430.1	XP_003398964.1
OG0000096	XP_026300868.1	XP_003400671.1, XP_003400637.1
OG0000096	XP_003250667.2, XP_006562163.1	XP_003395393.1, XP_012166067.2
OG0000097	XP_006566906.1, NP_001011628.1	XP_012170206.1, XP_003399689.1
OG0000097	NP_001014993.1	XP_012173498.1, XP_020723033.1
OG0000098	XP_006561279.1	XP_012168084.1, XP_012168083.1, XP_012168086.1, XP_012168085.1, XP_003398369.1
OG0000099	XP_026301459.1	XP_020722786.1
OG0000099	XP_026301457.1, XP_026301458.1	XP_012172596.1
OG0000099	XP_006563474.1	XP_020722424.1
OG0000100	XP_026300139.1, XP_026300138.1, XP_026300137.1, XP_026300136.1	XP_003399794.1, XP_020721436.1, XP_020721435.1, XP_012170386.1, XP_012170387.1, XP_012170385.1, XP_012170380.1, XP_012170379.1
OG0000101	XP_016769181.1	XP_003397360.1
OG0000101	XP_016769182.2	XP_020719744.1
OG0000102	XP_026298009.1	XP_020722917.1
OG0000102	XP_016768868.1, XP_006559629.1	XP_012173277.1
OG0000103	XP_395932.2, XP_016769753.1, XP_006559124.1, XP_006559125.1	XP_012168396.1, XP_012168395.1, XP_020720588.1
OG0000103	XP_026298877.1	XP_012168399.1
OG0000103	XP_006558409.1, XP_016770073.1, XP_006558410.1	XP_012168403.1
OG0000106	XP_001120660.2	XP_003393433.2
OG0000107	XP_006570363.1	XP_012169401.1, XP_020720964.1
OG0000108	XP_026296997.1, XP_026296995.1, XP_026296996.1	XP_012174803.1
OG0000109	XP_006568159.1, XP_396912.1, XP_026300511.1, XP_006568157.1	XP_003398706.1, XP_003398707.1
OG0000110	XP_016771484.1, XP_026300877.1	XP_003400537.1, XP_012171442.1, XP_012171440.1, XP_012171439.1
OG0000110	XP_016771820.2	XP_003400818.1
OG0000111	XP_016767388.2	XP_012165042.1
OG0000111	XP_016769305.2	XP_012173034.1
OG0000112	XP_016770669.1	XP_012168598.1, XP_020720998.1, XP_012168597.1, XP_012168596.1, XP_012168595.1
OG0000112	XP_395840.2	XP_012163934.1
OG0000113	XP_001121347.2	XP_020718272.1, XP_003394925.1
OG0000114	XP_026296673.1	XP_020718756.1
OG0000115	NP_001153742.1, XP_026295756.1	XP_003395150.1
OG0000115	NP_001136128.1, XP_006560566.1	XP_003395075.1
OG0000116	XP_001119871.2, XP_006567638.1, XP_006567639.1, XP_006567636.1	XP_012167612.1, XP_020720167.1, XP_020720163.1, XP_020720164.1, XP_020720166.1, XP_012167610.1, XP_012167613.1, XP_020720165.1, XP_003397905.1, XP_003397904.1, XP_012167611.1, XP_003397903.1
OG0000117	XP_006566844.1	XP_012176486.1
OG0000117	XP_016769650.1, XP_006561716.1, XP_006561714.1, XP_006561715.1, XP_006561713.1	XP_003398039.1
OG0000119	XP_006567540.1, XP_006567591.1	XP_020720337.1, XP_020720348.1, XP_020720338.1, XP_020720336.1
OG0000119	XP_016769353.1	XP_020720341.1
OG0000120	XP_026295458.1	XP_012176279.1
OG0000120	XP_026300994.1, XP_026300993.1, XP_026300992.1, XP_396662.2, XP_006559344.1	XP_003400542.1, XP_012171451.1, XP_012171452.1, XP_012171449.1, XP_012171450.1, XP_012171447.1, XP_012171454.1, XP_012171455.1
OG0000122	XP_396281.5	XP_012165001.1
OG0000122	XP_006569022.1	XP_012174370.1
OG0000123	XP_026296924.1, XP_026296929.1, XP_026296930.1, XP_026296925.1, XP_026296926.1, XP_026296927.1, XP_026296928.1	XP_003397633.1, XP_012167209.1, XP_012167212.1, XP_012167211.1, XP_012167208.1, XP_012167210.1
OG0000124	XP_026297158.1, XP_026297157.1, XP_026297160.1, XP_026297159.1	XP_012164839.1
OG0000125	XP_016768147.1	XP_003402889.2
OG0000125	XP_393208.1	XP_003402892.1, XP_003402547.3
OG0000126	XP_016772382.1, NP_001011571.1	XP_012173626.1, XP_003402194.1, XP_020723219.1, XP_020723220.1, XP_020723218.1, XP_012173627.1
OG0000127	XP_006570777.1, XP_016771428.1, XP_016771429.1	XP_003393060.1, XP_003393061.1, XP_012163415.1, XP_012163409.1
OG0000127	XP_396819.2	XP_003393059.1, XP_020718439.1, XP_020718434.1
OG0000129	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571984.1, XP_006571986.1	XP_003398638.1, XP_012168489.1, XP_012168490.1, XP_012168488.1, XP_012168487.1, XP_012168486.1, XP_012168485.1, XP_012168484.1
OG0000130	XP_006568433.1, XP_006568428.1	XP_020719394.1, XP_003396651.1
OG0000130	XP_394686.4	XP_020719405.1, XP_003396650.1, XP_012165703.1
OG0000130	XP_026297554.1, XP_394687.3, XP_006565573.1	XP_003396649.1, XP_012165702.1
OG0000131	XP_006564418.1	XP_003398970.1
OG0000131	XP_392990.2	XP_003396371.1
OG0000131	XP_003251503.1	XP_003396370.1
OG0000132	XP_006569358.1, XP_006569359.1, XP_016767260.1	XP_003402425.1
OG0000132	XP_006567280.1, XP_006567283.1, XP_006567281.1	XP_003402485.1
OG0000133	XP_026295597.1, XP_026295595.1, XP_026295600.1, XP_026295601.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295596.1	XP_012176311.1, XP_020724157.1, XP_020724156.1, XP_020724158.1
OG0000133	XP_006571481.2	XP_012168402.1
OG0000134	XP_006566587.1, XP_026299656.1, XP_623559.1, XP_026299657.1	XP_003399458.1
OG0000135	XP_392723.3	XP_003393370.1
OG0000135	XP_026300893.1	XP_003393110.1
OG0000136	XP_001123230.2	XP_012165909.1, XP_020719676.1
OG0000136	XP_003251589.1, XP_006570633.1, XP_006570637.2	XP_012165896.1, XP_020723712.1, XP_003396782.1, XP_003402992.1
OG0000137	XP_016768164.1, XP_016768165.1, XP_393390.3, XP_016768163.1	XP_012164639.1, XP_012164637.1, XP_012164636.1, XP_012164638.1
OG0000137	XP_026298341.1	XP_012175108.1
OG0000138	XP_006561534.1	XP_003397345.2, XP_012166619.1
OG0000138	XP_006561540.1	XP_003397339.1
OG0000139	XP_026302052.1	XP_003399195.1
OG0000140	XP_006565855.1, XP_006565854.1, XP_006565856.1	XP_020722092.1, XP_012171285.1, XP_003400470.1
OG0000141	XP_396377.3, XP_016771703.1	XP_003400951.1
OG0000141	XP_393772.4	XP_012174890.1, XP_003396959.1
OG0000142	XP_026300389.1	XP_012175459.1, XP_020721950.1, XP_020721953.1, XP_012170791.1
OG0000142	XP_026300390.1	XP_020721952.1
OG0000143	XP_394342.1	XP_003393823.1
OG0000143	XP_001120755.1, XP_006568273.1, XP_006568272.1, XP_006568271.1, XP_016766288.1	XP_020722543.1, XP_012175058.1, XP_020722547.1, XP_020722544.1, XP_020722545.1
OG0000144	NP_001092187.1	XP_003401782.1
OG0000144	NP_001011600.1	XP_003401778.1
OG0000144	NP_001104234.1	XP_003401781.1
OG0000145	XP_006571519.1, NP_001128406.1	XP_003393298.1
OG0000145	XP_006557552.1, NP_001011643.1	XP_012164960.1
OG0000146	XP_006569990.1	XP_003402123.1
OG0000146	XP_001120801.1	XP_003397806.1
OG0000147	XP_026301958.1	XP_020721198.1, XP_020721193.1
OG0000149	XP_624573.2	XP_003394540.1
OG0000149	XP_006560541.1	XP_012175460.1, XP_020724080.1
OG0000150	XP_006565287.1, XP_006565286.1, XP_006565285.1, XP_006565289.1, XP_006565288.1, XP_393853.1	XP_012170499.1, XP_012170501.1, XP_012170500.1, XP_003399855.1, XP_020721682.1, XP_012170498.1
OG0000151	XP_026295481.1, XP_026295482.1, XP_026295477.1, XP_026295478.1, XP_026295479.1, XP_026295480.1, XP_026295483.1	XP_003402871.1, XP_012174602.1, XP_012174601.1, XP_012174604.1, XP_012174600.1, XP_012174599.1
OG0000152	XP_016768964.1, XP_006564637.1, XP_006564641.1, XP_006564638.1, XP_006564639.1, XP_006564640.1	XP_012173071.1, XP_012173070.1, XP_012173069.1, XP_012173068.1, XP_012173075.1, XP_012173067.1
OG0000153	XP_006557622.1	XP_003400832.1, XP_012171882.1, XP_012171883.1
OG0000154	XP_003249939.3	XP_012167367.1, XP_012167365.1
OG0000156	XP_006570154.1, XP_016768502.1, XP_016768504.1, XP_016768503.1	XP_003396400.1
OG0000157	XP_016771183.1	XP_020721948.1
OG0000157	XP_016771274.2	XP_003400109.2
OG0000158	XP_026295419.1, XP_026296654.1	XP_012164498.1
OG0000160	XP_006570492.2	XP_012168631.1
OG0000161	NP_001119716.1	XP_003394675.1, XP_020724240.1
OG0000162	NP_001091691.1, XP_006562616.1	XP_012168555.1
OG0000162	XP_016767550.1, NP_001073029.1	XP_012170034.1
OG0000162	NP_001091690.1, XP_026298411.1	XP_003397561.2
OG0000164	XP_016768018.2	XP_020718981.1
OG0000164	XP_006558190.2	XP_020718980.1
OG0000165	XP_006559859.1, XP_006559861.1, XP_006559860.1, XP_396828.2	XP_003397183.1, XP_012166526.1
OG0000165	XP_006566324.1	XP_012169083.1
OG0000166	XP_016766244.2, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_006569176.3, XP_006569170.3	XP_012175400.2, XP_012175364.1, XP_012175388.1
OG0000168	XP_016766381.2	XP_012175596.1
OG0000168	NP_001035325.2	XP_020719024.1
OG0000168	NP_001014991.1, XP_026295680.1	XP_020718321.1
OG0000169	XP_026296992.1, XP_026297082.1, XP_016768414.1	XP_003402924.1, XP_003402925.1, XP_003402922.1
OG0000170	XP_006566077.2	XP_012168005.1
OG0000170	XP_026299163.1	XP_003398306.1
OG0000170	XP_006566079.2	XP_012168006.1
OG0000171	XP_623922.2	XP_012174011.1
OG0000172	XP_006565262.1, XP_006565259.1, XP_006565261.1	XP_020721690.1, XP_012170544.1, XP_012170538.1, XP_012170539.1, XP_012170540.1, XP_012170541.1, XP_012170542.1, XP_012170543.1
OG0000173	XP_006560020.1, XP_006560019.1	XP_012172817.1, XP_012172816.1, XP_012172814.1, XP_012172815.1
OG0000174	XP_394018.2	XP_003400605.1, XP_003400606.1, XP_012171555.1, XP_012171554.1, XP_012171558.1, XP_012171557.1
OG0000175	XP_026300817.1, XP_026300815.1, XP_006560073.1, XP_006560074.1, XP_623977.2, XP_026300816.1	XP_020721993.1, XP_003400937.1, XP_012171930.1, XP_012171929.1
OG0000176	XP_003251204.1	XP_003393819.1
OG0000177	XP_001121910.1	XP_003398931.1
OG0000177	XP_016770327.1, XP_006566372.1	XP_012169036.1
OG0000177	XP_016770328.1	XP_012169039.1
OG0000178	XP_026295366.1	XP_003398577.1
OG0000178	XP_026295349.1, XP_026295348.1, XP_026295362.1, XP_026295342.1, XP_026295361.1, XP_026295350.1, XP_026295334.1, XP_026295368.1, XP_026295335.1, XP_026295343.1, XP_026295364.1, XP_026295345.1, XP_026295336.1, XP_026295367.1, XP_026295337.1, XP_026295352.1, XP_026295365.1, XP_026295333.1, XP_026295341.1, XP_026295331.1, XP_026295372.1, XP_026295340.1, XP_026295353.1, XP_026295370.1, XP_026295354.1, XP_026295358.1, XP_026295347.1, XP_026295355.1, XP_026295363.1, XP_026295346.1, XP_026295344.1, XP_026295359.1, XP_026295351.1, XP_026295338.1, XP_026295339.1, XP_026295369.1, XP_026295332.1, XP_026295356.1	XP_020720493.1
OG0000179	XP_026301506.1	XP_012173790.1, XP_003402257.2
OG0000179	XP_393381.2	XP_012173824.1, XP_003402266.1
OG0000179	XP_001119897.1	XP_012168601.1
OG0000180	XP_006559502.1, XP_006559501.1, XP_393573.1, XP_016769007.1, XP_016769006.1	XP_012175161.1, XP_012175160.1, XP_012175162.1, XP_003403152.1, XP_003403151.1, XP_020723773.1
OG0000181	XP_393751.2, XP_006570397.2, XP_016770282.2	XP_003399390.1, XP_012169773.1, XP_012169774.1, XP_012169772.1
OG0000182	XP_006561855.2	XP_012167067.1, XP_012167065.1, XP_003397602.1
OG0000183	XP_026298476.1, XP_026298477.1	XP_012167140.1, XP_012167142.1, XP_003397591.1
OG0000183	XP_395404.2	XP_012163118.1
OG0000185	XP_003250560.1	XP_012171763.1, XP_012171761.1, XP_012171762.1, XP_012171760.1, XP_012171764.1
OG0000186	XP_001119981.4	XP_003393867.1, XP_020723943.1, XP_003393865.1, XP_003393866.1
OG0000187	XP_016769442.2	XP_012167100.1, XP_003397755.1, XP_012167097.1, XP_020720318.1, XP_020720316.1, XP_012167099.1, XP_012167098.1
OG0000188	XP_394855.4	XP_003399544.1
OG0000188	XP_395697.2	XP_003395186.1
OG0000190	XP_006563703.1, XP_006563702.1, XP_006563701.1, XP_006563700.1	XP_012172000.1, XP_012171998.1, XP_012171999.1
OG0000191	XP_026301152.1	XP_012172676.1
OG0000192	XP_006557723.1, XP_396406.5, XP_006557720.1	XP_003393731.1
OG0000194	XP_003249950.2	XP_003397792.2
OG0000194	NP_001257752.1	XP_003397793.1
OG0000194	XP_006561931.1, XP_016769566.1, XP_016769565.2	XP_003397791.1
OG0000196	XP_003250051.2	XP_003399490.1
OG0000196	XP_003251169.1, XP_016771426.1	XP_012170863.1, XP_003400132.1, XP_020721794.1, XP_012170865.1
OG0000197	XP_006565013.1, XP_016773443.1, XP_026300501.1	XP_012171975.1, XP_012171976.1
OG0000197	XP_006565014.2	XP_012171981.1, XP_012171980.1, XP_012171979.1, XP_003400969.1
OG0000200	XP_026296548.1	XP_003394667.1
OG0000200	XP_006566649.2	XP_003398779.1
OG0000200	XP_006566650.1	XP_012168586.1
OG0000201	XP_006562412.3	XP_012168139.1, XP_012168138.1
OG0000202	XP_006558615.1	XP_012165963.1, XP_012165962.1, XP_012165961.1, XP_003396825.1, XP_020719260.1
OG0000202	XP_016768758.1, XP_016768759.1	XP_020719240.1, XP_012165749.1, XP_012165750.1
OG0000203	XP_623676.2	XP_003396251.1
