Orthogroup	Apis_mellifera	Aedes_aegypti
OG0000019	XP_006572051.3	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2
OG0000020	XP_006569751.2, XP_026301504.1	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1
OG0000020	XP_006560785.2	XP_021700919.1, XP_001650147.2
OG0000020	XP_026300927.1	XP_021699908.1
OG0000022	XP_001120346.1	XP_021705289.1, XP_021705290.1, XP_021705016.1, XP_001657264.1, XP_001657267.1, XP_021705823.1, XP_021705017.1, XP_021705021.1, XP_021706527.1, XP_021706530.1, XP_021706531.1, XP_021706558.1, XP_021706529.1, XP_021706526.1, XP_021706571.1, XP_021706528.1, XP_021705296.1, XP_001657271.1, XP_001657278.1, XP_021706534.1, XP_021706548.1, XP_001652489.1, XP_001656988.1, XP_021706565.1, XP_021706568.1
OG0000023	XP_001120889.1	XP_021706557.1
OG0000023	XP_001122218.1	XP_021705294.1, XP_021705295.1, XP_021705020.1, XP_021705019.1, XP_021705018.1, XP_021705026.1, XP_021705293.1, XP_021706644.1, XP_021706645.1, XP_021706808.1, XP_021706809.1, XP_021706669.1, XP_021706668.1, XP_021706564.1, XP_001656991.1, XP_001656987.1, XP_021706561.1, XP_021706555.1, XP_021706479.1, XP_021706481.1, XP_021705027.1, XP_001657281.1, XP_021705827.1, XP_001657266.1, XP_021705292.1
OG0000026	XP_006557594.2	XP_021708568.1, XP_021708571.1
OG0000026	XP_026295189.1	XP_021702583.1, XP_021702581.1, XP_021702582.1, XP_021702584.1
OG0000027	XP_003251624.1	XP_021705028.1, XP_001663888.1, XP_021706536.1
OG0000027	XP_006570863.1	XP_001657273.1, XP_021705030.1, XP_001656994.2, XP_021705828.1, XP_021705829.1, XP_021706482.1, XP_001657269.1, XP_021705635.1, XP_021705023.1, XP_021705301.1, XP_021705299.1, XP_021705297.1, XP_021706523.1, XP_021705830.1, XP_001657284.2, XP_001657275.1
OG0000029	NP_001257747.1, NP_001257746.1	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1, XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1
OG0000029	NP_001257750.1	XP_001664018.2
OG0000029	NP_001257748.1, NP_001257749.1	XP_021704637.1, XP_021704641.1, XP_021712735.1
OG0000030	NP_001177849.1, XP_006572276.1	XP_001658050.1
OG0000032	XP_026298886.1	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1
OG0000033	XP_016771932.2	XP_021702767.1
OG0000035	XP_392319.3	XP_001650274.2, XP_001662128.2
OG0000035	XP_394494.5	XP_001659549.2, XP_001653600.1, XP_021695840.1, XP_011493156.1, XP_001653602.1, XP_021702436.1, XP_001660379.1, XP_021702428.1, XP_021696237.1, XP_021696236.1, XP_001663166.2, XP_001663167.2, XP_001663165.2, XP_001654498.2, XP_021699048.1, XP_021699049.1, XP_001654514.2, XP_021699050.1
OG0000036	NP_001035360.1	XP_001655517.2, XP_021697914.1, XP_001655495.1, XP_021711882.1
OG0000036	XP_006563422.1, XP_001121077.2, XP_003250085.1	XP_021695536.1
OG0000037	NP_001257751.1	XP_021698956.1, XP_021698957.1, XP_021698955.1, XP_001655400.1, XP_001659628.2, XP_001654516.2, XP_001650153.1, XP_001659658.1, XP_001650182.1, XP_001659653.2, XP_001659654.2, XP_001659610.1, XP_001647747.1, XP_001659651.2, XP_001659656.2, XP_001659657.1
OG0000038	XP_623220.1, XP_006567025.1	XP_001652144.1, XP_001663407.1
OG0000038	XP_394092.3	XP_021707546.1, XP_021707545.1, XP_021707544.1, XP_021707542.1
OG0000040	XP_026297199.1	XP_001659969.2, XP_001659962.1
OG0000040	XP_394370.2	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1, XP_021709866.1, XP_001654842.2, XP_001662080.2, XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2, XP_001662077.2, XP_001662076.1
OG0000041	NP_001172074.1, NP_001172075.1	XP_001655176.1, XP_001655175.1
OG0000041	XP_003251464.1, XP_016767697.1	XP_001659963.1
OG0000041	XP_625015.1	XP_001649531.1
OG0000042	XP_026296155.1, XP_026296156.1, XP_026296157.1, XP_026296158.1, XP_006571892.1, XP_623925.2, XP_026296164.1, XP_026296165.1	XP_021693433.1
OG0000043	XP_016768084.1, NP_001071287.1	XP_001660749.1
OG0000043	NP_001011583.1	XP_001660756.1
OG0000043	XP_006557941.1, NP_001071282.1	XP_001660753.1
OG0000044	XP_006565547.1, XP_006565544.2	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1, XP_001662885.2, XP_021693817.1, XP_001651477.2
OG0000044	XP_006565537.1	XP_021712943.1
OG0000045	NP_001035326.1, NP_001035349.1, NP_001011608.1	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2
OG0000046	NP_001153524.1	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1
OG0000046	NP_001153522.1, NP_001153544.1	XP_021707697.1
OG0000048	XP_016769367.1	XP_001663296.2
OG0000050	XP_026299635.1, XP_392696.5, XP_026297792.1, XP_026297793.1, XP_016768459.2, XP_026297794.1, XP_026300733.1, XP_026300653.1, NP_001128419.1, XP_006564307.1, NP_001136081.1	XP_001654509.1, XP_011493543.2, XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1
OG0000052	XP_006570493.1	XP_021711564.1
OG0000054	NP_001257754.1, NP_001257753.1	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2
OG0000055	XP_016771370.1	XP_001654841.2
OG0000056	XP_026297251.1	XP_021702305.1
OG0000056	XP_026301167.1	XP_021704129.1
OG0000056	XP_026299492.1	XP_021704390.1
OG0000057	XP_392313.1	XP_001656025.1
OG0000057	XP_026300739.1, XP_394471.1	XP_021701591.1
OG0000057	XP_394469.1	XP_001656026.2
OG0000060	XP_006565271.2, XP_006565270.3, XP_026300076.1, XP_026300077.1, XP_016770937.2, XP_016770938.2	XP_001663993.2
OG0000060	NP_001180219.1, XP_006565210.1	XP_021710092.1, XP_021710091.1, XP_001652667.1
OG0000061	XP_397017.3	XP_021693614.1, XP_021693615.1, XP_021693616.1
OG0000061	XP_624322.1, XP_016773033.1	XP_001664194.1, XP_001664195.2, XP_001661118.2
OG0000062	XP_006568238.2	XP_001661011.1, XP_001663492.1, XP_001663494.1, XP_001661010.2, XP_001663490.2, XP_001663495.1, XP_021698193.1, XP_001663497.1, XP_001663499.2
OG0000065	XP_026299150.1	XP_011493637.2, XP_011493079.2, XP_011493699.2, XP_021699125.1
OG0000066	XP_006569791.3	XP_021704301.1
OG0000067	XP_006561513.1	XP_001653435.1
OG0000067	XP_026299464.1	XP_001654897.1
OG0000067	XP_006560064.1	XP_001653950.2, XP_001654592.2
OG0000067	XP_395774.2	XP_001661370.1, XP_021698916.1
OG0000073	XP_003250137.2	XP_021705856.1, XP_001655681.2, XP_021703552.1, XP_021705322.1
OG0000077	XP_006567467.1	XP_001658180.2
OG0000077	XP_395426.5	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2
OG0000079	XP_006562777.1, XP_006562781.1, XP_006562778.1	XP_001662329.1
OG0000080	XP_397228.2	XP_021693685.1
OG0000082	XP_006565018.1, XP_026300908.1, XP_006565021.2, XP_006565022.2, XP_016773421.2	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1
OG0000085	XP_394579.2	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1
OG0000086	XP_016772143.2, XP_001120043.2	XP_021701219.1
OG0000086	XP_016772088.2	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2
OG0000087	XP_624353.1	XP_001648461.1, XP_001648458.1
OG0000087	XP_016772139.1	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1
OG0000088	XP_006566240.1, XP_006566239.1, XP_026299220.1	XP_021702205.1
OG0000089	XP_003249883.2, XP_016768850.2	XP_001654187.2
OG0000091	XP_026299597.1, XP_026299596.1	XP_021699738.1
OG0000092	XP_006560146.1	XP_021709998.1, XP_001655951.1
OG0000094	XP_394160.3, XP_016770351.2	XP_021702456.1, XP_001660396.2
OG0000094	XP_026299983.1	XP_001651974.1, XP_001652484.1, XP_001656201.1
OG0000094	XP_006572211.1	XP_021704594.1
OG0000095	XP_006564430.1	XP_001649682.2
OG0000096	XP_026300868.1	XP_001656233.2, XP_001663568.1, XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1
OG0000096	XP_003250667.2, XP_006562163.1	XP_021710758.1, XP_021710759.1, XP_001663099.2, XP_021698426.1, XP_001663097.2
OG0000097	XP_006566906.1, NP_001011628.1, NP_001014993.1	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1
OG0000098	XP_006561279.1	XP_001660410.1
OG0000099	XP_026301459.1	XP_021708064.1, XP_021708068.1, XP_021708072.1
OG0000099	XP_026301457.1, XP_026301458.1	XP_001650952.2
OG0000099	XP_006563474.1	XP_021710287.1
OG0000100	XP_026300139.1, XP_026300138.1, XP_026300137.1, XP_026300136.1	XP_001662579.2
OG0000101	XP_016769181.1	XP_001652481.1
OG0000101	XP_016769182.2	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1, XP_001655711.1
OG0000102	XP_026298009.1, XP_016768868.1, XP_006559629.1	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2
OG0000103	XP_395932.2, XP_016769753.1, XP_006559124.1, XP_006559125.1	XP_001661506.1
OG0000108	XP_026296997.1, XP_026296995.1, XP_026296996.1	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1
OG0000109	XP_006568159.1, XP_396912.1, XP_026300511.1, XP_006568157.1	XP_021709303.1
OG0000110	XP_016771484.1, XP_026300877.1, XP_016771820.2	XP_021711612.1, XP_021711613.1
OG0000111	XP_016769305.2	XP_021704753.1
OG0000112	XP_016770669.1	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1
OG0000112	XP_395840.2	XP_021703753.1
OG0000113	XP_001120149.1, XP_001121347.2	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1
OG0000114	XP_026296673.1	XP_001656658.2
OG0000115	NP_001153742.1, XP_026295756.1, NP_001136128.1, XP_006560566.1	XP_021711348.1
OG0000116	XP_001119871.2, XP_006567638.1, XP_006567639.1, XP_006567636.1	XP_021695569.1
OG0000117	XP_006566844.1	XP_001658273.1
OG0000117	XP_016769650.1, XP_006561716.1, XP_006561714.1, XP_006561715.1, XP_006561713.1	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1
OG0000119	XP_006567540.1, XP_006567591.1, XP_016769352.1, XP_016769353.1	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1
OG0000120	XP_026295458.1, XP_026300994.1, XP_026300993.1, XP_026300992.1, XP_396662.2, XP_006559344.1	XP_021702687.1
OG0000122	XP_396281.5	XP_001650409.1, XP_021711773.1
OG0000122	XP_006569022.1	XP_021707885.1
OG0000123	XP_026296924.1, XP_026296929.1, XP_026296930.1, XP_026296925.1, XP_026296926.1, XP_026296927.1, XP_026296928.1	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1
OG0000124	XP_026297158.1, XP_026297157.1, XP_026297160.1, XP_026297159.1	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1
OG0000125	XP_016768147.1, XP_393208.1	XP_001657204.2
OG0000126	XP_016772382.1, NP_001011571.1	XP_021694197.1
OG0000127	XP_006570777.1, XP_016771428.1, XP_016771429.1, XP_001122616.1	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1
OG0000127	XP_396819.2	XP_021705806.1, XP_021705807.1, XP_001657917.3
OG0000129	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571984.1, XP_006571986.1	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1
OG0000130	XP_006568433.1, XP_006568428.1, XP_394686.4	XP_021695251.1
OG0000130	XP_026297554.1, XP_394687.3, XP_006565573.1	XP_021700367.1
OG0000131	XP_006564418.1	XP_021705306.1
OG0000131	XP_392990.2, XP_003251503.1	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1
OG0000132	XP_006569358.1, XP_006569359.1, XP_016767260.1	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1
OG0000132	XP_006567280.1, XP_006567283.1, XP_006567281.1	XP_021700410.1, XP_001660044.3, XP_001660042.3
OG0000133	XP_026295597.1, XP_026295595.1, XP_026295600.1, XP_026295601.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295596.1	XP_021702724.1, XP_021702723.1
OG0000133	XP_016766376.2	XP_021702554.1
OG0000134	XP_006566587.1, XP_026299656.1, XP_623559.1, XP_026299657.1	XP_001655292.1
OG0000135	XP_006570858.1, XP_026300893.1	XP_021711278.1, XP_021711277.1, XP_001651832.2
OG0000136	XP_001123230.2, XP_001122953.3, XP_026298823.1, XP_003251589.1, XP_006570633.1, XP_006570637.2	XP_021698234.1, XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1
OG0000137	XP_016768164.1, XP_016768165.1, XP_393390.3, XP_016768163.1, XP_026298341.1	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1
OG0000138	XP_006561534.1, XP_006561540.1	XP_021712084.1, XP_021694527.1
OG0000139	XP_026302052.1	XP_001663072.2
OG0000140	XP_006565855.1, XP_006565854.1, XP_006565856.1	XP_021702905.1
OG0000141	XP_393772.4	XP_001663030.2
OG0000143	XP_394342.1, XP_001120755.1, XP_006568273.1, XP_006568272.1, XP_006568271.1, XP_016766288.1	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1
OG0000144	NP_001092187.1, NP_001011600.1, NP_001104234.1	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2
OG0000145	XP_006571519.1, NP_001128406.1, XP_006557552.1, NP_001011643.1	XP_001661017.2
OG0000146	XP_006569990.1	XP_001662762.1
OG0000147	XP_026301958.1	XP_021708848.1, XP_001659371.1
OG0000149	XP_624573.2	XP_021701465.1
OG0000149	XP_006560541.1	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1
OG0000150	XP_006565287.1, XP_006565286.1, XP_006565285.1, XP_006565289.1, XP_006565288.1, XP_393853.1	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1
OG0000151	XP_026295481.1, XP_026295482.1, XP_026295477.1, XP_026295478.1, XP_026295479.1, XP_026295480.1, XP_026295483.1	XP_021697798.1
OG0000152	XP_016768964.1, XP_006564637.1, XP_006564641.1, XP_006564638.1, XP_006564639.1, XP_006564640.1	XP_001653160.1
OG0000153	XP_006557622.1	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1
OG0000154	XP_003249939.3	XP_001662815.2
OG0000156	XP_006570154.1, XP_016768502.1, XP_016768504.1, XP_016768503.1	XP_021696919.1, XP_021712121.1
OG0000157	XP_016771183.1, XP_016771274.2	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1
OG0000158	XP_026295419.1, XP_026296654.1, XP_026296664.1	XP_021696507.1, XP_021696509.1, XP_021698714.1
OG0000160	XP_006570492.2	XP_021709766.1
OG0000161	NP_001011563.1, NP_001119716.1	XP_001656119.2
OG0000162	NP_001091691.1, XP_006562616.1	XP_021694432.1
OG0000162	XP_016767550.1, NP_001073029.1	XP_021704010.1
OG0000162	NP_001091690.1, XP_026298411.1	XP_021706951.1
OG0000164	XP_016768018.2, XP_006558190.2	XP_001654887.2, XP_021701278.1, XP_001654888.2, XP_021697710.1, XP_021695328.1
OG0000165	XP_006559859.1, XP_006559861.1, XP_006559860.1, XP_396828.2	XP_021697212.1
OG0000165	XP_006566324.1	XP_021704115.1, XP_021704136.1, XP_021704202.1
OG0000166	XP_016766244.2, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_006569176.3, XP_006569170.3	XP_021694247.1, XP_021704926.1, XP_021704934.1, XP_021704935.1
OG0000168	NP_001014991.1, XP_026295680.1	XP_021705545.1
OG0000169	XP_026296993.1	XP_021702706.1
OG0000170	XP_006566077.2, XP_026299163.1, XP_006566079.2	XP_021699236.1
OG0000171	XP_623922.2	XP_001654890.1, XP_001654889.1, XP_001654886.2, XP_001656792.2
OG0000173	XP_006560020.1, XP_006560019.1	XP_021694163.1, XP_001649426.1
OG0000174	XP_394018.2	XP_021704325.1, XP_021704326.1
OG0000175	XP_026300817.1, XP_026300815.1, XP_006560073.1, XP_006560074.1, XP_623977.2, XP_026300816.1	XP_001654240.1
OG0000177	XP_001121910.1	XP_001651644.2
OG0000177	XP_016770327.1, XP_006566372.1	XP_021707471.1, XP_021707472.1
OG0000177	XP_016770328.1	XP_001651645.1
OG0000178	XP_026295366.1, XP_026295349.1, XP_026295348.1, XP_026295362.1, XP_026295342.1, XP_026295361.1, XP_026295350.1, XP_026295334.1, XP_026295368.1, XP_026295335.1, XP_026295343.1, XP_026295364.1, XP_026295345.1, XP_026295336.1, XP_026295367.1, XP_026295337.1, XP_026295352.1, XP_026295365.1, XP_026295333.1, XP_026295341.1, XP_026295331.1, XP_026295372.1, XP_026295340.1, XP_026295353.1, XP_026295370.1, XP_026295354.1, XP_026295358.1, XP_026295347.1, XP_026295355.1, XP_026295363.1, XP_026295346.1, XP_026295344.1, XP_026295359.1, XP_026295351.1, XP_026295338.1, XP_026295339.1, XP_026295369.1, XP_026295332.1, XP_026295356.1, XP_026295371.1, XP_026295357.1, XP_026295360.1	XP_021707000.1, XP_021706999.1
OG0000179	XP_393381.2	XP_001655662.1, XP_021712235.1
OG0000180	XP_006559502.1, XP_006559501.1, XP_393573.1, XP_016769007.1, XP_016769006.1	XP_001654382.1, XP_001654381.1, XP_021693530.1, XP_021693529.1
OG0000181	XP_393751.2, XP_006570397.2, XP_016770282.2	XP_001656977.3
OG0000183	XP_026298476.1, XP_026298477.1	XP_001655456.2
OG0000183	XP_395404.2	XP_021704629.1, XP_021704627.1
OG0000184	XP_016773569.1, XP_026300573.1	XP_011493295.2, XP_021702574.1, XP_001655087.1, XP_011493580.2
OG0000185	XP_003250560.1	XP_001651366.1
OG0000186	XP_001119981.4	XP_001658387.1, XP_021710177.1, XP_001652490.2
OG0000187	XP_016769442.2	XP_021703024.1, XP_021703026.1, XP_021703025.1, XP_021703030.1, XP_021703029.1, XP_021703028.1, XP_021703027.1
OG0000188	XP_394855.4	XP_021694895.1
OG0000188	XP_395697.2	XP_021704883.1
OG0000190	XP_006563703.1, XP_006563702.1, XP_006563701.1, XP_006563700.1	XP_001660557.1
OG0000191	XP_026301152.1	XP_021708624.1, XP_021708625.1, XP_001651643.2, XP_021711114.1, XP_001658852.2, XP_021709915.1, XP_021708162.1, XP_021706594.1, XP_001647986.1, XP_021707346.1, XP_021705110.1, XP_001661290.1, XP_021706490.1
OG0000192	XP_006557723.1, XP_396406.5, XP_006557720.1	XP_001664087.2
OG0000194	XP_003249950.2	XP_001658607.2
OG0000196	XP_003250051.2	XP_021709422.1, XP_021709426.1
OG0000197	XP_006565013.1, XP_016773443.1, XP_026300501.1, XP_006565014.2	XP_021697283.1, XP_021697282.1, XP_021697285.1, XP_021697284.1, XP_001661709.1, XP_021697516.1, XP_021697517.1, XP_021697518.1, XP_021697519.1
OG0000198	XP_006566997.1, XP_624772.2	XP_021706486.1
OG0000200	XP_026296548.1	XP_001655242.1
OG0000201	XP_006562412.3	XP_011493157.1, XP_001652982.2, XP_021711304.1, XP_001659011.2, XP_001659009.1, XP_021712798.1, XP_001654269.2
OG0000202	XP_016768758.1, XP_016768759.1	XP_021695300.1
OG0000203	XP_623676.2	XP_001662504.2
OG0000203	XP_006558107.2, XP_395356.4	XP_021697410.1
OG0000204	XP_001121814.2	XP_021704598.1, XP_021704597.1, XP_001656463.1
OG0000205	XP_016766914.1	XP_021697855.1, XP_021697857.1, XP_021697856.1, XP_021697859.1, XP_021697858.1, XP_021697862.1, XP_021697860.1
OG0000206	XP_026300186.1	XP_001648552.1
OG0000207	NP_001014430.1, XP_006566311.1	XP_001650660.1
OG0000207	NP_001011652.1, NP_001305411.1	XP_021698130.1
OG0000208	XP_006562317.1	XP_021698134.1, XP_021698133.1
OG0000208	XP_625189.3	XP_001653727.1
OG0000209	XP_016769475.1, XP_016769473.1, XP_016769472.1, XP_016769471.1, XP_016769470.1, XP_016769476.1, XP_016769474.1	XP_021711015.1, XP_021711016.1
OG0000210	XP_026297186.1, XP_016769921.1	XP_021702938.1
OG0000210	XP_006562251.2	XP_001655152.2
OG0000212	XP_001121043.2, XP_026298300.1	XP_001650168.2, XP_001650170.2, XP_001650169.2, XP_021705033.1
OG0000213	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1	XP_001660162.2
OG0000214	XP_623084.1	XP_001653648.2
