Orthogroup	Bombus_terrestris	Osmia_lignaria
OG0000056	XP_012171554.1, XP_012171555.1, XP_003400605.1, XP_012171557.1, XP_012171558.1, XP_003400606.1	XP_034180577.1, XP_034180576.1, XP_034180578.1
OG0000059	XP_012175524.1	XP_034173506.1, XP_034183943.1, XP_034175387.1, XP_034171057.1, XP_034173943.1, XP_034173507.1
OG0000059	XP_003393114.1	XP_034173418.1
OG0000060	XP_003395309.1	XP_034192995.1, XP_034192984.1, XP_034192985.1, XP_034192986.1, XP_034192987.1, XP_034192988.1, XP_034192989.1, XP_034192990.1, XP_034192992.1, XP_034192993.1, XP_034192994.1, XP_034192997.1, XP_034192999.1, XP_034193000.1, XP_034192998.1, XP_034192996.1
OG0000061	XP_020723958.1	XP_034195041.1
OG0000063	XP_012172397.1	XP_034179598.1
OG0000063	XP_012175443.1	XP_034186699.1
OG0000063	XP_003401252.1	XP_034179599.1
OG0000064	XP_003401157.1	XP_034193748.1, XP_034193749.1, XP_034193750.1
OG0000064	XP_003396169.1, XP_003399700.1	XP_034195488.1
OG0000065	XP_003399390.1, XP_012169772.1, XP_012169774.1, XP_012169773.1	XP_034175487.1, XP_034175486.1, XP_034175485.1, XP_034175484.1, XP_034175489.1, XP_034175483.1, XP_034175488.1
OG0000066	XP_012176180.1, XP_012176179.1, XP_012176178.1, XP_012176177.1, XP_003394336.1, XP_003394335.1, XP_020724195.1, XP_020724193.1, XP_020724194.1, XP_012176181.1	XP_034182276.1, XP_034182277.1, XP_034182279.1, XP_034182278.1, XP_034182280.1
OG0000067	XP_020719485.1, XP_020719487.1, XP_020719486.1, XP_003396344.1, XP_012165070.1, XP_012165068.1	XP_034185661.1, XP_034185663.1, XP_034185666.1, XP_034185665.1, XP_034185667.1, XP_034185659.1, XP_034185660.1, XP_034185662.1
OG0000068	XP_003393920.1, XP_003394006.1, XP_003403429.1, XP_003393921.1	XP_034171931.1
OG0000069	XP_003400832.1, XP_012171883.1, XP_012171882.1	XP_034191920.1, XP_034191918.1, XP_034191919.1, XP_034191915.1, XP_034191916.1, XP_034191917.1
OG0000070	XP_003393731.1	XP_034188825.1, XP_034188823.1, XP_034188824.1
OG0000071	XP_003398039.1	XP_034186050.1, XP_034186060.1, XP_034186034.1, XP_034186043.1
OG0000072	XP_003394637.1	XP_034182415.1, XP_034182416.1, XP_034182419.1, XP_034182418.1, XP_034182417.1
OG0000073	XP_020721682.1, XP_012170498.1, XP_012170499.1, XP_003399855.1, XP_012170500.1, XP_012170501.1	XP_034191022.1
OG0000074	XP_003393379.1	XP_034180498.1, XP_034180227.1
OG0000076	XP_012167610.1, XP_003397903.1, XP_012167613.1, XP_012167612.1, XP_012167611.1, XP_020720164.1, XP_020720163.1, XP_020720166.1, XP_020720165.1, XP_003397904.1, XP_020720167.1, XP_003397905.1	XP_034183753.1, XP_034183708.1
OG0000077	XP_003393866.1, XP_003393865.1, XP_003393867.1, XP_020723943.1	XP_034172037.1, XP_034172035.1
OG0000078	XP_003400351.1, XP_003400142.1	XP_034175172.1, XP_034175972.1, XP_034175971.1, XP_034175970.1, XP_034175973.1, XP_034175974.1
OG0000079	XP_012172564.1, XP_020722768.1	XP_034179339.1
OG0000080	XP_003396583.1	XP_034178154.1
OG0000081	XP_012168611.1	XP_034175506.1
OG0000082	NP_001295235.1, XP_012176496.1	XP_034172377.1, XP_034172378.1, XP_034172374.1, XP_034172375.1, XP_034172381.1, XP_034172379.1, XP_034172380.1
OG0000083	XP_003394538.1, XP_012176340.1	XP_034188204.1, XP_034188205.1, XP_034188201.1, XP_034188199.1, XP_034188198.1, XP_034188203.1, XP_034188202.1, XP_034188206.1
OG0000084	XP_020723262.1, XP_012174211.1	XP_034182489.1, XP_034195161.1, XP_034195328.1
OG0000085	XP_020720248.1, XP_012166912.1	XP_034184545.1, XP_034184551.1, XP_034184550.1, XP_034184552.1, XP_034184547.1, XP_034184546.1, XP_034184549.1, XP_034184548.1
OG0000086	XP_012172081.1	XP_034193755.1
OG0000087	XP_012169707.1, XP_012169706.1, XP_012169708.1, XP_003399343.1, XP_020720978.1	XP_034175005.1, XP_034175008.1, XP_034174999.1, XP_034175001.1, XP_034175000.1, XP_034175002.1, XP_034175004.1, XP_034175007.1, XP_034175006.1, XP_034175003.1, XP_034175009.1
OG0000088	XP_012175364.1, XP_012175388.1	XP_034171990.1, XP_034172006.1, XP_034171988.1
OG0000089	XP_012168805.1	XP_034176486.1, XP_034176485.1, XP_034176484.1
OG0000090	XP_003394915.1, XP_012163272.1	XP_034174806.1, XP_034174807.1, XP_034174804.1, XP_034174805.1, XP_034174809.1, XP_034174808.1
OG0000091	XP_003395578.1, XP_003395577.1, XP_012164030.1	XP_034176758.1, XP_034176759.1, XP_034176760.1, XP_034176761.1, XP_034176762.1, XP_034176757.1
OG0000093	XP_020721109.1	XP_034176689.1
OG0000094	XP_012174304.1, XP_012174308.2	XP_034189000.1, XP_034188997.1, XP_034188999.1, XP_034188998.1, XP_034189001.1, XP_034189002.1
OG0000095	XP_012165356.1, XP_012165354.1, XP_012165353.1	XP_034182328.1, XP_034182296.1, XP_034182318.1, XP_034182312.1, XP_034182303.1
OG0000096	XP_012176549.1	XP_034182648.1, XP_034182649.1, XP_034182646.1, XP_034182647.1, XP_034182653.1, XP_034182650.1, XP_034182651.1, XP_034182631.1, XP_034182643.1, XP_034182642.1, XP_034182641.1, XP_034182640.1, XP_034182639.1, XP_034182638.1, XP_034182637.1, XP_034182644.1, XP_034182630.1, XP_034182632.1, XP_034182633.1, XP_034182628.1, XP_034182629.1, XP_034182645.1, XP_034182634.1, XP_034182635.1, XP_034182654.1
OG0000097	XP_020722095.1, XP_012171292.1, XP_012171295.1, XP_012171296.1, XP_012171298.1, XP_012171297.1	XP_034194113.1, XP_034194115.1, XP_034194114.1
OG0000098	XP_020720591.1	XP_034183858.1, XP_034183859.1, XP_034183860.1, XP_034183857.1, XP_034183855.1, XP_034183854.1, XP_034183861.1, XP_034183862.1
OG0000099	XP_012175961.1, XP_012175965.1, XP_012175971.1, XP_003392979.1	XP_034172361.1, XP_034172360.1, XP_034172357.1, XP_034172359.1
OG0000100	XP_020723156.1	XP_034194798.1, XP_034194960.1, XP_034195023.1, XP_034194846.1, XP_034195027.1, XP_034194033.1
OG0000101	XP_012170316.1	XP_034190967.1, XP_034190977.1, XP_034190974.1, XP_034190966.1, XP_034190972.1, XP_034190973.1, XP_034190965.1, XP_034190964.1, XP_034190980.1, XP_034190971.1, XP_034190970.1, XP_034190981.1, XP_034190976.1, XP_034190982.1, XP_034190975.1, XP_034190983.1, XP_034190968.1, XP_034190978.1, XP_034190969.1
OG0000102	XP_003397051.1, XP_020719814.1, XP_020719815.1, XP_012166337.1, XP_012166336.1	XP_034181038.1, XP_034181041.1, XP_034181039.1, XP_034181040.1, XP_034181037.1
OG0000103	XP_020721331.1, XP_020721332.1, XP_012169146.1, XP_012169147.1	XP_034175113.1, XP_034175112.1, XP_034175114.1
OG0000104	XP_012168006.1	XP_034186114.1
OG0000104	XP_012168004.1	XP_034186107.1
OG0000104	XP_012168005.1	XP_034186108.1
OG0000105	XP_020721488.1	XP_034191356.1, XP_034191353.1, XP_034191357.1, XP_034191354.1, XP_034191358.1, XP_034191359.1, XP_034191360.1, XP_034191361.1, XP_034191352.1, XP_034191351.1
OG0000106	XP_020723503.1, XP_020723505.1, XP_020723502.1, XP_020723508.1, XP_020723509.1, XP_020723510.1, XP_020723504.1, XP_020723507.1, XP_020723506.1	XP_034194636.1, XP_034195009.1
OG0000108	XP_012168065.1, XP_003398352.1, XP_020720538.1, XP_012168063.1	XP_034183658.1, XP_034183657.1
OG0000110	XP_012171598.1, XP_003400635.1, XP_012171599.1	XP_034194089.1, XP_034194090.1, XP_034194088.1, XP_034194086.1, XP_034194087.1
OG0000111	XP_020723952.1	XP_034195146.1, XP_034195033.1, XP_034184638.1, XP_034194774.1, XP_034194955.1, XP_034195054.1, XP_034195056.1, XP_034195160.1, XP_034194928.1, XP_034194933.1, XP_034195225.1, XP_034194777.1, XP_034192272.1, XP_034194779.1
OG0000112	XP_012175609.1	XP_034171933.1
OG0000113	XP_012170154.1, XP_020723319.1, XP_012170122.1, XP_012170161.1, XP_012170166.1, XP_012170150.1	XP_034171786.1, XP_034171784.1, XP_034171785.1
OG0000114	XP_020722733.1, XP_012172572.1, XP_012172570.1	XP_034179365.1, XP_034179363.1, XP_034179367.1, XP_034179366.1, XP_034179361.1, XP_034179362.1
OG0000115	XP_003402143.1, XP_003402144.1	XP_034191324.1, XP_034191323.1
OG0000116	XP_012171737.1, XP_003400885.1, XP_020722207.1	XP_034180712.1, XP_034180711.1, XP_034180710.1, XP_034180709.1
OG0000117	XP_012172000.1, XP_012171999.1, XP_012171998.1	XP_034178973.1
OG0000118	XP_003394635.1, XP_012176600.1, XP_012176601.1, XP_012176598.1, XP_012176599.1	XP_034182422.1, XP_034182423.1, XP_034182421.1, XP_034182424.1
OG0000119	XP_020723141.1, XP_020723140.1, XP_020723142.1, XP_020723139.1	XP_034191746.1, XP_034191745.1, XP_034191747.1, XP_034191749.1, XP_034191748.1
OG0000120	XP_020720644.1, XP_020720719.1, XP_012168483.1	XP_034190809.1, XP_034176183.1, XP_034190765.1, XP_034175209.1
OG0000121	NP_001274492.1	XP_034174273.1, XP_034174272.1, XP_034174271.1, XP_034174270.1
OG0000124	XP_012165095.1, XP_003396395.1, XP_012165096.1, XP_020719491.1, XP_012165093.1, XP_012165091.1, XP_012165097.1	XP_034185528.1
OG0000125	XP_012170233.1, XP_020721551.1, XP_003393848.1, XP_012175298.1, XP_003399696.2, XP_012170223.1, XP_012170221.2	XP_034190826.1, XP_034190827.1
OG0000126	XP_012169448.1	XP_034181554.1
OG0000127	XP_003402395.2, XP_020722449.1	XP_034179569.1, XP_034178978.1
OG0000128	XP_003395437.1	XP_034176819.1, XP_034176820.1, XP_034176821.1, XP_034176817.1, XP_034176818.1
OG0000129	XP_012168842.2, XP_020720955.1, XP_020720954.1, XP_020720953.1, XP_020720956.1	XP_034176168.1, XP_034176167.1, XP_034176169.1
OG0000130	XP_003396634.1, XP_003396633.1	XP_034177344.1, XP_034177330.1, XP_034177323.1, XP_034177336.1
OG0000131	XP_003398786.1, XP_012168589.1, XP_012168588.1, XP_020721254.1	XP_034175704.1, XP_034175702.1, XP_034175701.1, XP_034175700.1, XP_034175703.1, XP_034175699.1
OG0000132	XP_020718867.1, XP_020718868.1, XP_012164341.1, XP_003402529.2	XP_034177586.1, XP_034177584.1, XP_034177583.1
OG0000133	XP_020720571.1	XP_034192378.1
OG0000134	XP_003402921.2	XP_034193805.1
OG0000135	XP_012169829.1, XP_003399465.1, XP_020721648.1	XP_034191110.1, XP_034191109.1
OG0000136	XP_020721352.1	XP_034194807.1
OG0000137	XP_020724217.1	XP_034194964.1, XP_034194849.1, XP_034194935.1, XP_034194934.1, XP_034195061.1
OG0000138	XP_012173522.1	XP_034192727.1
OG0000139	XP_012176727.1	XP_034195309.1, XP_034195317.1, XP_034195314.1, XP_034195304.1
OG0000140	XP_020723223.1, XP_003402203.1	XP_034183102.1, XP_034183103.1, XP_034183104.1, XP_034183105.1, XP_034183106.1, XP_034183101.1
OG0000141	XP_012175996.1, XP_012175997.1	XP_034182597.1, XP_034182600.1, XP_034182598.1
OG0000143	XP_003396371.1, XP_003396370.1	XP_034182661.1, XP_034182652.1
OG0000144	XP_012164458.1, XP_003393127.1, XP_003393128.1	XP_034173463.1, XP_034173465.1, XP_034173464.1
OG0000145	XP_003394949.1	XP_034184612.1
OG0000146	XP_003394955.1	XP_034173815.1, XP_034173817.1
OG0000147	XP_012166619.1, XP_003397345.2	XP_034181254.1, XP_034181253.1, XP_034181258.1, XP_034181249.1, XP_034181250.1, XP_034181251.1, XP_034181257.1, XP_034181256.1, XP_034181252.1
OG0000148	XP_012167065.1, XP_012167067.1, XP_003397602.1	XP_034185966.1, XP_034185984.1, XP_034185960.1, XP_034185975.1
OG0000149	XP_003395613.1, XP_012164070.1	XP_034177625.1, XP_034177623.1, XP_034177622.1, XP_034177626.1
OG0000150	XP_020719393.1, XP_003396571.1, XP_012165583.1	XP_034176323.1, XP_034176352.1, XP_034176342.1, XP_034176332.1
OG0000151	XP_012166952.1, XP_012166951.1, XP_012166950.1, XP_012166949.1, XP_003397465.1, XP_012166953.1, XP_012166954.1	XP_034189041.1, XP_034189040.1
OG0000152	XP_003393535.1	XP_034170811.1, XP_034170810.1, XP_034170809.1
OG0000152	XP_003393536.1	XP_034170854.1
OG0000154	XP_020723950.1, XP_012169488.1, XP_012175474.1	XP_034195315.1, XP_034195308.1, XP_034195349.1, XP_034194873.1, XP_034195134.1, XP_034195247.1, XP_034194647.1, XP_034195162.1, XP_034194930.1, XP_034195221.1, XP_034195223.1, XP_034195307.1, XP_034195159.1, XP_034195222.1, XP_034194932.1, XP_034195151.1, XP_034195147.1
OG0000155	XP_012165134.1, XP_020719226.1, XP_012165135.1	XP_034171114.1, XP_034171099.1, XP_034171091.1, XP_034171105.1
OG0000156	XP_020722547.1, XP_020722544.1, XP_020722543.1, XP_020722545.1, XP_012175058.1	XP_034170950.1
OG0000157	XP_003396782.1, XP_003402992.1, XP_020723712.1, XP_012165896.1	XP_034173810.1
OG0000158	XP_003401312.1	XP_034179685.1
OG0000159	XP_003398422.1, XP_020720652.1	XP_034190002.1, XP_034190001.1
OG0000160	XP_020720934.1, XP_020720933.1	XP_034175010.1, XP_034175012.1
OG0000161	XP_012170447.1, XP_012170445.1, XP_012170446.1, XP_003399827.1	XP_034186534.1, XP_034186533.1
OG0000162	XP_012165810.1, XP_012165811.1	XP_034178501.1, XP_034178492.1
OG0000163	XP_020720787.1, XP_020720786.1, XP_020720785.1, XP_020720789.1, XP_020720788.1	XP_034189578.1, XP_034189579.1, XP_034189580.1, XP_034189581.1
OG0000164	XP_020721631.1, XP_012170305.1, XP_012170304.1	XP_034182895.1, XP_034182896.1
OG0000165	XP_012171348.1	XP_034194095.1, XP_034194096.1, XP_034194097.1
OG0000166	XP_003396953.1, XP_012165554.1, XP_012165552.1, XP_012165555.1, XP_012165553.1	XP_034195596.1, XP_034195604.1, XP_034195587.1
OG0000167	XP_020720834.1	XP_034172270.1
OG0000168	XP_012164015.1	XP_034176770.1
OG0000168	XP_003395571.1	XP_034176766.1
OG0000169	XP_012167498.1, XP_003397946.1	XP_034183965.1, XP_034183967.1, XP_034183963.1, XP_034183964.1, XP_034183968.1, XP_034183962.1
OG0000170	XP_003396944.1, XP_020719363.1, XP_020719364.1, XP_020719362.1, XP_020719365.1, XP_020719366.1, XP_020719367.1, XP_020719368.1	XP_034189531.1, XP_034189541.1
OG0000171	XP_012168820.1, XP_012168822.1, XP_020720959.1, XP_020720960.1, XP_020720957.1, XP_020720958.1, XP_003398855.1	XP_034175132.1, XP_034175130.1, XP_034175131.1
OG0000172	XP_003395180.1	XP_034187515.1
OG0000172	XP_003395196.1	XP_034187516.1
OG0000172	XP_003400373.1	XP_034180852.1
OG0000173	XP_020718789.1, XP_020718803.1, XP_020718807.1	XP_034173077.1, XP_034173076.1, XP_034173069.1
OG0000174	XP_020718460.1, XP_003395135.1, XP_003395133.1	XP_034174497.1, XP_034174496.1, XP_034174495.1
OG0000175	XP_003399057.1	XP_034193114.1, XP_034193113.1, XP_034193115.1
OG0000176	XP_020723870.1, XP_020724153.1, XP_020724151.1, XP_012175295.2, XP_012176310.1, XP_003394317.1	XP_034190369.1, XP_034190365.1, XP_034190693.1, XP_034190367.1, XP_034190366.1, XP_034194217.1, XP_034194216.1
OG0000178	XP_012163601.1	XP_034174010.1, XP_034174009.1
OG0000178	XP_003395150.1	XP_034174012.1
OG0000179	XP_003400301.1	XP_034178078.1, XP_034178079.1
OG0000180	XP_012175367.1, XP_012175366.1, XP_012175365.1, XP_012175368.1	XP_034189596.1, XP_034189595.1
OG0000181	XP_012172664.1, XP_012172663.1, XP_012172661.1, XP_020722452.1, XP_020722453.1, XP_003401447.1, XP_012172665.1	XP_034178956.1
OG0000182	XP_020720041.1	XP_034184451.1, XP_034184450.1, XP_034184449.1, XP_034184448.1, XP_034184452.1
OG0000183	XP_020719532.1, XP_020719535.1, XP_020719522.1, XP_012164942.1, XP_020719524.1, XP_020719516.1, XP_020719528.1, XP_020719518.1, XP_020719517.1, XP_020719520.1, XP_020719530.1, XP_003403386.2	XP_034196191.1
OG0000184	XP_003398235.1, XP_012167901.1, XP_012167903.1	XP_034183395.1, XP_034183397.1, XP_034183396.1
OG0000185	XP_012165006.1, XP_012165007.1, XP_012165005.1, XP_003396214.1	XP_034183428.1
OG0000186	XP_020723801.1, XP_020723808.1	XP_034185101.1, XP_034185087.1, XP_034185093.1, XP_034185104.1
OG0000187	XP_012176528.1, XP_012176529.1, XP_020724350.1	XP_034182467.1, XP_034182466.1, XP_034182468.1, XP_034182469.1
OG0000188	XP_020722869.1, XP_020722877.1, XP_020722876.1, XP_003393959.1	XP_034170835.1, XP_034170836.1
OG0000189	XP_003393809.1, XP_012173633.1, XP_012173634.1	XP_034171567.1, XP_034171566.1
OG0000190	XP_020722929.1	XP_034171366.1, XP_034171365.1
OG0000191	XP_003394509.1	XP_034182960.1, XP_034182962.1, XP_034182961.1, XP_034182965.1, XP_034182963.1, XP_034182964.1
OG0000192	XP_003394690.1	XP_034188503.1
