Orthogroup	Bombus_terrestris	Habropoda_laboriosa
OG0000009	XP_012171450.1, XP_012171449.1, XP_012171451.1, XP_012171455.1, XP_012171452.1, XP_012171447.1, XP_012171454.1, XP_003400542.1	XP_017794605.1
OG0000010	XP_003401176.1	XP_017796643.1
OG0000011	XP_012170379.1, XP_012170380.1, XP_020721435.1, XP_003399794.1, XP_020721436.1, XP_012170385.1, XP_012170387.1, XP_012170386.1	XP_017794869.1
OG0000012	XP_012170544.1, XP_012170543.1, XP_012170542.1, XP_012170541.1, XP_012170540.1, XP_012170539.1, XP_020721690.1, XP_012170538.1	XP_017792474.1, XP_017792476.1, XP_017792475.1, XP_017792472.1, XP_017792473.1
OG0000013	XP_012175813.1, XP_020723772.1, XP_012175517.1, XP_012175540.2	XP_017796994.1
OG0000014	XP_012166136.1	XP_017795687.1
OG0000014	XP_003392970.1, XP_003393115.1	XP_017799307.1
OG0000015	XP_012171125.2, XP_012174398.2, XP_020721957.1	XP_017789847.1, XP_017788742.1, XP_017788743.1, XP_017797133.1
OG0000017	XP_012175550.1	XP_017795648.1, XP_017799140.1, XP_017799301.1
OG0000017	XP_003396974.1, XP_012165320.1	XP_017792294.1
OG0000018	XP_003398707.1, XP_003398706.1	XP_017787682.1, XP_017787687.1, XP_017787680.1, XP_017787681.1, XP_017787683.1, XP_017787684.1, XP_017787685.1, XP_017787686.1
OG0000019	XP_012164839.1	XP_017789119.1
OG0000020	XP_020720720.1, XP_003401565.2	XP_017796294.1
OG0000021	XP_012175449.1	XP_017796728.1, XP_017793544.1
OG0000021	XP_012175527.2	XP_017796989.1, XP_017796209.1
OG0000021	XP_012167645.1, XP_012174214.1	XP_017795070.1
OG0000022	XP_012173075.1, XP_012173068.1, XP_012173069.1, XP_012173070.1, XP_012173071.1, XP_012173067.1	XP_017794031.1, XP_017794029.1, XP_017794030.1, XP_017794026.1, XP_017794027.1, XP_017794028.1
OG0000023	XP_003396672.1	XP_017796999.1, XP_017796976.1
OG0000023	XP_012175515.1	XP_017795068.1, XP_017795921.1
OG0000025	XP_020723218.1, XP_003402194.1, XP_012173626.1, XP_020723220.1, XP_020723219.1, XP_012173627.1	XP_017792776.1
OG0000026	XP_003398369.1, XP_012168085.1, XP_012168086.1, XP_012168083.1, XP_012168084.1	XP_017790036.1, XP_017790034.1, XP_017790035.1, XP_017790037.1, XP_017790033.1
OG0000027	XP_003398638.1, XP_012168485.1, XP_012168486.1, XP_012168487.1, XP_012168488.1, XP_012168489.1, XP_012168490.1, XP_012168484.1	XP_017792739.1
OG0000028	XP_012174599.1, XP_012174600.1, XP_012174604.1, XP_012174601.1, XP_012174602.1, XP_003402871.1	XP_017798042.1, XP_017798041.1
OG0000029	XP_012167211.1, XP_012167212.1, XP_012167209.1, XP_012167210.1, XP_003397633.1, XP_012167208.1	XP_017796921.1, XP_017796923.1, XP_017796922.1, XP_017796926.1, XP_017796924.1, XP_017796925.1
OG0000031	XP_020721716.1	XP_017792478.1
OG0000032	XP_012166697.1, XP_012166700.1, XP_003397323.1, XP_003397322.1, XP_003397324.1	XP_017790596.1, XP_017790597.1, XP_017790598.1, XP_017790592.1, XP_017790593.1, XP_017790594.1, XP_017790595.1
OG0000033	XP_003400937.1, XP_020721993.1, XP_012171929.1, XP_012171930.1	XP_017794678.1, XP_017794677.1, XP_017794679.1, XP_017794675.1, XP_017794676.1
OG0000034	XP_012164119.1, XP_012164121.1, XP_012164120.1	XP_017792148.1, XP_017792149.1, XP_017792150.1
OG0000034	XP_003393447.1, XP_020721193.1, XP_020721198.1, XP_020721202.1	XP_017799321.1
OG0000035	XP_012172815.1, XP_012172814.1, XP_012172816.1, XP_012172817.1	XP_017794776.1, XP_017794775.1
OG0000036	XP_012169872.1, XP_012169873.1, XP_012169871.1, XP_003399621.1	XP_017791515.1
OG0000037	XP_003396400.1	XP_017788215.1, XP_017788216.1, XP_017788212.1, XP_017788214.1, XP_017788213.1
OG0000038	XP_003399689.1, XP_012170206.1	XP_017791423.1, XP_017791424.1
OG0000038	XP_012173498.1, XP_020723033.1	XP_017793649.1
OG0000039	XP_003399165.1, XP_003399166.1, XP_012169436.1, XP_012169438.1, XP_012169439.1, XP_012169441.1	XP_017789586.1
OG0000040	XP_012167037.1, XP_012167036.1, XP_012167034.1, XP_012167030.1, XP_012167031.1, XP_012167033.1	XP_017791263.1, XP_017791264.1, XP_017791265.1, XP_017791267.1, XP_017791266.1, XP_017791268.1, XP_017791262.1
OG0000041	XP_020723306.1	XP_017792761.1, XP_017796806.1, XP_017793837.1
OG0000041	XP_012175480.1	XP_017793816.1
OG0000042	XP_020720338.1, XP_020720336.1	XP_017787392.1
OG0000043	XP_003393409.1	XP_017794557.1, XP_017794556.1
OG0000044	XP_012172566.2	XP_017795109.1
OG0000045	XP_012175534.1, XP_012172861.2, XP_012171986.1, XP_012174538.1, XP_012176290.1	XP_017791909.1, XP_017793566.1, XP_017796208.1, XP_017797047.1, XP_017797064.1
OG0000046	XP_003393999.1, XP_003393907.1, XP_020722356.1, XP_020723889.1, XP_012175705.1, XP_003394000.1, XP_012175707.1, XP_003393910.1	XP_017795969.1
OG0000046	XP_003393913.1	XP_017795975.1
OG0000046	XP_012175708.2	XP_017795937.1, XP_017795938.1, XP_017795939.1
OG0000047	XP_003396338.1	XP_017792281.1
OG0000048	XP_012171815.1	XP_017795703.1
OG0000048	XP_012174400.2	XP_017792762.1
OG0000049	XP_020719074.1, XP_003393329.1, XP_020719067.1, XP_020722566.1	XP_017792787.1
OG0000049	XP_012166402.1, XP_003393343.1, XP_003393341.1, XP_003393340.1, XP_012166351.1	XP_017793055.1, XP_017793138.1
OG0000050	XP_003403152.1, XP_020723773.1, XP_003403151.1, XP_012175160.1, XP_012175161.1, XP_012175162.1	XP_017787399.1, XP_017787400.1, XP_017787401.1
OG0000051	XP_003394733.1, XP_020721699.1, XP_020723568.1, XP_020723847.1, XP_003403375.2, XP_020723961.1, XP_003403427.2, XP_012175487.2, XP_012175505.2, XP_012175211.1, XP_012175212.1, XP_012174533.1, XP_012173842.1, XP_003402269.1, XP_012175213.2, XP_003402802.1, XP_020723849.1, XP_012174003.2, XP_020723970.1, XP_012175509.2, XP_020723511.1, XP_020723935.1, XP_020723892.1	XP_017787543.1
OG0000052	XP_003402888.1	XP_017795812.1
OG0000052	XP_003402887.1, XP_012174757.1	XP_017789050.1
OG0000053	XP_012174271.2, XP_020723867.1, XP_012175325.1, XP_020723893.1	XP_017792514.1
OG0000054	XP_003402889.2	XP_017795807.1, XP_017795809.1, XP_017795808.1, XP_017795803.1, XP_017795810.1, XP_017795806.1
OG0000055	XP_003397755.1, XP_020720316.1, XP_020720318.1, XP_012167100.1, XP_012167097.1, XP_012167099.1, XP_012167098.1	XP_017797342.1
OG0000056	XP_012171554.1, XP_012171555.1, XP_003400605.1, XP_012171557.1, XP_012171558.1, XP_003400606.1	XP_017798800.1
OG0000058	XP_003393905.1, XP_020723934.1	XP_017795930.1
OG0000059	XP_012175524.1	XP_017799148.1
OG0000059	XP_003393114.1	XP_017799145.1
OG0000060	XP_003395309.1	XP_017795112.1
OG0000061	XP_020723958.1	XP_017797025.1
OG0000061	XP_012175533.1, XP_012174897.1	XP_017795781.1
OG0000063	XP_012172397.1	XP_017791822.1
OG0000063	XP_012175443.1	XP_017791522.1, XP_017791523.1
OG0000063	XP_003401252.1	XP_017791824.1
OG0000064	XP_003401157.1	XP_017796680.1, XP_017796681.1
OG0000064	XP_003396169.1	XP_017789191.1
OG0000064	XP_003399700.1	XP_017795058.1
OG0000065	XP_003399390.1, XP_012169772.1, XP_012169774.1, XP_012169773.1	XP_017792968.1
OG0000066	XP_012176180.1, XP_012176179.1, XP_012176178.1, XP_012176177.1, XP_003394336.1, XP_003394335.1, XP_020724195.1, XP_020724193.1, XP_020724194.1, XP_012176181.1	XP_017789529.1, XP_017789530.1
OG0000067	XP_020719485.1, XP_020719487.1, XP_020719486.1, XP_003396344.1, XP_012165070.1, XP_012165068.1	XP_017792512.1
OG0000068	XP_012175711.1	XP_017795940.1
OG0000069	XP_003400832.1, XP_012171883.1, XP_012171882.1	XP_017797758.1
OG0000070	XP_003393731.1	XP_017792725.1
OG0000071	XP_003398039.1	XP_017797358.1
OG0000072	XP_003394637.1	XP_017788172.1, XP_017788171.1, XP_017788170.1, XP_017788169.1, XP_017788173.1, XP_017788174.1
OG0000073	XP_020721682.1, XP_012170498.1, XP_012170499.1, XP_003399855.1, XP_012170500.1, XP_012170501.1	XP_017787586.1, XP_017787587.1
OG0000074	XP_003393379.1	XP_017794737.1
OG0000074	XP_020723850.1	XP_017794617.1
OG0000076	XP_012167610.1, XP_003397903.1, XP_012167613.1, XP_012167612.1, XP_012167611.1, XP_020720164.1, XP_020720163.1, XP_020720166.1, XP_020720165.1, XP_003397904.1, XP_020720167.1, XP_003397905.1	XP_017799593.1
OG0000077	XP_003393866.1, XP_003393865.1, XP_003393867.1, XP_020723943.1	XP_017790553.1, XP_017790555.1
OG0000078	XP_003400351.1, XP_003400142.1	XP_017792569.1, XP_017797126.1, XP_017792570.1, XP_017795215.1, XP_017796732.1, XP_017797042.1, XP_017796957.1, XP_017796955.1, XP_017797122.1
OG0000079	XP_012172564.1, XP_020722768.1	XP_017795101.1
OG0000080	XP_003396583.1	XP_017792228.1
OG0000081	XP_012168611.1	XP_017793012.1
OG0000082	NP_001295235.1, XP_012176496.1	XP_017799058.1
OG0000083	XP_003394538.1, XP_012176340.1	XP_017788047.1
OG0000084	XP_012174846.1, XP_012174697.1, XP_012174259.1, XP_012171989.1	XP_017795382.1
OG0000084	XP_020723262.1, XP_012174211.1	XP_017792996.1, XP_017796553.1
OG0000085	XP_020720248.1, XP_012166912.1	XP_017794362.1
OG0000086	XP_012172081.1	XP_017796684.1
OG0000087	XP_012169707.1, XP_012169706.1, XP_012169708.1, XP_003399343.1, XP_020720978.1	XP_017789247.1
OG0000088	XP_012175400.2	XP_017790565.1, XP_017790567.1, XP_017790576.1, XP_017790564.1, XP_017790571.1
OG0000089	XP_012168805.1	XP_017793317.1, XP_017793318.1, XP_017793285.1, XP_017797037.1
OG0000090	XP_003394915.1, XP_012163272.1	XP_017798266.1
OG0000091	XP_003395578.1, XP_003395577.1, XP_012164030.1	XP_017793696.1, XP_017793694.1, XP_017793697.1
OG0000092	XP_020723418.1, XP_012174385.1	XP_017797058.1, XP_017797011.1, XP_017792998.1
OG0000093	XP_020721109.1	XP_017789280.1, XP_017789278.1
OG0000094	XP_012174304.1, XP_012174308.2	XP_017788404.1
OG0000095	XP_012165356.1, XP_012165354.1, XP_012165353.1	XP_017792240.1
OG0000096	XP_012176549.1	XP_017796141.1
OG0000097	XP_020722095.1, XP_012171292.1, XP_012171295.1, XP_012171296.1, XP_012171298.1, XP_012171297.1	XP_017792113.1
OG0000098	XP_020720591.1	XP_017790044.1
OG0000099	XP_012175961.1, XP_012175965.1, XP_012175971.1, XP_003392979.1	XP_017788335.1, XP_017788334.1, XP_017788333.1
OG0000100	XP_012174699.1	XP_017791917.1
OG0000101	XP_012170316.1	XP_017795008.1
OG0000102	XP_003397051.1, XP_020719814.1, XP_020719815.1, XP_012166337.1, XP_012166336.1	XP_017790496.1
OG0000103	XP_020721331.1, XP_020721332.1, XP_012169146.1, XP_012169147.1	XP_017795578.1
OG0000104	XP_012168006.1	XP_017790369.1
OG0000104	XP_012168004.1	XP_017790362.1
OG0000105	XP_020721488.1	XP_017787598.1
OG0000106	XP_020724024.1	XP_017790882.1
OG0000106	XP_020723503.1, XP_020723505.1, XP_020723502.1, XP_020723508.1, XP_020723509.1, XP_020723510.1, XP_020723504.1, XP_020723507.1, XP_020723506.1	XP_017795920.1, XP_017792764.1
OG0000108	XP_012168065.1, XP_003398352.1, XP_020720538.1, XP_012168063.1	XP_017795457.1, XP_017795456.1, XP_017795458.1, XP_017795454.1, XP_017795455.1
OG0000110	XP_012171597.1, XP_020722326.1, XP_003400632.1	XP_017798657.1
OG0000110	XP_012171598.1, XP_003400635.1, XP_012171599.1	XP_017798692.1
OG0000112	XP_012175609.1	XP_017795970.1
OG0000113	XP_012170154.1, XP_020723319.1, XP_012170122.1, XP_012170161.1, XP_012170166.1, XP_012170150.1	XP_017794671.1
OG0000114	XP_020722733.1, XP_012172572.1, XP_012172570.1	XP_017795102.1, XP_017795103.1
OG0000115	XP_003402143.1, XP_003402144.1	XP_017794904.1, XP_017794905.1, XP_017794906.1
OG0000116	XP_012171737.1, XP_003400885.1, XP_020722207.1	XP_017797704.1
OG0000117	XP_012172000.1, XP_012171999.1, XP_012171998.1	XP_017789755.1, XP_017789754.1, XP_017789756.1
OG0000118	XP_003394635.1, XP_012176600.1, XP_012176601.1, XP_012176598.1, XP_012176599.1	XP_017788114.1
OG0000119	XP_020723141.1, XP_020723140.1, XP_020723142.1, XP_020723139.1	XP_017788550.1, XP_017795246.1
OG0000120	XP_020720644.1	XP_017792695.1
OG0000120	XP_020720719.1, XP_012168483.1	XP_017792653.1
OG0000121	NP_001274492.1	XP_017797236.1
OG0000124	XP_012165095.1, XP_003396395.1, XP_012165096.1, XP_020719491.1, XP_012165093.1, XP_012165091.1, XP_012165097.1	XP_017792535.1, XP_017792534.1, XP_017792533.1, XP_017792539.1, XP_017792538.1, XP_017792537.1, XP_017792536.1
OG0000125	XP_012170233.1, XP_020721551.1, XP_003393848.1, XP_012175298.1, XP_003399696.2, XP_012170223.1, XP_012170221.2	XP_017791425.1
OG0000126	XP_012169448.1	XP_017789648.1, XP_017789644.1, XP_017789645.1, XP_017789646.1, XP_017789647.1
OG0000127	XP_020722450.1, XP_020722451.1	XP_017795355.1
OG0000128	XP_003395437.1	XP_017796091.1
OG0000129	XP_012168842.2, XP_020720955.1, XP_020720954.1, XP_020720953.1, XP_020720956.1	XP_017795022.1
OG0000130	XP_003396634.1, XP_003396633.1	XP_017791660.1
OG0000131	XP_003398786.1, XP_012168589.1, XP_012168588.1, XP_020721254.1	XP_017793513.1
OG0000132	XP_020718867.1, XP_020718868.1, XP_012164341.1, XP_003402529.2	XP_017790774.1, XP_017790775.1
OG0000134	XP_003402921.2	XP_017797579.1
OG0000135	XP_012169829.1, XP_003399465.1, XP_020721648.1	XP_017798375.1
OG0000136	XP_020721352.1	XP_017795982.1, XP_017791302.1, XP_017795072.1
OG0000137	XP_020724217.1	XP_017797140.1, XP_017797033.1, XP_017796833.1, XP_017796385.1, XP_017791899.1, XP_017792479.1, XP_017795780.1, XP_017796993.1, XP_017792480.1, XP_017795850.1
OG0000138	XP_012173522.1	XP_017793589.1, XP_017793591.1, XP_017788546.1, XP_017793079.1, XP_017797023.1, XP_017788544.1, XP_017788543.1
OG0000139	XP_012176727.1	XP_017796909.1, XP_017796915.1, XP_017796914.1, XP_017796913.1, XP_017796916.1, XP_017796910.1, XP_017796912.1
OG0000140	XP_020723223.1, XP_003402203.1	XP_017792772.1
OG0000141	XP_012175996.1, XP_012175997.1	XP_017788659.1, XP_017788642.1, XP_017788651.1
OG0000142	XP_003399626.2	XP_017791513.1
OG0000143	XP_003396371.1, XP_003396370.1	XP_017792254.1, XP_017792252.1, XP_017792253.1, XP_017792241.1
OG0000144	XP_012164458.1, XP_003393127.1, XP_003393128.1	XP_017799237.1, XP_017799232.1, XP_017799234.1, XP_017799233.1, XP_017799236.1, XP_017799238.1
OG0000145	XP_003394949.1	XP_017796270.1
OG0000146	XP_003394955.1, XP_012163322.1	XP_017796843.1
OG0000147	XP_012166619.1, XP_003397345.2	XP_017794346.1
OG0000148	XP_012167065.1, XP_012167067.1, XP_003397602.1	XP_017794377.1
OG0000149	XP_003395613.1, XP_012164070.1	XP_017790767.1, XP_017790769.1
OG0000150	XP_020719393.1, XP_003396571.1, XP_012165583.1	XP_017792275.1, XP_017792274.1, XP_017792277.1
OG0000151	XP_012166952.1, XP_012166951.1, XP_012166950.1, XP_012166949.1, XP_003397465.1, XP_012166953.1, XP_012166954.1	XP_017790935.1
OG0000152	XP_003393535.1	XP_017797297.1, XP_017797034.1
OG0000153	XP_012168446.1	XP_017796719.1
OG0000153	XP_012175536.1, XP_012174221.1	XP_017795063.1
OG0000155	XP_012165134.1, XP_020719226.1, XP_012165135.1	XP_017794253.1
OG0000156	XP_020722547.1, XP_020722544.1, XP_020722543.1, XP_020722545.1, XP_012175058.1	XP_017790495.1
OG0000157	XP_003396782.1, XP_003402992.1, XP_020723712.1, XP_012165896.1	XP_017788203.1
OG0000158	XP_003401312.1	XP_017799456.1
OG0000159	XP_003398422.1, XP_020720652.1	XP_017789953.1
OG0000160	XP_020720934.1, XP_020720933.1	XP_017793295.1
OG0000160	XP_020720937.1	XP_017793298.1
OG0000161	XP_012170447.1, XP_012170445.1, XP_012170446.1, XP_003399827.1	XP_017787593.1, XP_017787594.1
OG0000162	XP_012165810.1, XP_012165811.1	XP_017795182.1, XP_017795181.1
OG0000164	XP_020721631.1, XP_012170305.1, XP_012170304.1	XP_017791397.1
OG0000165	XP_012171348.1	XP_017793840.1
OG0000166	XP_003396953.1, XP_012165554.1, XP_012165552.1, XP_012165555.1, XP_012165553.1	XP_017792417.1
OG0000167	XP_020720834.1	XP_017799229.1
OG0000168	XP_020718921.1	XP_017793663.1
OG0000168	XP_003395571.1	XP_017793662.1
OG0000169	XP_012167498.1, XP_003397946.1	XP_017795402.1
OG0000170	XP_003396944.1, XP_020719363.1, XP_020719364.1, XP_020719362.1, XP_020719365.1, XP_020719366.1, XP_020719367.1, XP_020719368.1	XP_017787826.1
OG0000171	XP_012168820.1, XP_012168822.1, XP_020720959.1, XP_020720960.1, XP_020720957.1, XP_020720958.1, XP_003398855.1	XP_017793301.1
OG0000172	XP_003395180.1	XP_017798095.1
OG0000172	XP_003395196.1	XP_017798094.1
OG0000172	XP_003400373.1	XP_017798766.1
OG0000173	XP_020718789.1, XP_020718803.1, XP_020718807.1	XP_017799360.1, XP_017799362.1
OG0000174	XP_020718460.1, XP_003395135.1, XP_003395133.1	XP_017796472.1
OG0000175	XP_003399057.1	XP_017793482.1
OG0000176	XP_020723870.1, XP_020724153.1, XP_020724151.1, XP_012175295.2, XP_012176310.1, XP_003394317.1	XP_017789474.1
OG0000177	XP_020724240.1, XP_003394675.1	XP_017791680.1
OG0000177	XP_003394677.1	XP_017791682.1
OG0000178	XP_003395150.1	XP_017795994.1
OG0000179	XP_003400301.1	XP_017788771.1
OG0000180	XP_012175367.1, XP_012175366.1, XP_012175365.1, XP_012175368.1	XP_017789946.1
OG0000181	XP_012172664.1, XP_012172663.1, XP_012172661.1, XP_020722452.1, XP_020722453.1, XP_003401447.1, XP_012172665.1	XP_017796307.1
OG0000182	XP_020720041.1	XP_017797341.1, XP_017797340.1
OG0000183	XP_020719532.1, XP_020719535.1, XP_020719522.1, XP_012164942.1, XP_020719524.1, XP_020719516.1, XP_020719528.1, XP_020719518.1, XP_020719517.1, XP_020719520.1, XP_020719530.1, XP_003403386.2	XP_017797934.1
OG0000184	XP_003398235.1, XP_012167901.1, XP_012167903.1	XP_017792500.1, XP_017792509.1, XP_017792517.1
OG0000185	XP_012165006.1, XP_012165007.1, XP_012165005.1, XP_003396214.1	XP_017798069.1
OG0000186	XP_020723801.1, XP_020723808.1	XP_017791282.1, XP_017791278.1
OG0000187	XP_012176528.1, XP_012176529.1, XP_020724350.1	XP_017788490.1
OG0000188	XP_020722869.1, XP_020722877.1, XP_020722876.1, XP_003393959.1	XP_017794463.1
OG0000189	XP_003393809.1, XP_012173633.1, XP_012173634.1	XP_017788425.1
OG0000190	XP_020722929.1	XP_017789128.1, XP_017789207.1
OG0000191	XP_003394509.1	XP_017791376.1, XP_017791452.1
OG0000192	XP_003394690.1	XP_017791754.1, XP_017791753.1
OG0000193	XP_003396374.1, XP_012165376.1, XP_012165373.1, XP_012165379.1, XP_012165378.1	XP_017792331.1, XP_017792330.1
OG0000194	XP_012168595.1, XP_012168596.1, XP_012168597.1, XP_012168598.1, XP_020720998.1	XP_017793364.1
OG0000195	XP_020718760.1, XP_020718759.1, XP_003395333.1	XP_017795274.1, XP_017795266.1
OG0000196	XP_003402154.1, XP_012174009.1, XP_012164720.1, XP_012166717.1	XP_017795936.1
OG0000197	XP_012169560.1	XP_017795064.1
OG0000200	XP_003393298.1	XP_017788300.1
OG0000201	XP_003397959.1, XP_012167677.1, XP_003397960.1	XP_017797336.1
OG0000202	XP_012169335.1, XP_012169334.1	XP_017793090.1
OG0000203	XP_003400456.1, XP_012171242.1	XP_017798619.1, XP_017798618.1, XP_017798620.1
OG0000204	XP_003394706.1, XP_003394705.1	XP_017791714.1, XP_017791713.1
OG0000205	XP_012164463.1	XP_017794933.1
OG0000206	XP_020723622.1, XP_012174635.1, XP_012174638.1, XP_012174636.1, XP_003402881.1	XP_017789387.1, XP_017789385.1, XP_017789386.1
OG0000207	XP_012166636.1	XP_017793864.1
OG0000208	XP_012175169.1, XP_012175168.1, XP_020723824.1	XP_017799506.1, XP_017799505.1, XP_017799504.1, XP_017799503.1, XP_017799502.1
OG0000209	XP_012167357.1	XP_017795374.1
OG0000211	XP_003403180.1, XP_012175194.1, XP_012175192.1, XP_012175195.1	XP_017799529.1
OG0000212	XP_012168652.1	XP_017793038.1
OG0000213	XP_012175785.1, XP_012175778.1, XP_012175770.1, XP_012175792.1, XP_003393170.1	XP_017799003.1
OG0000214	XP_003392935.1	XP_017797706.1, XP_017797714.1, XP_017797698.1, XP_017797723.1
OG0000215	XP_020723607.1, XP_020723610.1, XP_012174547.1, XP_020723608.1, XP_020723611.1, XP_020723609.1	XP_017791734.1
OG0000216	XP_020719016.1	XP_017789106.1
OG0000217	XP_020721002.1	XP_017798022.1
OG0000218	XP_003401025.1	XP_017796575.1
OG0000218	XP_012172166.1	XP_017796692.1
OG0000219	XP_012173564.1	XP_017793785.1, XP_017793782.1, XP_017793781.1, XP_017793783.1, XP_017793784.1
OG0000220	XP_012163163.1	XP_017797835.1
OG0000221	XP_003400569.1	XP_017798659.1
OG0000222	XP_003398123.1	XP_017789951.1
OG0000222	XP_012167804.1	XP_017791752.1
OG0000223	XP_012166755.1, XP_003397452.1, XP_003397451.1	XP_017796917.1
OG0000224	XP_020723779.1, XP_012174962.1, XP_012174961.1, XP_012174960.1	XP_017794021.1
OG0000226	XP_012172272.1	XP_017791790.1
OG0000227	XP_012172050.1	XP_017795361.1
OG0000228	XP_003393462.1	XP_017798941.1
OG0000229	XP_012171396.1, XP_012171459.1, XP_003400520.2, XP_012171402.1, XP_003402519.3, XP_012171398.1, XP_003400517.1, XP_012171404.1, XP_012174839.1, XP_003400519.2, XP_012175504.1	XP_017794652.1
OG0000229	XP_003401003.1	XP_017789564.1
OG0000230	XP_003394878.1, XP_003394880.1, XP_020718578.1, XP_003394879.1	XP_017797882.1
OG0000231	XP_012166221.1, XP_012166220.1, XP_012166219.1, XP_020719791.1, XP_012166222.1, XP_012166223.1	XP_017790432.1
OG0000232	XP_003400196.1, XP_012170947.1	XP_017788809.1, XP_017788806.1, XP_017788807.1, XP_017788808.1
OG0000233	XP_012171308.1, XP_020722096.1, XP_003400476.1, XP_012171299.2, XP_012171301.1, XP_012171304.1	XP_017795474.1, XP_017790961.1
OG0000234	XP_012173296.1, XP_012173298.1, XP_012173297.1, XP_003401876.1, XP_003401877.1, XP_012173299.1	XP_017787518.1, XP_017787520.1, XP_017787519.1, XP_017787517.1
OG0000235	XP_012175460.1, XP_020724080.1	XP_017788073.1
OG0000237	XP_012173935.1, XP_012173937.1, XP_012173936.1	XP_017789931.1
OG0000238	XP_012173512.1	XP_017793620.1
OG0000239	XP_003402884.1, XP_012175231.1, XP_020723851.1, XP_012175221.2, XP_020723726.1, XP_012175223.1, XP_012175222.2, XP_012175291.1, XP_020723852.1	XP_017798889.1
OG0000240	XP_020723080.1	XP_017788566.1
OG0000241	XP_020722950.1	XP_017798026.1
OG0000242	XP_003396534.1, XP_020719232.1	XP_017788190.1, XP_017788189.1
OG0000243	XP_012165897.1, XP_012165903.1, XP_012165902.1, XP_012165900.1, XP_012165899.1, XP_012165898.1	XP_017788238.1, XP_017788234.1, XP_017788237.1, XP_017788233.1, XP_017788232.1
OG0000244	XP_020724157.1, XP_020724158.1, XP_012176311.1, XP_020724156.1	XP_017788158.1
OG0000245	XP_020718282.1, XP_012163545.1	XP_017797193.1
OG0000246	XP_012164954.1, XP_020719099.1	XP_017797565.1
OG0000246	XP_003401768.1	XP_017797950.1
OG0000247	XP_003396811.1	XP_017792221.1
OG0000248	XP_020721257.1, XP_020721258.1, XP_020721259.1, XP_012169434.1, XP_012169432.1, XP_003399159.1, XP_012169431.1, XP_012169429.1, XP_020721256.1	XP_017792722.1
OG0000249	XP_012169463.2, XP_020721343.1, XP_003402576.2, XP_020721177.1	XP_017792670.1, XP_017792668.1
OG0000250	XP_020721163.1	XP_017788369.1
OG0000251	XP_003401208.1, XP_020722676.1	XP_017796631.1
OG0000252	XP_003398194.1	XP_017789685.1
OG0000253	XP_003401778.1	XP_017797955.1
OG0000253	XP_003401781.1	XP_017797956.1
OG0000253	XP_003401782.1	XP_017797971.1, XP_017797954.1
OG0000254	XP_003394353.1, XP_020724147.1, XP_012176228.1, XP_012176226.1, XP_012176227.1	XP_017789404.1
OG0000255	XP_003400584.1, XP_003400585.1, XP_020722157.1	XP_017798490.1
OG0000256	XP_012168741.1, XP_012168742.1	XP_017798011.1
OG0000257	XP_012171960.1, XP_012171957.1, XP_012171958.1, XP_012171959.1	XP_017798701.1, XP_017798700.1, XP_017798703.1, XP_017798704.1, XP_017798699.1
