Orthogroup	Bombus_terrestris	Megalopta_genalis
OG0000014	XP_003393115.1	XP_033328968.1
OG0000015	XP_012171125.2, XP_012174398.2, XP_020721957.1	XP_033332229.1, XP_033331540.1, XP_033331527.1, XP_033331543.1, XP_033331542.1, XP_033332230.1, XP_033332231.1, XP_033332235.1, XP_033331544.1, XP_033332227.1
OG0000017	XP_012175550.1	XP_033337165.1, XP_033337190.1, XP_033328772.1, XP_033328607.1, XP_033328578.1
OG0000017	XP_012165320.1	XP_033328493.1, XP_033328495.1
OG0000018	XP_003398707.1, XP_003398706.1	XP_033339546.1, XP_033339550.1, XP_033339549.1, XP_033339548.1, XP_033339547.1
OG0000019	XP_012164839.1	XP_033323692.1, XP_033323694.1, XP_033323690.1, XP_033323691.1, XP_033323688.1, XP_033323689.1, XP_033323686.1, XP_033323687.1
OG0000021	XP_012175449.1	XP_033332580.1
OG0000021	XP_020723728.1, XP_012171988.1, XP_020723723.1	XP_033331103.1
OG0000021	XP_012175527.2	XP_033320862.1
OG0000022	XP_012173075.1, XP_012173068.1, XP_012173069.1, XP_012173070.1, XP_012173071.1, XP_012173067.1	XP_033337897.1, XP_033337898.1, XP_033337899.1, XP_033337900.1, XP_033337901.1
OG0000023	XP_003396672.1	XP_033334494.1
OG0000025	XP_020723218.1, XP_003402194.1, XP_012173626.1, XP_020723220.1, XP_020723219.1, XP_012173627.1	XP_033325052.1, XP_033325051.1, XP_033325054.1, XP_033325053.1, XP_033325048.1, XP_033325047.1, XP_033325050.1, XP_033325049.1, XP_033325055.1
OG0000026	XP_003398369.1, XP_012168085.1, XP_012168086.1, XP_012168083.1, XP_012168084.1	XP_033321452.1, XP_033321451.1, XP_033321450.1
OG0000027	XP_003398638.1, XP_012168485.1, XP_012168486.1, XP_012168487.1, XP_012168488.1, XP_012168489.1, XP_012168490.1, XP_012168484.1	XP_033337252.1, XP_033337236.1, XP_033337245.1, XP_033337219.1, XP_033337227.1, XP_033337260.1
OG0000028	XP_012174599.1, XP_012174600.1, XP_012174604.1, XP_012174601.1, XP_012174602.1, XP_003402871.1	XP_033330647.1, XP_033330816.1, XP_033330486.1, XP_033330568.1, XP_033330405.1, XP_033330738.1, XP_033330319.1
OG0000029	XP_012167211.1, XP_012167212.1, XP_012167209.1, XP_012167210.1, XP_003397633.1, XP_012167208.1	XP_033333520.1, XP_033333521.1
OG0000030	XP_020718526.1, XP_020718527.1	XP_033332813.1, XP_033332411.1, XP_033332405.1, XP_033332404.1
OG0000030	XP_020718522.1, XP_020718528.1, XP_020718524.1, XP_020718520.1, XP_020718521.1, XP_020718529.1	XP_033323499.1, XP_033335180.1
OG0000031	XP_020721716.1	XP_033326345.1, XP_033326344.1, XP_033326347.1, XP_033326346.1, XP_033326351.1, XP_033326352.1, XP_033326348.1, XP_033326349.1
OG0000032	XP_012166697.1, XP_012166700.1, XP_003397323.1, XP_003397322.1, XP_003397324.1	XP_033329243.1, XP_033329242.1, XP_033329244.1
OG0000033	XP_003400937.1, XP_020721993.1, XP_012171929.1, XP_012171930.1	XP_033336003.1, XP_033336004.1, XP_033336005.1, XP_033336006.1, XP_033336007.1, XP_033336008.1, XP_033336009.1
OG0000034	XP_012164119.1, XP_012164121.1, XP_012164120.1	XP_033324165.1
OG0000034	XP_003393447.1, XP_020721193.1, XP_020721198.1, XP_020721202.1	XP_033341112.1, XP_033341113.1
OG0000035	XP_012172815.1, XP_012172814.1, XP_012172816.1, XP_012172817.1	XP_033324679.1, XP_033324678.1, XP_033324677.1, XP_033324680.1
OG0000036	XP_012169872.1, XP_012169873.1, XP_012169871.1, XP_003399621.1	XP_033335344.1, XP_033335343.1, XP_033335345.1, XP_033335342.1, XP_033335341.1
OG0000037	XP_003396400.1	XP_033328353.1, XP_033328354.1, XP_033328352.1, XP_033328348.1, XP_033328347.1, XP_033328345.1, XP_033328346.1, XP_033328349.1, XP_033328356.1, XP_033328355.1
OG0000038	XP_003399689.1, XP_012170206.1, XP_012173498.1, XP_020723033.1	XP_033322825.1
OG0000039	XP_003399165.1, XP_003399166.1, XP_012169436.1, XP_012169438.1, XP_012169439.1, XP_012169441.1	XP_033335273.1, XP_033335248.1, XP_033335255.1, XP_033335265.1
OG0000040	XP_012167037.1, XP_012167036.1, XP_012167034.1, XP_012167030.1, XP_012167031.1, XP_012167033.1	XP_033325796.1, XP_033325797.1
OG0000041	XP_020723306.1	XP_033337279.1
OG0000041	XP_012173831.1, XP_012175491.1, XP_012171920.1, XP_012169517.1, XP_020723949.1, XP_020723189.1, XP_012171921.1	XP_033321520.1
OG0000041	XP_012175480.1	XP_033336526.1, XP_033328733.1, XP_033321465.1, XP_033338214.1
OG0000042	XP_020720348.1, XP_020720337.1	XP_033327860.1, XP_033327858.1, XP_033327861.1, XP_033327862.1
OG0000043	XP_003393409.1	XP_033341999.1
OG0000044	XP_012172566.2	XP_033324696.1, XP_033324693.1, XP_033324694.1, XP_033324700.1, XP_033324699.1, XP_033324698.1, XP_033324701.1, XP_033324695.1
OG0000045	XP_012175534.1, XP_012172861.2, XP_012171986.1, XP_012174538.1, XP_012176290.1	XP_033321464.1, XP_033339062.1, XP_033339064.1, XP_033339066.1, XP_033326534.1
OG0000047	XP_003396338.1	XP_033328481.1
OG0000047	XP_003392968.1	XP_033328625.1
OG0000049	XP_020719074.1, XP_003393329.1, XP_020719067.1, XP_020722566.1	XP_033341369.1, XP_033341264.1, XP_033341263.1
OG0000050	XP_003403152.1, XP_020723773.1, XP_003403151.1, XP_012175160.1, XP_012175161.1, XP_012175162.1	XP_033332614.1, XP_033332612.1, XP_033332613.1, XP_033332615.1
OG0000051	XP_003394733.1, XP_020721699.1, XP_020723568.1, XP_020723847.1, XP_003403375.2, XP_020723961.1, XP_003403427.2, XP_012175487.2, XP_012175505.2, XP_012175211.1, XP_012175212.1, XP_012174533.1, XP_012173842.1, XP_003402269.1, XP_012175213.2, XP_003402802.1, XP_020723849.1, XP_012174003.2, XP_020723970.1, XP_012175509.2, XP_020723511.1, XP_020723935.1, XP_020723892.1	XP_033325147.1, XP_033325149.1
OG0000052	XP_003402888.1	XP_033321049.1
OG0000052	XP_003402887.1, XP_012174757.1	XP_033333313.1, XP_033333310.1, XP_033333311.1, XP_033333314.1
OG0000053	XP_012174271.2, XP_020723867.1, XP_012175325.1, XP_020723893.1	XP_033323667.1, XP_033323078.1
OG0000054	XP_003402889.2	XP_033321046.1, XP_033321048.1
OG0000055	XP_003397755.1, XP_020720316.1, XP_020720318.1, XP_012167100.1, XP_012167097.1, XP_012167099.1, XP_012167098.1	XP_033333278.1, XP_033333280.1, XP_033333281.1, XP_033333279.1
OG0000056	XP_012171554.1, XP_012171555.1, XP_003400605.1, XP_012171557.1, XP_012171558.1, XP_003400606.1	XP_033336684.1, XP_033336683.1, XP_033336682.1
OG0000059	XP_012175524.1	XP_033328603.1, XP_033328582.1, XP_033328621.1
OG0000059	XP_003393114.1	XP_033328576.1
OG0000060	XP_003395309.1	XP_033324135.1, XP_033324136.1
OG0000063	XP_012172397.1	XP_033341364.1
OG0000063	XP_012175443.1	XP_033324523.1, XP_033324493.1
OG0000063	XP_003401252.1	XP_033341282.1
OG0000064	XP_003401157.1	XP_033322375.1, XP_033322376.1
OG0000064	XP_003396169.1	XP_033322848.1
OG0000064	XP_003399700.1	XP_033330101.1
OG0000065	XP_003399390.1, XP_012169772.1, XP_012169774.1, XP_012169773.1	XP_033334751.1, XP_033334748.1, XP_033334749.1, XP_033334750.1
OG0000066	XP_012176180.1, XP_012176179.1, XP_012176178.1, XP_012176177.1, XP_003394336.1, XP_003394335.1, XP_020724195.1, XP_020724193.1, XP_020724194.1, XP_012176181.1	XP_033322048.1, XP_033322049.1, XP_033322050.1
OG0000067	XP_020719485.1, XP_020719487.1, XP_020719486.1, XP_003396344.1, XP_012165070.1, XP_012165068.1	XP_033334552.1
OG0000069	XP_003400832.1, XP_012171883.1, XP_012171882.1	XP_033336074.1, XP_033336075.1, XP_033336076.1
OG0000070	XP_003393731.1	XP_033330676.1, XP_033330685.1, XP_033330686.1, XP_033330689.1, XP_033330692.1, XP_033330678.1, XP_033330679.1, XP_033330690.1, XP_033330677.1, XP_033330674.1, XP_033330675.1, XP_033330687.1, XP_033330688.1, XP_033330682.1, XP_033330681.1, XP_033330684.1, XP_033330683.1
OG0000071	XP_003398039.1	XP_033333385.1
OG0000072	XP_003394637.1	XP_033341823.1, XP_033341838.1, XP_033341847.1, XP_033341813.1, XP_033341832.1
OG0000073	XP_020721682.1, XP_012170498.1, XP_012170499.1, XP_003399855.1, XP_012170500.1, XP_012170501.1	XP_033330026.1, XP_033330029.1
OG0000074	XP_003393379.1	XP_033323885.1, XP_033323887.1
OG0000074	XP_020723850.1	XP_033323898.1, XP_033323897.1
OG0000076	XP_012167610.1, XP_003397903.1, XP_012167613.1, XP_012167612.1, XP_012167611.1, XP_020720164.1, XP_020720163.1, XP_020720166.1, XP_020720165.1, XP_003397904.1, XP_020720167.1, XP_003397905.1	XP_033334963.1, XP_033334929.1, XP_033334954.1, XP_033334945.1, XP_033334936.1
OG0000077	XP_003393866.1, XP_003393865.1, XP_003393867.1, XP_020723943.1	XP_033322600.1
OG0000078	XP_003400351.1, XP_003400142.1	XP_033326692.1, XP_033331288.1
OG0000079	XP_012172564.1, XP_020722768.1	XP_033324601.1
OG0000080	XP_003396583.1	XP_033328473.1
OG0000081	XP_012168611.1	XP_033342457.1, XP_033342461.1
OG0000082	NP_001295235.1, XP_012176496.1	XP_033341517.1
OG0000083	XP_003394538.1, XP_012176340.1	XP_033323244.1, XP_033323243.1, XP_033323242.1, XP_033323241.1
OG0000084	XP_020723262.1, XP_012174211.1	XP_033332263.1, XP_033333309.1, XP_033337116.1, XP_033339381.1, XP_033337295.1
OG0000085	XP_020720248.1, XP_012166912.1	XP_033334351.1, XP_033334352.1
OG0000087	XP_012169707.1, XP_012169706.1, XP_012169708.1, XP_003399343.1, XP_020720978.1	XP_033342872.1
OG0000089	XP_012168805.1	XP_033334507.1, XP_033334506.1, XP_033334502.1, XP_033334501.1, XP_033334500.1, XP_033334508.1, XP_033334505.1, XP_033334495.1, XP_033334489.1, XP_033334497.1, XP_033334490.1, XP_033334498.1, XP_033334499.1
OG0000090	XP_003394915.1, XP_012163272.1	XP_033338119.1, XP_033338120.1, XP_033338121.1, XP_033338123.1, XP_033338118.1, XP_033338124.1
OG0000091	XP_003395578.1, XP_003395577.1, XP_012164030.1	XP_033323823.1, XP_033323824.1, XP_033323821.1, XP_033323822.1
OG0000092	XP_020723418.1, XP_012174385.1	XP_033332592.1, XP_033342844.1, XP_033337278.1, XP_033328507.1, XP_033333275.1, XP_033329818.1, XP_033332262.1
OG0000093	XP_020721109.1	XP_033342589.1, XP_033342588.1, XP_033342587.1, XP_033342590.1, XP_033342594.1, XP_033342595.1, XP_033342586.1, XP_033342593.1
OG0000094	XP_012174304.1, XP_012174308.2	XP_033341961.1, XP_033341964.1, XP_033341962.1, XP_033341963.1
OG0000095	XP_012165356.1, XP_012165354.1, XP_012165353.1	XP_033340438.1, XP_033340437.1, XP_033340435.1, XP_033340436.1
OG0000096	XP_012176549.1	XP_033327190.1
OG0000097	XP_020722095.1, XP_012171292.1, XP_012171295.1, XP_012171296.1, XP_012171298.1, XP_012171297.1	XP_033339361.1, XP_033339360.1, XP_033339359.1, XP_033339357.1, XP_033339358.1
OG0000098	XP_020720591.1	XP_033339580.1
OG0000099	XP_012175961.1, XP_012175965.1, XP_012175971.1, XP_003392979.1	XP_033340259.1, XP_033340261.1, XP_033340260.1, XP_033340258.1
OG0000100	XP_020723156.1	XP_033323173.1
OG0000101	XP_012170316.1	XP_033326283.1
OG0000102	XP_003397051.1, XP_020719814.1, XP_020719815.1, XP_012166337.1, XP_012166336.1	XP_033333983.1, XP_033333985.1, XP_033333982.1
OG0000103	XP_020721331.1, XP_020721332.1, XP_012169146.1, XP_012169147.1	XP_033334793.1, XP_033334791.1, XP_033334792.1
OG0000104	XP_003398306.1	XP_033325779.1
OG0000104	XP_012168004.1	XP_033325783.1
OG0000104	XP_012168005.1	XP_033325782.1
OG0000105	XP_020721488.1	XP_033330005.1, XP_033330008.1, XP_033330004.1, XP_033330007.1, XP_033330006.1, XP_033330009.1
OG0000106	XP_020724024.1	XP_033335286.1
OG0000110	XP_012171598.1, XP_003400635.1, XP_012171599.1	XP_033336486.1, XP_033336485.1
OG0000113	XP_012170154.1, XP_020723319.1, XP_012170122.1, XP_012170161.1, XP_012170166.1, XP_012170150.1	XP_033324463.1, XP_033324455.1, XP_033324487.1, XP_033324472.1, XP_033324481.1
OG0000114	XP_020722733.1, XP_012172572.1, XP_012172570.1	XP_033324702.1
OG0000115	XP_003402143.1, XP_003402144.1	XP_033338597.1, XP_033338594.1, XP_033338596.1, XP_033338595.1, XP_033338590.1, XP_033338592.1, XP_033338591.1, XP_033338593.1
OG0000116	XP_012171737.1, XP_003400885.1, XP_020722207.1	XP_033335852.1, XP_033335851.1, XP_033335854.1, XP_033335853.1
OG0000117	XP_012172000.1, XP_012171999.1, XP_012171998.1	XP_033320794.1, XP_033320777.1, XP_033320785.1, XP_033320771.1
OG0000118	XP_003394635.1, XP_012176600.1, XP_012176601.1, XP_012176598.1, XP_012176599.1	XP_033341864.1, XP_033341872.1
OG0000119	XP_020723141.1, XP_020723140.1, XP_020723142.1, XP_020723139.1	XP_033333649.1
OG0000120	XP_020720644.1, XP_020720719.1, XP_012168483.1	XP_033337565.1, XP_033337616.1, XP_033337576.1, XP_033337589.1, XP_033337322.1, XP_033337603.1, XP_033337334.1, XP_033337342.1, XP_033337637.1, XP_033337625.1
OG0000121	NP_001274492.1	XP_033329737.1
OG0000122	XP_012167457.1, XP_012167405.1, XP_020719888.1	XP_033340168.1
OG0000124	XP_012165095.1, XP_003396395.1, XP_012165096.1, XP_020719491.1, XP_012165093.1, XP_012165091.1, XP_012165097.1	XP_033335144.1, XP_033335143.1, XP_033335142.1, XP_033335145.1
OG0000125	XP_012170233.1, XP_020721551.1, XP_003393848.1, XP_012175298.1, XP_003399696.2, XP_012170223.1, XP_012170221.2	XP_033322509.1, XP_033338371.1, XP_033338373.1
OG0000126	XP_012169448.1	XP_033332905.1, XP_033332906.1, XP_033332896.1, XP_033332898.1, XP_033332899.1, XP_033332902.1, XP_033332904.1, XP_033332900.1, XP_033332901.1
OG0000127	XP_003402395.2, XP_020722449.1	XP_033325356.1
OG0000127	XP_003401503.2, XP_020722450.1, XP_020722451.1	XP_033340025.1
OG0000128	XP_003395437.1	XP_033337265.1, XP_033337266.1, XP_033337267.1, XP_033337269.1, XP_033337270.1, XP_033337268.1
OG0000129	XP_012168842.2, XP_020720955.1, XP_020720954.1, XP_020720953.1, XP_020720956.1	XP_033324466.1, XP_033324465.1, XP_033324464.1
OG0000130	XP_003396634.1, XP_003396633.1	XP_033331923.1, XP_033331924.1, XP_033331922.1
OG0000131	XP_003398786.1, XP_012168589.1, XP_012168588.1, XP_020721254.1	XP_033342656.1, XP_033342657.1, XP_033342660.1, XP_033342658.1, XP_033342659.1, XP_033342655.1
OG0000132	XP_020718867.1, XP_020718868.1, XP_012164341.1, XP_003402529.2	XP_033328245.1
OG0000133	XP_020720571.1	XP_033335269.1, XP_033339076.1, XP_033339079.1, XP_033339073.1, XP_033339072.1, XP_033339080.1, XP_033322435.1, XP_033339070.1, XP_033322899.1, XP_033325791.1, XP_033336647.1, XP_033339069.1, XP_033330914.1, XP_033331125.1, XP_033325792.1, XP_033332603.1, XP_033326446.1
OG0000134	XP_003402921.2	XP_033333680.1, XP_033333360.1, XP_033339825.1, XP_033333679.1, XP_033333681.1
OG0000135	XP_012169829.1, XP_003399465.1, XP_020721648.1	XP_033335530.1, XP_033335529.1, XP_033335528.1, XP_033335531.1
OG0000136	XP_020721352.1	XP_033329188.1, XP_033324576.1, XP_033335544.1
OG0000137	XP_020724217.1	XP_033323314.1, XP_033322368.1, XP_033335542.1, XP_033323890.1, XP_033338262.1, XP_033326115.1
OG0000139	XP_012176727.1	XP_033326623.1
OG0000140	XP_020723223.1, XP_003402203.1	XP_033332465.1, XP_033332464.1
OG0000141	XP_012175996.1, XP_012175997.1	XP_033322099.1, XP_033322094.1, XP_033322100.1, XP_033322098.1, XP_033322097.1, XP_033322095.1
OG0000142	XP_003399626.2	XP_033330080.1, XP_033330079.1
OG0000143	XP_003396371.1, XP_003396370.1	XP_033340309.1, XP_033340308.1
OG0000144	XP_012164458.1, XP_003393127.1, XP_003393128.1	XP_033328638.1, XP_033328637.1, XP_033328636.1
OG0000146	XP_003394955.1, XP_012163322.1	XP_033335472.1
OG0000147	XP_012166619.1, XP_003397345.2	XP_033329204.1, XP_033329208.1, XP_033329209.1, XP_033329205.1, XP_033329207.1, XP_033329210.1
OG0000148	XP_012167065.1, XP_012167067.1, XP_003397602.1	XP_033334305.1, XP_033334302.1, XP_033334301.1, XP_033334304.1
OG0000149	XP_003395613.1, XP_012164070.1	XP_033332751.1
OG0000150	XP_020719393.1, XP_003396571.1, XP_012165583.1	XP_033340372.1, XP_033340373.1, XP_033340375.1, XP_033340374.1
OG0000151	XP_012166952.1, XP_012166951.1, XP_012166950.1, XP_012166949.1, XP_003397465.1, XP_012166953.1, XP_012166954.1	XP_033340563.1
OG0000152	XP_003393535.1	XP_033323605.1, XP_033323606.1
OG0000153	XP_012168446.1	XP_033326113.1, XP_033326118.1
OG0000154	XP_020723950.1, XP_012169488.1, XP_012175474.1	XP_033328449.1, XP_033329898.1
OG0000155	XP_012165134.1, XP_020719226.1, XP_012165135.1	XP_033339983.1
OG0000156	XP_020722547.1, XP_020722544.1, XP_020722543.1, XP_020722545.1, XP_012175058.1	XP_033338224.1
OG0000157	XP_003396782.1, XP_003402992.1, XP_020723712.1, XP_012165896.1	XP_033340891.1, XP_033340948.1
OG0000158	XP_003401312.1	XP_033324595.1, XP_033324597.1, XP_033324598.1, XP_033324600.1, XP_033324596.1, XP_033324599.1
OG0000159	XP_003398422.1, XP_020720652.1	XP_033341034.1, XP_033341035.1, XP_033341036.1, XP_033341044.1, XP_033341039.1, XP_033341042.1, XP_033341043.1, XP_033341041.1, XP_033341033.1, XP_033341032.1, XP_033341037.1, XP_033341038.1
OG0000160	XP_020720934.1, XP_020720933.1	XP_033334444.1, XP_033334451.1
OG0000160	XP_020720937.1	XP_033334453.1
OG0000161	XP_012170447.1, XP_012170445.1, XP_012170446.1, XP_003399827.1	XP_033338617.1, XP_033338616.1, XP_033338842.1
OG0000162	XP_012165810.1, XP_012165811.1	XP_033340314.1, XP_033340315.1, XP_033340313.1, XP_033340310.1
OG0000163	XP_020720787.1, XP_020720786.1, XP_020720785.1, XP_020720789.1, XP_020720788.1	XP_033325441.1
OG0000164	XP_020721631.1, XP_012170305.1, XP_012170304.1	XP_033331312.1, XP_033331313.1
OG0000165	XP_012171348.1	XP_033333308.1, XP_033333301.1, XP_033333312.1, XP_033333320.1
OG0000166	XP_003396953.1, XP_012165554.1, XP_012165552.1, XP_012165555.1, XP_012165553.1	XP_033328363.1
OG0000167	XP_020720834.1	XP_033341189.1
OG0000168	XP_012164015.1	XP_033323837.1
OG0000168	XP_020718921.1	XP_033323834.1, XP_033323835.1
OG0000169	XP_012167498.1, XP_003397946.1	XP_033332192.1
OG0000170	XP_003396944.1, XP_020719363.1, XP_020719364.1, XP_020719362.1, XP_020719365.1, XP_020719366.1, XP_020719367.1, XP_020719368.1	XP_033323045.1, XP_033322951.1
OG0000171	XP_012168820.1, XP_012168822.1, XP_020720959.1, XP_020720960.1, XP_020720957.1, XP_020720958.1, XP_003398855.1	XP_033334479.1
OG0000172	XP_003395180.1	XP_033338100.1
OG0000172	XP_003395196.1	XP_033338102.1
OG0000172	XP_003400373.1	XP_033330917.1
OG0000173	XP_020718789.1, XP_020718803.1, XP_020718807.1	XP_033341477.1, XP_033341474.1, XP_033341487.1, XP_033341483.1
OG0000174	XP_020718460.1, XP_003395135.1, XP_003395133.1	XP_033329797.1
OG0000175	XP_003399057.1	XP_033342393.1
OG0000176	XP_020723870.1, XP_020724153.1, XP_020724151.1, XP_012175295.2, XP_012176310.1, XP_003394317.1	XP_033321740.1, XP_033321739.1
OG0000177	XP_020724240.1, XP_003394675.1, XP_003394677.1	XP_033321839.1
OG0000178	XP_012163601.1	XP_033335187.1
OG0000178	XP_003395150.1	XP_033326630.1, XP_033335186.1, XP_033335200.1, XP_033335199.1, XP_033335198.1
OG0000179	XP_003400301.1	XP_033323438.1
OG0000180	XP_012175367.1, XP_012175366.1, XP_012175365.1, XP_012175368.1	XP_033325819.1, XP_033325821.1, XP_033325822.1
OG0000181	XP_012172664.1, XP_012172663.1, XP_012172661.1, XP_020722452.1, XP_020722453.1, XP_003401447.1, XP_012172665.1	XP_033322282.1, XP_033322281.1, XP_033322284.1, XP_033322283.1, XP_033322286.1, XP_033322285.1
OG0000182	XP_020720041.1	XP_033321343.1, XP_033321342.1, XP_033321344.1
OG0000183	XP_020719532.1, XP_020719535.1, XP_020719522.1, XP_012164942.1, XP_020719524.1, XP_020719516.1, XP_020719528.1, XP_020719518.1, XP_020719517.1, XP_020719520.1, XP_020719530.1, XP_003403386.2	XP_033328687.1
OG0000184	XP_003398235.1, XP_012167901.1, XP_012167903.1	XP_033325763.1
OG0000185	XP_012165006.1, XP_012165007.1, XP_012165005.1, XP_003396214.1	XP_033320838.1, XP_033320836.1, XP_033320837.1
OG0000186	XP_020723801.1, XP_020723808.1	XP_033337769.1
OG0000187	XP_012176528.1, XP_012176529.1, XP_020724350.1	XP_033329875.1, XP_033329874.1
OG0000188	XP_020722869.1, XP_020722877.1, XP_020722876.1, XP_003393959.1	XP_033321545.1, XP_033321544.1
OG0000189	XP_003393809.1, XP_012173633.1, XP_012173634.1	XP_033334134.1
OG0000190	XP_020722929.1	XP_033337368.1, XP_033337377.1, XP_033337357.1
OG0000191	XP_003394509.1	XP_033322576.1
OG0000192	XP_003394690.1	XP_033322054.1, XP_033322055.1
OG0000193	XP_003396374.1, XP_012165376.1, XP_012165373.1, XP_012165379.1, XP_012165378.1	XP_033340517.1, XP_033340518.1
OG0000194	XP_012168595.1, XP_012168596.1, XP_012168597.1, XP_012168598.1, XP_020720998.1	XP_033342648.1, XP_033342647.1, XP_033342649.1, XP_033342645.1, XP_033342644.1
OG0000195	XP_020718760.1, XP_020718759.1, XP_003395333.1	XP_033321430.1, XP_033321431.1, XP_033321429.1
OG0000197	XP_012169560.1	XP_033331112.1, XP_033339815.1, XP_033323538.1, XP_033323537.1, XP_033323540.1
OG0000197	XP_020718269.1	XP_033339896.1
OG0000200	XP_003393298.1	XP_033326152.1, XP_033326153.1, XP_033326154.1, XP_033326155.1, XP_033326156.1, XP_033326151.1
OG0000201	XP_003397959.1, XP_012167677.1, XP_003397960.1	XP_033339218.1
OG0000202	XP_012169335.1, XP_012169334.1	XP_033342968.1, XP_033342969.1, XP_033342966.1, XP_033342965.1, XP_033342964.1
OG0000203	XP_003400456.1, XP_012171242.1	XP_033336084.1
OG0000204	XP_003394706.1, XP_003394705.1	XP_033322184.1, XP_033322183.1, XP_033322176.1, XP_033322177.1
OG0000205	XP_012164463.1	XP_033333094.1
OG0000206	XP_020723622.1, XP_012174635.1, XP_012174638.1, XP_012174636.1, XP_003402881.1	XP_033321632.1, XP_033321633.1
OG0000207	XP_012166636.1	XP_033329549.1, XP_033329550.1, XP_033329551.1, XP_033329552.1
OG0000208	XP_012175169.1, XP_012175168.1, XP_020723824.1	XP_033330350.1, XP_033330348.1, XP_033330352.1, XP_033330353.1, XP_033330349.1, XP_033330351.1
OG0000209	XP_012167357.1	XP_033321121.1, XP_033321122.1
OG0000211	XP_003403180.1, XP_012175194.1, XP_012175192.1, XP_012175195.1	XP_033330324.1, XP_033330323.1
OG0000212	XP_012168652.1	XP_033342456.1, XP_033342455.1, XP_033342453.1
OG0000213	XP_012175785.1, XP_012175778.1, XP_012175770.1, XP_012175792.1, XP_003393170.1	XP_033322907.1, XP_033322909.1, XP_033322906.1, XP_033322908.1
OG0000214	XP_003392935.1	XP_033325212.1, XP_033325213.1
OG0000215	XP_020723607.1, XP_020723610.1, XP_012174547.1, XP_020723608.1, XP_020723611.1, XP_020723609.1	XP_033323142.1
OG0000216	XP_020719016.1	XP_033323741.1, XP_033323739.1, XP_033323740.1
OG0000217	XP_020721002.1, XP_003394739.1, XP_012176683.1, XP_020718362.1, XP_020718364.1, XP_020718363.1, XP_012176685.1, XP_012176686.1, XP_012176691.1, XP_012176689.1, XP_012176690.1, XP_012176687.1, XP_012176688.1, XP_020718365.1, XP_003394740.1	XP_033321019.1, XP_033321020.1
OG0000218	XP_003401025.1	XP_033324848.1
OG0000218	XP_012172166.1	XP_033324846.1
OG0000219	XP_012173564.1	XP_033324531.1, XP_033324539.1, XP_033324524.1, XP_033324510.1, XP_033324519.1
