Orthogroup	Bombus_terrestris	Ceratina_calcarata
OG0000010	XP_003401176.1	XP_026674182.1
OG0000010	XP_020722486.1, XP_020722598.1, XP_003401178.1, XP_020722589.1, XP_003403234.2, XP_003403422.1, XP_003401115.1, XP_020722487.1, XP_003401116.2, XP_020722597.1, XP_003403027.1	XP_017889350.1, XP_026674208.1, XP_026674209.1, XP_017889349.2
OG0000011	XP_012170379.1, XP_012170380.1, XP_020721435.1, XP_003399794.1, XP_020721436.1, XP_012170385.1, XP_012170387.1, XP_012170386.1	XP_026672740.1, XP_026672741.1, XP_026672742.1
OG0000012	XP_012170544.1, XP_012170543.1, XP_012170542.1, XP_012170541.1, XP_012170540.1, XP_012170539.1, XP_020721690.1, XP_012170538.1	XP_017877808.2
OG0000013	XP_020723772.1, XP_012175517.1, XP_012175540.2	XP_017891439.1
OG0000014	XP_012166136.1	XP_017887602.1, XP_017888171.1
OG0000014	XP_003392970.1	XP_017887569.1
OG0000016	XP_020720493.1	XP_017883869.1, XP_026671237.1
OG0000017	XP_012175550.1	XP_017892537.1, XP_017881017.1, XP_026673239.1
OG0000017	XP_012165320.1	XP_017887547.1
OG0000018	XP_003398707.1, XP_003398706.1	XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1, XP_017877144.1
OG0000019	XP_012164839.1	XP_026668667.1, XP_026668668.1, XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_017878669.1
OG0000020	XP_020720720.1, XP_003401565.2	XP_026674945.1, XP_017881630.1, XP_017891472.2, XP_017879450.1, XP_026669011.1
OG0000021	XP_012175449.1, XP_020723728.1, XP_012171988.1, XP_020723723.1	XP_017887382.1
OG0000021	XP_012167645.1, XP_012174214.1	XP_017889188.1, XP_017881150.1
OG0000022	XP_012173075.1, XP_012173068.1, XP_012173069.1, XP_012173070.1, XP_012173071.1, XP_012173067.1	XP_026667393.1, XP_026667391.1, XP_026667392.1, XP_017876039.1, XP_026667394.1
OG0000023	XP_012175515.1, XP_020722898.1	XP_026671442.1
OG0000025	XP_020723218.1, XP_003402194.1, XP_012173626.1, XP_020723220.1, XP_020723219.1, XP_012173627.1	XP_026674597.1, XP_026674600.1, XP_026674596.1, XP_017890658.1, XP_026674598.1
OG0000026	XP_003398369.1, XP_012168085.1, XP_012168086.1, XP_012168083.1, XP_012168084.1	XP_017882104.1, XP_017882103.1, XP_017882102.1, XP_026670298.1, XP_017882105.1
OG0000027	XP_003398638.1, XP_012168485.1, XP_012168486.1, XP_012168487.1, XP_012168488.1, XP_012168489.1, XP_012168490.1, XP_012168484.1	XP_026673236.1, XP_026673235.1, XP_017887874.1
OG0000028	XP_012174599.1, XP_012174600.1, XP_012174604.1, XP_012174601.1, XP_012174602.1, XP_003402871.1	XP_026667338.1, XP_026667337.1, XP_017875902.1, XP_026667339.1, XP_017875900.1
OG0000029	XP_012167211.1, XP_012167212.1, XP_012167209.1, XP_012167210.1, XP_003397633.1, XP_012167208.1	XP_026671916.1, XP_017885077.1, XP_017885082.1, XP_017885085.1, XP_017885083.1, XP_017885081.1, XP_017885084.1
OG0000030	XP_020718526.1, XP_020718527.1	XP_026668859.1, XP_026672362.1, XP_026668863.1
OG0000030	XP_020718522.1, XP_020718528.1, XP_020718524.1, XP_020718520.1, XP_020718521.1, XP_020718529.1	XP_026668857.1
OG0000031	XP_020721716.1	XP_017888818.1, XP_017888829.1, XP_017888809.1, XP_017888800.1
OG0000032	XP_012166697.1, XP_012166700.1, XP_003397323.1, XP_003397322.1, XP_003397324.1	XP_017879467.1, XP_026669096.1, XP_026669111.1, XP_017879474.1, XP_026669105.1
OG0000033	XP_003400937.1, XP_020721993.1, XP_012171929.1, XP_012171930.1	XP_017893183.1, XP_017893184.1, XP_017893185.1
OG0000034	XP_012164119.1, XP_012164121.1, XP_012164120.1	XP_017875842.1, XP_017875843.1, XP_026667285.1
OG0000034	XP_020721202.1	XP_017877070.1, XP_017877071.1, XP_017877072.1
OG0000035	XP_012172815.1, XP_012172814.1, XP_012172816.1, XP_012172817.1	XP_017889483.1, XP_026674100.1, XP_026674098.1, XP_026674099.1
OG0000036	XP_012169872.1, XP_012169873.1, XP_012169871.1, XP_003399621.1	XP_017888470.1, XP_017888471.1, XP_017888469.1, XP_017888468.1, XP_017888467.1
OG0000037	XP_003396400.1	XP_026673086.1, XP_026673087.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_017887763.1
OG0000038	XP_003399689.1, XP_012170206.1	XP_026670731.1, XP_026670734.1, XP_026670732.1, XP_017882779.1, XP_017882777.1
OG0000038	XP_012173498.1, XP_020723033.1	XP_017879834.1, XP_026669182.1
OG0000039	XP_003399165.1, XP_003399166.1, XP_012169436.1, XP_012169438.1, XP_012169439.1, XP_012169441.1	XP_017880312.1, XP_017880311.1, XP_017880320.1, XP_017880319.1, XP_017880316.1, XP_017880314.1, XP_017880318.1, XP_017880317.1, XP_017880310.1
OG0000040	XP_012167037.1, XP_012167036.1, XP_012167034.1, XP_012167030.1, XP_012167031.1, XP_012167033.1	XP_017877461.1
OG0000041	XP_020723306.1	XP_017882798.1, XP_017881850.1
OG0000041	XP_012175480.1	XP_017880265.1, XP_017879099.1, XP_017885294.1, XP_017884160.1, XP_017890633.1
OG0000042	XP_020720341.1	XP_026672944.1
OG0000042	XP_020720348.1, XP_020720337.1	XP_017887190.1, XP_026672950.1, XP_017887196.1, XP_017887198.1, XP_017887192.1
OG0000043	XP_003393409.1	XP_026667059.1
OG0000044	XP_012172566.2	XP_017886339.1, XP_017886341.1, XP_017886340.1
OG0000045	XP_012175534.1, XP_012172861.2, XP_012171986.1, XP_012174538.1, XP_012176290.1	XP_017893334.1, XP_017881156.1
OG0000046	XP_003393999.1, XP_003393907.1, XP_020722356.1, XP_020723889.1, XP_012175705.1, XP_003394000.1, XP_012175707.1, XP_003393910.1	XP_026668788.1, XP_026668778.1
OG0000047	XP_003396338.1	XP_017892302.1
OG0000047	XP_003392968.1	XP_017887616.1, XP_017881012.1
OG0000049	XP_020719074.1, XP_003393329.1, XP_020719067.1, XP_020722566.1	XP_026667851.1
OG0000049	XP_012166351.1	XP_017875573.2
OG0000050	XP_003403152.1, XP_020723773.1, XP_003403151.1, XP_012175160.1, XP_012175161.1, XP_012175162.1	XP_017890818.1
OG0000051	XP_003394733.1, XP_020721699.1, XP_020723568.1, XP_020723847.1, XP_003403375.2, XP_020723961.1, XP_003403427.2, XP_012175487.2, XP_012175505.2, XP_012175211.1, XP_012175212.1, XP_012174533.1, XP_012173842.1, XP_003402269.1, XP_012175213.2, XP_003402802.1, XP_020723849.1, XP_012174003.2, XP_020723970.1, XP_012175509.2, XP_020723511.1, XP_020723935.1, XP_020723892.1	XP_017886873.1
OG0000052	XP_003402888.1	XP_026667172.1, XP_026667174.1, XP_026667177.1, XP_026667173.1, XP_026667176.1, XP_026667175.1
OG0000053	XP_012174271.2	XP_026670119.1, XP_017884091.1, XP_026673538.1, XP_026674938.1, XP_026669100.1, XP_017885362.1, XP_026675632.1, XP_026675047.1, XP_026673602.1, XP_026673855.1, XP_017889116.2, XP_026668993.1
OG0000053	XP_020723867.1, XP_012175325.1, XP_020723893.1	XP_026672068.1, XP_026671363.1, XP_017885415.1, XP_017876325.2, XP_017889231.1, XP_017885815.1, XP_017885814.1, XP_026672067.1, XP_017891649.2, XP_026672436.1, XP_026672437.1, XP_026673854.1, XP_026671359.1, XP_017890614.1, XP_017888729.1
OG0000054	XP_003402889.2	XP_017875567.1, XP_026667182.1, XP_026674457.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1
OG0000055	XP_003397755.1, XP_020720316.1, XP_020720318.1, XP_012167100.1, XP_012167097.1, XP_012167099.1, XP_012167098.1	XP_026672109.1, XP_026672110.1, XP_017885442.1, XP_017885441.1
OG0000056	XP_012171554.1, XP_012171555.1, XP_003400605.1, XP_012171557.1, XP_012171558.1, XP_003400606.1	XP_017884500.1, XP_017884505.1, XP_017884508.1, XP_017884509.1, XP_026671517.1, XP_017884504.1, XP_017884503.1, XP_017884502.1, XP_017884501.1
OG0000058	XP_020722344.1	XP_026668781.1, XP_026668773.1
OG0000059	XP_012175524.1	XP_017875203.1, XP_017887641.1
OG0000059	XP_003393114.1	XP_017888173.1
OG0000060	XP_003395309.1	XP_017883584.1, XP_017883585.1, XP_017883586.1, XP_026671031.1
OG0000061	XP_020723958.1	XP_017888656.1
OG0000061	XP_012175533.1	XP_026668995.1
OG0000061	XP_012174897.1	XP_017889192.1
OG0000063	XP_012172397.1	XP_017889422.1
OG0000063	XP_003401252.1	XP_017889438.1
OG0000064	XP_003401157.1	XP_017886375.1
OG0000064	XP_003396169.1	XP_017875625.1
OG0000064	XP_003399700.1	XP_017877449.1
OG0000065	XP_003399390.1, XP_012169772.1, XP_012169774.1, XP_012169773.1	XP_026673014.1, XP_017887445.1, XP_017887444.1, XP_017887447.1
OG0000066	XP_012176180.1, XP_012176179.1, XP_012176178.1, XP_012176177.1, XP_003394336.1, XP_003394335.1, XP_020724195.1, XP_020724193.1, XP_020724194.1, XP_012176181.1	XP_017882452.1, XP_017882451.1, XP_026670567.1, XP_017882453.1, XP_026670566.1
OG0000067	XP_020719485.1, XP_020719487.1, XP_020719486.1, XP_003396344.1, XP_012165070.1, XP_012165068.1	XP_026667524.1, XP_026667523.1, XP_017876340.1, XP_026667525.1
OG0000068	XP_003393920.1, XP_003394006.1, XP_003403429.1, XP_003393921.1	XP_017878913.1, XP_026670968.1, XP_017878912.1, XP_017878910.1, XP_017878909.1
OG0000069	XP_003400832.1, XP_012171883.1, XP_012171882.1	XP_026671618.1, XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1
OG0000070	XP_003393731.1	XP_026666470.1, XP_026666469.1, XP_026666468.1, XP_026666467.1, XP_026666466.1, XP_017892919.1
OG0000071	XP_003398039.1	XP_017887828.1, XP_026673221.1, XP_026673223.1, XP_017887829.1, XP_026673222.1
OG0000072	XP_003394637.1	XP_017877526.1, XP_017877521.1
OG0000073	XP_020721682.1, XP_012170498.1, XP_012170499.1, XP_003399855.1, XP_012170500.1, XP_012170501.1	XP_017884134.1, XP_026671383.1, XP_017884143.1, XP_017884145.1, XP_026671385.1, XP_026671384.1, XP_017884138.1, XP_017884135.1, XP_017884141.1, XP_017884140.1
OG0000074	XP_003393379.1	XP_026672903.1
OG0000074	XP_020723850.1	XP_017882162.1, XP_017882161.1, XP_017882209.1, XP_017882285.1, XP_017888595.2
OG0000076	XP_012167610.1, XP_003397903.1, XP_012167613.1, XP_012167612.1, XP_012167611.1, XP_020720164.1, XP_020720163.1, XP_020720166.1, XP_020720165.1, XP_003397904.1, XP_020720167.1, XP_003397905.1	XP_026670219.1, XP_017881657.1
OG0000077	XP_003393866.1, XP_003393865.1, XP_003393867.1, XP_020723943.1	XP_017889240.1, XP_017879879.1, XP_026673871.1, XP_017879865.1, XP_017889238.1, XP_017884325.1, XP_017893576.1, XP_017889237.1, XP_017880985.2, XP_017884322.1, XP_017884320.1, XP_017884321.1, XP_017891413.1, XP_017890095.1, XP_017885068.1, XP_017877687.1, XP_017877675.1
OG0000078	XP_003400351.1, XP_003400142.1	XP_017887324.1, XP_017880981.1
OG0000079	XP_012172564.1, XP_020722768.1	XP_017886387.1, XP_017886390.1, XP_017886392.1
OG0000080	XP_003396583.1	XP_026672341.1
OG0000081	XP_012168611.1	XP_017892895.1
OG0000082	NP_001295235.1, XP_012176496.1	XP_017888224.1, XP_017888223.1
OG0000083	XP_003394538.1, XP_012176340.1	XP_026669617.1, XP_026669618.1, XP_017880690.1, XP_017880691.1, XP_026669616.1
OG0000084	XP_012174846.1, XP_012174697.1, XP_012174259.1, XP_012171989.1	XP_026673534.1, XP_017890567.1, XP_017892844.1, XP_017875216.1, XP_017881849.1, XP_017877435.1, XP_017889234.1
OG0000085	XP_020720248.1, XP_012166912.1	XP_026675280.1
OG0000086	XP_012172081.1	XP_017886426.1, XP_026672553.1, XP_017886424.1, XP_026672552.1, XP_017886423.1, XP_026672551.1, XP_017886421.1, XP_017886427.1
OG0000087	XP_012169707.1, XP_012169706.1, XP_012169708.1, XP_003399343.1, XP_020720978.1	XP_017878634.1
OG0000088	XP_012175364.1, XP_012175388.1, XP_012175400.2	XP_017884326.1, XP_026671462.1, XP_026671456.1, XP_026671458.1, XP_026671477.1
OG0000089	XP_012168805.1	XP_026666464.1
OG0000090	XP_003394915.1, XP_012163272.1	XP_026672044.1, XP_026672042.1, XP_026672041.1, XP_026672043.1
OG0000091	XP_003395578.1, XP_003395577.1, XP_012164030.1	XP_017877858.1, XP_017877859.1, XP_026668295.1, XP_017877857.1
OG0000093	XP_020721109.1	XP_017876372.1
OG0000094	XP_012174304.1, XP_012174308.2	XP_017879294.1
OG0000095	XP_012165356.1, XP_012165354.1, XP_012165353.1	XP_026673145.1
OG0000096	XP_012176549.1	XP_017886082.1
OG0000097	XP_020722095.1, XP_012171292.1, XP_012171295.1, XP_012171296.1, XP_012171298.1, XP_012171297.1	XP_017892085.1, XP_017892086.1, XP_017892083.1, XP_017892084.1, XP_026675169.1
OG0000098	XP_020720591.1	XP_017882238.1
OG0000099	XP_012175961.1, XP_012175965.1, XP_012175971.1, XP_003392979.1	XP_017889155.1, XP_026673796.1
OG0000100	XP_012174699.1	XP_017880858.1
OG0000100	XP_020723156.1	XP_017889191.1
OG0000101	XP_012170316.1	XP_017886991.1
OG0000102	XP_003397051.1, XP_020719814.1, XP_020719815.1, XP_012166337.1, XP_012166336.1	XP_026667505.1, XP_026667481.1, XP_017889865.1, XP_017889782.1
OG0000103	XP_020721331.1, XP_020721332.1, XP_012169146.1, XP_012169147.1	XP_017877636.1, XP_017877637.1
OG0000104	XP_003398306.1	XP_017883820.1
OG0000104	XP_012168004.1	XP_017883824.1
OG0000104	XP_012168005.1	XP_026671257.1, XP_026671258.1, XP_017883828.1
OG0000105	XP_020721488.1	XP_026667948.1
OG0000106	XP_020724024.1	XP_017875115.1
OG0000106	XP_020723503.1, XP_020723505.1, XP_020723502.1, XP_020723508.1, XP_020723509.1, XP_020723510.1, XP_020723504.1, XP_020723507.1, XP_020723506.1	XP_026673061.1, XP_017889204.1
OG0000108	XP_012168065.1, XP_003398352.1, XP_020720538.1, XP_012168063.1	XP_026670402.1, XP_026670401.1, XP_026670400.1, XP_026670404.1, XP_026670403.1
OG0000110	XP_012171597.1, XP_020722326.1, XP_003400632.1	XP_017892171.1
OG0000110	XP_012171598.1, XP_003400635.1, XP_012171599.1	XP_017892165.1
OG0000112	XP_012175715.1, XP_012175716.1, XP_012175714.1, XP_020722961.1, XP_012175713.1, XP_012175608.1, XP_012175717.1	XP_026669569.1, XP_026672267.1
OG0000112	XP_012175609.1	XP_017880491.1, XP_026669563.1, XP_026669568.1
OG0000113	XP_012170154.1, XP_020723319.1, XP_012170122.1, XP_012170161.1, XP_012170166.1, XP_012170150.1	XP_017892665.1, XP_026675553.1, XP_026675554.1, XP_026675552.1, XP_026675550.1, XP_026675551.1
OG0000114	XP_020722733.1, XP_012172572.1, XP_012172570.1	XP_017886343.1, XP_017886344.1, XP_017886345.1, XP_026672489.1, XP_026672487.1, XP_026672490.1, XP_017886342.1
OG0000115	XP_003402143.1, XP_003402144.1	XP_017886767.1, XP_017886766.1
OG0000116	XP_012171737.1, XP_003400885.1, XP_020722207.1	XP_017884703.1, XP_017884704.1, XP_017884702.1, XP_026671694.1, XP_017884701.1
OG0000117	XP_012172000.1, XP_012171999.1, XP_012171998.1	XP_017882899.1, XP_017882898.1, XP_017882897.1, XP_026670787.1
OG0000118	XP_003394635.1, XP_012176600.1, XP_012176601.1, XP_012176598.1, XP_012176599.1	XP_026668129.1, XP_017877527.1, XP_017877528.1, XP_026668130.1
OG0000119	XP_020723141.1, XP_020723140.1, XP_020723142.1, XP_020723139.1	XP_017878262.1
OG0000121	NP_001274492.1	XP_026673616.1, XP_026673617.1, XP_017888701.1, XP_017888699.1, XP_026673621.1, XP_026673620.1, XP_026673619.1, XP_026673618.1
OG0000122	XP_003392873.1	XP_017882976.1
OG0000124	XP_012165095.1, XP_003396395.1, XP_012165096.1, XP_020719491.1, XP_012165093.1, XP_012165091.1, XP_012165097.1	XP_017882800.1
OG0000125	XP_012170233.1, XP_020721551.1, XP_003393848.1, XP_012175298.1, XP_003399696.2, XP_012170223.1, XP_012170221.2	NP_001352268.1, XP_026670615.1, XP_017883314.2, XP_017882560.1
OG0000126	XP_012169448.1	XP_017880325.2
OG0000127	XP_003402395.2, XP_020722449.1	XP_026674951.1, XP_017891474.1, XP_026674959.1
OG0000127	XP_003401503.2	XP_026674960.1
OG0000128	XP_003395437.1	XP_017891768.1
OG0000129	XP_012168842.2, XP_020720955.1, XP_020720954.1, XP_020720953.1, XP_020720956.1	XP_026669826.1
OG0000130	XP_003396634.1, XP_003396633.1	XP_017881384.1, XP_017881383.1, XP_017881382.1, XP_017881381.1
OG0000131	XP_003398786.1, XP_012168589.1, XP_012168588.1, XP_020721254.1	XP_017878542.1
OG0000132	XP_020718867.1, XP_020718868.1, XP_012164341.1, XP_003402529.2	XP_017883758.1, XP_026671172.1, XP_026671174.1, XP_026671173.1, XP_017883759.1
OG0000133	XP_020720571.1	XP_017886546.1, XP_026666824.1, XP_017892307.1, XP_017893308.1, XP_026672447.1, XP_026673906.1, XP_026674185.1, XP_017892139.2
OG0000134	XP_003402921.2	XP_017875026.1
OG0000135	XP_012169829.1, XP_003399465.1, XP_020721648.1	XP_026671116.1, XP_017883719.1, XP_026671117.1
OG0000136	XP_020721352.1	XP_026672920.1
OG0000138	XP_012173522.1	XP_026671369.1, XP_017879512.1, XP_026671918.1, XP_026667100.1, XP_026674362.1, XP_026669807.1
OG0000139	XP_012176727.1	XP_026666767.1, XP_017893376.1
OG0000140	XP_020723223.1, XP_003402203.1	XP_026674589.1, XP_017890677.1
OG0000141	XP_012175996.1, XP_012175997.1	XP_017880688.1, XP_017880687.1, XP_017880686.1
OG0000143	XP_003396371.1	XP_017887622.1, XP_026673152.1
OG0000144	XP_012164458.1, XP_003393127.1, XP_003393128.1	XP_017890258.1
OG0000145	XP_003394949.1	XP_017885680.1
OG0000146	XP_003394955.1	XP_026670142.1, XP_026670143.1, XP_017881716.1
OG0000147	XP_012166619.1, XP_003397345.2	XP_026672117.1, XP_017885549.1
OG0000148	XP_012167065.1, XP_012167067.1, XP_003397602.1	XP_026670174.1, XP_026670184.1, XP_026670178.1, XP_017881549.1
OG0000149	XP_003395613.1, XP_012164070.1	XP_017877822.1, XP_017877823.1, XP_026668289.1, XP_017877820.1, XP_017877821.1
OG0000150	XP_020719393.1, XP_003396571.1, XP_012165583.1	XP_017885915.1
OG0000151	XP_012166952.1, XP_012166951.1, XP_012166950.1, XP_012166949.1, XP_003397465.1, XP_012166953.1, XP_012166954.1	XP_026674879.1, XP_026674878.1, XP_017891285.1
OG0000152	XP_003393535.1	XP_017888048.1, XP_017877450.1, XP_017888163.1, XP_017889733.1
OG0000153	XP_012168446.1	XP_017884046.1
OG0000155	XP_012165134.1, XP_020719226.1, XP_012165135.1	XP_017875092.1, XP_017875091.1, XP_026666936.1, XP_026666937.1
OG0000156	XP_020722547.1, XP_020722544.1, XP_020722543.1, XP_020722545.1, XP_012175058.1	XP_026675129.1, XP_017891686.1, XP_017891695.1
OG0000157	XP_003396782.1, XP_003402992.1, XP_020723712.1, XP_012165896.1	XP_017892253.1
OG0000158	XP_003401312.1	XP_017891545.1
OG0000159	XP_003398422.1, XP_020720652.1	XP_017876697.1
OG0000160	XP_020720934.1, XP_020720933.1	XP_026669836.1, XP_026669837.1
OG0000160	XP_020720937.1	XP_026669845.1
OG0000161	XP_012170447.1, XP_012170445.1, XP_012170446.1, XP_003399827.1	XP_017886702.1
OG0000162	XP_012165810.1, XP_012165811.1	XP_017887986.1, XP_017887985.1, XP_026673272.1, XP_017887983.1
OG0000163	XP_020720787.1, XP_020720786.1, XP_020720785.1, XP_020720789.1, XP_020720788.1	XP_026670456.1, XP_017882110.1, XP_017882109.1
OG0000164	XP_020721631.1, XP_012170305.1, XP_012170304.1	XP_017875333.1, XP_026667075.1, XP_026667076.1, XP_026667074.1, XP_017875332.1, XP_017875336.1, XP_017875334.1, XP_026667073.1
OG0000165	XP_012171348.1	XP_017885731.1
OG0000166	XP_003396953.1, XP_012165554.1, XP_012165552.1, XP_012165555.1, XP_012165553.1	XP_017885198.1, XP_017885199.1
OG0000167	XP_020720834.1	XP_026670076.1, XP_026670075.1, XP_017881592.1
OG0000168	XP_020718921.1	XP_026670843.1, XP_026670846.1, XP_017883071.2
OG0000169	XP_012167498.1, XP_003397946.1	XP_017876202.1
OG0000170	XP_003396944.1, XP_020719363.1, XP_020719364.1, XP_020719362.1, XP_020719365.1, XP_020719366.1, XP_020719367.1, XP_020719368.1	XP_017885221.1
OG0000172	XP_003395180.1	XP_017893620.1
OG0000172	XP_003395196.1	XP_017893593.1
OG0000173	XP_020718789.1, XP_020718803.1, XP_020718807.1	XP_026669498.1, XP_026669481.1, XP_026669413.1
OG0000174	XP_020718460.1, XP_003395135.1, XP_003395133.1	XP_026673608.1, XP_017888695.1, XP_017888696.1, XP_017888680.1, XP_017888716.1
OG0000175	XP_003399057.1	XP_017890461.1
OG0000176	XP_020723870.1, XP_020724153.1, XP_020724151.1, XP_012175295.2, XP_012176310.1, XP_003394317.1	XP_017880967.1
OG0000178	XP_012163601.1	XP_017881697.1
OG0000178	XP_003395150.1	XP_017875129.1, XP_026672588.1, XP_017887778.1, XP_017887780.1, XP_017885409.1
OG0000179	XP_003400301.1	XP_017877534.1, XP_026668146.1
OG0000180	XP_012175367.1, XP_012175366.1, XP_012175365.1, XP_012175368.1	XP_026674969.1, XP_026674968.1, XP_017891628.1
OG0000181	XP_012172664.1, XP_012172663.1, XP_012172661.1, XP_020722452.1, XP_020722453.1, XP_003401447.1, XP_012172665.1	XP_026672518.1
OG0000182	XP_020720041.1	XP_017880418.1, XP_017880419.1
OG0000183	XP_020719532.1, XP_020719535.1, XP_020719522.1, XP_012164942.1, XP_020719524.1, XP_020719516.1, XP_020719528.1, XP_020719518.1, XP_020719517.1, XP_020719520.1, XP_020719530.1, XP_003403386.2	XP_017882623.1
OG0000184	XP_003398235.1, XP_012167901.1, XP_012167903.1	XP_017876664.1, XP_017876665.1, XP_017876663.1
OG0000185	XP_012165006.1, XP_012165007.1, XP_012165005.1, XP_003396214.1	XP_017879769.1
OG0000187	XP_012176528.1, XP_012176529.1, XP_020724350.1	XP_026670559.1, XP_026670560.1, XP_026670558.1, XP_017882423.1
OG0000188	XP_020722869.1, XP_020722877.1, XP_020722876.1, XP_003393959.1	XP_017884176.1
OG0000189	XP_003393809.1, XP_012173633.1, XP_012173634.1	XP_017878226.1, XP_017878228.1, XP_017878227.1
OG0000190	XP_020722929.1	XP_017884018.1, XP_017884019.1, XP_017884017.1
OG0000191	XP_003394509.1	XP_017880232.1
OG0000192	XP_003394690.1	XP_017880933.1, XP_017880930.1, XP_017880932.1, XP_017880934.1, XP_017880931.1
OG0000193	XP_003396374.1, XP_012165376.1, XP_012165373.1, XP_012165379.1, XP_012165378.1	XP_017887620.1
OG0000194	XP_012168595.1, XP_012168596.1, XP_012168597.1, XP_012168598.1, XP_020720998.1	XP_017878656.1, XP_026668642.1, XP_017878658.1
OG0000195	XP_020718760.1, XP_020718759.1, XP_003395333.1	XP_017883056.1, XP_017883055.1, XP_017883054.1
OG0000196	XP_003402154.1, XP_012174009.1, XP_012164720.1, XP_012166717.1	XP_017890620.1
OG0000197	XP_012169560.1	XP_026674136.1
OG0000197	XP_020718269.1, XP_020721322.1	XP_026675479.1
OG0000200	XP_003393298.1	XP_026667451.1, XP_017876164.1
OG0000201	XP_003397959.1, XP_012167677.1, XP_003397960.1	XP_017881852.1, XP_026669889.1, XP_026669892.1
OG0000202	XP_012169335.1, XP_012169334.1	XP_017878411.1, XP_017878410.1
OG0000203	XP_003400456.1, XP_012171242.1	XP_017884937.1
OG0000204	XP_003394706.1, XP_003394705.1	XP_017887339.1
OG0000205	XP_012164463.1	XP_026670898.1
OG0000206	XP_020723622.1, XP_012174635.1, XP_012174638.1, XP_012174636.1, XP_003402881.1	XP_017886453.1
OG0000207	XP_012166636.1	XP_017885543.1, XP_017885544.1
OG0000208	XP_012175169.1, XP_012175168.1, XP_020723824.1	XP_017877130.1, XP_026667913.1
OG0000209	XP_012167357.1	XP_017876246.1, XP_017876245.1, XP_017876248.1, XP_017876247.1, XP_017876249.1, XP_026667477.1
OG0000211	XP_003403180.1, XP_012175194.1, XP_012175192.1, XP_012175195.1	XP_017876182.1, XP_026667463.1, XP_026667461.1, XP_026667462.1
OG0000212	XP_012168652.1	XP_017879981.1, XP_017879980.1
