Orthogroup	Apis_mellifera	Dufourea_novaeangliae
OG0000074	XP_026300962.1	XP_015438918.1
OG0000076	XP_006567638.1, XP_006567639.1, XP_006567636.1, XP_001119871.2	XP_015436046.1
OG0000077	XP_001119981.4	XP_015434988.1, XP_015434960.1, XP_015434985.1, XP_015434990.1
OG0000078	XP_006565095.2, XP_001120578.2	XP_015438151.1, XP_015435224.1, XP_015439947.1
OG0000079	XP_016772297.1, XP_006558308.1, XP_006558307.1, XP_006558309.1, XP_006558304.1, XP_006558306.1, XP_006558305.1, XP_016772296.1, XP_026301099.1, XP_026301100.1, XP_026301101.1	XP_015434849.1
OG0000080	XP_006569489.2	XP_015436437.1
OG0000081	XP_006570477.1	XP_015437277.1
OG0000082	XP_006571385.1	XP_015435281.1, XP_015435282.1
OG0000083	XP_016766914.1	XP_015435790.1
OG0000085	XP_006561782.1, XP_003249920.2	XP_015436209.1
OG0000086	XP_016772166.1, XP_026301176.1, XP_026301177.1, XP_003250293.1	XP_015439325.1
OG0000087	XP_006566517.1, XP_016770257.1, XP_016770258.1, XP_026299433.1	XP_015438869.1
OG0000088	XP_016766234.2, XP_016766233.2, XP_016766231.2, XP_016766244.2, XP_006569170.3, XP_006569176.3	XP_015435053.1
OG0000089	XP_016770807.2, XP_016770806.2, XP_016770795.1, XP_016770796.1, XP_026299638.1	XP_015436630.1, XP_015435537.1
OG0000090	XP_026295887.1, XP_395146.3	XP_015430865.1
OG0000091	XP_026296707.1	XP_015440081.1
OG0000093	XP_006566536.1, XP_016770813.1	XP_015428411.1
OG0000094	XP_006568900.1, XP_397517.2, XP_006568901.1, XP_006568902.1, XP_006568903.1	XP_015431880.1
OG0000095	XP_006570088.2, XP_394997.3, XP_016770157.2, XP_006570087.2, XP_016770156.2, XP_026300785.1	XP_015438184.1
OG0000096	XP_016766748.2, XP_026295428.1	XP_015434227.1
OG0000097	XP_026300806.1, XP_026300805.1	XP_015431198.1, XP_015431199.1
OG0000098	XP_392582.1	XP_015438475.1
OG0000099	XP_394152.2	XP_015430255.1, XP_015430247.1
OG0000101	XP_026296772.1, XP_001121869.2	XP_015432218.1
OG0000102	XP_016768929.1, XP_016768928.1, XP_016768927.1, XP_003249519.2, XP_006559656.1, XP_006559657.1, XP_006559659.1	XP_015429601.1
OG0000103	XP_006564458.1, XP_006564456.1, XP_006564457.1, XP_006564454.1, XP_006564455.1	XP_015435506.1, XP_015435505.1
OG0000104	XP_026299163.1	XP_015439591.1
OG0000104	XP_006566079.2	XP_015439594.1
OG0000105	XP_006567039.1	XP_015432223.1
OG0000107	XP_026296204.1	XP_015440415.1, XP_015437898.1, XP_015436740.1, XP_015437082.1, XP_015437619.1, XP_015431669.1, XP_015435721.1, XP_015430244.1, XP_015433563.1, XP_015436701.1
OG0000108	XP_026298976.1, XP_026298975.1	XP_015438463.1
OG0000109	XP_393594.3	XP_015430535.1
OG0000112	XP_006572517.1, NP_001229911.1	XP_015431184.1
OG0000113	XP_001120910.2	XP_015440166.1
OG0000114	XP_026301302.1, XP_016772326.1, XP_392709.3, XP_006557654.1	XP_015434902.1
OG0000115	XP_006561447.1, XP_026301562.1, XP_016772425.1	XP_015428477.1
OG0000116	XP_623083.1, XP_006563129.1	XP_015434163.1, XP_015434164.1
OG0000117	XP_006563703.1, XP_006563700.1, XP_006563701.1, XP_006563702.1	XP_015440289.1, XP_015440287.1, XP_015440288.1
OG0000118	XP_006563971.1, XP_006563972.1, XP_396934.4	XP_015435404.1
OG0000119	XP_016773033.1, XP_624322.1	XP_015431091.1
OG0000120	XP_026294841.1	XP_015438092.1
OG0000121	XP_026296163.1, XP_026296160.1, XP_026296162.1, XP_026296161.1	XP_015431772.1
OG0000124	NP_001164443.1	XP_015436589.1, XP_015436588.1
OG0000125	XP_016770827.2, NP_001191991.1	XP_015436982.1, XP_015436981.1, XP_015436985.1, XP_015436987.1, XP_015436980.1
OG0000126	XP_006572424.1, NP_001265256.1	XP_015428736.1, XP_015428737.1, XP_015428735.1
OG0000127	XP_016771071.1, XP_026300257.1, XP_026300256.1, XP_026300258.1	XP_015432783.1
OG0000128	XP_006562145.1	XP_015440194.1
OG0000129	XP_006564303.1	XP_015436626.1
OG0000130	XP_006565559.1, XP_016768555.1	XP_015429959.1, XP_015429961.1
OG0000131	XP_006566631.1	XP_015437714.1
OG0000132	XP_006567941.1	XP_015433331.1, XP_015433332.1, XP_015433333.1
OG0000133	XP_006569791.3	XP_015434666.1
OG0000134	XP_026296993.1	XP_015431085.1, XP_015431017.1
OG0000139	XP_026295883.1, XP_016767420.2, XP_016767421.2, XP_006567363.2, XP_001120680.3, XP_006567362.2, XP_006567361.2	XP_015440328.1
OG0000140	XP_003249499.1, XP_003249498.1	XP_015428456.1
OG0000141	XP_003249767.1, XP_392285.1	XP_015434298.1
OG0000142	XP_003250061.2	XP_015438691.1
OG0000143	XP_392990.2, XP_003251503.1	XP_015436700.1, XP_015436679.1, XP_015436686.1, XP_015436693.1
OG0000144	XP_003251707.1, XP_003251708.1, XP_006571340.1	XP_015433077.1
OG0000145	XP_026300514.1	XP_015439173.1
OG0000146	XP_006560612.2, XP_016767148.1	XP_015436896.1
OG0000147	XP_006561534.1	XP_015429248.1
OG0000148	XP_006561855.2	XP_015436232.1
OG0000149	XP_006567968.1, XP_006567970.1, XP_006567969.1, XP_016767798.1, XP_006567967.1	XP_015433364.1
OG0000150	XP_397532.3, XP_006569470.2, XP_006569471.2	XP_015437621.1
OG0000151	XP_393087.2	XP_015430154.1
OG0000152	XP_394370.2	XP_015429021.1
OG0000155	XP_001120519.2	XP_015430002.1
OG0000156	XP_006568271.1, XP_006568273.1, XP_016766288.1, XP_006568272.1, XP_001120755.1	XP_015429114.1
OG0000157	XP_001122953.3	XP_015436484.1
OG0000158	XP_006560737.1, XP_006560736.1, XP_625123.1	XP_015439412.1
OG0000159	XP_006562424.1	XP_015438519.1
OG0000160	XP_006564400.1, XP_006564397.1	XP_015436511.1
OG0000160	XP_016770397.1, XP_016770398.1	XP_015436510.1
OG0000161	XP_006565324.1	XP_015438642.1
OG0000162	XP_006565382.1	XP_015429975.1
OG0000163	XP_006566138.2, XP_016769823.2	XP_015438423.1
OG0000164	XP_006566943.1, XP_393874.3	XP_015437557.1, XP_015437559.1, XP_015437558.1
OG0000165	XP_006567337.1	XP_015431086.1
OG0000166	XP_016767886.2, XP_006569700.2	XP_015429867.1
OG0000168	XP_016767897.1	XP_015439652.1
OG0000169	XP_394771.5, XP_026298813.1, XP_026298815.1, XP_026298814.1	XP_015436217.1
OG0000170	XP_026299404.1	XP_015434496.1
OG0000171	XP_026299531.1, XP_026299533.1, XP_026299532.1, XP_026299534.1	XP_015436562.1
OG0000172	XP_392313.1	XP_015430802.1
OG0000172	XP_394471.1, XP_026300739.1	XP_015434046.1
OG0000173	XP_026301980.1, XP_026301925.1, XP_026301991.1, XP_026301994.1	XP_015432862.1
OG0000174	XP_393396.2	XP_015431688.1
OG0000175	XP_624349.1	XP_015437287.1
OG0000177	NP_001119716.1	XP_015432556.1
OG0000178	XP_026295756.1, NP_001153742.1	XP_015431680.1, XP_015431679.1
OG0000179	NP_001164579.1	XP_015432369.1
OG0000180	XP_001121653.2	XP_015432607.1, XP_015432609.1, XP_015432608.1
OG0000181	XP_003249464.1	XP_015439359.1
OG0000182	XP_006561675.1, XP_003249977.1	XP_015436440.1, XP_015436439.1, XP_015436438.1, XP_015436441.1
OG0000183	XP_003251772.2	XP_015430027.1, XP_015430036.1
OG0000184	XP_006562893.1, XP_006562894.1	XP_015431426.1, XP_015431427.1, XP_015431425.1
OG0000185	XP_016768791.1, XP_393026.2, XP_006563285.1	XP_015438013.1
OG0000187	XP_016766990.1, XP_006564055.1, XP_006564053.1	XP_015434347.1
OG0000188	XP_006565899.1, XP_026294733.1, XP_026294734.1, XP_006565900.1	XP_015429150.1
OG0000189	XP_006568930.1	XP_015432676.1
OG0000190	XP_006568998.1, XP_006569000.1, XP_016766331.1, XP_006568999.1	XP_015431829.1
OG0000191	XP_006569550.1, XP_624266.2, XP_006569551.1	XP_015434653.1, XP_015434652.1
OG0000192	XP_016766933.1, XP_026295178.1	XP_015434228.1
OG0000193	XP_016767794.2, XP_016767790.2, XP_016767787.2	XP_015437702.1, XP_015437695.1
OG0000194	XP_016770669.1	XP_015437727.1
OG0000195	XP_026296372.1, XP_026296371.1	XP_015433329.1, XP_015433328.1, XP_015433330.1
OG0000200	NP_001128406.1, XP_006571519.1	XP_015436844.1
OG0000201	XP_001119951.1, XP_006561688.1, XP_003249895.1	XP_015436162.1
OG0000202	XP_003250896.1, XP_001120350.1, XP_003250898.1	XP_015437325.1
OG0000203	XP_006565811.2, XP_001122835.3	XP_015430231.1
OG0000204	XP_003251155.1, XP_003251156.1	XP_015431509.1, XP_015431511.1, XP_015431510.1
OG0000205	XP_006572173.2, XP_026296702.1, XP_003251882.2, XP_006572174.2	XP_015433280.1
OG0000206	XP_006557316.1, XP_006557318.1, XP_006557317.1, XP_006557319.1, XP_016766730.1	XP_015431498.1, XP_015431497.1
OG0000207	XP_006558259.2, XP_016769048.2	XP_015429188.1
OG0000208	XP_006559494.1	XP_015430478.1
OG0000209	XP_026298756.1, XP_006561872.1, XP_392540.2, XP_006561871.1	XP_015436281.1
OG0000211	XP_006568070.1	XP_015430485.1
OG0000212	XP_393761.1, XP_006570503.1	XP_015438832.1, XP_015438831.1, XP_015438830.1
OG0000213	XP_006571185.1, XP_006571187.1, XP_006571186.1, XP_396469.1	XP_015432870.1, XP_015432869.1, XP_015432866.1, XP_015432868.1, XP_015432867.1
OG0000214	XP_392808.2, XP_016772009.1, XP_006571553.1	XP_015430841.1, XP_015430849.1
OG0000215	XP_016766808.1, XP_016766809.1, XP_016766810.1, XP_016766811.1, XP_623991.1	XP_015434230.1
OG0000216	XP_016768345.2	XP_015437199.1
OG0000218	XP_394061.2	XP_015432437.1
OG0000218	XP_016772012.1	XP_015432430.1
OG0000219	XP_026296787.1	XP_015439988.1
OG0000220	XP_026297714.1	XP_015433093.1, XP_015434209.1
OG0000221	XP_026300900.1	XP_015439085.1
OG0000222	XP_395771.3	XP_015438542.1
OG0000222	XP_395824.1	XP_015428940.1
OG0000223	XP_623076.2	XP_015434738.1
OG0000226	XP_026301042.1, NP_001011567.1	XP_015434860.1
OG0000227	XP_006563394.1, NP_001171499.1	XP_015436973.1, XP_015436974.1, XP_015436975.1
OG0000228	XP_016768768.2, XP_001120116.2, XP_397073.5, XP_026300288.1	XP_015435414.1, XP_015435413.1
OG0000229	XP_016771112.2	XP_015436804.1
OG0000230	XP_001123187.2	XP_015433097.1, XP_015433098.1, XP_015433099.1
OG0000231	XP_006557693.1, XP_397140.4	XP_015434546.1
OG0000232	XP_006557909.1, XP_624210.1	XP_015432406.1
OG0000234	XP_006559641.1	XP_015437503.1
OG0000235	XP_006560541.1	XP_015435834.1
OG0000236	XP_006568709.1	XP_015429983.1
OG0000237	XP_006569713.1, XP_396989.2	XP_015436500.1
OG0000238	XP_006569984.1	XP_015439918.1
OG0000239	XP_026297715.1, XP_624193.2, XP_006571990.1	XP_015436567.1
OG0000240	XP_623109.1, XP_006572024.1	XP_015431041.1
OG0000241	XP_026298312.1, XP_026298311.1, XP_016769009.2	XP_015428795.1
OG0000242	XP_016770320.2	XP_015438258.1
OG0000242	XP_026300495.1	XP_015436608.1
OG0000243	XP_016773325.1	XP_015438163.1
OG0000244	XP_026295595.1, XP_026295601.1, XP_026295597.1, XP_026295596.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295600.1	XP_015434318.1
OG0000245	XP_026295766.1	XP_015438086.1, XP_015438085.1, XP_015438084.1
OG0000246	XP_026298045.1	XP_015430155.1
OG0000247	XP_026297623.1	XP_015430038.1, XP_015430037.1
OG0000248	XP_026299577.1	XP_015428745.1, XP_015428747.1, XP_015428748.1
OG0000249	XP_026299596.1, XP_026299597.1	XP_015428718.1, XP_015428722.1, XP_015428720.1
OG0000250	XP_026301515.1, XP_026301514.1, XP_026301532.1, XP_026301521.1, XP_026301519.1, XP_026301526.1, XP_026301524.1, XP_026301523.1	XP_015436838.1
OG0000251	XP_392055.2	XP_015433212.1, XP_015433213.1, XP_015433214.1
OG0000252	XP_395221.4	XP_015439601.1, XP_015439599.1
OG0000253	NP_001104234.1	XP_015428727.1
OG0000253	NP_001092187.1	XP_015428670.1
OG0000254	NP_001314890.1	XP_015435781.1
OG0000255	XP_001121591.2, XP_006564963.1	XP_015439251.1
OG0000257	XP_003250703.1	XP_015434092.1, XP_015434094.1, XP_015434091.1, XP_015434090.1, XP_015434093.1
OG0000258	XP_006557421.1, XP_006557422.2, XP_016770405.1	XP_015434468.1
OG0000259	XP_026296970.1, XP_006557589.1, XP_006557588.1, XP_006557587.1, XP_006557586.1, XP_026296969.1	XP_015436712.1, XP_015436714.1, XP_015436713.1
OG0000260	XP_016768598.1, XP_006558866.1	XP_015435795.1, XP_015429633.1
OG0000261	XP_026298357.1, XP_006559582.1, XP_006559579.1, XP_006559580.1, XP_006559581.1, XP_395441.2	XP_015430515.1
OG0000262	XP_006559860.1, XP_006559861.1, XP_396828.2, XP_006559859.1	XP_015429586.1
OG0000263	XP_006561090.1, XP_006561087.1, XP_006561089.1, XP_026301327.1	XP_015435613.1, XP_015435612.1
OG0000264	XP_006562405.1	XP_015438442.1, XP_015438443.1, XP_015438441.1
OG0000265	XP_006566408.1, XP_006566409.1, XP_625132.2	XP_015440522.1
OG0000266	XP_026302265.1, XP_006568825.1, XP_394284.2	XP_015433994.1, XP_015433993.1
OG0000267	XP_006568882.1, XP_006568883.1	XP_015435023.1
OG0000268	XP_006569035.1	XP_015432942.1, XP_015432950.1
OG0000269	XP_006571082.1, XP_006571081.1	XP_015430099.1
OG0000270	XP_006572356.1	XP_015433275.1
OG0000271	XP_006572407.1	XP_015437477.1
OG0000272	XP_026301731.1, XP_006572419.1, XP_006572418.1, XP_623842.1	XP_015431399.1
OG0000273	XP_026298315.1, XP_016769150.2	XP_015430495.1
OG0000274	XP_026297890.1, XP_026297889.1, XP_026297888.1, XP_026297887.1, XP_026297886.1, XP_026297885.1, XP_026297884.1, XP_026297883.1, XP_026297882.1, XP_026297881.1, XP_016769197.2	XP_015428714.1
OG0000275	XP_016770931.1	XP_015432171.1, XP_015432170.1
OG0000277	XP_026294924.1	XP_015432611.1
OG0000278	XP_026295210.1	XP_015432640.1
OG0000279	XP_026295498.1	XP_015429328.1
OG0000280	XP_026295830.1	XP_015438081.1
OG0000281	XP_026296262.1, XP_026296261.1, XP_026296263.1	XP_015431667.1
OG0000282	XP_026297548.1	XP_015430519.1
OG0000283	XP_026299985.1	XP_015432130.1
OG0000284	XP_026301193.1	XP_015432508.1
OG0000285	XP_026301426.1	XP_015439365.1
OG0000286	NP_001136033.1, XP_006557739.2	XP_015430330.1
OG0000287	NP_001137393.1, XP_006568558.1	XP_015438755.1
OG0000288	XP_006571955.1, XP_001122617.2	XP_015440120.1
OG0000289	XP_016771731.1, XP_003250539.1	XP_015439048.1
OG0000290	XP_003250662.1	XP_015429963.1
OG0000291	XP_003251224.2, XP_006568360.2	XP_015433942.1
OG0000292	XP_006569017.1, XP_006569018.1, XP_003251296.1	XP_015432042.1
OG0000293	XP_006559045.1	XP_015437071.1
OG0000294	XP_006559458.1, XP_392994.4	XP_015428439.1, XP_015428441.1, XP_015428440.1
OG0000295	XP_006559711.2, XP_397062.3, XP_006559712.2	XP_015429618.1
OG0000296	XP_006559728.2, XP_006559729.2, XP_006559730.2, XP_393129.4	XP_015429506.1
OG0000297	XP_006559877.1, XP_393189.1	XP_015435125.1
OG0000298	XP_393921.4, XP_016771409.1, XP_006560471.1	XP_015428647.1, XP_015428648.1, XP_015428649.1
OG0000299	XP_006561768.2	XP_015436446.1
OG0000299	XP_006561770.1	XP_015436448.1
OG0000300	XP_016770654.1	XP_015433923.1, XP_015433927.1
OG0000300	XP_006562453.1, XP_006562449.1	XP_015433918.1, XP_015433924.1
OG0000301	XP_006562896.1	XP_015431428.1
OG0000302	XP_006563787.1	XP_015432439.1
OG0000303	XP_016769093.2, XP_006564729.1, XP_006564719.2	XP_015430976.1
OG0000304	XP_006565043.1, XP_006565042.1, XP_016769490.1	XP_015431178.1
OG0000305	XP_006567820.1, XP_016767795.1, XP_006567825.1, XP_026296835.1, XP_006567824.1, XP_016767792.1, XP_006567823.1	XP_015440094.1
OG0000306	XP_006569762.1	XP_015428777.1, XP_015428776.1, XP_015428775.1
OG0000307	XP_006569978.1	XP_015434584.1
OG0000308	XP_006571172.2, XP_006571173.2	XP_015430659.1
OG0000309	XP_026302249.1, XP_006571320.1	XP_015432975.1
OG0000310	XP_006571525.1	XP_015430325.1, XP_015430342.1, XP_015430334.1
OG0000311	XP_016769273.1, XP_026298073.1, XP_016769276.1, XP_395161.2, XP_016769270.1, XP_016769275.1, XP_016769271.1	XP_015438056.1
OG0000312	XP_026298109.1	XP_015438781.1
OG0000312	XP_016770898.2	XP_015430767.1
OG0000313	XP_026298578.1	XP_015439500.1
OG0000314	XP_026299702.1	XP_015436531.1
OG0000315	XP_026299821.1, XP_026299820.1, XP_026299817.1, XP_026299819.1, XP_026299818.1	XP_015436528.1
OG0000316	XP_394229.2	XP_015435697.1
OG0000323	XP_026299083.1, XP_001120613.2	XP_015433466.1, XP_015433467.1, XP_015433468.1, XP_015432613.1
OG0000324	XP_006569202.1, XP_001120810.2, XP_016769779.1	XP_015431925.1
OG0000326	XP_006564882.2, XP_003250536.2	XP_015438960.1
OG0000327	XP_003250560.1	XP_015434133.1
OG0000328	XP_003251167.1, XP_397314.1	XP_015433558.1, XP_015433554.1
OG0000329	XP_006558244.2	XP_015431794.1
OG0000330	XP_624589.2	XP_015437689.1
OG0000330	XP_016771317.1	XP_015437691.1
OG0000330	XP_006558596.1	XP_015437690.1
OG0000331	XP_397065.2, XP_006558840.1, XP_016771894.1, XP_026300795.1, XP_026300793.1	XP_015435728.1
OG0000332	XP_016768544.1, XP_016768542.1, XP_396692.3, XP_016768543.1, XP_006558879.1	XP_015429639.1
OG0000333	XP_006559117.2, XP_026297198.1, XP_006559116.2	XP_015430996.1
OG0000334	XP_006560262.1	XP_015439163.1
OG0000336	XP_006560865.2, XP_006560866.2	XP_015432184.1, XP_015432185.1, XP_015432183.1
OG0000337	XP_006560933.1, XP_624657.2, XP_016766820.1, XP_016766818.1, XP_016766817.1, XP_006560934.1	XP_015431478.1
OG0000338	XP_006562601.1, XP_006562602.1	XP_015429658.1
OG0000339	XP_393004.3, XP_006562919.1, XP_006562921.1, XP_006562920.1	XP_015433439.1
OG0000340	XP_016768933.1, XP_006564632.1, XP_006564631.1	XP_015437485.1
OG0000341	XP_006564844.1	XP_015439651.1
OG0000342	XP_006565842.1, XP_392026.2	XP_015439003.1
OG0000343	XP_006566142.1, XP_006566141.1, XP_393678.2	XP_015438467.1, XP_015438468.1
OG0000344	XP_006566349.2	XP_015435527.1
OG0000345	XP_006567437.1, XP_392511.2	XP_015436177.1, XP_015436178.1
OG0000346	XP_006569276.1	XP_015432620.1
OG0000347	XP_006569527.1, XP_006569526.1, XP_006569525.1	XP_015437148.1
OG0000348	XP_006569732.1	XP_015436644.1, XP_015436647.1
OG0000349	XP_016768335.1, XP_006570028.1, XP_395486.2, XP_016768336.1	XP_015437004.1
OG0000350	XP_006570342.1, XP_392786.2	XP_015437721.1
OG0000351	XP_006570411.1	XP_015440518.1, XP_015436583.1, XP_015440435.1
OG0000352	XP_006570965.1	XP_015440215.1
OG0000353	XP_006571180.1	XP_015432987.1
OG0000354	XP_006571243.1	XP_015435313.1, XP_015435305.1, XP_015435314.1
OG0000355	XP_016767588.2, XP_016767587.2, XP_026296397.1, XP_016767589.2, XP_016767593.2, XP_016767592.2, XP_016767590.2	XP_015440190.1, XP_015440189.1
OG0000356	XP_016767764.1	XP_015439705.1
OG0000357	XP_016767931.1	XP_015440001.1
OG0000358	XP_026300699.1, XP_026300700.1, XP_016771829.2	XP_015439013.1
OG0000359	XP_016771932.2	XP_015437849.1, XP_015434582.1, XP_015434937.1
OG0000360	XP_026295907.1, XP_016772842.1, XP_016772846.1, XP_016772841.1, XP_026295911.1, XP_026295914.1	XP_015432821.1
OG0000361	XP_026297620.1	XP_015434386.1, XP_015434388.1
OG0000362	XP_026298056.1	XP_015428740.1
OG0000363	XP_026298090.1	XP_015430935.1
OG0000364	XP_026299447.1	XP_015432602.1
OG0000365	XP_026300187.1	XP_015434622.1
OG0000366	XP_026300390.1	XP_015433595.1
OG0000367	XP_026300876.1, XP_026300875.1, XP_026300874.1, XP_026300873.1	XP_015431910.1
OG0000368	XP_026302090.1	XP_015432834.1
OG0000369	XP_393488.4	XP_015433953.1
OG0000370	XP_395253.2	XP_015437639.1
OG0000371	XP_397228.2	XP_015432762.1
OG0000372	XP_625126.3	XP_015440030.1, XP_015440029.1
OG0000375	NP_001229362.1	XP_015440451.1
OG0000376	NP_001229369.1	XP_015439582.1
OG0000377	XP_001119898.1	XP_015438430.1
OG0000378	XP_016767761.1, XP_001120426.2	XP_015434715.1
