GeneID,geneDescription,chr,strand,event,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,1stExonStart_0base,1stExonEnd,2ndExonStart_0base,2ndExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,riExonStart_0base,riExonEnd,exonStart_0base,exonEnd
LOC114880946,probable nuclear hormone receptor HR3,chrOU015516.1,+,A5SS,8.45365509372e-7,7.5491139986919e-4,"0.195,0.629,0.0,0.0","0.772,1.0,1.0,0.458",-0.602,6759169,6759577,6759169,6759559,6760799,6761072,"2,2,0,0","7,1,1,2","4,2,3,2","1,0,0,2",117,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114879957,basement membrane-specific heparan sulfate proteoglycan core protein,chrOU015519.1,+,MXE,8.45960482487e-6,8.3508384771216e-4,"0.0,0.111,0.25,0.0","0.556,0.143,0.4,0.5",-0.31,NA,NA,NA,NA,NA,NA,"0,1,1,0","2,8,3,3","5,1,2,3","4,6,3,3",198,198,6779063,6779213,6780345,6780495,6771633,6771747,6785473,6785581,NA,NA,NA,NA
LOC114875226,nuclear protein localization protein 4 homolog,chrOU015511.1,-,A5SS,1.57895794861e-6,9.4000629873915e-4,"1.0,1.0,1.0,0.625","0.625,0.806,0.0,0.555",0.41,9616111,9616512,9616131,9616512,9615938,9616037,"12,5,3,2","0,0,0,1","8,5,0,6","4,1,2,4",119,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114881255,biotin--protein ligase,chrOU015513.1,-,A3SS,1.94988619129e-6,0.00109778592569627,"0.696,0.314,0.604,1.0","1.0,1.0,1.0,1.0",-0.347,2272247,2272442,2272247,2272433,2284590,2284794,"5,2,5,1","2,4,3,0","2,1,3,2","0,0,0,0",108,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114874266,"NAD kinase-like",chrOU015513.1,+,MXE,1.34003904548e-5,0.00110205361786812,"0.426,0.438,0.498,0.513","0.373,0.349,0.357,0.323",0.118,NA,NA,NA,NA,NA,NA,"194,145,161,139","261,186,162,132","186,89,96,120","313,166,173,251",182,182,9743527,9743610,9743667,9743750,9742676,9743029,9744150,9745435,NA,NA,NA,NA
LOC114875599,cell adhesion molecule 3-like,chrOU015513.1,+,MXE,1.43538097841e-5,0.00110205361786812,"0.043,0.079,0.07,0.034","0.113,0.15,0.107,0.128",-0.068,NA,NA,NA,NA,NA,NA,"14,15,12,5","312,174,160,144","28,17,16,19","220,96,133,129",198,198,7947758,7947860,7964953,7965142,7910623,7910749,7977961,7978037,NA,NA,NA,NA
LOC114875075,uncharacterized LOC114875075,chrOU015512.1,+,SE,6.69896800032e-7,0.0014753360526038,"1.0,0.2,1.0,1.0","0.0,0.333,1.0,0.0",0.467,NA,NA,NA,NA,NA,NA,"3,1,2,2","0,2,0,0","0,2,1,0","1,2,0,2",198,99,NA,NA,NA,NA,7792774,7793943,7794867,7795234,NA,NA,7794481,7794595
LOC114876551,disco-interacting protein 2-like,chrOU015508.1,-,MXE,2.20739221714e-5,0.00152530802204374,"0.333,0.429,0.273,0.25","0.0,0.0,0.182,0.111",0.248,NA,NA,NA,NA,NA,NA,"5,3,3,2","10,4,8,6","0,0,2,1","10,12,9,8",198,198,2738829,2738967,2741414,2741636,2736714,2736909,2743052,2743124,NA,NA,NA,NA
LOC114879453,PDZ domain-containing protein 8,chrOU015515.1,+,RI,7.24438701982e-6,0.00176038604581626,"1.0,1.0,1.0,1.0","0.927,0.826,0.758,0.812",0.169,NA,NA,NA,NA,NA,NA,"56,22,29,16","0,0,0,0","51,19,25,26","2,2,4,3",198,99,NA,NA,NA,NA,587901,588442,588624,589119,587901,589119,NA,NA
LOC114882795,ribose-phosphate pyrophosphokinase 1,chrOU015508.1,+,SE,1.31586140173e-6,0.00203085511441042,"0.359,0.232,0.245,0.296","0.401,0.472,0.455,0.388",-0.146,NA,NA,NA,NA,NA,NA,"267,64,101,77","276,123,180,106","369,167,176,193","319,108,122,176",171,99,NA,NA,NA,NA,827346,827530,830652,830876,NA,NA,828429,828501
LOC114874084,putative high mobility group protein B1-like 1,chrOU015505.1,-,SE,1.53689656002e-6,0.00203085511441042,"0.772,0.747,0.747,0.712","0.455,0.476,0.683,0.532",0.208,NA,NA,NA,NA,NA,NA,"230,125,136,91","37,23,25,20","135,65,95,94","88,39,24,45",182,99,NA,NA,NA,NA,2389313,2389491,2390204,2390243,NA,NA,2389754,2389837
LOC114879209,vacuolar protein sorting-associated protein 13C-like,chrOU015514.1,-,SE,1.97888923237e-6,0.00217908685971143,"0.856,1.0,1.0,0.705","0.641,0.443,0.23,0.641",0.401,NA,NA,NA,NA,NA,NA,"10,3,3,4","1,0,0,1","6,4,3,3","2,3,6,1",166,99,NA,NA,NA,NA,9858705,9859043,9859408,9859670,NA,NA,9859188,9859255
LOC114871324,uncharacterized LOC114871324,chrOU015515.1,-,A5SS,4.93993950268e-6,0.00220568298794662,"0.923,0.778,1.0,1.0","0.6,0.778,0.818,0.625",0.22,4391489,4391736,4391593,4391736,4389455,4390616,"24,7,9,6","1,1,0,0","18,7,9,10","6,1,1,3",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114871565,exostosin-1-like,chrOU015509.1,+,SE,2.35982369434e-6,0.00222733644978634,"1.0,1.0,0.368,1.0","0.0,0.368,0.226,0.0",0.694,NA,NA,NA,NA,NA,NA,"1,1,1,1","0,0,1,0","0,1,1,0","1,1,2,1",170,99,NA,NA,NA,NA,2501457,2501708,2505126,2505214,NA,NA,2502135,2502206
LOC114875662,syntaxin-binding protein 5,chrOU015505.1,-,SE,3.27554683244e-6,0.002404615324659,"1.0,1.0,1.0,1.0","0.443,1.0,0.672,0.882",0.251,NA,NA,NA,NA,NA,NA,"4,4,5,3","0,0,0,0","7,4,9,11","6,0,3,1",145,99,NA,NA,NA,NA,8268880,8268997,8285266,8285456,NA,NA,8274404,8274450
LOC114876266,kinase D-interacting substrate of 220 kDa,chrOU015513.1,-,SE,2.99627837486e-6,0.002404615324659,"0.4,0.778,0.556,1.0","1.0,1.0,1.0,1.0",-0.317,NA,NA,NA,NA,NA,NA,"8,7,5,2","6,1,2,0","16,8,8,9","0,0,0,0",198,99,NA,NA,NA,NA,8919998,8920130,8925742,8927221,NA,NA,8924720,8924931
LOC114878683,insulin receptor substrate 1,chrOU015517.1,-,RI,1.66951780893e-5,0.00289780591121421,"1.0,0.911,1.0,0.895","0.908,0.768,0.687,0.929",0.128,NA,NA,NA,NA,NA,NA,"33,18,14,15","0,1,0,1","52,35,27,23","3,6,7,1",174,99,NA,NA,NA,NA,357254,357343,357418,357664,357254,357664,NA,NA
LOC114877456,uncharacterized LOC114877456,chrOU015512.1,+,RI,1.46853321532e-5,0.00289780591121421,"0.303,0.0,0.537,0.537","0.224,0.0,0.0,0.0",0.288,NA,NA,NA,NA,NA,NA,"3,0,4,2","4,1,2,1","1,0,0,0","2,2,2,2",171,99,NA,NA,NA,NA,547948,548137,548209,548669,547948,548669,NA,NA
LOC114882699,methyl farnesoate epoxidase-like,chrOU015508.1,-,RI,2.18050830637e-5,0.00331164699029943,"1.0,0.0,0.0,0.379","0.0,1.0,1.0,1.0",-0.405,NA,NA,NA,NA,NA,NA,"4,0,0,1","0,5,2,1","0,2,2,4","2,0,0,0",162,99,NA,NA,NA,NA,219649,219891,219954,220096,219649,220096,NA,NA
LOC114874522,uncharacterized LOC114874522,chrOU015509.1,+,MXE,5.70800004912e-5,0.0035856618490381,"0.913,1.0,1.0,1.0","0.644,0.885,0.848,0.819",0.179,NA,NA,NA,NA,NA,NA,"15,6,7,6","1,0,0,0","13,11,8,13","5,1,1,2",198,138,4618618,4618770,4618912,4618951,4618386,4618548,4619039,4619460,NA,NA,NA,NA
LOC114880139,transcriptional repressor CTCFL-like,chrOU015508.1,+,A3SS,9.76178237633e-6,0.00366392231858252,"0.973,0.955,0.922,0.963","0.925,0.806,0.853,0.72",0.127,4577335,4577608,4577497,4577608,4577098,4577240,"145,84,71,52","2,2,3,1","123,58,81,72","5,7,7,14",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114875599,cell adhesion molecule 3-like,chrOU015513.1,+,A3SS,8.5168371502e-6,0.00366392231858252,"0.078,0.088,0.105,0.124","0.217,0.164,0.218,0.122",-0.082,7991309,7991461,7991348,7991461,7989534,7989668,"31,14,19,22","264,104,116,112","54,23,37,22","140,84,95,114",138,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114882239,centrosomal protein of 97 kDa,chrOU015504.1,-,SE,6.47612039939e-6,0.00388979340716088,"1.0,0.778,1.0,0.75","0.474,0.25,0.846,0.667",0.323,NA,NA,NA,NA,NA,NA,"15,7,6,6","0,1,0,1","9,2,11,4","5,3,1,1",198,99,NA,NA,NA,NA,6235691,6235892,6237670,6237772,NA,NA,6237384,6237581
LOC114873181,protein retinal degeneration B,chrOU015515.1,-,SE,6.17841665451e-6,0.00388979340716088,"0.943,0.818,1.0,1.0","0.636,0.739,0.905,0.625",0.214,NA,NA,NA,NA,NA,NA,"33,9,10,14","1,1,0,0","14,17,19,10","4,3,1,3",198,99,NA,NA,NA,NA,2192407,2192494,2194531,2194760,NA,NA,2193564,2193781
LOC114878028,beta-1,chrOU015515.1,+,SE,7.66139814146e-6,0.00421823812671885,"0.0,0.0,1.0,0.333","0.833,0.5,1.0,0.333",-0.333,NA,NA,NA,NA,NA,NA,"0,0,2,2","4,1,0,2","10,2,5,1","1,1,0,1",198,99,NA,NA,NA,NA,7539327,7540532,7543068,7543661,NA,NA,7542214,7542448
LOC114873769,protein EFR3 homolog cmp44E,chrOU015514.1,-,SE,1.26588801159e-5,0.00597408720898223,"0.85,0.889,0.864,1.0","1.0,0.933,1.0,1.0",-0.083,NA,NA,NA,NA,NA,NA,"91,48,51,30","8,3,4,0","63,56,52,57","0,2,0,0",198,99,NA,NA,NA,NA,6824816,6824979,6826005,6826082,NA,NA,6825185,6825301
LOC114874266,"NAD kinase-like",chrOU015513.1,+,SE,1.23100150906e-5,0.00597408720898223,"0.367,0.357,0.286,0.292","0.445,0.432,0.481,0.486",-0.136,NA,NA,NA,NA,NA,NA,"130,93,78,63","122,91,106,83","159,84,97,134","108,60,57,77",182,99,NA,NA,NA,NA,9743527,9743610,9744150,9745435,NA,NA,9743667,9743750
LOC114879610,teneurin-m,chrOU015506.1,-,SE,1.4338313619e-5,0.0063155492053822,"0.8,1.0,1.0,1.0","0.5,0.333,0.714,0.667",0.396,NA,NA,NA,NA,NA,NA,"8,3,1,3","1,0,0,0","6,2,5,4","3,2,1,1",198,99,NA,NA,NA,NA,810832,811122,813926,814094,NA,NA,812105,812282
LOC114882852,cysteine sulfinic acid decarboxylase-like,chrOU015518.1,-,RI,4.91640651894e-5,0.006637148800569,"0.333,0.556,0.647,0.333","0.846,1.0,0.667,1.0",-0.411,NA,NA,NA,NA,NA,NA,"5,5,11,1","5,2,3,1","11,4,8,7","1,0,2,0",198,99,NA,NA,NA,NA,2472928,2473629,2473865,2474110,2472928,2474110,NA,NA
LOC114880946,probable nuclear hormone receptor HR3,chrOU015516.1,+,SE,1.60789090085e-5,0.00663958448869746,"0.067,0.091,0.0,0.0","0.133,0.143,0.375,0.143",-0.159,NA,NA,NA,NA,NA,NA,"1,1,0,0","7,5,4,11","4,3,6,3","13,9,5,9",198,99,NA,NA,NA,NA,6757190,6757417,6760799,6761072,NA,NA,6759169,6759577
LOC114880106,arylsulfatase B-like,chrOU015508.1,+,A5SS,2.78847603418e-5,0.00669956519402897,"1.0,1.0,1.0,0.333","0.818,0.6,0.714,0.25",0.238,7690236,7691466,7690236,7690666,7694569,7694811,"2,3,1,1","0,0,0,1","9,3,5,4","1,1,1,6",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114881064,beta-alanine-activating enzyme,chrOU015504.1,+,A5SS,3.16553723586e-5,0.00669956519402897,"0.0,0.0,0.0,1.0","0.391,0.59,0.49,1.0",-0.368,4800097,4800364,4800097,4800360,4800440,4800693,"0,0,0,1","4,5,4,0","4,3,2,1","6,2,2,0",103,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114875805,uncharacterized LOC114875805,chrOU015505.1,+,A5SS,3.11527970261e-5,0.00669956519402897,"1.0,0.606,1.0,1.0","0.434,0.434,1.0,0.0",0.434,13888062,13888308,13888062,13888278,13888580,13888721,"6,2,1,3","0,1,0,0","3,2,2,0","3,2,0,2",129,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114873794,inactive dipeptidyl peptidase 10,chrOU015514.1,-,A5SS,1.93356165246e-5,0.00669956519402897,"0.234,0.0,0.0,0.0","0.0,1.0,0.379,0.733",-0.47,6412476,6412718,6412485,6412718,6403023,6403130,"1,0,0,0","3,1,1,1","0,2,4,3","1,0,6,1",108,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114871324,uncharacterized LOC114871324,chrOU015515.1,-,A5SS,3.37604069128e-5,0.00669956519402897,"0.962,0.895,1.0,1.0","0.733,0.889,0.882,0.793",0.14,4391180,4391736,4391593,4391736,4389455,4390616,"51,17,20,19","1,1,0,0","33,16,15,23","6,1,1,3",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114879610,teneurin-m,chrOU015506.1,-,A5SS,3.77126207076e-5,0.00673547405837735,"0.833,1.0,1.0,1.0","0.571,0.5,0.667,0.75",0.336,812105,814094,813926,814094,810832,811122,"10,5,1,5","1,0,0,0","8,4,4,6","3,2,1,1",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114879295,mitogen-activated protein kinase-binding protein 1,chrOU015505.1,-,SE,1.96282691005e-5,0.00720466521927797,"0.938,1.0,1.0,0.857","0.854,0.765,0.655,0.871",0.162,NA,NA,NA,NA,NA,NA,"30,17,18,12","1,0,0,1","35,13,19,27","3,2,5,2",198,99,NA,NA,NA,NA,12458059,12458208,12460256,12462615,NA,NA,12459012,12459148
LOC114875236,phosphomannomutase,chrOU015511.1,-,SE,1.92468541895e-5,0.00720466521927797,"1.0,1.0,0.39,1.0","0.691,0.242,0.561,0.138",0.44,NA,NA,NA,NA,NA,NA,"5,2,2,3","0,0,2,0","7,1,2,1","2,2,1,4",155,99,NA,NA,NA,NA,9562397,9562486,9563457,9563646,NA,NA,9563323,9563379
LOC114877701,synaptotagmin-14,chrOU015518.1,-,RI,6.98859347905e-5,0.00801755451245475,"0.733,1.0,1.0,1.0","0.625,0.25,0.875,0.76",0.306,NA,NA,NA,NA,NA,NA,"11,3,5,1","2,0,0,0","10,2,14,19","3,3,1,3",198,99,NA,NA,NA,NA,7321616,7322332,7322573,7323181,7321616,7323181,NA,NA
LOC114880028,protein crooked neck,chrOU015509.1,+,RI,7.91857235798e-5,0.00801755451245475,"0.127,0.0,0.368,0.538","0.466,1.0,1.0,0.636",-0.517,NA,NA,NA,NA,NA,NA,"1,0,2,2","4,2,2,1","3,2,1,3","2,0,0,1",170,99,NA,NA,NA,NA,9066441,9066530,9066601,9066786,9066441,9066786,NA,NA
LOC114878851,uncharacterized LOC114878851,chrOU015514.1,+,RI,7.64300755514e-5,0.00801755451245475,"0.0,0.0,0.0,1.0","0.605,1.0,0.338,0.17",-0.278,NA,NA,NA,NA,NA,NA,"0,0,0,1","2,3,2,0","3,4,5,2","1,0,5,5",194,99,NA,NA,NA,NA,8952160,8952342,8952437,8952668,8952160,8952668,NA,NA
LOC114875270,RNA-binding protein 4.1-like,chrOU015511.1,+,A3SS,2.8040301342e-5,0.00852240585848605,"0.464,0.478,0.567,0.528","0.658,0.602,0.645,0.737",-0.151,9662429,9662744,9662471,9662744,9661752,9662032,"111,73,112,67","90,56,60,42","151,82,101,156","55,38,39,39",141,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114876114,tctex1 domain-containing protein 2-like,chrOU015505.1,+,A3SS,3.02749764067e-5,0.00852240585848605,"1.0,1.0,0.75,0.778","0.818,0.667,0.429,0.636",0.245,7473399,7473844,7473634,7473844,7473016,7473234,"16,11,6,7","0,0,1,1","9,8,6,7","1,2,4,2",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114872008,putative mediator of RNA polymerase II transcription subunit 26,chrOU015506.1,+,SE,2.72462764483e-5,0.00947453413125884,"1.0,0.846,1.0,0.667","0.739,0.875,0.625,0.586",0.172,NA,NA,NA,NA,NA,NA,"13,11,7,4","0,1,0,1","17,14,10,17","3,1,3,6",198,99,NA,NA,NA,NA,6997328,6997476,7002273,7008505,NA,NA,7000485,7000732
LOC114875311,RNA-binding protein Musashi homolog 2,chrOU015511.1,-,SE,3.00632672414e-5,0.00993140033319649,"0.75,1.0,1.0,1.0","0.25,0.4,1.0,0.5",0.4,NA,NA,NA,NA,NA,NA,"6,2,3,4","1,0,0,0","2,4,7,2","3,3,0,1",198,99,NA,NA,NA,NA,9256017,9256151,9268941,9269169,NA,NA,9267607,9267711
LOC114881046,cilia- and flagella-associated protein 251-like,chrOU015504.1,+,SE,3.61288327303e-5,0.01085014535677691,"1.0,0.846,1.0,0.846","0.538,0.6,0.727,0.8",0.257,NA,NA,NA,NA,NA,NA,"15,11,12,11","0,1,0,1","7,6,16,8","3,2,3,1",198,99,NA,NA,NA,NA,4978848,4979060,4979379,4979585,NA,NA,4979142,4979294
LOC114873253,voltage-dependent calcium channel type A subunit alpha-1,chrOU015515.1,+,SE,3.48710468364e-5,0.01085014535677691,"0.0,0.183,0.161,0.0","0.35,0.234,0.402,0.088",-0.183,NA,NA,NA,NA,NA,NA,"0,1,2,0","11,3,7,2","8,5,7,1","10,11,7,7",147,99,NA,NA,NA,NA,2790874,2790958,2793278,2793395,NA,NA,2792543,2792591
LOC114871920,uncharacterized LOC114871920,chrOU015506.1,-,SE,4.09931243321e-5,0.01128506551925769,"0.929,1.0,1.0,0.765","0.792,0.68,0.765,0.647",0.203,NA,NA,NA,NA,NA,NA,"26,20,16,13","1,0,0,2","38,17,26,11","5,4,4,3",198,99,NA,NA,NA,NA,5119581,5119733,5120175,5120321,NA,NA,5119923,5120049
LOC114872008,putative mediator of RNA polymerase II transcription subunit 26,chrOU015506.1,+,SE,4.00335103617e-5,0.01128506551925769,"1.0,0.778,1.0,0.667","0.76,0.833,0.6,0.52",0.183,NA,NA,NA,NA,NA,NA,"12,7,3,4","0,1,0,1","19,10,9,13","3,1,3,6",198,99,NA,NA,NA,NA,6997328,6997476,7002273,7008505,NA,NA,7000488,7000732
LOC114875179,protein phosphatase 1L,chrOU015507.1,+,A3SS,5.18972040453e-5,0.01147857670896785,"1.0,1.0,0.752,0.843","0.658,0.771,0.574,0.835",0.189,11368777,11368915,11368825,11368915,11368559,11368648,"29,15,9,8","0,0,2,1","20,5,6,15","7,1,3,2",147,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114871841,RNA exonuclease 1 homolog,chrOU015504.1,-,A3SS,5.60676482232e-5,0.01147857670896785,"0.031,0.0,0.045,0.0","0.202,0.1,0.07,0.092",-0.097,16997291,16999288,16997291,16999282,16999465,17000060,"1,0,1,0","29,12,20,15","7,2,2,3","26,17,25,28",105,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114873626,sodium/potassium/calcium exchanger 4-like,chrOU015516.1,+,A3SS,4.81574208449e-5,0.01147857670896785,"0.036,0.0,0.11,0.0","0.175,0.224,0.031,0.171",-0.114,9070178,9070250,9070193,9070250,9070018,9070123,"2,0,3,0","46,34,21,20","11,4,1,5","45,12,27,21",114,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114877345,cryptochrome-1-like,chrOU015509.1,+,SE,4.41273328754e-5,0.01166197153231071,"1.0,1.0,1.0,0.938","0.925,0.975,0.89,0.853",0.074,NA,NA,NA,NA,NA,NA,"83,59,46,60","0,0,0,2","99,78,65,81","4,1,4,7",198,99,NA,NA,NA,NA,2262119,2262304,2262769,2262937,NA,NA,2262454,2262684
LOC114878028,beta-1,chrOU015515.1,+,SE,4.66987101475e-5,0.01186686069017432,"1.0,1.0,1.0,0.781","0.588,0.865,0.789,0.903",0.159,NA,NA,NA,NA,NA,NA,"7,7,7,10","0,0,0,2","16,9,21,13","8,1,4,1",139,99,NA,NA,NA,NA,7539327,7540532,7542214,7542448,NA,NA,7540645,7540685
LOC114875270,RNA-binding protein 4.1-like,chrOU015511.1,+,A3SS,7.32039399343e-5,0.01268117482554181,"0.928,0.875,0.949,0.963","0.991,0.987,0.956,0.99",-0.052,9662429,9662744,9662471,9662744,9661752,9662095,"146,90,105,75","8,9,4,2","158,106,125,137","1,1,4,1",141,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
