Orthogroup	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia
OG0016265	NP_001233104.1																				
OG0016266	NP_001233116.1																				
OG0016267	NP_001233122.1																				
OG0016268	NP_001280260.1																				
OG0016269	NP_001280261.1																				
OG0016270	NP_001280290.1																				
OG0016271	NP_001280331.1																				
OG0016272	NP_001280431.1																				
OG0016273	NP_001280438.1																				
OG0016274	NP_001284565.1																				
OG0016275	NP_001313548.1																				
OG0016276	NP_001313555.1																				
OG0016277	NP_001313556.1																				
OG0016278	NP_001313599.1																				
OG0016279	XP_001942563.1																				
OG0016280	XP_001942585.3																				
OG0016281	XP_001942617.2																				
OG0016282	XP_001942640.1																				
OG0016283	XP_001942685.2																				
OG0016284	XP_001942697.1																				
OG0016285	XP_001942735.2																				
OG0016286	XP_001942778.2																				
OG0016287	XP_001942838.2																				
OG0016288	XP_001942874.1																				
OG0016289	XP_001942936.2																				
OG0016290	XP_001942972.2																				
OG0016291	XP_001942985.1																				
OG0016292	XP_001942998.2																				
OG0016293	XP_001943020.2																				
OG0016294	XP_001943079.2																				
OG0016295	XP_001943096.1																				
OG0016296	XP_001943126.2																				
OG0016297	XP_001943216.2																				
OG0016298	XP_001943253.1																				
OG0016299	XP_001943260.1																				
OG0016300	XP_001943310.1																				
OG0016301	XP_001943313.1																				
OG0016302	XP_001943316.2																				
OG0016303	XP_001943395.1																				
OG0016304	XP_001943492.1																				
OG0016305	XP_001943513.2																				
OG0016306	XP_001943514.2																				
OG0016307	XP_001943515.2																				
OG0016308	XP_001943626.2																				
OG0016309	XP_001943652.1																				
OG0016310	XP_001943736.1																				
OG0016311	XP_001943844.2																				
OG0016312	XP_001943898.1																				
OG0016313	XP_001943998.2																				
OG0016314	XP_001944023.2																				
OG0016315	XP_001944192.1																				
OG0016316	XP_001944251.2																				
OG0016317	XP_001944353.1																				
OG0016318	XP_001944377.2																				
OG0016319	XP_001944495.2																				
OG0016320	XP_001944519.1																				
OG0016321	XP_001944563.1																				
OG0016322	XP_001944570.1																				
OG0016323	XP_001944572.2																				
OG0016324	XP_001944766.2																				
OG0016325	XP_001944767.1																				
OG0016326	XP_001944773.2																				
OG0016327	XP_001944921.2																				
OG0016328	XP_001944957.2																				
OG0016329	XP_001944965.1																				
OG0016330	XP_001944982.1																				
OG0016331	XP_001945028.2																				
OG0016332	XP_001945144.1																				
OG0016333	XP_001945220.2																				
OG0016334	XP_001945257.2																				
OG0016335	XP_001945497.1																				
OG0016336	XP_001945518.1																				
OG0016337	XP_001945528.2																				
OG0016338	XP_001945627.1																				
OG0016339	XP_001945717.2																				
OG0016340	XP_001945780.1																				
OG0016341	XP_001945851.1																				
OG0016342	XP_001945935.2																				
OG0016343	XP_001946044.1																				
OG0016344	XP_001946135.2																				
OG0016345	XP_001946146.1																				
OG0016346	XP_001946158.1																				
OG0016347	XP_001946241.1																				
OG0016348	XP_001946396.1																				
OG0016349	XP_001946651.2																				
OG0016350	XP_001946678.2																				
OG0016351	XP_001946714.1																				
OG0016352	XP_001946854.1																				
OG0016353	XP_001946945.2																				
OG0016354	XP_001946976.1																				
OG0016355	XP_001946990.1																				
OG0016356	XP_001947033.2																				
OG0016357	XP_001947147.2																				
OG0016358	XP_001947182.2																				
OG0016359	XP_001947241.4																				
OG0016360	XP_001947267.1																				
OG0016361	XP_001947305.1																				
OG0016362	XP_001947308.1																				
OG0016363	XP_001947368.2																				
OG0016364	XP_001947378.1																				
OG0016365	XP_001947472.2																				
OG0016366	XP_001947482.4																				
OG0016367	XP_001947485.1																				
OG0016368	XP_001947514.1																				
OG0016369	XP_001947517.1																				
OG0016370	XP_001947523.2																				
OG0016371	XP_001947571.1																				
OG0016372	XP_001947587.2																				
OG0016373	XP_001947618.2																				
OG0016374	XP_001947629.1																				
OG0016375	XP_001947665.2																				
OG0016376	XP_001947691.2																				
OG0016377	XP_001947749.1																				
OG0016378	XP_001947786.1																				
OG0016379	XP_001947798.2																				
OG0016380	XP_001947900.3																				
OG0016381	XP_001948014.2																				
OG0016382	XP_001948016.4																				
OG0016383	XP_001948031.2																				
OG0016384	XP_001948193.1																				
OG0016385	XP_001948219.2																				
OG0016386	XP_001948298.2																				
OG0016387	XP_001948356.1																				
OG0016388	XP_001948358.2																				
OG0016389	XP_001948437.3																				
OG0016390	XP_001948448.3																				
OG0016391	XP_001948456.2																				
OG0016392	XP_001948496.1																				
OG0016393	XP_001948535.1																				
OG0016394	XP_001948554.1																				
OG0016395	XP_001948571.1																				
OG0016396	XP_001948600.1																				
OG0016397	XP_001948617.2																				
OG0016398	XP_001948652.2																				
OG0016399	XP_001948663.1																				
OG0016400	XP_001948687.1																				
OG0016401	XP_001948907.3																				
OG0016402	XP_001948954.1																				
OG0016403	XP_001948963.1																				
OG0016404	XP_001948993.2																				
OG0016405	XP_001949055.2																				
OG0016406	XP_001949077.2																				
OG0016407	XP_001949093.2																				
OG0016408	XP_001949105.3																				
OG0016409	XP_001949125.1																				
OG0016410	XP_001949141.1																				
OG0016411	XP_001949205.1																				
OG0016412	XP_001949350.2																				
OG0016413	XP_001949397.1																				
OG0016414	XP_001949532.1																				
OG0016415	XP_001949557.2																				
OG0016416	XP_001949617.1																				
OG0016417	XP_001949703.2																				
OG0016418	XP_001949724.1																				
OG0016419	XP_001949765.2																				
OG0016420	XP_001949933.1																				
OG0016421	XP_001949957.1																				
OG0016422	XP_001950021.4																				
OG0016423	XP_001950186.1																				
OG0016424	XP_001950202.1																				
OG0016425	XP_001950274.1																				
OG0016426	XP_001950292.1																				
OG0016427	XP_001950293.2																				
OG0016428	XP_001950297.1																				
OG0016429	XP_001950323.2																				
OG0016430	XP_001950433.1																				
OG0016431	XP_001950504.1																				
OG0016432	XP_001950577.1																				
OG0016433	XP_001950594.2																				
OG0016434	XP_001950638.1																				
OG0016435	XP_001950715.1																				
OG0016436	XP_001950766.2																				
OG0016437	XP_001950789.1																				
OG0016438	XP_001950903.2																				
OG0016439	XP_001950958.1																				
OG0016440	XP_001950974.1																				
OG0016441	XP_001951079.2																				
OG0016442	XP_001951229.2																				
OG0016443	XP_001951311.2																				
OG0016444	XP_001951312.1																				
OG0016445	XP_001951357.1																				
OG0016446	XP_001951405.1																				
OG0016447	XP_001951443.1																				
OG0016448	XP_001951447.2																				
OG0016449	XP_001951579.2																				
OG0016450	XP_001951598.2																				
OG0016451	XP_001951612.1																				
OG0016452	XP_001951627.2																				
OG0016453	XP_001951637.3																				
OG0016454	XP_001951705.1																				
OG0016455	XP_001951707.1																				
OG0016456	XP_001951745.1																				
OG0016457	XP_001951863.2																				
OG0016458	XP_001952000.1																				
OG0016459	XP_001952019.2																				
OG0016460	XP_001952078.4																				
OG0016461	XP_001952118.2																				
OG0016462	XP_001952161.4																				
OG0016463	XP_001952189.2																				
OG0016464	XP_001952321.2																				
OG0016465	XP_001952334.1																				
OG0016466	XP_001952399.2																				
OG0016467	XP_001952534.2																				
OG0016468	XP_001952616.2																				
OG0016469	XP_001952737.1																				
OG0016470	XP_001952771.2																				
OG0016471	XP_003240148.1																				
OG0016472	XP_003240183.1																				
OG0016473	XP_003240287.1																				
OG0016474	XP_003240304.1																				
OG0016475	XP_003240317.1																				
OG0016476	XP_003240320.1																				
OG0016477	XP_003240356.1																				
OG0016478	XP_003240374.1																				
OG0016479	XP_003240377.1																				
OG0016480	XP_003240423.1																				
OG0016481	XP_003240561.1																				
OG0016482	XP_003240599.1																				
OG0016483	XP_003240624.2																				
OG0016484	XP_003240625.1																				
OG0016485	XP_003240697.1																				
OG0016486	XP_003240758.1																				
OG0016487	XP_003240762.1																				
OG0016488	XP_003240764.1																				
OG0016489	XP_003240815.2																				
OG0016490	XP_003240851.1																				
OG0016491	XP_003240927.1																				
OG0016492	XP_003241040.1																				
OG0016493	XP_003241067.1																				
OG0016494	XP_003241255.2																				
OG0016495	XP_003241275.1																				
OG0016496	XP_003241290.2																				
OG0016497	XP_003241294.1																				
OG0016498	XP_003241336.1																				
OG0016499	XP_003241413.1																				
OG0016500	XP_003241434.1																				
OG0016501	XP_003241443.1																				
OG0016502	XP_003241461.2																				
OG0016503	XP_003241542.1																				
OG0016504	XP_003241615.1																				
OG0016505	XP_003241625.1																				
OG0016506	XP_003241644.1																				
OG0016507	XP_003241649.1																				
OG0016508	XP_003241683.1																				
OG0016509	XP_003241713.1																				
OG0016510	XP_003241716.1																				
OG0016511	XP_003241720.1																				
OG0016512	XP_003241799.1																				
OG0016513	XP_003241830.1																				
OG0016514	XP_003241911.1																				
OG0016515	XP_003241920.1																				
OG0016516	XP_003241935.1																				
OG0016517	XP_003241994.1																				
OG0016518	XP_003242013.1																				
OG0016519	XP_003242025.1																				
OG0016520	XP_003242026.1																				
OG0016521	XP_003242027.1																				
OG0016522	XP_003242176.1																				
OG0016523	XP_003242197.1																				
OG0016524	XP_003242206.1																				
OG0016525	XP_003242208.1																				
OG0016526	XP_003242231.1																				
OG0016527	XP_003242273.1																				
OG0016528	XP_003242289.1																				
OG0016529	XP_003242304.1																				
OG0016530	XP_003242346.1																				
OG0016531	XP_003242347.1																				
OG0016532	XP_003242357.1																				
OG0016533	XP_003242395.1																				
OG0016534	XP_003242402.1																				
OG0016535	XP_003242423.1																				
OG0016536	XP_003242467.1																				
OG0016537	XP_003242470.1																				
OG0016538	XP_003242472.1																				
OG0016539	XP_003242474.1																				
OG0016540	XP_003242477.1																				
OG0016541	XP_003242491.1																				
OG0016542	XP_003242501.1																				
OG0016543	XP_003242555.2																				
OG0016544	XP_003242567.1																				
OG0016545	XP_003242569.1																				
OG0016546	XP_003242574.1																				
OG0016547	XP_003242609.1																				
OG0016548	XP_003242643.1																				
OG0016549	XP_003242703.1																				
OG0016550	XP_003242712.1																				
OG0016551	XP_003242753.1																				
OG0016552	XP_003242796.2																				
OG0016553	XP_003242808.1																				
OG0016554	XP_003242847.1																				
OG0016555	XP_003242869.1																				
OG0016556	XP_003242899.1																				
OG0016557	XP_003242902.1																				
OG0016558	XP_003242928.1																				
OG0016559	XP_003243018.1																				
OG0016560	XP_003243100.3																				
OG0016561	XP_003243101.1																				
OG0016562	XP_003243270.1																				
OG0016563	XP_003243272.1																				
OG0016564	XP_003243311.3																				
OG0016565	XP_003243314.1																				
OG0016566	XP_003243336.1																				
OG0016567	XP_003243364.1																				
OG0016568	XP_003243367.1																				
OG0016569	XP_003243456.2																				
OG0016570	XP_003243458.1																				
OG0016571	XP_003243460.1																				
OG0016572	XP_003243462.1																				
OG0016573	XP_003243505.1																				
OG0016574	XP_003243531.1																				
OG0016575	XP_003243546.1																				
OG0016576	XP_003243566.2																				
OG0016577	XP_003243727.1																				
OG0016578	XP_003243746.1																				
OG0016579	XP_003243819.1																				
OG0016580	XP_003243901.1																				
OG0016581	XP_003243918.1																				
OG0016582	XP_003243919.1																				
OG0016583	XP_003243997.1																				
OG0016584	XP_003244003.1																				
OG0016585	XP_003244005.1																				
OG0016586	XP_003244013.1																				
OG0016587	XP_003244092.1																				
OG0016588	XP_003244095.1																				
OG0016589	XP_003244115.1																				
OG0016590	XP_003244123.1																				
OG0016591	XP_003244130.1																				
OG0016592	XP_003244164.1																				
OG0016593	XP_003244197.1																				
OG0016594	XP_003244235.1																				
OG0016595	XP_003244252.1																				
OG0016596	XP_003244254.1																				
OG0016597	XP_003244266.1																				
OG0016598	XP_003244269.1																				
OG0016599	XP_003244279.1																				
OG0016600	XP_003244331.1																				
OG0016601	XP_003244343.3																				
OG0016602	XP_003244347.1																				
OG0016603	XP_003244355.1																				
OG0016604	XP_003244376.1																				
OG0016605	XP_003244431.1																				
OG0016606	XP_003244448.1																				
OG0016607	XP_003244494.1																				
OG0016608	XP_003244496.1																				
OG0016609	XP_003244510.1																				
OG0016610	XP_003244539.1																				
OG0016611	XP_003244560.1																				
OG0016612	XP_003244562.1																				
OG0016613	XP_003244563.1																				
OG0016614	XP_003244595.1																				
OG0016615	XP_003244599.1																				
OG0016616	XP_003244627.1																				
OG0016617	XP_003244647.1																				
OG0016618	XP_003244656.1																				
OG0016619	XP_003244659.1																				
OG0016620	XP_003244660.1																				
OG0016621	XP_003244724.1																				
OG0016622	XP_003244727.1																				
OG0016623	XP_003244805.1																				
OG0016624	XP_003244806.2																				
OG0016625	XP_003244811.3																				
OG0016626	XP_003244822.1																				
OG0016627	XP_003244823.1																				
OG0016628	XP_003244839.2																				
OG0016629	XP_003244884.1																				
OG0016630	XP_003244904.3																				
OG0016631	XP_003244931.1																				
OG0016632	XP_003244936.1																				
OG0016633	XP_003244958.1																				
OG0016634	XP_003244959.1																				
OG0016635	XP_003244968.1																				
OG0016636	XP_003244983.3																				
OG0016637	XP_003245015.2																				
OG0016638	XP_003245047.1																				
OG0016639	XP_003245085.1																				
OG0016640	XP_003245139.1																				
OG0016641	XP_003245145.1																				
OG0016642	XP_003245147.1																				
OG0016643	XP_003245150.1																				
OG0016644	XP_003245156.3																				
OG0016645	XP_003245162.2																				
OG0016646	XP_003245185.1																				
OG0016647	XP_003245211.1																				
OG0016648	XP_003245212.1																				
OG0016649	XP_003245245.1																				
OG0016650	XP_003245273.1																				
OG0016651	XP_003245332.1																				
OG0016652	XP_003245358.1																				
OG0016653	XP_003245390.1																				
OG0016654	XP_003245401.1																				
OG0016655	XP_003245413.1																				
OG0016656	XP_003245422.1																				
OG0016657	XP_003245441.1																				
OG0016658	XP_003245449.1																				
OG0016659	XP_003245454.1																				
OG0016660	XP_003245473.2																				
OG0016661	XP_003245474.2																				
OG0016662	XP_003245481.1																				
OG0016663	XP_003245488.1																				
OG0016664	XP_003245541.1																				
OG0016665	XP_003245547.1																				
OG0016666	XP_003245554.1																				
OG0016667	XP_003245572.1																				
OG0016668	XP_003245584.1																				
OG0016669	XP_003245594.3																				
OG0016670	XP_003245629.1																				
OG0016671	XP_003245632.1																				
OG0016672	XP_003245633.1																				
OG0016673	XP_003245641.1																				
OG0016674	XP_003245648.1																				
OG0016675	XP_003245653.1																				
OG0016676	XP_003245673.1																				
OG0016677	XP_003245743.1																				
OG0016678	XP_003245744.1																				
OG0016679	XP_003245788.1																				
OG0016680	XP_003245805.1																				
OG0016681	XP_003245827.1																				
OG0016682	XP_003245853.1																				
OG0016683	XP_003245869.1																				
OG0016684	XP_003245940.1																				
OG0016685	XP_003246094.1																				
OG0016686	XP_003246122.3																				
OG0016687	XP_003246136.1																				
OG0016688	XP_003246195.1																				
OG0016689	XP_003246208.1																				
OG0016690	XP_003246221.1																				
OG0016691	XP_003246240.1																				
OG0016692	XP_003246249.1																				
OG0016693	XP_003246294.1																				
OG0016694	XP_003246296.1																				
OG0016695	XP_003246329.1																				
OG0016696	XP_003246331.1																				
OG0016697	XP_003246343.1																				
OG0016698	XP_003246372.1																				
OG0016699	XP_003246503.1																				
OG0016700	XP_003246544.1																				
OG0016701	XP_003246628.1																				
OG0016702	XP_003246630.1																				
OG0016703	XP_003246689.3																				
OG0016704	XP_003246711.1																				
OG0016705	XP_003246746.1																				
OG0016706	XP_003246751.1																				
OG0016707	XP_003246770.1																				
OG0016708	XP_003246820.1																				
OG0016709	XP_003246822.1																				
OG0016710	XP_003246828.1																				
OG0016711	XP_003246878.3																				
OG0016712	XP_003246879.1																				
OG0016713	XP_003246895.2																				
OG0016714	XP_003246928.1																				
OG0016715	XP_003246944.1																				
OG0016716	XP_003246955.1																				
OG0016717	XP_003246973.1																				
OG0016718	XP_003246979.1																				
OG0016719	XP_003247020.3																				
OG0016720	XP_003247037.1																				
OG0016721	XP_003247060.1																				
OG0016722	XP_003247081.1																				
OG0016723	XP_003247089.1																				
OG0016724	XP_003247113.1																				
OG0016725	XP_003247142.1																				
OG0016726	XP_003247180.1																				
OG0016727	XP_003247252.1																				
OG0016728	XP_003247296.1																				
OG0016729	XP_003247304.1																				
OG0016730	XP_003247324.1																				
OG0016731	XP_003247379.1																				
OG0016732	XP_003247431.1																				
OG0016733	XP_003247455.1																				
OG0016734	XP_003247462.1																				
OG0016735	XP_003247552.1																				
OG0016736	XP_003247576.1																				
OG0016737	XP_003247620.1																				
OG0016738	XP_003247624.1																				
OG0016739	XP_003247642.1																				
OG0016740	XP_003247667.1																				
OG0016741	XP_003247721.1																				
OG0016742	XP_003247751.1																				
OG0016743	XP_003247783.1																				
OG0016744	XP_003247793.2																				
OG0016745	XP_003247824.1																				
OG0016746	XP_003247837.1																				
OG0016747	XP_003247883.1																				
OG0016748	XP_003247889.1																				
OG0016749	XP_003247925.1																				
OG0016750	XP_003247933.2																				
OG0016751	XP_003247973.1																				
OG0016752	XP_003247980.1																				
OG0016753	XP_003247990.1																				
OG0016754	XP_003248007.1																				
OG0016755	XP_003248014.1																				
OG0016756	XP_003248063.1																				
OG0016757	XP_003248092.1																				
OG0016758	XP_003248133.1																				
OG0016759	XP_003248214.1																				
OG0016760	XP_003248215.1																				
OG0016761	XP_003248235.2																				
OG0016762	XP_003248330.2																				
OG0016763	XP_003248388.1																				
OG0016764	XP_003248395.3																				
OG0016765	XP_003248415.1																				
OG0016766	XP_003248437.1																				
OG0016767	XP_003248448.2																				
OG0016768	XP_003248457.1																				
OG0016769	XP_003248495.2																				
OG0016770	XP_003248504.1																				
OG0016771	XP_003248509.1																				
OG0016772	XP_003248519.1																				
OG0016773	XP_003248521.1																				
OG0016774	XP_003248522.2																				
OG0016775	XP_003248526.2																				
OG0016776	XP_003248527.1																				
OG0016777	XP_003248546.1																				
OG0016778	XP_003248562.1																				
OG0016779	XP_003248570.1																				
OG0016780	XP_003248588.1																				
OG0016781	XP_003248625.2																				
OG0016782	XP_003248697.1																				
OG0016783	XP_003248737.2																				
OG0016784	XP_003248741.2																				
OG0016785	XP_003248779.3																				
OG0016786	XP_003248823.1																				
OG0016787	XP_003248826.2																				
OG0016788	XP_003248878.2																				
OG0016789	XP_003248947.2																				
OG0016790	XP_003248961.1																				
OG0016791	XP_003248978.4																				
OG0016792	XP_003248983.1																				
OG0016793	XP_003249004.3																				
OG0016794	XP_003249012.2																				
OG0016795	XP_003249015.2																				
OG0016796	XP_003249051.1																				
OG0016797	XP_008178150.1																				
OG0016798	XP_008178209.1																				
OG0016799	XP_008178223.1																				
OG0016800	XP_008178289.1																				
OG0016801	XP_008178311.1																				
OG0016802	XP_008178365.1																				
OG0016803	XP_008178366.1																				
OG0016804	XP_008178368.1																				
OG0016805	XP_008178394.1																				
OG0016806	XP_008178400.1																				
OG0016807	XP_008178500.1																				
OG0016808	XP_008178504.1																				
OG0016809	XP_008178526.1																				
OG0016810	XP_008178558.1																				
OG0016811	XP_008178636.1																				
OG0016812	XP_008178652.1																				
OG0016813	XP_008178710.1																				
OG0016814	XP_008178781.1																				
OG0016815	XP_008178843.1																				
OG0016816	XP_008178879.1																				
OG0016817	XP_008178908.1																				
OG0016818	XP_008178968.1																				
OG0016819	XP_008179150.1																				
OG0016820	XP_008179261.3																				
OG0016821	XP_008179417.1																				
OG0016822	XP_008179431.1																				
OG0016823	XP_008179457.1																				
OG0016824	XP_008179481.1																				
OG0016825	XP_008179482.2																				
OG0016826	XP_008179500.1																				
OG0016827	XP_008179570.2																				
OG0016828	XP_008179576.1																				
OG0016829	XP_008179595.1																				
OG0016830	XP_008179801.1																				
OG0016831	XP_008179804.1																				
OG0016832	XP_008179863.1																				
OG0016833	XP_008179931.1																				
OG0016834	XP_008179961.1																				
OG0016835	XP_008179982.1																				
OG0016836	XP_008179986.1																				
OG0016837	XP_008180184.2																				
OG0016838	XP_008180193.1																				
OG0016839	XP_008180221.1																				
OG0016840	XP_008180227.1																				
OG0016841	XP_008180235.2																				
OG0016842	XP_008180367.2																				
OG0016843	XP_008180477.1																				
OG0016844	XP_008180507.2																				
OG0016845	XP_008180554.1																				
OG0016846	XP_008180572.2																				
OG0016847	XP_008180595.2																				
OG0016848	XP_008180596.1																				
OG0016849	XP_008180607.1																				
OG0016850	XP_008180617.1																				
OG0016851	XP_008180636.1																				
OG0016852	XP_008180708.1																				
OG0016853	XP_008180774.1																				
OG0016854	XP_008180783.1																				
OG0016855	XP_008180790.2																				
OG0016856	XP_008180839.1																				
OG0016857	XP_008180880.1																				
OG0016858	XP_008180893.1																				
OG0016859	XP_008180916.3																				
OG0016860	XP_008180970.1																				
OG0016861	XP_008180992.1																				
OG0016862	XP_008180994.1																				
OG0016863	XP_008181004.1																				
OG0016864	XP_008181070.1																				
OG0016865	XP_008181172.2																				
OG0016866	XP_008181179.1																				
OG0016867	XP_008181351.1																				
OG0016868	XP_008181374.1																				
OG0016869	XP_008181417.1																				
OG0016870	XP_008181435.1																				
OG0016871	XP_008181486.2																				
OG0016872	XP_008181561.1																				
OG0016873	XP_008181675.1																				
OG0016874	XP_008181742.1																				
OG0016875	XP_008181812.1																				
OG0016876	XP_008181844.1																				
OG0016877	XP_008181849.2																				
OG0016878	XP_008181897.1																				
OG0016879	XP_008182000.1																				
OG0016880	XP_008182001.2																				
OG0016881	XP_008182014.1																				
OG0016882	XP_008182016.2																				
OG0016883	XP_008182025.1																				
OG0016884	XP_008182040.1																				
OG0016885	XP_008182046.1																				
OG0016886	XP_008182128.1																				
OG0016887	XP_008182180.1																				
OG0016888	XP_008182224.1																				
OG0016889	XP_008182271.1																				
OG0016890	XP_008182454.1																				
OG0016891	XP_008182497.1																				
OG0016892	XP_008182507.1																				
OG0016893	XP_008182664.1																				
OG0016894	XP_008182768.1																				
OG0016895	XP_008182842.1																				
OG0016896	XP_008182851.1																				
OG0016897	XP_008182902.1																				
OG0016898	XP_008182905.2																				
OG0016899	XP_008182911.1																				
OG0016900	XP_008183023.1																				
OG0016901	XP_008183129.1																				
OG0016902	XP_008183204.2																				
OG0016903	XP_008183210.1																				
OG0016904	XP_008183300.1																				
OG0016905	XP_008183346.1																				
OG0016906	XP_008183354.1																				
OG0016907	XP_008183393.1																				
OG0016908	XP_008183517.1																				
OG0016909	XP_008183628.1																				
OG0016910	XP_008183766.1																				
OG0016911	XP_008183799.1																				
OG0016912	XP_008183899.1																				
OG0016913	XP_008183906.1																				
OG0016914	XP_008183912.1																				
OG0016915	XP_008183969.1																				
OG0016916	XP_008184129.1																				
OG0016917	XP_008184231.1																				
OG0016918	XP_008184256.1																				
OG0016919	XP_008184258.1																				
OG0016920	XP_008184282.2																				
OG0016921	XP_008184293.1																				
OG0016922	XP_008184376.2																				
OG0016923	XP_008184551.1																				
OG0016924	XP_008184568.1																				
OG0016925	XP_008184577.1																				
OG0016926	XP_008184721.1																				
OG0016927	XP_008184724.1																				
OG0016928	XP_008184731.2																				
OG0016929	XP_008184768.2																				
OG0016930	XP_008184887.1																				
OG0016931	XP_008185144.1																				
OG0016932	XP_008185159.1																				
OG0016933	XP_008185176.1																				
OG0016934	XP_008185244.1																				
OG0016935	XP_008185262.1																				
OG0016936	XP_008185292.1																				
OG0016937	XP_008185436.1																				
OG0016938	XP_008185445.1																				
OG0016939	XP_008185448.1																				
OG0016940	XP_008185718.1																				
OG0016941	XP_008185856.1																				
OG0016942	XP_008185940.1																				
OG0016943	XP_008185941.1																				
OG0016944	XP_008186007.1																				
OG0016945	XP_008186041.1																				
OG0016946	XP_008186081.1																				
OG0016947	XP_008186226.1																				
OG0016948	XP_008186300.1																				
OG0016949	XP_008186392.2																				
OG0016950	XP_008186512.1																				
OG0016951	XP_008186891.1																				
OG0016952	XP_008186921.1																				
OG0016953	XP_008186947.1																				
OG0016954	XP_008186957.1																				
OG0016955	XP_008186972.1																				
OG0016956	XP_008187058.2																				
OG0016957	XP_008187104.2																				
OG0016958	XP_008187151.1																				
OG0016959	XP_008187232.1																				
OG0016960	XP_008187259.2																				
OG0016961	XP_008187280.1																				
OG0016962	XP_008187368.1																				
OG0016963	XP_008187394.1																				
OG0016964	XP_008187415.1																				
OG0016965	XP_008187498.1																				
OG0016966	XP_008187544.1																				
OG0016967	XP_008187573.3																				
OG0016968	XP_008187737.1																				
OG0016969	XP_008187794.1																				
OG0016970	XP_008187830.1																				
OG0016971	XP_008187859.1																				
OG0016972	XP_008187925.1																				
OG0016973	XP_008187928.1																				
OG0016974	XP_008187933.1																				
OG0016975	XP_008187959.1																				
OG0016976	XP_008188020.1																				
OG0016977	XP_008188038.2																				
OG0016978	XP_008188083.2																				
OG0016979	XP_008188180.1																				
OG0016980	XP_008188236.1																				
OG0016981	XP_008188272.1																				
OG0016982	XP_008188315.1																				
