Orthogroup	Bombus_terrestris	Vespa_mandarinia
OG0000010	XP_012174385.1, XP_020723418.1, XP_012174846.1, XP_020723306.1	XP_035740330.1, XP_035741893.1, XP_035731225.1, XP_035742782.1, XP_035739222.1
OG0000012	XP_020723675.1	XP_035729179.1
OG0000012	XP_003401050.2	XP_035731128.1
OG0000012	XP_003401048.1	XP_035731058.1, XP_035731059.1
OG0000013	XP_003392965.1, XP_003392969.1	XP_035732971.1
OG0000013	XP_020718381.1	XP_035725915.1
OG0000013	XP_003400771.1, XP_003400772.1	XP_035732326.1, XP_035732327.1, XP_035732323.1, XP_035732322.1, XP_035732328.1
OG0000014	XP_012175524.1, XP_003393114.1	XP_035717855.1, XP_035725913.1, XP_035733113.1, XP_035733114.1, XP_035733115.1, XP_035735278.1
OG0000016	XP_020723772.1, XP_012175540.2, XP_012175517.1, XP_012175813.1	XP_035739379.1
OG0000017	XP_012175461.1, XP_012175513.1, XP_012175528.1	XP_035722701.1
OG0000017	XP_012172050.1	XP_035728385.1
OG0000018	XP_012169775.2	XP_035730877.1
OG0000018	XP_012169298.1	XP_035718019.1
OG0000018	XP_003399081.1	XP_035718148.1
OG0000019	XP_003398973.1, XP_020721097.1, XP_020721100.1, XP_020721101.1, XP_020721098.1, XP_020721099.1	XP_035725561.1, XP_035725574.1, XP_035725576.1
OG0000019	XP_003401949.1	XP_035726985.1
OG0000020	XP_012167183.1	XP_035723591.1
OG0000020	XP_003394639.2	XP_035725275.1
OG0000020	XP_003393559.1	XP_035728836.1
OG0000020	XP_003403319.2, XP_012173392.1	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1
OG0000021	XP_012171597.1, XP_020722326.1, XP_003400632.1	XP_035729141.1
OG0000021	XP_003396414.1, XP_012165450.1, XP_012165451.1	XP_035721174.1, XP_035721172.1, XP_035721170.1, XP_035721169.1, XP_035721173.1
OG0000021	XP_012169135.1	XP_035723530.1
OG0000021	XP_020722863.1, XP_003403430.2	XP_035723165.1, XP_035723164.1
OG0000021	XP_012171598.1, XP_012171599.1, XP_003400635.1	XP_035729144.1
OG0000022	XP_003394856.1	XP_035721830.1
OG0000024	XP_003402753.1	XP_035742194.1
OG0000024	XP_012165904.1, XP_012165907.1, XP_012165906.1	XP_035728675.1, XP_035728676.1, XP_035728677.1
OG0000024	XP_003401519.1	XP_035738183.1
OG0000024	XP_003401520.1	XP_035738182.1
OG0000025	XP_012174534.1	XP_035733466.1, XP_035719463.1
OG0000026	XP_020719884.1, XP_003397076.1, XP_012166367.1, XP_012166366.1, XP_012166369.1, XP_012166368.1	XP_035718093.1, XP_035718094.1
OG0000027	XP_003392964.1, XP_003392970.1	XP_035725930.1
OG0000027	XP_012166136.1	XP_035735381.1, XP_035725928.1, XP_035725929.1
OG0000029	XP_003399852.3	XP_035737588.1
OG0000029	XP_020721315.1	XP_035732367.1, XP_035732349.1
OG0000030	XP_020720274.1	XP_035739081.1, XP_035741463.1, XP_035741476.1, XP_035742381.1, XP_035742412.1, XP_035741466.1
OG0000030	XP_012170594.1, XP_003399944.1	XP_035723581.1
OG0000032	XP_020723342.1	XP_035723151.1
OG0000032	XP_003398435.1, XP_012174894.1, XP_003403021.1, XP_003398436.1, XP_003398432.1, XP_003398434.1	XP_035730167.1
OG0000034	XP_012169049.1, XP_012169050.1, XP_012175294.2, XP_020721191.1, XP_020721239.1, XP_012169504.1, XP_020721189.1, XP_020721190.1, XP_012169044.2, XP_020721192.1, XP_012169499.2	XP_035741912.1, XP_035741914.1
OG0000035	XP_003394979.1	XP_035731371.1
OG0000036	XP_003401252.1	XP_035729817.1
OG0000036	XP_012172397.1	XP_035729794.1
OG0000037	XP_003403001.3	XP_035725074.1
OG0000038	XP_003396169.1, XP_003399700.1	XP_035735001.1, XP_035735000.1
OG0000038	XP_003401138.1	XP_035739586.1
OG0000038	XP_012172201.2	XP_035727166.1
OG0000038	XP_012172637.1	XP_035733817.1
OG0000039	XP_012175480.1	XP_035742491.1, XP_035738048.1, XP_035739234.1, XP_035741853.1, XP_035742781.1, XP_035742675.1, XP_035742780.1
OG0000040	XP_003402742.1	XP_035729456.1
OG0000040	XP_003393535.1	XP_035742485.1
OG0000040	XP_012164479.1	XP_035725216.1
OG0000041	XP_003396989.1, XP_003396990.1	XP_035743035.1
OG0000041	XP_003394488.1	XP_035742719.1
OG0000041	XP_003394490.1	XP_035742718.1, XP_035742717.1
OG0000042	NP_001272327.1, XP_012163186.1	XP_035732212.1
OG0000043	XP_003392868.1	XP_035731122.1
OG0000044	XP_020723893.1, XP_012175325.1	XP_035744089.1, XP_035744088.1
OG0000045	XP_003395914.2	XP_035720478.1, XP_035720481.1, XP_035720479.1
OG0000045	XP_003403314.1, XP_020719958.1, XP_003402225.2	XP_035731034.1, XP_035731019.1
OG0000045	XP_012164669.1	XP_035720482.1
OG0000045	XP_020718668.1, XP_020718669.1, XP_020718666.1, XP_020718667.1, XP_020718665.1, XP_020718671.1, XP_020718670.1	XP_035742841.1
OG0000046	XP_012176148.2	XP_035742705.1
OG0000046	XP_003397462.1	XP_035734549.1
OG0000048	XP_020720389.1	XP_035728121.1
OG0000050	XP_003398997.1	XP_035737134.1, XP_035737133.1, XP_035737132.1, XP_035737155.1, XP_035737128.1
OG0000050	XP_003396910.2	XP_035718383.1
OG0000052	XP_003397480.1	XP_035730522.1
OG0000052	XP_003397483.1	XP_035729830.1, XP_035729829.1, XP_035729805.1
OG0000053	XP_012169490.1	XP_035739246.1
OG0000054	XP_012175318.1	XP_035724338.1
OG0000054	XP_003402283.1, XP_003403304.1, XP_003403303.1	XP_035724099.1, XP_035724441.1
OG0000055	XP_003401668.1, XP_020722884.1	XP_035726348.1, XP_035726347.1
OG0000055	XP_012170773.1	XP_035720014.1
OG0000056	XP_020723650.1	XP_035726130.1
OG0000056	XP_020721195.1	XP_035718477.1
OG0000056	XP_003399457.3	XP_035728622.1
OG0000056	XP_020723637.1	XP_035733992.1
OG0000056	XP_020718834.1	XP_035741213.1
OG0000056	XP_020720993.1	XP_035729096.1
OG0000057	XP_003395180.1	XP_035734097.1
OG0000057	XP_003400373.1	XP_035721261.1
OG0000057	XP_003395196.1	XP_035734267.1, XP_035734266.1
OG0000057	XP_003395170.1	XP_035734264.1
OG0000057	XP_003395225.1	XP_035734268.1
OG0000058	XP_020722072.1	XP_035739545.1, XP_035739536.1
OG0000058	XP_020723333.1, XP_012173473.1, XP_012173466.1, XP_003397834.1, XP_020720441.1, XP_003403225.1, XP_012164723.2, XP_020719146.1, XP_020719100.1, XP_020720439.1, XP_020720438.1, XP_012167402.1	XP_035728639.1, XP_035728540.1, XP_035728643.1, XP_035728642.1, XP_035728641.1
OG0000060	XP_020721716.1	XP_035738199.1, XP_035738201.1, XP_035738202.1
OG0000061	XP_020723139.1, XP_020723140.1, XP_020723141.1, XP_020723142.1	XP_035721661.1, XP_035721662.1, XP_035721660.1, XP_035721465.1
OG0000062	XP_012175695.2	XP_035737336.1
OG0000062	XP_012169969.1	XP_035728895.1
OG0000062	XP_020722101.1	XP_035728892.1
OG0000064	XP_020721662.1, XP_020723854.1, XP_003399526.1, XP_012169978.1, XP_020721562.1, XP_003402807.2, XP_020721563.1, XP_012169979.1, XP_012170046.1	XP_035728239.1, XP_035741915.1, XP_035741916.1, XP_035741917.1
OG0000065	XP_003398334.1	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1
OG0000067	XP_003397328.1	XP_035734988.1
OG0000067	XP_003400944.1	XP_035729269.1
OG0000067	XP_012169196.1	XP_035718759.1
OG0000067	XP_020722094.1	XP_035729165.1
OG0000067	XP_020722130.1	XP_035724654.1
OG0000069	XP_012169151.1, XP_020721324.1	XP_035737423.1
OG0000069	XP_012169153.1	XP_035737135.1
OG0000070	XP_012167492.2, XP_012167490.1, XP_020720119.1	XP_035741503.1, XP_035741697.1, XP_035741696.1
OG0000073	XP_020722566.1, XP_020719067.1, XP_020719074.1, XP_003393329.1	XP_035733744.1
OG0000074	XP_012175299.1	XP_035719932.1, XP_035736547.1
OG0000077	NP_001267840.1	XP_035738027.1
OG0000077	XP_012166572.2	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1
OG0000078	XP_020723334.1, XP_020723842.1	XP_035741908.1, XP_035741909.1, XP_035741910.1, XP_035741911.1
OG0000079	XP_020718409.1	XP_035741820.1
OG0000079	XP_020718406.1	XP_035741810.1
OG0000079	XP_020718407.1	XP_035741818.1
OG0000079	XP_020718411.1	XP_035741817.1
OG0000080	XP_003399522.1	XP_035724002.1
OG0000080	XP_012169831.1	XP_035722996.1
OG0000081	XP_003401176.1	XP_035739549.1, XP_035739551.1, XP_035739552.1
OG0000081	XP_020722589.1, XP_003403422.1, XP_003403234.2, XP_020722487.1, XP_003401115.1, XP_003401178.1, XP_020722598.1, XP_020722486.1, XP_003401116.2, XP_020722597.1, XP_003403027.1	XP_035739553.1
OG0000082	XP_012171770.1	XP_035733049.1
OG0000084	XP_003393656.1	XP_035738869.1
OG0000084	XP_012172250.1	XP_035739145.1
OG0000085	XP_012164376.1, XP_003395843.1, XP_012164375.1, XP_012164374.1	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1
OG0000085	XP_012176300.1, XP_012176301.1, XP_020724351.1, XP_003394432.1, XP_003394433.1	XP_035737189.1
OG0000086	XP_003401334.1	XP_035718518.1
OG0000086	XP_012172254.1	XP_035737219.1, XP_035737220.1
OG0000087	XP_012172367.1	XP_035734892.1
OG0000087	XP_012172361.1, XP_012172362.1, XP_012172358.1, XP_012172360.1, XP_012172363.1	XP_035735028.1
OG0000088	XP_003398593.1	XP_035718097.1
OG0000089	XP_003397324.1, XP_003397322.1, XP_003397323.1, XP_012166700.1, XP_012166697.1	XP_035732042.1
OG0000089	XP_003396210.1	XP_035729577.1
OG0000091	XP_020721177.1, XP_003402576.2, XP_020721343.1, XP_012169463.2	XP_035743855.1
OG0000092	XP_020718694.1	XP_035729950.1
OG0000092	XP_020718989.1, XP_003395974.1	XP_035719716.1, XP_035719715.1
OG0000092	XP_020718993.1, XP_020718992.1, XP_003395973.1	XP_035719719.1
OG0000092	XP_003400287.1, XP_012171069.1	XP_035718227.1
OG0000094	XP_012164578.1	XP_035742083.1, XP_035735320.1, XP_035735319.1, XP_035735318.1
OG0000094	XP_012170607.1	XP_035729864.1
OG0000095	XP_003398964.1	XP_035720088.1, XP_035720091.1, XP_035720570.1, XP_035720568.1, XP_035720569.1, XP_035720572.1, XP_035721650.1, XP_035721665.1, XP_035721664.1, XP_035720092.1
OG0000096	XP_003400671.1, XP_003400637.1	XP_035735801.1
OG0000096	XP_003395393.1, XP_012166067.2	XP_035724668.1, XP_035724666.1
OG0000097	XP_012170206.1, XP_003399689.1	XP_035742312.1, XP_035742314.1, XP_035742313.1
OG0000097	XP_012173498.1, XP_020723033.1	XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1
OG0000098	XP_012168084.1, XP_012168083.1, XP_012168086.1, XP_012168085.1, XP_003398369.1	XP_035733072.1, XP_035733137.1
OG0000099	XP_020722786.1	XP_035723282.1, XP_035723292.1, XP_035723300.1
OG0000099	XP_012172596.1	XP_035721767.1
OG0000099	XP_020722424.1	XP_035729911.1
OG0000100	XP_003399794.1, XP_020721436.1, XP_020721435.1, XP_012170386.1, XP_012170387.1, XP_012170385.1, XP_012170380.1, XP_012170379.1	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1
OG0000101	XP_003397360.1	XP_035724161.1
OG0000101	XP_020719744.1	XP_035724180.1
OG0000102	XP_020722917.1	XP_035722712.1
OG0000102	XP_012173277.1	XP_035722713.1
OG0000103	XP_012168396.1, XP_012168395.1, XP_020720588.1	XP_035728991.1
OG0000103	XP_012168399.1	XP_035729002.1, XP_035728999.1
OG0000103	XP_012168403.1	XP_035729084.1, XP_035729085.1, XP_035729086.1, XP_035729088.1
OG0000106	XP_003393433.2	XP_035736824.1
OG0000106	XP_012164627.2	XP_035733484.1
OG0000107	XP_012169401.1, XP_020720964.1	XP_035735907.1
OG0000108	XP_012174803.1	XP_035729104.1, XP_035729105.1
OG0000109	XP_003398706.1, XP_003398707.1	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1
OG0000110	XP_003400537.1, XP_012171442.1, XP_012171440.1, XP_012171439.1	XP_035727648.1, XP_035727647.1
OG0000110	XP_003400818.1	XP_035738900.1
OG0000111	XP_012165042.1	XP_035718068.1
OG0000111	XP_012173034.1	XP_035719146.1
OG0000112	XP_012168598.1, XP_020720998.1, XP_012168597.1, XP_012168596.1, XP_012168595.1	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1
OG0000112	XP_012163934.1	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1
OG0000113	XP_020718272.1, XP_003394925.1	XP_035725454.1
OG0000114	XP_020718756.1	XP_035719468.1
OG0000115	XP_003395150.1, XP_003395075.1	XP_035719374.1
OG0000115	XP_012163601.1	XP_035728117.1
OG0000116	XP_012167612.1, XP_020720167.1, XP_020720163.1, XP_020720164.1, XP_020720166.1, XP_012167610.1, XP_012167613.1, XP_020720165.1, XP_003397905.1, XP_003397904.1, XP_012167611.1, XP_003397903.1	XP_035728572.1, XP_035728573.1
OG0000116	XP_020720215.1, XP_003397775.1	XP_035728508.1, XP_035728506.1, XP_035728507.1
OG0000117	XP_012176486.1	XP_035721151.1
OG0000117	XP_003398039.1	XP_035728960.1
OG0000119	XP_020720337.1, XP_020720348.1, XP_020720338.1, XP_020720336.1, XP_020720341.1	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1
OG0000120	XP_003400542.1, XP_012171451.1, XP_012171452.1, XP_012171449.1, XP_012171450.1, XP_012171447.1, XP_012171454.1, XP_012171455.1	XP_035743508.1
OG0000122	XP_012165001.1	XP_035742190.1
OG0000122	XP_012174370.1	XP_035722129.1
OG0000122	XP_003401982.1	XP_035738975.1
OG0000122	XP_012173486.1	XP_035738980.1
OG0000123	XP_003397633.1, XP_012167209.1, XP_012167212.1, XP_012167211.1, XP_012167208.1, XP_012167210.1	XP_035725246.1, XP_035725252.1
OG0000124	XP_012164839.1	XP_035724659.1
OG0000125	XP_003402889.2, XP_003402892.1, XP_003402547.3	XP_035743368.1, XP_035743367.1
OG0000126	XP_012173626.1, XP_003402194.1, XP_020723219.1, XP_020723220.1, XP_020723218.1, XP_012173627.1	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1
OG0000127	XP_003393060.1, XP_003393061.1, XP_012163415.1, XP_012163409.1	XP_035726611.1, XP_035726612.1, XP_035720274.1
OG0000127	XP_003393059.1, XP_020718439.1, XP_020718434.1	XP_035726374.1
OG0000129	XP_003398638.1, XP_012168489.1, XP_012168490.1, XP_012168488.1, XP_012168487.1, XP_012168486.1, XP_012168485.1, XP_012168484.1	XP_035741994.1, XP_035741995.1
OG0000130	XP_020719394.1, XP_003396651.1	XP_035721963.1
OG0000130	XP_020719405.1, XP_003396650.1, XP_012165703.1	XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1
OG0000130	XP_003396649.1, XP_012165702.1	XP_035721444.1
OG0000131	XP_003398970.1	XP_035742296.1
OG0000131	XP_003396371.1	XP_035733339.1
OG0000131	XP_003396370.1	XP_035733338.1
OG0000132	XP_003402425.1	XP_035721782.1, XP_035721781.1
OG0000132	XP_003402485.1	XP_035732604.1
OG0000133	XP_012176311.1, XP_020724157.1, XP_020724156.1, XP_020724158.1	XP_035741242.1
OG0000134	XP_003396199.1	XP_035740651.1
OG0000135	XP_003393110.1	XP_035717163.1
OG0000135	XP_003394582.1	XP_035725594.1
OG0000136	XP_012165909.1, XP_020719676.1, XP_012165896.1, XP_020723712.1, XP_003396782.1, XP_003402992.1	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1
OG0000137	XP_012164639.1, XP_012164637.1, XP_012164636.1, XP_012164638.1	XP_035738396.1
OG0000137	XP_012170724.1	XP_035732267.1
OG0000138	XP_003397345.2, XP_012166619.1	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1
OG0000138	XP_003397339.1	XP_035722005.1
OG0000139	XP_003399195.1	XP_035719417.1, XP_035719753.1
OG0000141	XP_003400951.1	XP_035723074.1, XP_035723075.1, XP_035723073.1
OG0000141	XP_012174890.1, XP_003396959.1	XP_035722392.1, XP_035722391.1
OG0000143	XP_003393823.1	XP_035726588.1
OG0000143	XP_020722543.1, XP_012175058.1, XP_020722547.1, XP_020722544.1, XP_020722545.1	XP_035726587.1, XP_035726585.1, XP_035726586.1
OG0000144	XP_003401778.1	XP_035721747.1
OG0000145	XP_003393298.1	XP_035739706.1, XP_035739705.1
OG0000145	XP_012164960.1	XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1
OG0000146	XP_003402123.1, XP_003397806.1	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1
OG0000147	XP_020721202.1, XP_020721198.1, XP_020721193.1, XP_003393447.1	XP_035736865.1, XP_035736867.1, XP_035736868.1, XP_035736866.1
OG0000147	XP_012164120.1, XP_012164121.1, XP_012164119.1	XP_035734708.1
OG0000149	XP_003394540.1	XP_035726837.1
OG0000149	XP_012175460.1, XP_020724080.1	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1
OG0000150	XP_012170499.1, XP_012170501.1, XP_012170500.1, XP_003399855.1, XP_020721682.1, XP_012170498.1	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1
OG0000151	XP_003402871.1, XP_012174602.1, XP_012174601.1, XP_012174604.1, XP_012174600.1, XP_012174599.1	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1
OG0000152	XP_012173071.1, XP_012173070.1, XP_012173069.1, XP_012173068.1, XP_012173075.1, XP_012173067.1	XP_035722053.1
OG0000153	XP_003400832.1, XP_012171882.1, XP_012171883.1	XP_035727062.1
OG0000154	XP_012167367.1, XP_012167365.1	XP_035743057.1, XP_035743056.1
OG0000156	XP_003396400.1	XP_035723493.1
OG0000157	XP_020721948.1	XP_035732282.1
OG0000157	XP_003400109.2	XP_035732281.1
OG0000158	XP_012164498.1	XP_035740201.1
OG0000160	XP_012168631.1	XP_035723999.1
OG0000162	XP_012168555.1	XP_035731205.1
OG0000162	XP_003397561.2	XP_035740246.1, XP_035740247.1
OG0000164	XP_020718981.1, XP_020718982.1, XP_020718980.1	XP_035732024.1
OG0000165	XP_003397183.1, XP_012166526.1	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1
OG0000165	XP_012169083.1	XP_035734576.1
OG0000166	XP_012175400.2, XP_012175364.1, XP_012175388.1	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1
OG0000168	XP_020724242.1	XP_035736898.1
OG0000168	XP_020718321.1	XP_035731474.1
OG0000170	XP_012168004.1	XP_035742479.1
OG0000170	XP_012168005.1	XP_035742502.1, XP_035742492.1, XP_035742486.1
OG0000171	XP_003396553.1	XP_035741201.1, XP_035741202.1
OG0000171	XP_012174011.1	XP_035741205.1, XP_035741206.1
OG0000172	XP_020721690.1, XP_012170544.1, XP_012170538.1, XP_012170539.1, XP_012170540.1, XP_012170541.1, XP_012170542.1, XP_012170543.1	XP_035738100.1, XP_035738101.1
OG0000173	XP_012172817.1, XP_012172816.1, XP_012172814.1, XP_012172815.1	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1
OG0000174	XP_003400605.1, XP_003400606.1, XP_012171555.1, XP_012171554.1, XP_012171558.1, XP_012171557.1	XP_035731433.1
OG0000175	XP_020721993.1, XP_003400937.1, XP_012171930.1, XP_012171929.1	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1
OG0000176	XP_003401745.1	XP_035735356.1
OG0000176	XP_003393819.1	XP_035737411.1
OG0000177	XP_003398931.1	XP_035739406.1
OG0000177	XP_012169036.1	XP_035739374.1
OG0000177	XP_012169039.1	XP_035739564.1
OG0000178	XP_003398577.1, XP_020720493.1	XP_035725180.1
OG0000179	XP_012173790.1, XP_003402257.2	XP_035741505.1
OG0000179	XP_012173824.1, XP_003402266.1	XP_035719102.1, XP_035719101.1
OG0000179	XP_012168601.1	XP_035737641.1
OG0000180	XP_012175161.1, XP_012175160.1, XP_012175162.1, XP_003403152.1, XP_003403151.1, XP_020723773.1	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1
OG0000181	XP_003399390.1, XP_012169773.1, XP_012169774.1, XP_012169772.1	XP_035731090.1, XP_035731089.1, XP_035731092.1, XP_035731091.1
OG0000182	XP_012167067.1, XP_012167065.1, XP_003397602.1	XP_035731858.1, XP_035731856.1, XP_035731855.1, XP_035731857.1, XP_035731854.1, XP_035731853.1, XP_035731859.1
OG0000183	XP_012167140.1, XP_012167142.1, XP_003397591.1	XP_035738622.1, XP_035738621.1, XP_035738620.1, XP_035738623.1
OG0000183	XP_012163118.1	XP_035739701.1
OG0000185	XP_012171763.1, XP_012171761.1, XP_012171762.1, XP_012171760.1, XP_012171764.1	XP_035733203.1, XP_035733201.1, XP_035733205.1, XP_035733204.1, XP_035733207.1, XP_035733206.1, XP_035733199.1, XP_035733200.1
OG0000186	XP_003393867.1, XP_020723943.1, XP_003393865.1, XP_003393866.1	XP_035733371.1, XP_035733372.1, XP_035733373.1, XP_035733370.1, XP_035733460.1, XP_035733368.1, XP_035733369.1
OG0000187	XP_012167100.1, XP_003397755.1, XP_012167097.1, XP_020720318.1, XP_020720316.1, XP_012167099.1, XP_012167098.1	XP_035731676.1, XP_035731677.1
OG0000188	XP_003399544.1	XP_035731793.1
OG0000188	XP_003399969.1	XP_035740046.1
OG0000189	XP_012167526.1	XP_035728865.1
OG0000189	XP_003393320.1, XP_012167516.1	XP_035728855.1
OG0000190	XP_012172000.1, XP_012171998.1, XP_012171999.1	XP_035728040.1, XP_035728039.1
OG0000191	XP_012172676.1	XP_035735127.1
OG0000192	XP_003393731.1	XP_035718570.1, XP_035718565.1, XP_035718569.1, XP_035718568.1, XP_035718562.1, XP_035718563.1, XP_035718564.1
OG0000194	XP_003397792.2	XP_035728644.1
OG0000194	XP_003397793.1	XP_035728648.1
OG0000194	XP_003397791.1	XP_035728547.1
OG0000196	XP_012170863.1, XP_003400132.1, XP_020721794.1, XP_012170865.1	XP_035720910.1
OG0000199	XP_012172381.1	XP_035729157.1
OG0000200	XP_003394667.1	XP_035719894.1, XP_035719895.1
OG0000200	XP_003398779.1, XP_012168586.1	XP_035718373.1
OG0000201	XP_020720655.1	XP_035742700.1
OG0000202	XP_012165963.1, XP_012165962.1, XP_012165961.1, XP_003396825.1, XP_020719260.1	XP_035735523.1, XP_035735525.1, XP_035735528.1, XP_035735524.1, XP_035735526.1, XP_035735527.1, XP_035735520.1, XP_035735522.1
OG0000202	XP_020719240.1, XP_012165749.1, XP_012165750.1	XP_035742672.1, XP_035742669.1, XP_035742670.1
OG0000203	XP_003396251.1	XP_035739190.1
OG0000203	XP_012165494.1	XP_035727456.1, XP_035727445.1, XP_035727495.1, XP_035727486.1, XP_035727526.1, XP_035727477.1, XP_035727505.1, XP_035727467.1, XP_035727516.1
OG0000204	XP_003400095.1	XP_035736371.1, XP_035736362.1, XP_035736353.1, XP_035736365.1
OG0000205	XP_012176340.1, XP_003394538.1	XP_035727194.1, XP_035727191.1, XP_035727193.1
OG0000206	XP_012170362.1	XP_035731791.1
OG0000206	XP_020721443.1	XP_035731805.1
OG0000207	XP_012169552.1	XP_035718709.1
OG0000207	XP_012169920.1	XP_035726226.1
OG0000207	XP_012169919.1	XP_035726227.1
OG0000208	XP_003399477.1	XP_035726225.1
OG0000208	XP_003394143.1, XP_003394144.1	XP_035721855.1
OG0000209	XP_012167030.1, XP_012167033.1, XP_012167031.1, XP_012167034.1, XP_012167036.1, XP_012167037.1	XP_035728112.1
OG0000210	XP_003396128.1	XP_035733688.1
OG0000210	XP_012167928.1	XP_035732804.1
OG0000210	XP_012164486.1	XP_035723457.1
OG0000212	XP_003393900.1	XP_035737335.1
