Orthogroup	Bombus_terrestris	Drosophila_melanogaster
OG0000050	XP_003398997.1, XP_003396910.2	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1
OG0000052	XP_003397480.1, XP_003397483.1	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2
OG0000053	XP_012169560.1	NP_610793.1
OG0000054	XP_003402283.1, XP_003403304.1, XP_003403303.1	NP_477282.2, NP_729146.1, NP_729147.1
OG0000055	XP_003401668.1, XP_020722884.1	NP_001284925.1
OG0000055	XP_012170773.1	NP_650904.3
OG0000055	XP_020718283.1	NP_609815.1
OG0000055	XP_012170213.1	NP_001246914.1
OG0000056	XP_020723650.1, XP_020721195.1	NP_001369131.1
OG0000056	XP_003399457.3	NP_647937.2
OG0000056	XP_020720993.1	NP_995958.2
OG0000057	XP_003400373.1, XP_003395196.1	NP_524290.2
OG0000057	XP_003395170.1	NP_523842.2
OG0000057	XP_003395225.1	NP_729172.1
OG0000060	XP_020721716.1	NP_001163168.1
OG0000061	XP_003392898.1	NP_001097692.1
OG0000061	XP_020723139.1, XP_020723140.1, XP_020723141.1, XP_020723142.1, XP_003401246.1, XP_003401245.1, XP_012172395.1, XP_020722644.1	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1
OG0000062	XP_012175695.2	NP_001261156.1
OG0000065	XP_012168045.1, XP_012168044.1, XP_003403408.2, XP_003398335.1	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2
OG0000067	XP_003397328.1	NP_001284994.1
OG0000067	XP_012169196.1	NP_524243.2, NP_572330.2
OG0000067	XP_020722094.1	NP_001261491.1
OG0000073	XP_003393467.1	NP_001246864.1, NP_001163428.1, NP_996064.1, NP_649186.1
OG0000074	XP_003396140.1	NP_536776.2
OG0000077	NP_001267840.1	NP_001137778.2, NP_001259986.1
OG0000077	XP_012166572.2	NP_001015405.3
OG0000080	XP_003399522.1	NP_001262255.1
OG0000080	XP_012169831.1	NP_001262254.1
OG0000082	XP_012171772.1, XP_012171770.1, XP_012171768.1, XP_003400713.1, XP_020722282.1, XP_003400712.1	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1
OG0000085	XP_012164376.1, XP_003395843.1, XP_012164375.1, XP_012164374.1, XP_012176300.1, XP_012176301.1, XP_020724351.1, XP_003394432.1, XP_003394433.1	NP_651221.1
OG0000086	XP_003401334.1	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1
OG0000086	XP_012172254.1	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1
OG0000087	XP_020722624.1, XP_012172367.1	NP_001261716.1
OG0000087	XP_012172361.1, XP_012172362.1, XP_012172358.1, XP_012172360.1, XP_012172363.1, XP_012172366.1	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1
OG0000088	XP_003398593.1	NP_476589.4
OG0000089	XP_003397324.1, XP_003397322.1, XP_003397323.1, XP_012166700.1, XP_012166697.1	NP_001162840.1, NP_001259800.1
OG0000091	XP_020721177.1, XP_003402576.2, XP_020721343.1, XP_012169463.2	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2
OG0000092	XP_020718694.1, XP_020718989.1, XP_003395974.1, XP_020718993.1, XP_020718992.1, XP_003395973.1, XP_003400287.1, XP_012171069.1	NP_001262592.1
OG0000094	XP_012170607.1	NP_001284983.1, NP_651446.2, NP_650069.2
OG0000094	XP_003399925.2	NP_651889.3, NP_001189331.1, NP_651891.2
OG0000096	XP_003400671.1, XP_003400637.1	NP_726022.1, NP_001246550.1
OG0000096	XP_003395393.1, XP_012166067.2	NP_611542.2
OG0000097	XP_012170206.1, XP_003399689.1, XP_012173498.1, XP_020723033.1	NP_524611.1
OG0000098	XP_012168084.1, XP_012168083.1, XP_012168086.1, XP_012168085.1, XP_003398369.1	NP_001260487.1
OG0000099	XP_020722786.1	NP_608954.1
OG0000099	XP_012172596.1	NP_001034071.1
OG0000099	XP_020722424.1	NP_651628.1
OG0000100	XP_003399794.1, XP_020721436.1, XP_020721435.1, XP_012170386.1, XP_012170387.1, XP_012170385.1, XP_012170380.1, XP_012170379.1	NP_001262908.1, NP_001262907.1
OG0000101	XP_003397360.1	NP_001286204.1, NP_610403.1, NP_609640.1
OG0000101	XP_020719744.1	NP_001285802.1, NP_001015212.1
OG0000102	XP_020722917.1, XP_003401872.1, XP_020722911.1, XP_012173289.1, XP_012173290.1, XP_012173277.1	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2
OG0000103	XP_012168396.1, XP_012168395.1, XP_020720588.1	NP_001303368.1
OG0000108	XP_012174803.1	NP_648918.1
OG0000109	XP_003398706.1, XP_003398707.1	NP_648392.1, NP_001245736.1
OG0000110	XP_003400537.1, XP_012171442.1, XP_012171440.1, XP_012171439.1, XP_003400818.1	NP_788521.2, NP_729246.2, NP_729014.1
OG0000111	XP_012173034.1	NP_650264.1
OG0000112	XP_012163934.1	NP_001369123.1
OG0000113	XP_020718272.1, XP_003394925.1	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1
OG0000114	XP_020718755.1	NP_572582.1, NP_651168.1, NP_524362.2, NP_001303421.1, NP_650380.2
OG0000115	XP_003395150.1, XP_003395075.1, XP_012163601.1	NP_001261040.1
OG0000117	XP_012176486.1	NP_001286115.1
OG0000117	XP_003398039.1	NP_001262809.1
OG0000120	XP_012176279.1, XP_003400542.1, XP_012171451.1, XP_012171452.1, XP_012171449.1, XP_012171450.1, XP_012171447.1, XP_012171454.1, XP_012171455.1	NP_001260010.1, NP_001162947.1
OG0000122	XP_012165001.1	NP_001287102.1, NP_001163462.1, NP_649023.1
OG0000122	XP_012174370.1	NP_610807.3
OG0000123	XP_003397633.1, XP_012167209.1, XP_012167212.1, XP_012167211.1, XP_012167208.1, XP_012167210.1	NP_001259925.1
OG0000124	XP_012164839.1	NP_001260435.1, NP_001245746.1
OG0000125	XP_003402889.2, XP_003402892.1, XP_003402547.3	NP_651172.1, NP_001097888.1
OG0000126	XP_012173626.1, XP_003402194.1, XP_020723219.1, XP_020723220.1, XP_020723218.1, XP_012173627.1	NP_477498.1, NP_996167.1
OG0000127	XP_003393060.1, XP_003393061.1, XP_012163415.1, XP_012163409.1	NP_001261916.1
OG0000127	XP_003393059.1, XP_020718439.1, XP_020718434.1	NP_477127.1
OG0000129	XP_003398638.1, XP_012168489.1, XP_012168490.1, XP_012168488.1, XP_012168487.1, XP_012168486.1, XP_012168485.1, XP_012168484.1	NP_001188842.2
OG0000130	XP_020719394.1, XP_003396651.1, XP_020719405.1, XP_003396650.1, XP_012165703.1	NP_723165.2
OG0000130	XP_003396649.1, XP_012165702.1	NP_001014474.3
OG0000131	XP_003398970.1	NP_001259087.1
OG0000131	XP_003396371.1, XP_003396370.1	NP_001097667.1
OG0000132	XP_003402425.1	NP_001245934.1, NP_001137808.1, NP_609121.2
OG0000132	XP_003402485.1	NP_001245823.1, NP_724088.2, NP_724087.1
OG0000133	XP_012176311.1, XP_020724157.1, XP_020724156.1, XP_020724158.1	NP_001368939.1
OG0000134	XP_003396199.1	NP_525003.2
OG0000134	XP_003397204.1	NP_610678.1
OG0000135	XP_003393110.1	NP_001286904.1
OG0000135	XP_003394582.1	NP_524655.1
OG0000136	XP_012165909.1, XP_020719676.1, XP_012165896.1, XP_020723712.1, XP_003396782.1, XP_003402992.1	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1
OG0000137	XP_012164639.1, XP_012164637.1, XP_012164636.1, XP_012164638.1, XP_012175108.1, XP_012170724.1	NP_727460.1, NP_611465.2
OG0000138	XP_003397345.2, XP_012166619.1, XP_003397339.1	NP_001036303.2
OG0000139	XP_003399181.1, XP_003399195.1	NP_651882.1
OG0000141	XP_003400951.1	NP_001287037.1
OG0000141	XP_012174890.1, XP_003396959.1	NP_724101.4
OG0000143	XP_003393823.1, XP_020722543.1, XP_012175058.1, XP_020722547.1, XP_020722544.1, XP_020722545.1	NP_001259687.1
OG0000144	XP_003401782.1, XP_003401778.1, XP_003401781.1	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1
OG0000145	XP_003393298.1, XP_012164960.1	NP_651930.2
OG0000146	XP_003402123.1	NP_648843.1
OG0000146	XP_012176245.1	NP_610294.1
OG0000147	XP_020721202.1, XP_020721198.1, XP_020721193.1, XP_003393447.1, XP_012164120.1, XP_012164121.1, XP_012164119.1	NP_001245762.1
OG0000149	XP_003394540.1	NP_648425.1
OG0000149	XP_012175460.1, XP_020724080.1	NP_647686.1
OG0000150	XP_012170499.1, XP_012170501.1, XP_012170500.1, XP_003399855.1, XP_020721682.1, XP_012170498.1	NP_001246198.1
OG0000151	XP_003402871.1, XP_012174602.1, XP_012174601.1, XP_012174604.1, XP_012174600.1, XP_012174599.1	NP_001287124.1
OG0000152	XP_012173071.1, XP_012173070.1, XP_012173069.1, XP_012173068.1, XP_012173075.1, XP_012173067.1	NP_001260743.1
OG0000153	XP_003400832.1, XP_012171882.1, XP_012171883.1	NP_001261584.1
OG0000154	XP_012167367.1, XP_012167365.1	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1
OG0000156	XP_003396400.1	NP_647767.1
OG0000157	XP_020721948.1, XP_003400109.2	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1
OG0000158	XP_012164498.1	NP_648354.1
OG0000160	XP_012168631.1	NP_001034016.1, NP_649019.2
OG0000161	XP_003394677.1, XP_003394675.1, XP_020724240.1	NP_001261749.1, NP_788501.1
OG0000162	XP_012168555.1	NP_001097669.2
OG0000162	XP_012170034.1	NP_001285015.1
OG0000162	XP_003397561.2	NP_001262916.1
OG0000164	XP_020718981.1, XP_020718982.1, XP_020718980.1	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1
OG0000165	XP_003397183.1, XP_012166526.1	NP_001245593.1
OG0000165	XP_012169083.1	NP_001284986.1
OG0000166	XP_012175400.2, XP_012175364.1, XP_012175388.1	NP_001097498.1
OG0000168	XP_020724242.1	NP_996226.2
OG0000168	XP_020719024.1	NP_001261500.1
OG0000168	XP_020718321.1	NP_001261571.1, NP_001246162.1
OG0000171	XP_003396553.1, XP_012174011.1	NP_609310.2, NP_609309.1
OG0000173	XP_012172817.1, XP_012172816.1, XP_012172814.1, XP_012172815.1	NP_001247239.1
OG0000174	XP_003400605.1, XP_003400606.1, XP_012171555.1, XP_012171554.1, XP_012171558.1, XP_012171557.1	NP_725682.2, NP_001286533.1, NP_611218.1
OG0000175	XP_020721993.1, XP_003400937.1, XP_012171930.1, XP_012171929.1	NP_001163218.1
OG0000177	XP_003398931.1	NP_001261827.1
OG0000177	XP_012169036.1	NP_001261829.1
OG0000177	XP_012169039.1	NP_001261830.1
OG0000178	XP_003398577.1, XP_020720493.1	NP_001356914.1
OG0000179	XP_012173824.1, XP_003402266.1	NP_523366.2, NP_648697.1
OG0000180	XP_012175161.1, XP_012175160.1, XP_012175162.1, XP_003403152.1, XP_003403151.1, XP_020723773.1	NP_001027161.1
OG0000182	XP_012167067.1, XP_012167065.1, XP_003397602.1	NP_001163460.1
OG0000183	XP_012167140.1, XP_012167142.1, XP_003397591.1	NP_001287555.1
OG0000183	XP_012163118.1	NP_524074.1
OG0000185	XP_003400788.1, XP_012171763.1, XP_012171761.1, XP_012171762.1, XP_012171760.1, XP_012171764.1	NP_001259439.1
OG0000186	XP_003393867.1, XP_020723943.1, XP_003393865.1, XP_003393866.1	NP_573320.1
OG0000187	XP_012167100.1, XP_003397755.1, XP_012167097.1, XP_020720318.1, XP_020720316.1, XP_012167099.1, XP_012167098.1	NP_001188856.1
OG0000188	XP_003399969.1	NP_477462.1
OG0000188	XP_003395186.1	NP_524551.2, NP_476974.1
OG0000189	XP_012167526.1	NP_651982.1, NP_001036733.1, NP_001262788.1
OG0000189	XP_012167477.1	NP_650925.1
OG0000189	XP_003393320.1, XP_012167516.1	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1
OG0000190	XP_012172000.1, XP_012171998.1, XP_012171999.1	NP_732717.1
OG0000191	XP_012172676.1	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3
OG0000192	XP_003393731.1	NP_611994.3
OG0000194	XP_003397792.2	NP_648207.1
OG0000196	XP_003399490.1	NP_001261758.1
OG0000196	XP_012170863.1, XP_003400132.1, XP_020721794.1, XP_012170865.1	NP_730938.1
OG0000197	XP_012171975.1, XP_012171976.1, XP_012171981.1, XP_012171980.1, XP_012171979.1, XP_003400969.1	NP_001287082.1
OG0000200	XP_003394667.1	NP_001262796.1
OG0000200	XP_003398779.1, XP_012168586.1	NP_001259616.1
OG0000201	XP_020720655.1	NP_649026.1
OG0000201	XP_012168139.1, XP_012168138.1	NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1, NP_569875.2
OG0000202	XP_020719240.1, XP_012165749.1, XP_012165750.1	NP_001260674.1
OG0000203	XP_003396251.1	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1
OG0000203	XP_012165494.1	NP_648067.2
OG0000204	XP_003400095.1	NP_001188590.1
OG0000205	XP_012176340.1, XP_003394538.1	NP_001097505.1
OG0000206	XP_012170362.1	NP_650893.2
OG0000206	XP_020721443.1	NP_001097707.1, NP_001287222.1
OG0000207	XP_012169552.1	NP_001286310.1, NP_001287091.1
OG0000207	XP_012169920.1, XP_012169919.1	NP_001246139.1
OG0000208	XP_003399477.1	NP_001137606.1
OG0000209	XP_012167030.1, XP_012167033.1, XP_012167031.1, XP_012167034.1, XP_012167036.1, XP_012167037.1	NP_001163199.1
OG0000212	XP_003393900.1, XP_003403182.1, XP_012174957.1	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1
OG0000213	XP_003399166.1, XP_003399165.1, XP_012169441.1, XP_012169439.1, XP_012169438.1, XP_012169436.1	NP_648589.1
OG0000214	XP_003397389.1	NP_001260290.1
OG0000214	XP_003402159.1	NP_001247324.1
OG0000215	XP_012172166.1, XP_003401025.1	NP_649139.1
OG0000216	XP_003401971.1	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1
OG0000217	XP_003396151.1	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1
OG0000218	XP_012172566.2	NP_649086.2
OG0000219	XP_003394637.1	NP_610764.1
OG0000220	XP_020719485.1, XP_020719486.1, XP_020719487.1, XP_012165070.1, XP_012165068.1, XP_003396344.1	NP_650528.1
OG0000221	XP_020720834.1	NP_001036320.3
OG0000223	XP_012167632.1	NP_523986.2
OG0000223	XP_003394761.1	NP_524142.2, NP_524141.1
OG0000224	XP_020718441.1, XP_020718442.1, XP_012163516.1, XP_020718287.1, NP_001267823.1, XP_012163168.1	NP_647862.1, NP_728942.1
OG0000225	XP_020718472.1, XP_020718473.1, XP_012174019.1	NP_536756.1
OG0000226	XP_012175521.2, XP_012175447.1	NP_001356958.1
OG0000226	XP_003400345.1	NP_611241.2
OG0000227	XP_012169873.1, XP_012169872.1, XP_012169871.1, XP_003399621.1	NP_001262022.1
OG0000229	XP_003396456.1	NP_726223.1, NP_001303360.1, NP_001246468.1
OG0000230	XP_012170718.1	NP_001286852.1
OG0000231	XP_020720652.1, XP_003398422.1	NP_650028.1, NP_650029.1, NP_001285882.1
OG0000232	XP_003400659.1, XP_020722317.1	NP_001303567.1
OG0000233	XP_003393462.1	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1
OG0000234	XP_003396094.1, XP_003396093.1, XP_012164939.1	NP_726740.1, NP_649880.1, NP_649881.1
OG0000235	XP_012167720.1, XP_012167719.1, XP_012167718.1, XP_012167716.1	NP_001261046.1
OG0000236	XP_012172199.1	NP_524368.5
OG0000237	XP_020722245.1	NP_523863.1
OG0000237	XP_020722198.1	NP_523862.1
OG0000239	XP_003400044.1, XP_020721966.1, XP_012170676.1, XP_012170677.1	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1
OG0000241	NP_001274494.1, XP_003403294.1, XP_012168805.1	NP_001097059.1, NP_647821.2, NP_001285749.1
OG0000243	XP_012164726.1	NP_608584.1, NP_523761.2
OG0000244	XP_003400569.1	NP_610117.1
OG0000245	XP_003400548.1	NP_476812.1, NP_610443.1, NP_524760.1
OG0000246	XP_003399661.1	NP_724163.1
OG0000246	XP_003399659.1, XP_020721543.1	NP_476592.1
OG0000247	XP_020718842.1	NP_651898.2, NP_001096949.1
OG0000247	XP_012164509.1	NP_649833.1, NP_648548.1
OG0000249	XP_012167204.1, XP_012166752.1, XP_012166751.1	NP_572996.1
OG0000250	XP_003398082.1, XP_003398251.1	NP_650508.1, NP_001285102.1
OG0000252	XP_020719888.1, XP_003392873.1, XP_012167405.1, XP_012167457.1	NP_730950.2
OG0000253	XP_003401070.1	NP_001162737.1
OG0000254	XP_003397222.1	NP_732295.1
OG0000254	XP_003395562.1	NP_001368946.1
OG0000255	XP_012169788.1	NP_001033900.2, NP_572436.1
OG0000256	NP_001295235.1, XP_012176496.1	NP_732900.1
OG0000257	XP_020722268.1, XP_020722269.1, XP_003400699.1	NP_001262861.1
OG0000257	XP_020722264.1	NP_001287485.1
OG0000259	XP_020720037.1	NP_723538.3
OG0000261	XP_020718460.1, XP_003395135.1, XP_003395133.1	NP_001286161.1, NP_610318.1, NP_610319.2
OG0000263	XP_012168652.1	NP_001285111.1
OG0000264	XP_012166540.1	NP_001033939.2
OG0000264	XP_012166688.1, XP_003397315.1	NP_476735.1
OG0000265	XP_012175738.1	NP_649517.1, NP_650190.1
OG0000266	XP_003401364.1	NP_524387.1
OG0000266	XP_012172464.1, XP_012172463.1	NP_001285202.1
OG0000268	XP_020718561.1	NP_001285901.1, NP_001262995.1
OG0000269	XP_012170150.1, XP_012170154.1, XP_012170161.1, XP_012170122.1, XP_020723319.1, XP_012170166.1	NP_001284901.1
OG0000270	XP_012166216.1, XP_020719789.1, XP_012174889.2	NP_001034048.2
OG0000270	XP_003402376.1	NP_001163596.2
OG0000271	XP_012163596.1, XP_003395149.2, XP_012163598.1, XP_012163597.1, XP_012163600.1	NP_001014620.1, NP_731788.1, NP_731790.1
OG0000272	XP_020723485.1	NP_995675.1
OG0000272	XP_012167932.1	NP_001162795.1, NP_001356885.1
OG0000273	XP_012163322.1, XP_003394955.1	NP_001097437.1
OG0000274	XP_003395670.1	NP_001014485.3
OG0000274	XP_003395603.1	NP_001036681.1
OG0000275	XP_003402700.1, XP_012174414.1, XP_003402699.1, XP_012173152.1, XP_003401772.1, XP_020722894.1, XP_003401771.1, XP_003401770.1, XP_003401883.1, XP_012173305.1, XP_003401825.1	NP_648909.1
OG0000276	XP_003402777.1	NP_649535.2
OG0000277	XP_012171242.1, XP_003400456.1	NP_647800.1
OG0000278	XP_003395965.1	NP_612039.1, NP_647794.1
OG0000279	XP_003400301.1	NP_001137708.2, NP_001356890.1
OG0000281	XP_020723531.1, XP_003402779.1	NP_001350861.1
OG0000283	XP_003395709.1	NP_001286595.1
OG0000284	XP_012165662.1	NP_727448.1
OG0000284	XP_003396501.1	NP_001259432.1
OG0000285	XP_012163289.1, XP_003394928.1	NP_001163186.1
OG0000286	XP_020719491.1, XP_012165091.1, XP_012165093.1, XP_012165095.1, XP_003396395.1, XP_012165096.1, XP_012165097.1	NP_729792.1
OG0000287	XP_012165419.1	NP_001036660.1
OG0000287	XP_020719656.1, XP_020719657.1, XP_003396391.1	NP_001260729.1
OG0000288	XP_012176000.1	NP_476934.2
OG0000288	XP_003395685.1	NP_001188784.1
OG0000289	XP_003393170.1, XP_012175778.1, XP_012175785.1, XP_012175792.1, XP_012175770.1	NP_001303316.1
OG0000291	XP_020722949.1	NP_648883.1, NP_648882.1
