Orthogroup	Bombus_terrestris	Aedes_aegypti
OG0000012	XP_003402915.1, XP_020723675.1	XP_001655419.1, XP_021709641.1
OG0000012	XP_003402916.2	XP_001658080.2, XP_001663002.1, XP_001652943.1, XP_001663900.2, XP_001658491.2, XP_001663898.2, XP_021707969.1, XP_001663895.2, XP_001660673.2, XP_001660676.2, XP_021703076.1, XP_001657786.1, XP_001650145.1, XP_021712427.1, XP_021707394.1
OG0000012	XP_003401050.2, XP_003401048.1	XP_001651150.1, XP_001651148.1, XP_001651149.1, XP_001651147.1, XP_001651146.1
OG0000013	XP_003392965.1, XP_003392969.1	XP_021711158.1, XP_021711157.1
OG0000013	XP_020718381.1	XP_021707704.1
OG0000013	XP_003400771.1, XP_003400772.1	XP_001657554.1, XP_001655332.2
OG0000014	XP_012175524.1, XP_003393114.1	XP_021712022.1, XP_021712028.1
OG0000016	XP_020723772.1, XP_012175540.2, XP_012175517.1, XP_012175813.1	XP_021712581.1, XP_021694278.1, XP_021695205.1
OG0000017	XP_012175461.1, XP_012175513.1, XP_012175528.1	XP_021701980.1, XP_021701981.1, XP_001658752.1, XP_021701977.1, XP_021701978.1, XP_021701979.1, XP_001658750.1, XP_021701982.1, XP_021701973.1, XP_021701974.1, XP_021701975.1, XP_021701976.1, XP_001658753.1, XP_001658755.1
OG0000017	XP_012172021.1, XP_012172020.1, XP_012172019.1, XP_012172018.1, XP_020722711.1, XP_012172017.1	XP_001658010.2
OG0000017	XP_012172050.1	XP_001658009.2, XP_021693938.1, XP_001658007.2
OG0000018	XP_012169775.2	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1
OG0000018	XP_012169298.1	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2
OG0000018	XP_003399081.1	XP_021706781.1
OG0000019	XP_003398973.1, XP_020721097.1, XP_020721100.1, XP_020721101.1, XP_020721098.1, XP_020721099.1	XP_021694331.1, XP_021694068.1
OG0000019	XP_003401949.1	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2
OG0000020	XP_003394639.2	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1
OG0000020	XP_012167185.1	XP_021703504.1
OG0000020	XP_003393559.1	XP_021700919.1, XP_001650147.2
OG0000020	XP_003403319.2	XP_021705068.1
OG0000020	XP_012173392.1	XP_021706790.1
OG0000020	XP_012174530.1, XP_012170523.1	XP_021703783.1
OG0000020	XP_020723566.1	XP_021699908.1
OG0000021	XP_012171597.1, XP_020722326.1, XP_003400632.1	XP_001654997.1, XP_021710336.1, XP_021710335.1
OG0000021	XP_012169135.1	XP_021699404.1
OG0000021	XP_020722863.1, XP_003403430.2	XP_021713110.1, XP_001662165.1
OG0000026	XP_020719884.1, XP_003397076.1, XP_012166367.1, XP_012166366.1, XP_012166369.1, XP_012166368.1	XP_021706420.1
OG0000026	XP_020719195.1	XP_021702583.1, XP_021702581.1, XP_021702582.1, XP_021702584.1
OG0000027	XP_003392964.1, XP_003392970.1	XP_021706536.1
OG0000027	XP_012166136.1	XP_001656994.2, XP_021705828.1, XP_021705829.1, XP_021706482.1, XP_001657269.1, XP_021705635.1, XP_021705023.1, XP_021705301.1, XP_021705299.1, XP_021705297.1, XP_021706523.1
OG0000027	XP_003393115.1	XP_021705830.1
OG0000029	XP_003399185.1, XP_012169459.1	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1, XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1
OG0000029	XP_003399852.3	XP_001664018.2
OG0000029	XP_020721313.1, XP_020721315.1	XP_021704637.1, XP_021704641.1, XP_021712735.1
OG0000030	XP_020720274.1	XP_001658050.1
OG0000032	XP_020723342.1	XP_021702783.1
OG0000032	XP_003398435.1, XP_012174894.1, XP_003403021.1, XP_003398436.1, XP_003398432.1, XP_003398434.1	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1
OG0000033	XP_003400510.1, XP_012171365.1	XP_021702767.1
OG0000035	XP_003394979.1	XP_001650274.2, XP_001662128.2
OG0000035	XP_020718418.1	XP_001659549.2, XP_001653600.1, XP_021695840.1, XP_011493156.1, XP_001653602.1, XP_021702436.1, XP_001660379.1, XP_021702428.1, XP_021696237.1, XP_021696236.1, XP_001663166.2, XP_001663167.2, XP_001663165.2, XP_001654498.2, XP_021699048.1, XP_021699049.1, XP_001654514.2, XP_021699050.1
OG0000036	XP_003401252.1, XP_012172397.1, XP_012175443.1	XP_021695536.1
OG0000037	XP_003403001.3	XP_021698956.1, XP_021698957.1, XP_021698955.1, XP_001655400.1, XP_001659628.2, XP_001654516.2, XP_001650153.1, XP_001659658.1, XP_001650182.1, XP_001659653.2, XP_001659654.2, XP_001659610.1, XP_001647747.1, XP_001659651.2, XP_001659656.2, XP_001659657.1
OG0000038	XP_003396169.1, XP_003399700.1	XP_001652144.1, XP_001663407.1
OG0000038	XP_003401138.1	XP_021707546.1, XP_021707545.1, XP_021707544.1, XP_021707542.1
OG0000040	XP_003402742.1	XP_001659969.2, XP_001659962.1
OG0000040	XP_003393536.1, XP_003393535.1, XP_012164479.1	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1, XP_021709866.1, XP_001654842.2, XP_001662080.2, XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2, XP_001662077.2, XP_001662076.1
OG0000041	XP_003396990.1	XP_001655176.1, XP_001655175.1
OG0000041	XP_003394490.1	XP_001659963.1
OG0000041	XP_003399722.1	XP_001649531.1
OG0000042	NP_001272327.1, XP_012163186.1	XP_021693433.1
OG0000043	XP_003392868.1	XP_001660749.1
OG0000043	XP_003402013.1	XP_001660756.1
OG0000043	XP_012173547.1	XP_001660753.1
OG0000044	XP_020723893.1, XP_012175325.1	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1, XP_001662885.2, XP_021693817.1, XP_001651477.2
OG0000044	XP_020723251.1	XP_021712943.1
OG0000045	XP_003395914.2, XP_003403314.1, XP_020719958.1, XP_003402225.2, XP_012164669.1	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2
OG0000046	XP_012176148.2	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1
OG0000046	XP_003397462.1	XP_021707697.1
OG0000046	XP_003396775.3	XP_021698547.1, XP_021698548.1
OG0000048	XP_020720389.1	XP_001663296.2
OG0000050	XP_003398997.1, XP_003396910.2	XP_001654509.1, XP_011493543.2, XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1
OG0000053	XP_012169560.1	XP_021695319.1, XP_021692971.1, XP_021711432.1
OG0000054	XP_003402283.1, XP_003403304.1, XP_003403303.1	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2
OG0000055	XP_003401668.1, XP_020722884.1	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1
OG0000055	XP_012170773.1	XP_001654841.2
OG0000056	XP_020723650.1, XP_020721195.1	XP_021702305.1
OG0000056	XP_003399457.3	XP_021704129.1
OG0000056	XP_020720993.1	XP_021704390.1
OG0000057	XP_003395180.1	XP_001656025.1
OG0000057	XP_003400373.1, XP_003395196.1	XP_021701591.1
OG0000057	XP_003395170.1	XP_001656026.2
OG0000057	XP_003395225.1	XP_001650054.1
OG0000060	XP_020721716.1	XP_021710092.1, XP_021710091.1, XP_001652667.1
OG0000061	XP_003392898.1	XP_021693614.1, XP_021693615.1, XP_021693616.1
OG0000061	XP_020723139.1, XP_020723140.1, XP_020723141.1, XP_020723142.1, XP_003401246.1, XP_003401245.1, XP_012172395.1, XP_020722644.1	XP_001664194.1, XP_001664195.2, XP_001661118.2
OG0000062	XP_012175695.2	XP_001661011.1, XP_001663492.1, XP_001663494.1, XP_001661010.2, XP_001663490.2, XP_001663495.1, XP_021698193.1, XP_001663497.1, XP_001663499.2
OG0000065	XP_003398334.1	XP_011493201.1
OG0000065	XP_012168045.1, XP_012168044.1, XP_003403408.2, XP_003398335.1	XP_011493637.2, XP_011493079.2, XP_011493699.2, XP_021699125.1
OG0000067	XP_003397328.1	XP_001653435.1
OG0000067	XP_012169196.1	XP_001654897.1
OG0000067	XP_020722094.1	XP_001653950.2, XP_001654592.2
OG0000067	XP_020722130.1	XP_001661370.1, XP_021698916.1
OG0000073	XP_003393467.1	XP_021705856.1, XP_001655681.2, XP_021703552.1, XP_021705322.1
OG0000074	XP_003396140.1	XP_021707386.1
OG0000077	NP_001267840.1	XP_001658180.2
OG0000077	XP_012166572.2	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2
OG0000079	XP_020718411.1	XP_001662329.1
OG0000080	XP_003399522.1	XP_021693685.1
OG0000082	XP_012171772.1, XP_012171770.1, XP_012171768.1, XP_003400713.1, XP_020722282.1, XP_003400712.1	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1
OG0000085	XP_012164376.1, XP_003395843.1, XP_012164375.1, XP_012164374.1, XP_012176300.1, XP_012176301.1, XP_020724351.1, XP_003394432.1, XP_003394433.1	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1
OG0000086	XP_003401334.1	XP_021701219.1
OG0000086	XP_012172254.1	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2
OG0000087	XP_020722624.1, XP_012172367.1	XP_001648461.1, XP_001648458.1
OG0000087	XP_012172361.1, XP_012172362.1, XP_012172358.1, XP_012172360.1, XP_012172363.1, XP_012172366.1	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1
OG0000088	XP_003398593.1	XP_021702205.1
OG0000089	XP_003397324.1, XP_003397322.1, XP_003397323.1, XP_012166700.1, XP_012166697.1	XP_001654187.2
OG0000091	XP_020721177.1, XP_003402576.2, XP_020721343.1, XP_012169463.2	XP_021699738.1
OG0000092	XP_020718694.1	XP_021707375.1
OG0000092	XP_003400287.1, XP_012171069.1	XP_021709998.1, XP_001655951.1
OG0000094	XP_012164578.1	XP_021702456.1, XP_001660396.2
OG0000094	XP_012170607.1	XP_001651974.1, XP_001652484.1, XP_001656201.1
OG0000094	XP_003399925.2	XP_021704594.1
OG0000095	XP_003398964.1	XP_001649682.2
OG0000096	XP_003400671.1, XP_003400637.1	XP_001656233.2, XP_001663568.1, XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1
OG0000096	XP_003395393.1, XP_012166067.2	XP_021710758.1, XP_021710759.1, XP_001663099.2, XP_021698426.1, XP_001663097.2
OG0000097	XP_012170206.1, XP_003399689.1, XP_012173498.1, XP_020723033.1	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1
OG0000098	XP_012168084.1, XP_012168083.1, XP_012168086.1, XP_012168085.1, XP_003398369.1	XP_001660410.1
OG0000099	XP_020722786.1	XP_021708064.1, XP_021708068.1, XP_021708072.1
OG0000099	XP_012172596.1	XP_001650952.2
OG0000099	XP_020722424.1	XP_021710287.1
OG0000100	XP_003399794.1, XP_020721436.1, XP_020721435.1, XP_012170386.1, XP_012170387.1, XP_012170385.1, XP_012170380.1, XP_012170379.1	XP_001662579.2
OG0000101	XP_003397360.1	XP_001652481.1
OG0000101	XP_020719744.1	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1, XP_001655711.1
OG0000102	XP_020722917.1, XP_003401872.1, XP_020722911.1, XP_012173289.1, XP_012173290.1, XP_012173277.1	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2
OG0000103	XP_012168396.1, XP_012168395.1, XP_020720588.1	XP_001661506.1
OG0000108	XP_012174803.1	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1
OG0000109	XP_003398706.1, XP_003398707.1	XP_021709303.1
OG0000110	XP_003400537.1, XP_012171442.1, XP_012171440.1, XP_012171439.1, XP_003400818.1	XP_021711612.1, XP_021711613.1
OG0000111	XP_012173034.1	XP_021704753.1
OG0000112	XP_012168598.1, XP_020720998.1, XP_012168597.1, XP_012168596.1, XP_012168595.1	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1
OG0000112	XP_012163934.1	XP_021703753.1
OG0000113	XP_020718272.1, XP_003394925.1	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1
OG0000114	XP_020718755.1	XP_001650347.2, XP_001647864.2, XP_001647865.1, XP_001647870.2, XP_001650899.2, XP_001647873.3, XP_001647872.2, XP_001650301.1
OG0000114	XP_020718756.1	XP_001656658.2
OG0000115	XP_003395150.1, XP_003395075.1, XP_012163601.1	XP_021711348.1
OG0000116	XP_012167612.1, XP_020720167.1, XP_020720163.1, XP_020720164.1, XP_020720166.1, XP_012167610.1, XP_012167613.1, XP_020720165.1, XP_003397905.1, XP_003397904.1, XP_012167611.1, XP_003397903.1, XP_020720215.1, XP_003397775.1	XP_021695569.1
OG0000117	XP_012176486.1	XP_001658273.1
OG0000117	XP_003398039.1	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1
OG0000119	XP_020720337.1, XP_020720348.1, XP_020720338.1, XP_020720336.1, XP_020720341.1	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1
OG0000120	XP_012176279.1, XP_003400542.1, XP_012171451.1, XP_012171452.1, XP_012171449.1, XP_012171450.1, XP_012171447.1, XP_012171454.1, XP_012171455.1	XP_021702687.1
OG0000122	XP_012165001.1	XP_001650409.1, XP_021711773.1
OG0000122	XP_012174370.1	XP_021707885.1
OG0000123	XP_003397633.1, XP_012167209.1, XP_012167212.1, XP_012167211.1, XP_012167208.1, XP_012167210.1	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1
OG0000124	XP_012164839.1	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1
OG0000125	XP_003402889.2, XP_003402892.1, XP_003402547.3	XP_001657204.2
OG0000126	XP_012173626.1, XP_003402194.1, XP_020723219.1, XP_020723220.1, XP_020723218.1, XP_012173627.1	XP_021694197.1
OG0000127	XP_003393060.1, XP_003393061.1, XP_012163415.1, XP_012163409.1	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1
OG0000127	XP_003393059.1, XP_020718439.1, XP_020718434.1	XP_021705806.1, XP_021705807.1, XP_001657917.3
OG0000129	XP_003398638.1, XP_012168489.1, XP_012168490.1, XP_012168488.1, XP_012168487.1, XP_012168486.1, XP_012168485.1, XP_012168484.1	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1
OG0000130	XP_020719394.1, XP_003396651.1, XP_020719405.1, XP_003396650.1, XP_012165703.1	XP_021695251.1
OG0000130	XP_003396649.1, XP_012165702.1	XP_021700367.1
OG0000131	XP_003398970.1	XP_021705306.1
OG0000131	XP_003396371.1, XP_003396370.1	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1
OG0000132	XP_003402425.1	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1
OG0000132	XP_003402485.1	XP_021700410.1, XP_001660044.3, XP_001660042.3
OG0000133	XP_012176311.1, XP_020724157.1, XP_020724156.1, XP_020724158.1	XP_021702724.1, XP_021702723.1
OG0000134	XP_003399458.1	XP_001655292.1
OG0000134	XP_003397204.1	XP_001660707.1, XP_021702138.1, XP_001654223.2, XP_001650418.1
OG0000135	XP_003393110.1	XP_021711278.1, XP_021711277.1, XP_001651832.2
OG0000135	XP_003394582.1	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1
OG0000136	XP_012165909.1, XP_020719676.1, XP_012165896.1, XP_020723712.1, XP_003396782.1, XP_003402992.1	XP_021698234.1, XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1
OG0000137	XP_012164639.1, XP_012164637.1, XP_012164636.1, XP_012164638.1, XP_012175108.1, XP_012170724.1	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1
OG0000138	XP_003397345.2, XP_012166619.1, XP_003397339.1	XP_021712084.1, XP_021694527.1
OG0000139	XP_003399181.1, XP_003399195.1	XP_001663072.2
OG0000140	XP_020722092.1, XP_012171285.1, XP_003400470.1	XP_021702905.1
OG0000141	XP_012174890.1, XP_003396959.1	XP_001663030.2
OG0000143	XP_003393823.1, XP_020722543.1, XP_012175058.1, XP_020722547.1, XP_020722544.1, XP_020722545.1	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1
OG0000144	XP_003401782.1, XP_003401778.1, XP_003401781.1	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2
OG0000145	XP_003393298.1, XP_012164960.1	XP_001661017.2
OG0000146	XP_003402123.1	XP_001662762.1
OG0000146	XP_012176245.1	XP_001660580.2
OG0000147	XP_020721202.1, XP_020721198.1, XP_020721193.1, XP_003393447.1, XP_012164120.1, XP_012164121.1, XP_012164119.1	XP_021708848.1, XP_001659371.1
OG0000149	XP_003394540.1	XP_021701465.1
OG0000149	XP_012175460.1, XP_020724080.1	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1
OG0000150	XP_012170499.1, XP_012170501.1, XP_012170500.1, XP_003399855.1, XP_020721682.1, XP_012170498.1	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1
OG0000151	XP_003402871.1, XP_012174602.1, XP_012174601.1, XP_012174604.1, XP_012174600.1, XP_012174599.1	XP_021697798.1
OG0000152	XP_012173071.1, XP_012173070.1, XP_012173069.1, XP_012173068.1, XP_012173075.1, XP_012173067.1	XP_001653160.1
OG0000153	XP_003400832.1, XP_012171882.1, XP_012171883.1	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1
OG0000154	XP_012167367.1, XP_012167365.1	XP_001662815.2
OG0000156	XP_003396400.1	XP_021696919.1, XP_021712121.1
OG0000157	XP_020721948.1, XP_003400109.2	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1
OG0000158	XP_012164498.1	XP_021696507.1, XP_021696509.1, XP_021698714.1
OG0000160	XP_012168631.1	XP_021709766.1
OG0000161	XP_003394677.1, XP_003394675.1, XP_020724240.1	XP_001656119.2
OG0000162	XP_012168555.1	XP_021694432.1
OG0000162	XP_012170034.1	XP_021704010.1
OG0000162	XP_003397561.2	XP_021706951.1
OG0000164	XP_020718981.1, XP_020718982.1, XP_020718980.1	XP_001654887.2, XP_021701278.1, XP_001654888.2, XP_021697710.1, XP_021695328.1
OG0000165	XP_003397183.1, XP_012166526.1	XP_021697212.1
OG0000165	XP_012169083.1	XP_021704115.1, XP_021704136.1, XP_021704202.1
OG0000166	XP_012175400.2, XP_012175364.1, XP_012175388.1	XP_021694247.1, XP_021704926.1, XP_021704934.1, XP_021704935.1
OG0000168	XP_020724242.1	XP_021712003.1, XP_021699894.1
OG0000168	XP_020718321.1	XP_021705545.1
OG0000170	XP_012168004.1, XP_012168005.1, XP_003398306.1, XP_012168006.1	XP_021699236.1
OG0000171	XP_003396553.1, XP_012174011.1	XP_001654890.1, XP_001654889.1, XP_001654886.2, XP_001656792.2
OG0000173	XP_012172817.1, XP_012172816.1, XP_012172814.1, XP_012172815.1	XP_021694163.1, XP_001649426.1
OG0000174	XP_003400605.1, XP_003400606.1, XP_012171555.1, XP_012171554.1, XP_012171558.1, XP_012171557.1	XP_021704325.1, XP_021704326.1
OG0000175	XP_020721993.1, XP_003400937.1, XP_012171930.1, XP_012171929.1	XP_001654240.1
OG0000177	XP_003398931.1	XP_001651644.2
OG0000177	XP_012169036.1	XP_021707471.1, XP_021707472.1
OG0000177	XP_012169039.1	XP_001651645.1
OG0000178	XP_003398577.1, XP_020720493.1	XP_021707000.1, XP_021706999.1
OG0000179	XP_012173824.1, XP_003402266.1	XP_001655662.1, XP_021712235.1
OG0000180	XP_012175161.1, XP_012175160.1, XP_012175162.1, XP_003403152.1, XP_003403151.1, XP_020723773.1	XP_001654382.1, XP_001654381.1, XP_021693530.1, XP_021693529.1
OG0000181	XP_003399390.1, XP_012169773.1, XP_012169774.1, XP_012169772.1	XP_001656977.3
OG0000183	XP_012167140.1, XP_012167142.1, XP_003397591.1	XP_001655456.2
OG0000183	XP_012163118.1	XP_021704629.1, XP_021704627.1
OG0000185	XP_003400788.1, XP_012171763.1, XP_012171761.1, XP_012171762.1, XP_012171760.1, XP_012171764.1	XP_001651366.1
OG0000186	XP_003393867.1, XP_020723943.1, XP_003393865.1, XP_003393866.1	XP_001658387.1, XP_021710177.1, XP_001652490.2
OG0000187	XP_012167100.1, XP_003397755.1, XP_012167097.1, XP_020720318.1, XP_020720316.1, XP_012167099.1, XP_012167098.1	XP_021703024.1, XP_021703026.1, XP_021703025.1, XP_021703030.1, XP_021703029.1, XP_021703028.1, XP_021703027.1
OG0000188	XP_003399544.1	XP_021694895.1
OG0000188	XP_003399969.1	XP_001656810.1, XP_001656809.1
OG0000188	XP_003395186.1	XP_021704883.1
OG0000189	XP_012167526.1	XP_001655460.2
OG0000189	XP_003393320.1, XP_012167516.1	XP_001655465.2, XP_001655464.2
OG0000190	XP_012172000.1, XP_012171998.1, XP_012171999.1	XP_001660557.1
OG0000191	XP_012172676.1	XP_021708624.1, XP_021708625.1, XP_001651643.2, XP_021711114.1, XP_001658852.2, XP_021709915.1, XP_021708162.1, XP_021706594.1, XP_001647986.1, XP_021707346.1, XP_021705110.1, XP_001661290.1, XP_021706490.1
OG0000192	XP_003393731.1	XP_001664087.2
OG0000194	XP_003397792.2	XP_001658607.2
OG0000196	XP_003399490.1	XP_021709422.1, XP_021709426.1
OG0000197	XP_012171975.1, XP_012171976.1, XP_012171981.1, XP_012171980.1, XP_012171979.1, XP_003400969.1	XP_021697283.1, XP_021697282.1, XP_021697285.1, XP_021697284.1, XP_001661709.1, XP_021697516.1, XP_021697517.1, XP_021697518.1, XP_021697519.1
OG0000200	XP_003394667.1	XP_001655242.1
OG0000201	XP_020720655.1	XP_001663057.1
OG0000201	XP_012168139.1, XP_012168138.1	XP_011493157.1, XP_001652982.2, XP_021711304.1, XP_001659011.2, XP_001659009.1, XP_021712798.1, XP_001654269.2
OG0000202	XP_020719240.1, XP_012165749.1, XP_012165750.1	XP_021695300.1
OG0000203	XP_003396251.1	XP_001662504.2
OG0000203	XP_012165494.1	XP_021697410.1
OG0000204	XP_003400095.1	XP_021704598.1, XP_021704597.1, XP_001656463.1
OG0000205	XP_012176340.1, XP_003394538.1	XP_021697855.1, XP_021697857.1, XP_021697856.1, XP_021697859.1, XP_021697858.1, XP_021697862.1, XP_021697860.1
OG0000206	XP_012170362.1	XP_001651825.1, XP_021704991.1
OG0000206	XP_020721443.1	XP_001648552.1
