Orthogroup	Bombus_terrestris	Tribolium_castaneum
OG0000570	XP_012165154.1, XP_012165461.2	XP_008191357.1, XP_008191356.1
OG0000571	XP_012171130.1, XP_012171135.1, XP_020722019.1	XP_015837858.1, XP_008196145.1
OG0000573	XP_012176534.1	XP_015835019.1
OG0000574	XP_020723759.1	XP_966720.1
OG0000575	XP_020720050.1, XP_020720086.1	XP_973751.2, XP_015840907.1, XP_973717.2
OG0000576	XP_012169985.1, XP_012169988.1, XP_012169987.1, XP_012169984.1, XP_012169983.1, XP_012169982.1, XP_020721393.1, XP_020721394.1, XP_012169986.1	XP_015835491.1, XP_008193294.1
OG0000577	XP_012173941.1	XP_968282.1
OG0000579	XP_003396944.1, XP_020719364.1, XP_020719363.1, XP_020719362.1, XP_020719368.1, XP_020719366.1, XP_020719367.1, XP_020719365.1	XP_008190509.1, XP_008190508.1
OG0000582	XP_012164450.1, XP_012164446.1	XP_008194670.1
OG0000584	XP_003403257.1	XP_008201459.1
OG0000585	XP_003394914.3, XP_003395233.1	XP_973753.1
OG0000586	XP_003394586.1	NP_001164360.1
OG0000587	XP_012170823.1, XP_012170822.1	XP_966904.1
OG0000588	XP_012170446.1, XP_012170447.1, XP_012170445.1, XP_003399827.1	XP_008198243.1
OG0000589	XP_012166088.1	XP_015832979.1, XP_008190545.1
OG0000591	XP_003402263.1	XP_974605.1
OG0000591	XP_003395522.1	XP_975644.1
OG0000592	XP_012165858.1	XP_972187.1, XP_972238.1
OG0000592	XP_003401003.1	XP_967660.1, XP_974372.1, XP_974394.1, XP_974346.1, XP_008192579.1
OG0000593	XP_020720777.1, XP_012175377.2	XP_971718.1
OG0000594	XP_012166222.1, XP_012166223.1, XP_012166219.1, XP_012166220.1, XP_012166221.1, XP_020719791.1	XP_008198309.1, XP_008198310.1, XP_015839110.1, XP_974863.1
OG0000595	XP_012172379.1	XP_966364.1
OG0000595	XP_012172378.1	XP_968010.1
OG0000596	XP_012175793.1, XP_012175798.1, XP_012175799.1, XP_012175800.1	XP_008199438.1
OG0000597	XP_020719620.1, XP_020719621.1, XP_003396841.1, XP_012165530.1	XP_970503.2
OG0000598	XP_012173053.1	XP_975034.1
OG0000598	XP_012173052.1	XP_015838666.1
OG0000599	XP_012171073.1, XP_012171260.1, XP_020719234.1	XP_008198002.1, XP_008197998.1
OG0000600	XP_003398374.1, XP_012168092.1	XP_015834659.1, XP_015834664.1
OG0000601	XP_012172544.1	NP_001161309.1
OG0000602	XP_003399782.1	XP_015833285.1, XP_974523.1
OG0000602	XP_020719651.1	XP_966627.1
OG0000604	XP_003402748.1, XP_012174449.1	XP_008194890.1, XP_008194891.1
OG0000605	XP_003398322.2	XP_966980.1
OG0000606	XP_020718282.1, XP_012163545.1	XP_015839438.1
OG0000607	XP_012171548.1, XP_012171547.1	XP_974834.1, XP_974846.2
OG0000609	XP_003395437.1	XP_008200471.1
OG0000611	XP_020722663.1	XP_008200881.1
OG0000612	XP_012166740.1, XP_012166739.1, XP_003397412.1, XP_020719994.1	XP_969513.1
OG0000613	XP_012163556.1	XP_968252.2, XP_008190961.1
OG0000613	XP_020724166.1	XP_967596.1
OG0000614	XP_020723124.1	XP_015837620.1
OG0000615	XP_003403386.2, XP_020719530.1, XP_020719535.1, XP_020719522.1, XP_020719517.1, XP_020719518.1, XP_020719520.1, XP_020719528.1, XP_020719524.1, XP_012164942.1, XP_020719516.1, XP_020719532.1	XP_976260.1
OG0000616	XP_020723489.1, XP_020723488.1, XP_012174317.1	XP_008191555.1
OG0000617	XP_012172405.1, XP_012172396.1, XP_012172399.1, XP_012172410.1	XP_974059.1, XP_008199454.1
OG0000617	XP_003393665.1, XP_012172416.1, XP_012172423.1	XP_015832965.1
OG0000619	XP_012163419.1	XP_971446.1
OG0000620	XP_003394706.1, XP_003394705.1	XP_969072.1
OG0000621	XP_003399063.1, XP_012169265.1, XP_012169266.1	XP_972828.3
OG0000622	XP_020722676.1, XP_003401208.1	XP_971566.1
OG0000623	XP_003399765.2	XP_975186.1
OG0000624	XP_003402928.1, XP_012174804.1	XP_015840994.1
OG0000625	XP_012174796.1, XP_012174795.1, XP_012174794.1, XP_003402908.1	XP_008200318.1
OG0000626	XP_012169948.1, XP_012169951.1, XP_012169950.1, XP_012169949.1, XP_003399507.1, XP_020721555.1	XP_008198026.1, XP_008198025.1, XP_972447.1
OG0000627	XP_012169193.1, XP_012169194.1, XP_012169195.1	XP_970936.1
OG0000628	XP_020721271.1	XP_008193174.2
OG0000629	XP_020720524.1, XP_020720523.1, XP_012168332.1, XP_003398563.1, XP_012168331.1, XP_020720526.1	XP_008200486.1
OG0000630	XP_003397815.1, XP_020720222.1	XP_008196010.1, XP_008196008.1, XP_975658.1
OG0000631	XP_012171546.1	XP_008195987.1
OG0000632	XP_012170947.1, XP_003400196.1	XP_008196207.1
OG0000633	XP_003400531.1	XP_966960.1
OG0000633	XP_003393832.2	XP_008200235.1
OG0000634	XP_003402330.1	XP_974945.1
OG0000634	XP_003402329.1	XP_974922.1
OG0000635	XP_012174835.1	XP_971797.1
OG0000635	XP_012166436.1, XP_003402918.1	XP_015834856.1, XP_008192027.1
OG0000636	XP_012168337.1, XP_012168338.1, XP_012168335.1, XP_012168336.1	XP_008193403.1
OG0000637	XP_020719016.1	XP_008192039.1, XP_008192036.1
OG0000639	XP_003393881.1	XP_975304.1
OG0000640	XP_003396245.1, XP_020719607.1, XP_003396246.1, XP_003396247.1	XP_001812776.1, XP_015833501.1
OG0000641	XP_012166954.1, XP_012166953.1, XP_012166951.1, XP_012166952.1, XP_012166950.1, XP_012166949.1, XP_003397465.1	XP_008195213.1
OG0000642	XP_012174219.1, XP_003394019.1, XP_020724049.1	XP_974643.1
OG0000643	XP_003396021.1	XP_966681.1
OG0000643	XP_003396020.1	XP_966772.1
OG0000644	XP_020722877.1, XP_020722876.1, XP_020722869.1, XP_003393959.1	XP_001808377.1, XP_015840390.1
OG0000645	XP_012173365.1	XP_971289.1
OG0000645	XP_012173367.1	XP_008200906.1
OG0000646	XP_003396957.1	XP_971567.1
OG0000647	XP_012166548.1, XP_012166549.1	XP_966445.1
OG0000648	XP_012170298.1	XP_967827.1
OG0000649	XP_020720863.1	XP_015833839.1
OG0000650	XP_012167695.1, XP_020720049.1	XP_015839912.1, XP_001810019.1, XP_008200991.1, XP_015838552.1, XP_001807833.1, XP_008191504.1
OG0000651	XP_012164915.1	XP_008193303.1, XP_008193301.2
OG0000653	XP_020718880.1	XP_008195435.1, XP_008195436.1
OG0000654	XP_012168767.1, XP_012176459.1	XP_008191078.2
OG0000655	XP_020723808.1, XP_020723801.1	XP_008191828.1, XP_008191154.1
OG0000656	XP_020723419.1, XP_003402508.2, XP_020719010.1, XP_020719012.1	XP_015833801.1, XP_008191255.1
OG0000657	XP_003393704.1, XP_012173096.1	XP_008199069.1
OG0000659	XP_012167136.1	XP_969783.1
OG0000660	XP_003394244.1	XP_975437.1
OG0000662	XP_003402903.1	XP_972414.2, XP_972368.1, XP_972317.1
OG0000663	XP_020721894.1, XP_020721895.1, XP_020721897.1	XP_008194393.1, XP_015835934.1, XP_008194392.1
OG0000664	XP_012167122.1	XP_015837295.1
OG0000666	XP_003397879.2	NP_001103424.1
OG0000667	XP_003396571.1, XP_020719393.1, XP_012165583.1	XP_008196706.1
OG0000668	XP_020721259.1, XP_020721258.1, XP_020721257.1, XP_012169432.1, XP_012169434.1, XP_012169429.1, XP_012169431.1, XP_003399159.1, XP_020721256.1	XP_001810958.1
OG0000669	XP_012174960.1, XP_012174961.1, XP_012174962.1, XP_020723779.1	XP_008193678.1
OG0000670	XP_003395447.1	XP_974575.1, XP_015835460.1, XP_015835459.1, XP_974590.1
OG0000671	XP_003395137.1, XP_012163587.1, XP_012163588.1	XP_008201396.1
OG0000672	XP_003397054.1, XP_003397055.1	XP_015837637.1
OG0000674	XP_003393159.2	XP_015833191.1
OG0000677	XP_012168866.1, XP_012168862.1	XP_008197279.1
OG0000680	XP_020722815.1, XP_012172941.1	XP_974326.1, XP_008192630.1
OG0000681	XP_012168318.1, XP_003398555.1	XP_015835846.1, XP_015835847.1, XP_015835848.1
OG0000682	XP_003398288.1	NP_001139380.1, XP_008191999.1
OG0000683	XP_012167357.1	XP_971998.2, XP_974664.3
OG0000684	XP_003395928.1, XP_012164712.1, XP_012164713.1, XP_012164714.1	XP_008196215.1, NP_001128425.1
OG0000685	XP_012164924.1	NP_001164310.1
OG0000685	XP_003393461.1	XP_967958.1
OG0000686	XP_012175845.1	XP_973797.1
OG0000687	XP_020720255.1, XP_003397750.1	XP_974045.1
OG0000688	XP_020722005.1, XP_003400394.1	XP_966509.2
OG0000689	XP_020718795.1, XP_012174006.1	XP_972670.3
OG0000689	XP_012164124.2, XP_012164123.1	XP_008193697.1
OG0000690	XP_020719698.1, XP_020719697.1	XP_968644.1
OG0000691	XP_003402708.1	XP_008200143.1, XP_968571.3
OG0000692	XP_012168058.1	XP_008190993.1
OG0000693	XP_003393251.1	XP_015838739.1
OG0000694	XP_003395478.1, XP_012163747.1	XP_974023.2
OG0000695	XP_020724309.1, XP_003394580.3	XP_008197896.1
OG0000696	XP_012166361.1, XP_003397073.1	XP_969360.1
OG0000697	XP_012174877.1, XP_003393808.1	XP_967818.2
OG0000698	XP_020718741.1, XP_003395283.1	XP_970616.1
OG0000699	XP_012167389.1	XP_015834804.1
OG0000701	XP_012166345.1	NP_001164313.1
OG0000703	XP_012176529.1, XP_012176528.1, XP_020724350.1	XP_975854.1
OG0000704	XP_012171733.1, XP_012171732.1, XP_003400887.1	XP_008194528.1
OG0000704	XP_003400575.1	XP_015836587.1
OG0000705	XP_003395984.1	XP_970101.1
OG0000706	XP_020719204.1, XP_012165913.1, XP_012165915.1, XP_020719206.1, XP_012165912.1, XP_020719677.1	XP_973961.1, XP_015833281.1, XP_008190930.1
OG0000707	XP_003402441.1	XP_015837057.1
OG0000708	XP_012172272.1	NP_001280503.1, XP_008201093.1
OG0000709	XP_012174951.1, XP_003403133.1	XP_008193755.1
OG0000710	XP_003402531.3, XP_020723291.1, XP_012167869.1, XP_003398214.1	XP_008193458.1
OG0000711	XP_012176476.1, XP_012176475.1, XP_003394640.1	XP_973009.1, XP_008196779.1
OG0000712	XP_012164541.1, XP_012164544.1	XP_976237.1, XP_008201464.1
OG0000713	XP_012171163.2	XP_008201731.1, XP_008201730.1
OG0000714	XP_012169796.1, XP_012169790.1	XP_008199070.1, XP_008199072.1, XP_008199073.1
OG0000715	XP_012172658.1, XP_012172655.1	XP_008198126.1
OG0000716	XP_012165552.1, XP_003396953.1, XP_012165555.1, XP_012165553.1, XP_012165554.1	XP_968570.1
OG0000717	XP_003393230.2	XP_008197605.1, XP_008197604.1, XP_974005.1, XP_015838661.1
OG0000718	XP_020722241.1, XP_003400451.2	XP_015836378.1, XP_015836365.1, XP_015836377.1
OG0000719	XP_012175363.1, XP_003403338.1	XP_974150.1, XP_015835808.1
OG0000720	XP_012164711.2	XP_015833541.1
OG0000720	XP_020722483.1	XP_015833849.1
OG0000722	XP_003401744.1	XP_008193836.1
OG0000722	XP_003401743.1	XP_008193837.1
OG0000723	XP_012163474.1, XP_020718422.1	XP_015833943.1, XP_015833937.1
OG0000724	XP_012173918.1, XP_003402334.1	XP_971700.2
OG0000726	XP_012170771.1	XP_008190579.1, XP_973932.1
OG0000727	XP_003398317.1	XP_008200527.1, XP_969378.2
OG0000728	XP_003399392.1, XP_012169771.1, XP_020720980.1	XP_015835600.1, XP_001814267.1, XP_008193682.1, XP_976334.1
OG0000729	XP_012173211.1, XP_012173212.1, XP_012173213.1	XP_975583.1
OG0000730	XP_012165134.1, XP_012165135.1, XP_020719226.1	XP_976161.1
OG0000731	XP_020721744.1	XP_008193063.1, XP_008193062.1, XP_972014.1, XP_015835321.1
OG0000732	XP_020723611.1, XP_012174547.1, XP_020723610.1, XP_020723609.1, XP_020723608.1, XP_020723607.1	XP_973363.1
OG0000736	XP_012171958.1, XP_012171960.1, XP_012171957.1, XP_012171959.1	XP_015838309.1, XP_008196796.1, XP_015838214.1
OG0000737	XP_020720393.1, XP_012167130.1, XP_012167131.1, XP_003397590.1	XP_015837747.1, NP_001284604.1
OG0000738	XP_020718623.1	XP_008192970.1
OG0000739	XP_020722159.1	XP_968962.1, XP_015835129.1, XP_008192442.1
OG0000740	XP_020720925.1	XP_970675.1
OG0000741	XP_012169519.1	XP_015839069.1, XP_015839855.1, XP_972524.1
OG0000742	XP_012168275.1, XP_003398531.1, XP_020720818.1, XP_020720817.1, XP_012168272.1	NP_001076794.1, XP_008200421.1
OG0000743	XP_020719414.1	XP_975869.2
OG0000744	XP_003399518.1, XP_012169964.1	XP_008198084.1, XP_008198085.1
OG0000745	XP_020720302.1, XP_003397645.1	XP_967842.2
OG0000746	XP_003396315.2, XP_012165290.1	XP_015840197.1, XP_015840196.1
OG0000747	XP_020720902.1, XP_020720903.1, XP_012169371.1, XP_003399124.1	XP_008200433.1
OG0000748	XP_020718352.1, XP_012163559.2	NP_001034490.1, XP_008191152.1
OG0000749	XP_003401442.1	XP_015837495.1
OG0000750	XP_012169218.1	XP_972562.2
OG0000751	XP_003393136.1	XP_015837414.1
OG0000752	XP_012171522.1, XP_012171521.1	XP_015836381.1, XP_972176.1
OG0000753	XP_012172333.2	XP_008198451.1
OG0000754	XP_003397354.1, XP_012172260.1	XP_973097.1
OG0000755	XP_012171348.1	XP_008193975.1
OG0000756	XP_012166187.2, XP_003396503.1	XP_001811932.1, XP_001810980.1
OG0000757	XP_012163117.1, XP_012163115.1	XP_972879.1
OG0000758	XP_020723598.1, XP_020723872.1, XP_012175288.1	XP_969808.1
OG0000759	XP_012170366.1, XP_012170365.1	XP_008200324.1, XP_971832.1
OG0000760	XP_003397895.1	XP_008195593.1
OG0000761	XP_003396214.1, XP_012165005.1, XP_012165007.1, XP_012165006.1	XP_008191796.1
OG0000762	XP_012166505.1, XP_020719779.1, XP_003397286.1, XP_020719780.1	XP_972221.1
OG0000764	XP_012164488.1, XP_012164487.2	XP_970673.1
OG0000765	XP_003394840.1	XP_008194704.1, XP_015836347.1
OG0000766	XP_012174256.2	XP_008196256.1, XP_015837262.1
OG0000767	XP_003396887.1, XP_003396886.1	XP_008195674.1, XP_008195675.1, XP_015837248.1, XP_008195676.1
OG0000768	XP_020721017.1, XP_012169271.1	XP_969961.1, XP_008198938.1
OG0000769	XP_012165009.1	XP_972749.1, XP_008192575.1, XP_015834680.1
OG0000770	XP_012171528.1, XP_012171527.1, XP_012171526.1, XP_020722158.1, XP_003400581.1, XP_003400580.1	XP_015838418.1, XP_015838417.1
OG0000771	XP_020718374.1, XP_020718373.1	XP_015835948.1, XP_015835947.1
OG0000772	XP_012166941.1	XP_015833311.1
OG0000773	XP_003398938.1, XP_003398939.1, XP_012169055.1, XP_012169054.1	XP_970410.1
OG0000774	XP_012175365.1, XP_012175366.1, XP_012175368.1, XP_012175367.1	XP_971579.2
OG0000775	XP_012169075.1, XP_012169071.1	XP_008196848.1
OG0000776	XP_020720859.1, XP_012164662.1	XP_966630.3
OG0000777	XP_003400768.1	XP_972936.1
OG0000778	XP_012165516.1, XP_012165515.1, XP_003396680.1, XP_020719577.1	XP_015833391.1, XP_973455.1
OG0000779	XP_003402761.1, XP_012174505.1	NP_001280535.1, XP_008198427.1
OG0000780	XP_003398230.1	XP_967848.2
OG0000781	XP_020724147.1, XP_012176228.1, XP_012176227.1, XP_012176226.1, XP_003394353.1	NP_001280540.1, XP_008190406.1
OG0000782	XP_020719984.1, XP_020719985.1, XP_020719989.1, XP_020719988.1, XP_020719990.1, XP_003397405.1, XP_012166825.1, XP_012166824.1, XP_020719987.1, XP_020719986.1	XP_015833194.1
OG0000783	XP_003400201.1	XP_008191892.1, XP_015834431.1, XP_015834432.1
OG0000784	XP_012170933.1	XP_969377.1, XP_967531.2, XP_015840226.1, XP_015840227.1, XP_008200409.1
OG0000785	XP_003400602.1, XP_012171560.1, XP_012171559.1	XP_008201310.2, XP_015839849.1
OG0000786	XP_003402108.1, XP_012173665.1	XP_968026.1
OG0000787	XP_012176460.1, XP_003394519.1, XP_003394520.1	XP_001809587.2, XP_008194582.2, XP_008193885.1, XP_970014.1
OG0000788	XP_012176469.1, XP_012176468.1, XP_020724113.1	XP_015834491.1, XP_015834492.1
OG0000789	XP_003397238.1, XP_003397239.1	XP_973485.2
OG0000790	XP_003401444.1	XP_966929.1
OG0000791	XP_003399862.1	XP_973299.1
OG0000795	XP_003396709.1	XP_972085.1, XP_972137.1, XP_971105.1, XP_972034.1, XP_971043.1
OG0000796	XP_012163333.1, XP_012174179.1	XP_971000.1
OG0000797	XP_012174944.1, XP_012174943.1, XP_012174942.1, XP_012174941.1	XP_976408.1
OG0000798	XP_020723080.1	XP_970910.1
OG0000799	XP_012167594.1, XP_012167591.1	XP_008192753.1, XP_967166.2
OG0000800	XP_012167818.1	XP_975766.1, XP_966312.1
OG0000801	XP_020723107.1	XP_974400.1, XP_008201328.1
OG0000801	XP_020720868.1	XP_015840663.1
OG0000802	XP_012168354.1	XP_008196539.1, XP_008196541.1, XP_008196542.1, XP_008196540.1
OG0000803	XP_020720273.1, XP_020720272.1, XP_003397466.1	XP_015838602.1, XP_968717.1, XP_975356.1
OG0000804	XP_003394698.1	XP_008199784.1, XP_008199783.1, XP_969293.1
OG0000805	XP_003396039.1	XP_008192126.1
OG0000805	XP_012174200.1	NP_001103907.1, XP_015834312.1
OG0000806	XP_003397751.1, XP_012167092.1, XP_012167093.1	XP_975252.1
OG0000807	XP_003399650.1, XP_012170173.1, XP_012170172.1	XP_973473.1, XP_015837145.1, XP_008199731.1, XP_001811345.2
OG0000808	XP_020720805.1, XP_012167781.1	XP_966647.3
OG0000809	XP_020718937.1, XP_003395415.2, XP_003402523.3	XP_015839883.1
OG0000810	XP_020721358.1, XP_003399739.1	XP_967137.1
OG0000811	XP_012166695.1	XP_015835466.1
OG0000812	XP_003396592.1, XP_003394553.1	XP_015838959.1
OG0000813	XP_003399910.1	XP_008191104.1, XP_008197373.1
OG0000814	XP_003401929.1	XP_971300.2
OG0000815	XP_012165603.1, XP_012165623.1, XP_012165628.1	XP_015833081.1
OG0000816	XP_003398314.1	XP_974466.2
OG0000817	XP_003394391.1	NP_001280521.1, XP_015838938.1
OG0000818	XP_003394690.1	XP_008190837.2
OG0000819	XP_020722584.1, XP_012172650.1	XP_008190357.1
OG0000820	XP_012164535.1, XP_012164536.1, XP_003395969.1, XP_012164534.1	XP_008199356.1
OG0000821	XP_003398511.1	XP_973706.1
OG0000822	XP_003393415.1, XP_012168194.1	XP_008200699.1
OG0000823	XP_003399445.1	XP_015838185.1, XP_008196921.1
OG0000824	XP_012173206.2, XP_012175405.1	XP_970563.1
OG0000825	XP_012167590.1	NP_001161902.1, NP_001161904.1, XP_015833252.1, NP_001161927.1, NP_001161906.1, NP_001161907.1
OG0000826	XP_020718930.1, XP_012164048.1, XP_012164050.1, XP_012164046.1, XP_003395588.1, XP_020718931.1	XP_968324.1
OG0000827	XP_020720559.1, XP_020720562.1	XP_008190593.1, XP_015832959.1, XP_001814285.1, XP_008190592.1
OG0000828	XP_012164794.1, XP_003396173.1, XP_012164795.1	XP_015839867.1, XP_966527.1
OG0000829	XP_003399769.1	XP_015836394.1
OG0000830	XP_003394299.1	XP_969246.1
OG0000831	XP_012170449.1, XP_012170452.1	XP_966629.2
OG0000832	XP_020724015.1, XP_020724009.1, XP_020724013.1, XP_020724012.1, XP_003393627.1, XP_020724011.1, XP_020724010.1, XP_020724014.1	XP_015834318.1
OG0000833	XP_020721531.1, XP_020721525.1, XP_020721530.1	XP_008193629.1, XP_008193622.1
OG0000834	XP_012168056.1, XP_003393407.1	XP_008196985.1, XP_001813599.1
OG0000835	XP_003397475.2	NP_001161777.1, XP_008197172.1
OG0000835	XP_003399682.1	NP_001161778.1
OG0000837	XP_003397404.1, XP_012166829.1, XP_012166828.1	XP_966340.1
OG0000838	XP_012171244.1, XP_012171252.1	XP_015837141.1, XP_015837139.1
OG0000839	XP_003397297.1, XP_003397300.2	XP_015837749.1, XP_008194206.1, XP_001814500.1
OG0000840	XP_020719311.1, XP_012165321.1, XP_012165322.1, XP_003396339.1	XP_972558.1
OG0000841	XP_003397175.1	XP_008191611.2, XP_973223.1, XP_015834454.1
OG0000842	XP_003395726.1	XP_008199587.1, XP_015835642.1, XP_008199598.1, XP_008199214.1
OG0000843	XP_020721707.1, XP_020721708.1, XP_003399517.1, XP_012169962.1, XP_012169961.1	NP_001164151.1, XP_015839763.1, XP_015836305.1, XP_015836304.1
OG0000844	XP_012176282.1, XP_003392928.1	XP_008194355.1, XP_008194354.1, XP_976102.1
OG0000849	XP_012168166.1	XP_974694.1, XP_008191702.1
OG0000850	XP_020722106.1	XP_968953.1
OG0000851	XP_020722809.1	XP_970378.1
OG0000852	XP_003393795.1	XP_970723.1
OG0000853	XP_012170145.1	XP_972319.1
OG0000854	XP_003402671.1	XP_008192670.1, XP_008192671.1, XP_974904.1
OG0000855	XP_012165430.1, XP_012165429.1, XP_020719312.1	XP_008200417.1
OG0000856	XP_012170655.1	XP_969485.1
OG0000856	XP_012170595.1	XP_008191821.1
OG0000857	XP_003395095.1	XP_015838130.1
OG0000858	XP_012170951.1	XP_975095.1
OG0000859	XP_012164139.1, XP_012164154.1, XP_012164160.1, XP_012164147.1	XP_008194278.1
OG0000860	XP_003394311.1	XP_968421.2
OG0000862	XP_003395982.1	XP_015839850.1, XP_015839851.1
OG0000863	XP_003403039.1, XP_012175002.1, XP_012175001.1	XP_008191661.1
OG0000864	XP_012163958.1	XP_001810857.1
OG0000865	XP_012164079.1, XP_020718611.1	XP_966867.1, XP_975287.1
OG0000867	XP_012166142.1, XP_003396980.1, XP_020719315.1, XP_020719313.1, XP_020719314.1	XP_008196728.1, XP_970067.1, XP_008196726.1, XP_008196725.1
OG0000868	XP_020723310.1	XP_008199462.1, XP_008199456.1
OG0000869	XP_012167588.1, XP_003397889.1	XP_008191933.1, XP_975387.1
OG0000870	XP_003401670.1, XP_012172959.1, XP_012172958.1	XP_970817.2, XP_008191521.1, XP_008191514.1, XP_970023.1, XP_015840225.1, XP_015840224.1
OG0000871	XP_003400941.1	XP_972974.1
OG0000872	XP_012176769.1	XP_975496.1
OG0000873	XP_012176736.1	XP_008200174.2, XP_968354.1, XP_008200004.1, XP_015838086.1, XP_015838088.1, XP_015838087.1, XP_008197049.1, XP_008197050.1, NP_001153727.1, XP_008197048.1, XP_968596.1
OG0000874	XP_003396333.1, XP_012165312.1, XP_012165311.1	XP_008199106.1, XP_974993.1
OG0000875	XP_003400299.1, XP_012171080.1	NP_001280510.1
OG0000876	XP_003403104.1, XP_012175097.1, XP_012175096.1	XP_966990.1
OG0000877	XP_012171004.1, XP_012171005.1, XP_012171009.1, XP_012171010.1, XP_012171003.1, XP_020721912.1, XP_020721911.1, XP_020721910.1, XP_012171011.1	XP_008196449.1, XP_008196452.1
OG0000878	XP_012166400.1	XP_008199398.1
OG0000878	XP_012166398.1	XP_008193969.1
OG0000879	XP_003400151.1	XP_968223.1
OG0000880	XP_012171495.1, XP_020722002.1, XP_003400662.1	XP_973332.1
OG0000881	XP_020720593.1, XP_003398360.1, XP_012168067.1, XP_012168068.1, XP_012168069.1, XP_012168071.1	XP_975088.1
OG0000882	XP_003398034.1	XP_973361.2, XP_008193581.1
OG0000883	XP_012172830.1	XP_008194497.1
OG0000884	XP_012172793.1	XP_008196302.1
OG0000885	XP_012166636.1	XP_015840975.1, XP_008190312.1
OG0000886	XP_003400850.1	XP_008197067.1
OG0000887	XP_003402796.1, XP_003402795.1	XP_974918.1
OG0000888	XP_012172930.1, XP_003401651.1	XP_976484.1
OG0000890	XP_003395103.1	XP_015839379.1
OG0000892	XP_003402957.1, XP_020719259.1, XP_020719258.1	XP_971720.1
OG0000893	XP_012165090.1, XP_012165087.1	XP_015840762.1
OG0000894	XP_012168877.1, XP_003398880.1, XP_012168876.1, XP_012168875.1, XP_012168874.1, XP_012168873.1	XP_008196971.1
OG0000895	XP_012176521.1	XP_015838580.1, XP_015838577.1
OG0000896	XP_020722610.1, XP_012172386.1	XP_008199894.2, XP_008194610.1
OG0000897	XP_012165977.1, XP_012165978.1, XP_012165980.1	XP_972954.1
OG0000898	XP_003395307.1, XP_003393516.1	XP_973433.1
OG0000899	XP_012167012.1, XP_003397491.1	XP_008197394.1, XP_008197388.1
OG0000900	XP_020721653.1	XP_975518.1
OG0000901	XP_003403269.2	XP_972742.1
OG0000902	XP_012170198.1, XP_003399677.2, XP_012170197.2, XP_003403002.3, XP_020721954.1	XP_015836082.1
OG0000904	XP_012168259.1	XP_008193109.1
OG0000905	XP_020719514.1, XP_020719515.1	XP_015834466.1, XP_974925.1
OG0000906	XP_003395943.1	XP_015835817.1
OG0000906	XP_020720661.1	XP_015834567.1, XP_008195291.2
OG0000909	XP_020722950.1	XP_008193249.1
OG0000910	XP_012170668.1	XP_008195539.1
OG0000911	XP_012171867.1, XP_012171868.1, XP_012171871.1, XP_012171870.1	XP_008199253.1
OG0000912	XP_003398020.1	XP_008200507.1
OG0000913	XP_012169154.2	XP_015834654.1, XP_008192488.1, XP_008196951.1
OG0000914	XP_012175153.1	XP_008198899.1, XP_967645.1
OG0000915	XP_003394487.1	XP_008198828.2, XP_008194579.1
OG0000916	XP_003394165.1	XP_972862.1
OG0000917	XP_003403224.1	XP_974228.1
OG0000918	XP_003398959.1	XP_008198658.1, XP_966808.3
OG0000919	XP_003395200.1, XP_012163649.1	XP_973176.1
OG0000920	XP_003392877.1, XP_003392876.1	XP_972603.1
OG0000921	XP_003398323.1	XP_975525.1
OG0000922	XP_012174981.1, XP_020723817.1, XP_020723818.1, XP_020723816.1, XP_020723815.1, XP_003403218.1, XP_012174982.1	XP_975585.1, XP_015837975.1
OG0000923	XP_020719661.1	XP_008200555.2, NP_001107795.1
OG0000924	XP_012176362.2	XP_015840070.1
OG0000925	XP_020724045.1	XP_970135.2
OG0000927	XP_012174351.1, XP_003402684.1	XP_970926.1
OG0000928	XP_020720576.1, XP_003402550.2	XP_970970.3
OG0000929	XP_003401209.1	XP_008201261.2
OG0000930	XP_003401932.1, XP_012173409.1	XP_974670.1
OG0000931	XP_012172739.1	NP_001306946.1
OG0000932	XP_003400982.1	XP_967792.1
OG0000933	XP_003393129.2	NP_001300806.1
OG0000934	XP_003395692.1	NP_001164081.1, XP_008200118.1
OG0000935	XP_020721705.1	XP_969053.1, XP_968762.2, XP_015836672.1, XP_968905.2, XP_968838.1
OG0000936	XP_020719426.1, XP_012166123.1	XP_008190860.2
OG0000937	XP_020719824.1	XP_008200071.1
OG0000938	XP_012173298.1, XP_012173299.1, XP_012173296.1, XP_003401876.1, XP_003401877.1, XP_012173297.1	XP_968610.1
OG0000939	XP_020719355.1	XP_001811241.1
OG0000939	XP_020719492.1	XP_008191643.1
OG0000941	XP_012167700.1, XP_012167701.1, XP_012167699.1, XP_003397976.1	XP_008197366.1, XP_969423.1
OG0000943	XP_020722511.1, XP_020722513.1, XP_020722514.1, XP_012172295.2	XP_970739.1
OG0000944	XP_003400723.1, XP_012171735.1	XP_966560.1
OG0000945	XP_003398247.1, XP_012167748.1	XP_967690.1
OG0000946	XP_012171053.1	XP_971878.2
OG0000947	XP_020722503.1	XP_015838046.1
OG0000948	XP_003400497.1, XP_012171372.1, XP_012171371.1, XP_012171370.1	XP_967077.2
OG0000949	XP_003396024.1	NP_001164308.1, XP_008191735.1
OG0000950	XP_012174422.1, XP_012174421.1, XP_003402776.1	XP_015834523.1, XP_015834522.1
OG0000951	XP_003403130.1, XP_020723830.1	XP_970664.1
OG0000952	XP_012167440.1, XP_003397848.1	XP_015834328.1, XP_975405.2
