HOG	OG	Gene Tree Parent Clade	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
N2.HOG0000015	OG0000002	n0			XP_017875143.1, XP_017883322.1				XP_012143823.1, XP_012135024.1, XP_012136214.1, XP_012152412.1, XP_012151867.1, XP_012151332.1, XP_012145743.1, XP_012152397.1, XP_012147725.1, XP_012145356.1, XP_012142411.1, XP_012146123.1, XP_012151895.1, XP_012145447.1, XP_012153566.1, XP_012145944.1, XP_012153196.1, XP_012151865.1, XP_012151856.1, XP_012148434.1, XP_012152388.1, XP_012153201.1, XP_012151877.1, XP_012150920.1, XP_012152745.1, XP_012152146.1, XP_012148636.1, XP_012145736.1, XP_012152959.1, XP_012151963.1, XP_012151851.1, XP_012153198.1, XP_012150518.1, XP_012153203.1, XP_012151347.1, XP_012147486.1, XP_012135784.1, XP_012147726.1, XP_012153195.1, XP_012152411.1, XP_003708538.1, XP_012152117.1, XP_012152116.1, XP_012136208.1, XP_012152724.1, XP_012151339.1, XP_012147360.1, XP_012136801.1, XP_012152727.1, XP_012152740.1, XP_012146525.1, XP_012153233.1, XP_012143819.1, XP_012134488.1, XP_012153583.1, XP_012147281.1, XP_012136802.1, XP_012152147.1, XP_003708045.1, XP_012152122.1, XP_012136800.1, XP_012153563.1	XP_033339901.1	XP_031847717.1, XP_031848962.1, XP_031848506.1, XP_031842135.1, XP_031848466.1, XP_031847716.1	XP_029053970.1, XP_029054640.1, XP_029054662.1, XP_029054582.1, XP_029055088.1, XP_029054218.1, XP_029054802.1, XP_029054415.1, XP_029054961.1, XP_029055145.1, XP_029054805.1, XP_029054649.1, XP_029054285.1, XP_029054992.1, XP_029054648.1, XP_029053742.1, XP_029053969.1, XP_029054398.1, XP_029054261.1, XP_029054346.1, XP_029054124.1, XP_029054772.1, XP_029054770.1, XP_029054786.1, XP_029054870.1, XP_029054778.1, XP_029054064.1, XP_029054855.1, XP_029053863.1, XP_029054942.1	XP_034195203.1
N2.HOG0000016	OG0000003	n6			XP_026674026.1				XP_003708658.2	XP_033341681.1		XP_029047735.1	XP_034179601.1
N2.HOG0000017	OG0000003	n14			XP_026670097.1				XP_012151823.1	XP_033323333.1		XP_029041384.1	XP_034180267.1
N2.HOG0000018	OG0000003	n20			XP_026672559.1				XP_012153548.1			XP_029039566.1	XP_034179159.1
N2.HOG0000019	OG0000003	n25			XP_026673535.1				XP_003708043.2	XP_033322693.1		XP_029050239.1	XP_034191713.1
N2.HOG0000020	OG0000003	n32			XP_017886409.1				XP_012153483.1			XP_029039456.1	XP_034179953.1
N2.HOG0000021	OG0000003	n38			XP_026668000.1				XP_012147777.1				
N2.HOG0000022	OG0000003	n42			XP_026666919.1				XP_012153032.1	XP_033339868.1, XP_033332200.1		XP_029054115.1	XP_034190797.1
N2.HOG0000023	OG0000003	n52			XP_026668599.1				XP_012148645.1	XP_033343017.1			XP_034174982.1
N2.HOG0000024	OG0000003	n57			XP_026675453.1, XP_026674385.1, XP_026671188.1				XP_012140855.1	XP_033329125.1		XP_029043447.1, XP_029043848.1	XP_034195921.1
N2.HOG0000025	OG0000003	n68			XP_026667107.1				XP_012137427.1, XP_012137428.1	XP_033332176.1		XP_029048153.1	XP_034176871.1
N2.HOG0000026	OG0000003	n74			XP_026673034.1				XP_012154186.1	XP_033342927.1		XP_029044167.1	XP_034175497.1
N2.HOG0000027	OG0000003	n80			XP_017878877.2				XP_012147749.1	XP_033329947.1		XP_029041052.1	XP_034181068.1
N2.HOG0000028	OG0000003	n86			XP_026674744.1				XP_012140860.1	XP_033321060.1		XP_029050404.1	XP_034195945.1
N2.HOG0000029	OG0000003	n92			XP_017887523.2					XP_033323893.1			
N2.HOG0000030	OG0000004	n3							XP_003703411.1	XP_033321090.1	XP_031839007.1	XP_029050383.1	XP_034195958.1
N2.HOG0000031	OG0000004	n10			XP_017887163.1				XP_012145773.1			XP_029039353.1	XP_034180231.1
N2.HOG0000032	OG0000004	n14							XP_012145771.1, XP_012145774.1	XP_033323905.1, XP_033323903.1, XP_033323904.1	XP_031837183.1	XP_029039355.1, XP_029039354.1	XP_034180230.1, XP_034180232.1
N2.HOG0000033	OG0000004	n26			XP_017887153.1, XP_017887158.1, XP_017887159.1, XP_026668851.1, XP_017887161.1	XP_015439019.1, XP_015438919.1, XP_015438920.1, XP_015438921.1				XP_033323895.1, XP_033323884.1, XP_033323894.1	XP_031837097.1	XP_029039416.1	XP_034180228.1, XP_034180226.1
N2.HOG0000034	OG0000004	n53							XP_012145775.1			XP_029039350.1	
N2.HOG0000035	OG0000004	n55			XP_017882209.1, XP_017882285.1, XP_017888595.2, XP_017882161.1, XP_017882162.1								
N2.HOG0000036	OG0000004	n60			XP_026672903.1	XP_015439018.1, XP_015438918.1			XP_003705489.1, XP_003705491.1	XP_033323896.1, XP_033323886.1, XP_033323885.1, XP_033323887.1	XP_031842170.1, XP_031848136.1, XP_031837098.1, XP_031848280.1, XP_031848281.1, XP_031847205.1, XP_031848282.1, XP_031848703.1	XP_029039348.1, XP_029039349.1	XP_034180227.1
N2.HOG0000037	OG0000004	n86							XP_003705490.2, XP_003705488.1	XP_033323897.1	XP_031848283.1		
N2.HOG0000038	OG0000005	n4								XP_033330636.1	XP_031834418.1	XP_029054180.1	
N2.HOG0000039	OG0000005	n13				XP_015433590.1			XP_012135719.1				
N2.HOG0000040	OG0000005	n16				XP_015435240.1							
N2.HOG0000041	OG0000005	n17				XP_015432529.1, XP_015433578.1, XP_015430060.1, XP_015437444.1, XP_015428689.1							
N2.HOG0000042	OG0000005	n25								XP_033340902.1		XP_029053578.1	
N2.HOG0000043	OG0000005	n40			XP_026667471.1								
N2.HOG0000044	OG0000005	n42							XP_012148649.1				
N2.HOG0000045	OG0000005	n44							XP_003708364.1				
N2.HOG0000046	OG0000005	n45							XP_012152028.1				
N2.HOG0000047	OG0000005	n47				XP_015437574.1			XP_012143994.1	XP_033331349.1			
N2.HOG0000048	OG0000005	n51			XP_017890440.1	XP_015440329.1, XP_015437007.1, XP_015429413.1, XP_015436815.1				XP_033335340.1, XP_033334345.1		XP_029050939.1	
N2.HOG0000049	OG0000005	n61							XP_003705684.1, XP_003704143.1, XP_003708133.2, XP_012149733.1	XP_033331393.1			
N2.HOG0000050	OG0000005	n70				XP_015440315.1							
N2.HOG0000051	OG0000005	n72				XP_015438097.1, XP_015438320.1, XP_015438738.1, XP_015434210.1, XP_015439948.1, XP_015438307.1			XP_012152731.1	XP_033324870.1, XP_033322610.1			
N2.HOG0000052	OG0000005	n80				XP_015437851.1, XP_015438720.1							
N2.HOG0000053	OG0000006	n7			XP_017883621.2, XP_026671151.1, XP_017883632.2								
N2.HOG0000054	OG0000006	n12			XP_026671133.1								
N2.HOG0000055	OG0000006	n15			XP_026671131.1, XP_017883644.1								
N2.HOG0000056	OG0000006	n25							XP_012142565.1, XP_012142566.1, XP_012142564.1, XP_003704115.1			XP_029049217.1, XP_029049008.1, XP_029049232.1	XP_034183284.1, XP_034183285.1, XP_034183048.1
N2.HOG0000057	OG0000006	n35			XP_026671129.1, XP_026671149.1, XP_026671142.1, XP_026671158.1, XP_026671138.1, XP_026671141.1, XP_026671140.1, XP_017883641.2, XP_017883640.2								
N2.HOG0000058	OG0000006	n52			XP_026671157.1, XP_026671137.1, XP_026671130.1							XP_029049978.1	XP_034183283.1
N2.HOG0000059	OG0000006	n67			XP_026671159.1								
N2.HOG0000060	OG0000006	n73			XP_026668068.1								XP_034183052.1
N2.HOG0000061	OG0000006	n77			XP_026673595.1, XP_026672990.1, XP_017885481.2, XP_026668849.1, XP_026668673.1, XP_026667535.1, XP_026671444.1								
N2.HOG0000062	OG0000007	n8							XP_012143129.1, XP_012142989.1	XP_033331526.1, XP_033331536.1	XP_031827715.1, XP_031827663.1, XP_031827716.1		
N2.HOG0000063	OG0000007	n15				XP_015432301.1				XP_033331537.1, XP_033331539.1, XP_033331538.1, XP_033331528.1, XP_033332233.1, XP_033332232.1, XP_033331540.1, XP_033331527.1, XP_033332229.1, XP_033331543.1, XP_033331542.1, XP_033332230.1, XP_033331544.1, XP_033332235.1, XP_033332231.1, XP_033332227.1	XP_031827713.1, XP_031827714.1		
N2.HOG0000064	OG0000007	n37							XP_012143124.1, XP_012143123.1, XP_012142982.1, XP_012143126.1, XP_012143125.1, XP_003704370.1, XP_012143127.1, XP_012143128.1			XP_029036178.1, XP_029036177.1	XP_034178503.1
N2.HOG0000065	OG0000007	n49									XP_031827662.1		
N2.HOG0000066	OG0000007	n51								XP_033332228.1, XP_033331530.1			
N2.HOG0000067	OG0000007	n55			XP_017883370.2	XP_015432304.1				XP_033331535.1		XP_029036173.1	XP_034178574.1
N2.HOG0000068	OG0000007	n63							XP_012142988.1, XP_003704378.1, XP_012143130.1		XP_031827664.1	XP_029036176.1, XP_029036174.1, XP_029036170.1	XP_034178514.1, XP_034178511.1, XP_034178577.1, XP_034178504.1, XP_034178513.1, XP_034178578.1, XP_034178576.1, XP_034178575.1, XP_034178500.1, XP_034178499.1
N2.HOG0000069	OG0000007	n80				XP_015432328.1, XP_015432303.1							
N2.HOG0000070	OG0000008	n1			XP_026667260.1, XP_026669747.1, XP_026669980.1, XP_026669995.1				XP_012152307.1			XP_029038900.1, XP_029038863.1, XP_029038888.1, XP_029038873.1	XP_034196053.1, XP_034179608.1, XP_034179620.1, XP_034191910.1, XP_034196577.1
N2.HOG0000071	OG0000008	n18			XP_026674805.1, XP_026667259.1, XP_026667263.1, XP_026669241.1, XP_017890641.2, XP_026674585.1	XP_015439489.1			XP_012151894.1, XP_012152339.1, XP_012152319.1, XP_012148352.1	XP_033339129.1, XP_033339131.1, XP_033339133.1, XP_033339132.1, XP_033339140.1, XP_033328276.1, XP_033339130.1, XP_033339139.1, XP_033339137.1, XP_033339287.1, XP_033339138.1, XP_033339134.1	XP_031838462.1, XP_031838476.1, XP_031838503.1, XP_031838489.1	XP_029038274.1	XP_034196442.1
N2.HOG0000072	OG0000009	n1									XP_031848883.1, XP_031848885.1	XP_029054361.1	
N2.HOG0000073	OG0000009	n14									XP_031829449.1	XP_029054823.1	
N2.HOG0000074	OG0000009	n20									XP_031848866.1		
N2.HOG0000075	OG0000009	n27								XP_033334293.1	XP_031848769.1		
N2.HOG0000076	OG0000009	n33									XP_031839043.1		
N2.HOG0000077	OG0000009	n42									XP_031848507.1		
N2.HOG0000078	OG0000009	n52									XP_031836774.1		
N2.HOG0000079	OG0000009	n56									XP_031836767.1		
N2.HOG0000080	OG0000009	n64									XP_031836982.1, XP_031836768.1		
N2.HOG0000081	OG0000009	n71										XP_029053897.1	
N2.HOG0000082	OG0000010	n3			XP_017875625.1	XP_015436794.1				XP_033322848.1	XP_031848143.1		
N2.HOG0000083	OG0000010	n10			XP_017877449.1	XP_015438692.1				XP_033330101.1	XP_031835042.1		
N2.HOG0000084	OG0000010	n16							XP_012136030.1, XP_003703285.1			XP_029041947.1, XP_029050411.1	XP_034191028.1, XP_034195488.1
N2.HOG0000085	OG0000010	n23			XP_017886375.1	XP_015439422.1			XP_012153286.1	XP_033322375.1	XP_031842986.1	XP_029045841.1	XP_034193748.1
N2.HOG0000086	OG0000010	n34			XP_017877929.1	XP_015430801.1			XP_012138042.1	XP_033327050.1	XP_031833332.1	XP_029032964.1	XP_034174737.1
N2.HOG0000087	OG0000010	n46			XP_017889379.1	XP_015433215.1			XP_012146805.1	XP_033327650.1	XP_031847407.1	XP_029036716.1	XP_034193717.1
N2.HOG0000088	OG0000010	n56			XP_017889363.1				XP_012143992.1, XP_012143991.1	XP_033340658.1	XP_031825712.1	XP_029039496.1	XP_034179614.1
N2.HOG0000089	OG0000010	n66			XP_026670794.1	XP_015437923.1			XP_012148553.1	XP_033322343.1	XP_031844860.1	XP_029034840.1	XP_034179069.1
N2.HOG0000090	OG0000011	n2			XP_026673541.1, XP_026667344.1, XP_026667348.1, XP_026673555.1, XP_026673556.1				XP_012138607.1, XP_012145209.1, XP_012144879.1, XP_012138783.1, XP_012138602.1, XP_012152457.1, XP_012143815.1, XP_012144545.1, XP_012144703.1, XP_012138996.1, XP_012135624.1, XP_012144983.1, XP_012152700.1, XP_012138758.1, XP_012143908.1				
N2.HOG0000091	OG0000011	n25			XP_026675078.1				XP_012143136.1, XP_003704403.2, XP_012143137.1, XP_012143140.1, XP_012143138.1, XP_012143135.1, XP_012138695.1, XP_012138654.1			XP_029048590.1, XP_029048589.1, XP_029052850.1	XP_034178174.1, XP_034176023.1
N2.HOG0000092	OG0000011	n41			XP_017889271.2				XP_012138745.1, XP_012138734.1			XP_029052867.1, XP_029052866.1, XP_029052877.1, XP_029052851.1	XP_034176024.1, XP_034175224.1, XP_034175225.1
N2.HOG0000093	OG0000012	n5							XP_012135238.1, XP_012135237.1, XP_012135239.1, XP_012135236.1, XP_003700918.2, XP_003700914.1			XP_029048279.1, XP_029054354.1	
N2.HOG0000094	OG0000012	n16							XP_003700933.2, XP_003700932.1			XP_029048309.1	
N2.HOG0000095	OG0000012	n19			XP_026672267.1, XP_017878894.2								
N2.HOG0000096	OG0000012	n24			XP_017878907.2	XP_015431139.1							
N2.HOG0000097	OG0000012	n26				XP_015431081.1			XP_003700911.2		XP_031834537.1, XP_031834872.1, XP_031834871.1	XP_029034389.1	XP_034171927.1
N2.HOG0000098	OG0000012	n34			XP_017878896.1, XP_017878895.1, XP_017878897.1, XP_017878898.1, XP_017878899.1, XP_026668785.1				XP_012135096.1, XP_003700912.1, XP_003700913.1, XP_003700836.1, XP_003700837.1			XP_029034428.1	XP_034171015.1
N2.HOG0000099	OG0000012	n51			XP_026668770.1	XP_015431092.1						XP_029034429.1	XP_034171014.1
N2.HOG0000100	OG0000012	n58			XP_026668781.1, XP_026668773.1				XP_012135234.1, XP_012135233.1				
N2.HOG0000101	OG0000013	n28			XP_017888231.1	XP_015435409.1, XP_015440404.1				XP_033328965.1, XP_033328768.1			XP_034173944.1
N2.HOG0000102	OG0000013	n35			XP_017875197.1	XP_015438102.1							
N2.HOG0000103	OG0000013	n36											XP_034173511.1
N2.HOG0000104	OG0000013	n37								XP_033328624.1			
N2.HOG0000105	OG0000013	n41			XP_017884545.1	XP_015434157.1, XP_015434156.1			XP_003708096.1, XP_003708097.1	XP_033330798.1	XP_031829654.1, XP_031829653.1	XP_029037649.1, XP_029037650.1	XP_034191425.1
N2.HOG0000106	OG0000013	n57			XP_017884546.1					XP_033330794.1		XP_029053372.1	XP_034191426.1
N2.HOG0000107	OG0000014	n0			XP_026666970.1				XP_012142755.1, XP_012152152.1, XP_012152440.1			XP_029054401.1, XP_029055209.1, XP_029054402.1, XP_029055245.1, XP_029054235.1, XP_029054850.1, XP_029054450.1, XP_029054739.1, XP_029054177.1	XP_034195148.1, XP_034195155.1, XP_034195178.1, XP_034194793.1, XP_034190401.1, XP_034182478.1, XP_034195131.1, XP_034195156.1, XP_034172341.1, XP_034194536.1, XP_034194995.1, XP_034195295.1, XP_034194634.1, XP_034174770.1, XP_034192189.1, XP_034179509.1, XP_034195039.1, XP_034194643.1, XP_034194829.1, XP_034195331.1, XP_034195249.1, XP_034195330.1, XP_034184625.1, XP_034194949.1, XP_034195323.1, XP_034194563.1, XP_034184619.1, XP_034195324.1, XP_034194837.1, XP_034192366.1, XP_034182490.1, XP_034179313.1, XP_034194805.1, XP_034194836.1, XP_034194953.1, XP_034195179.1, XP_034194794.1, XP_034195185.1, XP_034195057.1, XP_034194871.1, XP_034195055.1, XP_034194954.1, XP_034195329.1, XP_034195227.1, XP_034195149.1, XP_034195129.1, XP_034194811.1, XP_034195165.1, XP_034177367.1, XP_034195313.1
N2.HOG0000108	OG0000015	n10			XP_026673239.1							XP_029054575.1	XP_034171788.1, XP_034171836.1, XP_034173508.1
N2.HOG0000109	OG0000015	n14			XP_017881017.1				XP_003707916.2	XP_033328607.1		XP_029051698.1, XP_029051696.1, XP_029055089.1, XP_029053456.1, XP_029053954.1, XP_029053953.1, XP_029053457.1, XP_029054574.1	XP_034173514.1, XP_034195016.1, XP_034183944.1
N2.HOG0000110	OG0000015	n27							XP_003703728.2	XP_033328578.1	XP_031848812.1, XP_031839375.1		
N2.HOG0000111	OG0000015	n32										XP_029053360.1	XP_034173938.1
N2.HOG0000112	OG0000015	n37										XP_029051991.1	XP_034173428.1
N2.HOG0000113	OG0000015	n45								XP_033328495.1, XP_033328493.1, XP_033337165.1, XP_033337190.1	XP_031826007.1		
N2.HOG0000114	OG0000015	n51									XP_031849058.1		
N2.HOG0000115	OG0000015	n52									XP_031839363.1		
N2.HOG0000116	OG0000015	n53			XP_017888175.1	XP_015435410.1, XP_015438105.1, XP_015435373.1					XP_031839489.1		
N2.HOG0000117	OG0000016	n3			XP_017875198.1	XP_015438103.1, XP_015435411.1, XP_015440405.1			XP_012137782.1	XP_033328773.1, XP_033328969.1, XP_033328968.1	XP_031839490.1, XP_031839491.1, XP_031839376.1	XP_029053459.1, XP_029051993.1	XP_034172221.1, XP_034173945.1, XP_034172089.1
N2.HOG0000118	OG0000016	n22										XP_029053460.1	
N2.HOG0000119	OG0000016	n33			XP_017887569.1				XP_003703732.1	XP_033328627.1, XP_033328626.1		XP_029035641.1, XP_029053960.1, XP_029054966.1, XP_029053373.1	XP_034195019.1, XP_034171801.1, XP_034174017.1, XP_034172482.1, XP_034172344.1, XP_034173947.1, XP_034184143.1
N2.HOG0000120	OG0000016	n50			XP_017888171.1								XP_034173516.1
N2.HOG0000121	OG0000016	n52				XP_015435403.1						XP_029053959.1	XP_034173430.1
N2.HOG0000122	OG0000016	n55							XP_003703730.1			XP_029035639.1	
N2.HOG0000123	OG0000016	n56			XP_017887602.1								
N2.HOG0000124	OG0000017	n1			XP_017883367.1	XP_015431114.1			XP_003705867.1	XP_033333867.1	XP_031838689.1	XP_029048067.1	XP_034196002.1
N2.HOG0000125	OG0000017	n14			XP_017890581.1	XP_015438127.1, XP_015437283.1, XP_015437285.1			XP_012135493.1	XP_033342250.1	XP_031833356.1, XP_031835583.1	XP_029049735.1	XP_034193261.1
N2.HOG0000126	OG0000017	n27			XP_017889371.1	XP_015433210.1			XP_012146800.1	XP_033327648.1	XP_031847312.1	XP_029036695.1	XP_034193694.1
N2.HOG0000127	OG0000017	n37			XP_017890591.1	XP_015437296.1			XP_003699290.1	XP_033342252.1	XP_031835584.1	XP_029049738.1	XP_034193265.1
N2.HOG0000128	OG0000017	n47			XP_026673004.1	XP_015440532.1			XP_003699343.1	XP_033334914.1	XP_031850164.1	XP_029051327.1	XP_034175482.1
N2.HOG0000129	OG0000018	n1			XP_017875523.1	XP_015439239.1			XP_003707128.1	XP_033336615.1	XP_031845953.1	XP_029039161.1	XP_034192090.1
N2.HOG0000130	OG0000018	n13			XP_026666570.1	XP_015435217.1			XP_012137444.1	XP_033335700.1	XP_031837355.1	XP_029032685.1	XP_034180178.1
N2.HOG0000131	OG0000018	n24			XP_017890435.1	XP_015435565.1			XP_012152266.1	XP_033335042.1	XP_031838504.1	XP_029042775.1	XP_034176568.1
N2.HOG0000132	OG0000018	n34			XP_017879415.1	XP_015429287.1			XP_012148170.1	XP_033333911.1	XP_031834066.1	XP_029053164.1	XP_034188060.1
N2.HOG0000133	OG0000018	n44			XP_017893293.1	XP_015435216.1			XP_003701916.1	XP_033335707.1	XP_031837354.1	XP_029032763.1	XP_034180395.1
N2.HOG0000134	OG0000019	n1			XP_017893620.1	XP_015430802.1			XP_003706217.1	XP_033338100.1	XP_031845337.1	XP_029035838.1	XP_034187515.1
N2.HOG0000135	OG0000019	n13			XP_026666868.1	XP_015430705.1				XP_033338103.1	XP_031845030.1	XP_029035984.1	XP_034187518.1
N2.HOG0000136	OG0000019	n22			XP_017893591.1	XP_015430702.1			XP_003706216.1	XP_033338099.1	XP_031845459.1	XP_029035967.1	XP_034187514.1
N2.HOG0000137	OG0000019	n35				XP_015434046.1			XP_003702759.1	XP_033330917.1	XP_031832931.1	XP_029041778.1	XP_034180852.1
N2.HOG0000138	OG0000019	n43			XP_026671682.1	XP_015430803.1				XP_033338102.1	XP_031845460.1		
N2.HOG0000139	OG0000019	n46			XP_017893593.1				XP_012147418.1			XP_029035983.1	XP_034187516.1
N2.HOG0000140	OG0000020	n1			XP_026674182.1	XP_015437926.1			XP_003704733.2, XP_012143893.1	XP_033339806.1	XP_031847372.1	XP_029040920.1	XP_034179211.1
N2.HOG0000141	OG0000020	n12			XP_017889349.2, XP_017889350.1	XP_015437927.1			XP_012143986.1, XP_012143891.1, XP_012143985.1, XP_012143988.1	XP_033339803.1	XP_031847522.1, XP_031847371.1, XP_031847370.1, XP_031847521.1	XP_029040923.1, XP_029040922.1, XP_029040927.1, XP_029040930.1, XP_029040925.1, XP_029040871.1	XP_034179208.1, XP_034179226.1, XP_034179214.1, XP_034179212.1, XP_034179508.1, XP_034179507.1
N2.HOG0000142	OG0000021	n11			XP_017880121.1, XP_017880123.1	XP_015434651.1				XP_033322540.1			
N2.HOG0000143	OG0000021	n15								XP_033322535.1			
N2.HOG0000144	OG0000021	n16				XP_015434661.1					XP_031828119.1		XP_034183066.1
N2.HOG0000145	OG0000021	n18										XP_029038899.1	
N2.HOG0000146	OG0000021	n19			XP_017880124.1					XP_033322547.1	XP_031848803.1, XP_031846796.1		
N2.HOG0000147	OG0000021	n24							XP_003706098.1, XP_003706097.1				
N2.HOG0000148	OG0000021	n27			XP_017892322.1	XP_015433852.1			XP_003702208.1	XP_033333605.1	XP_031836959.1	XP_029032653.1	XP_034174481.1
N2.HOG0000149	OG0000021	n37			XP_017893662.1				XP_003700544.1	XP_033338815.1		XP_029053007.1	XP_034186914.1
N2.HOG0000150	OG0000021	n45				XP_015434640.1			XP_003706099.1	XP_033322537.1		XP_029038902.1	XP_034183063.1
N2.HOG0000151	OG0000022	n1							XP_012141582.1			XP_029051957.1	XP_034182100.1
N2.HOG0000152	OG0000022	n4			XP_017878373.1, XP_017892959.1	XP_015436653.1							
N2.HOG0000153	OG0000022	n9			XP_017878763.1	XP_015435180.1						XP_029054642.1	
N2.HOG0000154	OG0000022	n13				XP_015438886.1			XP_012152965.1, XP_012147489.1, XP_012135752.1, XP_012145822.1, XP_012146605.1				
N2.HOG0000155	OG0000022	n19			XP_017891439.1	XP_015438310.1			XP_012146322.1		XP_031828440.1		
N2.HOG0000156	OG0000022	n26							XP_012150588.1, XP_012150531.1, XP_012152709.1, XP_012148353.1				XP_034177369.1, XP_034172342.1
N2.HOG0000157	OG0000022	n32			XP_026675630.1, XP_026675334.1	XP_015438096.1, XP_015437428.1, XP_015438891.1, XP_015440032.1, XP_015433591.1			XP_012142648.1	XP_033321457.1, XP_033334493.1, XP_033334291.1, XP_033334295.1	XP_031843910.1		
