Orthogroup	Ceratina_calcarata	Aedes_aegypti
OG0000066	XP_017893308.1, XP_017886546.1, XP_017892307.1, XP_026666824.1, XP_026673906.1, XP_026674185.1, XP_017892139.2, XP_026672447.1	XP_021704301.1
OG0000067	XP_017879415.1	XP_001653435.1
OG0000067	XP_017890435.1	XP_001654897.1
OG0000067	XP_017893293.1	XP_001653950.2, XP_001654592.2
OG0000067	XP_017875523.1	XP_001661370.1, XP_021698916.1
OG0000077	XP_017875015.1	XP_001658180.2
OG0000077	XP_026672146.1, XP_026671946.1, XP_017888250.2, XP_017885489.2, XP_017893147.2, XP_026672126.1	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2
OG0000080	XP_017890681.1	XP_021693685.1
OG0000082	XP_017884449.1, XP_017884391.1, XP_017884390.1	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1
OG0000085	XP_017890150.1, XP_026671441.1	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1
OG0000086	XP_017886282.1, XP_017890445.1	XP_021701219.1
OG0000086	XP_017889819.1	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2
OG0000087	XP_017889598.1, XP_017889597.1	XP_001648461.1, XP_001648458.1
OG0000087	XP_017889543.1, XP_026674171.1	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1
OG0000088	XP_017876693.1	XP_021702205.1
OG0000089	XP_017879467.1, XP_017879474.1, XP_026669111.1, XP_026669105.1, XP_026669096.1	XP_001654187.2
OG0000091	XP_017878945.1, XP_017878947.1, XP_017875917.2	XP_021699738.1
OG0000092	XP_017890756.1	XP_021707375.1
OG0000092	XP_017883478.1	XP_021709998.1, XP_001655951.1
OG0000094	XP_017888932.1	XP_021702456.1, XP_001660396.2
OG0000094	XP_017879892.1, XP_017892146.2, XP_017879895.1	XP_001651974.1, XP_001652484.1, XP_001656201.1
OG0000094	XP_026667942.1, XP_017877215.1	XP_021704594.1
OG0000095	XP_017892624.1, XP_026675535.1, XP_026667713.1, XP_026667550.1, NP_001352264.1, XP_017882357.2, XP_026666988.1	XP_001649682.2
OG0000096	XP_026671822.1	XP_001656233.2, XP_001663568.1, XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1
OG0000096	XP_017880991.1, XP_017890421.1, XP_017876925.1, XP_026674562.1	XP_021710758.1, XP_021710759.1, XP_001663099.2, XP_021698426.1, XP_001663097.2
OG0000097	XP_017882777.1, XP_017882779.1, XP_026670731.1, XP_026670734.1, XP_026670732.1, XP_026669182.1, XP_017879834.1	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1
OG0000098	XP_017882103.1, XP_017882102.1, XP_017882104.1, XP_017882105.1, XP_026670298.1	XP_001660410.1
OG0000099	XP_017878131.1	XP_021708064.1, XP_021708068.1, XP_021708072.1
OG0000099	XP_017882904.1	XP_001650952.2
OG0000099	XP_017889756.1	XP_021710287.1
OG0000100	XP_026672742.1, XP_026672741.1, XP_026672740.1	XP_001662579.2
OG0000101	XP_026672149.1	XP_001652481.1
OG0000101	XP_017885597.1	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1, XP_001655711.1
OG0000102	XP_017888807.1, XP_017888735.1	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2
OG0000103	XP_017881956.1	XP_001661506.1
OG0000108	XP_017875876.1, XP_026667327.1, XP_017875874.1, XP_026667326.1	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1
OG0000109	XP_017877144.1, XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1	XP_021709303.1
OG0000110	XP_026671942.1, XP_026671669.1, XP_026671670.1, XP_017884745.1	XP_021711612.1, XP_021711613.1
OG0000111	XP_017892963.2	XP_021704753.1
OG0000112	XP_026668642.1, XP_017878656.1, XP_017878658.1	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1
OG0000112	XP_017883504.1, XP_026671066.1	XP_021703753.1
OG0000113	XP_017875141.1, XP_017886534.2, XP_017878803.1	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1
OG0000114	XP_017890039.2	XP_001656658.2
OG0000115	XP_017887780.1, XP_017887778.1, XP_017885409.1, XP_017881706.1, XP_017881697.1	XP_021711348.1
OG0000116	XP_017881657.1, XP_026670219.1, XP_017881740.1	XP_021695569.1
OG0000117	XP_017881345.1	XP_001658273.1
OG0000117	XP_017887828.1, XP_026673222.1, XP_026673221.1, XP_026673223.1, XP_017887829.1	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1
OG0000118	XP_026668212.1	XP_021693212.1
OG0000119	XP_017887198.1, XP_017887196.1, XP_017887190.1, XP_026672950.1, XP_017887192.1, XP_026672944.1	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1
OG0000120	XP_026671941.1, XP_017885112.1, XP_017885113.1, XP_017885114.1, XP_026671925.1, XP_026671926.1, XP_026671923.1, XP_026671924.1, XP_017885115.1, XP_026671929.1, XP_026671928.1, XP_026671927.1, XP_017885111.1	XP_021702687.1
OG0000122	XP_026667849.1	XP_001650409.1, XP_021711773.1
OG0000122	XP_017884012.1	XP_021707885.1
OG0000123	XP_026671916.1, XP_017885083.1, XP_017885082.1, XP_017885077.1, XP_017885085.1, XP_017885084.1, XP_017885081.1	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1
OG0000124	XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_026668667.1, XP_026668668.1, XP_017878669.1	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1
OG0000125	XP_017875584.1, XP_017875585.1, XP_026667182.1, XP_026674457.1, XP_017875567.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1, XP_017875581.1	XP_001657204.2
OG0000126	XP_026674600.1, XP_026674596.1, XP_026674598.1, XP_026674597.1, XP_017890658.1	XP_021694197.1
OG0000127	XP_017876054.2, XP_017881008.1	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1
OG0000127	XP_026671168.1, XP_026667416.1	XP_021705806.1, XP_021705807.1, XP_001657917.3
OG0000129	XP_026673235.1, XP_026673236.1, XP_017887874.1	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1
OG0000130	XP_017890630.1, XP_017890624.2, XP_026674583.1, XP_026674584.1, XP_026670687.1	XP_021695251.1
OG0000130	XP_026670684.1	XP_021700367.1
OG0000131	XP_017887498.1	XP_021705306.1
OG0000131	XP_017887622.1, XP_026673152.1	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1
OG0000132	XP_017878842.1	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1
OG0000132	XP_026668316.1	XP_021700410.1, XP_001660044.3, XP_001660042.3
OG0000133	XP_017877510.1	XP_021702724.1, XP_021702723.1
OG0000133	XP_026673220.1	XP_021702554.1
OG0000134	XP_026667909.1	XP_001660707.1, XP_021702138.1, XP_001654223.2, XP_001650418.1
OG0000135	XP_026673412.1	XP_021711278.1, XP_021711277.1, XP_001651832.2
OG0000135	XP_026669661.1	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1
OG0000136	XP_026675214.1, XP_017892253.1	XP_021698234.1, XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1
OG0000137	XP_026670973.1, XP_026670220.1, XP_026675240.1	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1
OG0000138	XP_017885549.1, XP_026672117.1, XP_017885589.1, XP_017885588.1, XP_017885587.1	XP_021712084.1, XP_021694527.1
OG0000139	XP_026673554.1	XP_001663072.2
OG0000140	XP_017884943.1	XP_021702905.1
OG0000141	XP_026671329.1, XP_026671326.1, XP_026671328.1, XP_017884016.1, XP_026671325.1	XP_021706046.1
OG0000141	XP_017876335.1	XP_001663030.2
OG0000143	XP_017891548.1, XP_026675129.1, XP_017891695.1, XP_017891686.1	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1
OG0000144	XP_026673668.1, XP_017888863.1	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2
OG0000145	XP_026667451.1, XP_017876164.1, XP_017875158.1	XP_001661017.2
OG0000146	XP_017880213.1	XP_001662762.1
OG0000146	XP_017880666.1	XP_001660580.2
OG0000147	XP_026667896.1, XP_017877071.1, XP_017877072.1, XP_017877070.1, XP_017875842.1, XP_017875843.1, XP_026667285.1	XP_021708848.1, XP_001659371.1
OG0000149	XP_026669621.1	XP_021701465.1
OG0000149	XP_017880633.1, XP_026669623.1, XP_017880636.1, XP_017880635.1, XP_026669622.1	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1
OG0000150	XP_026671385.1, XP_026671384.1, XP_017884134.1, XP_017884140.1, XP_017884141.1, XP_017884135.1, XP_017884138.1, XP_017884143.1, XP_017884145.1, XP_026671383.1	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1
OG0000151	XP_026667339.1, XP_026667338.1, XP_026667337.1, XP_017875900.1, XP_017875902.1	XP_021697798.1
OG0000152	XP_026667393.1, XP_026667394.1, XP_026667391.1, XP_026667392.1, XP_017876039.1	XP_001653160.1
OG0000153	XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1, XP_026671618.1	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1
OG0000154	XP_017876215.1	XP_001662815.2
OG0000156	XP_017887763.1, XP_026673086.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_026673087.1	XP_021696919.1, XP_021712121.1
OG0000157	XP_017891817.1, XP_017891818.1	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1
OG0000158	XP_017883012.1, XP_017893148.1, XP_017892229.1, XP_017892218.2, XP_017883003.2	XP_021696507.1, XP_021696509.1, XP_021698714.1
OG0000160	XP_017886269.2, XP_017886270.1	XP_021709766.1
OG0000160	XP_017887715.1, XP_026673143.1, XP_026673144.1	XP_021707900.1, XP_021710525.1, XP_001662274.1
OG0000161	XP_017882448.1, XP_017877494.1, XP_017878197.1	XP_001656119.2
OG0000162	XP_017889429.1	XP_021694432.1
OG0000162	XP_017885311.1	XP_021706951.1
OG0000163	XP_026670104.1	XP_001662163.1
OG0000164	XP_026674186.1, XP_026673941.1	XP_001654887.2, XP_021701278.1, XP_001654888.2, XP_021697710.1, XP_021695328.1
OG0000165	XP_017893274.1, XP_017893275.1, XP_017893271.1, XP_017893273.1, XP_017893272.1	XP_021697212.1
OG0000165	XP_017880352.1	XP_021704115.1, XP_021704136.1, XP_021704202.1
OG0000166	XP_017884326.1, XP_026671456.1, XP_026671462.1, XP_026671458.1, XP_026671477.1	XP_021694247.1, XP_021704926.1, XP_021704934.1, XP_021704935.1
OG0000168	XP_017883928.1	XP_021712003.1, XP_021699894.1
OG0000169	XP_017875038.1	XP_021702706.1
OG0000170	XP_017883822.1	XP_001654345.1
OG0000170	XP_017883824.1, XP_017883820.1, XP_017883828.1, XP_026671258.1, XP_026671257.1	XP_021699236.1
OG0000171	XP_017888625.2, XP_017893176.1	XP_001654890.1, XP_001654889.1, XP_001654886.2, XP_001656792.2
OG0000173	XP_017889483.1, XP_026674100.1, XP_026674098.1, XP_026674099.1	XP_021694163.1, XP_001649426.1
OG0000174	XP_017884502.1, XP_017884504.1, XP_017884503.1, XP_017884500.1, XP_017884501.1, XP_026671517.1, XP_017884509.1, XP_017884505.1, XP_017884508.1	XP_021704325.1, XP_021704326.1
OG0000175	XP_017893183.1, XP_017893184.1, XP_017893185.1	XP_001654240.1
OG0000177	XP_017876272.1	XP_001651644.2
OG0000177	XP_017876310.1	XP_021707471.1, XP_021707472.1
OG0000177	XP_017876269.1	XP_001651645.1
OG0000178	XP_026671237.1, XP_017883869.1	XP_021707000.1, XP_021706999.1
OG0000179	XP_017888464.1	XP_001655662.1, XP_021712235.1
OG0000180	XP_017890818.1	XP_001654382.1, XP_001654381.1, XP_021693530.1, XP_021693529.1
OG0000181	XP_017887447.1, XP_017887445.1, XP_017887444.1, XP_026673014.1	XP_001656977.3
OG0000183	XP_026670364.1	XP_001655456.2
OG0000183	XP_017876952.1, XP_017876951.1, XP_017876954.1, XP_017876953.1	XP_021704629.1, XP_021704627.1
OG0000184	XP_017880151.1	XP_011493295.2, XP_021702574.1, XP_001655087.1, XP_011493580.2
OG0000185	XP_017884792.1, XP_017884791.1	XP_001651366.1
OG0000186	XP_017880985.2, XP_017889237.1, XP_017889238.1, XP_017884325.1, XP_017889240.1, XP_026673871.1, XP_017879879.1, XP_017879865.1, XP_017893576.1, XP_017877687.1, XP_017877675.1, XP_017885068.1, XP_017890095.1, XP_017884322.1, XP_017884320.1, XP_017884321.1, XP_017891413.1	XP_001658387.1, XP_021710177.1, XP_001652490.2
OG0000187	XP_017885442.1, XP_017885441.1, XP_026672109.1, XP_026672110.1	XP_021703024.1, XP_021703026.1, XP_021703025.1, XP_021703030.1, XP_021703029.1, XP_021703028.1, XP_021703027.1
OG0000188	XP_017880112.2, XP_017880113.1, XP_026669344.1	XP_021694895.1
OG0000188	XP_017881748.1	XP_021704883.1
OG0000189	XP_017883266.1	XP_001655465.2, XP_001655464.2
OG0000190	XP_026670787.1, XP_017882897.1, XP_017882899.1, XP_017882898.1	XP_001660557.1
OG0000191	XP_026668491.1	XP_021708624.1, XP_021708625.1, XP_001651643.2, XP_021711114.1, XP_001658852.2, XP_021709915.1, XP_021708162.1, XP_021706594.1, XP_001647986.1, XP_021707346.1, XP_021705110.1, XP_001661290.1, XP_021706490.1
OG0000192	XP_026666469.1, XP_026666468.1, XP_026666467.1, XP_026666466.1, XP_026666470.1, XP_017892919.1	XP_001664087.2
OG0000194	XP_026669791.1	XP_001658607.2
OG0000196	XP_017876924.1, XP_026672114.1	XP_021709422.1, XP_021709426.1
