Orthogroup	Ceratina_calcarata	Vespa_mandarinia
OG0000014	XP_017887641.1, XP_017875203.1, XP_017888173.1	XP_035717855.1, XP_035725913.1, XP_035733113.1, XP_035733114.1, XP_035733115.1, XP_035735278.1
OG0000016	XP_026675337.1, XP_026675334.1, XP_026675631.1, XP_026675630.1, XP_017884306.1, XP_026668765.1, XP_017891439.1, XP_017884068.1	XP_035739379.1
OG0000017	XP_017892800.1	XP_035722701.1
OG0000017	XP_026675010.1, XP_026675012.1, XP_026675011.1	XP_035728385.1
OG0000018	XP_026673006.1, XP_026673004.1	XP_035730877.1
OG0000018	XP_017890591.1, XP_026674563.1, XP_017890593.1	XP_035718019.1
OG0000018	XP_017890581.1	XP_035718148.1
OG0000018	XP_017889371.1	XP_035735080.1
OG0000019	XP_017887380.2, XP_026668832.1, XP_017890717.1, XP_017877436.1, XP_017885792.1	XP_035725561.1, XP_035725574.1, XP_035725576.1
OG0000019	XP_017885630.1	XP_035726985.1
OG0000020	XP_017881798.1	XP_035725275.1
OG0000020	XP_017892668.1	XP_035728836.1
OG0000020	XP_017878233.1	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1
OG0000021	XP_017892171.1	XP_035729141.1
OG0000021	XP_017887700.1	XP_035721174.1, XP_035721172.1, XP_035721170.1, XP_035721169.1, XP_035721173.1
OG0000021	XP_026674526.1, XP_017890431.1	XP_035723530.1
OG0000021	XP_017878927.1	XP_035743843.1, XP_035743842.1
OG0000021	XP_017892165.1	XP_035729144.1
OG0000022	XP_017887568.1	XP_035725916.1
OG0000022	XP_017879112.1	XP_035721830.1
OG0000022	XP_017888174.1	XP_035735255.1
OG0000024	XP_017876987.2	XP_035742194.1
OG0000024	XP_017892075.1	XP_035728675.1, XP_035728676.1, XP_035728677.1
OG0000024	XP_017889793.1	XP_035738183.1
OG0000024	XP_017889792.1	XP_035738182.1
OG0000025	XP_026667471.1	XP_035731230.1, XP_035723148.1, XP_035733844.1, XP_035727538.1, XP_035737739.1
OG0000025	XP_026674121.1	XP_035723709.1
OG0000025	XP_017890440.1	XP_035727341.1
OG0000026	XP_017881604.1	XP_035728457.1
OG0000027	XP_017875198.1	XP_035732973.1, XP_035725930.1
OG0000027	XP_017888171.1	XP_035725928.1
OG0000029	XP_017879055.1, XP_017878925.1	XP_035732363.1, XP_035732348.1
OG0000029	XP_017883728.1	XP_035737588.1
OG0000029	XP_017878918.1	XP_035732367.1, XP_035732349.1
OG0000030	XP_026669786.1, XP_026668326.1	XP_035739081.1, XP_035741463.1, XP_035741476.1, XP_035742381.1, XP_035742412.1, XP_035741466.1
OG0000030	XP_017889314.1, XP_026673910.1, XP_026673911.1, XP_026673914.1, XP_026673913.1, XP_026673912.1	XP_035723581.1
OG0000032	XP_017879113.1	XP_035723151.1
OG0000032	XP_017891597.1	XP_035730167.1
OG0000034	XP_026673541.1, XP_026673556.1, XP_026673555.1, XP_026673544.1, XP_026667346.1, XP_026667348.1, XP_017889271.2, XP_026675078.1	XP_035741912.1, XP_035741914.1
OG0000036	XP_017889438.1	XP_035729817.1
OG0000036	XP_017889422.1	XP_035729794.1
OG0000037	XP_017893255.1	XP_035725074.1
OG0000038	XP_017875625.1, XP_017877449.1	XP_035735001.1, XP_035735000.1
OG0000038	XP_017889363.1	XP_035739586.1
OG0000038	XP_017889379.1	XP_035727166.1
OG0000038	XP_017882886.1	XP_035733817.1
OG0000039	XP_017880265.1, XP_017885294.1, XP_017884160.1, XP_017879099.1	XP_035742491.1, XP_035738048.1, XP_035739234.1, XP_035741853.1, XP_035742781.1, XP_035742675.1, XP_035742780.1
OG0000040	XP_026667575.1	XP_035729456.1
OG0000040	XP_017877450.1, XP_017888048.1, XP_017889733.1, XP_017888163.1	XP_035742485.1
OG0000041	XP_026675486.1, XP_017892322.1, XP_017892323.1	XP_035743035.1
OG0000041	XP_017880123.1	XP_035742718.1, XP_035742717.1
OG0000042	XP_017883943.2, XP_026673615.1	XP_035732212.1
OG0000043	XP_017886026.1	XP_035731122.1
OG0000043	XP_017881454.1	XP_035718657.1
OG0000044	XP_026674447.1	XP_035717273.1
OG0000044	XP_026673576.1	XP_035744089.1, XP_035744088.1
OG0000045	XP_017885494.1, XP_017885495.1	XP_035731034.1, XP_035731019.1
OG0000045	XP_026672577.1	XP_035720482.1
OG0000045	XP_026670847.1	XP_035742841.1
OG0000046	XP_017880728.1	XP_035742705.1
OG0000046	XP_017877146.1	XP_035734549.1
OG0000046	XP_017889622.1	XP_035728851.1, XP_035728840.1
OG0000048	XP_026672955.1	XP_035728121.1
OG0000050	XP_017877630.1, XP_026668996.1, XP_017881679.1, XP_017888731.1, XP_017879668.1	XP_035737134.1, XP_035737133.1, XP_035737132.1, XP_035737155.1, XP_035737128.1
OG0000050	XP_017890628.2	XP_035718383.1
OG0000052	XP_017876353.1	XP_035730522.1
OG0000052	XP_017876352.1, XP_026667536.1	XP_035729830.1, XP_035729829.1, XP_035729805.1
OG0000053	XP_026674136.1	XP_035742059.1
OG0000054	XP_017877140.2	XP_035724338.1
OG0000054	XP_017882628.1, XP_017882621.1, XP_017879473.2	XP_035724099.1, XP_035724441.1
OG0000055	XP_026670741.1	XP_035726348.1, XP_035726347.1
OG0000055	XP_026669873.1	XP_035720014.1
OG0000056	XP_026668599.1	XP_035718477.1
OG0000056	XP_017878877.2	XP_035728622.1
OG0000056	XP_026674744.1	XP_035733992.1
OG0000056	XP_026667107.1	XP_035741213.1
OG0000056	XP_026673034.1	XP_035729096.1
OG0000057	XP_017893620.1	XP_035734097.1
OG0000057	XP_017893593.1	XP_035734267.1, XP_035734266.1
OG0000057	XP_017893591.1	XP_035734264.1
OG0000057	XP_026666868.1	XP_035734268.1
OG0000058	XP_026669998.1	XP_035739545.1, XP_035739536.1
OG0000058	XP_026674585.1, XP_026669241.1, XP_017890641.2, XP_026667263.1, XP_026674805.1, XP_026667259.1, XP_026669747.1, XP_026669980.1, XP_026667260.1, XP_026669995.1	XP_035728639.1, XP_035728540.1, XP_035728643.1, XP_035728642.1, XP_035728641.1
OG0000060	XP_017886873.1	XP_035730103.1
OG0000060	XP_017888800.1, XP_017888809.1, XP_017888818.1, XP_017888829.1	XP_035738199.1, XP_035738201.1, XP_035738202.1
OG0000061	XP_017878262.1	XP_035721661.1, XP_035721662.1, XP_035721660.1, XP_035721465.1
OG0000062	XP_017884166.1	XP_035728895.1
OG0000062	XP_017883750.1, XP_017889879.1	XP_035728892.1
OG0000064	XP_017883621.2, XP_026671151.1, XP_017883632.2, XP_026671133.1, XP_017883644.1, XP_026671131.1, XP_017883641.2, XP_017883640.2, XP_026671140.1, XP_026671158.1, XP_026671138.1, XP_026671141.1, XP_026671143.1, XP_026671129.1, XP_026671149.1, XP_026671137.1, XP_026671130.1, XP_026671157.1, XP_026671159.1, XP_026668068.1, XP_017885481.2, XP_026673595.1, XP_026673598.1, XP_026672990.1, XP_026668673.1, XP_026668849.1, XP_026667535.1, XP_026671444.1	XP_035728239.1, XP_035741915.1, XP_035741916.1, XP_035741917.1
OG0000065	XP_026668887.1	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1
OG0000067	XP_017879415.1	XP_035734988.1
OG0000067	XP_026666573.1	XP_035729269.1
OG0000067	XP_017890435.1	XP_035718759.1
OG0000067	XP_017893293.1	XP_035729165.1
OG0000067	XP_017875523.1	XP_035724654.1
OG0000069	XP_017891750.1, XP_026674127.1, XP_017886230.2	XP_035737423.1
OG0000069	XP_026667998.1, XP_017877327.1, XP_017886254.1, XP_026669813.1	XP_035737135.1
OG0000070	XP_017889960.2	XP_035741501.1, XP_035741694.1, XP_035741503.1, XP_035741697.1, XP_035741696.1, XP_035741504.1
OG0000074	XP_017890868.1	XP_035719932.1, XP_035736547.1
OG0000077	XP_017875015.1	XP_035738027.1
OG0000077	XP_026672146.1, XP_026671946.1, XP_017888250.2, XP_017885489.2, XP_017893147.2, XP_026672126.1	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1
OG0000078	XP_026670822.1, XP_026670829.1	XP_035741908.1, XP_035741909.1, XP_035741910.1, XP_035741911.1
OG0000079	XP_026668250.1	XP_035741820.1
OG0000080	XP_017890681.1	XP_035724002.1
OG0000080	XP_017890685.1	XP_035722996.1
OG0000081	XP_026674182.1, XP_017889350.1, XP_026674208.1, XP_026674209.1, XP_017889349.2	XP_035739553.1
OG0000082	XP_017884391.1	XP_035733049.1
OG0000084	XP_017892832.1	XP_035738869.1
OG0000084	XP_017892838.1	XP_035739145.1
OG0000085	XP_017890150.1	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1
OG0000085	XP_026671441.1	XP_035737189.1
OG0000086	XP_017886282.1, XP_017890445.1	XP_035718518.1
OG0000086	XP_017889819.1	XP_035737219.1, XP_035737220.1
OG0000087	XP_017889597.1	XP_035734892.1
OG0000087	XP_017889543.1, XP_026674171.1	XP_035735028.1
OG0000088	XP_017876693.1	XP_035718097.1
OG0000089	XP_017879467.1, XP_017879474.1, XP_026669111.1, XP_026669105.1, XP_026669096.1	XP_035732042.1
OG0000089	XP_017879753.1	XP_035729577.1
OG0000091	XP_017878945.1, XP_017878947.1, XP_017875917.2	XP_035743855.1
OG0000092	XP_017890756.1	XP_035729950.1
OG0000092	XP_017879703.1, XP_026669127.1	XP_035719716.1, XP_035719715.1
OG0000092	XP_017879700.1	XP_035719719.1
OG0000092	XP_017883478.1	XP_035718227.1
OG0000094	XP_017888932.1	XP_035742083.1, XP_035735320.1, XP_035735319.1, XP_035735318.1
OG0000094	XP_017879892.1, XP_017892146.2, XP_017879895.1	XP_035729864.1
OG0000095	XP_017892624.1, XP_026675535.1, XP_026667713.1, XP_026667550.1, NP_001352264.1, XP_017882357.2, XP_026666988.1	XP_035720088.1, XP_035720091.1, XP_035720570.1, XP_035720568.1, XP_035720569.1, XP_035720572.1, XP_035721650.1, XP_035721665.1, XP_035721664.1, XP_035720092.1
OG0000096	XP_026671822.1	XP_035735801.1
OG0000096	XP_017880991.1, XP_017890421.1, XP_017876925.1, XP_026674562.1	XP_035724668.1, XP_035724666.1
OG0000097	XP_017882777.1, XP_017882779.1, XP_026670731.1, XP_026670734.1, XP_026670732.1	XP_035742312.1, XP_035742314.1, XP_035742313.1
OG0000097	XP_026669182.1, XP_017879834.1	XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1
OG0000098	XP_017882103.1, XP_017882102.1, XP_017882104.1, XP_017882105.1, XP_026670298.1	XP_035733072.1, XP_035733137.1
OG0000099	XP_017878131.1	XP_035723282.1, XP_035723292.1, XP_035723300.1
OG0000099	XP_017882904.1	XP_035721767.1
OG0000099	XP_017889756.1	XP_035729911.1
OG0000100	XP_026672742.1, XP_026672741.1, XP_026672740.1	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1
OG0000101	XP_026672149.1	XP_035724161.1
OG0000101	XP_017885597.1	XP_035724180.1
OG0000102	XP_017888807.1	XP_035722712.1
OG0000102	XP_017888735.1	XP_035722713.1
OG0000103	XP_017881956.1	XP_035728991.1
OG0000103	XP_017881941.1	XP_035729002.1, XP_035728999.1
OG0000103	XP_017881954.1	XP_035729084.1, XP_035729085.1, XP_035729086.1, XP_035729088.1
OG0000106	XP_017875835.1	XP_035736824.1
OG0000106	XP_017890716.2, XP_017883369.2	XP_035733484.1
OG0000107	XP_017877578.1, XP_026668184.1	XP_035735907.1
OG0000108	XP_017875876.1, XP_026667327.1, XP_017875874.1, XP_026667326.1	XP_035729104.1, XP_035729105.1
OG0000109	XP_017877144.1, XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1
OG0000110	XP_026671942.1	XP_035727648.1, XP_035727647.1
OG0000110	XP_026671669.1, XP_026671670.1, XP_017884745.1	XP_035738900.1
OG0000111	XP_026667865.1, XP_026672563.1, XP_026672556.1, XP_026672555.1, XP_017886302.1, XP_026672564.1, XP_017886304.1, XP_017887546.1	XP_035718068.1
OG0000111	XP_017892963.2	XP_035719146.1
OG0000112	XP_026668642.1, XP_017878656.1, XP_017878658.1	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1
OG0000112	XP_017883504.1, XP_026671066.1	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1
OG0000113	XP_017875141.1, XP_017886534.2	XP_035724028.1
OG0000113	XP_017878803.1	XP_035725454.1
OG0000114	XP_017890039.2	XP_035719468.1
OG0000115	XP_017887780.1, XP_017887778.1, XP_017885409.1, XP_017881706.1	XP_035719374.1
OG0000115	XP_017881697.1	XP_035728117.1
OG0000116	XP_017881657.1, XP_026670219.1	XP_035728572.1, XP_035728573.1
OG0000116	XP_017881740.1	XP_035728508.1, XP_035728506.1, XP_035728507.1
OG0000117	XP_017881345.1	XP_035721151.1
OG0000117	XP_017887828.1, XP_026673222.1, XP_026673221.1, XP_026673223.1, XP_017887829.1	XP_035728960.1
OG0000119	XP_017887198.1, XP_017887196.1, XP_017887190.1, XP_026672950.1, XP_017887192.1, XP_026672944.1	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1
OG0000120	XP_017885112.1, XP_017885113.1, XP_017885114.1, XP_026671925.1, XP_026671926.1, XP_026671923.1, XP_026671924.1, XP_017885115.1, XP_026671929.1, XP_026671928.1, XP_026671927.1, XP_017885111.1	XP_035743508.1
OG0000122	XP_026667849.1	XP_035742190.1
OG0000122	XP_017884012.1	XP_035722129.1
OG0000122	XP_017883014.1	XP_035738975.1
OG0000122	XP_017882995.2	XP_035738980.1
OG0000123	XP_026671916.1, XP_017885083.1, XP_017885082.1, XP_017885077.1, XP_017885085.1, XP_017885084.1, XP_017885081.1	XP_035725246.1, XP_035725252.1
OG0000124	XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_026668667.1, XP_026668668.1, XP_017878669.1	XP_035724659.1
OG0000125	XP_017875584.1, XP_017875585.1, XP_026667182.1, XP_026674457.1, XP_017875567.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1, XP_017875581.1	XP_035743368.1, XP_035743367.1
OG0000126	XP_026674600.1, XP_026674596.1, XP_026674598.1, XP_026674597.1, XP_017890658.1	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1
OG0000127	XP_017876054.2, XP_017881008.1	XP_035726611.1, XP_035726612.1, XP_035720274.1
OG0000127	XP_026671168.1, XP_026667416.1	XP_035726374.1
OG0000129	XP_026673235.1, XP_026673236.1, XP_017887874.1	XP_035741994.1, XP_035741995.1
OG0000130	XP_017890630.1	XP_035721963.1
OG0000130	XP_017890624.2, XP_026674583.1, XP_026674584.1	XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1
OG0000130	XP_026670684.1	XP_035721444.1
OG0000131	XP_017887498.1	XP_035742296.1
OG0000131	XP_017887622.1, XP_026673152.1	XP_035733339.1
OG0000132	XP_017878842.1	XP_035721782.1, XP_035721781.1
OG0000132	XP_026668316.1	XP_035732604.1
OG0000133	XP_017877510.1	XP_035741242.1
OG0000133	XP_026673220.1	XP_035729059.1
OG0000134	XP_017887655.1, XP_017887663.1	XP_035740651.1
OG0000135	XP_026673412.1	XP_035717163.1
OG0000135	XP_026669661.1	XP_035725594.1
OG0000136	XP_026675214.1, XP_017892253.1	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1
OG0000137	XP_026670973.1	XP_035738396.1
OG0000137	XP_026675240.1	XP_035732267.1
OG0000138	XP_017885549.1, XP_026672117.1	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1
OG0000138	XP_017885589.1, XP_017885588.1, XP_017885587.1	XP_035722005.1
OG0000139	XP_026673554.1	XP_035719417.1, XP_035719753.1
OG0000140	XP_017884451.1, XP_026671567.1, XP_026671566.1	XP_035720742.1, XP_035720741.1
OG0000141	XP_017885124.1	XP_035723074.1, XP_035723075.1, XP_035723073.1
OG0000141	XP_026671329.1, XP_026671326.1, XP_026671328.1, XP_017884016.1, XP_026671325.1	XP_035722354.1, XP_035722355.1
OG0000141	XP_017876335.1	XP_035722392.1, XP_035722391.1
OG0000143	XP_017891548.1	XP_035726588.1
OG0000143	XP_026675129.1, XP_017891695.1, XP_017891686.1	XP_035726587.1, XP_035726585.1, XP_035726586.1
OG0000145	XP_026667451.1, XP_017876164.1	XP_035739706.1, XP_035739705.1
OG0000145	XP_017875158.1	XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1
OG0000146	XP_017880213.1, XP_017876237.1	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1
OG0000147	XP_026667896.1, XP_017877071.1, XP_017877072.1, XP_017877070.1	XP_035736865.1, XP_035736867.1, XP_035736868.1, XP_035736866.1
OG0000147	XP_017875842.1, XP_017875843.1, XP_026667285.1	XP_035734708.1
OG0000149	XP_026669621.1	XP_035726837.1
OG0000149	XP_017880633.1, XP_026669623.1, XP_017880636.1, XP_017880635.1, XP_026669622.1	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1
OG0000150	XP_026671385.1, XP_026671384.1, XP_017884134.1, XP_017884140.1, XP_017884141.1, XP_017884135.1, XP_017884138.1, XP_017884143.1, XP_017884145.1, XP_026671383.1	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1
OG0000151	XP_026667339.1, XP_026667338.1, XP_026667337.1, XP_017875900.1, XP_017875902.1	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1
OG0000152	XP_026667393.1, XP_026667394.1, XP_026667391.1, XP_026667392.1, XP_017876039.1	XP_035722053.1
OG0000153	XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1, XP_026671618.1	XP_035727062.1
OG0000154	XP_017876215.1	XP_035743057.1, XP_035743056.1
OG0000156	XP_017887763.1, XP_026673086.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_026673087.1	XP_035723493.1
OG0000157	XP_017891817.1	XP_035732282.1
OG0000157	XP_017891818.1	XP_035732281.1
OG0000158	XP_017883012.1	XP_035740201.1
OG0000158	XP_017893148.1, XP_017892229.1, XP_017892218.2, XP_017883003.2	XP_035740054.1, XP_035740197.1, XP_035740199.1, XP_035740200.1, XP_035740198.1
OG0000160	XP_017886269.2, XP_017886270.1	XP_035723999.1
OG0000160	XP_017887715.1, XP_026673143.1, XP_026673144.1	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1
OG0000161	XP_017882448.1	XP_035719666.1, XP_035719656.1, XP_035719675.1
OG0000162	XP_017889429.1	XP_035731205.1
OG0000162	XP_017885311.1	XP_035740246.1, XP_035740247.1
OG0000164	XP_026674186.1, XP_026673941.1	XP_035732024.1
OG0000165	XP_017893274.1, XP_017893275.1, XP_017893271.1, XP_017893273.1, XP_017893272.1	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1
OG0000165	XP_017880352.1	XP_035734576.1
OG0000166	XP_017884326.1, XP_026671456.1, XP_026671462.1, XP_026671458.1, XP_026671477.1	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1
OG0000168	XP_017883928.1	XP_035736898.1
OG0000169	XP_017875038.1	XP_035729296.1
OG0000170	XP_017883824.1	XP_035742479.1
OG0000171	XP_017888625.2	XP_035741201.1, XP_035741202.1
OG0000171	XP_017893176.1	XP_035741205.1, XP_035741206.1
OG0000172	XP_017877808.2, XP_017888362.2	XP_035738100.1, XP_035738101.1
OG0000173	XP_017889483.1, XP_026674100.1, XP_026674098.1, XP_026674099.1	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1
OG0000174	XP_017884502.1, XP_017884504.1, XP_017884503.1, XP_017884500.1, XP_017884501.1, XP_026671517.1, XP_017884509.1, XP_017884505.1, XP_017884508.1	XP_035731433.1
OG0000175	XP_017893183.1, XP_017893184.1, XP_017893185.1	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1
OG0000176	XP_017891232.1	XP_035737411.1
OG0000177	XP_017876272.1	XP_035739406.1
OG0000177	XP_017876310.1	XP_035739374.1
OG0000177	XP_017876269.1	XP_035739564.1
OG0000178	XP_026671237.1, XP_017883869.1	XP_035725180.1
OG0000179	XP_017886749.1	XP_035741505.1
OG0000179	XP_017888464.1	XP_035719102.1, XP_035719101.1
OG0000179	XP_017877062.1	XP_035737641.1
OG0000180	XP_017890818.1	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1
OG0000181	XP_017887447.1, XP_017887445.1, XP_017887444.1, XP_026673014.1	XP_035731090.1, XP_035731089.1, XP_035731092.1, XP_035731091.1
OG0000182	XP_026670184.1, XP_026670178.1, XP_026670174.1, XP_017881549.1	XP_035731858.1, XP_035731856.1, XP_035731855.1, XP_035731857.1, XP_035731854.1, XP_035731853.1, XP_035731859.1
OG0000183	XP_026670364.1	XP_035738622.1, XP_035738621.1, XP_035738620.1, XP_035738623.1
OG0000183	XP_017876952.1, XP_017876951.1, XP_017876954.1, XP_017876953.1	XP_035739701.1
OG0000185	XP_017884792.1, XP_017884791.1	XP_035733203.1, XP_035733201.1, XP_035733205.1, XP_035733204.1, XP_035733207.1, XP_035733206.1, XP_035733199.1, XP_035733200.1
OG0000186	XP_017880985.2, XP_017889237.1, XP_017889238.1, XP_017884325.1, XP_017889240.1, XP_026673871.1, XP_017879879.1, XP_017879865.1, XP_017893576.1, XP_017877687.1, XP_017877675.1, XP_017885068.1, XP_017890095.1, XP_017884322.1, XP_017884320.1, XP_017884321.1, XP_017891413.1	XP_035733371.1, XP_035733372.1, XP_035733373.1, XP_035733370.1, XP_035733460.1, XP_035733368.1, XP_035733369.1
OG0000187	XP_017885442.1, XP_017885441.1, XP_026672109.1, XP_026672110.1	XP_035731676.1, XP_035731677.1
OG0000188	XP_017880112.2, XP_017880113.1, XP_026669344.1	XP_035731793.1
OG0000189	XP_017883266.1	XP_035728855.1
OG0000190	XP_026670787.1, XP_017882897.1, XP_017882899.1, XP_017882898.1	XP_035728040.1, XP_035728039.1
OG0000191	XP_026668491.1	XP_035735127.1
OG0000192	XP_026666469.1, XP_026666468.1, XP_026666467.1, XP_026666466.1, XP_026666470.1, XP_017892919.1	XP_035718570.1, XP_035718565.1, XP_035718569.1, XP_035718568.1, XP_035718562.1, XP_035718563.1, XP_035718564.1
OG0000194	XP_026669791.1	XP_035728644.1
OG0000194	XP_017880978.1	XP_035728648.1
OG0000194	XP_026670038.1	XP_035728646.1
OG0000194	XP_026670032.1, XP_026670031.1	XP_035728547.1
OG0000196	XP_026675560.1	XP_035720910.1
OG0000198	XP_017889330.1	XP_035723755.1
OG0000200	XP_017890009.1, XP_017890010.1	XP_035719894.1, XP_035719895.1
OG0000200	XP_017878648.1, XP_017878649.1	XP_035718373.1
OG0000201	XP_017881997.1	XP_035742700.1
OG0000202	XP_017879501.1	XP_035735523.1, XP_035735525.1, XP_035735528.1, XP_035735524.1, XP_035735526.1, XP_035735527.1, XP_035735520.1, XP_035735522.1
OG0000203	XP_017887879.1	XP_035739190.1
OG0000203	XP_017887627.1, XP_017887629.1, XP_017887626.1	XP_035727456.1, XP_035727445.1, XP_035727495.1, XP_035727486.1, XP_035727526.1, XP_035727477.1, XP_035727505.1, XP_035727467.1, XP_035727516.1
OG0000204	XP_017890364.1, XP_017890363.1, XP_017890362.1	XP_035736371.1, XP_035736362.1, XP_035736353.1, XP_035736365.1
OG0000205	XP_026669616.1, XP_026669617.1, XP_026669618.1, XP_017880691.1, XP_017880690.1	XP_035727194.1, XP_035727191.1, XP_035727193.1
OG0000206	XP_017886680.1	XP_035731791.1
OG0000206	XP_026672663.1, XP_017886684.1	XP_035731805.1
