Orthogroup	Ceratina_calcarata	Drosophila_melanogaster
OG0000023	XP_017888175.1	NP_001027291.1, NP_001027283.1, NP_001027287.1, NP_001027345.1, NP_001027350.1, NP_001027320.1, NP_001027360.1, NP_001027355.1, NP_001027370.1, NP_001027365.1, NP_001027330.1, NP_001027325.1, NP_001027380.1, NP_001027315.1, NP_724342.1, NP_001027385.1, NP_001027375.1, NP_001027300.1, NP_001027305.1, NP_001027310.1, NP_001027296.1, NP_001027340.1, NP_001027335.1
OG0000026	XP_017881604.1	NP_729591.1, NP_001287018.1
OG0000026	XP_017886012.1	NP_001287332.1
OG0000026	XP_026667172.1, XP_026667174.1, XP_026667173.1, XP_026667176.1, XP_026667175.1, XP_026667177.1	NP_001285239.1
OG0000027	XP_017875198.1	NP_001027312.1, NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1
OG0000027	XP_017888171.1	NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1
OG0000029	XP_017879055.1, XP_017878925.1	NP_647872.1, NP_650813.2
OG0000029	XP_026668846.1, XP_026671320.1, XP_017878918.1	NP_647875.1, NP_647873.2
OG0000032	XP_017879113.1	NP_609175.2
OG0000032	XP_026669191.1, XP_017879823.1, XP_017891597.1	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1
OG0000035	XP_017886557.1	NP_001261394.1, NP_001287111.1, NP_001246079.1, NP_001036565.1, NP_001286734.1, NP_611563.1, NP_001097859.4, NP_651153.1, NP_651152.1, NP_651154.1, NP_001262470.1, NP_652619.1, NP_524313.2, NP_652623.2, NP_652622.3, NP_651866.1, NP_524314.2, NP_001097744.1, NP_652625.2, NP_652626.1, NP_001287281.1
OG0000036	XP_017881584.1	NP_001287583.1, NP_001369024.1
OG0000037	XP_017893255.1	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1
OG0000038	XP_017875625.1, XP_017877449.1	NP_476772.1, NP_524264.1
OG0000038	XP_017889363.1	NP_650674.1
OG0000040	XP_017877450.1, XP_017888048.1, XP_017889733.1, XP_017888163.1	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1
OG0000041	XP_026675486.1, XP_017892322.1, XP_017892323.1	NP_001014725.1
OG0000041	XP_017880124.1, XP_017880121.1, XP_017880123.1	NP_001262200.1
OG0000041	XP_017893662.1	NP_477037.2
OG0000042	XP_017883943.2, XP_026673615.1	NP_731781.1
OG0000043	XP_017886026.1	NP_001286870.1
OG0000043	XP_017877704.1	NP_524121.2
OG0000044	XP_026674447.1, XP_026673576.1	NP_732652.1, NP_001303538.1, NP_650979.1
OG0000044	XP_026675544.1	NP_651674.3
OG0000045	XP_017885494.1, XP_017885495.1, XP_026672577.1	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2
OG0000046	XP_017880728.1	NP_001285139.1
OG0000046	XP_017877146.1, XP_017889622.1	NP_001262586.1
OG0000046	XP_017876333.1	NP_524063.1
OG0000047	XP_017880334.1, XP_017892805.1, XP_017875626.1, XP_017888678.1, XP_026675543.1	NP_652056.2
OG0000050	XP_017877630.1, XP_026668996.1, XP_017881679.1, XP_017888731.1, XP_017879668.1, XP_017890628.2	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1
OG0000052	XP_017876353.1, XP_017876352.1, XP_026667536.1	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2
OG0000052	XP_017886239.1	NP_725600.1
OG0000054	XP_017882628.1, XP_017882621.1, XP_017879473.2	NP_477282.2, NP_729146.1, NP_729147.1
OG0000055	XP_026669288.1, XP_026670741.1	NP_001284925.1
OG0000055	XP_026669873.1	NP_650904.3
OG0000055	XP_026668345.1, XP_017877892.1	NP_609815.1
OG0000055	XP_026670737.1	NP_001246914.1
OG0000056	XP_026668599.1	NP_001369131.1
OG0000056	XP_017878877.2	NP_647937.2
OG0000056	XP_026673034.1	NP_995958.2
OG0000057	XP_017893593.1	NP_524290.2
OG0000057	XP_017893591.1	NP_523842.2
OG0000057	XP_026666868.1	NP_729172.1
OG0000060	XP_017886873.1	NP_650848.1
OG0000060	XP_017888800.1, XP_017888809.1, XP_017888818.1, XP_017888829.1	NP_001163168.1
OG0000061	XP_017875889.1	NP_001097692.1
OG0000061	XP_017878262.1	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1
OG0000065	XP_017879155.1, XP_017882484.1, XP_017882497.1	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2
OG0000066	XP_026669810.1, XP_026674360.1	NP_610976.1
OG0000067	XP_017879415.1	NP_001284994.1
OG0000067	XP_017890435.1	NP_524243.2, NP_572330.2
OG0000067	XP_017893293.1	NP_001261491.1
OG0000077	XP_017875015.1	NP_001137778.2, NP_001259986.1
OG0000077	XP_026672146.1, XP_026671946.1, XP_017888250.2, XP_017885489.2, XP_017893147.2, XP_026672126.1	NP_001015405.3
OG0000080	XP_017890681.1	NP_001262255.1
OG0000080	XP_017890685.1	NP_001262254.1
OG0000082	XP_017884449.1, XP_017884391.1, XP_017884390.1	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1
OG0000085	XP_017890150.1, XP_026671441.1	NP_651221.1
OG0000086	XP_017886282.1, XP_017890445.1	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1
OG0000086	XP_017889819.1	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1
OG0000087	XP_017889598.1, XP_017889597.1	NP_001261716.1
OG0000087	XP_017889543.1, XP_026674171.1	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1
OG0000088	XP_017876693.1	NP_476589.4
OG0000089	XP_017879467.1, XP_017879474.1, XP_026669111.1, XP_026669105.1, XP_026669096.1	NP_001162840.1, NP_001259800.1
OG0000091	XP_017878945.1, XP_017878947.1, XP_017875917.2	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2
OG0000092	XP_017890756.1, XP_017879703.1, XP_026669127.1, XP_017879700.1, XP_017883478.1	NP_001262592.1
OG0000094	XP_017879892.1, XP_017892146.2, XP_017879895.1	NP_001284983.1, NP_651446.2, NP_650069.2
OG0000094	XP_026667942.1, XP_017877215.1	NP_651889.3, NP_001189331.1, NP_651891.2
OG0000096	XP_026671822.1	NP_726022.1, NP_001246550.1
OG0000096	XP_017880991.1, XP_017890421.1, XP_017876925.1, XP_026674562.1	NP_611542.2
OG0000097	XP_017882777.1, XP_017882779.1, XP_026670731.1, XP_026670734.1, XP_026670732.1, XP_026669182.1, XP_017879834.1	NP_524611.1
OG0000098	XP_017882103.1, XP_017882102.1, XP_017882104.1, XP_017882105.1, XP_026670298.1	NP_001260487.1
OG0000099	XP_017878131.1	NP_608954.1
OG0000099	XP_017882904.1	NP_001034071.1
OG0000099	XP_017889756.1	NP_651628.1
OG0000100	XP_026672742.1, XP_026672741.1, XP_026672740.1	NP_001262908.1, NP_001262907.1
OG0000101	XP_026672149.1	NP_001286204.1, NP_610403.1, NP_609640.1
OG0000101	XP_017885597.1	NP_001285802.1, NP_001015212.1
OG0000102	XP_017888807.1, XP_017888735.1	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2
OG0000103	XP_017881956.1	NP_001303368.1
OG0000108	XP_017875876.1, XP_026667327.1, XP_017875874.1, XP_026667326.1	NP_648918.1
OG0000109	XP_017877144.1, XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1	NP_648392.1, NP_001245736.1
OG0000110	XP_026671942.1, XP_026671669.1, XP_026671670.1, XP_017884745.1	NP_788521.2, NP_729246.2, NP_729014.1
OG0000111	XP_017892963.2	NP_650264.1
OG0000112	XP_017883504.1, XP_026671066.1	NP_001369123.1
OG0000113	XP_017875141.1, XP_017886534.2, XP_017878803.1	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1
OG0000115	XP_017887780.1, XP_017887778.1, XP_017885409.1, XP_017881706.1, XP_017881697.1	NP_001261040.1
OG0000117	XP_017881345.1	NP_001286115.1
OG0000117	XP_017887828.1, XP_026673222.1, XP_026673221.1, XP_026673223.1, XP_017887829.1	NP_001262809.1
OG0000120	XP_026671941.1, XP_017885112.1, XP_017885113.1, XP_017885114.1, XP_026671925.1, XP_026671926.1, XP_026671923.1, XP_026671924.1, XP_017885115.1, XP_026671929.1, XP_026671928.1, XP_026671927.1, XP_017885111.1	NP_001260010.1, NP_001162947.1
OG0000122	XP_026667849.1	NP_001287102.1, NP_001163462.1, NP_649023.1
OG0000122	XP_017884012.1	NP_610807.3
OG0000123	XP_026671916.1, XP_017885083.1, XP_017885082.1, XP_017885077.1, XP_017885085.1, XP_017885084.1, XP_017885081.1	NP_001259925.1
OG0000124	XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_026668667.1, XP_026668668.1, XP_017878669.1	NP_001260435.1, NP_001245746.1
OG0000125	XP_017875584.1, XP_017875585.1, XP_026667182.1, XP_026674457.1, XP_017875567.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1, XP_017875581.1	NP_651172.1, NP_001097888.1
OG0000126	XP_026674600.1, XP_026674596.1, XP_026674598.1, XP_026674597.1, XP_017890658.1	NP_477498.1, NP_996167.1
OG0000127	XP_017876054.2, XP_017881008.1	NP_001261916.1
OG0000127	XP_026671168.1, XP_026667416.1	NP_477127.1
OG0000129	XP_026673235.1, XP_026673236.1, XP_017887874.1	NP_001188842.2
OG0000130	XP_017890630.1, XP_017890624.2, XP_026674583.1, XP_026674584.1, XP_026670687.1	NP_723165.2
OG0000130	XP_026670684.1	NP_001014474.3
OG0000131	XP_017887498.1	NP_001259087.1
OG0000131	XP_017887622.1, XP_026673152.1	NP_001097667.1
OG0000132	XP_017878842.1	NP_001245934.1, NP_001137808.1, NP_609121.2
OG0000132	XP_026668316.1	NP_001245823.1, NP_724088.2, NP_724087.1
OG0000133	XP_017877510.1	NP_001368939.1
OG0000134	XP_017887655.1, XP_017887663.1	NP_525003.2
OG0000134	XP_026667909.1	NP_610678.1
OG0000135	XP_026673412.1	NP_001286904.1
OG0000135	XP_026669661.1	NP_524655.1
OG0000136	XP_026675214.1, XP_017892253.1	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1
OG0000137	XP_026670973.1, XP_026670220.1, XP_026675240.1	NP_727460.1, NP_611465.2
OG0000138	XP_017885549.1, XP_026672117.1, XP_017885589.1, XP_017885588.1, XP_017885587.1	NP_001036303.2
OG0000139	XP_026673554.1	NP_651882.1
OG0000141	XP_017885124.1	NP_001287037.1
OG0000141	XP_026671329.1, XP_026671326.1, XP_026671328.1, XP_017884016.1, XP_026671325.1	NP_651471.2
OG0000141	XP_017876335.1	NP_724101.4
OG0000143	XP_017891548.1, XP_026675129.1, XP_017891695.1, XP_017891686.1	NP_001259687.1
OG0000144	XP_026673668.1, XP_017888863.1	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1
OG0000145	XP_026667451.1, XP_017876164.1, XP_017875158.1	NP_651930.2
OG0000146	XP_017880213.1	NP_648843.1
OG0000146	XP_017880666.1	NP_610294.1
OG0000147	XP_026667896.1, XP_017877071.1, XP_017877072.1, XP_017877070.1, XP_017875842.1, XP_017875843.1, XP_026667285.1	NP_001245762.1
OG0000149	XP_026669621.1	NP_648425.1
OG0000149	XP_017880633.1, XP_026669623.1, XP_017880636.1, XP_017880635.1, XP_026669622.1	NP_647686.1
OG0000150	XP_026671385.1, XP_026671384.1, XP_017884134.1, XP_017884140.1, XP_017884141.1, XP_017884135.1, XP_017884138.1, XP_017884143.1, XP_017884145.1, XP_026671383.1	NP_001246198.1
OG0000151	XP_026667339.1, XP_026667338.1, XP_026667337.1, XP_017875900.1, XP_017875902.1	NP_001287124.1
OG0000152	XP_026667393.1, XP_026667394.1, XP_026667391.1, XP_026667392.1, XP_017876039.1	NP_001260743.1
OG0000153	XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1, XP_026671618.1	NP_001261584.1
OG0000154	XP_017876215.1	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1
OG0000156	XP_017887763.1, XP_026673086.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_026673087.1	NP_647767.1
OG0000157	XP_017891817.1, XP_017891818.1	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1
OG0000158	XP_017883012.1, XP_017893148.1, XP_017892229.1, XP_017892218.2, XP_017883003.2	NP_648354.1
OG0000160	XP_017886269.2, XP_017886270.1	NP_001034016.1, NP_649019.2
OG0000160	XP_017887715.1, XP_026673143.1, XP_026673144.1	NP_649428.1
OG0000161	XP_017882448.1, XP_017877494.1, XP_017878197.1	NP_001261749.1, NP_788501.1
OG0000162	XP_017889429.1	NP_001097669.2
OG0000162	XP_017885311.1	NP_001262916.1
OG0000164	XP_026674186.1, XP_026673941.1	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1
OG0000165	XP_017893274.1, XP_017893275.1, XP_017893271.1, XP_017893273.1, XP_017893272.1	NP_001245593.1
OG0000165	XP_017880352.1	NP_001284986.1
OG0000166	XP_017884326.1, XP_026671456.1, XP_026671462.1, XP_026671458.1, XP_026671477.1	NP_001097498.1
OG0000168	XP_017883928.1	NP_996226.2
OG0000168	XP_017885312.2	NP_001261500.1
OG0000171	XP_017888625.2, XP_017893176.1	NP_609310.2, NP_609309.1
OG0000173	XP_017889483.1, XP_026674100.1, XP_026674098.1, XP_026674099.1	NP_001247239.1
OG0000174	XP_017884502.1, XP_017884504.1, XP_017884503.1, XP_017884500.1, XP_017884501.1, XP_026671517.1, XP_017884509.1, XP_017884505.1, XP_017884508.1	NP_725682.2, NP_001286533.1, NP_611218.1
OG0000175	XP_017893183.1, XP_017893184.1, XP_017893185.1	NP_001163218.1
OG0000177	XP_017876272.1	NP_001261827.1
OG0000177	XP_017876310.1	NP_001261829.1
OG0000177	XP_017876269.1	NP_001261830.1
OG0000178	XP_026671237.1, XP_017883869.1	NP_001356914.1
OG0000179	XP_017888464.1	NP_523366.2, NP_648697.1
OG0000180	XP_017890818.1	NP_001027161.1
OG0000182	XP_026670184.1, XP_026670178.1, XP_026670174.1, XP_017881549.1	NP_001163460.1
OG0000183	XP_026670364.1	NP_001287555.1
OG0000183	XP_017876952.1, XP_017876951.1, XP_017876954.1, XP_017876953.1	NP_524074.1
OG0000184	XP_017880151.1	NP_995642.1, NP_523504.2, NP_001162633.1
OG0000185	XP_017884792.1, XP_017884791.1	NP_001259439.1
OG0000186	XP_017880985.2, XP_017889237.1, XP_017889238.1, XP_017884325.1, XP_017889240.1, XP_026673871.1, XP_017879879.1, XP_017879865.1, XP_017893576.1, XP_017877687.1, XP_017877675.1, XP_017885068.1, XP_017890095.1, XP_017884322.1, XP_017884320.1, XP_017884321.1, XP_017891413.1	NP_573320.1
OG0000187	XP_017885442.1, XP_017885441.1, XP_026672109.1, XP_026672110.1	NP_001188856.1
OG0000188	XP_017881748.1	NP_524551.2, NP_476974.1
OG0000189	XP_026666490.1	NP_650925.1
OG0000189	XP_017883266.1	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1
OG0000190	XP_026670787.1, XP_017882897.1, XP_017882899.1, XP_017882898.1	NP_732717.1
OG0000191	XP_026668491.1	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3
OG0000192	XP_026666469.1, XP_026666468.1, XP_026666467.1, XP_026666466.1, XP_026666470.1, XP_017892919.1	NP_611994.3
OG0000194	XP_026669791.1	NP_648207.1
OG0000196	XP_017876924.1, XP_026672114.1	NP_001261758.1
OG0000196	XP_026675560.1	NP_730938.1
OG0000197	XP_017882165.1, XP_017882164.1, XP_017882163.1	NP_001287082.1
OG0000198	XP_017889330.1	NP_611747.2
OG0000200	XP_017890009.1, XP_017890010.1	NP_001262796.1
OG0000200	XP_017878648.1, XP_017878649.1	NP_001259616.1
OG0000201	XP_017881997.1	NP_649026.1, NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1, NP_569875.2
OG0000203	XP_017887879.1	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1
OG0000203	XP_017887627.1, XP_017887629.1, XP_017887626.1	NP_648067.2
OG0000204	XP_017890364.1, XP_017890363.1, XP_017890362.1	NP_001188590.1
OG0000205	XP_026669616.1, XP_026669617.1, XP_026669618.1, XP_017880691.1, XP_017880690.1	NP_001097505.1
OG0000206	XP_017886680.1	NP_650893.2
OG0000206	XP_026672663.1, XP_017886684.1	NP_001097707.1, NP_001287222.1
OG0000207	XP_017887500.1	NP_001286310.1, NP_001287091.1
OG0000207	XP_026674616.1, XP_017892647.1	NP_001246139.1
OG0000208	XP_017888023.2	NP_001137606.1
OG0000209	XP_017877461.1	NP_001163199.1
OG0000212	XP_017878882.2, XP_017881503.1, XP_017881501.1, XP_017881502.1	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1
OG0000213	XP_017880316.1, XP_017880314.1, XP_017880318.1, XP_017880317.1, XP_017880320.1, XP_017880319.1, XP_017880312.1, XP_017880311.1, XP_017880310.1	NP_648589.1
OG0000214	XP_017887358.1	NP_001260290.1
OG0000214	XP_017883709.1	NP_001247324.1
OG0000215	XP_026674154.1, XP_026674156.1	NP_649139.1
OG0000216	XP_026675305.1, XP_017879922.1	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1
OG0000217	XP_017875872.2	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1
OG0000218	XP_017886341.1, XP_017886340.1, XP_017886339.1	NP_649086.2
OG0000219	XP_017877521.1, XP_017877526.1	NP_610764.1
OG0000220	XP_017876340.1, XP_026667525.1, XP_026667523.1, XP_026667524.1	NP_650528.1
OG0000221	XP_026670075.1, XP_017881592.1, XP_026670076.1	NP_001036320.3
OG0000223	XP_017882775.1	NP_523986.2
OG0000223	XP_017893356.1	NP_524142.2, NP_524141.1
OG0000224	XP_017880350.1, XP_026669417.1, XP_017889312.2, XP_017880348.2, XP_026670597.1, XP_017888028.2, XP_017888027.2, XP_026673571.1, XP_017888596.1, XP_026670596.1, XP_017882521.1, XP_026673573.1	NP_647862.1, NP_728942.1
OG0000225	XP_026666844.1, XP_017893638.1, XP_017893637.1, XP_017893635.1, XP_017893634.1, XP_017893640.1, XP_017893639.1, XP_017878810.1	NP_536756.1
OG0000226	XP_026666804.1, XP_026666810.1	NP_001356958.1
OG0000226	XP_017893380.1	NP_611241.2
OG0000227	XP_017888470.1, XP_017888471.1, XP_017888467.1, XP_017888469.1, XP_017888468.1	NP_001262022.1
OG0000229	XP_017875075.1	NP_726223.1, NP_001303360.1, NP_001246468.1
OG0000230	XP_017890279.1	NP_001286852.1
OG0000231	XP_017876697.1	NP_650028.1, NP_650029.1, NP_001285882.1
OG0000232	XP_017884958.1, XP_017884957.1	NP_001303567.1
OG0000233	XP_026675538.1, XP_017892650.2, XP_017892649.1, XP_026669124.1, XP_017879788.1, XP_017879699.1	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1
OG0000234	XP_017888526.1, XP_017888643.1	NP_726740.1, NP_649880.1, NP_649881.1
OG0000235	XP_017875862.1	NP_001261046.1
OG0000236	XP_017889373.1	NP_524368.5
OG0000237	XP_017876361.1	NP_523863.1
OG0000237	XP_017876360.1	NP_523862.1
OG0000239	XP_017893445.1	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1
OG0000241	XP_026666971.1, XP_026666464.1	NP_001097059.1, NP_647821.2, NP_001285749.1
OG0000243	XP_017884615.1	NP_608584.1, NP_523761.2
OG0000244	XP_017875461.1	NP_610117.1
OG0000245	XP_017884414.2, XP_017877241.2, XP_017877242.1	NP_476812.1, NP_610443.1, NP_524760.1
OG0000246	XP_026672439.1, XP_017886206.1, XP_017886207.1	NP_724163.1
OG0000247	XP_017879482.1	NP_651898.2, NP_001096949.1
OG0000247	XP_026669061.1	NP_649833.1, NP_648548.1
OG0000249	XP_017881184.1, XP_017889296.1, XP_017889295.1, XP_017881308.1	NP_572996.1
OG0000250	XP_017891897.1, XP_017892094.1	NP_650508.1, NP_001285102.1
OG0000252	XP_017882976.1, XP_017882975.1	NP_730950.2
OG0000253	XP_017892580.1	NP_001162737.1
OG0000253	XP_017887593.1	NP_001263132.1
OG0000254	XP_017885582.1	NP_732295.1
OG0000254	XP_026670867.1, XP_017883145.1	NP_001368946.1
OG0000255	XP_017876450.1, XP_017876430.1, XP_017876438.1, XP_017876443.1	NP_001033900.2, NP_572436.1
OG0000256	XP_017888223.1, XP_017888224.1	NP_732900.1
OG0000257	XP_017888096.1	NP_001262861.1
OG0000257	XP_017888092.1	NP_001287485.1
OG0000259	XP_026675575.1, XP_026675576.1, XP_026674289.1	NP_723538.3
OG0000260	XP_017877095.2	NP_572306.1
OG0000261	XP_026673608.1, XP_017888695.1, XP_017888696.1, XP_017888680.1, XP_017888716.1	NP_001286161.1, NP_610318.1, NP_610319.2
OG0000263	XP_017879981.1, XP_017879980.1	NP_001285111.1
OG0000264	XP_017891067.1	NP_001033939.2
OG0000264	XP_017876369.1	NP_476735.1
OG0000265	XP_026669532.1, XP_017885091.1	NP_649517.1, NP_650190.1
OG0000266	XP_017891607.1, XP_026674990.1, XP_017891608.1	NP_524387.1
OG0000266	XP_017885430.1, XP_017885429.1	NP_001285202.1
OG0000268	XP_017885444.1	NP_001285901.1, NP_001262995.1
OG0000269	XP_026675551.1, XP_026675554.1, XP_026675552.1, XP_026675550.1, XP_026675553.1, XP_017892665.1	NP_001284901.1
OG0000270	XP_017876933.1, XP_017888657.2, XP_017879441.2	NP_001034048.2
OG0000270	XP_017889037.1	NP_001163596.2
OG0000271	XP_017883617.2, XP_026671280.1	NP_001014620.1, NP_731788.1, NP_731790.1
OG0000272	XP_017892842.1	NP_995675.1
OG0000272	XP_017876935.1	NP_001162795.1, NP_001356885.1
OG0000273	XP_017881716.1, XP_026670142.1, XP_026670143.1	NP_001097437.1
OG0000274	XP_017883552.1	NP_001014485.3
OG0000274	XP_026674273.1, XP_026674274.1, XP_026674275.1	NP_001036681.1
OG0000275	XP_017876926.2	NP_648909.1
