Orthogroup	Ceratina_calcarata	Solenopsis_invicta
OG0000003	XP_017884413.1	XP_039306769.1
OG0000003	XP_017881808.1	XP_039310749.1, XP_039310750.1
OG0000003	XP_017885064.1	XP_039311957.1, XP_039306745.1, XP_011164920.1, XP_025987873.2
OG0000003	XP_017891010.1, XP_017875587.1	XP_011171782.2, XP_039310742.1, XP_011170649.2
OG0000003	XP_017887400.1	XP_039312431.1, XP_039307879.1, XP_011170193.3, XP_039307955.1, XP_039315070.1, XP_039306772.1, XP_039312432.1, XP_039312438.1, XP_039306764.1, XP_011166545.2
OG0000003	XP_017892179.1	XP_039304988.1, XP_039307927.1, XP_039315442.1
OG0000003	XP_017888063.1, XP_017884305.1	XP_025996234.2
OG0000003	XP_017889192.1	XP_039315287.1, XP_039313009.1
OG0000003	XP_017888656.1	XP_039304384.1, XP_039309058.1, XP_039309227.1, XP_039309229.1, XP_039309228.1, XP_039309226.1, XP_039309225.1, XP_039309224.1, XP_039309223.1, XP_025997281.2, XP_039308822.1
OG0000003	XP_026675096.1	XP_039311338.1
OG0000004	XP_017884089.1	XP_039303478.1
OG0000004	XP_017889204.1	XP_025989297.2
OG0000005	XP_026667095.1	XP_025990901.2
OG0000006	XP_026671184.1	XP_025989821.2
OG0000006	XP_017883370.2	XP_039308764.1, XP_011163434.2
OG0000006	XP_017883408.2	XP_039307826.1, XP_025989709.2, XP_039302413.1, XP_039302410.1, XP_025989687.2, XP_011164849.2, XP_011164848.3
OG0000006	XP_026667224.1	XP_011171479.2, XP_039306260.1
OG0000007	XP_026667908.1, XP_017875316.1, XP_017881154.1	XP_039304377.1, XP_039310340.1, XP_039308911.1
OG0000007	XP_026673863.1	XP_025990628.2, XP_039303538.1, XP_039310339.1, XP_025996264.2, XP_039304171.1
OG0000008	XP_026675049.1	XP_011158384.1, XP_039305295.1, XP_039307163.1
OG0000008	XP_026667992.1	XP_039314393.1, XP_039314392.1, XP_025990966.2
OG0000008	XP_026675083.1	XP_039314890.1, XP_025990736.1, XP_039314253.1, XP_039314743.1, XP_025990780.1, XP_011174114.2, XP_011157509.1, XP_011161144.1, XP_011158387.1
OG0000008	XP_017891654.1	XP_039305326.1, XP_039305325.1, XP_039305297.1
OG0000008	XP_017891655.1	XP_011158386.1, XP_039305296.1
OG0000008	XP_026666941.1	XP_039305528.1
OG0000009	XP_017887163.1	XP_039307552.1, XP_039307297.1, XP_011172819.1, XP_011172814.2, XP_011172813.1, XP_011172812.1, XP_039306889.1, XP_011172811.1, XP_011158271.1, XP_011155385.2, XP_039312296.1, XP_039312297.1
OG0000009	XP_017882285.1, XP_017888595.2, XP_017882209.1, XP_017882161.1, XP_017882162.1	XP_011172780.1, XP_011160035.1
OG0000009	XP_026672903.1	XP_039307038.1, XP_011172781.1, XP_039307039.1, XP_039307040.1, XP_025986432.2, XP_025986433.1, XP_011166535.1, XP_011172782.1, XP_025986445.2
OG0000010	XP_017877879.2	XP_025997575.1, XP_011165199.1, XP_039315379.1, XP_039315378.1, XP_039315520.1, XP_011171567.1, XP_039313512.1, XP_039309910.1, XP_011173321.1, XP_011156630.1, XP_039313808.1, XP_039309913.1, XP_039312408.1, XP_039302116.1
OG0000010	XP_017882798.1	XP_039312409.1, XP_011163118.1
OG0000010	XP_017890567.1, XP_017892844.1, XP_026673534.1, XP_017877435.1, XP_017889234.1, XP_017875216.1, XP_017881849.1	XP_025985789.1, XP_025996848.1, XP_011171529.1, XP_011165198.1, XP_039315521.1, XP_011173322.1, XP_039309946.1, XP_039303924.1
OG0000012	XP_017893158.1	XP_011157834.1
OG0000012	XP_017890720.1, XP_017889198.1, XP_026674581.1	XP_011167036.2
OG0000012	XP_026666907.1	XP_011166798.2, XP_039314082.1
OG0000013	XP_017875197.1	XP_011165753.2
OG0000013	XP_017887567.1	XP_011166327.1
OG0000013	XP_026671800.1, XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1	XP_011158467.1, XP_011158466.1
OG0000013	XP_026671795.1	XP_011158469.1
OG0000014	XP_017887641.1, XP_017875203.1	XP_011156264.2
OG0000014	XP_017888173.1	XP_011163196.1
OG0000016	XP_017878645.1, XP_017879462.1, XP_017877665.1, XP_017875193.1	XP_039313966.1, XP_039309074.1, XP_039304382.1, XP_039314252.1, XP_039306750.1, XP_039304356.1, XP_039301762.1, XP_039309915.1, XP_039303543.1, XP_039303418.1, XP_039303421.1, XP_039309887.1
OG0000016	XP_026675337.1, XP_026675334.1, XP_026675631.1, XP_026675630.1	XP_039309201.1, XP_039311133.1, XP_011174804.3, XP_011171157.1
OG0000016	XP_017884306.1, XP_026668765.1	XP_011170184.2, XP_039310366.1, XP_039313041.1, XP_011159853.1, XP_011171075.1
OG0000016	XP_017878373.1	XP_039313514.1, XP_025997160.1, XP_039303210.1, XP_025996227.1, XP_039315353.1
OG0000018	XP_026673006.1, XP_026673004.1	XP_025993846.1, XP_039312756.1
OG0000018	XP_017883367.1, XP_017883368.1, XP_026670979.1, XP_026670978.1	XP_011164408.2, XP_039302267.1, XP_025988897.1, XP_025988898.1, XP_011164281.1, XP_025988901.1
OG0000018	XP_017890591.1, XP_026674563.1, XP_017890593.1	XP_011168181.2, XP_011168177.2
OG0000018	XP_017890581.1	XP_039312480.1, XP_039312479.1
OG0000019	XP_017887380.2, XP_026668832.1, XP_017890717.1, XP_017877436.1, XP_017885792.1	XP_025990211.2
OG0000019	XP_017888742.1	XP_025995191.1, XP_039305114.1, XP_039305111.1, XP_039305113.1, XP_039305526.1, XP_025995621.1, XP_011155911.3, XP_039305205.1, XP_039305125.1, XP_011176163.1
OG0000019	XP_017885630.1	XP_011155421.1, XP_025990075.1, XP_039308626.1
OG0000020	XP_017881798.1	XP_011159576.2
OG0000020	XP_017892668.1	XP_025987337.1
OG0000020	XP_017878233.1	XP_025991589.1
OG0000020	XP_026668767.1	XP_011157847.1
OG0000021	XP_017892171.1	XP_011158408.1, XP_011158409.1, XP_011158407.1, XP_039314153.1
OG0000021	XP_017887700.1	XP_011162935.1
OG0000021	XP_026674526.1, XP_017890431.1	XP_011159438.1
OG0000021	XP_017892165.1	XP_025991392.1
OG0000022	XP_017879112.1	XP_011163652.1
OG0000022	XP_017888174.1	XP_011166335.1
OG0000022	XP_017887616.1, XP_017881012.1	XP_011163198.1
OG0000024	XP_017876987.2	XP_025992331.1
OG0000024	XP_017892075.1	XP_011168449.1, XP_011168448.1
OG0000024	XP_017889793.1	XP_025991932.1
OG0000024	XP_017889792.1	XP_025991934.1
OG0000026	XP_017881604.1	XP_039304799.1
OG0000027	XP_017875198.1	XP_011156268.1
OG0000028	XP_017887382.1	XP_039303908.1
OG0000028	XP_017891298.1	XP_039303527.1
OG0000028	XP_017890721.1, XP_017887219.1	XP_039309129.1
OG0000029	XP_017879055.1, XP_017878925.1	XP_011175216.3, XP_011175277.3
OG0000029	XP_017883728.1	XP_025987625.1
OG0000029	XP_017878918.1	XP_025994361.1
OG0000030	XP_026669786.1, XP_026668326.1	XP_025986100.1
OG0000030	XP_017889314.1, XP_026673910.1, XP_026673911.1, XP_026673914.1, XP_026673913.1, XP_026673912.1	XP_011165417.3, XP_039308147.1, XP_039313768.1
OG0000031	XP_026670214.1, XP_017887183.2, XP_017880999.1, XP_017881575.1	XP_025994108.1
OG0000032	XP_026669191.1, XP_017879823.1	XP_011159466.2
OG0000032	XP_017891597.1	XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2
OG0000033	XP_026672984.1, XP_017888665.1	XP_039306059.1, XP_039310198.1, XP_039302132.1
OG0000033	XP_026675149.1, XP_017888593.2	XP_025996388.2
OG0000034	XP_026673541.1, XP_026673556.1, XP_026673555.1, XP_026673544.1, XP_026667346.1, XP_026667348.1, XP_017889271.2, XP_026675078.1	XP_039302507.1, XP_039315321.1, XP_039307234.1
OG0000035	XP_017886557.1	XP_025987669.2
OG0000036	XP_017889438.1, XP_017889422.1, XP_017888379.2	XP_011166049.1
OG0000037	XP_017893255.1	XP_011161783.1
OG0000038	XP_017875625.1, XP_017877449.1	XP_011172049.1
OG0000038	XP_017889379.1	XP_011174246.2
OG0000038	XP_017882886.1	XP_025991821.1
OG0000039	XP_017880265.1, XP_017885294.1, XP_017884160.1, XP_017879099.1	XP_039303491.1, XP_039306765.1, XP_025995650.1
OG0000039	XP_017881850.1	XP_011160646.1, XP_039303925.1, XP_011163115.1
OG0000040	XP_026667575.1	XP_011164376.1, XP_011164378.1
OG0000040	XP_017877450.1, XP_017888048.1, XP_017889733.1, XP_017888163.1	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1
OG0000041	XP_026675486.1, XP_017892322.1, XP_017892323.1	XP_011173672.1
OG0000041	XP_017880124.1, XP_017880121.1, XP_017880123.1	XP_011173634.1, XP_011173641.1
OG0000041	XP_017893662.1	XP_011167847.1
OG0000042	XP_017883943.2, XP_026673615.1	XP_025988401.1, XP_025988400.1
OG0000043	XP_017886026.1	XP_011166108.1
OG0000043	XP_017881454.1	XP_011172450.1
OG0000044	XP_026674447.1	XP_039306340.1, XP_025986513.2
OG0000044	XP_026673576.1	XP_025986454.1
OG0000044	XP_026675544.1	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1
OG0000045	XP_017885494.1, XP_017885495.1	XP_011156768.2
OG0000045	XP_026672577.1	XP_025992324.2
OG0000045	XP_026670847.1	XP_039312826.1
OG0000046	XP_017880728.1	XP_011168512.1
OG0000046	XP_017877146.1	XP_011168531.1
OG0000046	XP_017889622.1	XP_039310878.1, XP_039310880.1, XP_039310879.1
OG0000047	XP_017880334.1	XP_039311272.1
OG0000047	XP_017892805.1, XP_017875626.1, XP_017888678.1, XP_026675543.1	XP_039307231.1, XP_039307232.1, XP_025997124.1, XP_039305177.1, XP_039308536.1, XP_039308537.1
OG0000049	XP_026673635.1	XP_039302752.1, XP_039313275.1, XP_039310745.1, XP_039312988.1, XP_039315632.1
OG0000050	XP_017877630.1, XP_026668996.1, XP_017881679.1, XP_017888731.1, XP_017879668.1	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1
OG0000052	XP_017876353.1	XP_039313337.1
OG0000052	XP_017886239.1	XP_025995966.1
OG0000053	XP_017882546.1	XP_039315547.1
OG0000054	XP_017877140.2	XP_011164393.2
OG0000054	XP_017882628.1, XP_017882621.1, XP_017879473.2	XP_011164215.1, XP_011164214.2
OG0000055	XP_026669288.1, XP_026670741.1	XP_039311167.1
OG0000055	XP_026669873.1	XP_039311121.1
OG0000055	XP_026668345.1, XP_017877892.1	XP_011169776.2
OG0000055	XP_026670737.1	XP_011162045.1
OG0000056	XP_026668599.1	XP_025992809.2
OG0000056	XP_017878877.2	XP_011167471.3
OG0000056	XP_026674744.1	XP_039313454.1
OG0000056	XP_026667107.1	XP_039306715.1
OG0000057	XP_017893620.1	XP_011165693.1
OG0000057	XP_017893593.1	XP_011165691.1
OG0000057	XP_017893591.1	XP_011165692.1
OG0000058	XP_026674585.1, XP_026669241.1, XP_017890641.2, XP_026667263.1, XP_026674805.1, XP_026667259.1, XP_026669747.1, XP_026669980.1, XP_026667260.1, XP_026669995.1	XP_011160196.3, XP_039304404.1, XP_011166290.1, XP_011160197.2, XP_039304698.1, XP_039304395.1, XP_039304704.1, XP_039304706.1
OG0000059	XP_026673294.1	XP_025997481.2
OG0000059	XP_017885313.1	XP_039304379.1, XP_011171889.2
OG0000060	XP_017886873.1	XP_011166599.1, XP_039312995.1, XP_039313020.1
OG0000060	XP_017888800.1, XP_017888809.1, XP_017888818.1, XP_017888829.1	XP_011166588.1, XP_039313855.1, XP_039313856.1
OG0000061	XP_017875889.1	XP_039310102.1
OG0000063	XP_017879825.1	XP_025994603.1, XP_039315362.1, XP_025997464.2, XP_039310407.1, XP_039310558.1, XP_039310562.1, XP_039314694.1, XP_039304383.1, XP_011171114.2, XP_039303555.1, XP_025989898.1, XP_011171877.1, XP_039306356.1, XP_039309572.1, XP_039315364.1, XP_039304184.1
OG0000064	XP_017883621.2, XP_026671151.1, XP_017883632.2, XP_026671133.1, XP_017883644.1, XP_026671131.1, XP_017883641.2, XP_017883640.2, XP_026671140.1, XP_026671158.1, XP_026671138.1, XP_026671141.1, XP_026671143.1, XP_026671129.1, XP_026671149.1, XP_026671137.1, XP_026671130.1, XP_026671157.1, XP_026671159.1, XP_026668068.1, XP_017885481.2, XP_026673595.1, XP_026673598.1, XP_026672990.1, XP_026668673.1, XP_026668849.1, XP_026667535.1, XP_026671444.1	XP_039307225.1, XP_039307226.1, XP_039311776.1, XP_039315322.1, XP_039307227.1, XP_039311779.1, XP_039315318.1, XP_039315366.1, XP_039303574.1, XP_039302503.1, XP_039302506.1, XP_039302487.1
OG0000065	XP_026668887.1	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1
OG0000065	XP_017879155.1, XP_017882484.1	XP_039308740.1, XP_011176028.1, XP_011176027.2
OG0000065	XP_017882497.1	XP_039307834.1, XP_039307956.1, XP_011165754.1, XP_039313781.1, XP_039313721.1, XP_039307833.1, XP_039313722.1, XP_011164020.1, XP_039307832.1, XP_039307645.1, XP_039308148.1, XP_025994478.1
OG0000066	XP_017893308.1, XP_017886546.1, XP_017892307.1, XP_026666824.1, XP_026673906.1, XP_026674185.1, XP_017892139.2, XP_026672447.1	XP_039309173.1
OG0000066	XP_026669810.1, XP_026674360.1	XP_039313707.1, XP_039303413.1
OG0000067	XP_017879415.1	XP_011168949.1
OG0000067	XP_026666573.1	XP_039302008.1, XP_011157859.1
OG0000067	XP_017893293.1	XP_011157858.1, XP_025991420.1
OG0000067	XP_017875523.1	XP_025989655.1
OG0000069	XP_017891750.1, XP_026674127.1	XP_039305623.1
OG0000069	XP_017886230.2	XP_025987486.1
OG0000069	XP_026667998.1, XP_017877327.1, XP_017886254.1, XP_026669813.1	XP_011163891.1, XP_039303799.1, XP_039303801.1, XP_025989421.2, XP_039303891.1, XP_011171057.2, XP_039309137.1, XP_039309138.1, XP_039308972.1, XP_039308973.1, XP_039308974.1, XP_039309139.1, XP_039308971.1, XP_039308970.1, XP_039308969.1, XP_039309140.1, XP_011168216.3
OG0000070	XP_017889960.2	XP_039308666.1, XP_025985811.2, XP_025985886.1, XP_039308665.1, XP_039308664.1, XP_039308741.1
OG0000072	XP_017885361.1	XP_039305208.1, XP_039302106.1, XP_039314684.1, XP_039310588.1, XP_039304519.1
OG0000073	XP_017875573.2, XP_026667851.1	XP_011157914.1
OG0000074	XP_017890868.1	XP_011157636.1, XP_025987236.2, XP_025987238.1, XP_039314707.1
OG0000076	XP_017881659.1	XP_011162883.1
OG0000077	XP_017875015.1	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1
OG0000077	XP_026672146.1, XP_026671946.1, XP_017888250.2, XP_017885489.2, XP_017893147.2, XP_026672126.1	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1
OG0000078	XP_026670822.1, XP_026670829.1	XP_039309962.1, XP_039310440.1, XP_011156215.2, XP_039309961.1, XP_039310430.1, XP_039309963.1, XP_011155704.2, XP_011155659.3, XP_011155817.3, XP_039309966.1, XP_011156294.1, XP_039310434.1, XP_011155782.2, XP_011155805.2, XP_025991287.2, XP_039309964.1
OG0000080	XP_017890681.1	XP_039313662.1, XP_011161097.1, XP_011161096.1
OG0000080	XP_017883725.1	XP_025995013.1
OG0000080	XP_017890685.1	XP_011173727.1
OG0000081	XP_026674182.1, XP_017889350.1, XP_026674208.1, XP_026674209.1, XP_017889349.2	XP_025987228.1, XP_025987227.1, XP_025987226.2, XP_039314403.1, XP_039314406.1, XP_039314405.1, XP_039314325.1, XP_025987223.2, XP_039314716.1, XP_025987270.2
OG0000082	XP_017884391.1	XP_011158501.1
OG0000082	XP_017884390.1	XP_011158493.1
OG0000083	XP_017876268.1, XP_017877688.1, XP_017881064.1, XP_017890453.1, XP_017886196.1, XP_017885272.1, XP_017880834.1, XP_017885478.1, XP_017875795.1, XP_026669405.1, XP_017888591.1, XP_017888671.1, XP_017890417.1, XP_017889154.1	XP_039309918.1, XP_039303503.1, XP_039311967.1, XP_011169881.1, XP_025994761.2, XP_025997387.2, XP_039303927.1, XP_039312445.1, XP_039314871.1, XP_011167206.1, XP_011174675.3, XP_025994696.2, XP_039315406.1, XP_011168851.2, XP_025996074.1, XP_039303955.1
OG0000084	XP_017892832.1	XP_011155841.2
OG0000084	XP_017892831.1	XP_011155844.1
OG0000084	XP_017892838.1	XP_039310256.1, XP_011155840.3
OG0000084	XP_017886965.1	XP_011155335.1
OG0000085	XP_026671441.1	XP_025987478.1, XP_025987477.1
OG0000086	XP_017886282.1, XP_017890445.1	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2
OG0000086	XP_017889819.1	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2
OG0000087	XP_017889598.1, XP_017889597.1	XP_025989498.1, XP_011170042.2
OG0000088	XP_017876693.1	XP_025996218.1, XP_039311698.1
OG0000089	XP_017879467.1, XP_017879474.1, XP_026669111.1, XP_026669105.1, XP_026669096.1	XP_039308778.1, XP_011166981.2, XP_011166985.2
OG0000089	XP_017879753.1	XP_011171848.1
OG0000091	XP_017878945.1, XP_017878947.1, XP_017875917.2	XP_011175219.1, XP_011175223.1, XP_011175233.1
OG0000092	XP_017890756.1	XP_011165503.1
OG0000092	XP_017879703.1, XP_026669127.1	XP_011175720.1, XP_011175721.1
OG0000092	XP_017883478.1	XP_011162964.1
OG0000093	XP_017884046.1	XP_039313509.1, XP_039303479.1, XP_011161917.1
OG0000093	XP_026673328.1	XP_011162834.1
OG0000093	XP_017892608.1, XP_026666981.1	XP_011157346.1, XP_039302213.1
OG0000094	XP_017888932.1	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1
OG0000094	XP_017879892.1, XP_017892146.2, XP_017879895.1	XP_039303166.1
OG0000095	XP_017892624.1, XP_026675535.1, XP_026667713.1, XP_026667550.1, NP_001352264.1, XP_017882357.2, XP_026666988.1	NP_001291530.1, XP_039307299.1, XP_039307298.1, XP_011156878.1, XP_039307311.1, NP_001291531.1, XP_039312645.1, XP_039304610.1, XP_039304261.1, XP_039304262.1, XP_025997578.1, XP_039304282.1
OG0000096	XP_026671822.1	XP_011156409.1, XP_039313932.1
OG0000096	XP_017880991.1, XP_017890421.1, XP_017876925.1, XP_026674562.1	XP_039306601.1
OG0000097	XP_017882777.1, XP_017882779.1, XP_026670731.1, XP_026670734.1, XP_026670732.1	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1
OG0000097	XP_026669182.1, XP_017879834.1	XP_025992182.1, XP_011159441.1
OG0000098	XP_017882103.1, XP_017882102.1, XP_017882104.1, XP_017882105.1, XP_026670298.1	XP_025996352.1
OG0000099	XP_017878131.1	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1
OG0000099	XP_017882904.1	XP_039314426.1
OG0000099	XP_017889756.1	XP_011164670.2
OG0000101	XP_026672149.1	XP_011159599.3
OG0000101	XP_017885597.1	XP_025989569.1
OG0000102	XP_017888807.1	XP_025989688.2, XP_025989699.1
OG0000102	XP_017888735.1	XP_025989703.1
OG0000103	XP_017881956.1	XP_011161395.1
OG0000103	XP_017881941.1	XP_011161367.1
OG0000103	XP_017881954.1	XP_011161334.1
OG0000106	XP_017890716.2, XP_017883369.2	XP_039314717.1
OG0000107	XP_017877578.1, XP_026668184.1	XP_011159805.1
OG0000108	XP_017875876.1, XP_026667327.1, XP_017875874.1, XP_026667326.1	XP_025985914.1
OG0000109	XP_017877144.1, XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1	XP_011157413.1, XP_011157412.1
OG0000110	XP_026671942.1	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1
OG0000111	XP_026667865.1	XP_039301713.1
OG0000111	XP_017886304.1, XP_017887546.1	XP_011165202.1, XP_025990766.2, NP_001291520.1
OG0000111	XP_017892963.2	XP_039308795.1
OG0000112	XP_026668642.1, XP_017878656.1, XP_017878658.1	XP_025989590.2
OG0000113	XP_017875141.1, XP_017886534.2	XP_011169897.1
OG0000113	XP_017878803.1	XP_011176341.1, XP_011176387.1
OG0000114	XP_017890039.2	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1
OG0000115	XP_017887780.1, XP_017887778.1, XP_017885409.1	NP_001291541.1
OG0000115	XP_017881697.1	XP_011165645.2, XP_011165643.1, XP_011165649.2, XP_011165650.1
OG0000116	XP_017881657.1, XP_026670219.1	XP_011158331.1, XP_039303768.1
OG0000116	XP_017881740.1	XP_039303766.1
OG0000117	XP_017881345.1	XP_011157894.1
OG0000117	XP_017887828.1, XP_026673222.1, XP_026673221.1, XP_026673223.1, XP_017887829.1	XP_011170972.1, XP_011170971.1
OG0000118	XP_026668212.1	XP_039307181.1, XP_039307180.1, XP_039305761.1
OG0000119	XP_017887198.1, XP_017887196.1, XP_017887190.1, XP_026672950.1, XP_017887192.1, XP_026672944.1	XP_039303820.1, XP_025988519.1, XP_011160452.1, XP_011160472.1, XP_039303816.1, XP_011160453.1, XP_011160457.2, XP_011160459.1, XP_011160469.1
OG0000120	XP_017885112.1, XP_017885113.1, XP_017885114.1, XP_026671925.1, XP_026671926.1, XP_026671923.1, XP_026671924.1, XP_017885115.1, XP_026671929.1, XP_026671928.1, XP_026671927.1, XP_017885111.1	XP_011175144.2
OG0000122	XP_026667849.1	XP_039310041.1
OG0000122	XP_017884012.1	XP_039305859.1
OG0000122	XP_017883014.1	XP_025995487.2
OG0000122	XP_017882995.2	XP_011173307.2
OG0000123	XP_026671916.1, XP_017885083.1, XP_017885082.1, XP_017885077.1, XP_017885085.1, XP_017885084.1, XP_017885081.1	XP_011169664.1
OG0000124	XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_026668667.1, XP_026668668.1, XP_017878669.1	XP_039302015.1
OG0000125	XP_017875584.1, XP_017875585.1, XP_026667182.1, XP_026674457.1, XP_017875567.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1, XP_017875581.1	XP_011166830.1, XP_011166831.1
OG0000126	XP_026674600.1, XP_026674596.1, XP_026674598.1, XP_026674597.1, XP_017890658.1	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1
OG0000127	XP_017876054.2, XP_017881008.1	XP_011165176.1, XP_039307622.1, XP_025994182.1
OG0000127	XP_026671168.1, XP_026667416.1	XP_039307613.1, XP_039307615.1
OG0000129	XP_026673235.1, XP_026673236.1, XP_017887874.1	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2
OG0000130	XP_017890630.1	XP_039309465.1
OG0000130	XP_026670684.1	XP_025991693.1, XP_025991692.1
OG0000131	XP_017887498.1	XP_011159624.1
OG0000131	XP_017887622.1, XP_026673152.1	XP_011168548.1
OG0000132	XP_017878842.1	XP_039305040.1, XP_011175354.1
OG0000132	XP_026668316.1	XP_011162113.1
OG0000133	XP_017877510.1	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1
OG0000135	XP_026673412.1	XP_011168086.1
OG0000135	XP_026669661.1	XP_025992521.1
OG0000136	XP_026675214.1, XP_017892253.1	XP_011168434.2, XP_011168435.1, XP_011168438.2, XP_039309206.1, XP_025989059.2, XP_011168437.1, XP_011168436.1, XP_011168451.1
OG0000137	XP_026670973.1	XP_039302269.1, XP_011164282.1
OG0000137	XP_026670220.1, XP_026675240.1	XP_025987902.2, XP_011171988.2, XP_011171990.2, XP_011171989.2
OG0000138	XP_017885549.1, XP_026672117.1	XP_011156769.2
OG0000139	XP_026673554.1	XP_011163312.2, XP_025992297.2
OG0000141	XP_017885124.1	XP_011172931.2
OG0000141	XP_017876335.1	XP_011173169.1
