Orthogroup	Ceratina_calcarata	Acyrthosiphon_pisum
OG0000015	XP_017886623.1	XP_029343966.1, XP_029343965.1, XP_029348486.1, XP_008181210.1, XP_029347859.1, XP_016664423.1, XP_029348122.1, XP_029341074.1, XP_029345565.1, XP_008178712.1, XP_016663080.1, XP_029345242.1, XP_008185956.2, XP_016664373.2, XP_008178216.1, XP_008190259.1, XP_029342176.1, XP_008184420.1, XP_008182443.1, XP_008181582.1, XP_008184153.1, XP_008181530.1, XP_016662279.1, XP_016660325.1, XP_008184146.1, XP_016657818.1, XP_029347974.1, XP_008190127.1, XP_008179598.1, XP_008180455.1, XP_008180286.1, XP_008184081.1, XP_029348190.1
OG0000016	XP_017878645.1, XP_017879462.1, XP_017877665.1, XP_017875193.1, XP_017878763.1	XP_008179439.1, XP_008188179.1, XP_008189245.1
OG0000016	XP_017878373.1	XP_003240638.2
OG0000017	XP_026675010.1, XP_026675012.1, XP_026675011.1	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1
OG0000018	XP_026673006.1, XP_026673004.1, XP_017883367.1, XP_017883368.1, XP_026670979.1, XP_026670978.1, XP_017890591.1, XP_026674563.1, XP_017890593.1, XP_017890581.1, XP_017889371.1	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2
OG0000019	XP_017887380.2, XP_026668832.1, XP_017890717.1, XP_017877436.1, XP_017885792.1	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1
OG0000019	XP_017888742.1	XP_001952539.2
OG0000020	XP_017881798.1	XP_029343120.1
OG0000020	XP_026672764.1	XP_029345653.1
OG0000020	XP_017892668.1	XP_029344335.1, XP_016664934.1
OG0000020	XP_017878233.1	XP_029347131.1
OG0000020	XP_017876760.1	XP_001947843.1
OG0000020	XP_026668767.1	XP_029343394.1
OG0000021	XP_017892171.1	XP_001945018.2
OG0000021	XP_017887700.1	XP_001944401.2
OG0000021	XP_026674526.1, XP_017890431.1	XP_016663029.1, XP_003240228.1, XP_029342725.1
OG0000021	XP_017878927.1, XP_017892165.1	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1
OG0000022	XP_017887568.1	XP_003244391.2, XP_029347151.1, XP_029347343.1
OG0000022	XP_017892302.1, XP_017879112.1, XP_017888174.1, XP_017887616.1, XP_017881012.1	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2
OG0000023	XP_017892537.1, XP_017888175.1, XP_026673239.1, XP_017881017.1, XP_017887547.1	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1
OG0000024	XP_017876987.2, XP_017876985.1, XP_017881138.1, XP_017892075.1	XP_001949358.2
OG0000024	XP_017889793.1, XP_017889792.1	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1
OG0000026	XP_017881604.1	XP_029342349.1, XP_029342350.1
OG0000026	XP_017886012.1	XP_029345451.1
OG0000026	XP_026667172.1, XP_026667174.1, XP_026667173.1, XP_026667176.1, XP_026667175.1, XP_026667177.1	XP_029342414.1
OG0000027	XP_017875198.1	NP_001156692.1
OG0000027	XP_017887602.1	XP_001949096.2, XP_008189396.1
OG0000027	XP_017888171.1	XP_008190046.1
OG0000027	XP_017887569.1	XP_029347154.1
OG0000029	XP_017879055.1, XP_017878925.1	XP_016663309.2, XP_001952418.1
OG0000029	XP_026668846.1, XP_026671320.1, XP_017878918.1	NP_001165726.1, XP_001947860.1
OG0000030	XP_017889314.1, XP_026673910.1, XP_026673911.1, XP_026673914.1, XP_026673913.1, XP_026673912.1	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2
OG0000031	XP_026670214.1, XP_017887183.2, XP_017880999.1, XP_017881575.1	XP_003241398.1, XP_003241866.1, XP_008180085.1, XP_008187487.1, XP_008178574.1, XP_008188525.1, XP_008186999.1, XP_008183387.1, XP_001946200.2, XP_008180732.1, XP_003240516.1, XP_008189979.1, XP_003243296.1, XP_008182748.2, XP_003247981.1, XP_029347324.1, XP_008184501.1, XP_008189653.1, XP_008185315.1, XP_008181501.1, XP_029347882.1, XP_001945611.2, XP_029348246.1, XP_008179617.1, XP_008181478.1, XP_008179338.1, XP_008189560.1, XP_008178728.1, XP_001947548.1, XP_008180308.1, XP_001948346.2, XP_008185496.1, XP_008188161.1, XP_008189772.2, XP_008190121.1, XP_029342251.1
OG0000032	XP_017879113.1	XP_003246235.1, XP_001947862.2, XP_001948097.2, XP_003246236.1
OG0000033	XP_026672984.1, XP_017888665.1	XP_008182397.1, XP_008188682.1, XP_008181233.1, XP_008184752.2, XP_008178492.1, XP_008178503.1, XP_029348526.1, XP_029348382.1, XP_029340965.1, XP_008178587.1, XP_008189600.1, XP_008182361.1, XP_029341075.1, XP_008181981.1
OG0000033	XP_017888593.2	XP_016655826.1
OG0000033	XP_017881686.1	XP_008182854.1, XP_029348025.1, XP_008178823.1, XP_008185411.1, XP_008186193.1, XP_016656274.2, XP_008182823.1, XP_008189784.1, XP_008180205.1, XP_029340974.1, XP_008182739.1
OG0000035	XP_017886557.1	XP_001945842.2, XP_029345799.1, XP_029343210.1, XP_008186378.1, XP_029343209.1, XP_001943715.1, XP_001949845.2, XP_001949897.2, XP_029343092.1, XP_001952770.1
OG0000037	XP_017893255.1	XP_008187877.2, NP_001155504.1, XP_003241041.1, XP_003243107.1, NP_001165431.1, NP_001155507.1, XP_029343963.1, XP_003247374.1, XP_008190010.1, NP_001165734.1
OG0000038	XP_017875625.1, XP_017877449.1	XP_001948685.1
OG0000038	XP_017886375.1	XP_003245830.1
OG0000039	XP_017880265.1, XP_017885294.1, XP_017884160.1, XP_017879099.1, XP_017890633.1	XP_016661651.1
OG0000041	XP_017880124.1, XP_017880121.1, XP_017880123.1	NP_001136108.1, XP_001948457.2
OG0000041	XP_017893662.1	XP_001948128.1
OG0000042	XP_017883943.2, XP_026673615.1	XP_016662708.1, XP_008186444.1
OG0000043	XP_017886026.1	NP_001128404.1, XP_029342103.1, NP_001119651.1
OG0000044	XP_026674447.1, XP_026673576.1	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2
OG0000045	XP_017885494.1, XP_017885495.1, XP_026672577.1	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2
OG0000045	XP_026670847.1	XP_029347511.1, XP_003248124.2, XP_016656776.1, XP_008179193.1, XP_029346942.1, XP_003246887.1, XP_029346941.1, XP_016656775.1, XP_016659005.1, XP_001949423.2, XP_001949604.2, XP_008186205.1
OG0000046	XP_017880728.1	XP_008184380.1, NP_001156420.1
OG0000046	XP_017877146.1, XP_017889622.1	XP_001951207.1, XP_003244048.1
OG0000047	XP_017880334.1, XP_017892805.1, XP_017875626.1, XP_017888678.1, XP_026675543.1	XP_008188471.1, XP_008182780.1, XP_008182496.1, XP_008180759.1, XP_016661993.1, XP_029348003.1, XP_029342264.1, XP_029341344.1, XP_008178222.1, XP_008178291.1, XP_029341022.1, XP_008178525.1, XP_008189339.1, XP_008185268.1, XP_008178820.1, XP_016660548.2, XP_003245376.1, XP_003241214.1, XP_008188668.1, XP_008181747.1, XP_008178517.2, XP_003244703.1, XP_008189952.1, XP_008185493.1, XP_029347997.1, XP_016663902.1, XP_016656212.1, NP_001233059.1, NP_001191896.1, XP_029348349.1, XP_008180703.1, XP_008183156.1, XP_001944531.1, XP_008190228.1, XP_029348058.1, XP_001951909.1, XP_008181765.1, XP_008189984.1, XP_029345735.1, XP_008187181.1, XP_016659199.2, XP_008182981.1, XP_008184725.1, XP_008189733.1, XP_008178797.1
OG0000048	XP_026672955.1	XP_003246561.1, XP_029345889.1, XP_016662409.1, XP_029345122.1, XP_029345890.1, XP_029345124.1, XP_008186079.1, XP_029345127.1, XP_029345125.1
OG0000049	XP_026673634.1	XP_029344683.1, XP_029348273.1
OG0000050	XP_017877630.1, XP_026668996.1, XP_017881679.1, XP_017888731.1, XP_017879668.1, XP_017890628.2	XP_008186168.1, XP_029344195.1
OG0000051	XP_017889196.1	XP_008184704.1
OG0000051	XP_017887249.1	XP_029348048.1, XP_029342253.1, XP_008183897.1
OG0000051	XP_017888660.1	XP_029345872.1, XP_008185178.1, XP_003247960.1
OG0000052	XP_017876353.1, XP_017876352.1, XP_026667536.1	XP_008180304.1, XP_008180303.1
OG0000052	XP_017886239.1	XP_003243917.1, XP_001950194.2
OG0000053	XP_017882546.1	XP_008178744.1, XP_008181635.1, XP_008188016.1, XP_008178393.1, XP_008178411.1
OG0000053	XP_026674136.1, XP_026675479.1	XP_008178754.1, XP_008188582.3
OG0000054	XP_017877140.2, XP_017882628.1, XP_017882621.1, XP_017879473.2	NP_001162107.1, XP_003243273.1, NP_001233051.1
OG0000055	XP_026669288.1, XP_026670741.1	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1
OG0000055	XP_026668345.1, XP_017877892.1	XP_029348415.1
OG0000055	XP_026670737.1	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1
OG0000056	XP_026668599.1	XP_029341785.1, XP_016658856.2
OG0000056	XP_017878877.2	XP_029347390.1, XP_029340985.1
OG0000056	XP_026674744.1, XP_026667107.1	XP_029341336.1
OG0000056	XP_026673034.1	XP_029345472.1, XP_029341337.1
OG0000057	XP_017893620.1	NP_001177327.1
OG0000057	XP_017893591.1	XP_008190203.1
OG0000059	XP_026669809.1	XP_029348403.1, XP_029341029.1
OG0000059	XP_017885313.1	XP_016664883.1, XP_029348073.1, XP_008183710.1, XP_008189178.1, XP_016656694.1, XP_016656071.1, XP_003241793.2, XP_003245816.1, XP_029347857.1, XP_029342932.1, XP_003241645.2, XP_029348016.1, XP_016658809.1
OG0000060	XP_017886873.1	XP_029341750.1
OG0000060	XP_017888800.1, XP_017888809.1, XP_017888818.1, XP_017888829.1	XP_016660546.1
OG0000061	XP_017875889.1	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1
OG0000061	XP_017878262.1	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2
OG0000062	XP_017884166.1, XP_017884165.1, XP_017883750.1, XP_017889879.1	XP_001951309.3
OG0000063	XP_017879825.1	XP_016664961.2, XP_029340921.1, XP_016660863.1, XP_016658201.1, XP_016657235.1, XP_016657234.1
OG0000065	XP_026668887.1	XP_001943808.2
OG0000065	XP_017879155.1, XP_017882484.1, XP_017882497.1	XP_001950981.1
OG0000066	XP_017893308.1, XP_017886546.1, XP_017892307.1, XP_026666824.1, XP_026673906.1, XP_026674185.1, XP_017892139.2, XP_026672447.1	XP_008178755.1, XP_029348396.1, XP_029347905.1, XP_008187418.1, XP_029347848.1, XP_008178341.1, XP_008189191.1, XP_029347833.1, XP_029347832.1, XP_008180329.2, XP_008180328.1, XP_008186719.1, XP_008186645.1, XP_008178451.1, XP_008184821.1, XP_008189985.1, XP_008181030.1, XP_008181032.1, XP_008178816.1, XP_008181153.1
OG0000067	XP_017879415.1	XP_001948642.2
OG0000067	XP_017890435.1	XP_016658458.1
OG0000067	XP_017893293.1	XP_029347451.1, XP_001948493.1
OG0000067	XP_017875523.1	XP_008185788.1
OG0000069	XP_017891750.1, XP_026674127.1, XP_017886230.2, XP_026668196.1, XP_017877635.1, XP_017875627.2, XP_017877634.1, XP_017875123.2, XP_026667998.1, XP_017877327.1, XP_017886254.1, XP_026669813.1	XP_029344273.1
OG0000074	XP_017890868.1	XP_016661872.1
OG0000077	XP_017875015.1	XP_001945190.2
OG0000077	XP_026672146.1, XP_026671946.1, XP_017888250.2, XP_017885489.2, XP_017893147.2, XP_026672126.1	XP_008187030.1
OG0000079	XP_026668250.1	XP_001952588.1
OG0000080	XP_017890681.1	XP_001952817.1, XP_003241505.1
OG0000080	XP_017890685.1	XP_003240094.1
OG0000081	XP_026674182.1, XP_017889350.1, XP_026674208.1, XP_026674209.1, XP_017889349.2	XP_016660637.1, XP_003245950.2
OG0000084	XP_017892832.1, XP_017892831.1, XP_017892838.1	NP_001155431.1
OG0000084	XP_017886965.1	NP_001155786.1
OG0000085	XP_017890150.1, XP_026671441.1	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1
OG0000086	XP_017886282.1, XP_017890445.1	NP_001155379.1, XP_016661052.1, XP_016662788.2, XP_001951510.1, NP_001155766.1, XP_008182375.2, XP_016663261.1
OG0000086	XP_017889819.1	XP_001950197.2
OG0000087	XP_017889598.1, XP_017889597.1, XP_017889543.1, XP_026674171.1	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2
OG0000088	XP_017876693.1	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1
OG0000091	XP_017878945.1, XP_017878947.1, XP_017875917.2	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2
OG0000092	XP_017890756.1, XP_017879703.1, XP_026669127.1, XP_017879700.1, XP_017883478.1	XP_001947820.1
OG0000093	XP_017884046.1, XP_026673328.1, XP_017892608.1, XP_026666981.1	XP_016662984.1, XP_008187890.1
OG0000094	XP_017888932.1, XP_017879892.1, XP_017892146.2, XP_017879895.1, XP_026667942.1, XP_017877215.1	XP_001948596.2
OG0000097	XP_017882777.1, XP_017882779.1, XP_026670731.1, XP_026670734.1, XP_026670732.1, XP_026669182.1, XP_017879834.1	XP_001948740.2, XP_008182369.1, XP_029347936.1
OG0000098	XP_017882103.1, XP_017882102.1, XP_017882104.1, XP_017882105.1, XP_026670298.1	NP_001153821.1, XP_008189785.1
OG0000099	XP_017878131.1	XP_001945365.2
OG0000099	XP_017882904.1	XP_001945213.1
OG0000099	XP_017889756.1	XP_001951744.1
OG0000100	XP_026672742.1, XP_026672741.1, XP_026672740.1	XP_001944985.1
OG0000101	XP_026672149.1	XP_001950980.2, XP_001945570.2
OG0000101	XP_017885597.1	XP_001952301.1
OG0000102	XP_017888807.1, XP_017888735.1	XP_001946994.2
OG0000103	XP_017881941.1, XP_017881954.1	XP_003248994.1, XP_003243120.1
OG0000108	XP_017875876.1, XP_026667327.1, XP_017875874.1, XP_026667326.1	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2
OG0000109	XP_017877144.1, XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1	XP_001947883.2
OG0000112	XP_026668642.1, XP_017878656.1, XP_017878658.1, XP_017883504.1, XP_026671066.1	XP_001944328.2
OG0000113	XP_017875141.1, XP_017886534.2, XP_017878803.1	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1
OG0000115	XP_017887780.1, XP_017887778.1, XP_017885409.1, XP_017881706.1, XP_017881697.1	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1
OG0000117	XP_017881345.1	XP_001947242.1
OG0000117	XP_017887828.1, XP_026673222.1, XP_026673221.1, XP_026673223.1, XP_017887829.1	XP_001945228.1
OG0000118	XP_026668212.1	XP_029343559.1, XP_008182581.1, XP_029342924.1, XP_029341532.1
OG0000119	XP_017887198.1, XP_017887196.1, XP_017887190.1, XP_026672950.1, XP_017887192.1, XP_026672944.1	XP_001950896.2, XP_001946809.2
OG0000120	XP_026671941.1, XP_017885112.1, XP_017885113.1, XP_017885114.1, XP_026671925.1, XP_026671926.1, XP_026671923.1, XP_026671924.1, XP_017885115.1, XP_026671929.1, XP_026671928.1, XP_026671927.1, XP_017885111.1	XP_008183102.1, XP_008183682.2, XP_001946812.2, XP_016660349.1
OG0000122	XP_026667849.1	XP_029345164.1
OG0000122	XP_017883014.1, XP_017882995.2	XP_029345159.1, XP_001942872.1
OG0000123	XP_026671916.1, XP_017885083.1, XP_017885082.1, XP_017885077.1, XP_017885085.1, XP_017885084.1, XP_017885081.1	XP_001944241.1
OG0000124	XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_026668667.1, XP_026668668.1, XP_017878669.1	XP_001946145.1, XP_029344203.1, XP_016657907.1, XP_003240297.1
OG0000125	XP_017875584.1, XP_017875585.1, XP_026667182.1, XP_026674457.1, XP_017875567.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1, XP_017875581.1	XP_029343174.1, XP_029343175.1
OG0000126	XP_026674600.1, XP_026674596.1, XP_026674598.1, XP_026674597.1, XP_017890658.1	XP_029344350.1
OG0000127	XP_017876054.2, XP_017881008.1	XP_008184238.2, XP_008185467.1, XP_008185468.2, XP_001944157.3, XP_001947156.2
OG0000127	XP_026671168.1, XP_026667416.1	XP_016661891.1
OG0000129	XP_026673235.1, XP_026673236.1, XP_017887874.1	XP_029342557.1, XP_003243980.1, XP_008182280.1
OG0000130	XP_017890630.1, XP_017890624.2, XP_026674583.1, XP_026674584.1, XP_026670687.1	XP_008188212.1
OG0000130	XP_026670684.1	XP_029347188.1
OG0000131	XP_017887498.1	NP_001119635.1
OG0000131	XP_017887622.1, XP_026673152.1	XP_001944342.1, NP_001280296.1
OG0000132	XP_017878842.1, XP_026668316.1	XP_001944867.2, XP_008188761.1
OG0000133	XP_017877510.1, XP_017887809.1, XP_026673220.1	XP_001947717.2, XP_029346829.1
OG0000135	XP_026673412.1, XP_026669661.1	XP_008183617.1, XP_016660307.1, XP_008183620.1, XP_008183619.1, XP_016660306.1, XP_029348611.1
OG0000137	XP_026670973.1, XP_026670220.1, XP_026675240.1	XP_029345533.1, XP_029345535.1, XP_029345534.1, XP_001949204.1, XP_008183005.1, XP_008183006.1, XP_001951358.1, XP_001943488.1
OG0000138	XP_017885549.1, XP_026672117.1, XP_017885589.1, XP_017885588.1, XP_017885587.1	XP_029344015.1, XP_029344014.1, XP_029344016.1, XP_001948700.2
OG0000139	XP_026673554.1	XP_001949990.1
OG0000140	XP_017884943.1, XP_017884451.1, XP_026671567.1, XP_026671566.1	XP_001950680.1, XP_029341066.1, XP_003245538.1, XP_003244834.1
OG0000141	XP_017885124.1, XP_026671329.1, XP_026671326.1, XP_026671328.1, XP_017884016.1, XP_026671325.1, XP_017876335.1	XP_029343859.1
OG0000143	XP_017891548.1, XP_026675129.1, XP_017891695.1, XP_017891686.1	XP_008183821.1, XP_001945042.2
OG0000146	XP_017880213.1, XP_017876237.1, XP_017880666.1	NP_001119627.1
OG0000147	XP_026667896.1, XP_017877071.1, XP_017877072.1, XP_017877070.1, XP_017875842.1, XP_017875843.1, XP_026667285.1	NP_001119678.1
OG0000149	XP_026669621.1	NP_001233210.1, XP_008189229.1
OG0000149	XP_017880633.1, XP_026669623.1, XP_017880636.1, XP_017880635.1, XP_026669622.1	XP_001945852.2
OG0000150	XP_026671385.1, XP_026671384.1, XP_017884134.1, XP_017884140.1, XP_017884141.1, XP_017884135.1, XP_017884138.1, XP_017884143.1, XP_017884145.1, XP_026671383.1	XP_003241608.1, XP_001943456.1, XP_008178725.1, XP_008178726.1
OG0000151	XP_026667339.1, XP_026667338.1, XP_026667337.1, XP_017875900.1, XP_017875902.1	NP_001232992.1
OG0000152	XP_026667393.1, XP_026667394.1, XP_026667391.1, XP_026667392.1, XP_017876039.1	XP_001950609.1
OG0000153	XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1, XP_026671618.1	XP_001952790.2
OG0000154	XP_017876215.1	XP_029348690.1, XP_029346266.1, XP_016657976.1, XP_029348689.1
OG0000156	XP_017887763.1, XP_026673086.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_026673087.1	XP_016659611.1
OG0000160	XP_017886269.2, XP_017886270.1	XP_001951963.1
OG0000160	XP_017887715.1, XP_026673143.1, XP_026673144.1	XP_008184790.2, NP_001280442.1, XP_001944828.2, XP_001944881.1, XP_029342333.1, NP_001280272.1, NP_001233238.1, XP_008184532.1, XP_029342331.1, NP_001280469.1, XP_029341215.1
OG0000161	XP_017882448.1, XP_017877494.1, XP_017878197.1	XP_001950765.1
OG0000161	XP_017890673.1, XP_017888965.2	XP_003248391.3, XP_016664500.1, XP_029343100.1, XP_003247261.1, XP_029347509.1, XP_001951866.1, XP_029343101.1
OG0000162	XP_017889429.1	XP_029346510.1
OG0000162	XP_017885311.1	XP_016657938.1, XP_008180629.1
OG0000163	XP_026675297.1, XP_026666960.1, XP_026673476.1	XP_016657074.1, XP_029347854.1, XP_029342845.1, XP_016658164.1, XP_029345834.1, XP_016656576.1, XP_029347331.1, XP_016659815.1
