Orthogroup	Ceratina_calcarata	Osmia_bicornis
OG0000011	XP_017879450.1, XP_026669011.1, XP_017891472.2, XP_017881630.1, XP_026674945.1	XP_029053128.1, XP_029053127.1, XP_029052576.1, XP_029054131.1, XP_029054129.1, XP_029052577.1, XP_029053130.1, XP_029053132.1, XP_029053134.1, XP_029052579.1, XP_029053590.1, XP_029053754.1, XP_029053755.1, XP_029053123.1, XP_029054135.1, XP_029053126.1, XP_029053131.1, XP_029054368.1, XP_029054370.1, XP_029052586.1, XP_029054369.1
OG0000012	XP_017893158.1	XP_029044618.1
OG0000012	XP_017890720.1, XP_017889198.1, XP_026674581.1	XP_029040151.1
OG0000012	XP_017875047.1	XP_029040169.1
OG0000012	XP_017890257.1, XP_026672566.1	XP_029036967.1
OG0000012	XP_017889230.1, XP_017890394.1, XP_017886295.1	XP_029036856.1
OG0000013	XP_017875197.1	XP_029053452.1, XP_029054967.1
OG0000013	XP_017887567.1	XP_029051686.1, XP_029053957.1, XP_029035638.1, XP_029053372.1
OG0000013	XP_017884545.1, XP_026671800.1, XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1, XP_017884546.1, XP_026671801.1	XP_029037650.1
OG0000014	XP_017887641.1, XP_017875203.1	XP_029035522.1, XP_029053444.1, XP_029055146.1, XP_029053956.1, XP_029054088.1, XP_029051685.1
OG0000014	XP_017888173.1	XP_029051987.1
OG0000015	XP_017886623.1	XP_029054814.1
OG0000016	XP_017878645.1	XP_029054495.1
OG0000016	XP_017879462.1	XP_029055268.1
OG0000016	XP_017877665.1, XP_017875193.1	XP_029053711.1
OG0000016	XP_017878763.1	XP_029054642.1
OG0000017	XP_017892800.1	XP_029036237.1
OG0000017	XP_026675002.1	XP_029039562.1
OG0000017	XP_026675010.1	XP_029039555.1
OG0000017	XP_026675012.1, XP_026675011.1	XP_029039565.1, XP_029039563.1, XP_029039564.1
OG0000018	XP_026673006.1, XP_026673004.1	XP_029051327.1
OG0000018	XP_017883367.1, XP_017883368.1, XP_026670979.1, XP_026670978.1	XP_029048068.1, XP_029048069.1, XP_029048067.1
OG0000018	XP_017890591.1, XP_026674563.1, XP_017890593.1	XP_029049739.1, XP_029049738.1, XP_029049740.1
OG0000018	XP_017890581.1	XP_029049735.1
OG0000018	XP_017889371.1	XP_029036695.1
OG0000019	XP_017887380.2, XP_026668832.1, XP_017890717.1, XP_017877436.1, XP_017885792.1	XP_029052871.1, XP_029052872.1
OG0000019	XP_017888742.1	XP_029052293.1
OG0000019	XP_017885630.1	XP_029033414.1
OG0000020	XP_026672764.1	XP_029043034.1
OG0000020	XP_017892668.1	XP_029055041.1
OG0000020	XP_017878233.1	XP_029034229.1
OG0000020	XP_026668767.1	XP_029032757.1
OG0000021	XP_017892171.1	XP_029039360.1, XP_029039361.1, XP_029039362.1
OG0000021	XP_017887700.1	XP_029032147.1
OG0000021	XP_026674526.1, XP_017890431.1	XP_029046571.1
OG0000021	XP_017878927.1	XP_029041225.1
OG0000021	XP_017892165.1	XP_029039365.1, XP_029039366.1, XP_029039367.1, XP_029039368.1, XP_029039369.1, XP_029039363.1
OG0000022	XP_017879112.1	XP_029035866.1
OG0000022	XP_017887616.1, XP_017881012.1	XP_029054087.1, XP_029053362.1, XP_029053958.1, XP_029055198.1, XP_029053955.1, XP_029054818.1, XP_029053454.1, XP_029053455.1
OG0000023	XP_026673239.1	XP_029053456.1, XP_029054574.1
OG0000023	XP_017881017.1	XP_029054086.1, XP_029053954.1, XP_029055089.1, XP_029053953.1
OG0000023	XP_017887547.1	XP_029051991.1
OG0000024	XP_017876987.2	XP_029051585.1, XP_029051584.1, XP_029051583.1
OG0000024	XP_017876985.1, XP_017881138.1	XP_029051581.1
OG0000024	XP_017892075.1	XP_029052345.1
OG0000024	XP_017889793.1	XP_029045871.1
OG0000024	XP_017889792.1	XP_029045870.1
OG0000025	XP_017890440.1	XP_029050939.1
OG0000026	XP_017881604.1	XP_029039364.1
OG0000026	XP_026667172.1, XP_026667174.1, XP_026667173.1, XP_026667176.1, XP_026667175.1, XP_026667177.1	XP_029032070.1, XP_029039545.1
OG0000027	XP_017875198.1	XP_029053459.1, XP_029053373.1
OG0000027	XP_017887602.1	XP_029035641.1, XP_029053960.1
OG0000027	XP_017888171.1	XP_029053445.1
OG0000028	XP_026666970.1	XP_029054849.1
OG0000028	XP_017891298.1	XP_029055189.1
OG0000028	XP_017890721.1, XP_017887219.1	XP_029054504.1, XP_029055176.1, XP_029053692.1, XP_029054588.1
OG0000029	XP_017879055.1, XP_017878925.1	XP_029041154.1, XP_029041149.1
OG0000029	XP_017883728.1	XP_029049864.1, XP_029049863.1
OG0000029	XP_017878918.1	XP_029041266.1
OG0000030	XP_026669786.1, XP_026668326.1	XP_029038012.1
OG0000030	XP_017889314.1, XP_026673910.1, XP_026673911.1, XP_026673914.1, XP_026673913.1, XP_026673912.1	XP_029049282.1
OG0000031	XP_026670214.1, XP_017887183.2, XP_017880999.1, XP_017881575.1	XP_029053793.1, XP_029054769.1, XP_029053898.1, XP_029033246.1, XP_029040500.1, XP_029055091.1, XP_029054466.1, XP_029055036.1, XP_029054675.1, XP_029055267.1, XP_029055215.1, XP_029054622.1
OG0000032	XP_026669191.1, XP_017879823.1	XP_029055718.1, XP_029055719.1, XP_029055717.1
OG0000032	XP_017891597.1	XP_029050538.1
OG0000033	XP_026672984.1, XP_017888665.1	XP_029054900.1
OG0000033	XP_026675149.1, XP_017888593.2	XP_029055236.1
OG0000034	XP_017889271.2	XP_029052867.1, XP_029052866.1, XP_029052851.1, XP_029052877.1
OG0000036	XP_017881580.1, XP_017889701.1, XP_017889702.1	XP_029047761.1
OG0000036	XP_017881584.1	XP_029047766.1
OG0000036	XP_017890188.1, XP_017889424.1	XP_029047762.1
OG0000036	XP_017889438.1	XP_029047765.1
OG0000036	XP_017889422.1	XP_029047764.1
OG0000036	XP_017888379.2	XP_029043017.1
OG0000037	XP_017893255.1	XP_029047042.1
OG0000038	XP_017875625.1	XP_029041947.1, XP_029050411.1
OG0000038	XP_017889363.1	XP_029039496.1
OG0000038	XP_017889379.1	XP_029036717.1, XP_029036716.1
OG0000038	XP_017882886.1	XP_029034840.1
OG0000038	XP_017886375.1	XP_029045842.1, XP_029045843.1, XP_029045841.1
OG0000040	XP_017877450.1, XP_017888048.1, XP_017889733.1, XP_017888163.1	XP_029055961.1, XP_029055960.1, XP_029055959.1
OG0000041	XP_026675486.1, XP_017892322.1, XP_017892323.1	XP_029032654.1, XP_029032653.1
OG0000041	XP_017880123.1	XP_029038901.1, XP_029038899.1
OG0000041	XP_017893662.1	XP_029053007.1
OG0000042	XP_017883943.2, XP_026673615.1	XP_029048713.1
OG0000043	XP_017886026.1	XP_029038126.1
OG0000043	XP_017878064.1	XP_029042859.1
OG0000043	XP_017877704.1	XP_029042860.1
OG0000043	XP_017881454.1	XP_029032665.1
OG0000044	XP_026674447.1	XP_029033389.1, XP_029033390.1
OG0000044	XP_026673576.1	XP_029033388.1
OG0000044	XP_026675544.1	XP_029033272.1, XP_029033270.1, XP_029033271.1
OG0000045	XP_017885494.1, XP_017885495.1	XP_029043746.1
OG0000046	XP_017880728.1	XP_029046126.1
OG0000046	XP_017877146.1	XP_029054140.1
OG0000046	XP_017889622.1	XP_029049335.1
OG0000046	XP_017876333.1	XP_029049438.1, XP_029049436.1, XP_029049437.1
OG0000047	XP_017892805.1, XP_017875626.1, XP_017888678.1, XP_026675543.1	XP_029054608.1, XP_029054038.1, XP_029055277.1, XP_029054997.1, XP_029054202.1
OG0000049	XP_026673634.1	XP_029055197.1
OG0000050	XP_017877630.1, XP_026668996.1, XP_017881679.1, XP_017888731.1, XP_017879668.1	XP_029035421.1
OG0000050	XP_017890628.2	XP_029047238.1
OG0000051	XP_017891841.1	XP_029049350.1, XP_029043251.1
OG0000051	XP_017889196.1	XP_029055083.1, XP_029054931.1
OG0000052	XP_017876353.1	XP_029053695.1
OG0000052	XP_017886239.1	XP_029042748.1
OG0000053	XP_017882546.1	XP_029055282.1, XP_029054610.1
OG0000054	XP_017877140.2	XP_029050144.1
OG0000054	XP_017882628.1	XP_029050156.1
OG0000055	XP_026670741.1	XP_029033370.1, XP_029033371.1
OG0000055	XP_026669873.1	XP_029035680.1
OG0000055	XP_026668345.1, XP_017877892.1	XP_029033281.1, XP_029033290.1, XP_029033297.1
OG0000055	XP_026670737.1	XP_029033206.1
OG0000056	XP_017878877.2	XP_029041052.1
OG0000056	XP_026674744.1	XP_029050404.1
OG0000056	XP_026667107.1	XP_029048153.1
OG0000056	XP_026673034.1	XP_029044167.1
OG0000057	XP_017893620.1	XP_029035838.1
OG0000057	XP_017893593.1	XP_029035983.1
OG0000057	XP_017893591.1	XP_029035967.1
OG0000057	XP_026666868.1	XP_029035984.1
OG0000058	XP_026669998.1	XP_029038287.1
OG0000058	XP_026674585.1, XP_026669241.1, XP_017890641.2, XP_026667263.1, XP_026674805.1, XP_026667259.1, XP_026669747.1, XP_026669980.1, XP_026667260.1, XP_026669995.1	XP_029038900.1, XP_029038888.1, XP_029038873.1, XP_029038863.1
OG0000059	XP_026669809.1	XP_029055212.1
OG0000060	XP_017886873.1	XP_029056239.1, XP_029056240.1
OG0000060	XP_017888800.1, XP_017888809.1, XP_017888818.1, XP_017888829.1	XP_029040322.1, XP_029040321.1, XP_029040320.1, XP_029040318.1, XP_029040317.1
OG0000061	XP_017875889.1	XP_029042514.1
OG0000061	XP_017878262.1	XP_029037437.1
OG0000062	XP_017884166.1	XP_029054767.1
OG0000062	XP_017884165.1	XP_029054389.1
OG0000062	XP_017883750.1, XP_017889879.1	XP_029054763.1
OG0000063	XP_017879825.1	XP_029053925.1, XP_029055304.1, XP_029046072.1, XP_029037443.1, XP_029054529.1, XP_029055142.1
OG0000064	XP_017883621.2, XP_026671151.1, XP_017883632.2, XP_026671133.1, XP_017883644.1, XP_026671131.1, XP_017883641.2, XP_017883640.2, XP_026671140.1, XP_026671158.1, XP_026671138.1, XP_026671141.1, XP_026671143.1, XP_026671129.1, XP_026671149.1	XP_029049217.1, XP_029049232.1, XP_029049008.1
OG0000064	XP_026671137.1, XP_026671130.1	XP_029049978.1
OG0000065	XP_026668887.1	XP_029047719.1
OG0000065	XP_017882497.1	XP_029047711.1
OG0000066	XP_017893308.1	XP_029053476.1
OG0000067	XP_017879415.1	XP_029053164.1
OG0000067	XP_017890435.1	XP_029042775.1
OG0000067	XP_017893293.1	XP_029032763.1
OG0000067	XP_017875523.1	XP_029039161.1
OG0000069	XP_017886230.2	XP_029035424.1, XP_029035422.1
OG0000069	XP_026667998.1, XP_017877327.1, XP_017886254.1, XP_026669813.1	XP_029035425.1, XP_029035429.1
OG0000070	XP_026674236.1	XP_029038581.1
OG0000073	XP_017875573.2, XP_026667851.1	XP_029051176.1, XP_029051151.1
OG0000074	XP_017890868.1	XP_029038270.1
OG0000076	XP_017881659.1	XP_029054991.1
OG0000077	XP_017875015.1	XP_029041461.1
OG0000077	XP_026672146.1, XP_026671946.1, XP_017888250.2, XP_017885489.2, XP_017893147.2, XP_026672126.1	XP_029051620.1
OG0000078	XP_026670829.1	XP_029038384.1
OG0000079	XP_026668250.1	XP_029035221.1
OG0000080	XP_017890681.1	XP_029048618.1, XP_029048619.1
OG0000080	XP_017883725.1	XP_029048621.1, XP_029048620.1
OG0000080	XP_017890685.1	XP_029048655.1
OG0000081	XP_026674182.1, XP_017889350.1, XP_026674208.1, XP_026674209.1, XP_017889349.2	XP_029040924.1, XP_029040923.1, XP_029040922.1, XP_029040928.1, XP_029040927.1, XP_029040929.1, XP_029040930.1, XP_029040871.1
OG0000082	XP_017884449.1	XP_029037393.1
OG0000082	XP_017884391.1	XP_029037394.1
OG0000082	XP_017884390.1	XP_029037432.1, XP_029037434.1, XP_029037430.1, XP_029037431.1, XP_029037428.1, XP_029037429.1, XP_029037433.1
OG0000083	XP_017876268.1, XP_017877688.1, XP_017881064.1, XP_017890453.1, XP_017886196.1, XP_017885272.1, XP_017880834.1, XP_017885478.1, XP_017875795.1, XP_026669405.1, XP_017888591.1, XP_017888671.1, XP_017890417.1, XP_017889154.1	XP_029054295.1, XP_029054390.1
OG0000084	XP_017892832.1	XP_029034284.1
OG0000084	XP_017892831.1	XP_029034285.1
OG0000084	XP_017892838.1	XP_029034302.1
OG0000084	XP_017886965.1	XP_029039752.1
OG0000085	XP_017890150.1	XP_029036566.1, XP_029036567.1
OG0000085	XP_026671441.1	XP_029036300.1, XP_029036301.1
OG0000086	XP_017889819.1	XP_029036714.1
OG0000087	XP_017889598.1	XP_029056468.1
OG0000087	XP_017889597.1	XP_029056467.1
OG0000087	XP_017889543.1, XP_026674171.1	XP_029056466.1
OG0000088	XP_017876693.1	XP_029051133.1
OG0000089	XP_017879467.1, XP_017879474.1, XP_026669111.1, XP_026669105.1, XP_026669096.1	XP_029053161.1, XP_029053163.1, XP_029053162.1
OG0000089	XP_017879753.1	XP_029051588.1
OG0000091	XP_017878945.1, XP_017878947.1, XP_017875917.2	XP_029041126.1, XP_029041124.1
OG0000092	XP_017890756.1	XP_029048799.1
OG0000092	XP_017879703.1, XP_026669127.1	XP_029041975.1, XP_029041991.1
OG0000092	XP_017879700.1	XP_029043422.1, XP_029044965.1, XP_029044957.1
OG0000092	XP_017883478.1	XP_029036169.1
OG0000094	XP_017888932.1	XP_029033929.1
OG0000094	XP_017879892.1, XP_017892146.2, XP_017879895.1	XP_029034646.1, XP_029034647.1
OG0000094	XP_026667942.1, XP_017877215.1	XP_029050994.1
OG0000095	XP_017892624.1, XP_026675535.1, XP_026667713.1, XP_026667550.1, NP_001352264.1, XP_017882357.2, XP_026666988.1	XP_029035463.1
OG0000096	XP_026671822.1	XP_029039146.1
OG0000096	XP_017880991.1, XP_017890421.1, XP_017876925.1, XP_026674562.1	XP_029053037.1
OG0000097	XP_017882777.1, XP_017882779.1, XP_026670731.1, XP_026670734.1, XP_026670732.1	XP_029033159.1, XP_029033157.1, XP_029033158.1
OG0000097	XP_026669182.1, XP_017879834.1	XP_029042191.1, XP_029042190.1
OG0000098	XP_017882103.1, XP_017882102.1, XP_017882104.1, XP_017882105.1, XP_026670298.1	XP_029040058.1, XP_029040062.1, XP_029040061.1, XP_029040060.1, XP_029040057.1
OG0000099	XP_017878131.1	XP_029034823.1
OG0000099	XP_017882904.1	XP_029034765.1
OG0000099	XP_017889756.1	XP_029045960.1
OG0000100	XP_026672742.1, XP_026672741.1, XP_026672740.1	XP_029038954.1, XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1
OG0000101	XP_026672149.1	XP_029038150.1
OG0000101	XP_017885597.1	XP_029038151.1
OG0000102	XP_017888807.1	XP_029052948.1
OG0000103	XP_017881956.1	XP_029044547.1
OG0000103	XP_017881941.1	XP_029044558.1, XP_029044556.1
OG0000103	XP_017881954.1	XP_029034468.1, XP_029034469.1, XP_029034466.1, XP_029034467.1
OG0000106	XP_017875835.1	XP_029044943.1
OG0000106	XP_017890716.2	XP_029048081.1, XP_029048075.1, XP_029048076.1
OG0000107	XP_017877578.1, XP_026668184.1	XP_029051339.1
OG0000108	XP_017875876.1, XP_026667327.1, XP_017875874.1, XP_026667326.1	XP_029040200.1, XP_029040201.1
OG0000109	XP_017877144.1, XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1	XP_029050471.1, XP_029050469.1, XP_029050473.1, XP_029050472.1
OG0000110	XP_026671942.1	XP_029038421.1, XP_029038418.1, XP_029038419.1
OG0000110	XP_026671669.1, XP_026671670.1, XP_017884745.1	XP_029043468.1
OG0000111	XP_026667865.1	XP_029036880.1
OG0000111	XP_017886304.1, XP_017887546.1	XP_029044472.1, XP_029044473.1, XP_029044439.1, XP_029044436.1, XP_029044435.1, XP_029044432.1, XP_029044433.1, XP_029044430.1
OG0000111	XP_017892963.2	XP_029047148.1
OG0000112	XP_026668642.1, XP_017878656.1, XP_017878658.1	XP_029046532.1, XP_029046533.1
OG0000112	XP_017883504.1, XP_026671066.1	XP_029048168.1
OG0000113	XP_017875141.1, XP_017886534.2	XP_029037699.1
OG0000113	XP_017878803.1	XP_029048517.1
OG0000114	XP_017890039.2	XP_029036590.1
OG0000115	XP_017881706.1	XP_029035566.1
OG0000115	XP_017881697.1	XP_029048286.1
OG0000116	XP_017881657.1, XP_026670219.1	XP_029036993.1, XP_029036999.1
OG0000116	XP_017881740.1	XP_029037819.1, XP_029037828.1
OG0000117	XP_017881345.1	XP_029050106.1
OG0000117	XP_017887828.1, XP_026673222.1, XP_026673221.1, XP_026673223.1, XP_017887829.1	XP_029053280.1, XP_029053279.1, XP_029053278.1, XP_029053281.1
OG0000120	XP_026671941.1	XP_029051756.1
OG0000120	XP_017885112.1, XP_017885113.1, XP_017885114.1, XP_026671925.1, XP_026671926.1, XP_026671923.1, XP_026671924.1, XP_017885115.1, XP_026671929.1, XP_026671928.1, XP_026671927.1, XP_017885111.1	XP_029038490.1, XP_029038486.1, XP_029038485.1, XP_029038483.1, XP_029038484.1, XP_029038488.1, XP_029038489.1
OG0000122	XP_026667849.1	XP_029051575.1
OG0000122	XP_017884012.1	XP_029054705.1
OG0000123	XP_026671916.1, XP_017885083.1, XP_017885082.1, XP_017885077.1, XP_017885085.1, XP_017885084.1, XP_017885081.1	XP_029043158.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043150.1, XP_029043149.1, XP_029043151.1, XP_029043152.1, XP_029043147.1, XP_029043148.1
OG0000124	XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_026668667.1, XP_026668668.1, XP_017878669.1	XP_029037788.1, XP_029036850.1, XP_029037019.1, XP_029036756.1, XP_029037535.1, XP_029037363.1, XP_029037873.1, XP_029037101.1, XP_029037448.1, XP_029037702.1, XP_029036672.1, XP_029037621.1, XP_029036938.1
OG0000125	XP_026667182.1, XP_026674457.1, XP_017875567.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1	XP_029038301.1, XP_029032057.1, XP_029036162.1, XP_029037018.1, XP_029032043.1, XP_029035307.1, XP_029032032.1, XP_029032023.1
OG0000126	XP_026674600.1, XP_026674596.1, XP_026674598.1, XP_026674597.1, XP_017890658.1	XP_029049817.1, XP_029049833.1, XP_029049843.1, XP_029049826.1, XP_029049807.1, XP_029049849.1
OG0000127	XP_026671168.1, XP_026667416.1	XP_029049523.1, XP_029049524.1
OG0000129	XP_026673235.1, XP_026673236.1, XP_017887874.1	XP_029038381.1, XP_029038382.1, XP_029038380.1, XP_029038379.1, XP_029038378.1, XP_029038377.1, XP_029038376.1, XP_029038375.1
OG0000130	XP_017890630.1	XP_029040004.1
OG0000130	XP_017890624.2, XP_026674583.1, XP_026674584.1	XP_029040144.1, XP_029040135.1, XP_029040130.1
OG0000130	XP_026670684.1	XP_029040646.1
OG0000131	XP_017887498.1	XP_029035464.1
OG0000131	XP_017887622.1, XP_026673152.1	XP_029032564.1, XP_029032565.1, XP_029032563.1
OG0000132	XP_017878842.1	XP_029042885.1, XP_029042884.1
OG0000132	XP_026668316.1	XP_029046706.1, XP_029046715.1
OG0000133	XP_017877510.1	XP_029032942.1, XP_029032943.1, XP_029032944.1
OG0000133	XP_017887809.1	XP_029035782.1
OG0000135	XP_026673412.1	XP_029052001.1
OG0000135	XP_026669661.1	XP_029033778.1
OG0000136	XP_026675214.1	XP_029051548.1
OG0000136	XP_017892253.1	XP_029051623.1
OG0000137	XP_026670973.1	XP_029048064.1
OG0000137	XP_026670220.1	XP_029046790.1, XP_029046789.1, XP_029046791.1, XP_029046788.1
OG0000137	XP_026675240.1	XP_029051312.1
OG0000138	XP_017885549.1, XP_026672117.1	XP_029043735.1, XP_029043737.1, XP_029043736.1, XP_029043739.1, XP_029043738.1, XP_029043741.1, XP_029043740.1
OG0000138	XP_017885589.1, XP_017885588.1, XP_017885587.1	XP_029043742.1
OG0000139	XP_026673554.1	XP_029050502.1
OG0000140	XP_017884451.1, XP_026671567.1, XP_026671566.1	XP_029050611.1
OG0000141	XP_017885124.1	XP_029038466.1, XP_029038465.1
OG0000141	XP_026671329.1, XP_026671326.1, XP_026671328.1, XP_017884016.1, XP_026671325.1	XP_029036213.1, XP_029036212.1
OG0000141	XP_017876335.1	XP_029044664.1
OG0000142	XP_026669751.1, XP_017892956.2, XP_017891025.1	XP_029044489.1, XP_029044511.1
OG0000142	XP_017891024.1	XP_029053705.1, XP_029044543.1, XP_029054183.1, XP_029044512.1
OG0000143	XP_017891548.1	XP_029041592.1, XP_029041591.1, XP_029041594.1
OG0000143	XP_026675129.1, XP_017891695.1, XP_017891686.1	XP_029041621.1, XP_029041620.1, XP_029041624.1, XP_029041623.1, XP_029041622.1
OG0000144	XP_017888863.1	XP_029035145.1
OG0000145	XP_026667451.1, XP_017876164.1	XP_029047376.1, XP_029047377.1
OG0000145	XP_017875158.1	XP_029043895.1, XP_029045165.1
OG0000146	XP_017880213.1	XP_029045164.1, XP_029045163.1
OG0000146	XP_017876237.1	XP_029038795.1, XP_029038794.1
OG0000147	XP_017875842.1, XP_017875843.1, XP_026667285.1	XP_029048716.1, XP_029048715.1, XP_029048711.1, XP_029048710.1, XP_029048714.1, XP_029048709.1, XP_029048708.1, XP_029048717.1
OG0000149	XP_026669621.1	XP_029047226.1
OG0000149	XP_017880633.1, XP_026669623.1, XP_017880636.1, XP_017880635.1, XP_026669622.1	XP_029047230.1, XP_029047231.1, XP_029047232.1
OG0000150	XP_026671385.1, XP_026671384.1, XP_017884134.1, XP_017884140.1, XP_017884141.1, XP_017884135.1, XP_017884138.1, XP_017884143.1, XP_017884145.1, XP_026671383.1	XP_029041950.1
OG0000151	XP_026667339.1, XP_026667338.1, XP_026667337.1, XP_017875900.1, XP_017875902.1	XP_029031892.1, XP_029031893.1, XP_029031895.1, XP_029031894.1, XP_029031896.1
OG0000152	XP_026667393.1, XP_026667394.1, XP_026667391.1, XP_026667392.1, XP_017876039.1	XP_029047059.1
OG0000153	XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1, XP_026671618.1	XP_029039104.1, XP_029039105.1, XP_029039106.1, XP_029039101.1, XP_029039103.1
OG0000154	XP_017876215.1	XP_029038796.1
OG0000156	XP_017887763.1, XP_026673086.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_026673087.1	XP_029035328.1
OG0000157	XP_017891817.1	XP_029051283.1
OG0000157	XP_017891818.1	XP_029051281.1
OG0000158	XP_017893148.1, XP_017892229.1, XP_017892218.2, XP_017883003.2	XP_029046478.1, XP_029046471.1, XP_029046469.1, XP_029046468.1, XP_029042113.1
OG0000160	XP_017886269.2, XP_017886270.1	XP_029042735.1
OG0000160	XP_017887715.1, XP_026673143.1, XP_026673144.1	XP_029032546.1
OG0000161	XP_017882448.1	XP_029049654.1, XP_029049653.1
OG0000162	XP_017889429.1	XP_029035080.1
OG0000162	XP_017885311.1	XP_029037503.1
OG0000163	XP_026670104.1, XP_026675297.1, XP_026666960.1, XP_026673476.1	XP_029054127.1, XP_029041264.1
OG0000164	XP_026674186.1	XP_029053418.1, XP_029053381.1
