Orthogroup	Ceratina_calcarata	Anopheles_gambiae
OG0000046	XP_017877146.1, XP_017889622.1	XP_001689308.2
OG0000046	XP_017876333.1	XP_315042.3
OG0000050	XP_017877630.1, XP_026668996.1, XP_017881679.1, XP_017888731.1, XP_017879668.1, XP_017890628.2	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5
OG0000052	XP_017876353.1, XP_017876352.1, XP_026667536.1	XP_319685.4
OG0000052	XP_017886239.1	XP_320291.3
OG0000054	XP_017877140.2	XP_556684.2
OG0000054	XP_017882628.1, XP_017882621.1, XP_017879473.2	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3
OG0000055	XP_026669288.1, XP_026670741.1	XP_553645.3
OG0000055	XP_026669873.1	XP_312790.4
OG0000055	XP_026670737.1	XP_321277.5
OG0000056	XP_026668599.1	XP_318579.4
OG0000056	XP_017878877.2	XP_550805.4
OG0000056	XP_026673034.1	XP_317863.3
OG0000057	XP_017893620.1	XP_309765.4
OG0000057	XP_017893591.1	XP_314483.4
OG0000057	XP_026666868.1	XP_315005.3
OG0000059	XP_017885313.1	XP_321665.3
OG0000060	XP_017886873.1	XP_318748.4
OG0000061	XP_017875889.1	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5
OG0000061	XP_017878262.1	XP_309223.5, XP_003437178.1, XP_003437179.1, XP_311857.4
OG0000065	XP_026668887.1	XP_321329.4
OG0000065	XP_017879155.1, XP_017882484.1, XP_017882497.1	XP_565271.3
OG0000067	XP_017879415.1	XP_320481.4
OG0000067	XP_017893293.1	XP_315003.3, XP_001688603.1, XP_315671.4
OG0000067	XP_017875523.1	XP_315363.4
OG0000077	XP_017875015.1	XP_319941.4
OG0000077	XP_026672146.1, XP_026671946.1, XP_017888250.2, XP_017885489.2, XP_017893147.2, XP_026672126.1	XP_316979.4, XP_321166.4
OG0000079	XP_026668250.1	XP_001238492.1
OG0000080	XP_017890681.1	XP_313655.5
OG0000080	XP_017890685.1	XP_313656.5, XP_003436798.1, XP_003436797.1
OG0000082	XP_017884449.1, XP_017884391.1, XP_017884390.1	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2
OG0000085	XP_017890150.1, XP_026671441.1	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3
OG0000086	XP_017886282.1, XP_017890445.1	XP_552698.3
OG0000086	XP_017889819.1	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1
OG0000087	XP_017889598.1, XP_017889597.1	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4
OG0000087	XP_017889543.1, XP_026674171.1	XP_306334.2, XP_308083.4, XP_308082.4
OG0000088	XP_017876693.1	XP_317091.3
OG0000089	XP_017879467.1, XP_017879474.1, XP_026669111.1, XP_026669105.1, XP_026669096.1	XP_319737.4
OG0000089	XP_017879753.1	XP_310298.6
OG0000091	XP_017878945.1, XP_017878947.1, XP_017875917.2	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2
OG0000092	XP_017890756.1	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1
OG0000092	XP_017883478.1	XP_321262.1, XP_003435947.1
OG0000094	XP_017888932.1	XP_317094.4, XP_001689000.1
OG0000094	XP_017879892.1, XP_017892146.2, XP_017879895.1	XP_321973.5, XP_321095.5, XP_003435979.1, XP_003435978.1, XP_001238431.2, XP_321571.5
OG0000094	XP_026667942.1, XP_017877215.1	XP_312311.5
OG0000095	XP_017892624.1, XP_026675535.1, XP_026667713.1, XP_026667550.1, NP_001352264.1, XP_017882357.2, XP_026666988.1	XP_316096.4, XP_316098.3, XP_316099.4
OG0000096	XP_026671822.1	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4
OG0000096	XP_017880991.1, XP_017890421.1, XP_017876925.1, XP_026674562.1	XP_307732.4, XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2
OG0000097	XP_017882777.1, XP_017882779.1, XP_026670731.1, XP_026670734.1, XP_026670732.1, XP_026669182.1, XP_017879834.1	XP_003436515.1, XP_003436516.1, XP_562379.1
OG0000098	XP_017882103.1, XP_017882102.1, XP_017882104.1, XP_017882105.1, XP_026670298.1	XP_314814.3
OG0000099	XP_017878131.1	XP_320987.5
OG0000099	XP_017882904.1	XP_312290.4
OG0000099	XP_017889756.1	XP_313462.4
OG0000100	XP_026672742.1, XP_026672741.1, XP_026672740.1	XP_313581.5
OG0000101	XP_026672149.1	XP_321098.5
OG0000101	XP_017885597.1	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3, XP_552464.1
OG0000102	XP_017888807.1, XP_017888735.1	XP_308709.4, XP_565152.3
OG0000108	XP_017875876.1, XP_026667327.1, XP_017875874.1, XP_026667326.1	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2
OG0000109	XP_017877144.1, XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1	XP_309801.3
OG0000110	XP_026671942.1, XP_026671669.1, XP_026671670.1, XP_017884745.1	XP_001689285.1
OG0000111	XP_026672562.1	XP_565462.2
OG0000112	XP_026668642.1, XP_017878656.1, XP_017878658.1	XP_309025.4
OG0000112	XP_017883504.1, XP_026671066.1	XP_560420.2
OG0000113	XP_017875141.1, XP_017886534.2, XP_017878803.1	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4
OG0000114	XP_017890039.2	XP_314336.2
OG0000115	XP_017887780.1, XP_017887778.1, XP_017885409.1, XP_017881706.1, XP_017881697.1	XP_311546.4
OG0000116	XP_017881657.1, XP_026670219.1, XP_017881740.1	XP_315806.4
OG0000117	XP_017881345.1	XP_318912.3
OG0000117	XP_017887828.1, XP_026673222.1, XP_026673221.1, XP_026673223.1, XP_017887829.1	XP_001238428.3
OG0000120	XP_026671941.1, XP_017885112.1, XP_017885113.1, XP_017885114.1, XP_026671925.1, XP_026671926.1, XP_026671923.1, XP_026671924.1, XP_017885115.1, XP_026671929.1, XP_026671928.1, XP_026671927.1, XP_017885111.1	XP_319911.4
OG0000122	XP_026667849.1	XP_309303.3, XP_564139.3
OG0000122	XP_017884012.1	XP_552160.3
OG0000123	XP_026671916.1, XP_017885083.1, XP_017885082.1, XP_017885077.1, XP_017885085.1, XP_017885084.1, XP_017885081.1	XP_317585.4
OG0000124	XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_026668667.1, XP_026668668.1, XP_017878669.1	XP_312632.5
OG0000125	XP_017875584.1, XP_017875585.1, XP_026667182.1, XP_026674457.1, XP_017875567.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1, XP_017875581.1	XP_321447.5
OG0000126	XP_026674600.1, XP_026674596.1, XP_026674598.1, XP_026674597.1, XP_017890658.1	XP_003436885.1, XP_311618.2
OG0000127	XP_017876054.2, XP_017881008.1	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5
OG0000127	XP_026671168.1, XP_026667416.1	XP_309323.2
OG0000129	XP_026673235.1, XP_026673236.1, XP_017887874.1	XP_319208.4
OG0000130	XP_017890630.1, XP_017890624.2, XP_026674583.1, XP_026674584.1, XP_026670687.1	XP_314859.4
OG0000130	XP_026670684.1	XP_314860.4, XP_557898.3
OG0000131	XP_017887498.1	XP_311973.1, XP_003436315.1
OG0000131	XP_017887622.1, XP_026673152.1	XP_320516.2
OG0000132	XP_017878842.1	XP_314281.4
OG0000132	XP_026668316.1	XP_317287.4, XP_319288.2
OG0000133	XP_017877510.1	XP_001238215.2
OG0000134	XP_026667909.1	XP_553069.3
OG0000135	XP_026673412.1	XP_321549.1
OG0000135	XP_026669661.1	XP_308966.4
OG0000136	XP_026675214.1, XP_017892253.1	XP_557311.3, XP_316252.2
OG0000137	XP_026670973.1, XP_026670220.1, XP_026675240.1	XP_313095.4
OG0000138	XP_017885549.1, XP_026672117.1, XP_017885589.1, XP_017885588.1, XP_017885587.1	XP_310751.5
OG0000139	XP_026673554.1	XP_318027.4
OG0000140	XP_017884943.1	XP_318829.4
OG0000141	XP_026671329.1, XP_026671326.1, XP_026671328.1, XP_017884016.1, XP_026671325.1	XP_312292.5
OG0000141	XP_017876335.1	XP_317639.4
OG0000143	XP_017891548.1, XP_026675129.1, XP_017891695.1, XP_017891686.1	XP_311266.4, XP_311556.4
OG0000144	XP_026673668.1, XP_017888863.1	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4
OG0000145	XP_026667451.1, XP_017876164.1, XP_017875158.1	XP_318854.4
OG0000146	XP_017880213.1	XP_556748.3
OG0000146	XP_017880666.1	XP_308640.2
OG0000147	XP_026667896.1, XP_017877071.1, XP_017877072.1, XP_017877070.1, XP_017875842.1, XP_017875843.1, XP_026667285.1	XP_312505.3, XP_003436127.1, XP_003436126.1
OG0000149	XP_026669621.1	XP_319018.3
OG0000150	XP_026671385.1, XP_026671384.1, XP_017884134.1, XP_017884140.1, XP_017884141.1, XP_017884135.1, XP_017884138.1, XP_017884143.1, XP_017884145.1, XP_026671383.1	XP_316248.3
OG0000151	XP_026667339.1, XP_026667338.1, XP_026667337.1, XP_017875900.1, XP_017875902.1	XP_001687986.1
OG0000152	XP_026667393.1, XP_026667394.1, XP_026667391.1, XP_026667392.1, XP_017876039.1	XP_001688746.1, XP_315920.4
OG0000153	XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1, XP_026671618.1	XP_315414.4
OG0000156	XP_017887763.1, XP_026673086.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_026673087.1	XP_315693.3
OG0000157	XP_017891817.1, XP_017891818.1	XP_319874.4, XP_319873.4
OG0000160	XP_017886269.2, XP_017886270.1	XP_314536.3
OG0000160	XP_017887715.1, XP_026673143.1, XP_026673144.1	XP_314534.4
OG0000161	XP_017882448.1, XP_017877494.1, XP_017878197.1	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2
OG0000162	XP_017889429.1	XP_566274.3, XP_311007.4
OG0000162	XP_017885311.1	XP_311918.3
OG0000164	XP_026674186.1, XP_026673941.1	XP_552916.2
OG0000165	XP_017893274.1, XP_017893275.1, XP_017893271.1, XP_017893273.1, XP_017893272.1	XP_311219.3
OG0000165	XP_017880352.1	XP_311252.5
OG0000166	XP_017884326.1, XP_026671456.1, XP_026671462.1, XP_026671458.1, XP_026671477.1	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1
OG0000168	XP_017883928.1	XP_314120.4
OG0000168	XP_017885312.2	XP_001688600.1, XP_314993.4, XP_001688601.1
OG0000170	XP_017883822.1	XP_315409.2
OG0000171	XP_026666633.1	XP_317082.4
OG0000171	XP_017888625.2, XP_017893176.1	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3
OG0000173	XP_017889483.1, XP_026674100.1, XP_026674098.1, XP_026674099.1	XP_313784.5
OG0000174	XP_017884502.1, XP_017884504.1, XP_017884503.1, XP_017884500.1, XP_017884501.1, XP_026671517.1, XP_017884509.1, XP_017884505.1, XP_017884508.1	XP_313394.4
OG0000175	XP_017893183.1, XP_017893184.1, XP_017893185.1	XP_001687949.1, XP_308467.4
OG0000177	XP_017876272.1	XP_309771.2
OG0000177	XP_017876310.1	XP_001230649.2
OG0000177	XP_017876269.1	XP_001688246.1
OG0000178	XP_026671237.1, XP_017883869.1	XP_307952.5
OG0000179	XP_017888464.1	XP_003437002.1, XP_310632.5
OG0000180	XP_017890818.1	XP_003436547.1, XP_003436546.1, XP_313417.5
OG0000181	XP_017887447.1, XP_017887445.1, XP_017887444.1, XP_026673014.1	XP_321792.2
OG0000183	XP_026670364.1	XP_311711.3
OG0000183	XP_017876952.1, XP_017876951.1, XP_017876954.1, XP_017876953.1	XP_317936.4
OG0000184	XP_017880151.1	XP_319373.1
OG0000185	XP_017884792.1, XP_017884791.1	XP_001688361.2
OG0000186	XP_017880985.2, XP_017889237.1, XP_017889238.1, XP_017884325.1, XP_017889240.1, XP_026673871.1, XP_017879879.1, XP_017879865.1, XP_017893576.1, XP_017877687.1, XP_017877675.1, XP_017885068.1, XP_017890095.1, XP_017884322.1, XP_017884320.1, XP_017884321.1, XP_017891413.1	XP_308393.4
OG0000187	XP_017885442.1, XP_017885441.1, XP_026672109.1, XP_026672110.1	XP_318759.3
OG0000188	XP_017881748.1	XP_316795.2
OG0000189	XP_026666490.1	XP_003437104.1, XP_311341.5
OG0000189	XP_017883266.1	XP_311343.4, XP_309276.4
OG0000190	XP_026670787.1, XP_017882897.1, XP_017882899.1, XP_017882898.1	XP_003436713.1, XP_312971.1
OG0000191	XP_026668491.1	XP_321501.2, XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4
OG0000192	XP_026666469.1, XP_026666468.1, XP_026666467.1, XP_026666466.1, XP_026666470.1, XP_017892919.1	XP_311585.4
OG0000194	XP_026669791.1	XP_556986.2
OG0000196	XP_017876924.1, XP_026672114.1	XP_321556.3
OG0000196	XP_026675560.1	XP_001687817.2, XP_560491.4
OG0000197	XP_017882165.1, XP_017882164.1, XP_017882163.1	XP_308795.4
OG0000198	XP_017889330.1	XP_314495.3
OG0000200	XP_017890009.1, XP_017890010.1	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1
OG0000201	XP_017881997.1	XP_316379.4, XP_312417.5, XP_003436144.1, XP_312416.4, XP_320665.4
OG0000203	XP_017887879.1	XP_321914.5
OG0000203	XP_017887627.1, XP_017887629.1, XP_017887626.1	XP_315944.3
OG0000204	XP_017890364.1, XP_017890363.1, XP_017890362.1	XP_003436222.1, XP_312208.4
OG0000205	XP_026669616.1, XP_026669617.1, XP_026669618.1, XP_017880691.1, XP_017880690.1	XP_001688795.1, XP_003436549.1
OG0000206	XP_017886680.1	XP_003435909.1, XP_321392.5
OG0000206	XP_026672663.1, XP_017886684.1	XP_003436103.1, XP_563817.3
OG0000207	XP_017887500.1	XP_308487.3
OG0000207	XP_026674616.1, XP_017892647.1	XP_001688813.1, XP_001688814.1, XP_556880.3
OG0000208	XP_017888023.2	XP_001688810.1, XP_316236.4
OG0000208	XP_017890302.1	XP_314845.4
OG0000209	XP_017877461.1	XP_001230643.2, XP_309738.3
OG0000210	XP_017892511.1, XP_017891941.1	XP_001688664.1
OG0000210	XP_026674381.1, XP_026674382.1	XP_319144.3
OG0000212	XP_017878882.2, XP_017881503.1, XP_017881501.1, XP_017881502.1	XP_554502.2, XP_318238.4
OG0000213	XP_017880316.1, XP_017880314.1, XP_017880318.1, XP_017880317.1, XP_017880320.1, XP_017880319.1, XP_017880312.1, XP_017880311.1, XP_017880310.1	XP_309297.2
OG0000214	XP_017887358.1	XP_313425.3, XP_003436551.1
OG0000214	XP_017883709.1	XP_319075.3, XP_313331.4
OG0000215	XP_026674154.1, XP_026674156.1	XP_001689079.1, XP_001230280.1, XP_318019.4
OG0000216	XP_026675305.1, XP_017879922.1	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3, XP_320018.4, XP_320019.4, XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4
OG0000217	XP_017875872.2	XP_310550.5, XP_309658.5, XP_001237269.3
OG0000218	XP_017886341.1, XP_017886340.1, XP_017886339.1	XP_308642.4
OG0000219	XP_017877521.1, XP_017877526.1	XP_309335.4
OG0000220	XP_017876340.1, XP_026667525.1, XP_026667523.1, XP_026667524.1	XP_314482.4
OG0000221	XP_026670075.1, XP_017881592.1, XP_026670076.1	XP_310745.5
OG0000223	XP_017882775.1	XP_320146.3
OG0000223	XP_017893356.1	XP_308984.1
OG0000224	XP_017880350.1, XP_026669417.1, XP_017889312.2, XP_017880348.2, XP_026670597.1, XP_017888028.2, XP_017888027.2, XP_026673571.1, XP_017888596.1, XP_026670596.1, XP_017882521.1, XP_026673573.1	XP_312099.2, XP_312102.4, XP_003436251.1
OG0000225	XP_026666844.1, XP_017893638.1, XP_017893637.1, XP_017893635.1, XP_017893634.1, XP_017893640.1, XP_017893639.1, XP_017878810.1	XP_310636.2, XP_003437000.1
OG0000226	XP_026666804.1, XP_026666810.1	XP_313395.2
OG0000226	XP_017893380.1	XP_317851.1
OG0000227	XP_017888470.1, XP_017888471.1, XP_017888467.1, XP_017888469.1, XP_017888468.1	XP_308342.4, XP_001237064.2
OG0000230	XP_026668548.1, XP_017890279.1	XP_001688611.1
OG0000231	XP_017876697.1	XP_003436333.1, XP_316371.4
OG0000232	XP_017884958.1, XP_017884957.1	XP_315941.1, XP_315942.3, XP_315943.3
OG0000233	XP_026675538.1, XP_017892650.2, XP_017892649.1, XP_026669124.1, XP_017879788.1, XP_017879699.1	XP_311447.4
OG0000234	XP_017888526.1, XP_017888643.1	XP_314989.4, XP_316577.4
OG0000235	XP_017875862.1	XP_309952.4
OG0000235	XP_026666943.1, XP_026666944.1	XP_559947.3
OG0000236	XP_017889375.1	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4
OG0000236	XP_017889373.1	XP_312478.1, XP_001238571.2
OG0000237	XP_017876361.1	XP_559100.2
OG0000237	XP_017876360.1	XP_311581.3
OG0000239	XP_017893445.1	XP_003436598.1, XP_310299.2, XP_001230752.2, XP_559533.6, XP_319807.4
OG0000241	XP_026666971.1, XP_026666464.1	XP_553025.3
OG0000243	XP_017884615.1	XP_312943.4, XP_308057.4, XP_321049.3, XP_308058.4
OG0000244	XP_017875461.1	XP_313365.4
OG0000245	XP_017884414.2, XP_017877241.2, XP_017877242.1	XP_315084.2, XP_001230554.1, XP_307623.1, XP_315083.1, XP_001231041.1, XP_001687787.1, XP_315074.1, XP_315076.1, XP_315075.1, XP_315073.2, XP_316323.2, XP_312089.2
OG0000246	XP_026672439.1, XP_017886206.1, XP_017886207.1	XP_319840.2, XP_319841.3
OG0000247	XP_017879482.1	XP_311005.4
OG0000247	XP_026669061.1	XP_003436566.1
OG0000248	XP_026672461.1	XP_308379.4, XP_315470.5, XP_003435724.1
OG0000249	XP_017881184.1, XP_017889296.1, XP_017889295.1, XP_017881308.1	XP_310971.5
OG0000250	XP_017891897.1, XP_017892094.1	XP_003436312.1, XP_003436311.1, XP_311978.5
OG0000252	XP_017882976.1, XP_017882975.1	XP_321164.1
OG0000253	XP_017892580.1	XP_310451.4, XP_310450.4, XP_001238805.2
OG0000253	XP_017887593.1	XP_316966.4
OG0000254	XP_026670867.1, XP_017883145.1	XP_312967.3, XP_003436712.1
OG0000255	XP_017876450.1, XP_017876430.1, XP_017876438.1, XP_017876443.1	XP_003436960.1, XP_310845.5
OG0000256	XP_017888223.1, XP_017888224.1	XP_307890.5
OG0000257	XP_017888096.1	XP_321870.5
OG0000257	XP_017888092.1	XP_321869.5, XP_001689370.2, XP_003435798.1, XP_321867.5, XP_321865.3
OG0000260	XP_017877095.2	XP_321091.3, XP_321092.3, XP_312337.4
OG0000261	XP_026673608.1, XP_017888695.1, XP_017888696.1, XP_017888680.1, XP_017888716.1	XP_315985.3, XP_001688761.1
OG0000263	XP_017879981.1, XP_017879980.1	XP_001687857.1, XP_564524.3, XP_001687858.1
OG0000264	XP_017891067.1	XP_001688533.1, XP_314137.4
OG0000264	XP_017876369.1	XP_311594.2
OG0000265	XP_026669532.1, XP_017885091.1	XP_319555.4, XP_312273.4, XP_003436201.1
OG0000266	XP_017891607.1, XP_026674990.1, XP_017891608.1	XP_310704.3
OG0000266	XP_017885430.1, XP_017885429.1	XP_308081.2
