Orthogroup	Ceratina_calcarata	Nasonia_vitripennis
OG0000019	XP_017887380.2, XP_026668832.1, XP_017890717.1, XP_017877436.1, XP_017885792.1	XP_032454031.1, XP_008206500.1, XP_032457652.1, XP_031776844.1
OG0000019	XP_017888742.1	XP_016841509.1, XP_031783474.1, XP_003424417.1
OG0000019	XP_017885630.1	XP_031783671.1
OG0000020	XP_017892668.1	XP_031781856.1
OG0000020	XP_026668767.1	XP_016838656.1, XP_031778996.1
OG0000021	XP_017892171.1	XP_032452884.1, XP_016845846.1, XP_001607795.1
OG0000021	XP_017887700.1	XP_031782052.1, XP_008203719.1
OG0000021	XP_026674526.1, XP_017890431.1	XP_001603725.1
OG0000021	XP_017878927.1	XP_008201868.1
OG0000022	XP_017887568.1	XP_032456078.1
OG0000022	XP_017879112.1	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1
OG0000024	XP_017876987.2	XP_001604944.4
OG0000024	XP_017892075.1	XP_001599160.3
OG0000024	XP_017889793.1	XP_008216554.1
OG0000024	XP_017889792.1	NP_001166221.1
OG0000026	XP_017881604.1	XP_032452024.1
OG0000026	XP_026667172.1, XP_026667174.1, XP_026667173.1, XP_026667176.1, XP_026667175.1, XP_026667177.1	XP_001599637.2
OG0000027	XP_017875198.1	XP_001599220.1
OG0000027	XP_017887602.1	XP_001599471.2
OG0000027	XP_017888171.1	XP_031777925.1, XP_031777924.1, XP_001599832.1, XP_001600560.1, XP_031785593.1, XP_031785592.1
OG0000028	XP_026666970.1	XP_031777412.1, XP_031788715.1, XP_008212990.1, XP_008211073.1
OG0000029	XP_017879055.1, XP_017878925.1	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1
OG0000029	XP_017883728.1	NP_001166265.1
OG0000029	XP_026668846.1, XP_026671320.1	NP_001166275.1, NP_001161319.1
OG0000029	XP_017878918.1	NP_001166272.1
OG0000030	XP_017889314.1, XP_026673910.1, XP_026673911.1, XP_026673914.1, XP_026673913.1, XP_026673912.1	XP_031776890.1, XP_032457890.1, XP_001600309.1, XP_031776892.1, XP_008217013.1
OG0000032	XP_017879113.1	XP_016838416.1
OG0000032	XP_026669191.1, XP_017879823.1	NP_001164368.1
OG0000032	XP_017891597.1	XP_003426142.1, XP_016840393.1, NP_001164369.1
OG0000033	XP_026675149.1, XP_017888593.2	XP_031788710.1, XP_008205139.1
OG0000034	XP_026673541.1, XP_026673556.1, XP_026673555.1, XP_026673544.1, XP_026667346.1, XP_026667348.1, XP_017889271.2, XP_026675078.1	NP_001177542.1, XP_008213309.1, XP_016845719.1, NP_001177541.1, XP_031778221.1, NP_001177544.1, NP_001177545.1, NP_001177540.1, XP_032451687.1, NP_001177537.1, NP_001177539.1, XP_008214845.1, NP_001177640.2, NP_001177696.1, NP_001177538.1, NP_001177543.1, XP_008202544.1, NP_001164404.1, NP_001177548.1, NP_001177547.1, XP_032452241.1, NP_001177546.1, XP_031778374.1, NP_001177701.1, NP_001177700.1, XP_031789456.1, XP_031789459.1, NP_001177549.1
OG0000036	XP_017889438.1, XP_017889422.1, XP_017888379.2	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1
OG0000037	XP_017893255.1	XP_008216622.1, XP_008216623.1
OG0000038	XP_017875625.1, XP_017877449.1	XP_001607699.1, XP_001604160.1
OG0000038	XP_017889379.1	XP_031786847.1, XP_032452100.1
OG0000039	XP_017880265.1, XP_017885294.1, XP_017884160.1, XP_017879099.1, XP_017890633.1, XP_017881850.1	XP_031778424.1
OG0000040	XP_026667575.1	NP_001166071.1, XP_001607047.2, XP_016836762.1, XP_008203154.1, NP_001166072.1
OG0000040	XP_017877450.1, XP_017888048.1, XP_017889733.1, XP_017888163.1	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1
OG0000041	XP_026675486.1, XP_017892322.1, XP_017892323.1	XP_032453601.1, NP_001157191.1, NP_001157192.1
OG0000041	XP_017880121.1, XP_017880123.1	XP_001601342.1
OG0000041	XP_017893662.1	XP_001601504.1, XP_016845814.1
OG0000042	XP_017883943.2, XP_026673615.1	XP_008205137.1, XP_008205135.1, XP_008205136.1
OG0000043	XP_017886026.1	XP_008208463.1
OG0000044	XP_026674447.1	XP_031787739.1
OG0000044	XP_026675544.1	XP_031788192.1
OG0000045	XP_017885494.1, XP_017885495.1	NP_001153339.1, NP_001153340.1
OG0000045	XP_026672577.1	XP_001604662.2
OG0000045	XP_026670847.1	XP_032454987.1, XP_031784367.1
OG0000046	XP_017880728.1	XP_001604460.2
OG0000046	XP_017877146.1	XP_032452163.1, NP_001166228.1
OG0000046	XP_017889622.1	XP_001608044.1
OG0000048	XP_026672955.1	XP_003426470.1
OG0000049	XP_026673634.1	XP_031781770.1, XP_031777956.1
OG0000049	XP_026673635.1	XP_031783961.1
OG0000050	XP_017877630.1, XP_026668996.1, XP_017881679.1, XP_017888731.1, XP_017879668.1	NP_001165950.1, XP_003427743.2, XP_001602331.2, NP_001165951.1, XP_032455970.1, NP_001165962.1, NP_001165960.1, NP_001165958.1, NP_001165947.1, XP_008212266.2
OG0000050	XP_017890628.2	XP_008216259.1, XP_001608200.1
OG0000052	XP_017876353.1	XP_001607313.2
OG0000052	XP_017876352.1, XP_026667536.1	XP_031779680.1, XP_016838631.1
OG0000052	XP_017886239.1	XP_001602874.2
OG0000054	XP_017877140.2	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1
OG0000054	XP_017882628.1, XP_017882621.1, XP_017879473.2	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2
OG0000055	XP_026669288.1, XP_026670741.1	XP_001602853.1
OG0000055	XP_026669873.1	XP_008215920.1
OG0000055	XP_026668345.1, XP_017877892.1	XP_032454549.1
OG0000055	XP_026670737.1	XP_001600035.1, XP_008208159.3
OG0000056	XP_026668599.1	XP_001604931.2
OG0000056	XP_017878877.2	XP_008202999.3
OG0000056	XP_026674744.1	XP_008204847.1
OG0000056	XP_026667107.1	XP_032455826.1
OG0000056	XP_026673034.1	XP_031784842.1
OG0000057	XP_017893620.1	XP_031785452.1
OG0000057	XP_017893591.1	XP_003427519.1
OG0000057	XP_026666868.1	XP_001600234.1, XP_001606290.1
OG0000058	XP_026669998.1, XP_026674585.1, XP_026669241.1, XP_017890641.2, XP_026667263.1, XP_026674805.1, XP_026667259.1, XP_026669747.1, XP_026669980.1, XP_026667260.1, XP_026669995.1	NP_001177491.1
OG0000059	XP_026673294.1	XP_031782976.1
OG0000059	XP_026669809.1	XP_031783002.1
OG0000059	XP_017885313.1	XP_031778828.1
OG0000060	XP_017886873.1	XP_031784439.1, XP_031784422.1, XP_031784431.1
OG0000060	XP_017888800.1, XP_017888809.1, XP_017888818.1, XP_017888829.1	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1
OG0000061	XP_017875889.1	XP_031786737.1, NP_001164380.1
OG0000062	XP_017884166.1	XP_003425371.1
OG0000062	XP_017884165.1	XP_032453005.1, XP_001604985.1
OG0000062	XP_017883750.1, XP_017889879.1	XP_008202211.1
OG0000063	XP_017879825.1	XP_031784224.1, XP_032458024.1, XP_031784373.1, XP_032457267.1, XP_031781630.1, XP_031782179.1, XP_031784220.1
OG0000065	XP_026668887.1	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1
OG0000065	XP_017879155.1, XP_017882484.1, XP_017882497.1	XP_032454719.1, XP_032453000.1, XP_008205745.1, XP_031776818.1, XP_001607018.2
OG0000067	XP_017879415.1	XP_001605420.2
OG0000067	XP_017890435.1	XP_031788440.1
OG0000067	XP_017893293.1	XP_031782248.1
OG0000067	XP_017875523.1	XP_008209138.1
OG0000069	XP_017891750.1, XP_026674127.1	XP_031782526.1, XP_032453936.1
OG0000069	XP_017886230.2	XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1
OG0000069	XP_026668196.1, XP_017877635.1, XP_017875627.2, XP_017877634.1, XP_017875123.2	XP_031781625.1, XP_001600831.2, XP_001603386.1, XP_016840218.1, XP_001603747.1, XP_001603802.1
OG0000070	XP_017889960.2	NP_001177478.1, NP_001177482.1, XP_031786746.1, NP_001177477.1, NP_001177476.1, NP_001177475.1, NP_001177474.1, NP_001177471.1, NP_001177473.1, NP_001177468.1, NP_001177472.1, XP_032455989.1, NP_001177470.1, XP_032455987.1, NP_001177469.1, XP_032456565.1, NP_001177483.1, NP_001177484.1, XP_016841002.1, XP_032455990.1, NP_001177485.1, NP_001177479.1, NP_001177480.1, NP_001177481.1, XP_016841000.2
OG0000073	XP_017875573.2, XP_026667851.1	XP_031786450.1, XP_003428114.1, XP_003428113.1
OG0000074	XP_017890868.1	XP_008207498.1, XP_031787381.1
OG0000077	XP_017875015.1	XP_003423914.1
OG0000077	XP_026672146.1, XP_026671946.1, XP_017888250.2, XP_017885489.2, XP_017893147.2, XP_026672126.1	XP_001605700.1, XP_008203901.1
OG0000078	XP_026670822.1, XP_026670829.1	XP_031781939.1, NP_001177509.1, NP_001177508.1, XP_031781938.1, NP_001177507.1, NP_001177506.1
OG0000079	XP_026668250.1	XP_031783468.1
OG0000080	XP_017890681.1	XP_016838697.1, XP_001600017.1
OG0000080	XP_017883725.1	XP_001600048.1
OG0000080	XP_017890685.1	XP_016838620.1
OG0000082	XP_017884449.1	XP_016845753.1
OG0000083	XP_017876268.1, XP_017877688.1, XP_017881064.1, XP_017890453.1, XP_017886196.1, XP_017885272.1, XP_017880834.1, XP_017885478.1, XP_017875795.1, XP_026669405.1, XP_017888591.1, XP_017888671.1, XP_017890417.1, XP_017889154.1	XP_031788378.1, XP_031783911.1
OG0000084	XP_017892831.1	XP_001600141.2
OG0000084	XP_017892838.1	NP_001161311.1
OG0000084	XP_017886965.1	NP_001161297.1, NP_001161274.1, NP_001161305.1
OG0000085	XP_017890150.1	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1
OG0000086	XP_017886282.1, XP_017890445.1	XP_031786740.1, NP_001166061.1
OG0000086	XP_017889819.1	XP_008218019.2
OG0000087	XP_017889598.1	NP_001153410.1
OG0000087	XP_017889597.1	NP_001153411.1
OG0000087	XP_017889543.1, XP_026674171.1	XP_001603938.2
OG0000089	XP_017879467.1, XP_017879474.1, XP_026669111.1, XP_026669105.1, XP_026669096.1	XP_016843743.1
OG0000089	XP_017879753.1	XP_032457600.1, XP_031781522.1, XP_031781523.1, XP_003426759.1, XP_001601215.1, XP_001600717.1, XP_008212854.1, XP_031787101.1, XP_031781533.1, XP_001600653.1, XP_008207762.1, XP_001600905.2, XP_001600876.1, XP_001600931.2
OG0000091	XP_017878945.1, XP_017878947.1, XP_017875917.2	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2
OG0000092	XP_017879703.1, XP_026669127.1	NP_001153343.1
OG0000092	XP_017879700.1	XP_016843499.1
OG0000092	XP_017883478.1	XP_001599003.1
OG0000093	XP_026673328.1, XP_017892608.1, XP_026666981.1	XP_031788001.1, XP_031783867.1, XP_008205373.1, XP_031789320.1, XP_016841922.2, XP_031789146.1, XP_031781374.1, XP_031788904.1
OG0000094	XP_017888932.1	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1
OG0000094	XP_017879892.1, XP_017892146.2, XP_017879895.1	XP_001605100.1
OG0000094	XP_026667942.1, XP_017877215.1	XP_001600571.1
OG0000095	XP_017892624.1, XP_026675535.1, XP_026667713.1, XP_026667550.1, NP_001352264.1, XP_017882357.2, XP_026666988.1	XP_031783038.1, NP_001165978.1, NP_001165932.1, XP_001601822.2, NP_001165935.1, XP_031785516.1, XP_008213359.1, XP_031781916.1, NP_001165938.1, NP_001165934.1, XP_016841077.1, NP_001165987.1, NP_001352146.1, XP_016840411.1, NP_001165985.1
OG0000096	XP_026671822.1	XP_008209422.1
OG0000096	XP_017880991.1, XP_017890421.1, XP_017876925.1, XP_026674562.1	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1
OG0000097	XP_017882777.1, XP_017882779.1, XP_026670731.1, XP_026670734.1, XP_026670732.1	XP_001600781.1
OG0000097	XP_026669182.1, XP_017879834.1	NP_001166227.1, XP_008208182.1
OG0000098	XP_017882103.1, XP_017882102.1, XP_017882104.1, XP_017882105.1, XP_026670298.1	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1
OG0000099	XP_017878131.1	XP_008207065.2
OG0000099	XP_017889756.1	XP_031785392.1
OG0000100	XP_026672742.1, XP_026672741.1, XP_026672740.1	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1
OG0000101	XP_026672149.1	XP_016842653.2
OG0000101	XP_017885597.1	NP_001155060.1
OG0000102	XP_017888807.1	XP_031786135.1
OG0000102	XP_017888735.1	XP_031786805.1
OG0000103	XP_017881941.1	XP_031786310.1, XP_001604969.2
OG0000106	XP_017875835.1, XP_017890716.2, XP_017883369.2	NP_001177643.1, NP_001177620.1, NP_001177621.1
OG0000108	XP_017875876.1, XP_026667327.1, XP_017875874.1, XP_026667326.1	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1
OG0000109	XP_017877144.1, XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1
OG0000110	XP_026671942.1, XP_026671669.1, XP_026671670.1, XP_017884745.1	XP_008201867.1
OG0000111	XP_026672562.1	XP_031785278.1
OG0000111	XP_026667865.1	XP_008217621.1, XP_008217622.1, XP_016837442.1
OG0000111	XP_026672563.1, XP_026672556.1, XP_026672555.1, XP_017886302.1, XP_026672564.1	XP_016839422.2
OG0000111	XP_017886304.1, XP_017887546.1	XP_031786448.1, NP_001155154.1, XP_031786258.1, XP_001603551.4, XP_032452574.1
OG0000111	XP_017892963.2	XP_001605587.3
OG0000112	XP_026668642.1, XP_017878656.1, XP_017878658.1	XP_003425489.1
OG0000112	XP_017883504.1, XP_026671066.1	XP_031780635.1
OG0000113	XP_017875141.1, XP_017886534.2	XP_031785048.1, XP_001599906.1, XP_008208626.1
OG0000113	XP_017878803.1	XP_001603394.1, XP_008204873.1, XP_001603447.1
OG0000114	XP_017890039.2	XP_031788613.1, NP_001155043.1, XP_032454692.1
OG0000115	XP_017887780.1, XP_017887778.1, XP_017885409.1, XP_017881706.1	NP_001165922.1, NP_001165921.1, NP_001165923.1
OG0000115	XP_017881697.1	NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1
OG0000116	XP_017881657.1, XP_026670219.1, XP_017881740.1	XP_031779751.1, XP_031779749.1, XP_031779753.1, XP_032451719.1, XP_031779741.1, XP_031779737.1, XP_032451720.1, XP_032451721.1
OG0000117	XP_017881345.1	XP_003424885.1
OG0000117	XP_017887828.1, XP_026673222.1, XP_026673221.1, XP_026673223.1, XP_017887829.1	XP_016845279.1, XP_003428202.1, XP_008214870.1
OG0000119	XP_017887198.1, XP_017887196.1, XP_017887190.1, XP_026672950.1, XP_017887192.1, XP_026672944.1	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1
OG0000122	XP_026667849.1	XP_001604760.1
OG0000122	XP_017883014.1	XP_031780275.1
OG0000122	XP_017882995.2	XP_001603886.1, XP_008216017.2
OG0000123	XP_026671916.1, XP_017885083.1, XP_017885082.1, XP_017885077.1, XP_017885085.1, XP_017885084.1, XP_017885081.1	XP_032452434.1, XP_001602993.1
OG0000124	XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_026668667.1, XP_026668668.1, XP_017878669.1	XP_031781470.1
OG0000125	XP_017875584.1, XP_017875585.1, XP_026667182.1, XP_026674457.1, XP_017875567.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1, XP_017875581.1	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1
OG0000126	XP_026674600.1, XP_026674596.1, XP_026674598.1, XP_026674597.1, XP_017890658.1	XP_031784298.1, NP_001161164.1
OG0000127	XP_017876054.2, XP_017881008.1	XP_031782271.1, XP_031782270.1
OG0000127	XP_026671168.1, XP_026667416.1	XP_001606042.2
OG0000129	XP_026673235.1, XP_026673236.1, XP_017887874.1	XP_032454413.1, XP_016839449.1
OG0000130	XP_026670684.1	XP_031776696.1
OG0000131	XP_017887498.1	NP_001153335.1, XP_032458192.1
OG0000131	XP_026673152.1	XP_001599092.1
OG0000132	XP_017878842.1	XP_031780045.1, XP_032453407.1
OG0000132	XP_026668316.1	XP_016837749.1
OG0000133	XP_017877510.1	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1
OG0000135	XP_026673412.1	XP_001603371.1
OG0000136	XP_026675214.1, XP_017892253.1	XP_008208307.1
OG0000137	XP_026670220.1, XP_026675240.1	XP_016841737.2
OG0000138	XP_017885549.1, XP_026672117.1, XP_017885589.1, XP_017885588.1, XP_017885587.1	XP_031787653.1, XP_001605659.1
OG0000139	XP_026673554.1	XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1
OG0000140	XP_017884943.1	XP_003424447.1
OG0000141	XP_017885124.1	XP_032458118.1, XP_032458115.1, XP_032458114.1, XP_031789200.1
OG0000142	XP_026669751.1, XP_017892956.2, XP_017891025.1, XP_017891024.1	XP_031788758.1, NP_001177427.1, NP_001177428.1
OG0000143	XP_017891548.1	XP_008203875.1
OG0000143	XP_026675129.1, XP_017891695.1, XP_017891686.1	XP_003425736.1, XP_001605275.2, XP_032454553.1
OG0000144	XP_026673668.1	XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1
OG0000144	XP_017888863.1	NP_001164332.1
OG0000145	XP_026667451.1, XP_017876164.1	XP_001607062.1
OG0000145	XP_017875158.1	XP_001602428.1
OG0000146	XP_017880213.1	XP_016840249.1
OG0000146	XP_017880666.1	XP_032452549.1, XP_001602324.1
OG0000147	XP_026667896.1, XP_017877071.1, XP_017877072.1, XP_017877070.1	XP_001600440.1
OG0000147	XP_017875842.1, XP_017875843.1, XP_026667285.1	XP_001602387.1
OG0000149	XP_026669621.1	XP_001606233.2
OG0000149	XP_017880633.1, XP_026669623.1, XP_017880636.1, XP_017880635.1, XP_026669622.1	XP_016840414.1, XP_008211722.2
OG0000150	XP_026671385.1, XP_026671384.1, XP_017884134.1, XP_017884140.1, XP_017884141.1, XP_017884135.1, XP_017884138.1, XP_017884143.1, XP_017884145.1, XP_026671383.1	XP_031781028.1, XP_031781038.1, XP_032457432.1
OG0000151	XP_026667339.1, XP_026667338.1, XP_026667337.1, XP_017875900.1, XP_017875902.1	XP_003426709.1
OG0000152	XP_026667393.1, XP_026667394.1, XP_026667391.1, XP_026667392.1, XP_017876039.1	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1
OG0000153	XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1, XP_026671618.1	XP_031778705.1, XP_031778704.1, XP_031778706.1
OG0000154	XP_017876215.1	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1
OG0000156	XP_017887763.1, XP_026673086.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_026673087.1	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1
OG0000157	XP_017891818.1	XP_032456198.1, XP_031788611.1
OG0000160	XP_017886269.2, XP_017886270.1	XP_008204617.1
OG0000160	XP_017887715.1, XP_026673143.1, XP_026673144.1	XP_003424871.1, XP_003424872.1
OG0000161	XP_017882448.1	XP_001599809.1, XP_016839500.1, XP_001605936.1, NP_001165968.1, XP_001603114.1, XP_031779032.1, NP_001165966.1, NP_001165965.1
OG0000161	XP_017877494.1, XP_017878197.1	XP_001602765.2, XP_031779585.1
OG0000161	XP_017890673.1, XP_017888965.2	XP_032453955.1
OG0000162	XP_017889429.1	NP_001234904.1, XP_031787426.1
OG0000162	XP_017885311.1	XP_031789332.1, NP_001234893.1
OG0000163	XP_026675569.1, XP_017885410.1	XP_031784222.1
OG0000164	XP_026674186.1, XP_026673941.1	XP_031777945.1, XP_016843278.1, XP_031780582.1, XP_031777892.1, XP_031777902.1, XP_031780583.1
OG0000165	XP_017880352.1	XP_008211085.1
OG0000166	XP_017884326.1, XP_026671456.1, XP_026671462.1, XP_026671458.1, XP_026671477.1	XP_032458153.1, XP_031777661.1, XP_031777675.1, XP_032458168.1
OG0000168	XP_017883928.1	XP_008207992.2
OG0000168	XP_017885312.2	XP_031785658.1
OG0000170	XP_017883822.1	XP_032453170.1
OG0000170	XP_017883824.1	XP_001604322.2
OG0000170	XP_017883820.1, XP_017883828.1, XP_026671258.1, XP_026671257.1	XP_016837471.1, XP_016837469.1, XP_008204248.1, XP_016837470.2
OG0000171	XP_026666633.1	XP_032454904.1
OG0000171	XP_017888625.2, XP_017893176.1	XP_016838928.1, XP_001608062.2, XP_031780002.1
OG0000172	XP_017877808.2, XP_017888362.2	XP_031789541.1
