Orthogroup	Solenopsis_invicta	Osmia_bicornis
OG0000036	XP_011166049.1	XP_029047765.1, XP_029047764.1, XP_029043016.1, XP_029043017.1
OG0000037	XP_011161783.1	XP_029047042.1
OG0000038	XP_011172049.1	XP_029041947.1, XP_029050411.1
OG0000038	XP_011173370.1	XP_029032964.1
OG0000038	XP_011174246.2	XP_029036717.1, XP_029036716.1
OG0000038	XP_025991821.1	XP_029034840.1
OG0000040	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1	XP_029055961.1, XP_029055960.1, XP_029055959.1
OG0000041	XP_011173672.1, XP_011173741.1	XP_029032654.1, XP_029032653.1
OG0000041	XP_039304942.1, XP_011173639.1	XP_029038902.1
OG0000041	XP_011173634.1, XP_011173641.1	XP_029038901.1, XP_029038899.1
OG0000041	XP_011167847.1	XP_029053007.1
OG0000042	XP_025988401.1, XP_025988400.1	XP_029048713.1
OG0000043	XP_011166108.1	XP_029038126.1
OG0000043	XP_011172450.1	XP_029032665.1
OG0000044	XP_039306340.1, XP_025986513.2	XP_029033389.1, XP_029033390.1
OG0000044	XP_025986454.1	XP_029033388.1
OG0000044	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1	XP_029033272.1, XP_029033270.1, XP_029033271.1
OG0000045	XP_011157503.2	XP_029050902.1, XP_029050927.1, XP_029050914.1
OG0000045	XP_011156768.2	XP_029043746.1
OG0000046	XP_011168512.1	XP_029046126.1
OG0000046	XP_011168531.1	XP_029054140.1
OG0000046	XP_039310878.1, XP_039310880.1, XP_039310879.1	XP_029049335.1
OG0000047	XP_039307231.1, XP_039307232.1, XP_025997124.1, XP_039305177.1, XP_039308536.1, XP_039308537.1	XP_029054608.1, XP_029054038.1, XP_029055277.1, XP_029054997.1, XP_029054202.1
OG0000047	XP_039302440.1	XP_029055147.1, XP_029054348.1, XP_029039380.1, XP_029053798.1
OG0000048	XP_011160449.2	XP_029038651.1
OG0000049	XP_011166542.2	XP_029055055.1
OG0000050	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1	XP_029035421.1
OG0000051	XP_011172686.3	XP_029054924.1
OG0000051	XP_039312743.1, XP_011170442.1	XP_029054696.1
OG0000052	XP_039313337.1	XP_029053695.1
OG0000052	XP_025995966.1	XP_029042748.1
OG0000053	XP_039315547.1	XP_029055282.1, XP_029054610.1
OG0000053	XP_011162891.2	XP_029054836.1, XP_029054892.1
OG0000054	XP_011164393.2	XP_029050144.1
OG0000054	XP_011164215.1, XP_011164214.2	XP_029050156.1, XP_029050150.1
OG0000055	XP_039311167.1	XP_029033370.1, XP_029033371.1
OG0000055	XP_039311121.1	XP_029035680.1
OG0000055	XP_011169776.2	XP_029033281.1, XP_029033290.1, XP_029033297.1
OG0000055	XP_011162045.1	XP_029033206.1
OG0000056	XP_039301684.1	XP_029043848.1, XP_029043447.1
OG0000056	XP_011167471.3	XP_029041052.1
OG0000056	XP_039313454.1	XP_029050404.1
OG0000056	XP_039306715.1	XP_029048153.1
OG0000057	XP_011165693.1	XP_029035838.1
OG0000057	XP_011161996.1	XP_029041778.1
OG0000057	XP_011165691.1	XP_029035983.1
OG0000057	XP_011165692.1	XP_029035967.1
OG0000058	XP_011160196.3, XP_039304404.1, XP_011166290.1, XP_011160197.2, XP_039304698.1, XP_039304395.1, XP_039304704.1, XP_039304706.1	XP_029038274.1, XP_029038900.1, XP_029038888.1, XP_029038873.1, XP_029038863.1
OG0000059	XP_025993817.1	XP_029055288.1
OG0000060	XP_011166599.1, XP_039312995.1, XP_039313020.1	XP_029056239.1, XP_029056240.1
OG0000060	XP_011166588.1, XP_039313855.1, XP_039313856.1	XP_029040322.1, XP_029040321.1, XP_029040320.1, XP_029040318.1, XP_029040317.1
OG0000061	XP_039310102.1	XP_029042514.1
OG0000061	XP_039311104.1	XP_029047750.1, XP_029047749.1, XP_029047748.1, XP_029047747.1, XP_029047746.1, XP_029047743.1, XP_029047752.1, XP_029047751.1, XP_029047745.1, XP_029047753.1
OG0000063	XP_025997464.2	XP_029053925.1
OG0000063	XP_039310558.1, XP_039310562.1, XP_039314694.1, XP_039304383.1, XP_011171114.2	XP_029055304.1, XP_029046072.1, XP_029037443.1, XP_029054529.1, XP_029055142.1
OG0000064	XP_039307225.1, XP_039307226.1, XP_039311776.1, XP_039315322.1, XP_039307227.1, XP_039311779.1, XP_039315318.1, XP_039315366.1, XP_039303574.1, XP_039302503.1, XP_039302506.1, XP_039302487.1	XP_029049217.1, XP_029049232.1, XP_029049008.1, XP_029049978.1
OG0000065	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1	XP_029047719.1
OG0000065	XP_039307834.1, XP_039307956.1, XP_011165754.1, XP_039313781.1, XP_039313721.1, XP_039307833.1, XP_039313722.1, XP_011164020.1, XP_039307832.1, XP_039307645.1, XP_039308148.1, XP_025994478.1	XP_029047711.1
OG0000066	XP_039309173.1	XP_029053476.1
OG0000067	XP_011168949.1	XP_029053164.1
OG0000067	XP_011157858.1, XP_025991420.1	XP_029032763.1
OG0000067	XP_025989655.1	XP_029039161.1
OG0000069	XP_025987486.1	XP_029035424.1, XP_029035422.1
OG0000069	XP_011163891.1, XP_039303799.1, XP_039303801.1, XP_025989421.2, XP_039303891.1, XP_011171057.2, XP_039309137.1, XP_039309138.1, XP_039308972.1, XP_039308973.1, XP_039308974.1, XP_039309139.1, XP_039308971.1, XP_039308970.1, XP_039308969.1, XP_039309140.1, XP_011168216.3	XP_029035425.1, XP_029035429.1
OG0000071	XP_039304072.1, XP_039304071.1, XP_039304070.1	XP_029055115.1, XP_029054219.1, XP_029055020.1
OG0000072	XP_039313968.1	XP_029055286.1
OG0000072	XP_011174276.1, XP_039303571.1	XP_029053861.1
OG0000072	XP_039315631.1, XP_039308736.1, XP_039310326.1, XP_025996423.2, XP_039307110.1, XP_039310078.1	XP_029055058.1, XP_029055170.1, XP_029055172.1, XP_029053883.1
OG0000073	XP_011157914.1	XP_029054983.1, XP_029052801.1, XP_029050690.1, XP_029051176.1, XP_029051151.1
OG0000074	XP_011157636.1, XP_025987236.2, XP_025987238.1, XP_039314707.1	XP_029038270.1
OG0000074	XP_025985929.1	XP_029053481.1
OG0000075	XP_039315525.1, XP_039302537.1, XP_039309549.1, XP_039302019.1, XP_025993999.1, XP_025991875.2, XP_039303461.1, XP_011165249.1	XP_029044179.1, XP_029044180.1
OG0000075	XP_011170180.1	XP_029053546.1
OG0000076	XP_039312428.1, XP_011164066.1, XP_039303422.1	XP_029054930.1
OG0000076	XP_011165898.1	XP_029055232.1
OG0000076	XP_011162883.1	XP_029054991.1
OG0000077	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1	XP_029041461.1
OG0000077	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1	XP_029051620.1
OG0000078	XP_039309962.1, XP_039310440.1, XP_011156215.2, XP_039309961.1, XP_039310430.1, XP_039309963.1, XP_011155704.2, XP_011155659.3, XP_011155817.3, XP_039309966.1, XP_011156294.1, XP_039310434.1, XP_011155782.2, XP_011155805.2, XP_025991287.2, XP_039309964.1	XP_029038384.1
OG0000080	XP_039313662.1, XP_011161097.1, XP_011161096.1	XP_029048618.1, XP_029048619.1
OG0000080	XP_025995013.1	XP_029048621.1, XP_029048620.1
OG0000080	XP_011173727.1	XP_029048655.1
OG0000081	XP_011174507.3, XP_025987271.2, XP_011174500.3	XP_029040920.1
OG0000081	XP_025987228.1, XP_025987227.1, XP_025987226.2, XP_039314403.1, XP_039314406.1, XP_039314405.1, XP_039314325.1, XP_025987223.2, XP_039314716.1, XP_025987270.2	XP_029040924.1, XP_029040923.1, XP_029040922.1, XP_029040928.1, XP_029040927.1, XP_029040929.1, XP_029040930.1, XP_029040871.1
OG0000082	XP_011158501.1	XP_029037394.1
OG0000082	XP_011158493.1	XP_029037432.1, XP_029037434.1, XP_029037430.1, XP_029037431.1, XP_029037428.1, XP_029037429.1, XP_029037433.1
OG0000082	XP_011158531.2	XP_029037395.1
OG0000083	XP_011169786.1, XP_011167579.1, XP_011175784.1, XP_039303505.1	XP_029054986.1, XP_029054292.1, XP_029054325.1, XP_029052474.1, XP_029054760.1, XP_029055217.1, XP_029054748.1, XP_029054659.1, XP_029054537.1, XP_029054360.1, XP_029054550.1, XP_029054105.1, XP_029055102.1, XP_029053432.1, XP_029055154.1, XP_029053881.1, XP_029054230.1, XP_029054159.1, XP_029054244.1, XP_029054343.1, XP_029053571.1
OG0000083	XP_039309918.1, XP_039303503.1, XP_039311967.1, XP_011169881.1, XP_025994761.2, XP_025997387.2, XP_039303927.1, XP_039312445.1, XP_039314871.1, XP_011167206.1, XP_011174675.3, XP_025994696.2, XP_039315406.1, XP_011168851.2, XP_025996074.1, XP_039303955.1	XP_029054295.1, XP_029054390.1
OG0000084	XP_011155841.2	XP_029034284.1
OG0000084	XP_011155844.1	XP_029034285.1
OG0000084	XP_039310256.1, XP_011155840.3	XP_029034302.1
OG0000084	XP_011155335.1	XP_029039752.1
OG0000085	XP_025987478.1, XP_025987477.1	XP_029036300.1, XP_029036301.1
OG0000086	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2	XP_029036714.1
OG0000087	XP_025989498.1, XP_011170042.2	XP_029056468.1, XP_029056467.1
OG0000088	XP_025996218.1, XP_039311698.1	XP_029051133.1
OG0000089	XP_039308778.1, XP_011166981.2, XP_011166985.2	XP_029053161.1, XP_029053163.1, XP_029053162.1
OG0000089	XP_011171848.1	XP_029051588.1
OG0000090	XP_039307242.1	XP_029055085.1
OG0000090	XP_039308386.1, XP_025997709.2, XP_039305766.1, XP_039303294.1, XP_039310030.1, XP_039310471.1, XP_039305112.1	XP_029055220.1
OG0000091	XP_011175219.1, XP_011175223.1, XP_011175233.1	XP_029041126.1, XP_029041124.1
OG0000092	XP_011165503.1	XP_029048799.1
OG0000092	XP_011175720.1, XP_011175721.1	XP_029041975.1, XP_029041991.1
OG0000092	XP_011162964.1	XP_029036169.1
OG0000094	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1	XP_029033929.1
OG0000094	XP_039303166.1	XP_029034646.1, XP_029034647.1
OG0000095	NP_001291530.1, XP_039307299.1, XP_039307298.1, XP_011156878.1, XP_039307311.1, NP_001291531.1, XP_039312645.1, XP_039304610.1, XP_039304261.1, XP_039304262.1, XP_025997578.1, XP_039304282.1	XP_029035463.1
OG0000096	XP_011156409.1, XP_039313932.1	XP_029039146.1
OG0000096	XP_039306601.1	XP_029053037.1
OG0000097	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1	XP_029033159.1, XP_029033157.1, XP_029033158.1
OG0000097	XP_025992182.1, XP_011159441.1	XP_029042191.1, XP_029042190.1
OG0000098	XP_025996352.1	XP_029040058.1, XP_029040062.1, XP_029040061.1, XP_029040060.1, XP_029040057.1
OG0000099	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1	XP_029034823.1
OG0000099	XP_039314426.1	XP_029034765.1
OG0000099	XP_011164670.2	XP_029045960.1
OG0000101	XP_011159599.3	XP_029038150.1
OG0000101	XP_025989569.1	XP_029038151.1
OG0000102	XP_025989688.2, XP_025989699.1	XP_029052948.1
OG0000103	XP_011161395.1	XP_029044547.1
OG0000103	XP_011161367.1	XP_029044558.1, XP_029044556.1
OG0000103	XP_011161334.1	XP_029034468.1, XP_029034469.1, XP_029034466.1, XP_029034467.1
OG0000105	XP_011173815.1	XP_029054926.1, XP_029054901.1, XP_029054717.1, XP_029054708.1
OG0000106	XP_039314717.1	XP_029048081.1, XP_029048075.1, XP_029048076.1, XP_029048085.1, XP_029048080.1, XP_029048078.1, XP_029048084.1
OG0000107	XP_039315020.1	XP_029055031.1, XP_029054179.1, XP_029053769.1
OG0000107	XP_011159805.1	XP_029051339.1
OG0000108	XP_025985914.1	XP_029040200.1, XP_029040201.1
OG0000109	XP_011157413.1, XP_011157412.1	XP_029050471.1, XP_029050469.1, XP_029050473.1, XP_029050472.1
OG0000110	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1	XP_029038421.1, XP_029038418.1, XP_029038419.1
OG0000111	XP_039301713.1	XP_029036880.1
OG0000111	XP_011165202.1, XP_025990766.2, NP_001291520.1	XP_029044472.1, XP_029044473.1, XP_029044439.1, XP_029044436.1, XP_029044435.1, XP_029044432.1, XP_029044433.1, XP_029044430.1
OG0000111	XP_039308795.1	XP_029047148.1
OG0000112	XP_025989590.2	XP_029046532.1, XP_029046533.1
OG0000113	XP_011169897.1	XP_029037699.1
OG0000113	XP_011176341.1, XP_011176387.1	XP_029048517.1
OG0000114	XP_011161124.1	XP_029044505.1, XP_029050777.1, XP_029050778.1
OG0000114	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1	XP_029036590.1
OG0000115	XP_011165645.2	XP_029048286.1
OG0000116	XP_011158331.1, XP_039303768.1	XP_029036993.1, XP_029036999.1
OG0000116	XP_039303766.1	XP_029037819.1, XP_029037828.1
OG0000117	XP_011157894.1	XP_029050106.1
OG0000117	XP_011170972.1, XP_011170971.1	XP_029053280.1, XP_029053279.1, XP_029053278.1, XP_029053281.1
OG0000118	XP_039310529.1, XP_039312202.1, XP_039312203.1, XP_039302436.1, XP_011170400.3, XP_039306067.1	XP_029055266.1
OG0000119	XP_039303820.1, XP_025988519.1, XP_011160452.1, XP_011160472.1, XP_039303816.1, XP_011160453.1, XP_011160457.2, XP_011160459.1, XP_011160469.1	XP_029036980.1, XP_029036750.1, XP_029036919.1, XP_029036815.1, XP_029036844.1
OG0000120	XP_011175144.2	XP_029038490.1, XP_029038486.1, XP_029038485.1, XP_029038483.1, XP_029038484.1, XP_029038488.1, XP_029038489.1
OG0000121	XP_025995849.1, XP_039309070.1	XP_029048393.1
OG0000122	XP_039310041.1	XP_029051575.1
OG0000122	XP_039305859.1	XP_029054705.1
OG0000123	XP_011169664.1	XP_029043158.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043150.1, XP_029043149.1, XP_029043151.1, XP_029043152.1, XP_029043147.1, XP_029043148.1
OG0000124	XP_039302015.1	XP_029037788.1, XP_029036850.1, XP_029037019.1, XP_029036756.1, XP_029037535.1, XP_029037363.1, XP_029037873.1, XP_029037101.1, XP_029037448.1, XP_029037702.1, XP_029036672.1, XP_029037621.1, XP_029036938.1
