Orthogroup	Solenopsis_invicta	Habropoda_laboriosa
OG0000058	XP_011160196.3, XP_039304404.1, XP_011166290.1, XP_011160197.2, XP_039304698.1, XP_039304395.1, XP_039304704.1, XP_039304706.1	XP_017799435.1, XP_017795874.1, XP_017799434.1, XP_017787376.1
OG0000060	XP_011166599.1, XP_039312995.1, XP_039313020.1	XP_017787543.1
OG0000060	XP_011166588.1, XP_039313855.1, XP_039313856.1	XP_017792478.1
OG0000061	XP_039310102.1	XP_017799273.1
OG0000061	XP_039311104.1	XP_017791843.1
OG0000064	XP_039307225.1, XP_039307226.1, XP_039311776.1, XP_039315322.1, XP_039307227.1, XP_039311779.1, XP_039315318.1, XP_039315366.1, XP_039303574.1, XP_039302503.1, XP_039302506.1, XP_039302487.1	XP_017794588.1, XP_017796982.1, XP_017794413.1, XP_017794592.1, XP_017794416.1, XP_017797020.1, XP_017794589.1, XP_017797125.1, XP_017797050.1, XP_017794414.1, XP_017797092.1, XP_017794590.1, XP_017797021.1, XP_017797022.1, XP_017797090.1, XP_017794415.1, XP_017797051.1, XP_017792749.1, XP_017794593.1, XP_017796353.1, XP_017797093.1, XP_017794417.1, XP_017794418.1
OG0000065	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1	XP_017793945.1
OG0000065	XP_039308740.1, XP_011176028.1, XP_011176027.2	XP_017793851.1
OG0000067	XP_011168949.1	XP_017790603.1
OG0000067	XP_039302008.1, XP_011157859.1	XP_017794658.1
OG0000067	XP_011157858.1, XP_025991420.1	XP_017794648.1
OG0000067	XP_025989655.1	XP_017787992.1
OG0000069	XP_025987486.1	XP_017795598.1, XP_017795596.1, XP_017795597.1, XP_017795595.1
OG0000069	XP_011163891.1, XP_039303799.1, XP_039303801.1, XP_025989421.2, XP_039303891.1, XP_011171057.2, XP_039309137.1, XP_039309138.1, XP_039308972.1, XP_039308973.1, XP_039308974.1, XP_039309139.1, XP_039308971.1, XP_039308970.1, XP_039308969.1, XP_039309140.1, XP_011168216.3	XP_017795600.1
OG0000070	XP_039308666.1, XP_025985811.2, XP_025985886.1, XP_039308665.1, XP_039308664.1, XP_039308741.1	XP_017795126.1
OG0000071	XP_025993345.1	XP_017795871.1
OG0000072	XP_011174276.1, XP_039303571.1	XP_017793474.1
OG0000072	XP_039315631.1, XP_039308736.1, XP_039310326.1, XP_025996423.2, XP_039307110.1, XP_039310078.1	XP_017795069.1
OG0000073	XP_011157914.1	XP_017792787.1, XP_017793055.1, XP_017793138.1
OG0000074	XP_011157636.1, XP_025987236.2, XP_025987238.1, XP_039314707.1	XP_017797397.1
OG0000074	XP_025985929.1	XP_017795199.1
OG0000075	XP_039315525.1, XP_039302537.1, XP_039309549.1, XP_039302019.1, XP_025993999.1, XP_025991875.2, XP_039303461.1, XP_011165249.1	XP_017794503.1
OG0000075	XP_011170180.1	XP_017795028.1
OG0000076	XP_011165898.1	XP_017792759.1, XP_017797054.1
OG0000076	XP_011162883.1	XP_017797150.1
OG0000077	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1	XP_017797118.1, XP_017795753.1
OG0000077	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1	XP_017789897.1
OG0000078	XP_011156318.2, XP_039310413.1, XP_039310414.1, XP_039310426.1, XP_011155581.2, XP_011155595.2, XP_011155606.1	XP_017792696.1
OG0000078	XP_039309962.1, XP_039310440.1, XP_011156215.2, XP_039309961.1, XP_039310430.1, XP_039309963.1, XP_011155704.2, XP_011155659.3, XP_011155817.3, XP_039309966.1, XP_011156294.1, XP_039310434.1, XP_011155782.2, XP_011155805.2, XP_025991287.2, XP_039309964.1	XP_017792652.1
OG0000079	XP_025987036.2	XP_017787939.1
OG0000080	XP_039313662.1, XP_011161097.1, XP_011161096.1	XP_017798424.1
OG0000080	XP_025995013.1	XP_017798328.1
OG0000080	XP_011173727.1	XP_017798422.1
OG0000081	XP_011174507.3, XP_025987271.2, XP_011174500.3	XP_017796643.1
OG0000082	XP_011158501.1	XP_017797683.1
OG0000082	XP_011158493.1	XP_017797684.1
OG0000082	XP_011158531.2	XP_017797819.1
OG0000083	XP_039309918.1, XP_039303503.1, XP_039311967.1, XP_011169881.1, XP_025994761.2, XP_025997387.2, XP_039303927.1, XP_039312445.1, XP_039314871.1, XP_011167206.1, XP_011174675.3, XP_025994696.2, XP_039315406.1, XP_011168851.2, XP_025996074.1, XP_039303955.1	XP_017796812.1
OG0000084	XP_011155841.2	XP_017792624.1
OG0000084	XP_011155844.1	XP_017792625.1
OG0000084	XP_039310256.1, XP_011155840.3	XP_017792708.1
OG0000084	XP_011155335.1	XP_017791300.1
OG0000085	XP_025987478.1, XP_025987477.1	XP_017793167.1
OG0000086	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2	XP_017787894.1
OG0000086	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2	XP_017791806.1
OG0000087	XP_025989498.1, XP_011170042.2	XP_017792906.1, XP_017792917.1
OG0000088	XP_025996218.1, XP_039311698.1	XP_017789815.1
OG0000089	XP_039308778.1, XP_011166981.2, XP_011166985.2	XP_017790598.1, XP_017790597.1, XP_017790596.1, XP_017790595.1, XP_017790594.1, XP_017790593.1, XP_017790592.1
OG0000089	XP_011171848.1	XP_017798058.1
OG0000090	XP_039304169.1, XP_011174534.3, XP_039313194.1, XP_039303165.1, XP_039314249.1, XP_039304817.1, XP_039307240.1, XP_039310902.1, XP_025994869.2, XP_039302871.1, XP_039302874.1, XP_039310987.1	XP_017795987.1, XP_017793833.1
OG0000090	XP_025995911.1	XP_017792762.1
OG0000090	XP_039307242.1, XP_039308386.1, XP_025997709.2, XP_039305766.1, XP_039303294.1, XP_039310030.1, XP_039310471.1, XP_039305112.1, XP_025997607.1, XP_039311201.1, XP_039304885.1, XP_011172670.2	XP_017795703.1
OG0000091	XP_011175219.1, XP_011175223.1, XP_011175233.1	XP_017792668.1, XP_017792670.1
OG0000092	XP_011165503.1	XP_017799316.1
OG0000092	XP_011175720.1, XP_011175721.1	XP_017789003.1, XP_017789058.1, XP_017789059.1
OG0000092	XP_011162964.1	XP_017788769.1
OG0000093	XP_025997695.2, XP_039308825.1, XP_039312413.1	XP_017796954.1
OG0000093	XP_039313509.1, XP_039303479.1, XP_011161917.1	XP_017796719.1
OG0000093	XP_039306021.1	XP_017796355.1, XP_017797106.1
OG0000094	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1	XP_017798959.1
OG0000094	XP_039303166.1	XP_017791335.1
OG0000095	NP_001291530.1, XP_039307299.1, XP_039307298.1, XP_011156878.1, XP_039307311.1, NP_001291531.1, XP_039312645.1, XP_039304610.1, XP_039304261.1, XP_039304262.1, XP_025997578.1, XP_039304282.1	XP_017790301.1
OG0000096	XP_011156409.1, XP_039313932.1	XP_017798525.1
OG0000096	XP_039306601.1	XP_017796013.1
OG0000097	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1	XP_017791424.1, XP_017791423.1
OG0000097	XP_025992182.1, XP_011159441.1	XP_017793649.1
OG0000098	XP_025996352.1	XP_017790036.1, XP_017790037.1, XP_017790033.1, XP_017790034.1, XP_017790035.1
OG0000099	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1	XP_017796840.1
OG0000099	XP_039314426.1	XP_017796299.1, XP_017796300.1
OG0000099	XP_011164670.2	XP_017791883.1
OG0000101	XP_011159599.3	XP_017793334.1
OG0000102	XP_025989688.2, XP_025989699.1	XP_017787422.1
OG0000102	XP_025989703.1	XP_017787495.1
OG0000103	XP_011161395.1	XP_017793916.1
OG0000103	XP_011161367.1	XP_017793918.1
OG0000103	XP_011161334.1	XP_017793920.1
OG0000106	XP_039314717.1	XP_017797471.1
OG0000107	XP_011159805.1	XP_017793002.1
OG0000108	XP_025985914.1	XP_017797595.1
OG0000109	XP_011157413.1, XP_011157412.1	XP_017787680.1, XP_017787682.1, XP_017787681.1, XP_017787684.1, XP_017787683.1, XP_017787686.1, XP_017787685.1, XP_017787687.1
OG0000110	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1	XP_017794692.1
OG0000111	XP_039301713.1	XP_017797783.1
OG0000111	XP_011165202.1, XP_025990766.2, NP_001291520.1	XP_017787491.1
OG0000111	XP_039308795.1	XP_017793968.1
OG0000112	XP_025989590.2	XP_017793364.1
OG0000113	XP_011169897.1	XP_017798381.1
OG0000113	XP_011176341.1, XP_011176387.1	XP_017798181.1
OG0000114	XP_011161124.1	XP_017792172.1
OG0000114	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1	XP_017792121.1
OG0000115	XP_011165645.2	XP_017795994.1
OG0000116	XP_011158331.1, XP_039303768.1	XP_017799593.1
OG0000116	XP_039303766.1	XP_017799604.1
OG0000117	XP_011157894.1	XP_017791704.1
OG0000117	XP_011170972.1, XP_011170971.1	XP_017797358.1
OG0000119	XP_039303820.1, XP_025988519.1, XP_011160452.1, XP_011160472.1, XP_039303816.1, XP_011160453.1, XP_011160457.2, XP_011160459.1, XP_011160469.1	XP_017787392.1
OG0000120	XP_011175144.2	XP_017794605.1
OG0000122	XP_039310041.1	XP_017798532.1
OG0000122	XP_039305859.1	XP_017799142.1
OG0000122	XP_025995487.2	XP_017793619.1
OG0000122	XP_011173307.2	XP_017793618.1
OG0000123	XP_011169664.1	XP_017796926.1, XP_017796925.1, XP_017796924.1, XP_017796922.1, XP_017796923.1, XP_017796921.1
OG0000124	XP_039302015.1	XP_017789119.1
OG0000125	XP_011166830.1, XP_011166831.1	XP_017795810.1, XP_017795808.1, XP_017795809.1, XP_017795806.1, XP_017795807.1, XP_017795803.1, XP_017795819.1
OG0000126	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1	XP_017792776.1
OG0000127	XP_011165176.1, XP_039307622.1, XP_025994182.1	XP_017799036.1, XP_017799037.1
OG0000127	XP_039307613.1, XP_039307615.1	XP_017799080.1
OG0000128	XP_039306786.1, XP_039312393.1, XP_039309505.1, XP_039313498.1, XP_039306739.1, XP_025988163.2, XP_039303559.1, XP_039306752.1, XP_039303482.1, XP_011174706.1, XP_039315251.1, XP_039310402.1, XP_039311972.1, XP_039313520.1, XP_039303522.1, XP_039314690.1, XP_039311326.1, XP_025997681.2, XP_039308691.1, XP_039308809.1	XP_017799473.1, XP_017792105.1
OG0000128	XP_039303517.1, XP_039301924.1, XP_011164071.2	XP_017799474.1
OG0000129	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2	XP_017792739.1
OG0000130	XP_039309465.1	XP_017787765.1
OG0000130	XP_025991693.1, XP_025991692.1	XP_017791658.1
OG0000131	XP_011159624.1	XP_017790302.1
OG0000131	XP_011168548.1, XP_011168539.1	XP_017792252.1, XP_017792241.1, XP_017792254.1, XP_017792253.1
OG0000132	XP_039305040.1, XP_011175354.1	XP_017798108.1
OG0000132	XP_011162113.1	XP_017798132.1
OG0000133	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1	XP_017788158.1
OG0000133	XP_039303648.1	XP_017795366.1
OG0000135	XP_025991427.1	XP_017794640.1
OG0000135	XP_011168086.1	XP_017799029.1
OG0000135	XP_025992521.1	XP_017788492.1
OG0000136	XP_011168434.2, XP_011168435.1, XP_011168438.2, XP_039309206.1, XP_025989059.2, XP_011168437.1, XP_011168436.1, XP_011168451.1	XP_017788204.1, XP_017788203.1
OG0000137	XP_039302269.1, XP_011164282.1	XP_017797492.1
OG0000137	XP_025987902.2, XP_011171988.2, XP_011171990.2, XP_011171989.2	XP_017791135.1, XP_017788948.1
OG0000138	XP_011156769.2	XP_017794346.1
OG0000139	XP_011163331.1, XP_011163323.1, XP_011163250.1	XP_017787706.1
OG0000139	XP_011163312.2, XP_025992297.2	XP_017787697.1
OG0000140	XP_039311174.1	XP_017795261.1
OG0000141	XP_011172931.2	XP_017794696.1
OG0000141	XP_011173169.1	XP_017787810.1
OG0000142	XP_039305867.1, XP_025986931.2, XP_039314570.1, XP_025986941.2, XP_025986936.2, XP_039314535.1, XP_039314558.1, XP_011168007.2, XP_039314529.1, XP_039314590.1, XP_039314564.1, XP_039305868.1, XP_039305708.1, XP_039305809.1, XP_039305616.1, XP_039305178.1, XP_039305782.1	XP_017789845.1, XP_017789846.1
OG0000143	XP_011158940.1, XP_011158941.1	XP_017790495.1
OG0000144	XP_011155485.2	XP_017797971.1, XP_017797954.1
OG0000144	XP_011155484.1	XP_017797956.1
OG0000145	XP_039310475.1, XP_039310474.1	XP_017788300.1
OG0000145	XP_025989810.1	XP_017797568.1
OG0000146	XP_011158610.1	XP_017794829.1
OG0000146	XP_011163024.1, XP_011163029.1	XP_017789218.1
OG0000146	XP_011157598.1	XP_017789431.1
OG0000147	XP_025987816.1, XP_039314750.1	XP_017792150.1, XP_017792149.1, XP_017792148.1
OG0000149	XP_011168700.1	XP_017788095.1
OG0000149	XP_039303906.1, XP_011168707.2, XP_011168703.2, XP_011168705.2, XP_011168706.2, XP_011168701.2	XP_017788073.1
OG0000150	XP_011156682.1, XP_025991203.1, XP_011156666.1, XP_011156673.1, XP_025991204.1	XP_017787586.1, XP_017787587.1
OG0000151	XP_011167344.2	XP_017798042.1, XP_017798041.1
OG0000152	XP_011159593.1, XP_011159592.1	XP_017794028.1, XP_017794027.1, XP_017794026.1, XP_017794030.1, XP_017794029.1, XP_017794031.1
OG0000153	XP_025991417.2	XP_017797758.1
OG0000154	XP_039306572.1, XP_011172804.1, XP_039306683.1	XP_017795372.1
OG0000156	XP_039313051.1, XP_039313052.1, XP_011167313.1, XP_011167314.1, XP_011167312.1	XP_017788212.1, XP_017788213.1, XP_017788214.1, XP_017788216.1, XP_017788215.1
OG0000157	XP_039311111.1, XP_039311110.1	XP_017788939.1, XP_017788698.1
OG0000158	XP_039312830.1	XP_017793670.1
OG0000158	XP_039312827.1	XP_017793668.1, XP_017793669.1
OG0000160	XP_025995468.2	XP_017795191.1
OG0000160	XP_039307899.1	XP_017792249.1
OG0000161	XP_011171818.2, XP_011157167.1, XP_011171836.1	XP_017791738.1
OG0000162	XP_011158164.1	XP_017794848.1
OG0000162	XP_025990139.1	XP_017787385.1
OG0000164	XP_011175603.2, XP_039313027.1	XP_017797561.1
OG0000165	XP_011162664.1, XP_011162665.1, XP_025987522.1, XP_025987521.1	XP_017789911.1
OG0000165	XP_011173553.1	XP_017795542.1
OG0000166	XP_025986750.2, XP_025986751.2, XP_039305072.1, XP_039305077.1	XP_017790571.1, XP_017790565.1, XP_017790567.1, XP_017790564.1, XP_017790576.1
